	Candida_infanticola	Saccharomyces_cerevisiae
OG0000357	augustus_masked-LWLF01000022.1-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-6.95&CDS=1-1491	YKL133C, YMR115W
OG0000358	augustus_masked-LWLF01000022.1-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-6.110&CDS=1-1911	YDR107C, YLR083C
OG0000359	augustus_masked-LWLF01000022.1-processed-gene-7.55-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-7.55&CDS=1-2955	YGL008C, YPL036W
OG0000360	augustus_masked-LWLF01000022.1-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-7.54&CDS=1-768	YLR441C, YML063W
OG0000361	augustus_masked-LWLF01000022.1-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-7.63&CDS=1-1356	YLR260W, YOR171C
OG0000362	augustus_masked-LWLF01000022.1-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-7.93&CDS=1-618	YDL082W, YMR142C
OG0000363	augustus_masked-LWLF01000022.1-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-7.96&CDS=1-1695	YJR091C, YPR042C
OG0000364	augustus_masked-LWLF01000022.1-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-7.70&CDS=1-1182	YGR108W, YPR119W
OG0000365	augustus_masked-LWLF01000022.1-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-7.80&CDS=1-1596	YGR092W, YPR111W
OG0000366	augustus_masked-LWLF01000022.1-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-7.83&CDS=1-1764	YDR326C, YHR080C
OG0000367	augustus_masked-LWLF01000022.1-processed-gene-8.74-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-8.74&CDS=1-1953	YBL009W, YGL021W
OG0000368	augustus_masked-LWLF01000022.1-processed-gene-8.77-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-8.77&CDS=1-234	YGR008C, YLR327C
OG0000369	snap_masked-LWLF01000022.1-processed-gene-8.53-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-8.53&CDS=1-798	YDL049C, YJL174W
OG0000370	augustus_masked-LWLF01000022.1-processed-gene-8.98-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-8.98&CDS=1-612	YAL007C, YOR016C
OG0000371	genemark-LWLF01000022.1-processed-gene-9.106-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-9.106&CDS=1-1212	YDR146C, YLR131C
OG0000372	augustus_masked-LWLF01000022.1-processed-gene-9.64-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-9.64&CDS=1-201	YLR264W, YOR167C
OG0000373	augustus_masked-LWLF01000022.1-processed-gene-9.83-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-9.83&CDS=1-1725	YER059W, YIL050W
OG0000374	augustus_masked-LWLF01000022.1-processed-gene-9.65-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-9.65&CDS=1-375	YER056C-A, YIL052C
OG0000375	augustus_masked-LWLF01000022.1-processed-gene-10.10-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-10.10&CDS=1-2751, augustus_masked-LWLF01000022.1-processed-gene-23.43-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-23.43&CDS=1-1335	YBR280C
OG0000376	augustus_masked-LWLF01000022.1-processed-gene-11.96-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-11.96&CDS=1-858	YIL114C, YNL055C
OG0000377	augustus_masked-LWLF01000022.1-processed-gene-24.105-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-24.105&CDS=1-903, genemark-LWLF01000022.1-processed-gene-11.149-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-11.149&CDS=1-1194	YGL247W
OG0000378	augustus_masked-LWLF01000022.1-processed-gene-11.107-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-11.107&CDS=1-1689	YDR497C, YOL103W
OG0000379	augustus_masked-LWLF01000022.1-processed-gene-11.83-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-11.83&CDS=1-1665, augustus_masked-LWLF01000022.1-processed-gene-24.151-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-24.151&CDS=1-1161	YGR263C
OG0000380	augustus_masked-LWLF01000022.1-processed-gene-12.78-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-12.78&CDS=1-465	YBR048W, YDR025W
OG0000381	augustus_masked-LWLF01000022.1-processed-gene-12.102-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-12.102&CDS=1-777	YCR010C, YNR002C
OG0000382	snap_masked-LWLF01000022.1-processed-gene-12.164-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-12.164&CDS=1-2208	YBR172C, YPL105C
OG0000383	augustus_masked-LWLF01000022.1-processed-gene-12.85-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-12.85&CDS=1-375	YER057C, YIL051C
OG0000384	snap_masked-LWLF01000022.1-processed-gene-13.9-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-13.9&CDS=1-7347	YBR140C, YOL081W
OG0000385	augustus_masked-LWLF01000022.1-processed-gene-13.84-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-13.84&CDS=1-408	YDR471W, YHR010W
OG0000386	augustus_masked-LWLF01000022.1-processed-gene-13.91-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-13.91&CDS=1-723	YPR013C, YPR015C
OG0000387	maker-LWLF01000022.1-augustus-gene-13.1-mRNA-1_1&gene=maker-LWLF01000022.1-augustus-gene-13.1&CDS=1-1083	YHR021C, YKL156W
OG0000388	snap_masked-LWLF01000022.1-processed-gene-13.49-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-13.49&CDS=1-4908	YIL149C, YKR095W
OG0000389	augustus_masked-LWLF01000022.1-processed-gene-14.120-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.120&CDS=1-435	YGR118W, YPR132W
OG0000390	augustus_masked-LWLF01000022.1-processed-gene-14.95-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.95&CDS=1-1260	YGR004W, YLR324W
OG0000391	augustus_masked-LWLF01000022.1-processed-gene-14.124-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.124&CDS=1-1737	YDR358W, YHR108W
OG0000392	augustus_masked-LWLF01000022.1-processed-gene-14.97-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.97&CDS=1-2334	YHR208W, YJR148W
OG0000393	augustus_masked-LWLF01000022.1-processed-gene-14.131-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-14.131&CDS=1-1938	YKL072W, YMR053C
OG0000394	augustus_masked-LWLF01000022.1-processed-gene-20.176-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-20.176&CDS=1-2358, maker-LWLF01000022.1-augustus-gene-15.49-mRNA-1_1&gene=maker-LWLF01000022.1-augustus-gene-15.49&CDS=1-3420	YOR270C
OG0000395	augustus_masked-LWLF01000022.1-processed-gene-15.128-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.128&CDS=1-2388	YBR294W, YLR092W
OG0000396	augustus_masked-LWLF01000022.1-processed-gene-15.132-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.132&CDS=1-2562	YDR379W, YOR127W
OG0000397	augustus_masked-LWLF01000022.1-processed-gene-15.112-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.112&CDS=1-543	YDR441C, YML022W
OG0000398	augustus_masked-LWLF01000022.1-processed-gene-15.121-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.121&CDS=1-1311	YHR001W, YKR003W
OG0000399	augustus_masked-LWLF01000022.1-processed-gene-16.56-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.56&CDS=1-1446	YBR020W, YDR009W
OG0000400	augustus_masked-LWLF01000022.1-processed-gene-16.81-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.81&CDS=1-1353	YAL062W, YOR375C
OG0000401	augustus_masked-LWLF01000022.1-processed-gene-16.101-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.101&CDS=1-1188	YGR141W, YPR157W
OG0000402	genemark-LWLF01000022.1-processed-gene-16.22-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-16.22&CDS=1-801	YDL048C, YLR375W
OG0000403	genemark-LWLF01000022.1-processed-gene-17.20-mRNA-1_1&gene=genemark-LWLF01000022.1-processed-gene-17.20&CDS=1-933	YBR104W, YPR058W
OG0000404	augustus_masked-LWLF01000022.1-processed-gene-17.85-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-17.85&CDS=1-1143	YMR243C, YOR316C
OG0000405	augustus_masked-LWLF01000022.1-processed-gene-18.3-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.3&CDS=1-1785	YBL067C, YER098W
OG0000406	snap_masked-LWLF01000022.1-processed-gene-18.80-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-18.80&CDS=1-699	YGR136W, YPR154W
OG0000407	augustus_masked-LWLF01000022.1-processed-gene-18.16-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-18.16&CDS=1-501	YGR131W, YPR149W
OG0000408	snap_masked-LWLF01000022.1-processed-gene-18.71-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-18.71&CDS=1-3177	YFL050C, YOL130W
OG0000409	maker-LWLF01000022.1-snap-gene-19.92-mRNA-1_1&gene=maker-LWLF01000022.1-snap-gene-19.92&CDS=1-1731	YDR368W, YOR120W
OG0000410	augustus_masked-LWLF01000022.1-processed-gene-20.171-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-20.171&CDS=1-672, maker-LWLF01000022.1-augustus-gene-20.2-mRNA-1_1&gene=maker-LWLF01000022.1-augustus-gene-20.2&CDS=1-1695	YHR008C
OG0000411	augustus_masked-LWLF01000022.1-processed-gene-20.189-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-20.189&CDS=1-777	YHR203C, YJR145C
OG0000412	augustus_masked-LWLF01000022.1-processed-gene-20.160-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-20.160&CDS=1-2196	YBL085W, YER114C
OG0000413	snap_masked-LWLF01000022.1-processed-gene-21.129-mRNA-1_1&gene=snap_masked-LWLF01000022.1-processed-gene-21.129&CDS=1-1005	YER027C, YGL208W
OG0000414	augustus_masked-LWLF01000022.1-processed-gene-22.72-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-22.72&CDS=1-3150	YNL106C, YOR109W
OG0000415	augustus_masked-LWLF01000022.1-processed-gene-23.36-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-23.36&CDS=1-975	YGL082W, YPL191C
OG0000416	augustus_masked-LWLF01000022.1-processed-gene-23.49-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-23.49&CDS=1-297	YHR146W, YNL173C
OG0000417	augustus_masked-LWLF01000022.1-processed-gene-23.25-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-23.25&CDS=1-1083	YFR014C, YOL016C
OG0000418	augustus_masked-LWLF01000022.1-processed-gene-24.167-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-24.167&CDS=1-909	YJL133W, YKR052C
OG0000419	augustus_masked-LWLF01000022.1-processed-gene-24.137-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-24.137&CDS=1-357	YDL136W, YDL191W
OG0000420	augustus_masked-LWLF01000022.1-processed-gene-24.142-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-24.142&CDS=1-1593	YGR241C, YHR161C
OG0000421	augustus_masked-LWLF01000001.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.60&CDS=1-357	YDR061W
OG0000422	augustus_masked-LWLF01000001.1-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.61&CDS=1-1659	YDR062W
OG0000423	snap_masked-LWLF01000001.1-processed-gene-0.140-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-0.140&CDS=1-717	YDR068W
OG0000424	augustus_masked-LWLF01000001.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.85&CDS=1-1920	YIL155C
OG0000425	augustus_masked-LWLF01000001.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.63&CDS=1-1281	YKR099W
OG0000426	augustus_masked-LWLF01000001.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.89&CDS=1-717	YDR071C
OG0000427	augustus_masked-LWLF01000001.1-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.90&CDS=1-1458	YER143W
OG0000428	augustus_masked-LWLF01000001.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.64&CDS=1-924	YER142C
OG0000429	augustus_masked-LWLF01000001.1-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.91&CDS=1-258	YER146W
OG0000430	augustus_masked-LWLF01000001.1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.92&CDS=1-519	YKL016C
OG0000431	augustus_masked-LWLF01000001.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.93&CDS=1-1923	YCR091W
OG0000432	augustus_masked-LWLF01000001.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.67&CDS=1-1848	YDR017C
OG0000433	augustus_masked-LWLF01000001.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.68&CDS=1-972	YKL018W
OG0000434	snap_masked-LWLF01000001.1-processed-gene-0.124-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-0.124&CDS=1-3999	YKL014C
OG0000435	augustus_masked-LWLF01000001.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.100&CDS=1-453	YDR064W
OG0000436	genemark-LWLF01000001.1-processed-gene-0.48-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-0.48&CDS=1-711	YIL019W
OG0000437	augustus_masked-LWLF01000001.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.70&CDS=1-762	YIL020C
OG0000438	augustus_masked-LWLF01000001.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.103&CDS=1-822	YIL021W
OG0000439	augustus_masked-LWLF01000001.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.104&CDS=1-864	YPR129W
OG0000440	augustus_masked-LWLF01000001.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.71&CDS=1-549	YPR131C
OG0000441	augustus_masked-LWLF01000001.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.72&CDS=1-963	YPR128C
OG0000442	maker-LWLF01000001.1-snap-gene-0.0-mRNA-1_1&gene=maker-LWLF01000001.1-snap-gene-0.0&CDS=1-1389	YNR006W
OG0000443	genemark-LWLF01000001.1-processed-gene-0.52-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-0.52&CDS=1-1449	YNL261W
OG0000444	augustus_masked-LWLF01000001.1-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.74&CDS=1-1059	YMR201C
OG0000445	genemark-LWLF01000001.1-processed-gene-0.53-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-0.53&CDS=1-393	YPL059W
OG0000446	augustus_masked-LWLF01000001.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.76&CDS=1-633	YOL102C
OG0000447	augustus_masked-LWLF01000001.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.77&CDS=1-2532	YPR097W
OG0000448	augustus_masked-LWLF01000001.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.79&CDS=1-537	YKR065C
OG0000449	augustus_masked-LWLF01000001.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.80&CDS=1-978	YMR166C
OG0000450	augustus_masked-LWLF01000001.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.81&CDS=1-3405	YPL012W
OG0000451	snap_masked-LWLF01000001.1-processed-gene-0.138-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-0.138&CDS=1-3570	YNL242W
OG0000452	augustus_masked-LWLF01000001.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.83&CDS=1-2940	YDL240W
OG0000453	augustus_masked-LWLF01000001.1-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.113&CDS=1-621	YPL011C
OG0000454	augustus_masked-LWLF01000001.1-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.60&CDS=1-555	YPL010W
OG0000455	maker-LWLF01000001.1-snap-gene-1.58-mRNA-1_1&gene=maker-LWLF01000001.1-snap-gene-1.58&CDS=1-2178	YPL009C
OG0000456	augustus_masked-LWLF01000001.1-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.61&CDS=1-1008	YPL015C
OG0000457	augustus_masked-LWLF01000001.1-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.65&CDS=1-213	YFL017W-A
OG0000458	augustus_masked-LWLF01000001.1-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.63&CDS=1-3573	YNL238W
OG0000459	augustus_masked-LWLF01000001.1-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.88&CDS=1-1326	YNL239W
OG0000460	augustus_masked-LWLF01000001.1-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.89&CDS=1-972	YNL231C
OG0000461	augustus_masked-LWLF01000001.1-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.67&CDS=1-1143	YDR083W
OG0000462	augustus_masked-LWLF01000001.1-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.92&CDS=1-1311	YBR166C
OG0000463	snap_masked-LWLF01000001.1-processed-gene-1.10-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-1.10&CDS=1-2097	YER157W
OG0000464	snap_masked-LWLF01000001.1-processed-gene-1.37-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-1.37&CDS=1-210	YDR079C-A
OG0000465	snap_masked-LWLF01000001.1-processed-gene-1.11-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-1.11&CDS=1-2514	YDR080W
OG0000466	augustus_masked-LWLF01000001.1-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.94&CDS=1-843	YKR066C
OG0000467	augustus_masked-LWLF01000001.1-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.72&CDS=1-1377	YHR113W
OG0000468	genemark-LWLF01000001.1-processed-gene-1.155-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-1.155&CDS=1-1014	YGL001C
OG0000469	snap_masked-LWLF01000001.1-processed-gene-1.43-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-1.43&CDS=1-2586	YPL183C
OG0000470	genemark-LWLF01000001.1-processed-gene-1.128-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-1.128&CDS=1-864	YMR283C
OG0000471	snap_masked-LWLF01000001.1-processed-gene-1.44-mRNA-1_1&gene=snap_masked-LWLF01000001.1-processed-gene-1.44&CDS=1-1416	YJL090C
OG0000472	augustus_masked-LWLF01000001.1-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.99&CDS=1-816	YMR281W
OG0000473	augustus_masked-LWLF01000001.1-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.75&CDS=1-945	YLR113W
OG0000474	augustus_masked-LWLF01000001.1-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.100&CDS=1-4491	YDR135C
OG0000475	augustus_masked-LWLF01000001.1-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.77&CDS=1-510	YLR109W
OG0000476	augustus_masked-LWLF01000001.1-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.79&CDS=1-2940	YLR114C
OG0000477	augustus_masked-LWLF01000001.1-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.82&CDS=1-1416	YLL023C
OG0000478	augustus_masked-LWLF01000001.1-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.83&CDS=1-2478	YNL071W
OG0000479	augustus_masked-LWLF01000001.1-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.106&CDS=1-849	YNL075W
OG0000480	augustus_masked-LWLF01000001.1-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.85&CDS=1-576	YDL166C
OG0000481	augustus_masked-LWLF01000001.1-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.107&CDS=1-1293	YLR231C
OG0000482	augustus_masked-LWLF01000001.1-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.108&CDS=1-6378	YDL171C
OG0000483	augustus_masked-LWLF01000001.1-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.109&CDS=1-1554	YLR196W
OG0000484	augustus_masked-LWLF01000001.1-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.87&CDS=1-1317	YLR195C
OG0000485	augustus_masked-LWLF01000001.1-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-2.50&CDS=1-765	YGR253C
OG0000486	augustus_masked-LWLF01000001.1-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-2.54&CDS=1-1224	YGR252W
OG0000487	augustus_masked-LWLF01000001.1-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-2.55&CDS=1-2295	YER091C
OG0000488	augustus_masked-LWLF01000001.1-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-2.56&CDS=1-1209	YJL201W
OG0000489	augustus_masked-LWLF01000001.1-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-2.51&CDS=1-813	YFR041C
OG0000490	augustus_masked-LWLF01000001.1-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-2.57&CDS=1-2388	YKR028W
OG0000491	augustus_masked-LWLF01000001.1-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-2.58&CDS=1-684	YOR223W
OG0000492	maker-LWLF01000001.1-augustus-gene-2.103-mRNA-1_1&gene=maker-LWLF01000001.1-augustus-gene-2.103&CDS=1-11910	YHR099W
OG0000493	augustus_masked-LWLF01000001.1-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-2.60&CDS=1-933	YOR049C
OG0000494	genemark-LWLF01000001.1-processed-gene-2.121-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-2.121&CDS=1-1410	YMR239C
OG0000495	augustus_masked-LWLF01000001.1-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-2.63&CDS=1-2241	YJL062W
OG0000496	augustus_masked-LWLF01000001.1-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-2.83&CDS=1-1671	YDL063C
OG0000497	augustus_masked-LWLF01000001.1-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-2.64&CDS=1-333	YBR268W
OG0000498	maker-LWLF01000001.1-augustus-gene-2.104-mRNA-1_1&gene=maker-LWLF01000001.1-augustus-gene-2.104&CDS=1-1344	YOL124C
