	Naumovozyma_dairenensis	Saccharomyces_cerevisiae
OG0000334	snap_masked-NC_016487.1-processed-gene-2.28-mRNA-1_1&gene=snap_masked-NC_016487.1-processed-gene-2.28&CDS=1-1284	YMR182C, YPL230W
OG0000335	augustus_masked-NC_016487.1-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-2.86&CDS=1-2151	YMR186W, YPL240C
OG0000336	augustus_masked-NC_016487.1-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-2.91&CDS=1-732	YGL076C, YPL198W
OG0000337	augustus_masked-NC_016487.1-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-3.78&CDS=1-1698	YBR214W, YGL056C
OG0000338	augustus_masked-NC_016487.1-processed-gene-5.20-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-5.20&CDS=1-1029	YGL039W, YGL157W
OG0000339	augustus_masked-NC_016487.1-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-6.83&CDS=1-1878	YGR138C, YPR156C
OG0000340	augustus_masked-NC_016488.1-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-1.67&CDS=1-291	YJR094W-A, YPR043W
OG0000341	maker-NC_016488.1-snap-gene-2.41-mRNA-1_1&gene=maker-NC_016488.1-snap-gene-2.41&CDS=1-2490	YDR125C, YLR099C
OG0000342	augustus_masked-NC_016488.1-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-4.55&CDS=1-1533	YGR010W, YLR328W
OG0000343	augustus_masked-NC_016488.1-processed-gene-5.8-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-5.8&CDS=1-1383	YDL048C, YLR375W
OG0000344	augustus_masked-NC_016488.1-processed-gene-6.3-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-6.3&CDS=1-1728	YLR433C, YML057W
OG0000345	augustus_masked-NC_016489.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-0.81&CDS=1-1338	YML085C, YML124C
OG0000346	snap_masked-NC_016489.1-processed-gene-1.21-mRNA-1_1&gene=snap_masked-NC_016489.1-processed-gene-1.21&CDS=1-1443	YMR253C, YPL264C
OG0000347	augustus_masked-NC_016489.1-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-2.61&CDS=1-315	YMR230W, YOR293W
OG0000348	augustus_masked-NC_016489.1-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-2.75&CDS=1-1356, genemark-NC_016489.1-processed-gene-3.80-mRNA-1_1&gene=genemark-NC_016489.1-processed-gene-3.80&CDS=1-1329	YPL175W
OG0000349	augustus_masked-NC_016489.1-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-2.57&CDS=1-2409, augustus_masked-NC_016489.1-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-3.109&CDS=1-2388	YPL176C
OG0000350	augustus_masked-NC_016489.1-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-4.77&CDS=1-1278	YHL003C, YKL008C
OG0000351	augustus_masked-NC_016489.1-processed-gene-5.193-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-5.193&CDS=1-1290	YCR094W, YNR048W
OG0000352	snap_masked-NC_016489.1-processed-gene-5.42-mRNA-1_1&gene=snap_masked-NC_016489.1-processed-gene-5.42&CDS=1-3171	YOR162C, YOR172W
OG0000353	augustus_masked-NC_016479.1-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.108&CDS=1-1131	YCL064C
OG0000354	snap_masked-NC_016479.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-0.2&CDS=1-1434	YCL063W
OG0000355	augustus_masked-NC_016479.1-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.109&CDS=1-3273	YCL061C
OG0000356	augustus_masked-NC_016479.1-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.110&CDS=1-951	YCL059C
OG0000357	snap_masked-NC_016479.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-0.3&CDS=1-369	YCL058W-A
OG0000358	augustus_masked-NC_016479.1-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.111&CDS=1-288	YCL057C-A
OG0000359	augustus_masked-NC_016479.1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.92&CDS=1-2067	YCL057W
OG0000360	augustus_masked-NC_016479.1-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.94&CDS=1-957	YCL055W
OG0000361	augustus_masked-NC_016479.1-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.95&CDS=1-2523	YCL054W
OG0000362	augustus_masked-NC_016479.1-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.112&CDS=1-1278	YCL052C
OG0000363	snap_masked-NC_016479.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-0.8&CDS=1-1854	YCL051W
OG0000364	augustus_masked-NC_016479.1-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.98&CDS=1-1575	YCL048W
OG0000365	snap_masked-NC_016479.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-0.27&CDS=1-717	YCL047C
OG0000366	snap_masked-NC_016479.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-0.28&CDS=1-2220	YCL045C
OG0000367	augustus_masked-NC_016479.1-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.115&CDS=1-1407	YCL044C
OG0000368	augustus_masked-NC_016479.1-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.116&CDS=1-1569	YCL043C
OG0000369	snap_masked-NC_016479.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-0.13&CDS=1-2844	YCL039W
OG0000370	augustus_masked-NC_016479.1-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.117&CDS=1-1719	YCL038C
OG0000371	augustus_masked-NC_016479.1-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.118&CDS=1-1503	YCL037C
OG0000372	snap_masked-NC_016479.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-0.35&CDS=1-327	YCL035C
OG0000373	augustus_masked-NC_016479.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.103&CDS=1-1170	YCL034W
OG0000374	snap_masked-NC_016479.1-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-0.41&CDS=1-540	YCL033C
OG0000375	augustus_masked-NC_016479.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.104&CDS=1-1314	YCL032W
OG0000376	augustus_masked-NC_016479.1-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.122&CDS=1-960	YCL031C
OG0000377	augustus_masked-NC_016479.1-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.123&CDS=1-2406	YCL030C
OG0000378	augustus_masked-NC_016479.1-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.124&CDS=1-1728	YCL029C
OG0000379	augustus_masked-NC_016479.1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.105&CDS=1-1140	YCL028W
OG0000380	snap_masked-NC_016479.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-0.19&CDS=1-1824	YCL027W
OG0000381	augustus_masked-NC_016479.1-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.86&CDS=1-432	YCR043C
OG0000382	augustus_masked-NC_016479.1-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.87&CDS=1-1083	YCR044C
OG0000383	augustus_masked-NC_016479.1-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.84&CDS=1-1410	YER019W
OG0000384	augustus_masked-NC_016479.1-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.85&CDS=1-3765	YLR189C
OG0000385	augustus_masked-NC_016479.1-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.104&CDS=1-1890	YLR188W
OG0000386	augustus_masked-NC_016479.1-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.105&CDS=1-3012	YLR187W
OG0000387	augustus_masked-NC_016479.1-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.107&CDS=1-2394	YLR182W
OG0000388	augustus_masked-NC_016479.1-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.108&CDS=1-1695	YEL063C
OG0000389	augustus_masked-NC_016479.1-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.90&CDS=1-318	YDR510W
OG0000390	augustus_masked-NC_016479.1-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.113&CDS=1-1005	YCR036W
OG0000391	augustus_masked-NC_016479.1-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.94&CDS=1-1194	YCR035C
OG0000392	augustus_masked-NC_016479.1-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.114&CDS=1-1038	YCR034W
OG0000393	augustus_masked-NC_016479.1-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.115&CDS=1-4425	YCR033W
OG0000394	snap_masked-NC_016479.1-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-1.39&CDS=1-2937	YCR032W
OG0000395	augustus_masked-NC_016479.1-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.96&CDS=1-1761	YJL186W
OG0000396	maker-NC_016479.1-augustus-gene-1.3-mRNA-1_1&gene=maker-NC_016479.1-augustus-gene-1.3&CDS=1-402	YCR028C-A
OG0000397	augustus_masked-NC_016479.1-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.98&CDS=1-1584	YCR028C
OG0000398	snap_masked-NC_016479.1-processed-gene-1.22-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-1.22&CDS=1-2679	YJR030C
OG0000399	augustus_masked-NC_016479.1-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.117&CDS=1-2052	YKL179C
OG0000400	augustus_masked-NC_016479.1-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.118&CDS=1-1497	YKL178C
OG0000401	augustus_masked-NC_016479.1-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.120&CDS=1-1185	YJL171C
OG0000402	snap_masked-NC_016479.1-processed-gene-1.45-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-1.45&CDS=1-2823	YKL176C
OG0000403	augustus_masked-NC_016479.1-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.101&CDS=1-1566	YKL175W
OG0000404	augustus_masked-NC_016479.1-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.122&CDS=1-1923	YKL174C
OG0000405	augustus_masked-NC_016479.1-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.102&CDS=1-2991	YKL173W
OG0000406	augustus_masked-NC_016479.1-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-1.103&CDS=1-1053	YJL167W
OG0000407	augustus_masked-NC_016479.1-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.3&CDS=1-2826	YKL171W
OG0000408	augustus_masked-NC_016479.1-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.4&CDS=1-414	YKL170W
OG0000409	augustus_masked-NC_016479.1-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.5&CDS=1-2088	YKL168C
OG0000410	snap_masked-NC_016479.1-processed-gene-2.85-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-2.85&CDS=1-408	YKL167C
OG0000411	snap_masked-NC_016479.1-processed-gene-2.87-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-2.87&CDS=1-1809	YJL163C
OG0000412	augustus_masked-NC_016479.1-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.23&CDS=1-2775	YKL165C
OG0000413	genemark-NC_016479.1-processed-gene-2.64-mRNA-1_1&gene=genemark-NC_016479.1-processed-gene-2.64&CDS=1-2736	YJL154C
OG0000414	augustus_masked-NC_016479.1-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.10&CDS=1-1110	YKR066C
OG0000415	augustus_masked-NC_016479.1-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.11&CDS=1-597	YKR065C
OG0000416	augustus_masked-NC_016479.1-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.26&CDS=1-2961	YKR064W
OG0000417	augustus_masked-NC_016479.1-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.12&CDS=1-1659	YKR063C
OG0000418	augustus_masked-NC_016479.1-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.13&CDS=1-702	YJL148W
OG0000419	augustus_masked-NC_016479.1-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.27&CDS=1-1197	YKR062W
OG0000420	augustus_masked-NC_016479.1-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.14&CDS=1-765	YJL140W
OG0000421	augustus_masked-NC_016479.1-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.28&CDS=1-2202	YDR182W
OG0000422	snap_masked-NC_016479.1-processed-gene-2.92-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-2.92&CDS=1-1521	YDR181C
OG0000423	augustus_masked-NC_016479.1-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.29&CDS=1-4455	YDR180W
OG0000424	snap_masked-NC_016479.1-processed-gene-2.106-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-2.106&CDS=1-1434	YDR179W-A
OG0000425	augustus_masked-NC_016479.1-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.16&CDS=1-507	YDR179C
OG0000426	augustus_masked-NC_016479.1-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.31&CDS=1-549	YDR178W
OG0000427	augustus_masked-NC_016479.1-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.32&CDS=1-648	YDR177W
OG0000428	augustus_masked-NC_016479.1-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.33&CDS=1-2532	YDR176W
OG0000429	augustus_masked-NC_016479.1-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.17&CDS=1-1002	YDR175C
OG0000430	augustus_masked-NC_016479.1-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.34&CDS=1-792	YDR174W
OG0000431	augustus_masked-NC_016479.1-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.18&CDS=1-1107	YDR173C
OG0000432	augustus_masked-NC_016479.1-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.35&CDS=1-2052	YDR172W
OG0000433	augustus_masked-NC_016479.1-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.36&CDS=1-1335	YDR171W
OG0000434	augustus_masked-NC_016479.1-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.19&CDS=1-6075	YDR170C
OG0000435	augustus_masked-NC_016479.1-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.37&CDS=1-1341	YPR040W
OG0000436	snap_masked-NC_016479.1-processed-gene-2.114-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-2.114&CDS=1-246	YPR036W-A
OG0000437	augustus_masked-NC_016479.1-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.39&CDS=1-1503	YPR036W
OG0000438	augustus_masked-NC_016479.1-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.40&CDS=1-1113	YPR035W
OG0000439	augustus_masked-NC_016479.1-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.41&CDS=1-1695	YPR034W
OG0000440	augustus_masked-NC_016479.1-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.22&CDS=1-1590	YPR033C
OG0000441	augustus_masked-NC_016479.1-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.42&CDS=1-2493	YPR031W
OG0000442	augustus_masked-NC_016479.1-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.44&CDS=1-2592	YPR029C
OG0000443	augustus_masked-NC_016479.1-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.67&CDS=1-600	YPR028W
OG0000444	augustus_masked-NC_016479.1-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.68&CDS=1-3834	YPR026W
OG0000445	augustus_masked-NC_016479.1-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.46&CDS=1-1152	YPR025C
OG0000446	genemark-NC_016479.1-processed-gene-3.106-mRNA-1_1&gene=genemark-NC_016479.1-processed-gene-3.106&CDS=1-2157	YPR024W
OG0000447	augustus_masked-NC_016479.1-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.48&CDS=1-1551	YER122C
OG0000448	augustus_masked-NC_016479.1-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.70&CDS=1-783	YER120W
OG0000449	augustus_masked-NC_016479.1-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.71&CDS=1-1302	YBL091C
OG0000450	augustus_masked-NC_016479.1-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.50&CDS=1-582	YBL090W
OG0000451	augustus_masked-NC_016479.1-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.51&CDS=1-1101	YER118C
OG0000452	augustus_masked-NC_016479.1-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.52&CDS=1-891	YER116C
OG0000453	augustus_masked-NC_016479.1-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.53&CDS=1-3141	YER114C
OG0000454	augustus_masked-NC_016479.1-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.54&CDS=1-2037	YER113C
OG0000455	augustus_masked-NC_016479.1-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.73&CDS=1-603	YER112W
OG0000456	augustus_masked-NC_016479.1-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.55&CDS=1-3381	YER111C
OG0000457	augustus_masked-NC_016479.1-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.56&CDS=1-3342	YER110C
OG0000458	augustus_masked-NC_016479.1-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.57&CDS=1-2112	YER109C
OG0000459	augustus_masked-NC_016479.1-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.58&CDS=1-1089	YER107C
OG0000460	augustus_masked-NC_016479.1-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.74&CDS=1-888	YER106W
OG0000461	augustus_masked-NC_016479.1-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.76&CDS=1-690	YER104W
OG0000462	genemark-NC_016479.1-processed-gene-3.115-mRNA-1_1&gene=genemark-NC_016479.1-processed-gene-3.115&CDS=1-1095	YBL074C
OG0000463	augustus_masked-NC_016479.1-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.59&CDS=1-243	YBL071W-A
OG0000464	augustus_masked-NC_016479.1-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.60&CDS=1-1284	YBL069W
OG0000465	augustus_masked-NC_016479.1-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.61&CDS=1-975	YER099C
OG0000466	augustus_masked-NC_016479.1-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.81&CDS=1-1182	YER095W
OG0000467	augustus_masked-NC_016479.1-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.63&CDS=1-615	YER094C
OG0000468	augustus_masked-NC_016479.1-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.65&CDS=1-4092	YER093C
OG0000469	augustus_masked-NC_016479.1-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.82&CDS=1-372	YER092W
OG0000470	augustus_masked-NC_016479.1-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.66&CDS=1-2301	YER091C
OG0000471	augustus_masked-NC_016479.1-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.83&CDS=1-1521	YER090W
OG0000472	augustus_masked-NC_016479.1-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-4.2&CDS=1-1419	YBL056W
OG0000473	augustus_masked-NC_016479.1-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-4.5&CDS=1-2088	YBL051C
OG0000474	augustus_masked-NC_016479.1-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-4.4&CDS=1-267	YER019C-A
OG0000475	genemark-NC_016479.1-processed-gene-4.86-mRNA-1_1&gene=genemark-NC_016479.1-processed-gene-4.86&CDS=1-1803	YER087W
OG0000476	augustus_masked-NC_016479.1-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-4.24&CDS=1-1710	YER086W
OG0000477	augustus_masked-NC_016479.1-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-4.26&CDS=1-1833	YDL174C
OG0000478	augustus_masked-NC_016479.1-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-4.27&CDS=1-6456	YDL171C
OG0000479	augustus_masked-NC_016479.1-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-4.28&CDS=1-531	YDL169C
OG0000480	augustus_masked-NC_016479.1-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-4.9&CDS=1-1509	YLR197W
OG0000481	augustus_masked-NC_016479.1-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-4.10&CDS=1-1011	YDL168W
OG0000482	maker-NC_016479.1-snap-gene-4.1-mRNA-1_1&gene=maker-NC_016479.1-snap-gene-4.1&CDS=1-1551	YDL167C
OG0000483	augustus_masked-NC_016479.1-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-4.30&CDS=1-642	YDL166C
OG0000484	augustus_masked-NC_016479.1-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-4.11&CDS=1-579	YDL165W
OG0000485	augustus_masked-NC_016479.1-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-4.32&CDS=1-2229	YDL164C
OG0000486	augustus_masked-NC_016479.1-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-4.12&CDS=1-366	YDL160C-A
