	Candida_tropicalis	Saccharomyces_cerevisiae
OG0000745	snap_masked-NW_003020038.1-processed-gene-12.113-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.113&CDS=1-1401	YPR036W
OG0000746	snap_masked-NW_003020038.1-processed-gene-12.114-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.114&CDS=1-1116	YPR035W
OG0000747	snap_masked-NW_003020038.1-processed-gene-12.121-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.121&CDS=1-1893	YHL032C
OG0000748	snap_masked-NW_003020038.1-processed-gene-12.122-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.122&CDS=1-1911	YDR017C
OG0000749	snap_masked-NW_003020038.1-processed-gene-12.101-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.101&CDS=1-459	YLR170C
OG0000750	genemark-NW_003020038.1-processed-gene-12.18-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-12.18&CDS=1-1683	YPL133C
OG0000751	snap_masked-NW_003020038.1-processed-gene-12.128-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.128&CDS=1-2145	YOR206W
OG0000752	snap_masked-NW_003020038.1-processed-gene-12.129-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.129&CDS=1-2817	YOR219C
OG0000753	snap_masked-NW_003020038.1-processed-gene-12.131-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.131&CDS=1-861	YPL134C
OG0000754	genemark-NW_003020038.1-processed-gene-12.45-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-12.45&CDS=1-870	YOR223W
OG0000755	snap_masked-NW_003020038.1-processed-gene-12.132-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.132&CDS=1-513	YJR025C
OG0000756	snap_masked-NW_003020038.1-processed-gene-13.2-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.2&CDS=1-3477	YOR207C
OG0000757	snap_masked-NW_003020038.1-processed-gene-13.0-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.0&CDS=1-1482	YPL122C
OG0000758	snap_masked-NW_003020038.1-processed-gene-13.26-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.26&CDS=1-1611	YHR168W
OG0000759	snap_masked-NW_003020038.1-processed-gene-13.4-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.4&CDS=1-1320	YHR169W
OG0000760	snap_masked-NW_003020038.1-processed-gene-13.5-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.5&CDS=1-1659	YGR246C
OG0000761	snap_masked-NW_003020038.1-processed-gene-13.6-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.6&CDS=1-2244	YGR245C
OG0000762	genemark-NW_003020038.1-processed-gene-13.72-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-13.72&CDS=1-675	YDR174W
OG0000763	genemark-NW_003020038.1-processed-gene-13.73-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-13.73&CDS=1-912	YNL263C
OG0000764	snap_masked-NW_003020038.1-processed-gene-13.7-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.7&CDS=1-1650	YBR196C
OG0000765	snap_masked-NW_003020038.1-processed-gene-13.8-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.8&CDS=1-381	YML108W
OG0000766	snap_masked-NW_003020038.1-processed-gene-13.11-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.11&CDS=1-1512	YML016C
OG0000767	snap_masked-NW_003020038.1-processed-gene-13.13-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.13&CDS=1-1917	YLL035W
OG0000768	snap_masked-NW_003020038.1-processed-gene-13.15-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.15&CDS=1-1815	YOL013C
OG0000769	snap_masked-NW_003020038.1-processed-gene-13.34-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.34&CDS=1-1965	YML043C
OG0000770	snap_masked-NW_003020038.1-processed-gene-13.35-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.35&CDS=1-1707	YLR259C
OG0000771	snap_masked-NW_003020038.1-processed-gene-13.37-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.37&CDS=1-645	YLR262C
OG0000772	augustus_masked-NW_003020038.1-processed-gene-13.102-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-13.102&CDS=1-2862	YEL061C
OG0000773	snap_masked-NW_003020038.1-processed-gene-13.20-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.20&CDS=1-1050	YBR159W
OG0000774	snap_masked-NW_003020038.1-processed-gene-13.21-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.21&CDS=1-1038	YNL007C
OG0000775	snap_masked-NW_003020038.1-processed-gene-13.22-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.22&CDS=1-1107	YNL006W
OG0000776	snap_masked-NW_003020038.1-processed-gene-13.39-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-13.39&CDS=1-2685	YLR176C
OG0000777	snap_masked-NW_003020038.1-processed-gene-14.83-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-14.83&CDS=1-1446	YLR359W
OG0000778	maker-NW_003020038.1-augustus-gene-14.117-mRNA-1_1&gene=maker-NW_003020038.1-augustus-gene-14.117&CDS=1-1995	YBR234C
OG0000779	snap_masked-NW_003020038.1-processed-gene-14.87-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-14.87&CDS=1-783	YNL246W
OG0000780	snap_masked-NW_003020038.1-processed-gene-14.89-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-14.89&CDS=1-1308	YER019W
OG0000781	snap_masked-NW_003020038.1-processed-gene-14.90-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-14.90&CDS=1-405	YLR104W
OG0000782	snap_masked-NW_003020038.1-processed-gene-14.91-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-14.91&CDS=1-2373	YJL200C
OG0000783	snap_masked-NW_003020038.1-processed-gene-14.103-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-14.103&CDS=1-1533	YBR127C
OG0000784	genemark-NW_003020038.1-processed-gene-14.12-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-14.12&CDS=1-1011	YPR084W
OG0000785	snap_masked-NW_003020038.1-processed-gene-14.92-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-14.92&CDS=1-1035	YBR125C
OG0000786	snap_masked-NW_003020038.1-processed-gene-14.106-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-14.106&CDS=1-1434	YBR126C
OG0000787	snap_masked-NW_003020038.1-processed-gene-14.111-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-14.111&CDS=1-2250	YDR006C
OG0000788	snap_masked-NW_003020038.1-processed-gene-14.96-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-14.96&CDS=1-2250	YOR140W
OG0000789	snap_masked-NW_003020038.1-processed-gene-14.112-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-14.112&CDS=1-3924	YOR124C
OG0000790	snap_masked-NW_003020038.1-processed-gene-14.97-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-14.97&CDS=1-1332	YDR375C
OG0000791	snap_masked-NW_003020038.1-processed-gene-14.98-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-14.98&CDS=1-3117	YCR011C
OG0000792	snap_masked-NW_003020038.1-processed-gene-15.100-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.100&CDS=1-1548	YHR170W
OG0000793	maker-NW_003020038.1-augustus-gene-15.86-mRNA-1_1&gene=maker-NW_003020038.1-augustus-gene-15.86&CDS=1-1194	YGR252W
OG0000794	snap_masked-NW_003020038.1-processed-gene-15.101-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.101&CDS=1-1908	YHR171W
OG0000795	augustus_masked-NW_003020038.1-processed-gene-15.6-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-15.6&CDS=1-2598	YHR172W
OG0000796	snap_masked-NW_003020038.1-processed-gene-15.125-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.125&CDS=1-765	YGR253C
OG0000797	genemark-NW_003020038.1-processed-gene-15.71-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-15.71&CDS=1-1248	YGR244C
OG0000798	genemark-NW_003020038.1-processed-gene-15.52-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-15.52&CDS=1-447	YIL087C
OG0000799	genemark-NW_003020038.1-processed-gene-15.74-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-15.74&CDS=1-852	YNL032W
OG0000800	snap_masked-NW_003020038.1-processed-gene-15.106-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.106&CDS=1-2130	YIL091C
OG0000801	genemark-NW_003020038.1-processed-gene-15.75-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-15.75&CDS=1-414	YNL024C-A
OG0000802	snap_masked-NW_003020038.1-processed-gene-15.130-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.130&CDS=1-1860	YDR380W
OG0000803	genemark-NW_003020038.1-processed-gene-15.55-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-15.55&CDS=1-1443	YIL090W
OG0000804	snap_masked-NW_003020038.1-processed-gene-15.133-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.133&CDS=1-1236	YFL026W
OG0000805	snap_masked-NW_003020038.1-processed-gene-15.117-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.117&CDS=1-372	YKL160W
OG0000806	snap_masked-NW_003020038.1-processed-gene-15.134-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.134&CDS=1-3750	YJL042W
OG0000807	snap_masked-NW_003020038.1-processed-gene-15.136-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.136&CDS=1-1620	YOR002W
OG0000808	snap_masked-NW_003020038.1-processed-gene-15.120-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.120&CDS=1-1995	YNL258C
OG0000809	snap_masked-NW_003020038.1-processed-gene-15.137-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.137&CDS=1-222	YNL259C
OG0000810	snap_masked-NW_003020038.1-processed-gene-15.122-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.122&CDS=1-1488	YNL261W
OG0000811	snap_masked-NW_003020038.1-processed-gene-15.138-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.138&CDS=1-1155	YHR156C
OG0000812	snap_masked-NW_003020038.1-processed-gene-15.123-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.123&CDS=1-444	YNL260C
OG0000813	snap_masked-NW_003020038.1-processed-gene-16.39-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-16.39&CDS=1-6621	YNL262W
OG0000814	maker-NW_003020038.1-snap-gene-16.0-mRNA-1_1&gene=maker-NW_003020038.1-snap-gene-16.0&CDS=1-1770	YDR145W
OG0000815	snap_masked-NW_003020038.1-processed-gene-16.40-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-16.40&CDS=1-1671	YDL159W
OG0000816	snap_masked-NW_003020038.1-processed-gene-16.41-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-16.41&CDS=1-1518	YMR115W
OG0000817	genemark-NW_003020038.1-processed-gene-16.8-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-16.8&CDS=1-3561	YBL023C
OG0000818	genemark-NW_003020038.1-processed-gene-16.24-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-16.24&CDS=1-777	YLR285W
OG0000819	genemark-NW_003020038.1-processed-gene-16.11-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-16.11&CDS=1-1137	YDR235W
OG0000820	snap_masked-NW_003020038.1-processed-gene-16.63-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-16.63&CDS=1-522	YDR236C
OG0000821	snap_masked-NW_003020038.1-processed-gene-16.64-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-16.64&CDS=1-969	YLR354C
OG0000822	snap_masked-NW_003020038.1-processed-gene-16.51-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-16.51&CDS=1-3759	YFL008W
OG0000823	snap_masked-NW_003020038.1-processed-gene-16.67-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-16.67&CDS=1-3435	YLR336C
OG0000824	snap_masked-NW_003020038.1-processed-gene-16.68-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-16.68&CDS=1-600	YPL010W
OG0000825	snap_masked-NW_003020038.1-processed-gene-16.72-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-16.72&CDS=1-1350	YNL119W
OG0000826	snap_masked-NW_003020038.1-processed-gene-16.73-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-16.73&CDS=1-1701	YKR016W
OG0000827	snap_masked-NW_003020038.1-processed-gene-16.56-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-16.56&CDS=1-1845	YMR092C
OG0000828	genemark-NW_003020038.1-processed-gene-16.37-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-16.37&CDS=1-1401	YNR001C
OG0000829	genemark-NW_003020038.1-processed-gene-17.64-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-17.64&CDS=1-1815	YBR163W
OG0000830	snap_masked-NW_003020038.1-processed-gene-17.116-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.116&CDS=1-1506	YPL014W
OG0000831	snap_masked-NW_003020038.1-processed-gene-17.139-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.139&CDS=1-1095	YPL011C
OG0000832	snap_masked-NW_003020038.1-processed-gene-17.117-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.117&CDS=1-1092	YGR028W
OG0000833	snap_masked-NW_003020038.1-processed-gene-17.143-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.143&CDS=1-336	YMR123W
OG0000834	genemark-NW_003020038.1-processed-gene-17.69-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-17.69&CDS=1-1746	YER068W
OG0000835	snap_masked-NW_003020038.1-processed-gene-17.144-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.144&CDS=1-2922	YPL040C
OG0000836	augustus_masked-NW_003020038.1-processed-gene-17.13-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-17.13&CDS=1-1473	YMR106C
OG0000837	snap_masked-NW_003020038.1-processed-gene-17.145-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.145&CDS=1-1104	YMR097C
OG0000838	snap_masked-NW_003020038.1-processed-gene-17.120-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.120&CDS=1-861	YKL110C
OG0000839	snap_masked-NW_003020038.1-processed-gene-17.146-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.146&CDS=1-741	YKL099C
OG0000840	snap_masked-NW_003020038.1-processed-gene-17.121-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.121&CDS=1-1731	YMR098C
OG0000841	snap_masked-NW_003020038.1-processed-gene-17.147-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.147&CDS=1-1080	YKR023W
OG0000842	augustus_masked-NW_003020038.1-processed-gene-17.18-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-17.18&CDS=1-1557	YJL106W
OG0000843	snap_masked-NW_003020038.1-processed-gene-17.151-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.151&CDS=1-993	YPR147C
OG0000844	maker-NW_003020038.1-snap-gene-17.61-mRNA-1_1&gene=maker-NW_003020038.1-snap-gene-17.61&CDS=1-978	YGR127W
OG0000845	snap_masked-NW_003020038.1-processed-gene-17.126-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.126&CDS=1-1689	YNL227C
OG0000846	genemark-NW_003020038.1-processed-gene-17.104-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-17.104&CDS=1-2037	YNL224C
OG0000847	snap_masked-NW_003020038.1-processed-gene-17.127-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.127&CDS=1-1332	YNL223W
OG0000848	snap_masked-NW_003020038.1-processed-gene-17.128-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.128&CDS=1-678	YNL222W
OG0000849	snap_masked-NW_003020038.1-processed-gene-17.129-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.129&CDS=1-2334	YNL221C
OG0000850	snap_masked-NW_003020038.1-processed-gene-17.154-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.154&CDS=1-1155	YGR163W
OG0000851	snap_masked-NW_003020038.1-processed-gene-17.155-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.155&CDS=1-1734	YLL018C
OG0000852	snap_masked-NW_003020038.1-processed-gene-17.156-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.156&CDS=1-813	YGL050W
OG0000853	snap_masked-NW_003020038.1-processed-gene-17.157-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.157&CDS=1-2727	YLR309C
OG0000854	genemark-NW_003020038.1-processed-gene-17.109-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-17.109&CDS=1-432	YJR044C
OG0000855	snap_masked-NW_003020038.1-processed-gene-17.158-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-17.158&CDS=1-966	YJL066C
OG0000856	genemark-NW_003020038.1-processed-gene-17.111-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-17.111&CDS=1-4641	YOL033W
OG0000857	genemark-NW_003020038.1-processed-gene-17.82-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-17.82&CDS=1-429	YGL106W
OG0000858	maker-NW_003020038.1-snap-gene-17.63-mRNA-1_1&gene=maker-NW_003020038.1-snap-gene-17.63&CDS=1-2301	YNL001W
OG0000859	genemark-NW_003020038.1-processed-gene-17.84-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-17.84&CDS=1-1701	YBR239C
OG0000860	maker-NW_003020038.1-snap-gene-17.57-mRNA-1_1&gene=maker-NW_003020038.1-snap-gene-17.57&CDS=1-447	YGL103W
OG0000861	maker-NW_003020038.1-snap-gene-17.59-mRNA-1_1&gene=maker-NW_003020038.1-snap-gene-17.59&CDS=1-555	YGR029W
OG0000862	snap_masked-NW_003020038.1-processed-gene-18.0-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-18.0&CDS=1-1014	YBL033C
OG0000863	snap_masked-NW_003020038.1-processed-gene-18.1-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-18.1&CDS=1-1011	YKR092C
OG0000864	snap_masked-NW_003020038.1-processed-gene-18.3-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-18.3&CDS=1-2538	YIL143C
OG0000865	snap_masked-NW_003020038.1-processed-gene-18.4-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-18.4&CDS=1-579	YBL090W
OG0000866	snap_masked-NW_003020038.1-processed-gene-18.18-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-18.18&CDS=1-2067	YPR185W
OG0000867	genemark-NW_003020038.1-processed-gene-18.42-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-18.42&CDS=1-1752	YPR190C
OG0000868	snap_masked-NW_003020038.1-processed-gene-18.24-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-18.24&CDS=1-2481	YPR029C
OG0000869	genemark-NW_003020038.1-processed-gene-18.61-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-18.61&CDS=1-594	YPR165W
OG0000870	snap_masked-NW_003020038.1-processed-gene-18.8-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-18.8&CDS=1-2001	YKR034W
OG0000871	snap_masked-NW_003020038.1-processed-gene-18.26-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-18.26&CDS=1-1680	YMR105C
OG0000872	genemark-NW_003020038.1-processed-gene-18.47-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-18.47&CDS=1-969	YPL227C
OG0000873	snap_masked-NW_003020038.1-processed-gene-18.27-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-18.27&CDS=1-1875	YNL152W
OG0000874	snap_masked-NW_003020038.1-processed-gene-18.14-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-18.14&CDS=1-723	YNL151C
OG0000875	snap_masked-NW_003020038.1-processed-gene-18.28-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-18.28&CDS=1-1599	YPR137W
OG0000876	snap_masked-NW_003020038.1-processed-gene-18.29-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-18.29&CDS=1-381	YNL149C
OG0000877	snap_masked-NW_003020038.1-processed-gene-18.30-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-18.30&CDS=1-783	YNL148C
OG0000878	snap_masked-NW_003020038.1-processed-gene-18.31-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-18.31&CDS=1-2130	YIL144W
OG0000879	snap_masked-NW_003020038.1-processed-gene-18.16-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-18.16&CDS=1-1032	YKR071C
OG0000880	snap_masked-NW_003020038.1-processed-gene-18.33-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-18.33&CDS=1-1611	YPR065W
OG0000881	snap_masked-NW_003020038.1-processed-gene-19.46-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-19.46&CDS=1-1611	YGR119C
OG0000882	genemark-NW_003020038.1-processed-gene-19.3-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-19.3&CDS=1-3255	YKR086W
OG0000883	snap_masked-NW_003020038.1-processed-gene-19.50-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-19.50&CDS=1-933	YIL145C
OG0000884	snap_masked-NW_003020038.1-processed-gene-19.48-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-19.48&CDS=1-1176	YOR084W
OG0000885	snap_masked-NW_003020038.1-processed-gene-19.68-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-19.68&CDS=1-3288	YPL160W
OG0000886	augustus_masked-NW_003020038.1-processed-gene-19.116-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-19.116&CDS=1-2757	YMR268C
OG0000887	snap_masked-NW_003020038.1-processed-gene-19.53-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-19.53&CDS=1-693	YMR269W
OG0000888	snap_masked-NW_003020038.1-processed-gene-19.54-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-19.54&CDS=1-3114	YML104C
OG0000889	snap_masked-NW_003020038.1-processed-gene-19.55-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-19.55&CDS=1-714	YFL010C
OG0000890	snap_masked-NW_003020038.1-processed-gene-19.70-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-19.70&CDS=1-633	YFL005W
OG0000891	snap_masked-NW_003020038.1-processed-gene-19.71-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-19.71&CDS=1-1779	YLR060W
OG0000892	snap_masked-NW_003020038.1-processed-gene-19.72-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-19.72&CDS=1-2799	YFL034W
OG0000893	augustus_masked-NW_003020038.1-processed-gene-19.104-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-19.104&CDS=1-951	YLR063W
OG0000894	genemark-NW_003020038.1-processed-gene-19.31-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-19.31&CDS=1-5445	YPL009C
OG0000895	maker-NW_003020038.1-augustus-gene-19.133-mRNA-1_1&gene=maker-NW_003020038.1-augustus-gene-19.133&CDS=1-2049	YPL015C
OG0000896	snap_masked-NW_003020038.1-processed-gene-19.62-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-19.62&CDS=1-903	YOR340C
OG0000897	snap_masked-NW_003020038.1-processed-gene-19.80-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-19.80&CDS=1-1401	YOR334W
OG0000898	maker-NW_003020038.1-snap-gene-19.90-mRNA-1_1&gene=maker-NW_003020038.1-snap-gene-19.90&CDS=1-678	YOR332W
OG0000899	snap_masked-NW_003020038.1-processed-gene-19.83-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-19.83&CDS=1-852	YOR100C
OG0000900	snap_masked-NW_003020038.1-processed-gene-19.84-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-19.84&CDS=1-2403	YNL126W
