	Metschnikowia_hamakuensis	Saccharomyces_cerevisiae
OG0000310	maker-ham-_s435-augustus-gene-0.53-mRNA-1_1&gene=maker-ham-_s435-augustus-gene-0.53&CDS=1-4620, snap_masked-ham-_s226-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ham-_s226-processed-gene-0.12&CDS=1-210	YKL014C
OG0000311	maker-ham-_s227-snap-gene-0.12-mRNA-1_1&gene=maker-ham-_s227-snap-gene-0.12&CDS=1-1740, snap_masked-ham-_s46-processed-gene-0.71-mRNA-1_1&gene=snap_masked-ham-_s46-processed-gene-0.71&CDS=1-2016	YHR124W
OG0000312	snap_masked-ham-_s228-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ham-_s228-processed-gene-0.6&CDS=1-261, snap_masked-ham-_s553-processed-gene-0.192-mRNA-1_1&gene=snap_masked-ham-_s553-processed-gene-0.192&CDS=1-1539	YMR239C
OG0000313	snap_masked-ham-_s230-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ham-_s230-processed-gene-0.18&CDS=1-1380	YDR247W, YPL026C
OG0000314	augustus_masked-ham-_s230-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-ham-_s230-processed-gene-0.50&CDS=1-288, genemark-ham-_s26-processed-gene-0.14-mRNA-1_1&gene=genemark-ham-_s26-processed-gene-0.14&CDS=1-1851	YPL155C
OG0000315	maker-ham-_s879-snap-gene-0.73-mRNA-1_1&gene=maker-ham-_s879-snap-gene-0.73&CDS=1-639, snap_masked-ham-_s232-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ham-_s232-processed-gene-0.2&CDS=1-204	YDR381W
OG0000316	snap_masked-ham-_s24-processed-gene-0.92-mRNA-1_1&gene=snap_masked-ham-_s24-processed-gene-0.92&CDS=1-369	YMR230W, YOR293W
OG0000317	augustus_masked-ham-_s265-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-ham-_s265-processed-gene-0.91&CDS=1-342, snap_masked-ham-_s24-processed-gene-1.113-mRNA-1_1&gene=snap_masked-ham-_s24-processed-gene-1.113&CDS=1-1188	YPR186C
OG0000318	snap_masked-ham-_s24-processed-gene-1.124-mRNA-1_1&gene=snap_masked-ham-_s24-processed-gene-1.124&CDS=1-3075	YLR450W, YML075C
OG0000319	snap_masked-ham-_s24-processed-gene-1.125-mRNA-1_1&gene=snap_masked-ham-_s24-processed-gene-1.125&CDS=1-1767	YJR130C, YML082W
OG0000320	snap_masked-ham-_s245-processed-gene-0.54-mRNA-1_1&gene=snap_masked-ham-_s245-processed-gene-0.54&CDS=1-3537	YGL133W, YPL216W
OG0000321	snap_masked-ham-_s252-processed-gene-0.34-mRNA-1_1&gene=snap_masked-ham-_s252-processed-gene-0.34&CDS=1-714	YDR259C, YOR028C
OG0000322	maker-ham-_s279-snap-gene-3.79-mRNA-1_1&gene=maker-ham-_s279-snap-gene-3.79&CDS=1-4194, snap_masked-ham-_s253-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ham-_s253-processed-gene-0.10&CDS=1-2121	YGL205W
OG0000323	snap_masked-ham-_s255-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ham-_s255-processed-gene-0.10&CDS=1-4068	YGR070W, YLR371W
OG0000324	snap_masked-ham-_s257-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ham-_s257-processed-gene-0.7&CDS=1-1512	YDL161W, YLR206W
OG0000325	snap_masked-ham-_s259-processed-gene-0.79-mRNA-1_1&gene=snap_masked-ham-_s259-processed-gene-0.79&CDS=1-1380, snap_masked-ham-_s587-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ham-_s587-processed-gene-0.18&CDS=1-1413	YMR020W
OG0000326	snap_masked-ham-_s259-processed-gene-0.65-mRNA-1_1&gene=snap_masked-ham-_s259-processed-gene-0.65&CDS=1-267	YBR089C-A, YPR052C
OG0000327	snap_masked-ham-_s259-processed-gene-0.73-mRNA-1_1&gene=snap_masked-ham-_s259-processed-gene-0.73&CDS=1-516	YMR242C, YOR312C
OG0000328	snap_masked-ham-_s259-processed-gene-0.74-mRNA-1_1&gene=snap_masked-ham-_s259-processed-gene-0.74&CDS=1-801, snap_masked-ham-_s539-processed-gene-0.84-mRNA-1_1&gene=snap_masked-ham-_s539-processed-gene-0.84&CDS=1-804	YMR226C
OG0000329	snap_masked-ham-_s26-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s26-processed-gene-0.1&CDS=1-1692, snap_masked-ham-_s286-processed-gene-2.17-mRNA-1_1&gene=snap_masked-ham-_s286-processed-gene-2.17&CDS=1-1740	YKR093W
OG0000330	snap_masked-ham-_s264-processed-gene-0.118-mRNA-1_1&gene=snap_masked-ham-_s264-processed-gene-0.118&CDS=1-2130	YGR056W, YLR357W
OG0000331	genemark-ham-_s465-processed-gene-0.23-mRNA-1_1&gene=genemark-ham-_s465-processed-gene-0.23&CDS=1-1170, snap_masked-ham-_s264-processed-gene-0.149-mRNA-1_1&gene=snap_masked-ham-_s264-processed-gene-0.149&CDS=1-1116	YCR044C
OG0000332	snap_masked-ham-_s264-processed-gene-0.130-mRNA-1_1&gene=snap_masked-ham-_s264-processed-gene-0.130&CDS=1-1410	YJL139C, YKR061W
OG0000333	snap_masked-ham-_s264-processed-gene-0.158-mRNA-1_1&gene=snap_masked-ham-_s264-processed-gene-0.158&CDS=1-510	YJL177W, YKL180W
OG0000334	snap_masked-ham-_s265-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s265-processed-gene-0.8&CDS=1-3720	YDR122W, YLR096W
OG0000335	snap_masked-ham-_s265-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ham-_s265-processed-gene-0.13&CDS=1-1560, snap_masked-ham-_s324-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s324-processed-gene-0.1&CDS=1-147	YGL138C
OG0000336	snap_masked-ham-_s267-processed-gene-0.38-mRNA-1_1&gene=snap_masked-ham-_s267-processed-gene-0.38&CDS=1-2184, snap_masked-ham-_s552-processed-gene-1.25-mRNA-1_1&gene=snap_masked-ham-_s552-processed-gene-1.25&CDS=1-3237	YGL179C
OG0000337	snap_masked-ham-_s267-processed-gene-0.40-mRNA-1_1&gene=snap_masked-ham-_s267-processed-gene-0.40&CDS=1-2424, snap_masked-ham-_s76-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ham-_s76-processed-gene-0.26&CDS=1-2079	YBL011W
OG0000338	snap_masked-ham-_s267-processed-gene-0.43-mRNA-1_1&gene=snap_masked-ham-_s267-processed-gene-0.43&CDS=1-2124	YKL050C, YMR031C
OG0000339	augustus_masked-ham-_s27-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_s27-processed-gene-0.0&CDS=1-417, snap_masked-ham-_s336-processed-gene-2.202-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.202&CDS=1-2163	YPR018W
OG0000340	snap_masked-ham-_s27-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ham-_s27-processed-gene-0.22&CDS=1-1482	YIL113W, YNL053W
OG0000341	maker-ham-_s272-snap-gene-0.0-mRNA-1_1&gene=maker-ham-_s272-snap-gene-0.0&CDS=1-585	YLR287C-A, YOR182C
OG0000342	genemark-ham-_s41-processed-gene-0.102-mRNA-1_1&gene=genemark-ham-_s41-processed-gene-0.102&CDS=1-636, snap_masked-ham-_s272-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ham-_s272-processed-gene-0.18&CDS=1-783	YLR285W
OG0000343	snap_masked-ham-_s276-processed-gene-0.53-mRNA-1_1&gene=snap_masked-ham-_s276-processed-gene-0.53&CDS=1-627, snap_masked-ham-_s482-processed-gene-4.271-mRNA-1_1&gene=snap_masked-ham-_s482-processed-gene-4.271&CDS=1-615	YNR018W
OG0000344	snap_masked-ham-_s276-processed-gene-0.82-mRNA-1_1&gene=snap_masked-ham-_s276-processed-gene-0.82&CDS=1-3915, snap_masked-ham-_s75-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ham-_s75-processed-gene-0.18&CDS=1-528	YMR129W
OG0000345	snap_masked-ham-_s276-processed-gene-0.85-mRNA-1_1&gene=snap_masked-ham-_s276-processed-gene-0.85&CDS=1-1536, snap_masked-ham-_s459-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ham-_s459-processed-gene-0.3&CDS=1-1947	YLR034C
OG0000346	snap_masked-ham-_s276-processed-gene-0.86-mRNA-1_1&gene=snap_masked-ham-_s276-processed-gene-0.86&CDS=1-738, snap_masked-ham-_s552-processed-gene-0.86-mRNA-1_1&gene=snap_masked-ham-_s552-processed-gene-0.86&CDS=1-753	YKL040C
OG0000347	augustus_masked-ham-_s77-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ham-_s77-processed-gene-0.6&CDS=1-480, maker-ham-_s276-snap-gene-0.49-mRNA-1_1&gene=maker-ham-_s276-snap-gene-0.49&CDS=1-2322	YMR019W
OG0000348	snap_masked-ham-_s276-processed-gene-0.95-mRNA-1_1&gene=snap_masked-ham-_s276-processed-gene-0.95&CDS=1-657	YER031C, YGL210W
OG0000349	augustus_masked-ham-_s543-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-ham-_s543-processed-gene-0.45&CDS=1-2130, snap_masked-ham-_s279-processed-gene-0.100-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-0.100&CDS=1-2265	YGR150C
OG0000350	augustus_masked-ham-_s372-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ham-_s372-processed-gene-0.10&CDS=1-468, snap_masked-ham-_s279-processed-gene-0.101-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-0.101&CDS=1-1926	YLR143W
OG0000351	snap_masked-ham-_s279-processed-gene-0.78-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-0.78&CDS=1-1983, snap_masked-ham-_s462-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ham-_s462-processed-gene-0.15&CDS=1-309	YKL179C
OG0000352	snap_masked-ham-_s279-processed-gene-0.105-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-0.105&CDS=1-921	YBR147W, YOL092W
OG0000353	snap_masked-ham-_s279-processed-gene-0.113-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-0.113&CDS=1-1707, snap_masked-ham-_s635-processed-gene-0.30-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.30&CDS=1-1689	YNR055C
OG0000354	snap_masked-ham-_s279-processed-gene-1.4-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-1.4&CDS=1-1125	YMR253C, YPL264C
OG0000355	genemark-ham-_s279-processed-gene-1.86-mRNA-1_1&gene=genemark-ham-_s279-processed-gene-1.86&CDS=1-2823	YKR089C, YOR081C
OG0000356	snap_masked-ham-_s279-processed-gene-1.18-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-1.18&CDS=1-3297	YIR033W, YKL020C
OG0000357	snap_masked-ham-_s279-processed-gene-1.26-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-1.26&CDS=1-1422	YMR182C, YPL230W
OG0000358	genemark-ham-_s279-processed-gene-1.80-mRNA-1_1&gene=genemark-ham-_s279-processed-gene-1.80&CDS=1-486	YDR178W, YLR164W
OG0000359	snap_masked-ham-_s279-processed-gene-2.112-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-2.112&CDS=1-2148	YER066W, YFL009W
OG0000360	snap_masked-ham-_s279-processed-gene-2.130-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-2.130&CDS=1-663	YML106W, YMR271C
OG0000361	snap_masked-ham-_s279-processed-gene-2.132-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-2.132&CDS=1-3291	YML109W, YMR273C
OG0000362	maker-ham-_s279-snap-gene-2.143-mRNA-1_1&gene=maker-ham-_s279-snap-gene-2.143&CDS=1-1776, snap_masked-ham-_s49-processed-gene-0.61-mRNA-1_1&gene=snap_masked-ham-_s49-processed-gene-0.61&CDS=1-813	YBR137W
OG0000363	maker-ham-_s279-snap-gene-3.77-mRNA-1_1&gene=maker-ham-_s279-snap-gene-3.77&CDS=1-1251	YDR348C, YHR097C
OG0000364	snap_masked-ham-_s279-processed-gene-3.97-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-3.97&CDS=1-849, snap_masked-ham-_s887-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ham-_s887-processed-gene-0.10&CDS=1-192	YDR116C
OG0000365	snap_masked-ham-_s279-processed-gene-3.100-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-3.100&CDS=1-4191	YCL068C, YCR038C
OG0000366	genemark-ham-_s335-processed-gene-0.86-mRNA-1_1&gene=genemark-ham-_s335-processed-gene-0.86&CDS=1-996, snap_masked-ham-_s279-processed-gene-4.36-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-4.36&CDS=1-984	YOR246C
OG0000367	snap_masked-ham-_s279-processed-gene-4.16-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-4.16&CDS=1-756, snap_masked-ham-_s552-processed-gene-0.82-mRNA-1_1&gene=snap_masked-ham-_s552-processed-gene-0.82&CDS=1-264	YJR024C
OG0000368	maker-ham-_s341-snap-gene-0.135-mRNA-1_1&gene=maker-ham-_s341-snap-gene-0.135&CDS=1-2439, snap_masked-ham-_s279-processed-gene-4.19-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-4.19&CDS=1-2826	YOR270C
OG0000369	snap_masked-ham-_s279-processed-gene-4.48-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-4.48&CDS=1-2580, snap_masked-ham-_s468-processed-gene-0.112-mRNA-1_1&gene=snap_masked-ham-_s468-processed-gene-0.112&CDS=1-894	YOR032C
OG0000370	snap_masked-ham-_s279-processed-gene-4.28-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-4.28&CDS=1-564, snap_masked-ham-_s564-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ham-_s564-processed-gene-0.16&CDS=1-549	YLR109W
OG0000371	maker-ham-_s279-snap-gene-4.78-mRNA-1_1&gene=maker-ham-_s279-snap-gene-4.78&CDS=1-2559	YDR458C, YML034W
OG0000372	snap_masked-ham-_s279-processed-gene-4.72-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-4.72&CDS=1-1557, snap_masked-ham-_s482-processed-gene-0.109-mRNA-1_1&gene=snap_masked-ham-_s482-processed-gene-0.109&CDS=1-804	YDR207C
OG0000373	maker-ham-_s281-augustus-gene-0.52-mRNA-1_1&gene=maker-ham-_s281-augustus-gene-0.52&CDS=1-2178	YAL062W, YOR375C
OG0000374	snap_masked-ham-_s281-processed-gene-0.58-mRNA-1_1&gene=snap_masked-ham-_s281-processed-gene-0.58&CDS=1-2025	YCR026C, YEL016C
OG0000375	snap_masked-ham-_s281-processed-gene-0.79-mRNA-1_1&gene=snap_masked-ham-_s281-processed-gene-0.79&CDS=1-1749	YBR021W, YIR028W
OG0000376	snap_masked-ham-_s281-processed-gene-0.65-mRNA-1_1&gene=snap_masked-ham-_s281-processed-gene-0.65&CDS=1-2328, snap_masked-ham-_s435-processed-gene-0.77-mRNA-1_1&gene=snap_masked-ham-_s435-processed-gene-0.77&CDS=1-2349	YPR003C
OG0000377	augustus_masked-ham-_s282-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-ham-_s282-processed-gene-0.28&CDS=1-393, snap_masked-ham-_s430-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ham-_s430-processed-gene-0.0&CDS=1-5472	YER155C
OG0000378	snap_masked-ham-_s282-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ham-_s282-processed-gene-0.22&CDS=1-1245, snap_masked-ham-_s536-processed-gene-0.104-mRNA-1_1&gene=snap_masked-ham-_s536-processed-gene-0.104&CDS=1-516	YOR057W
OG0000379	genemark-ham-_s385-processed-gene-0.9-mRNA-1_1&gene=genemark-ham-_s385-processed-gene-0.9&CDS=1-1737, snap_masked-ham-_s284-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ham-_s284-processed-gene-0.16&CDS=1-210	YOR329C
OG0000380	snap_masked-ham-_s284-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s284-processed-gene-0.5&CDS=1-1416	YML118W, YMR285C
OG0000381	augustus_masked-ham-_s293-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ham-_s293-processed-gene-0.6&CDS=1-2100, snap_masked-ham-_s284-processed-gene-0.23-mRNA-1_1&gene=snap_masked-ham-_s284-processed-gene-0.23&CDS=1-2094	YLL029W
OG0000382	augustus_masked-ham-_s92-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-ham-_s92-processed-gene-0.26&CDS=1-324, snap_masked-ham-_s284-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ham-_s284-processed-gene-0.9&CDS=1-3033	YGL016W
OG0000383	maker-ham-_s284-augustus-gene-0.39-mRNA-1_1&gene=maker-ham-_s284-augustus-gene-0.39&CDS=1-411	YDR447C, YML024W
OG0000384	snap_masked-ham-_s284-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ham-_s284-processed-gene-0.29&CDS=1-1185	YHL003C, YKL008C
OG0000385	snap_masked-ham-_s286-processed-gene-0.69-mRNA-1_1&gene=snap_masked-ham-_s286-processed-gene-0.69&CDS=1-1782	YDR497C, YOL103W
OG0000386	snap_masked-ham-_s286-processed-gene-0.77-mRNA-1_1&gene=snap_masked-ham-_s286-processed-gene-0.77&CDS=1-561	YNL096C, YOR096W
OG0000387	snap_masked-ham-_s286-processed-gene-2.56-mRNA-1_1&gene=snap_masked-ham-_s286-processed-gene-2.56&CDS=1-1245	YMR177W, YPL224C
OG0000388	snap_masked-ham-_s286-processed-gene-2.41-mRNA-1_1&gene=snap_masked-ham-_s286-processed-gene-2.41&CDS=1-2211, snap_masked-ham-_s479-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ham-_s479-processed-gene-0.7&CDS=1-561	YOR017W
OG0000389	snap_masked-ham-_s289-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s289-processed-gene-0.8&CDS=1-1080	YPR013C, YPR015C
OG0000390	snap_masked-ham-_s29-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ham-_s29-processed-gene-0.2&CDS=1-1554	YMR199W, YPL256C
OG0000391	snap_masked-ham-_s293-processed-gene-0.20-mRNA-1_1&gene=snap_masked-ham-_s293-processed-gene-0.20&CDS=1-1527	YJR054W, YML047C
OG0000392	augustus_masked-ham-_s41-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-ham-_s41-processed-gene-0.23&CDS=1-828, snap_masked-ham-_s296-processed-gene-0.187-mRNA-1_1&gene=snap_masked-ham-_s296-processed-gene-0.187&CDS=1-732	YMR156C
OG0000393	snap_masked-ham-_s296-processed-gene-0.235-mRNA-1_1&gene=snap_masked-ham-_s296-processed-gene-0.235&CDS=1-1452, snap_masked-ham-_s876-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s876-processed-gene-0.1&CDS=1-297	YBR233W
OG0000394	snap_masked-ham-_s296-processed-gene-0.256-mRNA-1_1&gene=snap_masked-ham-_s296-processed-gene-0.256&CDS=1-1671	YHR115C, YNL116W
OG0000395	augustus_masked-ham-_s394-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-ham-_s394-processed-gene-0.32&CDS=1-300, snap_masked-ham-_s296-processed-gene-0.261-mRNA-1_1&gene=snap_masked-ham-_s296-processed-gene-0.261&CDS=1-2298	YNL221C
OG0000396	snap_masked-ham-_s298-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s298-processed-gene-0.1&CDS=1-1944, snap_masked-ham-_s39-processed-gene-0.63-mRNA-1_1&gene=snap_masked-ham-_s39-processed-gene-0.63&CDS=1-1458	YNL027W
OG0000397	genemark-ham-_s299-processed-gene-0.7-mRNA-1_1&gene=genemark-ham-_s299-processed-gene-0.7&CDS=1-564, snap_masked-ham-_s552-processed-gene-1.60-mRNA-1_1&gene=snap_masked-ham-_s552-processed-gene-1.60&CDS=1-450	YML098W
OG0000398	snap_masked-ham-_s307-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ham-_s307-processed-gene-0.2&CDS=1-1101, snap_masked-ham-_s39-processed-gene-0.75-mRNA-1_1&gene=snap_masked-ham-_s39-processed-gene-0.75&CDS=1-1116	YBL016W
OG0000399	snap_masked-ham-_s307-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s307-processed-gene-0.8&CDS=1-1515, snap_masked-ham-_s663-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ham-_s663-processed-gene-0.14&CDS=1-1524	YGR260W
OG0000400	snap_masked-ham-_s308-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ham-_s308-processed-gene-0.14&CDS=1-1218	YBR066C, YDR043C
OG0000401	augustus_masked-ham-_s314-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_s314-processed-gene-0.0&CDS=1-558, snap_masked-ham-_s659-processed-gene-1.37-mRNA-1_1&gene=snap_masked-ham-_s659-processed-gene-1.37&CDS=1-2091	YDL113C
OG0000402	augustus_masked-ham-_s315-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-ham-_s315-processed-gene-0.64&CDS=1-255, augustus_masked-ham-_s446-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-ham-_s446-processed-gene-0.110&CDS=1-2820	YGR198W
OG0000403	genemark-ham-_s341-processed-gene-0.81-mRNA-1_1&gene=genemark-ham-_s341-processed-gene-0.81&CDS=1-1683, snap_masked-ham-_s317-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ham-_s317-processed-gene-0.6&CDS=1-1104	YBR220C
OG0000404	augustus_masked-ham-_s319-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ham-_s319-processed-gene-0.15&CDS=1-339	YER056C-A, YIL052C
OG0000405	snap_masked-ham-_s32-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ham-_s32-processed-gene-0.12&CDS=1-876	YMR183C, YPL232W
OG0000406	snap_masked-ham-_s320-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ham-_s320-processed-gene-0.12&CDS=1-3651	YHR155W, YNL257C
OG0000407	augustus_masked-ham-_s886-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_s886-processed-gene-0.0&CDS=1-1302, snap_masked-ham-_s323-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ham-_s323-processed-gene-0.17&CDS=1-3558	YMR287C
OG0000408	snap_masked-ham-_s327-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ham-_s327-processed-gene-0.18&CDS=1-3024	YJR091C, YPR042C
OG0000409	snap_masked-ham-_s327-processed-gene-0.20-mRNA-1_1&gene=snap_masked-ham-_s327-processed-gene-0.20&CDS=1-327	YJR094W-A, YPR043W
OG0000410	snap_masked-ham-_s328-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s328-processed-gene-0.1&CDS=1-225, snap_masked-ham-_s371-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s371-processed-gene-0.5&CDS=1-3093	YMR185W
OG0000411	snap_masked-ham-_s329-processed-gene-0.151-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.151&CDS=1-459	YGL031C, YGR148C
OG0000412	snap_masked-ham-_s329-processed-gene-0.156-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.156&CDS=1-1950	YDR475C, YOR019W
OG0000413	snap_masked-ham-_s336-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.7&CDS=1-1461, snap_masked-ham-_s552-processed-gene-0.116-mRNA-1_1&gene=snap_masked-ham-_s552-processed-gene-0.116&CDS=1-1410	YGR019W
OG0000414	snap_masked-ham-_s336-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.26&CDS=1-1134, snap_masked-ham-_s737-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s737-processed-gene-0.5&CDS=1-1110	YDL022W
OG0000415	snap_masked-ham-_s336-processed-gene-0.27-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.27&CDS=1-864	YDR253C, YPL038W
OG0000416	augustus_masked-ham-_s474-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ham-_s474-processed-gene-0.6&CDS=1-423, snap_masked-ham-_s336-processed-gene-0.28-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.28&CDS=1-501	YOR103C
OG0000417	snap_masked-ham-_s336-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.15&CDS=1-483	YBR244W, YIR037W
OG0000418	snap_masked-ham-_s336-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.19&CDS=1-768, snap_masked-ham-_s817-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ham-_s817-processed-gene-0.10&CDS=1-768	YLR441C
OG0000419	snap_masked-ham-_s336-processed-gene-0.30-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-0.30&CDS=1-915, snap_masked-ham-_s482-processed-gene-4.213-mRNA-1_1&gene=snap_masked-ham-_s482-processed-gene-4.213&CDS=1-762	YBL064C
OG0000420	genemark-ham-_s336-processed-gene-1.2-mRNA-1_1&gene=genemark-ham-_s336-processed-gene-1.2&CDS=1-1122	YIL135C, YNL074C
OG0000421	snap_masked-ham-_s336-processed-gene-1.90-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.90&CDS=1-1776	YIL085C, YNL029C
OG0000422	snap_masked-ham-_s336-processed-gene-1.93-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.93&CDS=1-1131	YER027C, YGL208W
OG0000423	snap_masked-ham-_s336-processed-gene-1.104-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.104&CDS=1-1941	YDR263C, YOR033C
OG0000424	augustus_masked-ham-_s336-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-ham-_s336-processed-gene-2.0&CDS=1-1161	YCL048W, YDR522C
OG0000425	snap_masked-ham-_s336-processed-gene-2.158-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.158&CDS=1-2367	YDR264C, YOR034C
OG0000426	snap_masked-ham-_s336-processed-gene-2.162-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.162&CDS=1-720	YDR098C, YER174C
OG0000427	snap_masked-ham-_s336-processed-gene-2.171-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.171&CDS=1-723, snap_masked-ham-_s336-processed-gene-2.215-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.215&CDS=1-762	YIR038C
OG0000428	snap_masked-ham-_s336-processed-gene-2.178-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.178&CDS=1-1617, snap_masked-ham-_s49-processed-gene-0.72-mRNA-1_1&gene=snap_masked-ham-_s49-processed-gene-0.72&CDS=1-1584	YMR221C
OG0000429	augustus_masked-ham-_s894-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ham-_s894-processed-gene-0.7&CDS=1-3051, snap_masked-ham-_s336-processed-gene-2.224-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.224&CDS=1-2475	YOR113W
OG0000430	snap_masked-ham-_s336-processed-gene-2.190-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.190&CDS=1-864, snap_masked-ham-_s743-processed-gene-0.21-mRNA-1_1&gene=snap_masked-ham-_s743-processed-gene-0.21&CDS=1-864	YNL202W
