	Komagataella_pastoris	Saccharomyces_cerevisiae
OG0000285	genemark-chromosome_1-processed-gene-26.332-mRNA-1_1&gene=genemark-chromosome_1-processed-gene-26.332&CDS=1-4374, maker-chromosome_2-augustus-gene-3.59-mRNA-1_1&gene=maker-chromosome_2-augustus-gene-3.59&CDS=1-5106	YOL075C
OG0000286	snap_masked-chromosome_2-processed-gene-0.40-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.40&CDS=1-399, snap_masked-chromosome_4-processed-gene-16.2-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-16.2&CDS=1-381	YCL033C
OG0000287	snap_masked-chromosome_2-processed-gene-0.62-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.62&CDS=1-1251, snap_masked-chromosome_2-processed-gene-3.31-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-3.31&CDS=1-1224	YLL057C
OG0000288	snap_masked-chromosome_2-processed-gene-0.41-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.41&CDS=1-684	YHR043C, YHR044C
OG0000289	snap_masked-chromosome_2-processed-gene-0.42-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.42&CDS=1-729	YGL076C, YPL198W
OG0000290	augustus_masked-chromosome_2-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-0.24&CDS=1-1320	YMR177W, YPL224C
OG0000291	snap_masked-chromosome_2-processed-gene-0.45-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-0.45&CDS=1-1275	YGL082W, YPL191C
OG0000292	augustus_masked-chromosome_3-processed-gene-16.47-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-16.47&CDS=1-3762, snap_masked-chromosome_2-processed-gene-1.106-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.106&CDS=1-3867	YKL209C
OG0000293	snap_masked-chromosome_2-processed-gene-1.139-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.139&CDS=1-4578, snap_masked-chromosome_2-processed-gene-14.111-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-14.111&CDS=1-4329	YER166W
OG0000294	snap_masked-chromosome_2-processed-gene-1.114-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.114&CDS=1-696	YDR098C, YER174C
OG0000295	snap_masked-chromosome_2-processed-gene-1.147-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.147&CDS=1-1854	YJL112W, YKR036C
OG0000296	snap_masked-chromosome_2-processed-gene-1.158-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-1.158&CDS=1-1206	YGR108W, YPR119W
OG0000297	snap_masked-chromosome_2-processed-gene-2.57-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.57&CDS=1-1338, snap_masked-chromosome_4-processed-gene-13.107-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-13.107&CDS=1-1413	YGR019W
OG0000298	maker-chromosome_2-augustus-gene-9.5-mRNA-1_1&gene=maker-chromosome_2-augustus-gene-9.5&CDS=1-1749, snap_masked-chromosome_2-processed-gene-2.63-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.63&CDS=1-1572	YMR221C
OG0000299	snap_masked-chromosome_2-processed-gene-2.85-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.85&CDS=1-858	YMR222C, YOR280C
OG0000300	maker-chromosome_2-augustus-gene-2.162-mRNA-1_1&gene=maker-chromosome_2-augustus-gene-2.162&CDS=1-2937	YDR389W, YOR134W
OG0000301	snap_masked-chromosome_2-processed-gene-2.98-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.98&CDS=1-2787, snap_masked-chromosome_4-processed-gene-14.5-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-14.5&CDS=1-3399	YDR270W
OG0000302	snap_masked-chromosome_2-processed-gene-2.79-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-2.79&CDS=1-540	YOR226C, YPL135W
OG0000303	augustus_masked-chromosome_2-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-3.131&CDS=1-2601, snap_masked-chromosome_4-processed-gene-12.30-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-12.30&CDS=1-1338	YML085C
OG0000304	snap_masked-chromosome_2-processed-gene-3.48-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-3.48&CDS=1-723, snap_masked-chromosome_4-processed-gene-15.31-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-15.31&CDS=1-711	YCR020C
OG0000305	snap_masked-chromosome_2-processed-gene-4.140-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-4.140&CDS=1-1086	YDR348C, YHR097C
OG0000306	snap_masked-chromosome_2-processed-gene-4.142-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-4.142&CDS=1-879, snap_masked-chromosome_2-processed-gene-7.155-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-7.155&CDS=1-627	YIR001C
OG0000307	genemark-chromosome_2-processed-gene-4.71-mRNA-1_1&gene=genemark-chromosome_2-processed-gene-4.71&CDS=1-1785, snap_masked-chromosome_4-processed-gene-1.32-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-1.32&CDS=1-2034	YPL155C
OG0000308	snap_masked-chromosome_2-processed-gene-4.151-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-4.151&CDS=1-987	YPR013C, YPR015C
OG0000309	snap_masked-chromosome_2-processed-gene-5.35-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-5.35&CDS=1-888	YER185W, YGR213C
OG0000310	snap_masked-chromosome_2-processed-gene-6.5-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-6.5&CDS=1-957	YKR076W, YMR251W
OG0000311	augustus_masked-chromosome_2-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-6.75&CDS=1-2157	YDR264C, YOR034C
OG0000312	snap_masked-chromosome_2-processed-gene-6.49-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-6.49&CDS=1-1686, snap_masked-chromosome_3-processed-gene-0.24-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-0.24&CDS=1-1707	YGR055W
OG0000313	snap_masked-chromosome_2-processed-gene-6.52-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-6.52&CDS=1-1275, snap_masked-chromosome_4-processed-gene-11.36-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-11.36&CDS=1-1530	YHR135C
OG0000314	snap_masked-chromosome_2-processed-gene-6.27-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-6.27&CDS=1-357	YER131W, YGL189C
OG0000315	snap_masked-chromosome_2-processed-gene-7.183-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-7.183&CDS=1-1185	YLL012W, YLR020C
OG0000316	maker-chromosome_2-augustus-gene-7.4-mRNA-1_1&gene=maker-chromosome_2-augustus-gene-7.4&CDS=1-2763	YNL104C, YOR108W
OG0000317	snap_masked-chromosome_2-processed-gene-7.158-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-7.158&CDS=1-1098	YEL006W, YIL006W
OG0000318	snap_masked-chromosome_2-processed-gene-7.192-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-7.192&CDS=1-396	YBL002W, YDR224C
OG0000319	snap_masked-chromosome_2-processed-gene-7.165-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-7.165&CDS=1-390	YBL003C, YDR225W
OG0000320	genemark-chromosome_2-processed-gene-8.118-mRNA-1_1&gene=genemark-chromosome_2-processed-gene-8.118&CDS=1-2268	YBR172C, YPL105C
OG0000321	snap_masked-chromosome_2-processed-gene-8.96-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-8.96&CDS=1-999	YGR192C, YJR009C
OG0000322	maker-chromosome_2-snap-gene-8.1-mRNA-1_1&gene=maker-chromosome_2-snap-gene-8.1&CDS=1-639	YLR293C, YOR185C
OG0000323	snap_masked-chromosome_2-processed-gene-8.105-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-8.105&CDS=1-1143	YLR300W, YOR190W
OG0000324	snap_masked-chromosome_2-processed-gene-8.88-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-8.88&CDS=1-1050	YMR303C, YOL086C
OG0000325	snap_masked-chromosome_2-processed-gene-9.59-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-9.59&CDS=1-432	YCR031C, YJL191W
OG0000326	snap_masked-chromosome_2-processed-gene-9.57-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-9.57&CDS=1-1644, snap_masked-chromosome_2-processed-gene-9.58-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-9.58&CDS=1-1554	YDR497C
OG0000327	augustus_masked-chromosome_3-processed-gene-8.129-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-8.129&CDS=1-2175, maker-chromosome_2-augustus-gene-9.4-mRNA-1_1&gene=maker-chromosome_2-augustus-gene-9.4&CDS=1-1755	YOL125W
OG0000328	snap_masked-chromosome_2-processed-gene-10.43-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-10.43&CDS=1-1170	YJR054W, YML047C
OG0000329	snap_masked-chromosome_2-processed-gene-10.24-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-10.24&CDS=1-528	YLR456W, YPR172W
OG0000330	snap_masked-chromosome_2-processed-gene-10.25-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-10.25&CDS=1-1131	YMR253C, YPL264C
OG0000331	augustus_masked-chromosome_2-processed-gene-10.169-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-10.169&CDS=1-5715	YBR049C, YDR026C
OG0000332	maker-chromosome_2-snap-gene-10.118-mRNA-1_1&gene=maker-chromosome_2-snap-gene-10.118&CDS=1-465	YBR048W, YDR025W
OG0000333	snap_masked-chromosome_2-processed-gene-10.58-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-10.58&CDS=1-705	YBR014C, YDL010W
OG0000334	maker-chromosome_2-snap-gene-11.98-mRNA-1_1&gene=maker-chromosome_2-snap-gene-11.98&CDS=1-2367, snap_masked-chromosome_4-processed-gene-16.61-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-16.61&CDS=1-1902	YPL270W
OG0000335	augustus_masked-chromosome_4-processed-gene-10.42-mRNA-1_1&gene=augustus_masked-chromosome_4-processed-gene-10.42&CDS=1-1053, snap_masked-chromosome_2-processed-gene-11.33-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-11.33&CDS=1-1119	YBL016W
OG0000336	snap_masked-chromosome_2-processed-gene-12.119-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-12.119&CDS=1-612	YLR029C, YMR121C
OG0000337	snap_masked-chromosome_2-processed-gene-12.145-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-12.145&CDS=1-2415	YFL004W, YPL019C
OG0000338	snap_masked-chromosome_2-processed-gene-13.167-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-13.167&CDS=1-2481	YKL050C, YMR031C
OG0000339	augustus_masked-chromosome_2-processed-gene-13.49-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-13.49&CDS=1-705	YBR242W, YGL101W
OG0000340	snap_masked-chromosome_2-processed-gene-14.100-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-14.100&CDS=1-3087	YML100W, YMR261C
OG0000341	snap_masked-chromosome_2-processed-gene-14.129-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-14.129&CDS=1-1767	YJR130C, YML082W
OG0000342	augustus_masked-chromosome_2-processed-gene-15.55-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-15.55&CDS=1-408	YDR447C, YML024W
OG0000343	augustus_masked-chromosome_2-processed-gene-15.54-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-15.54&CDS=1-1206	YDR450W, YML026C
OG0000344	snap_masked-chromosome_2-processed-gene-15.6-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-15.6&CDS=1-1227	YDR451C, YML027W
OG0000345	snap_masked-chromosome_2-processed-gene-15.30-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-15.30&CDS=1-3408	YHR155W, YNL257C
OG0000346	snap_masked-chromosome_2-processed-gene-15.41-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-15.41&CDS=1-1191, snap_masked-chromosome_2-processed-gene-22.289-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-22.289&CDS=1-972	YGR031W
OG0000347	augustus_masked-chromosome_2-processed-gene-16.104-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-16.104&CDS=1-1818	YGR241C, YHR161C
OG0000348	snap_masked-chromosome_2-processed-gene-16.39-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-16.39&CDS=1-849	YIL114C, YNL055C
OG0000349	snap_masked-chromosome_2-processed-gene-16.40-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-16.40&CDS=1-1446	YGR121C, YPR138C
OG0000350	snap_masked-chromosome_2-processed-gene-17.1-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-17.1&CDS=1-1815	YHR117W, YNL121C
OG0000351	snap_masked-chromosome_2-processed-gene-17.13-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-17.13&CDS=1-1170	YHR123W, YNL130C
OG0000352	snap_masked-chromosome_2-processed-gene-17.24-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-17.24&CDS=1-1056, snap_masked-chromosome_2-processed-gene-17.25-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-17.25&CDS=1-972	YLR354C
OG0000353	maker-chromosome_4-snap-gene-0.38-mRNA-1_1&gene=maker-chromosome_4-snap-gene-0.38&CDS=1-1533, snap_masked-chromosome_2-processed-gene-17.56-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-17.56&CDS=1-2085	YLR248W
OG0000354	augustus_masked-chromosome_2-processed-gene-17.184-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-17.184&CDS=1-324	YGR027C, YLR333C
OG0000355	augustus_masked-chromosome_2-processed-gene-17.188-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-17.188&CDS=1-1428, genemark-chromosome_3-processed-gene-15.65-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-15.65&CDS=1-1602	YOR059C
OG0000356	augustus_masked-chromosome_2-processed-gene-18.12-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-18.12&CDS=1-2808	YJL076W, YKR010C
OG0000357	snap_masked-chromosome_2-processed-gene-18.137-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-18.137&CDS=1-981, snap_masked-chromosome_4-processed-gene-13.113-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-13.113&CDS=1-978	YPL111W
OG0000358	snap_masked-chromosome_2-processed-gene-19.94-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-19.94&CDS=1-849	YBR183W, YPL087W
OG0000359	maker-chromosome_2-snap-gene-19.164-mRNA-1_1&gene=maker-chromosome_2-snap-gene-19.164&CDS=1-4230	YLR450W, YML075C
OG0000360	snap_masked-chromosome_2-processed-gene-19.85-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-19.85&CDS=1-585	YDR453C, YML028W
OG0000361	snap_masked-chromosome_2-processed-gene-19.88-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-19.88&CDS=1-1305	YBL056W, YER089C
OG0000362	snap_masked-chromosome_2-processed-gene-20.179-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-20.179&CDS=1-309	YBR009C, YNL030W
OG0000363	snap_masked-chromosome_2-processed-gene-20.146-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-20.146&CDS=1-411	YBR010W, YNL031C
OG0000364	maker-chromosome_2-snap-gene-21.121-mRNA-1_1&gene=maker-chromosome_2-snap-gene-21.121&CDS=1-510	YJL177W, YKL180W
OG0000365	augustus_masked-chromosome_2-processed-gene-22.11-mRNA-1_1&gene=augustus_masked-chromosome_2-processed-gene-22.11&CDS=1-2076, snap_masked-chromosome_3-processed-gene-6.79-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-6.79&CDS=1-1329	YNR074C
OG0000366	snap_masked-chromosome_2-processed-gene-22.287-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-22.287&CDS=1-2700	YGR056W, YLR357W
OG0000367	genemark-chromosome_2-processed-gene-22.190-mRNA-1_1&gene=genemark-chromosome_2-processed-gene-22.190&CDS=1-2466	YJR059W, YKL198C
OG0000368	snap_masked-chromosome_2-processed-gene-22.312-mRNA-1_1&gene=snap_masked-chromosome_2-processed-gene-22.312&CDS=1-1563, snap_masked-chromosome_4-processed-gene-0.25-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-0.25&CDS=1-1518	YMR319C
OG0000369	snap_masked-chromosome_3-processed-gene-1.114-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-1.114&CDS=1-552	YMR242C, YOR312C
OG0000370	snap_masked-chromosome_3-processed-gene-2.125-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-2.125&CDS=1-612	YBL027W, YBR084C-A
OG0000371	snap_masked-chromosome_3-processed-gene-2.130-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-2.130&CDS=1-1818, snap_masked-chromosome_4-processed-gene-6.55-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-6.55&CDS=1-1806	YDR380W
OG0000372	genemark-chromosome_3-processed-gene-2.109-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-2.109&CDS=1-2151	YKL126W, YMR104C
OG0000373	snap_masked-chromosome_3-processed-gene-2.179-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-2.179&CDS=1-1764, snap_masked-chromosome_4-processed-gene-7.63-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-7.63&CDS=1-1725	YML123C
OG0000374	snap_masked-chromosome_3-processed-gene-3.89-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-3.89&CDS=1-7860	YBR140C, YOL081W
OG0000375	genemark-chromosome_3-processed-gene-3.37-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-3.37&CDS=1-405	YDR471W, YHR010W
OG0000376	snap_masked-chromosome_3-processed-gene-3.102-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-3.102&CDS=1-1620, snap_masked-chromosome_4-processed-gene-5.112-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-5.112&CDS=1-1776	YPL265W
OG0000377	snap_masked-chromosome_3-processed-gene-16.142-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.142&CDS=1-840, snap_masked-chromosome_3-processed-gene-4.130-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-4.130&CDS=1-867	YDR284C
OG0000378	snap_masked-chromosome_3-processed-gene-4.146-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-4.146&CDS=1-2106, snap_masked-chromosome_4-processed-gene-15.14-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-15.14&CDS=1-1854	YDL206W
OG0000379	snap_masked-chromosome_3-processed-gene-4.149-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-4.149&CDS=1-1470	YEL047C, YJR051W
OG0000380	snap_masked-chromosome_3-processed-gene-4.178-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-4.178&CDS=1-4086	YGR070W, YLR371W
OG0000381	genemark-chromosome_3-processed-gene-5.105-mRNA-1_1&gene=genemark-chromosome_3-processed-gene-5.105&CDS=1-1518	YLR270W, YOR173W
OG0000382	snap_masked-chromosome_3-processed-gene-19.3-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-19.3&CDS=1-744, snap_masked-chromosome_3-processed-gene-5.141-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-5.141&CDS=1-285	YNL322C
OG0000383	maker-chromosome_3-snap-gene-5.57-mRNA-1_1&gene=maker-chromosome_3-snap-gene-5.57&CDS=1-849	YLR287C-A, YOR182C
OG0000384	augustus_masked-chromosome_3-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-6.8&CDS=1-3627	YGR238C, YHR158C
OG0000385	snap_masked-chromosome_3-processed-gene-6.71-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-6.71&CDS=1-333	YJR094W-A, YPR043W
OG0000386	snap_masked-chromosome_3-processed-gene-6.78-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-6.78&CDS=1-3318	YDR122W, YLR096W
OG0000387	augustus_masked-chromosome_3-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-7.15&CDS=1-1935	YBR216C, YGL060W
OG0000388	snap_masked-chromosome_3-processed-gene-7.102-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-7.102&CDS=1-1941, snap_masked-chromosome_3-processed-gene-7.96-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-7.96&CDS=1-1842	YJR045C
OG0000389	snap_masked-chromosome_3-processed-gene-7.92-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-7.92&CDS=1-1809	YDR463W, YHR006W
OG0000390	snap_masked-chromosome_3-processed-gene-19.0-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-19.0&CDS=1-1581, snap_masked-chromosome_3-processed-gene-7.119-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-7.119&CDS=1-969	YDL225W
OG0000391	snap_masked-chromosome_3-processed-gene-7.122-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-7.122&CDS=1-1467	YLR260W, YOR171C
OG0000392	augustus_masked-chromosome_3-processed-gene-9.117-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-9.117&CDS=1-1341	YDR200C, YLR238W
OG0000393	maker-chromosome_3-augustus-gene-9.151-mRNA-1_1&gene=maker-chromosome_3-augustus-gene-9.151&CDS=1-3981	YBR294W, YLR092W
OG0000394	snap_masked-chromosome_3-processed-gene-9.98-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-9.98&CDS=1-1071	YAL034C, YOR338W
OG0000395	augustus_masked-chromosome_3-processed-gene-10.118-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-10.118&CDS=1-1356	YHR115C, YNL116W
OG0000396	snap_masked-chromosome_3-processed-gene-11.75-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-11.75&CDS=1-732	YGL096W, YPL177C
OG0000397	maker-chromosome_3-augustus-gene-11.5-mRNA-1_1&gene=maker-chromosome_3-augustus-gene-11.5&CDS=1-4647	YIL109C, YNL049C
OG0000398	snap_masked-chromosome_3-processed-gene-11.88-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-11.88&CDS=1-456	YIL111W, YNL052W
OG0000399	augustus_masked-chromosome_3-processed-gene-12.115-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-12.115&CDS=1-3666	YKL091C, YMR079W
OG0000400	snap_masked-chromosome_3-processed-gene-12.39-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-12.39&CDS=1-4809	YCL068C, YCR038C
OG0000401	snap_masked-chromosome_3-processed-gene-13.142-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.142&CDS=1-2268, snap_masked-chromosome_3-processed-gene-13.154-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-13.154&CDS=1-2892	YOR032C
OG0000402	augustus_masked-chromosome_3-processed-gene-14.39-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-14.39&CDS=1-1812	YGR092W, YPR111W
OG0000403	snap_masked-chromosome_3-processed-gene-15.32-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-15.32&CDS=1-771	YDR272W, YOR040W
OG0000404	snap_masked-chromosome_3-processed-gene-16.117-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-16.117&CDS=1-990, snap_masked-chromosome_4-processed-gene-11.34-mRNA-1_1&gene=snap_masked-chromosome_4-processed-gene-11.34&CDS=1-1023	YNL231C
OG0000405	snap_masked-chromosome_3-processed-gene-18.87-mRNA-1_1&gene=snap_masked-chromosome_3-processed-gene-18.87&CDS=1-2679	YFR022W, YOR018W
OG0000406	augustus_masked-chromosome_3-processed-gene-19.72-mRNA-1_1&gene=augustus_masked-chromosome_3-processed-gene-19.72&CDS=1-1491	YDL224C, YNL197C
