	Candida_homilentoma	Saccharomyces_cerevisiae
OG0000417	-augustus-gene-23.88-mRNA-1_1&gene=maker-gi|1002316232|dbj|BCGB01000001.1|-augustus-gene-23.88&CDS=1-1998, -processed-gene-7.42-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-7.42&CDS=1-861	YNL202W
OG0000418	-processed-gene-7.95-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-7.95&CDS=1-387	YGR034W, YLR344W
OG0000419	-processed-gene-8.52-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-8.52&CDS=1-2286	YGR056W, YLR357W
OG0000420	-processed-gene-8.21-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-8.21&CDS=1-1047	YJL133W, YKR052C
OG0000421	-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-8.26&CDS=1-555	YGR038W, YLR350W
OG0000422	-processed-gene-8.66-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-8.66&CDS=1-1425	YCL040W, YDR516C
OG0000423	-augustus-gene-9.50-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-augustus-gene-9.50&CDS=1-729	YGL076C, YPL198W
OG0000424	-processed-gene-9.122-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-9.122&CDS=1-1218	YHL003C, YKL008C
OG0000425	-augustus-gene-10.3-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-augustus-gene-10.3&CDS=1-3453, -processed-gene-12.27-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-12.27&CDS=1-1284	YDL066W
OG0000426	-processed-gene-10.81-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-10.81&CDS=1-468	YGL031C, YGR148C
OG0000427	-processed-gene-0.112-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-0.112&CDS=1-4668, -snap-gene-11.39-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-snap-gene-11.39&CDS=1-7125	YJL095W
OG0000428	-processed-gene-11.76-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-11.76&CDS=1-1710, -processed-gene-17.58-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.58&CDS=1-1836	YKR034W
OG0000429	-processed-gene-11.84-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-11.84&CDS=1-2322, -processed-gene-13.64-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-13.64&CDS=1-2478	YBL011W
OG0000430	-processed-gene-12.37-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-12.37&CDS=1-480	YBR191W, YPL079W
OG0000431	-processed-gene-12.10-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-12.10&CDS=1-1851	YGR092W, YPR111W
OG0000432	-processed-gene-13.46-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-13.46&CDS=1-2304	YKL050C, YMR031C
OG0000433	-processed-gene-13.72-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-13.72&CDS=1-2670	YIL156W, YKR098C
OG0000434	-processed-gene-14.104-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-14.104&CDS=1-1560, -processed-gene-20.69-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.69&CDS=1-1479	YGR260W
OG0000435	-augustus-gene-14.125-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-augustus-gene-14.125&CDS=1-357	YFL034C-A, YLR061W
OG0000436	-augustus-gene-15.0-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-augustus-gene-15.0&CDS=1-5988	YFL061W, YNL335W
OG0000437	-processed-gene-15.59-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.59&CDS=1-1605	YGR108W, YPR119W
OG0000438	-processed-gene-15.81-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.81&CDS=1-1485	YDL161W, YLR206W
OG0000439	-processed-gene-15.104-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.104&CDS=1-1338, -processed-gene-18.127-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.127&CDS=1-1341	YKL046C
OG0000440	-processed-gene-15.106-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.106&CDS=1-1719	YHL017W, YKL039W
OG0000441	-processed-gene-15.133-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-15.133&CDS=1-660	YER031C, YGL210W
OG0000442	-processed-gene-16.66-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.66&CDS=1-3957	YGL133W, YPL216W
OG0000443	-processed-gene-16.50-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.50&CDS=1-1110	YCR105W, YMR318C
OG0000444	-processed-gene-16.58-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.58&CDS=1-411	YBL087C, YER117W
OG0000445	-processed-gene-16.72-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.72&CDS=1-2262	YIL105C, YNL047C
OG0000446	-processed-gene-17.55-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.55&CDS=1-1680	YKL127W, YMR105C
OG0000447	-processed-gene-18.130-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.130&CDS=1-2931	YKL072W, YMR053C
OG0000448	-processed-gene-18.111-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.111&CDS=1-2685	YMR237W, YOR299W
OG0000449	-processed-gene-18.93-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.93&CDS=1-3195	YDR409W, YOR156C
OG0000450	-processed-gene-18.54-mRNA-1_1&gene=genemark-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.54&CDS=1-732	YHR203C, YJR145C
OG0000451	-processed-gene-19.37-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-19.37&CDS=1-861	YMR183C, YPL232W
OG0000452	-snap-gene-20.128-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-snap-gene-20.128&CDS=1-3453	YEL006W, YIL006W
OG0000453	-processed-gene-1.61-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-1.61&CDS=1-3027, -processed-gene-20.35-mRNA-1_1&gene=genemark-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-20.35&CDS=1-2790	YJL108C
OG0000454	-augustus-gene-21.126-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-augustus-gene-21.126&CDS=1-867, -processed-gene-17.59-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-17.59&CDS=1-501	YJR112W-A
OG0000455	-augustus-gene-21.130-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-augustus-gene-21.130&CDS=1-4011	YBR104W, YPR058W
OG0000456	-processed-gene-0.92-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-0.92&CDS=1-2139	YCR026C, YEL016C
OG0000457	-processed-gene-0.98-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-0.98&CDS=1-999	YKR076W, YMR251W
OG0000458	-processed-gene-1.12-mRNA-1_1&gene=genemark-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-1.12&CDS=1-3051	YOR233W, YPL141C
OG0000459	-processed-gene-2.47-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-2.47&CDS=1-1071	YCR073W-A, YNR034W
OG0000460	-processed-gene-2.67-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-2.67&CDS=1-1896	YEL039C, YJR048W
OG0000461	-snap-gene-3.81-mRNA-1_1&gene=maker-gi|1002316232|dbj|BCGB01000001.1|-snap-gene-3.81&CDS=1-1470	YDR348C, YHR097C
OG0000462	-processed-gene-3.20-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-3.20&CDS=1-882	YKR075C, YOR062C
OG0000463	-processed-gene-4.101-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-4.101&CDS=1-723, -processed-gene-4.79-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-4.79&CDS=1-783	YIR038C
OG0000464	-processed-gene-4.136-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-4.136&CDS=1-4491	YJL083W, YKR019C
OG0000465	-processed-gene-4.104-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-4.104&CDS=1-600	YIL133C, YNL069C
OG0000466	-augustus-gene-14.101-mRNA-1_1&gene=maker-gi|1002316232|dbj|BCGB01000001.1|-augustus-gene-14.101&CDS=1-1860, -processed-gene-4.105-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-4.105&CDS=1-1782	YOR108W
OG0000467	-processed-gene-4.108-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-4.108&CDS=1-3408	YGR238C, YHR158C
OG0000468	-processed-gene-5.110-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-5.110&CDS=1-1086	YDL246C, YJR159W
OG0000469	-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-5.73&CDS=1-198	YDL061C, YLR388W
OG0000470	-processed-gene-5.137-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-5.137&CDS=1-1839	YDL229W, YNL209W
OG0000471	-augustus-gene-5.58-mRNA-1_1&gene=maker-gi|1002316232|dbj|BCGB01000001.1|-augustus-gene-5.58&CDS=1-1782	YNL093W, YOR089C
OG0000472	-processed-gene-6.25-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-6.25&CDS=1-3786	YHR155W, YNL257C
OG0000473	-snap-gene-6.71-mRNA-1_1&gene=maker-gi|1002316232|dbj|BCGB01000001.1|-snap-gene-6.71&CDS=1-399	YHL001W, YKL006W
OG0000474	-processed-gene-24.31-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-24.31&CDS=1-4926, -processed-gene-6.29-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-6.29&CDS=1-5397	YNL271C
OG0000475	-augustus-gene-7.152-mRNA-1_1&gene=maker-gi|1002316232|dbj|BCGB01000001.1|-augustus-gene-7.152&CDS=1-2193	YNL293W, YOL112W
OG0000476	-snap-gene-7.147-mRNA-1_1&gene=maker-gi|1002316232|dbj|BCGB01000001.1|-snap-gene-7.147&CDS=1-2361	YBR150C, YOL089C
OG0000477	-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-7.69&CDS=1-1287	YDR312W, YHR066W
OG0000478	-processed-gene-7.121-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-7.121&CDS=1-435	YGR118W, YPR132W
OG0000479	-processed-gene-8.84-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-8.84&CDS=1-2508	YBR172C, YPL105C
OG0000480	-processed-gene-8.62-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-8.62&CDS=1-3594	YJL045W, YKL148C
OG0000481	-snap-gene-8.44-mRNA-1_1&gene=maker-gi|1002316232|dbj|BCGB01000001.1|-snap-gene-8.44&CDS=1-2703	YDR351W, YHR103W
OG0000482	-processed-gene-8.103-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-8.103&CDS=1-810	YLL053C, YPR192W
OG0000483	-processed-gene-9.67-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-9.67&CDS=1-345	YBR016W, YDL012C
OG0000484	-processed-gene-9.143-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-9.143&CDS=1-543	YLR456W, YPR172W
OG0000485	-processed-gene-18.74-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-18.74&CDS=1-2214, -processed-gene-9.150-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-9.150&CDS=1-2133	YLR014C
OG0000486	-augustus-gene-10.131-mRNA-1_1&gene=maker-gi|1002316232|dbj|BCGB01000001.1|-augustus-gene-10.131&CDS=1-1713	YFR022W, YOR018W
OG0000487	-processed-gene-10.73-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-10.73&CDS=1-1437	YHR115C, YNL116W
OG0000488	-processed-gene-11.61-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-11.61&CDS=1-1581	YBL056W, YER089C
OG0000489	-processed-gene-11.95-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-11.95&CDS=1-642	YDR185C, YLR168C
OG0000490	-processed-gene-11.79-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-11.79&CDS=1-588	YDR453C, YML028W
OG0000491	-processed-gene-12.15-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-12.15&CDS=1-3498	YJR127C, YML081W
OG0000492	-augustus-gene-12.90-mRNA-1_1&gene=maker-gi|1002316232|dbj|BCGB01000001.1|-augustus-gene-12.90&CDS=1-966	YMR194W, YPL249C-A
OG0000493	-processed-gene-13.2-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-13.2&CDS=1-1182	YHR208W, YJR148W
OG0000494	-processed-gene-13.34-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-13.34&CDS=1-1053	YAL034C, YOR338W
OG0000495	-processed-gene-13.15-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-13.15&CDS=1-765	YDR272W, YOR040W
OG0000496	-processed-gene-13.37-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-13.37&CDS=1-1689	YER064C, YIL056W
OG0000497	-processed-gene-14.51-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-14.51&CDS=1-309	YGR209C, YLR043C
OG0000498	-processed-gene-14.83-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-14.83&CDS=1-843	YJL158C, YJL160C
OG0000499	-processed-gene-14.64-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-14.64&CDS=1-966	YPR013C, YPR015C
OG0000500	-snap-gene-14.108-mRNA-1_1&gene=maker-gi|1002316232|dbj|BCGB01000001.1|-snap-gene-14.108&CDS=1-798	YGR214W, YLR048W
OG0000501	-processed-gene-14.73-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-14.73&CDS=1-819	YGR136W, YPR154W
OG0000502	-processed-gene-14.44-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-14.44&CDS=1-360	YDL136W, YDL191W
OG0000503	-augustus-gene-14.107-mRNA-1_1&gene=maker-gi|1002316232|dbj|BCGB01000001.1|-augustus-gene-14.107&CDS=1-1428	YDL137W, YDL192W
OG0000504	-processed-gene-14.79-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-14.79&CDS=1-510	YGR131W, YPR149W
OG0000505	-processed-gene-15.157-mRNA-1_1&gene=genemark-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-15.157&CDS=1-1110	YGL082W, YPL191C
OG0000506	-processed-gene-15.112-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-15.112&CDS=1-411	YDR447C, YML024W
OG0000507	-processed-gene-15.37-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-15.37&CDS=1-468	YEL066W, YPR193C
OG0000508	-processed-gene-16.46-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-16.46&CDS=1-924	YDL127W, YDL179W
OG0000509	-processed-gene-16.72-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-16.72&CDS=1-1317, -processed-gene-19.72-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-19.72&CDS=1-1317	YGR254W
OG0000510	-processed-gene-16.123-mRNA-1_1&gene=genemark-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-16.123&CDS=1-1986	YKL126W, YMR104C
OG0000511	-processed-gene-16.89-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-16.89&CDS=1-1542, -processed-gene-19.73-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-19.73&CDS=1-1578	YGL077C
OG0000512	-processed-gene-17.64-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-17.64&CDS=1-390	YBL003C, YDR225W
OG0000513	-processed-gene-17.6-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-17.6&CDS=1-387	YBL002W, YDR224C
OG0000514	-processed-gene-17.120-mRNA-1_1&gene=genemark-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-17.120&CDS=1-1815	YGR138C, YPR156C
OG0000515	-augustus-gene-23.90-mRNA-1_1&gene=maker-gi|1002316232|dbj|BCGB01000001.1|-augustus-gene-23.90&CDS=1-1974, -processed-gene-17.70-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-17.70&CDS=1-1149	YEL046C
OG0000516	-processed-gene-18.53-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-18.53&CDS=1-4197	YDR122W, YLR096W
OG0000517	-processed-gene-18.67-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-18.67&CDS=1-4629	YML109W, YMR273C
OG0000518	-processed-gene-18.69-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-18.69&CDS=1-660	YML106W, YMR271C
OG0000519	-processed-gene-18.87-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-18.87&CDS=1-2322	YER066W, YFL009W
OG0000520	-processed-gene-19.78-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-19.78&CDS=1-891	YIR013C, YLR013W
OG0000521	-processed-gene-19.10-mRNA-1_1&gene=genemark-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-19.10&CDS=1-405	YER074W, YIL069C
OG0000522	-processed-gene-21.56-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-21.56&CDS=1-1296	YGR141W, YPR157W
OG0000523	-processed-gene-21.62-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-21.62&CDS=1-2589	YDR069C, YER144C
OG0000524	-processed-gene-22.57-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-22.57&CDS=1-609	YJL079C, YKR013W
OG0000525	-processed-gene-22.26-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-22.26&CDS=1-3111	YGL049C, YGR162W
OG0000526	-processed-gene-23.102-mRNA-1_1&gene=genemark-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-23.102&CDS=1-567	YBL027W, YBR084C-A
OG0000527	-processed-gene-24.105-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-24.105&CDS=1-2958, -processed-gene-24.93-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-24.93&CDS=1-2844	YGR204W
OG0000528	-processed-gene-24.98-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-24.98&CDS=1-1539	YGR248W, YHR163W
OG0000529	-processed-gene-24.29-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-24.29&CDS=1-573	YOR226C, YPL135W
OG0000530	-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-0.17&CDS=1-936	YER185W
OG0000531	-processed-gene-0.40-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-0.40&CDS=1-2784	YCR030C
OG0000532	-processed-gene-0.55-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-0.55&CDS=1-1893	YLL035W
OG0000533	-processed-gene-0.42-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-0.42&CDS=1-1509	YNL142W
OG0000534	-processed-gene-0.45-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-0.45&CDS=1-390	YNL153C
OG0000535	-processed-gene-0.57-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-0.57&CDS=1-1296	YGL130W
OG0000536	-processed-gene-0.58-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-0.58&CDS=1-4365	YGL131C
OG0000537	-processed-gene-0.47-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-0.47&CDS=1-1227	YGR111W
OG0000538	-processed-gene-0.63-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-0.63&CDS=1-1875	YJL085W
OG0000539	-processed-gene-0.48-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-0.48&CDS=1-2490	YJL087C
OG0000540	-processed-gene-0.49-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-0.49&CDS=1-1017	YER142C
OG0000541	-processed-gene-1.45-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.45&CDS=1-1209	YDR083W
OG0000542	-processed-gene-1.48-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.48&CDS=1-2367	YER125W
OG0000543	-processed-gene-1.50-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.50&CDS=1-945	YPR023C
OG0000544	-processed-gene-1.51-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.51&CDS=1-549	YDL217C
OG0000545	-processed-gene-1.52-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.52&CDS=1-1062	YNL141W
OG0000546	-processed-gene-1.72-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.72&CDS=1-402	YBL078C
OG0000547	-processed-gene-1.55-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.55&CDS=1-1536	YBL080C
OG0000548	-processed-gene-1.73-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.73&CDS=1-1305	YKL178C
OG0000549	-augustus-gene-1.138-mRNA-1_1&gene=maker-gi|1002316225|dbj|BCGB01000008.1|-augustus-gene-1.138&CDS=1-4521	YER110C
OG0000550	-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.12&CDS=1-723	YDR020C
OG0000551	-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.33&CDS=1-4293	YBL079W
OG0000552	-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.13&CDS=1-1257	YDR415C
OG0000553	-processed-gene-1.77-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.77&CDS=1-423	YCR028C-A
OG0000554	-snap-gene-1.133-mRNA-1_1&gene=maker-gi|1002316225|dbj|BCGB01000008.1|-snap-gene-1.133&CDS=1-495	YOL143C
OG0000555	-snap-gene-1.134-mRNA-1_1&gene=maker-gi|1002316225|dbj|BCGB01000008.1|-snap-gene-1.134&CDS=1-1491	YBR283C
OG0000556	-processed-gene-1.61-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.61&CDS=1-1080	YBR187W
OG0000557	-processed-gene-1.81-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.81&CDS=1-693	YBR193C
OG0000558	-processed-gene-1.82-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.82&CDS=1-1095	YBR192W
OG0000559	-processed-gene-1.83-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.83&CDS=1-5856	YPL082C
OG0000560	-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.20&CDS=1-1614	YOR241W
OG0000561	-processed-gene-1.64-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.64&CDS=1-2067	YPL029W
OG0000562	-processed-gene-1.65-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.65&CDS=1-549	YDR248C
OG0000563	-processed-gene-1.66-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.66&CDS=1-1026	YOR246C
OG0000564	-processed-gene-2.116-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-2.116&CDS=1-1200	YPL028W
