	Lipomyces_starkeyi	Saccharomyces_cerevisiae
OG0000391	maker-scaffold_8-augustus-gene-2.88-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-2.88&CDS=1-3588	YGR070W, YLR371W
OG0000392	augustus_masked-scaffold_8-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.119&CDS=1-783	YHR203C, YJR145C
OG0000393	maker-scaffold_8-augustus-gene-3.55-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-3.55&CDS=1-411	YDR471W, YHR010W
OG0000394	snap_masked-scaffold_8-processed-gene-3.35-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.35&CDS=1-615	YDR252W, YPL037C
OG0000395	augustus_masked-scaffold_8-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.98&CDS=1-2277	YDR251W, YPL032C
OG0000396	augustus_masked-scaffold_8-processed-gene-4.103-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.103&CDS=1-3834	YCR073C, YNR031C
OG0000397	maker-scaffold_8-augustus-gene-6.100-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-6.100&CDS=1-441	YER057C, YIL051C
OG0000398	augustus_masked-scaffold_8-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-6.69&CDS=1-372	YER056C-A, YIL052C
OG0000399	augustus_masked-scaffold_8-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-6.95&CDS=1-246	YHR021C, YKL156W
OG0000400	maker-scaffold_8-augustus-gene-7.90-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-7.90&CDS=1-1233	YBR078W, YDR055W
OG0000401	maker-scaffold_8-augustus-gene-7.83-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-7.83&CDS=1-846	YIL114C, YNL055C
OG0000402	maker-scaffold_8-augustus-gene-8.110-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-8.110&CDS=1-516	YDR178W, YLR164W
OG0000403	maker-scaffold_8-augustus-gene-8.115-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-8.115&CDS=1-1890	YBR216C, YGL060W
OG0000404	maker-scaffold_8-augustus-gene-8.104-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-8.104&CDS=1-1722	YDR358W, YHR108W
OG0000405	augustus_masked-scaffold_9-processed-gene-3.138-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-3.138&CDS=1-1071	YIL117C, YNL058C
OG0000406	augustus_masked-scaffold_9-processed-gene-3.142-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-3.142&CDS=1-5787	YIL149C, YKR095W
OG0000407	maker-scaffold_9-augustus-gene-3.47-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-3.47&CDS=1-1476	YLR260W, YOR171C
OG0000408	maker-scaffold_9-augustus-gene-5.86-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-5.86&CDS=1-3822	YBL079W, YER105C
OG0000409	augustus_masked-scaffold_9-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-5.103&CDS=1-837, maker-scaffold_9-augustus-gene-5.78-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-5.78&CDS=1-789	YDR071C
OG0000410	augustus_masked-scaffold_9-processed-gene-6.113-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-6.113&CDS=1-879	YAL018C, YOL048C
OG0000411	augustus_masked-scaffold_9-processed-gene-6.116-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-6.116&CDS=1-573	YDR185C, YLR168C
OG0000412	augustus_masked-scaffold_9-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-7.32&CDS=1-1323	YGR279C, YMR305C
OG0000413	augustus_masked-scaffold_9-processed-gene-7.38-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-7.38&CDS=1-2106	YGR056W, YLR357W
OG0000414	genemark-scaffold_9-processed-gene-8.146-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-8.146&CDS=1-168	YDL061C, YLR388W
OG0000415	maker-scaffold_9-augustus-gene-8.113-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-8.113&CDS=1-1728	YDL085W, YMR145C
OG0000416	maker-scaffold_9-snap-gene-8.46-mRNA-1_1&gene=maker-scaffold_9-snap-gene-8.46&CDS=1-378	YGR243W, YHR162W
OG0000417	snap_masked-scaffold_1-processed-gene-1.21-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.21&CDS=1-1098	YLR405W
OG0000418	snap_masked-scaffold_1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.25&CDS=1-912	YPR133C
OG0000419	maker-scaffold_1-augustus-gene-1.12-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-1.12&CDS=1-1035	YGR119C
OG0000420	maker-scaffold_1-augustus-gene-1.13-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-1.13&CDS=1-2514	YPR135W
OG0000421	maker-scaffold_1-augustus-gene-1.14-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-1.14&CDS=1-1398	YMR240C
OG0000422	maker-scaffold_1-augustus-gene-1.15-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-1.15&CDS=1-1155	YMR239C
OG0000423	maker-scaffold_1-snap-gene-1.106-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.106&CDS=1-714	YLR145W
OG0000424	genemark-scaffold_1-processed-gene-2.99-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.99&CDS=1-192	YLR262C-A
OG0000425	augustus_masked-scaffold_1-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.3&CDS=1-1149	YOL002C
OG0000426	maker-scaffold_1-augustus-gene-2.93-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.93&CDS=1-348	YLR295C
OG0000427	maker-scaffold_1-augustus-gene-2.82-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.82&CDS=1-1077	YPR086W
OG0000428	augustus_masked-scaffold_1-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.5&CDS=1-921	YCL002C
OG0000429	augustus_masked-scaffold_1-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.20&CDS=1-2709	YHR098C
OG0000430	augustus_masked-scaffold_1-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.21&CDS=1-1434	YOR174W
OG0000431	maker-scaffold_1-augustus-gene-2.94-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.94&CDS=1-924	YDR299W
OG0000432	maker-scaffold_1-augustus-gene-2.84-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.84&CDS=1-618	YLR251W
OG0000433	augustus_masked-scaffold_1-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.11&CDS=1-966	YJL031C
OG0000434	augustus_masked-scaffold_1-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.24&CDS=1-237	YBL071W-A
OG0000435	augustus_masked-scaffold_1-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.13&CDS=1-405	YHR191C
OG0000436	maker-scaffold_1-augustus-gene-2.87-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.87&CDS=1-3366	YPL160W
OG0000437	maker-scaffold_1-snap-gene-2.45-mRNA-1_1&gene=maker-scaffold_1-snap-gene-2.45&CDS=1-987	YER099C
OG0000438	maker-scaffold_1-snap-gene-2.38-mRNA-1_1&gene=maker-scaffold_1-snap-gene-2.38&CDS=1-3291	YOL034W
OG0000439	maker-scaffold_1-augustus-gene-2.96-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.96&CDS=1-1587	YPL262W
OG0000440	maker-scaffold_1-augustus-gene-2.90-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.90&CDS=1-3213	YKR023W
OG0000441	maker-scaffold_1-augustus-gene-2.97-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.97&CDS=1-3834	YOL075C
OG0000442	maker-scaffold_1-augustus-gene-2.91-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.91&CDS=1-1884	YKL212W
OG0000443	maker-scaffold_1-augustus-gene-3.0-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.0&CDS=1-1866	YGR103W
OG0000444	maker-scaffold_1-augustus-gene-3.12-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.12&CDS=1-1101	YAL036C
OG0000445	maker-scaffold_1-augustus-gene-3.1-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.1&CDS=1-1317	YER022W
OG0000446	snap_masked-scaffold_1-processed-gene-3.37-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.37&CDS=1-1365	YOR155C
OG0000447	maker-scaffold_1-augustus-gene-3.16-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.16&CDS=1-1656	YLR433C
OG0000448	augustus_masked-scaffold_1-processed-gene-3.172-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.172&CDS=1-879	YIL003W
OG0000449	genemark-scaffold_1-processed-gene-3.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.82&CDS=1-336	YFL014W
OG0000450	augustus_masked-scaffold_1-processed-gene-3.175-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.175&CDS=1-1764	YDL003W
OG0000451	augustus_masked-scaffold_1-processed-gene-3.177-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.177&CDS=1-1179	YKL114C
OG0000452	augustus_masked-scaffold_1-processed-gene-3.161-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.161&CDS=1-711	YDR489W
OG0000453	maker-scaffold_1-augustus-gene-3.19-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.19&CDS=1-2766	YJL154C
OG0000454	maker-scaffold_1-augustus-gene-3.5-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.5&CDS=1-2034	YMR108W
OG0000455	maker-scaffold_1-augustus-gene-3.6-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.6&CDS=1-2487	YGL163C
OG0000456	augustus_masked-scaffold_1-processed-gene-3.179-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.179&CDS=1-645	YLR293C
OG0000457	maker-scaffold_1-snap-gene-3.126-mRNA-1_1&gene=maker-scaffold_1-snap-gene-3.126&CDS=1-558	YLR066W
OG0000458	maker-scaffold_1-snap-gene-3.142-mRNA-1_1&gene=maker-scaffold_1-snap-gene-3.142&CDS=1-3828	YGL173C
OG0000459	genemark-scaffold_1-processed-gene-3.91-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.91&CDS=1-1329	YGL112C
OG0000460	maker-scaffold_1-augustus-gene-3.22-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.22&CDS=1-2013	YJR045C
OG0000461	maker-scaffold_1-augustus-gene-3.9-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.9&CDS=1-3123	YAL035W
OG0000462	maker-scaffold_1-snap-gene-3.147-mRNA-1_1&gene=maker-scaffold_1-snap-gene-3.147&CDS=1-861	YMR079W
OG0000463	maker-scaffold_1-augustus-gene-3.26-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.26&CDS=1-2847	YCR017C
OG0000464	maker-scaffold_1-augustus-gene-3.27-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.27&CDS=1-2748	YKL139W
OG0000465	maker-scaffold_1-augustus-gene-3.11-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.11&CDS=1-1398	YOR260W
OG0000466	snap_masked-scaffold_1-processed-gene-3.74-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.74&CDS=1-1551	YOL148C
OG0000467	maker-scaffold_1-augustus-gene-3.29-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.29&CDS=1-969	YCR036W
OG0000468	maker-scaffold_1-snap-gene-3.151-mRNA-1_1&gene=maker-scaffold_1-snap-gene-3.151&CDS=1-1218	YGL067W
OG0000469	genemark-scaffold_1-processed-gene-4.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.44&CDS=1-906	YPL206C
OG0000470	augustus_masked-scaffold_1-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.98&CDS=1-915	YMR010W
OG0000471	maker-scaffold_1-augustus-gene-4.86-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.86&CDS=1-954	YMR048W
OG0000472	maker-scaffold_1-augustus-gene-4.87-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.87&CDS=1-1350	YHR086W
OG0000473	maker-scaffold_1-augustus-gene-4.81-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.81&CDS=1-393	YAL046C
OG0000474	augustus_masked-scaffold_1-processed-gene-4.104-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.104&CDS=1-735	YOR352W
OG0000475	augustus_masked-scaffold_1-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.106&CDS=1-1758	YPL003W
OG0000476	maker-scaffold_1-augustus-gene-4.82-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.82&CDS=1-2091	YNL183C
OG0000477	maker-scaffold_1-augustus-gene-4.90-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.90&CDS=1-450	YNL185C
OG0000478	augustus_masked-scaffold_1-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.122&CDS=1-987	YGR086C
OG0000479	augustus_masked-scaffold_1-processed-gene-4.109-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.109&CDS=1-786	YGL123W
OG0000480	augustus_masked-scaffold_1-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.124&CDS=1-1311	YDL084W
OG0000481	augustus_masked-scaffold_1-processed-gene-4.110-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.110&CDS=1-447	YIR015W
OG0000482	maker-scaffold_1-snap-gene-4.148-mRNA-1_1&gene=maker-scaffold_1-snap-gene-4.148&CDS=1-1911	YLL029W
OG0000483	maker-scaffold_1-augustus-gene-4.94-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.94&CDS=1-1260	YPR055W
OG0000484	augustus_masked-scaffold_1-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.111&CDS=1-1611	YKR051W
OG0000485	maker-scaffold_1-augustus-gene-4.95-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.95&CDS=1-2163	YLR277C
OG0000486	maker-scaffold_1-augustus-gene-4.83-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.83&CDS=1-744	YOL139C
OG0000487	genemark-scaffold_1-processed-gene-4.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.75&CDS=1-1320	YOR209C
OG0000488	augustus_masked-scaffold_1-processed-gene-4.131-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.131&CDS=1-2973	YGL016W
OG0000489	maker-scaffold_1-augustus-gene-5.95-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.95&CDS=1-9531	YLR087C
OG0000490	maker-scaffold_1-augustus-gene-5.97-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.97&CDS=1-1290	YKL175W
OG0000491	augustus_masked-scaffold_1-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.32&CDS=1-3129	YOR346W
OG0000492	maker-scaffold_1-augustus-gene-5.99-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.99&CDS=1-1395	YGL017W
OG0000493	maker-scaffold_1-augustus-gene-5.102-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.102&CDS=1-4359	YML035C
OG0000494	maker-scaffold_1-augustus-gene-5.103-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.103&CDS=1-729	YER163C
OG0000495	maker-scaffold_1-augustus-gene-5.109-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.109&CDS=1-1854	YBR182C
OG0000496	maker-scaffold_1-augustus-gene-5.111-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.111&CDS=1-2454	YDL126C
OG0000497	maker-scaffold_1-snap-gene-5.22-mRNA-1_1&gene=maker-scaffold_1-snap-gene-5.22&CDS=1-627	YML064C
OG0000498	maker-scaffold_1-augustus-gene-5.104-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.104&CDS=1-2073	YGR128C
OG0000499	maker-scaffold_1-augustus-gene-5.113-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.113&CDS=1-276	YBR111W-A
OG0000500	maker-scaffold_1-augustus-gene-5.114-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.114&CDS=1-2727	YJR126C
OG0000501	maker-scaffold_1-augustus-gene-5.105-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.105&CDS=1-792	YDR162C
OG0000502	genemark-scaffold_1-processed-gene-5.152-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.152&CDS=1-1557	YJR125C
OG0000503	genemark-scaffold_1-processed-gene-5.135-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.135&CDS=1-486	YDR155C
OG0000504	maker-scaffold_1-augustus-gene-6.197-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.197&CDS=1-2391	YNR013C
OG0000505	maker-scaffold_1-augustus-gene-6.179-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.179&CDS=1-987	YPR023C
OG0000506	maker-scaffold_1-augustus-gene-6.180-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.180&CDS=1-1950	YNL224C
OG0000507	augustus_masked-scaffold_1-processed-gene-6.2-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.2&CDS=1-1161	YFR018C
OG0000508	augustus_masked-scaffold_1-processed-gene-6.4-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.4&CDS=1-1605	YER006W
OG0000509	genemark-scaffold_1-processed-gene-6.140-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.140&CDS=1-2097	YPL104W
OG0000510	maker-scaffold_1-augustus-gene-6.182-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.182&CDS=1-1539	YAL038W
OG0000511	augustus_masked-scaffold_1-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.32&CDS=1-999	YDR460W
OG0000512	augustus_masked-scaffold_1-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.12&CDS=1-2526	YFL023W
OG0000513	maker-scaffold_1-augustus-gene-6.184-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.184&CDS=1-1836	YDR091C
OG0000514	maker-scaffold_1-augustus-gene-6.186-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.186&CDS=1-1611	YMR036C
OG0000515	maker-scaffold_1-augustus-gene-6.188-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.188&CDS=1-2286	YGL022W
OG0000516	maker-scaffold_1-augustus-gene-6.190-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.190&CDS=1-2646	YLR138W
OG0000517	snap_masked-scaffold_1-processed-gene-6.118-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.118&CDS=1-786	YGR058W
OG0000518	maker-scaffold_1-augustus-gene-6.191-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.191&CDS=1-1818	YDR128W
OG0000519	genemark-scaffold_1-processed-gene-6.168-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.168&CDS=1-474	YMR158W
OG0000520	maker-scaffold_1-snap-gene-6.63-mRNA-1_1&gene=maker-scaffold_1-snap-gene-6.63&CDS=1-747	YBR217W
OG0000521	maker-scaffold_1-augustus-gene-6.202-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.202&CDS=1-807	YOR288C
OG0000522	augustus_masked-scaffold_1-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.23&CDS=1-942	YLR181C
OG0000523	augustus_masked-scaffold_1-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.24&CDS=1-1785	YLR276C
OG0000524	genemark-scaffold_1-processed-gene-6.172-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.172&CDS=1-645	YNL107W
OG0000525	augustus_masked-scaffold_1-processed-gene-6.25-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.25&CDS=1-456	YPR062W
OG0000526	augustus_masked-scaffold_1-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.27&CDS=1-951	YNR035C
OG0000527	maker-scaffold_1-augustus-gene-6.206-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.206&CDS=1-1200	YOR051C
OG0000528	maker-scaffold_1-snap-gene-6.67-mRNA-1_1&gene=maker-scaffold_1-snap-gene-6.67&CDS=1-2073	YGR009C
OG0000529	augustus_masked-scaffold_1-processed-gene-6.46-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.46&CDS=1-561	YDR084C
OG0000530	maker-scaffold_1-augustus-gene-7.70-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.70&CDS=1-2808	YLR129W
OG0000531	augustus_masked-scaffold_1-processed-gene-7.139-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.139&CDS=1-690	YBR193C
OG0000532	maker-scaffold_1-augustus-gene-7.86-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.86&CDS=1-2610	YGR100W
OG0000533	maker-scaffold_1-augustus-gene-7.75-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.75&CDS=1-1302	YNL040W
OG0000534	maker-scaffold_1-augustus-gene-7.87-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.87&CDS=1-1020	YGR165W
OG0000535	maker-scaffold_1-augustus-gene-7.88-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.88&CDS=1-1614	YHL032C
OG0000536	maker-scaffold_1-snap-gene-7.102-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.102&CDS=1-1590	YFL027C
OG0000537	augustus_masked-scaffold_1-processed-gene-7.146-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.146&CDS=1-783	YKL088W
OG0000538	maker-scaffold_1-augustus-gene-7.78-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.78&CDS=1-1635	YKR069W
OG0000539	augustus_masked-scaffold_1-processed-gene-7.147-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.147&CDS=1-912	YLR209C
OG0000540	maker-scaffold_1-augustus-gene-7.89-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.89&CDS=1-552	YCR027C
OG0000541	maker-scaffold_1-augustus-gene-7.80-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.80&CDS=1-1611	YER052C
OG0000542	maker-scaffold_1-augustus-gene-7.81-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.81&CDS=1-6087	YJL207C
OG0000543	maker-scaffold_1-augustus-gene-7.90-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.90&CDS=1-3186	YNL123W
OG0000544	snap_masked-scaffold_1-processed-gene-7.55-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.55&CDS=1-444	YJL011C
OG0000545	maker-scaffold_1-augustus-gene-7.91-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.91&CDS=1-1629	YJL014W
OG0000546	maker-scaffold_1-augustus-gene-7.84-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.84&CDS=1-1239	YIL116W
OG0000547	augustus_masked-scaffold_1-processed-gene-8.1-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.1&CDS=1-693	YLR281C
OG0000548	augustus_masked-scaffold_1-processed-gene-8.5-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.5&CDS=1-1413	YLR175W
OG0000549	augustus_masked-scaffold_1-processed-gene-8.3-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.3&CDS=1-2109	YHR194W
OG0000550	maker-scaffold_1-augustus-gene-8.80-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.80&CDS=1-4500	YNL102W
OG0000551	snap_masked-scaffold_1-processed-gene-8.144-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.144&CDS=1-804	YOR145C
OG0000552	maker-scaffold_1-augustus-gene-8.81-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.81&CDS=1-1026	YHR034C
OG0000553	genemark-scaffold_1-processed-gene-8.102-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.102&CDS=1-831	YCR009C
OG0000554	augustus_masked-scaffold_1-processed-gene-8.27-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.27&CDS=1-1515	YDR257C
OG0000555	maker-scaffold_1-augustus-gene-8.72-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.72&CDS=1-744	YOR077W
OG0000556	maker-scaffold_1-snap-gene-8.59-mRNA-1_1&gene=maker-scaffold_1-snap-gene-8.59&CDS=1-1398	YNR050C
OG0000557	maker-scaffold_1-augustus-gene-8.84-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.84&CDS=1-1572	YMR015C
OG0000558	augustus_masked-scaffold_1-processed-gene-8.30-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.30&CDS=1-2667	YEL032W
OG0000559	maker-scaffold_1-augustus-gene-8.73-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.73&CDS=1-1038	YNL136W
OG0000560	maker-scaffold_1-augustus-gene-8.85-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.85&CDS=1-336	YNL135C
OG0000561	maker-scaffold_1-augustus-gene-8.74-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.74&CDS=1-1275	YNL137C
OG0000562	maker-scaffold_1-augustus-gene-8.87-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.87&CDS=1-1614	YNL138W
OG0000563	maker-scaffold_1-augustus-gene-8.88-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.88&CDS=1-2589	YPR160W
OG0000564	maker-scaffold_1-augustus-gene-8.76-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.76&CDS=1-3540	YMR076C
OG0000565	augustus_masked-scaffold_1-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.17&CDS=1-1080	YCR019W
OG0000566	maker-scaffold_1-augustus-gene-8.90-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.90&CDS=1-2595	YFR038W
OG0000567	maker-scaffold_1-augustus-gene-8.91-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.91&CDS=1-1011	YPR004C
