	Lachancea_dasiensis	Saccharomyces_cerevisiae
OG0000689	genemark-LADA0B-processed-gene-2.130-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.130&CDS=1-723	YHR071W
OG0000690	genemark-LADA0B-processed-gene-2.131-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.131&CDS=1-1449	YHR070W
OG0000691	genemark-LADA0B-processed-gene-2.105-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.105&CDS=1-1062	YHR069C
OG0000692	maker-LADA0B-augustus-gene-2.50-mRNA-1_1&gene=maker-LADA0B-augustus-gene-2.50&CDS=1-2487	YHR068W
OG0000693	augustus_masked-LADA0B-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.10&CDS=1-864	YDR315C
OG0000694	augustus_masked-LADA0B-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.33&CDS=1-783	YHR067W
OG0000695	genemark-LADA0B-processed-gene-2.134-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.134&CDS=1-915	YEL029C
OG0000696	genemark-LADA0B-processed-gene-2.136-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.136&CDS=1-3111	YKL197C
OG0000697	genemark-LADA0B-processed-gene-2.137-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.137&CDS=1-642	YJR057W
OG0000698	augustus_masked-LADA0B-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.11&CDS=1-447	YJR056C
OG0000699	genemark-LADA0B-processed-gene-2.108-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.108&CDS=1-873	YML052W
OG0000700	augustus_masked-LADA0B-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.13&CDS=1-1296	YML051W
OG0000701	genemark-LADA0B-processed-gene-2.139-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.139&CDS=1-480	YJR055W
OG0000702	genemark-LADA0B-processed-gene-2.110-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.110&CDS=1-960	YML050W
OG0000703	genemark-LADA0B-processed-gene-2.140-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.140&CDS=1-3750	YML049C
OG0000704	genemark-LADA0B-processed-gene-2.111-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.111&CDS=1-1158	YML048W
OG0000705	genemark-LADA0B-processed-gene-2.141-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.141&CDS=1-1377	YJR054W
OG0000706	augustus_masked-LADA0B-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.42&CDS=1-1617	YJR053W
OG0000707	genemark-LADA0B-processed-gene-2.113-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.113&CDS=1-1407	YBR247C
OG0000708	augustus_masked-LADA0B-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.43&CDS=1-807	YGL098W
OG0000709	genemark-LADA0B-processed-gene-2.114-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.114&CDS=1-1098	YDR354W
OG0000710	genemark-LADA0B-processed-gene-2.115-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.115&CDS=1-2478	YDR356W
OG0000711	genemark-LADA0B-processed-gene-2.144-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.144&CDS=1-342	YDR357C
OG0000712	genemark-LADA0B-processed-gene-2.116-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.116&CDS=1-1713	YHR108W
OG0000713	genemark-LADA0B-processed-gene-2.145-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.145&CDS=1-2673	YDR359C
OG0000714	genemark-LADA0B-processed-gene-2.146-mRNA-1_1&gene=genemark-LADA0B-processed-gene-2.146&CDS=1-810	YDR361C
OG0000715	augustus_masked-LADA0B-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-2.20&CDS=1-1749	YHR109W
OG0000716	genemark-LADA0B-processed-gene-3.111-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.111&CDS=1-1308	YHR111W
OG0000717	augustus_masked-LADA0B-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-3.3&CDS=1-2037	YDR362C
OG0000718	genemark-LADA0B-processed-gene-3.112-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.112&CDS=1-1593	YHR113W
OG0000719	augustus_masked-LADA0B-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-3.2&CDS=1-1605	YDR363W
OG0000720	genemark-LADA0B-processed-gene-3.115-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.115&CDS=1-4380	YOR116C
OG0000721	snap_masked-LADA0B-processed-gene-3.59-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-3.59&CDS=1-204	YDR363W-A
OG0000722	augustus_masked-LADA0B-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-3.6&CDS=1-1302	YOR117W
OG0000723	genemark-LADA0B-processed-gene-3.136-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.136&CDS=1-1416	YDR364C
OG0000724	genemark-LADA0B-processed-gene-3.137-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.137&CDS=1-1917	YDR365C
OG0000725	genemark-LADA0B-processed-gene-3.117-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.117&CDS=1-1659	YOR118W
OG0000726	genemark-LADA0B-processed-gene-3.138-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.138&CDS=1-1437	YOR119C
OG0000727	augustus_masked-LADA0B-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-3.8&CDS=1-648	YDR367W
OG0000728	augustus_masked-LADA0B-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-3.28&CDS=1-2430	YDR369C
OG0000729	augustus_masked-LADA0B-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-3.30&CDS=1-1146	YDR370C
OG0000730	maker-LADA0B-augustus-gene-3.52-mRNA-1_1&gene=maker-LADA0B-augustus-gene-3.52&CDS=1-378	YOR122C
OG0000731	genemark-LADA0B-processed-gene-3.143-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.143&CDS=1-1284	YOR123C
OG0000732	genemark-LADA0B-processed-gene-3.120-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.120&CDS=1-1650	YDR371W
OG0000733	genemark-LADA0B-processed-gene-3.144-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.144&CDS=1-1008	YDR372C
OG0000734	genemark-LADA0B-processed-gene-3.145-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.145&CDS=1-3699	YOR124C
OG0000735	genemark-LADA0B-processed-gene-3.121-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.121&CDS=1-570	YDR373W
OG0000736	maker-LADA0B-augustus-gene-3.53-mRNA-1_1&gene=maker-LADA0B-augustus-gene-3.53&CDS=1-1530	YOR125C
OG0000737	genemark-LADA0B-processed-gene-3.148-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.148&CDS=1-1350	YDR375C
OG0000738	genemark-LADA0B-processed-gene-3.122-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.122&CDS=1-1488	YDR376W
OG0000739	genemark-LADA0B-processed-gene-3.123-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.123&CDS=1-303	YDR377W
OG0000740	augustus_masked-LADA0B-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-3.37&CDS=1-249	YDR378C
OG0000741	genemark-LADA0B-processed-gene-3.124-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.124&CDS=1-2808	YOR127W
OG0000742	genemark-LADA0B-processed-gene-3.149-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.149&CDS=1-1722	YOR128C
OG0000743	augustus_masked-LADA0B-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-3.39&CDS=1-2652	YOR129C
OG0000744	genemark-LADA0B-processed-gene-3.127-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.127&CDS=1-648	YDR381W
OG0000745	genemark-LADA0B-processed-gene-3.151-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.151&CDS=1-318	YDR381C-A
OG0000746	genemark-LADA0B-processed-gene-3.152-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.152&CDS=1-849	YOR130C
OG0000747	genemark-LADA0B-processed-gene-3.129-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.129&CDS=1-330	YDR382W
OG0000748	snap_masked-LADA0B-processed-gene-3.101-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-3.101&CDS=1-705	YDR383C
OG0000749	genemark-LADA0B-processed-gene-3.154-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.154&CDS=1-831	YDR384C
OG0000750	snap_masked-LADA0B-processed-gene-3.103-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-3.103&CDS=1-708	YOR131C
OG0000751	genemark-LADA0B-processed-gene-3.130-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.130&CDS=1-1572	YOR132W
OG0000752	augustus_masked-LADA0B-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-3.21&CDS=1-1854	YDR386W
OG0000753	genemark-LADA0B-processed-gene-3.156-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.156&CDS=1-1602	YDR387C
OG0000754	genemark-LADA0B-processed-gene-3.133-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.133&CDS=1-1320	YDR388W
OG0000755	genemark-LADA0B-processed-gene-3.134-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.134&CDS=1-1746	YDR389W
OG0000756	genemark-LADA0B-processed-gene-3.157-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.157&CDS=1-1797	YDR390C
OG0000757	genemark-LADA0B-processed-gene-3.135-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.135&CDS=1-1104	YOR136W
OG0000758	snap_masked-LADA0B-processed-gene-3.106-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-3.106&CDS=1-1692	YOR137C
OG0000759	genemark-LADA0B-processed-gene-3.159-mRNA-1_1&gene=genemark-LADA0B-processed-gene-3.159&CDS=1-1803	YOR138C
OG0000760	genemark-LADA0B-processed-gene-4.3-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.3&CDS=1-2367	YOR141C
OG0000761	genemark-LADA0B-processed-gene-4.1-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.1&CDS=1-672	YPR151C
OG0000762	augustus_masked-LADA0B-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-4.54&CDS=1-894	YGR133W
OG0000763	snap_masked-LADA0B-processed-gene-4.99-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-4.99&CDS=1-843	YGR132C
OG0000764	augustus_masked-LADA0B-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-4.55&CDS=1-3561	YPR148C
OG0000765	augustus_masked-LADA0B-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-4.75&CDS=1-618	YGR129W
OG0000766	genemark-LADA0B-processed-gene-4.8-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.8&CDS=1-1935	YGR128C
OG0000767	snap_masked-LADA0B-processed-gene-4.106-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-4.106&CDS=1-918	YPR147C
OG0000768	snap_masked-LADA0B-processed-gene-4.126-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-4.126&CDS=1-678	YGR126W
OG0000769	snap_masked-LADA0B-processed-gene-4.127-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-4.127&CDS=1-3036	YGR125W
OG0000770	augustus_masked-LADA0B-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-4.57&CDS=1-1158	YGR122W
OG0000771	augustus_masked-LADA0B-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-4.78&CDS=1-939	YPR139C
OG0000772	genemark-LADA0B-processed-gene-4.10-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.10&CDS=1-1206	YPR140W
OG0000773	genemark-LADA0B-processed-gene-4.33-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.33&CDS=1-2172	YPR141C
OG0000774	genemark-LADA0B-processed-gene-4.11-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.11&CDS=1-846	YPR143W
OG0000775	genemark-LADA0B-processed-gene-4.34-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.34&CDS=1-1536	YGR123C
OG0000776	genemark-LADA0B-processed-gene-4.35-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.35&CDS=1-1602	YPR144C
OG0000777	genemark-LADA0B-processed-gene-4.13-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.13&CDS=1-1719	YPR145W
OG0000778	genemark-LADA0B-processed-gene-4.14-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.14&CDS=1-1356	YPR138C
OG0000779	genemark-LADA0B-processed-gene-4.37-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.37&CDS=1-1719	YPR137W
OG0000780	genemark-LADA0B-processed-gene-4.38-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.38&CDS=1-2712	YPR135W
OG0000781	augustus_masked-LADA0B-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-4.64&CDS=1-771	YGR120C
OG0000782	genemark-LADA0B-processed-gene-4.17-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.17&CDS=1-1572	YGR119C
OG0000783	snap_masked-LADA0B-processed-gene-4.137-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-4.137&CDS=1-849	YPR134W
OG0000784	genemark-LADA0B-processed-gene-4.18-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.18&CDS=1-1110	YPR133C
OG0000785	augustus_masked-LADA0B-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-4.67&CDS=1-1353	YGR117C
OG0000786	genemark-LADA0B-processed-gene-4.20-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.20&CDS=1-588	YPR131C
OG0000787	genemark-LADA0B-processed-gene-4.41-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.41&CDS=1-984	YPR129W
OG0000788	genemark-LADA0B-processed-gene-4.21-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.21&CDS=1-972	YPR128C
OG0000789	genemark-LADA0B-processed-gene-4.42-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.42&CDS=1-1245	YPR125W
OG0000790	genemark-LADA0B-processed-gene-4.44-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.44&CDS=1-4365	YGR116W
OG0000791	genemark-LADA0B-processed-gene-4.45-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.45&CDS=1-912	YPR124W
OG0000792	genemark-LADA0B-processed-gene-4.46-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.46&CDS=1-891	YGR113W
OG0000793	augustus_masked-LADA0B-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-4.91&CDS=1-1953	YBR251W
OG0000794	genemark-LADA0B-processed-gene-4.23-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.23&CDS=1-831	YPR065W
OG0000795	genemark-LADA0B-processed-gene-4.49-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.49&CDS=1-957	YER016W
OG0000796	genemark-LADA0B-processed-gene-5.1-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.1&CDS=1-2250	YER015W
OG0000797	augustus_masked-LADA0B-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-5.105&CDS=1-1914	YER014W
OG0000798	genemark-LADA0B-processed-gene-5.5-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.5&CDS=1-585	YER012W
OG0000799	genemark-LADA0B-processed-gene-5.0-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.0&CDS=1-1236	YIR008C
OG0000800	genemark-LADA0B-processed-gene-5.6-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.6&CDS=1-2226	YIR007W
OG0000801	genemark-LADA0B-processed-gene-5.27-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.27&CDS=1-1659	YOL027C
OG0000802	snap_masked-LADA0B-processed-gene-5.57-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-5.57&CDS=1-672	YIR014W
OG0000803	genemark-LADA0B-processed-gene-5.8-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.8&CDS=1-465	YIR015W
OG0000804	genemark-LADA0B-processed-gene-5.28-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.28&CDS=1-417	YOL026C
OG0000805	augustus_masked-LADA0B-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-5.110&CDS=1-762	YOL038W
OG0000806	snap_masked-LADA0B-processed-gene-5.61-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-5.61&CDS=1-2463	YOL036W
OG0000807	genemark-LADA0B-processed-gene-5.29-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.29&CDS=1-771	YIR017C
OG0000808	genemark-LADA0B-processed-gene-5.12-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.12&CDS=1-1857	YIL014W
OG0000809	genemark-LADA0B-processed-gene-5.13-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.13&CDS=1-6693	YNR016C
OG0000810	genemark-LADA0B-processed-gene-5.30-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.30&CDS=1-1167	YNR015W
OG0000811	snap_masked-LADA0B-processed-gene-5.81-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-5.81&CDS=1-753	YNR014W
OG0000812	genemark-LADA0B-processed-gene-5.32-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.32&CDS=1-1449	YNR012W
OG0000813	maker-LADA0B-augustus-gene-5.100-mRNA-1_1&gene=maker-LADA0B-augustus-gene-5.100&CDS=1-1581	YMR203W
OG0000814	genemark-LADA0B-processed-gene-5.35-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.35&CDS=1-669	YMR202W
OG0000815	snap_masked-LADA0B-processed-gene-5.86-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-5.86&CDS=1-645	YNR009W
OG0000816	genemark-LADA0B-processed-gene-5.37-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.37&CDS=1-1914	YNR008W
OG0000817	maker-LADA0B-augustus-gene-5.98-mRNA-1_1&gene=maker-LADA0B-augustus-gene-5.98&CDS=1-1881	YMR201C
OG0000818	genemark-LADA0B-processed-gene-5.38-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.38&CDS=1-1905	YNR006W
OG0000819	genemark-LADA0B-processed-gene-5.39-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.39&CDS=1-735	YMR200W
OG0000820	genemark-LADA0B-processed-gene-5.40-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.40&CDS=1-1509	YPL256C
OG0000821	genemark-LADA0B-processed-gene-5.21-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.21&CDS=1-1191	YPL255W
OG0000822	genemark-LADA0B-processed-gene-5.22-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.22&CDS=1-1302	YPL254W
OG0000823	snap_masked-LADA0B-processed-gene-5.92-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-5.92&CDS=1-1911	YPL253C
OG0000824	genemark-LADA0B-processed-gene-5.43-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.43&CDS=1-477	YPL252C
OG0000825	genemark-LADA0B-processed-gene-5.23-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.23&CDS=1-666	YMR197C
OG0000826	genemark-LADA0B-processed-gene-5.44-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.44&CDS=1-3243	YMR196W
OG0000827	snap_masked-LADA0B-processed-gene-5.95-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-5.95&CDS=1-321	YPL250C
OG0000828	genemark-LADA0B-processed-gene-6.98-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.98&CDS=1-663	YDR043C
OG0000829	genemark-LADA0B-processed-gene-6.100-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.100&CDS=1-1038	YDR044W
OG0000830	genemark-LADA0B-processed-gene-6.121-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.121&CDS=1-300	YDR045C
OG0000831	snap_masked-LADA0B-processed-gene-6.10-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-6.10&CDS=1-252	YBR058C-A
OG0000832	genemark-LADA0B-processed-gene-6.103-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.103&CDS=1-4488	YBR058C
OG0000833	genemark-LADA0B-processed-gene-6.123-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.123&CDS=1-1116	YDR035W
OG0000834	genemark-LADA0B-processed-gene-6.124-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.124&CDS=1-1479	YBR056W
OG0000835	genemark-LADA0B-processed-gene-6.125-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.125&CDS=1-1023	YBR053C
OG0000836	genemark-LADA0B-processed-gene-6.127-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.127&CDS=1-2391	YDR034C
OG0000837	snap_masked-LADA0B-processed-gene-6.37-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-6.37&CDS=1-2742	YBR055C
OG0000838	genemark-LADA0B-processed-gene-6.105-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.105&CDS=1-600	YDR032C
OG0000839	genemark-LADA0B-processed-gene-6.129-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.129&CDS=1-333	YDR031W
OG0000840	augustus_masked-LADA0B-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-6.62&CDS=1-1338	YDR030C
OG0000841	genemark-LADA0B-processed-gene-6.107-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.107&CDS=1-2712	YDR028C
OG0000842	genemark-LADA0B-processed-gene-6.108-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.108&CDS=1-2691	YDR027C
OG0000843	genemark-LADA0B-processed-gene-6.109-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.109&CDS=1-2097	YBR049C
OG0000844	augustus_masked-LADA0B-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-6.66&CDS=1-2247	YBR045C
OG0000845	genemark-LADA0B-processed-gene-6.131-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.131&CDS=1-1386	YDR023W
OG0000846	augustus_masked-LADA0B-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-6.84&CDS=1-1194	YDR021W
OG0000847	genemark-LADA0B-processed-gene-6.112-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.112&CDS=1-627	YDR020C
OG0000848	genemark-LADA0B-processed-gene-6.113-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.113&CDS=1-1494	YBR044C
OG0000849	genemark-LADA0B-processed-gene-6.114-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.114&CDS=1-1188	YDR019C
OG0000850	genemark-LADA0B-processed-gene-6.116-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.116&CDS=1-1929	YBR043C
OG0000851	genemark-LADA0B-processed-gene-6.117-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.117&CDS=1-1200	YBR042C
OG0000852	augustus_masked-LADA0B-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-6.85&CDS=1-2010	YBR041W
OG0000853	genemark-LADA0B-processed-gene-6.134-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.134&CDS=1-900	YBR040W
OG0000854	genemark-LADA0B-processed-gene-6.135-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.135&CDS=1-885	YBR039W
OG0000855	genemark-LADA0B-processed-gene-6.118-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.118&CDS=1-2790	YDR017C
OG0000856	genemark-LADA0B-processed-gene-6.119-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.119&CDS=1-297	YDR016C
OG0000857	augustus_masked-LADA0B-processed-gene-6.88-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-6.88&CDS=1-1347	YDR014W-A
OG0000858	genemark-LADA0B-processed-gene-6.120-mRNA-1_1&gene=genemark-LADA0B-processed-gene-6.120&CDS=1-1650	YBR035C
OG0000859	augustus_masked-LADA0B-processed-gene-6.89-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-6.89&CDS=1-1713	YDR014W
OG0000860	genemark-LADA0B-processed-gene-7.0-mRNA-1_1&gene=genemark-LADA0B-processed-gene-7.0&CDS=1-621	YDR013W
OG0000861	maker-LADA0B-augustus-gene-7.117-mRNA-1_1&gene=maker-LADA0B-augustus-gene-7.117&CDS=1-1263	YGR076C
OG0000862	genemark-LADA0B-processed-gene-7.8-mRNA-1_1&gene=genemark-LADA0B-processed-gene-7.8&CDS=1-417	YGR074W
OG0000863	augustus_masked-LADA0B-processed-gene-7.133-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-7.133&CDS=1-1119	YGR072W
OG0000864	genemark-LADA0B-processed-gene-7.4-mRNA-1_1&gene=genemark-LADA0B-processed-gene-7.4&CDS=1-1380	YOL072W
OG0000865	genemark-LADA0B-processed-gene-7.5-mRNA-1_1&gene=genemark-LADA0B-processed-gene-7.5&CDS=1-927	YDL047W
OG0000866	genemark-LADA0B-processed-gene-7.6-mRNA-1_1&gene=genemark-LADA0B-processed-gene-7.6&CDS=1-519	YDL046W
OG0000867	genemark-LADA0B-processed-gene-7.7-mRNA-1_1&gene=genemark-LADA0B-processed-gene-7.7&CDS=1-435	YOL071W
OG0000868	augustus_masked-LADA0B-processed-gene-7.131-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-7.131&CDS=1-285	YDL045W-A
OG0000869	genemark-LADA0B-processed-gene-7.10-mRNA-1_1&gene=genemark-LADA0B-processed-gene-7.10&CDS=1-900	YDL045C
OG0000870	augustus_masked-LADA0B-processed-gene-7.149-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-7.149&CDS=1-1281	YDL044C
OG0000871	augustus_masked-LADA0B-processed-gene-7.150-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-7.150&CDS=1-1746	YOL070C
OG0000872	genemark-LADA0B-processed-gene-7.11-mRNA-1_1&gene=genemark-LADA0B-processed-gene-7.11&CDS=1-1341	YOL069W
OG0000873	genemark-LADA0B-processed-gene-7.31-mRNA-1_1&gene=genemark-LADA0B-processed-gene-7.31&CDS=1-753	YDL043C
OG0000874	genemark-LADA0B-processed-gene-7.32-mRNA-1_1&gene=genemark-LADA0B-processed-gene-7.32&CDS=1-1746	YOL068C
OG0000875	augustus_masked-LADA0B-processed-gene-7.155-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-7.155&CDS=1-2964	YDL040C
OG0000876	genemark-LADA0B-processed-gene-7.35-mRNA-1_1&gene=genemark-LADA0B-processed-gene-7.35&CDS=1-1788	YOL066C
