	Saccharomyces_cerevisiae	Vanderwaltozyma_polyspora
OG0000695	YBR233W	augustus_masked-NW_001834670.1-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.184&CDS=1-1446
OG0000696	YBR233W-A	augustus_masked-NW_001834693.1-processed-gene-2.145-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.145&CDS=1-252
OG0000697	YBR234C	augustus_masked-NW_001834693.1-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.124&CDS=1-1137
OG0000698	YBR235W	augustus_masked-NW_001834670.1-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.182&CDS=1-3333
OG0000699	YBR236C	augustus_masked-NW_001834670.1-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.154&CDS=1-1257
OG0000700	YBR237W	augustus_masked-NW_001834670.1-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.181&CDS=1-2616
OG0000701	YBR239C	maker-NW_001834670.1-snap-gene-0.6-mRNA-1_1&gene=maker-NW_001834670.1-snap-gene-0.6&CDS=1-1509
OG0000702	YBR240C	augustus_masked-NW_001834670.1-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.151&CDS=1-1305
OG0000703	YBR241C	augustus_masked-NW_001834670.1-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.150&CDS=1-1506
OG0000704	YBR243C	augustus_masked-NW_001834670.1-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-NW_001834670.1-processed-gene-0.149&CDS=1-1356
OG0000705	YBR245C	augustus_masked-NW_001834693.1-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.120&CDS=1-3210
OG0000706	YBR246W	augustus_masked-NW_001834693.1-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.139&CDS=1-1137
OG0000707	YBR247C	augustus_masked-NW_001834692.1-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-1.123&CDS=1-1425
OG0000708	YBR248C	augustus_masked-NW_001834693.1-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-NW_001834693.1-processed-gene-2.119&CDS=1-723
OG0000709	YBR249C	maker-NW_001834693.1-snap-gene-2.4-mRNA-1_1&gene=maker-NW_001834693.1-snap-gene-2.4&CDS=1-1923
OG0000710	YBR250W	augustus_masked-NW_001834692.1-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-1.86&CDS=1-1857
OG0000711	YBR251W	augustus_masked-NW_001834447.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NW_001834447.1-processed-gene-0.0&CDS=1-951
OG0000712	YBR253W	genemark-NW_001834598.1-processed-gene-0.18-mRNA-1_1&gene=genemark-NW_001834598.1-processed-gene-0.18&CDS=1-378
OG0000713	YBR254C	augustus_masked-NW_001834462.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NW_001834462.1-processed-gene-0.1&CDS=1-528
OG0000714	YBR255C-A	maker-NW_001834462.1-augustus-gene-0.7-mRNA-1_1&gene=maker-NW_001834462.1-augustus-gene-0.7&CDS=1-372
OG0000715	YBR255W	augustus_masked-NW_001834462.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NW_001834462.1-processed-gene-0.0&CDS=1-1866
OG0000716	YBR256C	augustus_masked-NW_001834598.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NW_001834598.1-processed-gene-0.12&CDS=1-705
OG0000717	YBR257W	augustus_masked-NW_001834664.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.63&CDS=1-840
OG0000718	YBR258C	augustus_masked-NW_001834648.1-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.119&CDS=1-381
OG0000719	YBR259W	snap_masked-NW_001834648.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NW_001834648.1-processed-gene-0.5&CDS=1-1845
OG0000720	YBR260C	augustus_masked-NW_001834648.1-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.120&CDS=1-2034
OG0000721	YBR261C	augustus_masked-NW_001834664.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.89&CDS=1-696
OG0000722	YBR262C	augustus_masked-NW_001834648.1-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.121&CDS=1-300
OG0000723	YBR263W	snap_masked-NW_001834664.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NW_001834664.1-processed-gene-0.6&CDS=1-1443
OG0000724	YBR265W	augustus_masked-NW_001834664.1-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.97&CDS=1-978
OG0000725	YBR267W	augustus_masked-NW_001834664.1-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.96&CDS=1-1221
OG0000726	YBR269C	augustus_masked-NW_001834648.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.103&CDS=1-432
OG0000727	YBR270C	augustus_masked-NW_001834648.1-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.102&CDS=1-1575
OG0000728	YBR271W	augustus_masked-NW_001834648.1-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.127&CDS=1-1305
OG0000729	YBR272C	augustus_masked-NW_001834664.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.68&CDS=1-1446
OG0000730	YBR273C	augustus_masked-NW_001834664.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.67&CDS=1-1251
OG0000731	YBR274W	augustus_masked-NW_001834664.1-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NW_001834664.1-processed-gene-0.90&CDS=1-1593
OG0000732	YBR275C	snap_masked-NW_001834664.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NW_001834664.1-processed-gene-0.7&CDS=1-5184
OG0000733	YBR276C	augustus_masked-NW_001834648.1-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.129&CDS=1-2508
OG0000734	YBR278W	augustus_masked-NW_001834612.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NW_001834612.1-processed-gene-0.58&CDS=1-720
OG0000735	YBR279W	augustus_masked-NW_001834648.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NW_001834648.1-processed-gene-0.104&CDS=1-1374
OG0000736	YBR280C	augustus_masked-NW_001834612.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NW_001834612.1-processed-gene-0.69&CDS=1-1824
OG0000737	YBR281C	augustus_masked-NW_001834612.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NW_001834612.1-processed-gene-0.62&CDS=1-2652
OG0000738	YBR282W	augustus_masked-NW_001834612.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NW_001834612.1-processed-gene-0.50&CDS=1-435
OG0000739	YBR283C	maker-NW_001834612.1-augustus-gene-0.23-mRNA-1_1&gene=maker-NW_001834612.1-augustus-gene-0.23&CDS=1-1218
OG0000740	YBR286W	augustus_masked-NW_001834612.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NW_001834612.1-processed-gene-0.53&CDS=1-1707
OG0000741	YBR287W	augustus_masked-NW_001834694.1-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-0.74&CDS=1-1290
OG0000742	YBR288C	augustus_masked-NW_001834694.1-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-1.36&CDS=1-1725
OG0000743	YBR289W	maker-NW_001834694.1-snap-gene-1.64-mRNA-1_1&gene=maker-NW_001834694.1-snap-gene-1.64&CDS=1-2409
OG0000744	YBR290W	augustus_masked-NW_001834694.1-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-1.50&CDS=1-1011
OG0000745	YBR291C	augustus_masked-NW_001834573.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NW_001834573.1-processed-gene-0.6&CDS=1-903
OG0000746	YCL001W	augustus_masked-NW_001834691.1-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NW_001834691.1-processed-gene-0.75&CDS=1-561
OG0000747	YCL004W	genemark-NW_001834691.1-processed-gene-0.38-mRNA-1_1&gene=genemark-NW_001834691.1-processed-gene-0.38&CDS=1-861
OG0000748	YCL005W-A	maker-NW_001834687.1-snap-gene-1.136-mRNA-1_1&gene=maker-NW_001834687.1-snap-gene-1.136&CDS=1-216
OG0000749	YCL008C	augustus_masked-NW_001834618.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NW_001834618.1-processed-gene-0.1&CDS=1-1359
OG0000750	YCL009C	augustus_masked-NW_001834618.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NW_001834618.1-processed-gene-0.2&CDS=1-903
OG0000751	YCL010C	augustus_masked-NW_001834685.1-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.87&CDS=1-873
OG0000752	YCL012C	augustus_masked-NW_001834685.1-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.86&CDS=1-324
OG0000753	YCL014W	augustus_masked-NW_001834685.1-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.68&CDS=1-4719
OG0000754	YCL016C	augustus_masked-NW_001834685.1-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.85&CDS=1-1131
OG0000755	YCL017C	augustus_masked-NW_001834685.1-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.84&CDS=1-1491
OG0000756	YCL018W	augustus_masked-NW_001834685.1-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-NW_001834685.1-processed-gene-1.66&CDS=1-1092
OG0000757	YCL027W	augustus_masked-NW_001834690.1-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NW_001834690.1-processed-gene-1.50&CDS=1-1485
OG0000758	YCL028W	augustus_masked-NW_001834689.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.18&CDS=1-1257
OG0000759	YCL029C	augustus_masked-NW_001834689.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.39&CDS=1-1317
OG0000760	YCL030C	augustus_masked-NW_001834689.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.38&CDS=1-2433
OG0000761	YCL031C	augustus_masked-NW_001834689.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.36&CDS=1-918
OG0000762	YCL032W	genemark-NW_001834690.1-processed-gene-1.114-mRNA-1_1&gene=genemark-NW_001834690.1-processed-gene-1.114&CDS=1-993
OG0000763	YCL033C	augustus_masked-NW_001834690.1-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NW_001834690.1-processed-gene-1.23&CDS=1-465
OG0000764	YCL034W	augustus_masked-NW_001834689.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.16&CDS=1-969
OG0000765	YCL038C	augustus_masked-NW_001834690.1-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-NW_001834690.1-processed-gene-1.26&CDS=1-1560
OG0000766	YCL039W	augustus_masked-NW_001834689.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.14&CDS=1-2355
OG0000767	YCL043C	genemark-NW_001834690.1-processed-gene-1.88-mRNA-1_1&gene=genemark-NW_001834690.1-processed-gene-1.88&CDS=1-1623
OG0000768	YCL044C	maker-NW_001834689.1-snap-gene-0.0-mRNA-1_1&gene=maker-NW_001834689.1-snap-gene-0.0&CDS=1-1260
OG0000769	YCL045C	augustus_masked-NW_001834689.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.30&CDS=1-2229
OG0000770	YCL047C	augustus_masked-NW_001834689.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.29&CDS=1-777
OG0000771	YCL048W	augustus_masked-NW_001834689.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.11&CDS=1-1485
OG0000772	YCL051W	augustus_masked-NW_001834689.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.8&CDS=1-1611
OG0000773	YCL052C	augustus_masked-NW_001834689.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.24&CDS=1-1323
OG0000774	YCL054W	augustus_masked-NW_001834689.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.7&CDS=1-2532
OG0000775	YCL055W	augustus_masked-NW_001834689.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.6&CDS=1-954
OG0000776	YCL057C-A	augustus_masked-NW_001834689.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.23&CDS=1-258
OG0000777	YCL057W	augustus_masked-NW_001834689.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.4&CDS=1-2217
OG0000778	YCL059C	augustus_masked-NW_001834689.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.22&CDS=1-1014
OG0000779	YCL061C	augustus_masked-NW_001834689.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.21&CDS=1-2955
OG0000780	YCL063W	augustus_masked-NW_001834689.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.2&CDS=1-1422
OG0000781	YCL064C	augustus_masked-NW_001834689.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-0.20&CDS=1-1050
OG0000782	YCL075W	augustus_masked-NW_001834604.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NW_001834604.1-processed-gene-0.27&CDS=1-384
OG0000783	YCR002C	augustus_masked-NW_001834687.1-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.52&CDS=1-957
OG0000784	YCR003W	augustus_masked-NW_001834691.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NW_001834691.1-processed-gene-0.78&CDS=1-525
OG0000785	YCR004C	augustus_masked-NW_001834691.1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NW_001834691.1-processed-gene-0.92&CDS=1-750
OG0000786	YCR009C	augustus_masked-NW_001834642.1-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NW_001834642.1-processed-gene-0.61&CDS=1-795
OG0000787	YCR011C	augustus_masked-NW_001834691.1-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NW_001834691.1-processed-gene-0.95&CDS=1-3141
OG0000788	YCR012W	augustus_masked-NW_001834691.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NW_001834691.1-processed-gene-0.81&CDS=1-1245
OG0000789	YCR014C	augustus_masked-NW_001834691.1-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NW_001834691.1-processed-gene-0.96&CDS=1-1788
OG0000790	YCR015C	augustus_masked-NW_001834642.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NW_001834642.1-processed-gene-0.64&CDS=1-924
OG0000791	YCR016W	augustus_masked-NW_001834518.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NW_001834518.1-processed-gene-0.7&CDS=1-870
OG0000792	YCR017C	augustus_masked-NW_001834592.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NW_001834592.1-processed-gene-0.22&CDS=1-3018
OG0000793	YCR019W	augustus_masked-NW_001834647.1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NW_001834647.1-processed-gene-0.48&CDS=1-1044
OG0000794	YCR020C	augustus_masked-NW_001834647.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NW_001834647.1-processed-gene-0.69&CDS=1-651
OG0000795	YCR020C-A	augustus_masked-NW_001834647.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NW_001834647.1-processed-gene-0.70&CDS=1-276
OG0000796	YCR020W-B	snap_masked-NW_001834647.1-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NW_001834647.1-processed-gene-0.94&CDS=1-213
OG0000797	YCR024C	augustus_masked-NW_001834656.1-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-NW_001834656.1-processed-gene-0.143&CDS=1-1449
OG0000798	YCR026C	augustus_masked-NW_001834656.1-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-NW_001834656.1-processed-gene-0.145&CDS=1-2505
OG0000799	YCR027C	augustus_masked-NW_001834656.1-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-NW_001834656.1-processed-gene-0.146&CDS=1-681
OG0000800	YCR028C	augustus_masked-NW_001834689.1-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-1.91&CDS=1-1569
OG0000801	YCR028C-A	augustus_masked-NW_001834689.1-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-1.90&CDS=1-378
OG0000802	YCR032W	augustus_masked-NW_001834689.1-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-NW_001834689.1-processed-gene-1.119&CDS=1-6459
OG0000803	YCR033W	augustus_masked-NW_001834684.1-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-NW_001834684.1-processed-gene-1.64&CDS=1-4317
OG0000804	YCR034W	augustus_masked-NW_001834684.1-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-NW_001834684.1-processed-gene-1.65&CDS=1-1050
OG0000805	YCR036W	augustus_masked-NW_001834684.1-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-NW_001834684.1-processed-gene-1.66&CDS=1-1002
OG0000806	YCR037C	augustus_masked-NW_001834684.1-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NW_001834684.1-processed-gene-1.84&CDS=1-2742
OG0000807	YCR042C	maker-NW_001834690.1-snap-gene-1.131-mRNA-1_1&gene=maker-NW_001834690.1-snap-gene-1.131&CDS=1-4305
OG0000808	YCR044C	genemark-NW_001834690.1-processed-gene-1.103-mRNA-1_1&gene=genemark-NW_001834690.1-processed-gene-1.103&CDS=1-1065
OG0000809	YCR046C	augustus_masked-NW_001834687.1-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.10&CDS=1-570
OG0000810	YCR047C	augustus_masked-NW_001834694.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-0.63&CDS=1-807
OG0000811	YCR051W	augustus_masked-NW_001834687.1-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.40&CDS=1-624
OG0000812	YCR053W	augustus_masked-NW_001834533.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NW_001834533.1-processed-gene-0.9&CDS=1-1539
OG0000813	YCR054C	augustus_masked-NW_001834687.1-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.8&CDS=1-1620
OG0000814	YCR057C	augustus_masked-NW_001834687.1-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.7&CDS=1-2715
OG0000815	YCR059C	augustus_masked-NW_001834687.1-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.6&CDS=1-768
OG0000816	YCR060W	augustus_masked-NW_001834687.1-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.37&CDS=1-351
OG0000817	YCR061W	augustus_masked-NW_001834533.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NW_001834533.1-processed-gene-0.10&CDS=1-1839
OG0000818	YCR063W	augustus_masked-NW_001834687.1-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.35&CDS=1-471
OG0000819	YCR065W	augustus_masked-NW_001834687.1-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.34&CDS=1-1674
OG0000820	YCR066W	augustus_masked-NW_001834687.1-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.33&CDS=1-1302
OG0000821	YCR068W	snap_masked-NW_001834687.1-processed-gene-1.171-mRNA-1_1&gene=snap_masked-NW_001834687.1-processed-gene-1.171&CDS=1-1611
OG0000822	YCR069W	snap_masked-NW_001834687.1-processed-gene-1.170-mRNA-1_1&gene=snap_masked-NW_001834687.1-processed-gene-1.170&CDS=1-951
OG0000823	YCR071C	augustus_masked-NW_001834548.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NW_001834548.1-processed-gene-0.5&CDS=1-498
OG0000824	YCR072C	augustus_masked-NW_001834687.1-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-1.4&CDS=1-1536
OG0000825	YCR075C	augustus_masked-NW_001834548.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NW_001834548.1-processed-gene-0.6&CDS=1-777
OG0000826	YCR075W-A	snap_masked-NW_001834687.1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NW_001834687.1-processed-gene-0.71&CDS=1-246
OG0000827	YCR076C	snap_masked-NW_001834687.1-processed-gene-0.50-mRNA-1_1&gene=snap_masked-NW_001834687.1-processed-gene-0.50&CDS=1-921
OG0000828	YCR077C	augustus_masked-NW_001834687.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-0.85&CDS=1-2736
OG0000829	YCR079W	augustus_masked-NW_001834687.1-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-0.101&CDS=1-1416
OG0000830	YCR081W	snap_masked-NW_001834687.1-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NW_001834687.1-processed-gene-0.68&CDS=1-4107
OG0000831	YCR082W	genemark-NW_001834687.1-processed-gene-0.29-mRNA-1_1&gene=genemark-NW_001834687.1-processed-gene-0.29&CDS=1-381
OG0000832	YCR083W	augustus_masked-NW_001834548.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NW_001834548.1-processed-gene-0.1&CDS=1-477
OG0000833	YCR084C	augustus_masked-NW_001834687.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-0.81&CDS=1-2232
OG0000834	YCR086W	augustus_masked-NW_001834687.1-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-0.97&CDS=1-597
OG0000835	YCR087C-A	augustus_masked-NW_001834687.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-0.80&CDS=1-474
OG0000836	YCR088W	augustus_masked-NW_001834548.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NW_001834548.1-processed-gene-0.2&CDS=1-1710
OG0000837	YCR090C	augustus_masked-NW_001834687.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NW_001834687.1-processed-gene-0.79&CDS=1-558
OG0000838	YCR092C	augustus_masked-NW_001834467.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NW_001834467.1-processed-gene-0.1&CDS=1-3069
OG0000839	YCR093W	augustus_masked-NW_001834599.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NW_001834599.1-processed-gene-0.7&CDS=1-5253
OG0000840	YCR094W	augustus_masked-NW_001834599.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NW_001834599.1-processed-gene-0.8&CDS=1-1173
OG0000841	YCR095C	snap_masked-NW_001834687.1-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NW_001834687.1-processed-gene-0.41&CDS=1-1095
OG0000842	YCR097W	snap_masked-NW_001834669.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NW_001834669.1-processed-gene-0.4&CDS=1-195
