	Saccharomyces_cerevisiae	Torulaspora_delbrueckii
OG0001143	YDR514C	snap_masked-scaffold_3-processed-gene-11.268-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.268&CDS=1-1509
OG0001144	YDR517W	snap_masked-scaffold_3-processed-gene-11.219-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.219&CDS=1-1161
OG0001145	YDR519W	snap_masked-scaffold_3-processed-gene-11.223-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.223&CDS=1-396
OG0001146	YDR523C	snap_masked-scaffold_3-processed-gene-11.272-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.272&CDS=1-1398
OG0001147	YDR524C	snap_masked-scaffold_3-processed-gene-11.273-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.273&CDS=1-2334
OG0001148	YDR527W	snap_masked-scaffold_3-processed-gene-11.227-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.227&CDS=1-1212
OG0001149	YDR529C	snap_masked-scaffold_3-processed-gene-11.231-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.231&CDS=1-381
OG0001150	YDR531W	genemark-scaffold_3-processed-gene-11.78-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.78&CDS=1-1059
OG0001151	YDR532C	snap_masked-scaffold_3-processed-gene-11.228-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.228&CDS=1-1098
OG0001152	YDR536W	snap_masked-scaffold_2-processed-gene-12.74-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.74&CDS=1-1719
OG0001153	YEL001C	snap_masked-scaffold_8-processed-gene-5.37-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.37&CDS=1-657
OG0001154	YEL002C	snap_masked-scaffold_8-processed-gene-5.8-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.8&CDS=1-1287
OG0001155	YEL004W	maker-scaffold_8-augustus-gene-5.118-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-5.118&CDS=1-1254
OG0001156	YEL005C	augustus_masked-scaffold_8-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.68&CDS=1-831
OG0001157	YEL007W	snap_masked-scaffold_8-processed-gene-5.0-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.0&CDS=1-1095
OG0001158	YEL009C	snap_masked-scaffold_8-processed-gene-5.5-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.5&CDS=1-645
OG0001159	YEL011W	snap_masked-scaffold_2-processed-gene-10.68-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.68&CDS=1-2106
OG0001160	YEL012W	genemark-scaffold_2-processed-gene-10.122-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.122&CDS=1-867
OG0001161	YEL015W	maker-scaffold_2-augustus-gene-10.0-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-10.0&CDS=1-3315
OG0001162	YEL017W	snap_masked-scaffold_2-processed-gene-9.28-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.28&CDS=1-774
OG0001163	YEL018W	snap_masked-scaffold_2-processed-gene-9.27-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.27&CDS=1-735
OG0001164	YEL019C	snap_masked-scaffold_2-processed-gene-9.49-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.49&CDS=1-750
OG0001165	YEL020C	snap_masked-scaffold_2-processed-gene-9.47-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.47&CDS=1-1665
OG0001166	YEL021W	genemark-scaffold_2-processed-gene-9.125-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.125&CDS=1-1032
OG0001167	YEL022W	snap_masked-scaffold_2-processed-gene-9.38-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.38&CDS=1-4227
OG0001168	YEL024W	augustus_masked-scaffold_2-processed-gene-9.82-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.82&CDS=1-651
OG0001169	YEL025C	snap_masked-scaffold_2-processed-gene-9.21-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.21&CDS=1-3078
OG0001170	YEL026W	genemark-scaffold_2-processed-gene-9.129-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.129&CDS=1-378
OG0001171	YEL027W	snap_masked-scaffold_2-processed-gene-9.42-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.42&CDS=1-486
OG0001172	YEL029C	snap_masked-scaffold_3-processed-gene-2.78-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.78&CDS=1-942
OG0001173	YEL031W	snap_masked-scaffold_3-processed-gene-2.100-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.100&CDS=1-3642
OG0001174	YEL032W	snap_masked-scaffold_3-processed-gene-4.126-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.126&CDS=1-2871
OG0001175	YEL037C	snap_masked-scaffold_3-processed-gene-4.142-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.142&CDS=1-1104
OG0001176	YEL038W	snap_masked-scaffold_3-processed-gene-4.124-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.124&CDS=1-657
OG0001177	YEL042W	snap_masked-scaffold_3-processed-gene-4.121-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.121&CDS=1-1608
OG0001178	YEL043W	snap_masked-scaffold_3-processed-gene-4.120-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.120&CDS=1-2631
OG0001179	YEL044W	snap_masked-scaffold_3-processed-gene-4.119-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.119&CDS=1-411
OG0001180	YEL046C	snap_masked-scaffold_3-processed-gene-4.140-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.140&CDS=1-1161
OG0001181	YEL047C	snap_masked-scaffold_3-processed-gene-4.139-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.139&CDS=1-1497
OG0001182	YEL048C	genemark-scaffold_3-processed-gene-4.36-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.36&CDS=1-471
OG0001183	YEL050C	snap_masked-scaffold_1-processed-gene-6.26-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.26&CDS=1-1167
OG0001184	YEL051W	snap_masked-scaffold_1-processed-gene-6.55-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.55&CDS=1-792
OG0001185	YEL052W	snap_masked-scaffold_1-processed-gene-6.56-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.56&CDS=1-1506
OG0001186	YEL053C	snap_masked-scaffold_1-processed-gene-6.28-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.28&CDS=1-2319
OG0001187	YEL055C	snap_masked-scaffold_7-processed-gene-8.122-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-8.122&CDS=1-3051
OG0001188	YEL056W	snap_masked-scaffold_7-processed-gene-8.86-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-8.86&CDS=1-1176
OG0001189	YEL058W	snap_masked-scaffold_7-processed-gene-8.84-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-8.84&CDS=1-1599
OG0001190	YEL060C	snap_masked-scaffold_7-processed-gene-8.119-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-8.119&CDS=1-1692
OG0001191	YEL064C	snap_masked-scaffold_3-processed-gene-11.199-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.199&CDS=1-1437
OG0001192	YEL072W	snap_masked-scaffold_5-processed-gene-7.22-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.22&CDS=1-684
OG0001193	YER002W	genemark-scaffold_8-processed-gene-5.132-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.132&CDS=1-684
OG0001194	YER003C	snap_masked-scaffold_8-processed-gene-5.39-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.39&CDS=1-1287
OG0001195	YER005W	maker-scaffold_8-augustus-gene-5.119-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-5.119&CDS=1-2547
OG0001196	YER006W	snap_masked-scaffold_8-processed-gene-5.14-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.14&CDS=1-1533
OG0001197	YER007C-A	augustus_masked-scaffold_8-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.98&CDS=1-543
OG0001198	YER007W	augustus_masked-scaffold_8-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.75&CDS=1-1551
OG0001199	YER008C	snap_masked-scaffold_8-processed-gene-5.42-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.42&CDS=1-3819
OG0001200	YER009W	snap_masked-scaffold_8-processed-gene-5.17-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.17&CDS=1-375
OG0001201	YER010C	snap_masked-scaffold_8-processed-gene-5.21-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.21&CDS=1-726
OG0001202	YER012W	snap_masked-scaffold_8-processed-gene-4.114-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.114&CDS=1-588
OG0001203	YER014W	snap_masked-scaffold_8-processed-gene-4.112-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.112&CDS=1-1590
OG0001204	YER015W	snap_masked-scaffold_8-processed-gene-4.110-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.110&CDS=1-2223
OG0001205	YER016W	snap_masked-scaffold_8-processed-gene-4.109-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.109&CDS=1-927
OG0001206	YER019C-A	snap_masked-scaffold_3-processed-gene-3.68-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.68&CDS=1-264
OG0001207	YER019W	snap_masked-scaffold_3-processed-gene-11.201-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.201&CDS=1-1365
OG0001208	YER020W	snap_masked-scaffold_8-processed-gene-1.94-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.94&CDS=1-1263
OG0001209	YER021W	genemark-scaffold_8-processed-gene-1.36-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.36&CDS=1-3546
OG0001210	YER023W	snap_masked-scaffold_8-processed-gene-1.89-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.89&CDS=1-852
OG0001211	YER024W	snap_masked-scaffold_8-processed-gene-1.85-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.85&CDS=1-2649
OG0001212	YER025W	snap_masked-scaffold_8-processed-gene-1.66-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.66&CDS=1-1569
OG0001213	YER029C	genemark-scaffold_4-processed-gene-10.50-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-10.50&CDS=1-516
OG0001214	YER030W	snap_masked-scaffold_4-processed-gene-10.123-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.123&CDS=1-408
OG0001215	YER032W	snap_masked-scaffold_4-processed-gene-10.124-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.124&CDS=1-2529
OG0001216	YER034W	snap_masked-scaffold_4-processed-gene-10.128-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.128&CDS=1-552
OG0001217	YER036C	snap_masked-scaffold_4-processed-gene-10.151-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.151&CDS=1-1830
OG0001218	YER038C	snap_masked-scaffold_4-processed-gene-11.4-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.4&CDS=1-1206
OG0001219	YER041W	snap_masked-scaffold_4-processed-gene-11.3-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.3&CDS=1-1923
OG0001220	YER042W	snap_masked-scaffold_4-processed-gene-11.6-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.6&CDS=1-552
OG0001221	YER043C	snap_masked-scaffold_4-processed-gene-11.34-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.34&CDS=1-1347
OG0001222	YER044C	snap_masked-scaffold_8-processed-gene-4.65-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.65&CDS=1-444
OG0001223	YER044C-A	snap_masked-scaffold_8-processed-gene-4.60-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.60&CDS=1-1122
OG0001224	YER046W	snap_masked-scaffold_8-processed-gene-4.63-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.63&CDS=1-744
OG0001225	YER048C	snap_masked-scaffold_8-processed-gene-4.55-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.55&CDS=1-1161
OG0001226	YER048W-A	snap_masked-scaffold_8-processed-gene-3.108-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.108&CDS=1-291
OG0001227	YER049W	snap_masked-scaffold_8-processed-gene-3.107-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.107&CDS=1-1896
OG0001228	YER050C	snap_masked-scaffold_8-processed-gene-3.81-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.81&CDS=1-504
OG0001229	YER051W	maker-scaffold_8-augustus-gene-3.5-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-3.5&CDS=1-2349
OG0001230	YER052C	snap_masked-scaffold_8-processed-gene-3.80-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.80&CDS=1-1554
OG0001231	YER053C	snap_masked-scaffold_8-processed-gene-3.78-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.78&CDS=1-912
OG0001232	YER054C	snap_masked-scaffold_8-processed-gene-3.77-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.77&CDS=1-1344
OG0001233	YER055C	augustus_masked-scaffold_8-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.22&CDS=1-2628
OG0001234	YER057C	snap_masked-scaffold_8-processed-gene-3.70-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.70&CDS=1-402
OG0001235	YER058W	snap_masked-scaffold_8-processed-gene-3.100-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.100&CDS=1-309
OG0001236	YER059W	snap_masked-scaffold_8-processed-gene-3.99-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.99&CDS=1-1089
OG0001237	YER065C	genemark-scaffold_8-processed-gene-3.125-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.125&CDS=1-3357
OG0001238	YER068W	snap_masked-scaffold_8-processed-gene-3.96-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.96&CDS=1-1791
OG0001239	YER069W	snap_masked-scaffold_8-processed-gene-3.94-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.94&CDS=1-2580
OG0001240	YER071C	snap_masked-scaffold_8-processed-gene-3.62-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.62&CDS=1-345
OG0001241	YER072W	snap_masked-scaffold_8-processed-gene-3.87-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.87&CDS=1-378
OG0001242	YER074W-A	maker-scaffold_8-snap-gene-3.168-mRNA-1_1&gene=maker-scaffold_8-snap-gene-3.168&CDS=1-261
OG0001243	YER075C	snap_masked-scaffold_8-processed-gene-3.61-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.61&CDS=1-2457
OG0001244	YER077C	snap_masked-scaffold_8-processed-gene-3.60-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.60&CDS=1-1902
OG0001245	YER078C	snap_masked-scaffold_8-processed-gene-3.59-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.59&CDS=1-1527
OG0001246	YER082C	snap_masked-scaffold_8-processed-gene-3.53-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.53&CDS=1-1632
OG0001247	YER083C	snap_masked-scaffold_8-processed-gene-2.41-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.41&CDS=1-930
OG0001248	YER086W	snap_masked-scaffold_3-processed-gene-3.94-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.94&CDS=1-1707
OG0001249	YER087W	snap_masked-scaffold_3-processed-gene-3.93-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.93&CDS=1-1683
OG0001250	YER088C	augustus_masked-scaffold_3-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.121&CDS=1-1743
OG0001251	YER090W	augustus_masked-scaffold_3-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.119&CDS=1-1971
OG0001252	YER091C	snap_masked-scaffold_3-processed-gene-3.62-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.62&CDS=1-2304
OG0001253	YER093C	genemark-scaffold_3-processed-gene-3.3-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.3&CDS=1-4566
OG0001254	YER094C	snap_masked-scaffold_3-processed-gene-2.86-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.86&CDS=1-615
OG0001255	YER095W	snap_masked-scaffold_3-processed-gene-2.113-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.113&CDS=1-1182
OG0001256	YER098W	snap_masked-scaffold_3-processed-gene-2.109-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.109&CDS=1-2295
OG0001257	YER099C	snap_masked-scaffold_3-processed-gene-2.83-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.83&CDS=1-954
OG0001258	YER100W	snap_masked-scaffold_3-processed-gene-2.108-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.108&CDS=1-744
OG0001259	YER104W	snap_masked-scaffold_3-processed-gene-2.103-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.103&CDS=1-540
OG0001260	YER107C	snap_masked-scaffold_3-processed-gene-4.145-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.145&CDS=1-1092
OG0001261	YER109C	snap_masked-scaffold_3-processed-gene-4.146-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.146&CDS=1-1986
OG0001262	YER110C	snap_masked-scaffold_3-processed-gene-4.148-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.148&CDS=1-3345
OG0001263	YER111C	snap_masked-scaffold_3-processed-gene-4.149-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.149&CDS=1-2958
OG0001264	YER112W	snap_masked-scaffold_3-processed-gene-4.128-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.128&CDS=1-525
OG0001265	YER113C	snap_masked-scaffold_3-processed-gene-4.150-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.150&CDS=1-2031
OG0001266	YER114C	snap_masked-scaffold_3-processed-gene-4.151-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.151&CDS=1-3048
OG0001267	YER115C	snap_masked-scaffold_3-processed-gene-4.153-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.153&CDS=1-258
OG0001268	YER116C	snap_masked-scaffold_3-processed-gene-4.154-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.154&CDS=1-624
OG0001269	YER122C	augustus_masked-scaffold_3-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.28&CDS=1-2175
OG0001270	YER124C	snap_masked-scaffold_6-processed-gene-1.26-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.26&CDS=1-1644
OG0001271	YER125W	snap_masked-scaffold_6-processed-gene-1.50-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.50&CDS=1-2367
OG0001272	YER126C	snap_masked-scaffold_6-processed-gene-1.24-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.24&CDS=1-783
OG0001273	YER127W	snap_masked-scaffold_6-processed-gene-1.48-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.48&CDS=1-1056
OG0001274	YER128W	snap_masked-scaffold_6-processed-gene-1.47-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.47&CDS=1-660
OG0001275	YER129W	genemark-scaffold_6-processed-gene-1.147-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.147&CDS=1-3390
OG0001276	YER130C	snap_masked-scaffold_2-processed-gene-8.87-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.87&CDS=1-936
OG0001277	YER134C	snap_masked-scaffold_2-processed-gene-8.77-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.77&CDS=1-534
OG0001278	YER136W	augustus_masked-scaffold_2-processed-gene-7.155-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.155&CDS=1-1575
OG0001279	YER137C	augustus_masked-scaffold_2-processed-gene-7.179-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.179&CDS=1-408
OG0001280	YER139C	snap_masked-scaffold_2-processed-gene-7.92-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.92&CDS=1-684
OG0001281	YER141W	genemark-scaffold_2-processed-gene-7.50-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.50&CDS=1-2961
OG0001282	YER142C	snap_masked-scaffold_2-processed-gene-7.91-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.91&CDS=1-864
OG0001283	YER143W	snap_masked-scaffold_2-processed-gene-7.118-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.118&CDS=1-1245
OG0001284	YER145C	snap_masked-scaffold_2-processed-gene-7.86-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.86&CDS=1-1230
OG0001285	YER146W	snap_masked-scaffold_2-processed-gene-7.116-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.116&CDS=1-255
OG0001286	YER147C	snap_masked-scaffold_2-processed-gene-7.84-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.84&CDS=1-1884
OG0001287	YER148W	snap_masked-scaffold_2-processed-gene-7.113-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.113&CDS=1-705
OG0001288	YER149C	augustus_masked-scaffold_2-processed-gene-7.146-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.146&CDS=1-1041
OG0001289	YER150W	snap_masked-scaffold_2-processed-gene-7.110-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.110&CDS=1-564
OG0001290	YER151C	augustus_masked-scaffold_1-processed-gene-3.115-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.115&CDS=1-4419
OG0001291	YER153C	genemark-scaffold_1-processed-gene-3.5-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.5&CDS=1-891
OG0001292	YER154W	augustus_masked-scaffold_1-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.139&CDS=1-1140
OG0001293	YER155C	snap_masked-scaffold_1-processed-gene-2.76-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.76&CDS=1-6189
OG0001294	YER156C	snap_masked-scaffold_1-processed-gene-2.75-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.75&CDS=1-1002
OG0001295	YER157W	genemark-scaffold_1-processed-gene-2.43-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.43&CDS=1-2307
OG0001296	YER159C	maker-scaffold_1-augustus-gene-2.48-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.48&CDS=1-1998
OG0001297	YER160C, YLR035C-A	
OG0001298	YER161C	snap_masked-scaffold_1-processed-gene-2.64-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.64&CDS=1-1011
OG0001299	YER162C	snap_masked-scaffold_1-processed-gene-8.150-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.150&CDS=1-2346
OG0001300	YER164W	snap_masked-scaffold_1-processed-gene-2.89-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.89&CDS=1-4350
OG0001301	YER165W	snap_masked-scaffold_1-processed-gene-2.88-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.88&CDS=1-1764
OG0001302	YER166W	snap_masked-scaffold_1-processed-gene-2.86-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.86&CDS=1-4812
OG0001303	YER167W	augustus_masked-scaffold_1-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.128&CDS=1-2226
OG0001304	YER168C	snap_masked-scaffold_1-processed-gene-2.62-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.62&CDS=1-1599
OG0001305	YER169W	snap_masked-scaffold_1-processed-gene-2.84-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.84&CDS=1-2511
OG0001306	YER171W	maker-scaffold_1-snap-gene-2.0-mRNA-1_1&gene=maker-scaffold_1-snap-gene-2.0&CDS=1-3003
OG0001307	YER173W	snap_masked-scaffold_1-processed-gene-2.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.81&CDS=1-1938
OG0001308	YER176W	snap_masked-scaffold_6-processed-gene-6.83-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.83&CDS=1-3246
OG0001309	YER178W	snap_masked-scaffold_6-processed-gene-6.86-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.86&CDS=1-1185
OG0001310	YER179W	snap_masked-scaffold_6-processed-gene-7.39-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.39&CDS=1-1002
OG0001311	YER180C	augustus_masked-scaffold_6-processed-gene-7.5-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.5&CDS=1-819
OG0001312	YER180C-A	snap_masked-scaffold_6-processed-gene-7.45-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.45&CDS=1-339
