	Hanseniaspora_valbyensis	Saccharomyces_cerevisiae
OG0000800	genemark-scaffold_11-processed-gene-2.76-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.76&CDS=1-1491	YJL002C
OG0000801	genemark-scaffold_11-processed-gene-2.78-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.78&CDS=1-3321	YLL001W
OG0000802	genemark-scaffold_11-processed-gene-2.79-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.79&CDS=1-1209	YLL002W
OG0000803	genemark-scaffold_11-processed-gene-2.102-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.102&CDS=1-2946	YLR001C
OG0000804	genemark-scaffold_11-processed-gene-2.80-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.80&CDS=1-1989	YJR001W
OG0000805	maker-scaffold_11-snap-gene-2.63-mRNA-1_1&gene=maker-scaffold_11-snap-gene-2.63&CDS=1-1200	YHR070W
OG0000806	genemark-scaffold_11-processed-gene-2.82-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.82&CDS=1-1194	YHR069C
OG0000807	genemark-scaffold_11-processed-gene-2.83-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.83&CDS=1-1695	YDR316W
OG0000808	augustus_masked-scaffold_11-processed-gene-2.160-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.160&CDS=1-2808	YGR204W
OG0000809	genemark-scaffold_11-processed-gene-2.106-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.106&CDS=1-2484	YGR200C
OG0000810	genemark-scaffold_11-processed-gene-2.107-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.107&CDS=1-1491	YHR065C
OG0000811	genemark-scaffold_11-processed-gene-2.108-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.108&CDS=1-774	YDR313C
OG0000812	genemark-scaffold_11-processed-gene-2.109-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.109&CDS=1-1944	YDR314C
OG0000813	genemark-scaffold_11-processed-gene-2.110-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.110&CDS=1-1704	YOR023C
OG0000814	genemark-scaffold_11-processed-gene-2.112-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.112&CDS=1-1458	YHR011W
OG0000815	genemark-scaffold_11-processed-gene-2.87-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.87&CDS=1-1629	YDR470C
OG0000816	genemark-scaffold_11-processed-gene-2.88-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.88&CDS=1-630	YDR468C
OG0000817	genemark-scaffold_11-processed-gene-2.89-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.89&CDS=1-576	YDR339C
OG0000818	genemark-scaffold_11-processed-gene-2.90-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.90&CDS=1-987	YHR090C
OG0000819	genemark-scaffold_11-processed-gene-2.113-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.113&CDS=1-2733	YGR198W
OG0000820	genemark-scaffold_11-processed-gene-2.93-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.93&CDS=1-3102	YGL207W
OG0000821	genemark-scaffold_11-processed-gene-2.114-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.114&CDS=1-4929	YGL206C
OG0000822	genemark-scaffold_11-processed-gene-2.94-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.94&CDS=1-1188	YGL240W
OG0000823	genemark-scaffold_11-processed-gene-2.115-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.115&CDS=1-522	YGL242C
OG0000824	genemark-scaffold_11-processed-gene-2.116-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.116&CDS=1-1110	YGL224C
OG0000825	genemark-scaffold_11-processed-gene-2.96-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.96&CDS=1-1923	YGL236C
OG0000826	maker-scaffold_110-augustus-gene-0.4-mRNA-1_1&gene=maker-scaffold_110-augustus-gene-0.4&CDS=1-966	YLR118C
OG0000827	genemark-scaffold_110-processed-gene-0.9-mRNA-1_1&gene=genemark-scaffold_110-processed-gene-0.9&CDS=1-867	YMR193W
OG0000828	maker-scaffold_111-snap-gene-0.6-mRNA-1_1&gene=maker-scaffold_111-snap-gene-0.6&CDS=1-1482	YJR110W
OG0000829	genemark-scaffold_112-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_112-processed-gene-0.3&CDS=1-444	YBR109C
OG0000830	genemark-scaffold_112-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_112-processed-gene-0.7&CDS=1-231	YBR106W
OG0000831	genemark-scaffold_113-processed-gene-0.6-mRNA-1_1&gene=genemark-scaffold_113-processed-gene-0.6&CDS=1-1380	YER019W
OG0000832	genemark-scaffold_113-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_113-processed-gene-0.7&CDS=1-1569	YNL277W
OG0000833	genemark-scaffold_113-processed-gene-0.8-mRNA-1_1&gene=genemark-scaffold_113-processed-gene-0.8&CDS=1-579	YCR043C
OG0000834	maker-scaffold_114-snap-gene-0.12-mRNA-1_1&gene=maker-scaffold_114-snap-gene-0.12&CDS=1-4143	YAL001C
OG0000835	genemark-scaffold_114-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_114-processed-gene-0.0&CDS=1-777	YGR001C
OG0000836	augustus_masked-scaffold_115-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scaffold_115-processed-gene-0.5&CDS=1-3834	YOR086C
OG0000837	augustus_masked-scaffold_117-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_117-processed-gene-0.3&CDS=1-1953	YPR010C
OG0000838	genemark-scaffold_119-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_119-processed-gene-0.0&CDS=1-1023	YPL215W
OG0000839	maker-scaffold_12-snap-gene-0.85-mRNA-1_1&gene=maker-scaffold_12-snap-gene-0.85&CDS=1-1029	YNL025C
OG0000840	genemark-scaffold_12-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.3&CDS=1-1332	YIL103W
OG0000841	maker-scaffold_12-augustus-gene-0.44-mRNA-1_1&gene=maker-scaffold_12-augustus-gene-0.44&CDS=1-4311	YNL041C
OG0000842	genemark-scaffold_12-processed-gene-0.23-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.23&CDS=1-735	YNL036W
OG0000843	maker-scaffold_12-snap-gene-0.87-mRNA-1_1&gene=maker-scaffold_12-snap-gene-0.87&CDS=1-1830	YIL104C
OG0000844	genemark-scaffold_12-processed-gene-0.24-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.24&CDS=1-1758	YNL042W
OG0000845	genemark-scaffold_12-processed-gene-0.25-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.25&CDS=1-525	YNL044W
OG0000846	genemark-scaffold_12-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.5&CDS=1-1869	YNL048W
OG0000847	genemark-scaffold_12-processed-gene-0.6-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.6&CDS=1-2019	YNL045W
OG0000848	genemark-scaffold_12-processed-gene-0.27-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.27&CDS=1-861	YIL106W
OG0000849	genemark-scaffold_12-processed-gene-0.29-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.29&CDS=1-1941	YIL108W
OG0000850	snap_masked-scaffold_12-processed-gene-0.103-mRNA-1_1&gene=snap_masked-scaffold_12-processed-gene-0.103&CDS=1-1215	YHR144C
OG0000851	genemark-scaffold_12-processed-gene-0.30-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.30&CDS=1-822	YNL168C
OG0000852	genemark-scaffold_12-processed-gene-0.31-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.31&CDS=1-2070	YNL167C
OG0000853	augustus_masked-scaffold_12-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-0.75&CDS=1-210	YHR143W-A
OG0000854	genemark-scaffold_12-processed-gene-0.33-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.33&CDS=1-1404	YNL142W
OG0000855	genemark-scaffold_12-processed-gene-0.9-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.9&CDS=1-666	YDL212W
OG0000856	genemark-scaffold_12-processed-gene-0.34-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.34&CDS=1-1053	YNL177C
OG0000857	genemark-scaffold_12-processed-gene-0.36-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.36&CDS=1-1203	YNL175C
OG0000858	genemark-scaffold_12-processed-gene-0.15-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.15&CDS=1-738	YDL213C
OG0000859	genemark-scaffold_12-processed-gene-0.40-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.40&CDS=1-1071	YNL141W
OG0000860	genemark-scaffold_12-processed-gene-0.16-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.16&CDS=1-1836	YHR135C
OG0000861	genemark-scaffold_12-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.18&CDS=1-2946	YNL183C
OG0000862	genemark-scaffold_12-processed-gene-0.19-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.19&CDS=1-435	YNL185C
OG0000863	genemark-scaffold_12-processed-gene-0.41-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.41&CDS=1-2445	YNL186W
OG0000864	maker-scaffold_12-snap-gene-1.0-mRNA-1_1&gene=maker-scaffold_12-snap-gene-1.0&CDS=1-5712	YDL215C
OG0000865	genemark-scaffold_12-processed-gene-1.48-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.48&CDS=1-582	YDL217C
OG0000866	genemark-scaffold_12-processed-gene-1.49-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.49&CDS=1-1773	YDL174C
OG0000867	genemark-scaffold_12-processed-gene-1.69-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.69&CDS=1-1674	YNL189W
OG0000868	genemark-scaffold_12-processed-gene-1.70-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.70&CDS=1-1302	YKL004W
OG0000869	genemark-scaffold_12-processed-gene-1.72-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.72&CDS=1-660	YDL218W
OG0000870	genemark-scaffold_12-processed-gene-1.73-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.73&CDS=1-1365	YNL191W
OG0000871	genemark-scaffold_12-processed-gene-1.51-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.51&CDS=1-3237	YNL192W
OG0000872	genemark-scaffold_12-processed-gene-1.52-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.52&CDS=1-468	YDL219W
OG0000873	genemark-scaffold_12-processed-gene-1.57-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.57&CDS=1-1746	YDL225W
OG0000874	snap_masked-scaffold_12-processed-gene-1.19-mRNA-1_1&gene=snap_masked-scaffold_12-processed-gene-1.19&CDS=1-195	YNL089C
OG0000875	genemark-scaffold_12-processed-gene-1.77-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.77&CDS=1-675	YOR104W
OG0000876	genemark-scaffold_12-processed-gene-1.78-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.78&CDS=1-543	YNL099C
OG0000877	genemark-scaffold_12-processed-gene-1.60-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.60&CDS=1-342	YOR103C
OG0000878	genemark-scaffold_12-processed-gene-1.80-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.80&CDS=1-1296	YNL097C
OG0000879	genemark-scaffold_12-processed-gene-1.81-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.81&CDS=1-1227	YOR099W
OG0000880	genemark-scaffold_12-processed-gene-1.62-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.62&CDS=1-867	YOR095C
OG0000881	genemark-scaffold_12-processed-gene-1.63-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.63&CDS=1-5079	YOR093C
OG0000882	genemark-scaffold_12-processed-gene-1.84-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.84&CDS=1-1896	YOR087W
OG0000883	genemark-scaffold_12-processed-gene-1.85-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.85&CDS=1-1347	YOR090C
OG0000884	genemark-scaffold_12-processed-gene-1.65-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.65&CDS=1-1023	YOR091W
OG0000885	genemark-scaffold_12-processed-gene-1.86-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.86&CDS=1-1968	YNL094W
OG0000886	genemark-scaffold_12-processed-gene-2.121-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.121&CDS=1-1062	YIL110W
OG0000887	genemark-scaffold_12-processed-gene-2.123-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.123&CDS=1-3807	YIL112W
OG0000888	genemark-scaffold_12-processed-gene-2.150-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.150&CDS=1-1161	YIL116W
OG0000889	genemark-scaffold_12-processed-gene-2.128-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.128&CDS=1-525	YNL056W
OG0000890	genemark-scaffold_12-processed-gene-2.151-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.151&CDS=1-747	YIL118W
OG0000891	genemark-scaffold_12-processed-gene-2.131-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.131&CDS=1-2247	YNL059C
OG0000892	genemark-scaffold_12-processed-gene-2.153-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.153&CDS=1-1920	YNL061W
OG0000893	genemark-scaffold_12-processed-gene-2.132-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.132&CDS=1-1347	YNL062C
OG0000894	genemark-scaffold_12-processed-gene-2.154-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.154&CDS=1-891	YNL063W
OG0000895	augustus_masked-scaffold_12-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-2.102&CDS=1-1245	YDL233W
OG0000896	genemark-scaffold_12-processed-gene-2.133-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.133&CDS=1-1968	YDL234C
OG0000897	genemark-scaffold_12-processed-gene-2.157-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.157&CDS=1-1722	YNL216W
OG0000898	genemark-scaffold_12-processed-gene-2.158-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.158&CDS=1-1224	YNL217W
OG0000899	genemark-scaffold_12-processed-gene-2.134-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.134&CDS=1-591	YDL235C
OG0000900	genemark-scaffold_12-processed-gene-2.159-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.159&CDS=1-1770	YNL218W
OG0000901	genemark-scaffold_12-processed-gene-2.160-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.160&CDS=1-918	YDL236W
OG0000902	genemark-scaffold_12-processed-gene-2.135-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.135&CDS=1-1965	YNL219C
OG0000903	genemark-scaffold_12-processed-gene-2.161-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.161&CDS=1-1311	YNL220W
OG0000904	augustus_masked-scaffold_12-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-2.86&CDS=1-4446	YNL172W
OG0000905	snap_masked-scaffold_12-processed-gene-2.41-mRNA-1_1&gene=snap_masked-scaffold_12-processed-gene-2.41&CDS=1-1662	YNL169C
OG0000906	augustus_masked-scaffold_12-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-2.110&CDS=1-2238	YNL101W
OG0000907	augustus_masked-scaffold_12-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-2.111&CDS=1-4308	YNL102W
OG0000908	genemark-scaffold_12-processed-gene-2.140-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.140&CDS=1-879	YOR106W
OG0000909	genemark-scaffold_12-processed-gene-2.164-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.164&CDS=1-1422	YNL103W
OG0000910	genemark-scaffold_12-processed-gene-2.141-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.141&CDS=1-1890	YNL104C
OG0000911	maker-scaffold_12-snap-gene-2.62-mRNA-1_1&gene=maker-scaffold_12-snap-gene-2.62&CDS=1-3588	YNL106C
OG0000912	snap_masked-scaffold_12-processed-gene-2.45-mRNA-1_1&gene=snap_masked-scaffold_12-processed-gene-2.45&CDS=1-627	YOR111W
OG0000913	snap_masked-scaffold_12-processed-gene-2.46-mRNA-1_1&gene=snap_masked-scaffold_12-processed-gene-2.46&CDS=1-2034	YHR114W
OG0000914	genemark-scaffold_12-processed-gene-2.144-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.144&CDS=1-702	YNL110C
OG0000915	genemark-scaffold_12-processed-gene-2.145-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.145&CDS=1-771	YNL107W
OG0000916	genemark-scaffold_12-processed-gene-2.146-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.146&CDS=1-618	YOR115C
OG0000917	genemark-scaffold_12-processed-gene-2.168-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.168&CDS=1-3510	YOR113W
OG0000918	genemark-scaffold_12-processed-gene-2.147-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.147&CDS=1-417	YNL113W
OG0000919	maker-scaffold_12-augustus-gene-2.66-mRNA-1_1&gene=maker-scaffold_12-augustus-gene-2.66&CDS=1-1767	YNL112W
OG0000920	genemark-scaffold_12-processed-gene-2.170-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.170&CDS=1-366	YNL111C
OG0000921	augustus_masked-scaffold_120-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_120-processed-gene-0.3&CDS=1-1974	YGL120C
OG0000922	snap_masked-scaffold_121-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scaffold_121-processed-gene-0.2&CDS=1-1008	YDL014W
OG0000923	genemark-scaffold_121-processed-gene-0.8-mRNA-1_1&gene=genemark-scaffold_121-processed-gene-0.8&CDS=1-891	YDL015C
OG0000924	maker-scaffold_121-snap-gene-0.6-mRNA-1_1&gene=maker-scaffold_121-snap-gene-0.6&CDS=1-1473	YDL017W
OG0000925	snap_masked-scaffold_123-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scaffold_123-processed-gene-0.5&CDS=1-921	YLR351C
OG0000926	genemark-scaffold_125-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_125-processed-gene-0.3&CDS=1-2688	YPR194C
OG0000927	genemark-scaffold_126-processed-gene-0.8-mRNA-1_1&gene=genemark-scaffold_126-processed-gene-0.8&CDS=1-3144	YOL084W
OG0000928	maker-scaffold_127-snap-gene-0.1-mRNA-1_1&gene=maker-scaffold_127-snap-gene-0.1&CDS=1-1245	YDL056W
OG0000929	augustus_masked-scaffold_128-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scaffold_128-processed-gene-0.5&CDS=1-3498	YBR136W
OG0000930	genemark-scaffold_128-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_128-processed-gene-0.4&CDS=1-2322	YPR091C
OG0000931	genemark-scaffold_13-processed-gene-0.112-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.112&CDS=1-1479	YAL022C
OG0000932	augustus_masked-scaffold_13-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-0.72&CDS=1-2325	YAL021C
OG0000933	augustus_masked-scaffold_13-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-0.73&CDS=1-1170	YAL020C
OG0000934	snap_masked-scaffold_13-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scaffold_13-processed-gene-0.0&CDS=1-3204	YAL019W
OG0000935	genemark-scaffold_13-processed-gene-0.88-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.88&CDS=1-2415	YOL051W
OG0000936	genemark-scaffold_13-processed-gene-0.89-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.89&CDS=1-1503	YOL049W
OG0000937	genemark-scaffold_13-processed-gene-0.115-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.115&CDS=1-1209	YOL048C
OG0000938	genemark-scaffold_13-processed-gene-0.91-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.91&CDS=1-1989	YAL016W
OG0000939	genemark-scaffold_13-processed-gene-0.117-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.117&CDS=1-1362	YOL041C
OG0000940	genemark-scaffold_13-processed-gene-0.93-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.93&CDS=1-1278	YAL013W
OG0000941	genemark-scaffold_13-processed-gene-0.118-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.118&CDS=1-429	YOL040C
OG0000942	genemark-scaffold_13-processed-gene-0.95-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.95&CDS=1-1161	YAL012W
OG0000943	genemark-scaffold_13-processed-gene-0.96-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.96&CDS=1-1266	YOL031C
OG0000944	genemark-scaffold_13-processed-gene-0.119-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.119&CDS=1-729	YOL032W
OG0000945	genemark-scaffold_13-processed-gene-0.120-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.120&CDS=1-1722	YOL033W
OG0000946	genemark-scaffold_13-processed-gene-0.121-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.121&CDS=1-3363	YOL034W
OG0000947	genemark-scaffold_13-processed-gene-0.97-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.97&CDS=1-834	YAL009W
OG0000948	genemark-scaffold_13-processed-gene-0.98-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.98&CDS=1-2706	YOR014W
OG0000949	maker-scaffold_13-snap-gene-0.41-mRNA-1_1&gene=maker-scaffold_13-snap-gene-0.41&CDS=1-960	YPR107C
OG0000950	genemark-scaffold_13-processed-gene-0.101-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.101&CDS=1-933	YGR086C
OG0000951	genemark-scaffold_13-processed-gene-0.102-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.102&CDS=1-2886	YPR105C
OG0000952	genemark-scaffold_13-processed-gene-0.103-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.103&CDS=1-3906	YPR104C
OG0000953	genemark-scaffold_13-processed-gene-0.122-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.122&CDS=1-861	YPR103W
OG0000954	genemark-scaffold_13-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.105&CDS=1-2088	YGR083C
OG0000955	genemark-scaffold_13-processed-gene-0.123-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.123&CDS=1-903	YML110C
OG0000956	genemark-scaffold_13-processed-gene-0.124-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.124&CDS=1-1188	YMR272C
OG0000957	genemark-scaffold_13-processed-gene-0.125-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.125&CDS=1-390	YML108W
OG0000958	genemark-scaffold_13-processed-gene-0.127-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.127&CDS=1-915	YMR274C
OG0000959	genemark-scaffold_13-processed-gene-0.111-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.111&CDS=1-1374	YKR063C
OG0000960	genemark-scaffold_13-processed-gene-1.93-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.93&CDS=1-669	YJL148W
OG0000961	genemark-scaffold_13-processed-gene-1.96-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.96&CDS=1-462	YJL143W
OG0000962	genemark-scaffold_13-processed-gene-1.113-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.113&CDS=1-2688	YJL141C
OG0000963	genemark-scaffold_13-processed-gene-1.97-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.97&CDS=1-882	YJL140W
OG0000964	genemark-scaffold_13-processed-gene-1.119-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.119&CDS=1-1938	YKR056W
OG0000965	genemark-scaffold_13-processed-gene-1.120-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.120&CDS=1-1572	YKR051W
OG0000966	genemark-scaffold_13-processed-gene-1.122-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.122&CDS=1-6696	YJL130C
OG0000967	augustus_masked-scaffold_13-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-1.85&CDS=1-4008	YKR050W
OG0000968	genemark-scaffold_13-processed-gene-1.124-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.124&CDS=1-2928	YJL128C
OG0000969	augustus_masked-scaffold_13-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-1.87&CDS=1-753	YLR040C
