	Saccharomyces_cerevisiae	Spathaspora_passalidarum
OG0000686	YBR265W	augustus_masked-scaffold_2-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.58&CDS=1-912
OG0000687	YBR267W	augustus_masked-scaffold_1-processed-gene-9.37-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.37&CDS=1-1119
OG0000688	YBR268W	augustus_masked-scaffold_1-processed-gene-9.31-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.31&CDS=1-303
OG0000689	YBR271W	maker-scaffold_3-augustus-gene-15.7-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-15.7&CDS=1-1611
OG0000690	YBR276C	augustus_masked-scaffold_8-processed-gene-5.154-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.154&CDS=1-2631
OG0000691	YBR278W	augustus_masked-scaffold_1-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.15&CDS=1-753
OG0000692	YBR279W	augustus_masked-scaffold_3-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.31&CDS=1-1329
OG0000693	YBR280C	augustus_masked-scaffold_7-processed-gene-7.86-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.86&CDS=1-1893
OG0000694	YBR281C	augustus_masked-scaffold_1-processed-gene-14.100-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.100&CDS=1-2904
OG0000695	YBR282W	augustus_masked-scaffold_1-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.14&CDS=1-504
OG0000696	YBR283C	snap_masked-scaffold_1-processed-gene-15.47-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.47&CDS=1-1491
OG0000697	YBR286W	augustus_masked-scaffold_3-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.70&CDS=1-1680
OG0000698	YBR287W	maker-scaffold_2-snap-gene-8.0-mRNA-1_1&gene=maker-scaffold_2-snap-gene-8.0&CDS=1-4509
OG0000699	YBR288C	augustus_masked-scaffold_7-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.74&CDS=1-1467
OG0000700	YBR289W	augustus_masked-scaffold_5-processed-gene-10.68-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-10.68&CDS=1-2283
OG0000701	YBR290W	augustus_masked-scaffold_5-processed-gene-10.87-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-10.87&CDS=1-1095
OG0000702	YBR291C	maker-scaffold_5-augustus-gene-10.139-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-10.139&CDS=1-882
OG0000703	YBR294W	augustus_masked-scaffold_1-processed-gene-16.97-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.97&CDS=1-2433
OG0000704	YBR296C	augustus_masked-scaffold_1-processed-gene-10.78-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.78&CDS=1-1746
OG0000705	YCL001W	maker-scaffold_8-augustus-gene-3.101-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-3.101&CDS=1-1683
OG0000706	YCL005W-A	augustus_masked-scaffold_1-processed-gene-13.23-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.23&CDS=1-213
OG0000707	YCL009C	augustus_masked-scaffold_6-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.133&CDS=1-885
OG0000708	YCL010C	augustus_masked-scaffold_8-processed-gene-7.14-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-7.14&CDS=1-747
OG0000709	YCL014W	genemark-scaffold_8-processed-gene-7.93-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-7.93&CDS=1-3792
OG0000710	YCL017C	augustus_masked-scaffold_8-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-7.54&CDS=1-1500
OG0000711	YCL018W	augustus_masked-scaffold_8-processed-gene-7.53-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-7.53&CDS=1-1122
OG0000712	YCL030C	augustus_masked-scaffold_6-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-0.31&CDS=1-2568
OG0000713	YCL031C	augustus_masked-scaffold_3-processed-gene-16.51-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.51&CDS=1-843
OG0000714	YCL032W	augustus_masked-scaffold_5-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.15&CDS=1-1425
OG0000715	YCL033C	genemark-scaffold_1-processed-gene-2.46-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.46&CDS=1-399
OG0000716	YCL034W	augustus_masked-scaffold_3-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.3&CDS=1-1344
OG0000717	YCL039W	augustus_masked-scaffold_8-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.84&CDS=1-2382
OG0000718	YCL043C	augustus_masked-scaffold_8-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.103&CDS=1-1674
OG0000719	YCL044C	augustus_masked-scaffold_3-processed-gene-17.77-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.77&CDS=1-1095
OG0000720	YCL045C	augustus_masked-scaffold_4-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.51&CDS=1-2559
OG0000721	YCL047C	augustus_masked-scaffold_4-processed-gene-13.13-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.13&CDS=1-807
OG0000722	YCL054W	augustus_masked-scaffold_7-processed-gene-7.131-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.131&CDS=1-2421
OG0000723	YCL055W	augustus_masked-scaffold_2-processed-gene-16.57-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.57&CDS=1-1092
OG0000724	YCL057C-A	augustus_masked-scaffold_1-processed-gene-19.18-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.18&CDS=1-252
OG0000725	YCL057W	augustus_masked-scaffold_1-processed-gene-15.17-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.17&CDS=1-2049
OG0000726	YCL059C	augustus_masked-scaffold_1-processed-gene-10.68-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.68&CDS=1-1053
OG0000727	YCL061C	augustus_masked-scaffold_1-processed-gene-10.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.89&CDS=1-2970
OG0000728	YCR002C	augustus_masked-scaffold_2-processed-gene-12.59-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.59&CDS=1-963
OG0000729	YCR003W	augustus_masked-scaffold_2-processed-gene-12.84-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.84&CDS=1-594
OG0000730	YCR008W	augustus_masked-scaffold_2-processed-gene-8.47-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.47&CDS=1-1899
OG0000731	YCR009C	augustus_masked-scaffold_8-processed-gene-7.39-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-7.39&CDS=1-795
OG0000732	YCR011C	augustus_masked-scaffold_2-processed-gene-9.53-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.53&CDS=1-3129
OG0000733	YCR012W	augustus_masked-scaffold_7-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.54&CDS=1-1248
OG0000734	YCR015C	augustus_masked-scaffold_5-processed-gene-15.209-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-15.209&CDS=1-759
OG0000735	YCR016W	augustus_masked-scaffold_5-processed-gene-15.175-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-15.175&CDS=1-726
OG0000736	YCR017C	augustus_masked-scaffold_2-processed-gene-18.49-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.49&CDS=1-2928
OG0000737	YCR019W	augustus_masked-scaffold_1-processed-gene-6.25-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.25&CDS=1-999
OG0000738	YCR020C	augustus_masked-scaffold_2-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.27&CDS=1-690
OG0000739	YCR020C-A	augustus_masked-scaffold_4-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.72&CDS=1-273
OG0000740	YCR021C	augustus_masked-scaffold_1-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.15&CDS=1-978
OG0000741	YCR024C	augustus_masked-scaffold_8-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.13&CDS=1-1467
OG0000742	YCR027C	augustus_masked-scaffold_5-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.6&CDS=1-549
OG0000743	YCR030C	augustus_masked-scaffold_6-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-0.5&CDS=1-2568
OG0000744	YCR032W	augustus_masked-scaffold_6-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.65&CDS=1-6570
OG0000745	YCR033W	augustus_masked-scaffold_4-processed-gene-14.36-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.36&CDS=1-3510
OG0000746	YCR034W	augustus_masked-scaffold_4-processed-gene-14.23-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.23&CDS=1-990
OG0000747	YCR035C	augustus_masked-scaffold_6-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.63&CDS=1-1038
OG0000748	YCR036W	augustus_masked-scaffold_4-processed-gene-14.45-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.45&CDS=1-987
OG0000749	YCR042C	augustus_masked-scaffold_7-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.94&CDS=1-5880
OG0000750	YCR044C	augustus_masked-scaffold_4-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.26&CDS=1-1002
OG0000751	YCR046C	maker-scaffold_4-augustus-gene-4.0-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-4.0&CDS=1-540
OG0000752	YCR047C	augustus_masked-scaffold_4-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.70&CDS=1-810
OG0000753	YCR053W	augustus_masked-scaffold_4-processed-gene-5.38-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.38&CDS=1-1527
OG0000754	YCR054C	augustus_masked-scaffold_4-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.24&CDS=1-1308
OG0000755	YCR057C	augustus_masked-scaffold_2-processed-gene-19.64-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.64&CDS=1-2751
OG0000756	YCR059C	maker-scaffold_2-augustus-gene-19.83-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-19.83&CDS=1-837
OG0000757	YCR061W	augustus_masked-scaffold_6-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.19&CDS=1-1704
OG0000758	YCR063W	genemark-scaffold_6-processed-gene-8.78-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.78&CDS=1-447
OG0000759	YCR065W	augustus_masked-scaffold_6-processed-gene-8.0-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.0&CDS=1-1788
OG0000760	YCR066W	snap_masked-scaffold_7-processed-gene-3.12-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-3.12&CDS=1-1428
OG0000761	YCR068W	augustus_masked-scaffold_7-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.116&CDS=1-2721
OG0000762	YCR071C	augustus_masked-scaffold_1-processed-gene-22.124-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.124&CDS=1-366
OG0000763	YCR072C	augustus_masked-scaffold_1-processed-gene-22.107-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.107&CDS=1-1539
OG0000764	YCR077C	augustus_masked-scaffold_1-processed-gene-22.126-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.126&CDS=1-2364
OG0000765	YCR079W	augustus_masked-scaffold_2-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.36&CDS=1-1206
OG0000766	YCR086W	augustus_masked-scaffold_2-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.26&CDS=1-885
OG0000767	YCR087C-A	augustus_masked-scaffold_2-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.6&CDS=1-447
OG0000768	YCR088W	augustus_masked-scaffold_1-processed-gene-17.46-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.46&CDS=1-1782
OG0000769	YCR090C	augustus_masked-scaffold_3-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.48&CDS=1-483
OG0000770	YCR092C	maker-scaffold_3-augustus-gene-3.66-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-3.66&CDS=1-4647
OG0000771	YCR093W	maker-scaffold_7-augustus-gene-6.43-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-6.43&CDS=1-7197
OG0000772	YCR095C	augustus_masked-scaffold_6-processed-gene-6.41-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.41&CDS=1-1497
OG0000773	YCR097W	augustus_masked-scaffold_4-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.18&CDS=1-441
OG0000774	YCR098C	augustus_masked-scaffold_3-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.49&CDS=1-1530
OG0000775	YDL001W	maker-scaffold_5-snap-gene-4.42-mRNA-1_1&gene=maker-scaffold_5-snap-gene-4.42&CDS=1-1527
OG0000776	YDL002C	augustus_masked-scaffold_5-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.29&CDS=1-831
OG0000777	YDL003W	augustus_masked-scaffold_2-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.15&CDS=1-1434
OG0000778	YDL004W	augustus_masked-scaffold_2-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.42&CDS=1-477
OG0000779	YDL006W	augustus_masked-scaffold_4-processed-gene-11.62-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.62&CDS=1-1122
OG0000780	YDL007W	augustus_masked-scaffold_5-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.83&CDS=1-1320
OG0000781	YDL008W	augustus_masked-scaffold_2-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.10&CDS=1-417
OG0000782	YDL013W	augustus_masked-scaffold_3-processed-gene-13.16-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.16&CDS=1-1260
OG0000783	YDL014W	augustus_masked-scaffold_1-processed-gene-25.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.6&CDS=1-966
OG0000784	YDL015C	augustus_masked-scaffold_1-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.135&CDS=1-936
OG0000785	YDL017W	augustus_masked-scaffold_3-processed-gene-13.40-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.40&CDS=1-1647
OG0000786	YDL025C	augustus_masked-scaffold_5-processed-gene-6.5-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.5&CDS=1-1593
OG0000787	YDL028C	augustus_masked-scaffold_2-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-3.42&CDS=1-1875
OG0000788	YDL029W	augustus_masked-scaffold_2-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-3.52&CDS=1-1173
OG0000789	YDL030W	augustus_masked-scaffold_4-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.29&CDS=1-1560
OG0000790	YDL031W	augustus_masked-scaffold_5-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.21&CDS=1-2754
OG0000791	YDL033C	snap_masked-scaffold_4-processed-gene-16.93-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-16.93&CDS=1-1101
OG0000792	YDL035C	augustus_masked-scaffold_4-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.73&CDS=1-2208
OG0000793	YDL040C	augustus_masked-scaffold_4-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.32&CDS=1-2322
OG0000794	YDL043C	augustus_masked-scaffold_4-processed-gene-12.46-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-12.46&CDS=1-732
OG0000795	YDL045C	maker-scaffold_4-augustus-gene-12.77-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-12.77&CDS=1-837
OG0000796	YDL045W-A	augustus_masked-scaffold_4-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.79&CDS=1-291
OG0000797	YDL046W	augustus_masked-scaffold_2-processed-gene-18.46-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.46&CDS=1-570
OG0000798	YDL047W	augustus_masked-scaffold_1-processed-gene-8.20-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.20&CDS=1-942
OG0000799	YDL051W	augustus_masked-scaffold_1-processed-gene-12.28-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.28&CDS=1-861
OG0000800	YDL052C	augustus_masked-scaffold_5-processed-gene-7.109-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.109&CDS=1-861
OG0000801	YDL055C	augustus_masked-scaffold_5-processed-gene-15.222-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-15.222&CDS=1-1086
OG0000802	YDL056W	augustus_masked-scaffold_5-processed-gene-9.8-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.8&CDS=1-2592
OG0000803	YDL057W	augustus_masked-scaffold_4-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.69&CDS=1-1968
OG0000804	YDL058W	augustus_masked-scaffold_1-processed-gene-22.128-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.128&CDS=1-5280
OG0000805	YDL059C	augustus_masked-scaffold_1-processed-gene-22.115-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.115&CDS=1-648
OG0000806	YDL060W	augustus_masked-scaffold_2-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.28&CDS=1-2289
OG0000807	YDL063C	augustus_masked-scaffold_2-processed-gene-4.48-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.48&CDS=1-1824
OG0000808	YDL064W	augustus_masked-scaffold_2-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.53&CDS=1-471
OG0000809	YDL065C	augustus_masked-scaffold_2-processed-gene-5.67-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.67&CDS=1-954
OG0000810	YDL067C	snap_masked-scaffold_3-processed-gene-14.104-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-14.104&CDS=1-183
OG0000811	YDL072C	augustus_masked-scaffold_3-processed-gene-10.27-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.27&CDS=1-585
OG0000812	YDL074C	augustus_masked-scaffold_4-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.20&CDS=1-2040
OG0000813	YDL076C	augustus_masked-scaffold_3-processed-gene-10.30-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.30&CDS=1-1395
OG0000814	YDL081C	augustus_masked-scaffold_1-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.4&CDS=1-321
OG0000815	YDL084W	augustus_masked-scaffold_6-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-0.38&CDS=1-1317
OG0000816	YDL086W	augustus_masked-scaffold_1-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.33&CDS=1-807
OG0000817	YDL087C	genemark-scaffold_6-processed-gene-0.94-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.94&CDS=1-711
OG0000818	YDL088C	augustus_masked-scaffold_1-processed-gene-19.8-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.8&CDS=1-1119
OG0000819	YDL090C	augustus_masked-scaffold_1-processed-gene-19.34-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.34&CDS=1-1314
OG0000820	YDL091C	augustus_masked-scaffold_1-processed-gene-19.11-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.11&CDS=1-1329
OG0000821	YDL092W	augustus_masked-scaffold_1-processed-gene-19.36-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.36&CDS=1-384
OG0000822	YDL095W	augustus_masked-scaffold_8-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.37&CDS=1-3297
OG0000823	YDL097C	augustus_masked-scaffold_1-processed-gene-19.2-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.2&CDS=1-1263
OG0000824	YDL098C	augustus_masked-scaffold_3-processed-gene-15.49-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.49&CDS=1-690
OG0000825	YDL100C	augustus_masked-scaffold_1-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.34&CDS=1-1044
OG0000826	YDL101C	genemark-scaffold_6-processed-gene-10.152-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-10.152&CDS=1-3783
OG0000827	YDL102W	snap_masked-scaffold_8-processed-gene-3.66-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.66&CDS=1-3237
OG0000828	YDL103C	augustus_masked-scaffold_6-processed-gene-9.1-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.1&CDS=1-1458
OG0000829	YDL104C	augustus_masked-scaffold_6-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.143&CDS=1-1293
OG0000830	YDL105W	augustus_masked-scaffold_6-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.119&CDS=1-972
OG0000831	YDL106C	augustus_masked-scaffold_6-processed-gene-10.21-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.21&CDS=1-1623
OG0000832	YDL107W	augustus_masked-scaffold_6-processed-gene-10.22-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.22&CDS=1-1125
OG0000833	YDL108W	augustus_masked-scaffold_6-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.54&CDS=1-1008
OG0000834	YDL110C	augustus_masked-scaffold_1-processed-gene-19.1-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.1&CDS=1-444
OG0000835	YDL111C	augustus_masked-scaffold_1-processed-gene-19.31-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.31&CDS=1-843
OG0000836	YDL112W	augustus_masked-scaffold_1-processed-gene-19.7-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.7&CDS=1-3936
OG0000837	YDL113C	augustus_masked-scaffold_1-processed-gene-19.3-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.3&CDS=1-2055
OG0000838	YDL114W	augustus_masked-scaffold_8-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-7.2&CDS=1-1047
OG0000839	YDL116W	augustus_masked-scaffold_1-processed-gene-19.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.6&CDS=1-2343
OG0000840	YDL117W	augustus_masked-scaffold_6-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.55&CDS=1-2946
OG0000841	YDL119C	augustus_masked-scaffold_2-processed-gene-11.33-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.33&CDS=1-2043
