	Saccharomyces_cerevisiae	Spathaspora_hagerdaliae
OG0000424	YKR090W	augustus_masked-LQHL01000637.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000637.1-processed-gene-0.2&CDS=1-867, genemark-LQHL01001768.1-processed-gene-0.19-mRNA-1_1&gene=genemark-LQHL01001768.1-processed-gene-0.19&CDS=1-2583
OG0000425	YLL006W	genemark-LQHL01000941.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01000941.1-processed-gene-0.1&CDS=1-804, genemark-LQHL01001396.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001396.1-processed-gene-0.10&CDS=1-1047
OG0000426	YLL012W, YLR020C	genemark-LQHL01001365.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001365.1-processed-gene-0.0&CDS=1-1578
OG0000427	YLL028W	genemark-LQHL01001759.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001759.1-processed-gene-0.1&CDS=1-1782, genemark-LQHL01001802.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001802.1-processed-gene-0.6&CDS=1-1689
OG0000428	YLL035W	augustus_masked-LQHL01000823.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000823.1-processed-gene-0.1&CDS=1-804, maker-LQHL01001749.1-augustus-gene-0.28-mRNA-1_1&gene=maker-LQHL01001749.1-augustus-gene-0.28&CDS=1-2748
OG0000429	YLL057C	genemark-LQHL01001590.1-processed-gene-0.19-mRNA-1_1&gene=genemark-LQHL01001590.1-processed-gene-0.19&CDS=1-1146, genemark-LQHL01001728.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001728.1-processed-gene-0.9&CDS=1-1158
OG0000430	YLR029C, YMR121C	genemark-LQHL01001755.1-processed-gene-0.23-mRNA-1_1&gene=genemark-LQHL01001755.1-processed-gene-0.23&CDS=1-612
OG0000431	YLR031W, YMR124W	genemark-LQHL01001499.1-processed-gene-0.7-mRNA-1_1&gene=genemark-LQHL01001499.1-processed-gene-0.7&CDS=1-3813
OG0000432	YLR114C	augustus_masked-LQHL01000210.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000210.1-processed-gene-0.1&CDS=1-360, maker-LQHL01001619.1-augustus-gene-0.21-mRNA-1_1&gene=maker-LQHL01001619.1-augustus-gene-0.21&CDS=1-3639
OG0000433	YLR137W	augustus_masked-LQHL01001027.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQHL01001027.1-processed-gene-0.5&CDS=1-876, genemark-LQHL01001810.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001810.1-processed-gene-0.10&CDS=1-855
OG0000434	YLR148W	augustus_masked-LQHL01000104.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000104.1-processed-gene-0.2&CDS=1-321, genemark-LQHL01001743.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LQHL01001743.1-processed-gene-0.17&CDS=1-3306
OG0000435	YLR176C	augustus_masked-LQHL01000698.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000698.1-processed-gene-0.2&CDS=1-951, genemark-LQHL01001812.1-processed-gene-0.38-mRNA-1_1&gene=genemark-LQHL01001812.1-processed-gene-0.38&CDS=1-2730
OG0000436	YLR181C	genemark-LQHL01000645.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01000645.1-processed-gene-0.3&CDS=1-570, genemark-LQHL01001742.1-processed-gene-0.24-mRNA-1_1&gene=genemark-LQHL01001742.1-processed-gene-0.24&CDS=1-1341
OG0000437	YLR260W, YOR171C	genemark-LQHL01001794.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001794.1-processed-gene-0.14&CDS=1-1524
OG0000438	YLR264W, YOR167C	snap_masked-LQHL01001856.1-processed-gene-0.62-mRNA-1_1&gene=snap_masked-LQHL01001856.1-processed-gene-0.62&CDS=1-201
OG0000439	YLR270W, YOR173W	maker-LQHL01001801.1-augustus-gene-0.50-mRNA-1_1&gene=maker-LQHL01001801.1-augustus-gene-0.50&CDS=1-2232
OG0000440	YLR273C, YOR178C	genemark-LQHL01001864.1-processed-gene-0.122-mRNA-1_1&gene=genemark-LQHL01001864.1-processed-gene-0.122&CDS=1-1893
OG0000441	YLR287C-A, YOR182C	maker-LQHL01001782.1-snap-gene-0.55-mRNA-1_1&gene=maker-LQHL01001782.1-snap-gene-0.55&CDS=1-723
OG0000442	YLR303W	genemark-LQHL01001319.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001319.1-processed-gene-0.3&CDS=1-1299, genemark-LQHL01001630.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001630.1-processed-gene-0.6&CDS=1-1326
OG0000443	YLR307W, YLR308W	augustus_masked-LQHL01001795.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LQHL01001795.1-processed-gene-0.20&CDS=1-1836
OG0000444	YLR337C	augustus_masked-LQHL01000092.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000092.1-processed-gene-0.1&CDS=1-264, maker-LQHL01001552.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQHL01001552.1-snap-gene-0.0&CDS=1-1986
OG0000445	YLR387C	genemark-LQHL01001628.1-processed-gene-0.16-mRNA-1_1&gene=genemark-LQHL01001628.1-processed-gene-0.16&CDS=1-1461, snap_masked-LQHL01000528.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQHL01000528.1-processed-gene-0.2&CDS=1-594
OG0000446	YLR389C	augustus_masked-LQHL01000667.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000667.1-processed-gene-0.2&CDS=1-879, genemark-LQHL01001469.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001469.1-processed-gene-0.4&CDS=1-4146
OG0000447	YLR390W-A	genemark-LQHL01001584.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001584.1-processed-gene-0.12&CDS=1-444, genemark-LQHL01001864.1-processed-gene-0.90-mRNA-1_1&gene=genemark-LQHL01001864.1-processed-gene-0.90&CDS=1-678
OG0000448	YLR412W	augustus_masked-LQHL01000673.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000673.1-processed-gene-0.1&CDS=1-660, genemark-LQHL01001701.1-processed-gene-0.23-mRNA-1_1&gene=genemark-LQHL01001701.1-processed-gene-0.23&CDS=1-954
OG0000449	YLR433C, YML057W	maker-LQHL01001740.1-augustus-gene-0.2-mRNA-1_1&gene=maker-LQHL01001740.1-augustus-gene-0.2&CDS=1-5604
OG0000450	YLR443W	snap_masked-LQHL01001062.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01001062.1-processed-gene-0.0&CDS=1-765, snap_masked-LQHL01001319.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-LQHL01001319.1-processed-gene-0.4&CDS=1-1386
OG0000451	YML002W	augustus_masked-LQHL01000964.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000964.1-processed-gene-0.1&CDS=1-1128, snap_masked-LQHL01001642.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-LQHL01001642.1-processed-gene-0.10&CDS=1-2007
OG0000452	YML005W	genemark-LQHL01001526.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001526.1-processed-gene-0.2&CDS=1-696, genemark-LQHL01001670.1-processed-gene-0.25-mRNA-1_1&gene=genemark-LQHL01001670.1-processed-gene-0.25&CDS=1-1221
OG0000453	YML016C	augustus_masked-LQHL01001749.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01001749.1-processed-gene-0.4&CDS=1-2943, genemark-LQHL01001603.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001603.1-processed-gene-0.10&CDS=1-702
OG0000454	YML038C	augustus_masked-LQHL01001378.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01001378.1-processed-gene-0.2&CDS=1-267, genemark-LQHL01001619.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001619.1-processed-gene-0.12&CDS=1-1305
OG0000455	YML046W	snap_masked-LQHL01000883.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQHL01000883.1-processed-gene-0.1&CDS=1-288, snap_masked-LQHL01001402.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-LQHL01001402.1-processed-gene-0.4&CDS=1-2238
OG0000456	YML100W, YMR261C	genemark-LQHL01001823.1-processed-gene-0.43-mRNA-1_1&gene=genemark-LQHL01001823.1-processed-gene-0.43&CDS=1-3327
OG0000457	YML106W, YMR271C	genemark-LQHL01001836.1-processed-gene-0.45-mRNA-1_1&gene=genemark-LQHL01001836.1-processed-gene-0.45&CDS=1-657
OG0000458	YML128C	augustus_masked-LQHL01000242.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000242.1-processed-gene-0.2&CDS=1-381, snap_masked-LQHL01001830.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-LQHL01001830.1-processed-gene-0.22&CDS=1-2553
OG0000459	YMR013C	augustus_masked-LQHL01000233.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000233.1-processed-gene-0.1&CDS=1-396, augustus_masked-LQHL01001719.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LQHL01001719.1-processed-gene-0.25&CDS=1-3303
OG0000460	YMR019W	augustus_masked-LQHL01001564.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LQHL01001564.1-processed-gene-0.11&CDS=1-1137, genemark-LQHL01001313.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001313.1-processed-gene-0.1&CDS=1-2556
OG0000461	YMR036C	augustus_masked-LQHL01000377.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQHL01000377.1-processed-gene-0.0&CDS=1-519, genemark-LQHL01001797.1-processed-gene-0.29-mRNA-1_1&gene=genemark-LQHL01001797.1-processed-gene-0.29&CDS=1-1872
OG0000462	YMR058W	augustus_masked-LQHL01001533.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LQHL01001533.1-processed-gene-0.21&CDS=1-1503, maker-LQHL01001371.1-snap-gene-0.1-mRNA-1_1&gene=maker-LQHL01001371.1-snap-gene-0.1&CDS=1-3615
OG0000463	YMR119W, YNL008C	genemark-LQHL01001418.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001418.1-processed-gene-0.5&CDS=1-2655
OG0000464	YMR167W	augustus_masked-LQHL01001129.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LQHL01001129.1-processed-gene-0.6&CDS=1-858, augustus_masked-LQHL01001545.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LQHL01001545.1-processed-gene-0.12&CDS=1-2274
OG0000465	YMR169C, YMR170C	genemark-LQHL01001763.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001763.1-processed-gene-0.14&CDS=1-1503
OG0000466	YMR177W, YPL224C	genemark-LQHL01001645.1-processed-gene-0.24-mRNA-1_1&gene=genemark-LQHL01001645.1-processed-gene-0.24&CDS=1-1626
OG0000467	YMR182C, YPL230W	genemark-LQHL01001749.1-processed-gene-0.26-mRNA-1_1&gene=genemark-LQHL01001749.1-processed-gene-0.26&CDS=1-1869
OG0000468	YMR194W, YPL249C-A	genemark-LQHL01001567.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001567.1-processed-gene-0.10&CDS=1-1092
OG0000469	YMR199W, YPL256C	genemark-LQHL01001372.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001372.1-processed-gene-0.3&CDS=1-1536
OG0000470	YMR230W, YOR293W	snap_masked-LQHL01001614.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQHL01001614.1-processed-gene-0.1&CDS=1-363
OG0000471	YMR233W, YOR295W	maker-LQHL01001814.1-snap-gene-0.29-mRNA-1_1&gene=maker-LQHL01001814.1-snap-gene-0.29&CDS=1-696
OG0000472	YMR237W, YOR299W	genemark-LQHL01001472.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001472.1-processed-gene-0.12&CDS=1-2241
OG0000473	YMR242C, YOR312C	genemark-LQHL01001657.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001657.1-processed-gene-0.5&CDS=1-516
OG0000474	YMR243C, YOR316C	genemark-LQHL01001859.1-processed-gene-0.94-mRNA-1_1&gene=genemark-LQHL01001859.1-processed-gene-0.94&CDS=1-1392
OG0000475	YMR253C, YPL264C	genemark-LQHL01001808.1-processed-gene-0.54-mRNA-1_1&gene=genemark-LQHL01001808.1-processed-gene-0.54&CDS=1-1356
OG0000476	YMR288W	augustus_masked-LQHL01001610.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01001610.1-processed-gene-0.4&CDS=1-1302, augustus_masked-LQHL01001660.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LQHL01001660.1-processed-gene-0.9&CDS=1-2886
OG0000477	YMR303C, YOL086C	genemark-LQHL01001856.1-processed-gene-0.120-mRNA-1_1&gene=genemark-LQHL01001856.1-processed-gene-0.120&CDS=1-1044
OG0000478	YMR313C	augustus_masked-LQHL01000798.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000798.1-processed-gene-0.2&CDS=1-1176, maker-LQHL01001426.1-augustus-gene-0.13-mRNA-1_1&gene=maker-LQHL01001426.1-augustus-gene-0.13&CDS=1-4446
OG0000479	YNL010W	augustus_masked-LQHL01001214.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01001214.1-processed-gene-0.2&CDS=1-513, genemark-LQHL01001677.1-processed-gene-0.24-mRNA-1_1&gene=genemark-LQHL01001677.1-processed-gene-0.24&CDS=1-750
OG0000480	YNL015W	augustus_masked-LQHL01001610.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQHL01001610.1-processed-gene-0.5&CDS=1-225, snap_masked-LQHL01001837.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01001837.1-processed-gene-0.0&CDS=1-252
OG0000481	YNL045W	genemark-LQHL01001713.1-processed-gene-0.30-mRNA-1_1&gene=genemark-LQHL01001713.1-processed-gene-0.30&CDS=1-2397, genemark-LQHL01001800.1-processed-gene-0.45-mRNA-1_1&gene=genemark-LQHL01001800.1-processed-gene-0.45&CDS=1-1908
OG0000482	YNL051W	maker-LQHL01001832.1-augustus-gene-0.85-mRNA-1_1&gene=maker-LQHL01001832.1-augustus-gene-0.85&CDS=1-6513, snap_masked-LQHL01000684.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQHL01000684.1-processed-gene-0.2&CDS=1-918
OG0000483	YNL087W, YOR086C	maker-LQHL01001713.1-augustus-gene-0.13-mRNA-1_1&gene=maker-LQHL01001713.1-augustus-gene-0.13&CDS=1-2088
OG0000484	YNL096C, YOR096W	genemark-LQHL01001848.1-processed-gene-0.82-mRNA-1_1&gene=genemark-LQHL01001848.1-processed-gene-0.82&CDS=1-564
OG0000485	YNL101W	genemark-LQHL01001565.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001565.1-processed-gene-0.14&CDS=1-1941, genemark-LQHL01001873.1-processed-gene-0.50-mRNA-1_1&gene=genemark-LQHL01001873.1-processed-gene-0.50&CDS=1-1992
OG0000486	YNL106C, YOR109W	augustus_masked-LQHL01001862.1-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-LQHL01001862.1-processed-gene-0.74&CDS=1-3978
OG0000487	YNL108C, YOR110W	maker-LQHL01001862.1-snap-gene-0.54-mRNA-1_1&gene=maker-LQHL01001862.1-snap-gene-0.54&CDS=1-1500
OG0000488	YNL192W	genemark-LQHL01001861.1-processed-gene-0.80-mRNA-1_1&gene=genemark-LQHL01001861.1-processed-gene-0.80&CDS=1-3363, maker-LQHL01001830.1-snap-gene-0.57-mRNA-1_1&gene=maker-LQHL01001830.1-snap-gene-0.57&CDS=1-5790
OG0000489	YNL202W	genemark-LQHL01001426.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001426.1-processed-gene-0.4&CDS=1-870, genemark-LQHL01001722.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001722.1-processed-gene-0.5&CDS=1-870
OG0000490	YNL206C	genemark-LQHL01001270.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001270.1-processed-gene-0.2&CDS=1-1380, genemark-LQHL01001674.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001674.1-processed-gene-0.12&CDS=1-1380
OG0000491	YNL211C	augustus_masked-LQHL01001741.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LQHL01001741.1-processed-gene-0.15&CDS=1-243, snap_masked-LQHL01001512.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-LQHL01001512.1-processed-gene-0.9&CDS=1-243
OG0000492	YNL251C	augustus_masked-LQHL01000220.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000220.1-processed-gene-0.1&CDS=1-282, genemark-LQHL01001869.1-processed-gene-0.55-mRNA-1_1&gene=genemark-LQHL01001869.1-processed-gene-0.55&CDS=1-2088
OG0000493	YNL258C	augustus_masked-LQHL01000498.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000498.1-processed-gene-0.1&CDS=1-696, maker-LQHL01001754.1-snap-gene-0.20-mRNA-1_1&gene=maker-LQHL01001754.1-snap-gene-0.20&CDS=1-1959
OG0000494	YNL267W	genemark-LQHL01001143.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001143.1-processed-gene-0.2&CDS=1-2082, maker-LQHL01001421.1-augustus-gene-0.9-mRNA-1_1&gene=maker-LQHL01001421.1-augustus-gene-0.9&CDS=1-2652
OG0000495	YNL298W, YOL113W	genemark-LQHL01001450.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001450.1-processed-gene-0.4&CDS=1-2607
OG0000496	YNL299W, YOL115W	genemark-LQHL01001661.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001661.1-processed-gene-0.14&CDS=1-3735
OG0000497	YNL301C, YOL120C	augustus_masked-LQHL01001863.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-LQHL01001863.1-processed-gene-0.103&CDS=1-2622
OG0000498	YNR018W	genemark-LQHL01001797.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001797.1-processed-gene-0.14&CDS=1-609, snap_masked-LQHL01001705.1-processed-gene-0.46-mRNA-1_1&gene=snap_masked-LQHL01001705.1-processed-gene-0.46&CDS=1-732
OG0000499	YNR043W	genemark-LQHL01001640.1-processed-gene-0.20-mRNA-1_1&gene=genemark-LQHL01001640.1-processed-gene-0.20&CDS=1-2955, snap_masked-LQHL01000892.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-LQHL01000892.1-processed-gene-0.5&CDS=1-546
OG0000500	YNR067C	genemark-LQHL01001704.1-processed-gene-0.41-mRNA-1_1&gene=genemark-LQHL01001704.1-processed-gene-0.41&CDS=1-3066, snap_masked-LQHL01001828.1-processed-gene-0.53-mRNA-1_1&gene=snap_masked-LQHL01001828.1-processed-gene-0.53&CDS=1-2688
OG0000501	YNR070W	augustus_masked-LQHL01001768.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-LQHL01001768.1-processed-gene-0.39&CDS=1-4395, maker-LQHL01001364.1-snap-gene-0.1-mRNA-1_1&gene=maker-LQHL01001364.1-snap-gene-0.1&CDS=1-4377
OG0000502	YOL063C	genemark-LQHL01001632.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001632.1-processed-gene-0.8&CDS=1-3093, snap_masked-LQHL01000455.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01000455.1-processed-gene-0.0&CDS=1-486
OG0000503	YOL075C	genemark-LQHL01001605.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001605.1-processed-gene-0.9&CDS=1-3852, genemark-LQHL01001658.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001658.1-processed-gene-0.14&CDS=1-3807
OG0000504	YOL119C	genemark-LQHL01001713.1-processed-gene-0.38-mRNA-1_1&gene=genemark-LQHL01001713.1-processed-gene-0.38&CDS=1-1425, genemark-LQHL01001775.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001775.1-processed-gene-0.14&CDS=1-1470
OG0000505	YOL138C	genemark-LQHL01001868.1-processed-gene-0.72-mRNA-1_1&gene=genemark-LQHL01001868.1-processed-gene-0.72&CDS=1-3696, snap_masked-LQHL01000013.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQHL01000013.1-processed-gene-0.1&CDS=1-252
OG0000506	YOL141W	augustus_masked-LQHL01000655.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000655.1-processed-gene-0.1&CDS=1-840, genemark-LQHL01001787.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001787.1-processed-gene-0.5&CDS=1-2034
OG0000507	YOR006C	augustus_masked-LQHL01001422.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01001422.1-processed-gene-0.4&CDS=1-813, genemark-LQHL01001554.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001554.1-processed-gene-0.3&CDS=1-1065
OG0000508	YOR022C	augustus_masked-LQHL01000649.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000649.1-processed-gene-0.1&CDS=1-918, genemark-LQHL01001558.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001558.1-processed-gene-0.1&CDS=1-2334
OG0000509	YOR049C	genemark-LQHL01001731.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001731.1-processed-gene-0.2&CDS=1-1323, maker-LQHL01001850.1-snap-gene-0.116-mRNA-1_1&gene=maker-LQHL01001850.1-snap-gene-0.116&CDS=1-2604
OG0000510	YOR075W	augustus_masked-LQHL01000592.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01000592.1-processed-gene-0.4&CDS=1-321, genemark-LQHL01001841.1-processed-gene-0.83-mRNA-1_1&gene=genemark-LQHL01001841.1-processed-gene-0.83&CDS=1-1026
OG0000511	YOR080W	genemark-LQHL01001726.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001726.1-processed-gene-0.14&CDS=1-1956, snap_masked-LQHL01000944.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-LQHL01000944.1-processed-gene-0.4&CDS=1-780
OG0000512	YOR112W	genemark-LQHL01001847.1-processed-gene-0.50-mRNA-1_1&gene=genemark-LQHL01001847.1-processed-gene-0.50&CDS=1-2202, snap_masked-LQHL01000584.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01000584.1-processed-gene-0.0&CDS=1-306
OG0000513	YOR205C	augustus_masked-LQHL01000627.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000627.1-processed-gene-0.1&CDS=1-810, genemark-LQHL01001867.1-processed-gene-0.144-mRNA-1_1&gene=genemark-LQHL01001867.1-processed-gene-0.144&CDS=1-1848
OG0000514	YOR226C, YPL135W	genemark-LQHL01001833.1-processed-gene-0.84-mRNA-1_1&gene=genemark-LQHL01001833.1-processed-gene-0.84&CDS=1-558
OG0000515	YOR227W, YPL137C	augustus_masked-LQHL01001833.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LQHL01001833.1-processed-gene-0.13&CDS=1-3861
OG0000516	YOR231W, YPL140C	genemark-LQHL01001860.1-processed-gene-0.39-mRNA-1_1&gene=genemark-LQHL01001860.1-processed-gene-0.39&CDS=1-1302
OG0000517	YOR233W, YPL141C	genemark-LQHL01001707.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001707.1-processed-gene-0.3&CDS=1-2844
OG0000518	YOR234C, YPL143W	augustus_masked-LQHL01001860.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-LQHL01001860.1-processed-gene-0.84&CDS=1-321
OG0000519	YOR237W, YPL145C	snap_masked-LQHL01001860.1-processed-gene-0.152-mRNA-1_1&gene=snap_masked-LQHL01001860.1-processed-gene-0.152&CDS=1-1266
OG0000520	YOR256C, YPL176C	augustus_masked-LQHL01001343.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LQHL01001343.1-processed-gene-0.8&CDS=1-2502
OG0000521	YOR257W	maker-LQHL01000404.1-augustus-gene-0.1-mRNA-1_1&gene=maker-LQHL01000404.1-augustus-gene-0.1&CDS=1-405, maker-LQHL01001755.1-snap-gene-0.4-mRNA-1_1&gene=maker-LQHL01001755.1-snap-gene-0.4&CDS=1-603
OG0000522	YOR258W	maker-LQHL01001047.1-augustus-gene-0.3-mRNA-1_1&gene=maker-LQHL01001047.1-augustus-gene-0.3&CDS=1-540, maker-LQHL01001529.1-snap-gene-0.1-mRNA-1_1&gene=maker-LQHL01001529.1-snap-gene-0.1&CDS=1-1188
OG0000523	YOR278W	augustus_masked-LQHL01001771.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQHL01001771.1-processed-gene-0.0&CDS=1-759, genemark-LQHL01000973.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01000973.1-processed-gene-0.0&CDS=1-762
OG0000524	YOR287C	augustus_masked-LQHL01000385.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQHL01000385.1-processed-gene-0.0&CDS=1-114, genemark-LQHL01001811.1-processed-gene-0.49-mRNA-1_1&gene=genemark-LQHL01001811.1-processed-gene-0.49&CDS=1-858
OG0000525	YOR368W	augustus_masked-LQHL01000656.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000656.1-processed-gene-0.1&CDS=1-333, genemark-LQHL01001682.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LQHL01001682.1-processed-gene-0.14&CDS=1-1566
OG0000526	YOR390W, YPL279C	genemark-LQHL01001784.1-processed-gene-0.26-mRNA-1_1&gene=genemark-LQHL01001784.1-processed-gene-0.26&CDS=1-1296
OG0000527	YPL010W	augustus_masked-LQHL01001368.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQHL01001368.1-processed-gene-0.5&CDS=1-393, genemark-LQHL01001596.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001596.1-processed-gene-0.10&CDS=1-1725
OG0000528	YPL034W	genemark-LQHL01001242.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001242.1-processed-gene-0.6&CDS=1-567, snap_masked-LQHL01001319.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-LQHL01001319.1-processed-gene-0.5&CDS=1-198
OG0000529	YPL047W	maker-LQHL01000726.1-snap-gene-0.0-mRNA-1_1&gene=maker-LQHL01000726.1-snap-gene-0.0&CDS=1-276, snap_masked-LQHL01001667.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-LQHL01001667.1-processed-gene-0.24&CDS=1-324
OG0000530	YPL083C	augustus_masked-LQHL01001507.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01001507.1-processed-gene-0.4&CDS=1-528, genemark-LQHL01001667.1-processed-gene-0.11-mRNA-1_1&gene=genemark-LQHL01001667.1-processed-gene-0.11&CDS=1-1320
OG0000531	YPL084W	maker-LQHL01001534.1-snap-gene-0.7-mRNA-1_1&gene=maker-LQHL01001534.1-snap-gene-0.7&CDS=1-3360, snap_masked-LQHL01000765.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQHL01000765.1-processed-gene-0.2&CDS=1-894
