	Ashbya_aceri	Saccharomyces_cerevisiae
OG0000700	snap_masked-CP006021.1-processed-gene-1.41-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-1.41&CDS=1-1119	YNL175C
OG0000701	genemark-CP006021.1-processed-gene-1.67-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.67&CDS=1-774	YML110C
OG0000702	genemark-CP006021.1-processed-gene-1.92-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.92&CDS=1-2598	YMR275C
OG0000703	snap_masked-CP006021.1-processed-gene-1.44-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-1.44&CDS=1-939	YML112W
OG0000704	genemark-CP006021.1-processed-gene-1.68-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.68&CDS=1-1035	YMR276W
OG0000705	snap_masked-CP006021.1-processed-gene-1.19-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-1.19&CDS=1-1422	YML114C
OG0000706	genemark-CP006021.1-processed-gene-1.70-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.70&CDS=1-2184	YMR277W
OG0000707	genemark-CP006021.1-processed-gene-1.71-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.71&CDS=1-1872	YMR278W
OG0000708	snap_masked-CP006021.1-processed-gene-1.46-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-1.46&CDS=1-3129	YML117W
OG0000709	augustus_masked-CP006021.1-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-1.138&CDS=1-3855	YMR280C
OG0000710	snap_masked-CP006021.1-processed-gene-1.24-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-1.24&CDS=1-747	YMR281W
OG0000711	augustus_masked-CP006021.1-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-1.123&CDS=1-1533	YMR285C
OG0000712	snap_masked-CP006021.1-processed-gene-2.49-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-2.49&CDS=1-1632	YDL210W
OG0000713	genemark-CP006021.1-processed-gene-2.96-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.96&CDS=1-447	YDL208W
OG0000714	snap_masked-CP006021.1-processed-gene-2.45-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-2.45&CDS=1-1326	YDR240C
OG0000715	snap_masked-CP006021.1-processed-gene-2.46-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-2.46&CDS=1-1929	YDR239C
OG0000716	genemark-CP006021.1-processed-gene-2.99-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.99&CDS=1-2913	YDR238C
OG0000717	genemark-CP006021.1-processed-gene-2.123-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.123&CDS=1-870	YDR237W
OG0000718	augustus_masked-CP006021.1-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-2.5&CDS=1-1842	YDL207W
OG0000719	genemark-CP006021.1-processed-gene-2.124-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.124&CDS=1-1614	YDR235W
OG0000720	genemark-CP006021.1-processed-gene-2.125-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.125&CDS=1-978	YDL205C
OG0000721	genemark-CP006021.1-processed-gene-2.126-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.126&CDS=1-2058	YDR234W
OG0000722	genemark-CP006021.1-processed-gene-2.103-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.103&CDS=1-831	YDR233C
OG0000723	genemark-CP006021.1-processed-gene-2.127-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.127&CDS=1-1668	YDR232W
OG0000724	genemark-CP006021.1-processed-gene-2.104-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.104&CDS=1-1068	YBR057C
OG0000725	snap_masked-CP006021.1-processed-gene-2.53-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-2.53&CDS=1-2655	YBR055C
OG0000726	snap_masked-CP006021.1-processed-gene-2.54-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-2.54&CDS=1-2007	YDR034C
OG0000727	genemark-CP006021.1-processed-gene-2.106-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.106&CDS=1-1014	YBR053C
OG0000728	genemark-CP006021.1-processed-gene-2.130-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.130&CDS=1-357	YDR031W
OG0000729	augustus_masked-CP006021.1-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-2.10&CDS=1-1233	YDR030C
OG0000730	genemark-CP006021.1-processed-gene-2.108-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.108&CDS=1-3093	YDR028C
OG0000731	snap_masked-CP006021.1-processed-gene-2.58-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-2.58&CDS=1-771	YJL210W
OG0000732	genemark-CP006021.1-processed-gene-2.110-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.110&CDS=1-2829	YDR027C
OG0000733	genemark-CP006021.1-processed-gene-2.111-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.111&CDS=1-1794	YDR026C
OG0000734	genemark-CP006021.1-processed-gene-2.112-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.112&CDS=1-1002	YBR046C
OG0000735	snap_masked-CP006021.1-processed-gene-2.62-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-2.62&CDS=1-1797	YBR045C
OG0000736	genemark-CP006021.1-processed-gene-2.132-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.132&CDS=1-1377	YDR023W
OG0000737	augustus_masked-CP006021.1-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-2.31&CDS=1-762	YJR144W
OG0000738	genemark-CP006021.1-processed-gene-2.115-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.115&CDS=1-2271	YJR143C
OG0000739	genemark-CP006021.1-processed-gene-2.134-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.134&CDS=1-1014	YJR142W
OG0000740	augustus_masked-CP006021.1-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-2.16&CDS=1-1143	YHR201C
OG0000741	snap_masked-CP006021.1-processed-gene-2.85-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-2.85&CDS=1-1032	YJR141W
OG0000742	genemark-CP006021.1-processed-gene-2.117-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.117&CDS=1-5925	YJR140C
OG0000743	genemark-CP006021.1-processed-gene-2.136-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.136&CDS=1-4605	YJR138W
OG0000744	genemark-CP006021.1-processed-gene-2.137-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.137&CDS=1-762	YHR200W
OG0000745	snap_masked-CP006021.1-processed-gene-2.68-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-2.68&CDS=1-4311	YJR137C
OG0000746	genemark-CP006021.1-processed-gene-2.119-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.119&CDS=1-915	YHR198C
OG0000747	snap_masked-CP006021.1-processed-gene-2.70-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-2.70&CDS=1-1272	YJR136C
OG0000748	augustus_masked-CP006021.1-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-2.36&CDS=1-261	YJR135W-A
OG0000749	augustus_masked-CP006021.1-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-2.20&CDS=1-735	YJR135C
OG0000750	genemark-CP006021.1-processed-gene-2.139-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.139&CDS=1-2289	YHR197W
OG0000751	augustus_masked-CP006021.1-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-2.21&CDS=1-1971	YJR134C
OG0000752	genemark-CP006021.1-processed-gene-2.140-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.140&CDS=1-627	YJR133W
OG0000753	augustus_masked-CP006021.1-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-2.39&CDS=1-1620	YHR196W
OG0000754	genemark-CP006021.1-processed-gene-2.142-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.142&CDS=1-3126	YJR132W
OG0000755	genemark-CP006021.1-processed-gene-2.143-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-2.143&CDS=1-1695	YHR194W
OG0000756	augustus_masked-CP006021.1-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-3.5&CDS=1-3336	YBR079C
OG0000757	augustus_masked-CP006021.1-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-3.7&CDS=1-1218	YBR078W
OG0000758	genemark-CP006021.1-processed-gene-3.102-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.102&CDS=1-1185	YOL052C
OG0000759	genemark-CP006021.1-processed-gene-3.100-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.100&CDS=1-612	YOR319W
OG0000760	genemark-CP006021.1-processed-gene-3.103-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.103&CDS=1-4641	YMR247C
OG0000761	genemark-CP006021.1-processed-gene-3.104-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.104&CDS=1-684	YKL117W
OG0000762	genemark-CP006021.1-processed-gene-3.127-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.127&CDS=1-888	YMR099C
OG0000763	genemark-CP006021.1-processed-gene-3.128-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.128&CDS=1-1626	YKL116C
OG0000764	genemark-CP006021.1-processed-gene-3.129-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.129&CDS=1-1080	YKL114C
OG0000765	genemark-CP006021.1-processed-gene-3.130-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.130&CDS=1-1134	YKL113C
OG0000766	genemark-CP006021.1-processed-gene-3.106-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.106&CDS=1-1209	YKL112W
OG0000767	snap_masked-CP006021.1-processed-gene-3.56-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-3.56&CDS=1-1764	YMR098C
OG0000768	genemark-CP006021.1-processed-gene-3.131-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.131&CDS=1-924	YKL110C
OG0000769	genemark-CP006021.1-processed-gene-3.108-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.108&CDS=1-1047	YMR097C
OG0000770	snap_masked-CP006021.1-processed-gene-3.78-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-3.78&CDS=1-1281	YMR094W
OG0000771	genemark-CP006021.1-processed-gene-3.110-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.110&CDS=1-1140	YKL108W
OG0000772	genemark-CP006021.1-processed-gene-3.133-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.133&CDS=1-1554	YMR093W
OG0000773	genemark-CP006021.1-processed-gene-3.111-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.111&CDS=1-1818	YMR092C
OG0000774	genemark-CP006021.1-processed-gene-3.112-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.112&CDS=1-1431	YMR091C
OG0000775	snap_masked-CP006021.1-processed-gene-3.80-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-3.80&CDS=1-759	YMR087W
OG0000776	genemark-CP006021.1-processed-gene-3.114-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.114&CDS=1-1329	YKL106W
OG0000777	genemark-CP006021.1-processed-gene-3.135-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.135&CDS=1-1968	YMR086W
OG0000778	genemark-CP006021.1-processed-gene-3.136-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.136&CDS=1-2121	YKL104C
OG0000779	genemark-CP006021.1-processed-gene-3.137-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.137&CDS=1-1494	YKL103C
OG0000780	genemark-CP006021.1-processed-gene-3.139-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.139&CDS=1-744	YKL099C
OG0000781	genemark-CP006021.1-processed-gene-3.116-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.116&CDS=1-837	YKL098W
OG0000782	snap_masked-CP006021.1-processed-gene-3.65-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-3.65&CDS=1-1806	YMR106C
OG0000783	genemark-CP006021.1-processed-gene-3.119-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.119&CDS=1-2163	YKL126W
OG0000784	genemark-CP006021.1-processed-gene-3.120-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.120&CDS=1-1860	YKL125W
OG0000785	genemark-CP006021.1-processed-gene-3.121-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.121&CDS=1-1665	YKL124W
OG0000786	genemark-CP006021.1-processed-gene-3.140-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.140&CDS=1-408	YKL122C
OG0000787	genemark-CP006021.1-processed-gene-3.123-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.123&CDS=1-921	YKL120W
OG0000788	genemark-CP006021.1-processed-gene-3.124-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.124&CDS=1-1143	YMR101C
OG0000789	snap_masked-CP006021.1-processed-gene-3.87-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-3.87&CDS=1-597	YKL119C
OG0000790	genemark-CP006021.1-processed-gene-3.125-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.125&CDS=1-1830	YMR100W
OG0000791	genemark-CP006021.1-processed-gene-3.126-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.126&CDS=1-1194	YGR110W
OG0000792	genemark-CP006021.1-processed-gene-3.142-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.142&CDS=1-2091	YOR317W
OG0000793	augustus_masked-CP006021.1-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-3.43&CDS=1-4755	YOR296W
OG0000794	genemark-CP006021.1-processed-gene-3.144-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.144&CDS=1-1206	YOR294W
OG0000795	snap_masked-CP006021.1-processed-gene-3.93-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-3.93&CDS=1-1962	YMR232W
OG0000796	genemark-CP006021.1-processed-gene-3.146-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.146&CDS=1-3066	YMR231W
OG0000797	genemark-CP006021.1-processed-gene-3.147-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.147&CDS=1-2100	YLR362W
OG0000798	snap_masked-CP006021.1-processed-gene-4.0-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-4.0&CDS=1-345	YLR361C-A
OG0000799	genemark-CP006021.1-processed-gene-4.55-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.55&CDS=1-1707	YLR361C
OG0000800	augustus_masked-CP006021.1-processed-gene-4.114-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-4.114&CDS=1-1002	YLR360W
OG0000801	genemark-CP006021.1-processed-gene-4.56-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.56&CDS=1-723	YGR057C
OG0000802	maker-CP006021.1-augustus-gene-4.160-mRNA-1_1&gene=maker-CP006021.1-augustus-gene-4.160&CDS=1-4008	YLR359W
OG0000803	genemark-CP006021.1-processed-gene-4.61-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.61&CDS=1-1683	YGR055W
OG0000804	genemark-CP006021.1-processed-gene-4.78-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.78&CDS=1-1794	YKR002W
OG0000805	maker-CP006021.1-snap-gene-4.104-mRNA-1_1&gene=maker-CP006021.1-snap-gene-4.104&CDS=1-645	YKL001C
OG0000806	genemark-CP006021.1-processed-gene-4.79-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.79&CDS=1-702	YKL002W
OG0000807	augustus_masked-CP006021.1-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-4.118&CDS=1-390	YKL003C
OG0000808	genemark-CP006021.1-processed-gene-4.80-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.80&CDS=1-1326	YKL004W
OG0000809	augustus_masked-CP006021.1-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-4.119&CDS=1-291	YKL006C-A
OG0000810	maker-CP006021.1-augustus-gene-4.162-mRNA-1_1&gene=maker-CP006021.1-augustus-gene-4.162&CDS=1-1878	YHL002W
OG0000811	genemark-CP006021.1-processed-gene-4.64-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.64&CDS=1-1239	YHL003C
OG0000812	genemark-CP006021.1-processed-gene-4.84-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.84&CDS=1-1173	YHL004W
OG0000813	snap_masked-CP006021.1-processed-gene-4.11-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-4.11&CDS=1-438	YHL006C
OG0000814	genemark-CP006021.1-processed-gene-4.85-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.85&CDS=1-708	YKL009W
OG0000815	genemark-CP006021.1-processed-gene-4.66-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.66&CDS=1-4278	YKL010C
OG0000816	genemark-CP006021.1-processed-gene-4.86-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.86&CDS=1-1719	YKL089W
OG0000817	genemark-CP006021.1-processed-gene-4.87-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.87&CDS=1-1305	YKL090W
OG0000818	genemark-CP006021.1-processed-gene-4.89-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.89&CDS=1-843	YHL009C
OG0000819	genemark-CP006021.1-processed-gene-4.90-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.90&CDS=1-2226	YMR078C
OG0000820	augustus_masked-CP006021.1-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-4.124&CDS=1-924	YMR079W
OG0000821	augustus_masked-CP006021.1-processed-gene-4.125-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-4.125&CDS=1-3246	YKL092C
OG0000822	augustus_masked-CP006021.1-processed-gene-4.146-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-4.146&CDS=1-861	YMR081C
OG0000823	genemark-CP006021.1-processed-gene-4.93-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.93&CDS=1-858	YKL095W
OG0000824	snap_masked-CP006021.1-processed-gene-4.18-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-4.18&CDS=1-3588	YPR010C
OG0000825	genemark-CP006021.1-processed-gene-4.98-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.98&CDS=1-711	YGR024C
OG0000826	genemark-CP006021.1-processed-gene-4.70-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.70&CDS=1-792	YGR026W
OG0000827	genemark-CP006021.1-processed-gene-4.71-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.71&CDS=1-1851	YLR335W
OG0000828	genemark-CP006021.1-processed-gene-4.100-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.100&CDS=1-2925	YLR336C
OG0000829	genemark-CP006021.1-processed-gene-4.72-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.72&CDS=1-1080	YGR028W
OG0000830	maker-CP006021.1-augustus-gene-4.158-mRNA-1_1&gene=maker-CP006021.1-augustus-gene-4.158&CDS=1-558	YGR029W
OG0000831	genemark-CP006021.1-processed-gene-4.101-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.101&CDS=1-1956	YLR337C
OG0000832	genemark-CP006021.1-processed-gene-4.74-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.74&CDS=1-933	YHL013C
OG0000833	genemark-CP006021.1-processed-gene-4.102-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.102&CDS=1-351	YHL015W
OG0000834	augustus_masked-CP006021.1-processed-gene-4.133-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-4.133&CDS=1-2472	YHL016C
OG0000835	augustus_masked-CP006021.1-processed-gene-5.2-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-5.2&CDS=1-705	YKL040C
OG0000836	snap_masked-CP006021.1-processed-gene-4.50-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-4.50&CDS=1-330	YHL018W
OG0000837	genemark-CP006021.1-processed-gene-5.59-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.59&CDS=1-1503	YHL019C
OG0000838	genemark-CP006021.1-processed-gene-5.60-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.60&CDS=1-1071	YHL020C
OG0000839	genemark-CP006021.1-processed-gene-5.63-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.63&CDS=1-669	YKL041W
OG0000840	genemark-CP006021.1-processed-gene-5.61-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.61&CDS=1-3684	YMR012W
OG0000841	genemark-CP006021.1-processed-gene-5.64-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.64&CDS=1-1446	YMR013C
OG0000842	genemark-CP006021.1-processed-gene-5.62-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.62&CDS=1-1530	YMR014W
OG0000843	genemark-CP006021.1-processed-gene-5.83-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.83&CDS=1-1545	YMR015C
OG0000844	genemark-CP006021.1-processed-gene-5.84-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.84&CDS=1-942	YKL042W
OG0000845	genemark-CP006021.1-processed-gene-5.85-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.85&CDS=1-2043	YKL043W
OG0000846	genemark-CP006021.1-processed-gene-5.86-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.86&CDS=1-1464	YKL045W
OG0000847	genemark-CP006021.1-processed-gene-5.65-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.65&CDS=1-1560	YMR020W
OG0000848	genemark-CP006021.1-processed-gene-5.87-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.87&CDS=1-1062	YMR021C
OG0000849	snap_masked-CP006021.1-processed-gene-5.148-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-5.148&CDS=1-1596	YKL047W
OG0000850	augustus_masked-CP006021.1-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-5.11&CDS=1-336	YKL061W
OG0000851	snap_masked-CP006021.1-processed-gene-5.149-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-5.149&CDS=1-1434	YMR023C
OG0000852	genemark-CP006021.1-processed-gene-5.69-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.69&CDS=1-1032	YMR024W
OG0000853	snap_masked-CP006021.1-processed-gene-5.150-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-5.150&CDS=1-1059	YMR026C
OG0000854	genemark-CP006021.1-processed-gene-5.91-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.91&CDS=1-1080	YKL060C
OG0000855	augustus_masked-CP006021.1-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-5.15&CDS=1-1335	YMR027W
OG0000856	genemark-CP006021.1-processed-gene-5.92-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.92&CDS=1-1188	YKL059C
OG0000857	genemark-CP006021.1-processed-gene-5.72-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.72&CDS=1-336	YKL058W
OG0000858	genemark-CP006021.1-processed-gene-5.73-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.73&CDS=1-1044	YMR028W
OG0000859	augustus_masked-CP006021.1-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-5.36&CDS=1-4728	YKL057C
OG0000860	genemark-CP006021.1-processed-gene-5.94-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.94&CDS=1-501	YKL056C
OG0000861	snap_masked-CP006021.1-processed-gene-5.156-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-5.156&CDS=1-816	YKL055C
OG0000862	genemark-CP006021.1-processed-gene-5.96-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.96&CDS=1-2121	YKL054C
OG0000863	augustus_masked-CP006021.1-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-5.40&CDS=1-240	YKL053C-A
OG0000864	augustus_masked-CP006021.1-processed-gene-5.41-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-5.41&CDS=1-543	YKL052C
OG0000865	genemark-CP006021.1-processed-gene-5.75-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.75&CDS=1-1020	YKL051W
OG0000866	snap_masked-CP006021.1-processed-gene-5.160-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-5.160&CDS=1-2472	YMR031C
OG0000867	snap_masked-CP006021.1-processed-gene-5.136-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-5.136&CDS=1-2049	YMR032W
OG0000868	augustus_masked-CP006021.1-processed-gene-5.43-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-5.43&CDS=1-618	YKL049C
OG0000869	genemark-CP006021.1-processed-gene-5.77-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.77&CDS=1-1392	YMR033W
OG0000870	genemark-CP006021.1-processed-gene-5.100-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.100&CDS=1-1296	YMR034C
