	Hanseniaspora_uvarum	Saccharomyces_cerevisiae
OG0000806	maker-APLS01000002.1-snap-gene-2.106-mRNA-1_1&gene=maker-APLS01000002.1-snap-gene-2.106&CDS=1-1002	YDR337W
OG0000807	snap_masked-APLS01000002.1-processed-gene-2.80-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.80&CDS=1-1215	YHR075C
OG0000808	snap_masked-APLS01000002.1-processed-gene-2.99-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.99&CDS=1-2253	YHR074W
OG0000809	augustus_masked-APLS01000002.1-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-2.49&CDS=1-1131	YKR062W
OG0000810	snap_masked-APLS01000002.1-processed-gene-2.101-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.101&CDS=1-738	YHR058C
OG0000811	snap_masked-APLS01000002.1-processed-gene-2.81-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.81&CDS=1-456	YHR059W
OG0000812	maker-APLS01000002.1-augustus-gene-2.3-mRNA-1_1&gene=maker-APLS01000002.1-augustus-gene-2.3&CDS=1-1584	YDR306C
OG0000813	snap_masked-APLS01000002.1-processed-gene-3.97-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.97&CDS=1-474	YDR308C
OG0000814	snap_masked-APLS01000002.1-processed-gene-3.101-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.101&CDS=1-999	YHR062C
OG0000815	augustus_masked-APLS01000002.1-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-3.71&CDS=1-1461	YLR005W
OG0000816	snap_masked-APLS01000002.1-processed-gene-3.121-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.121&CDS=1-1239	YLR015W
OG0000817	snap_masked-APLS01000002.1-processed-gene-3.102-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.102&CDS=1-1683	YHR064C
OG0000818	snap_masked-APLS01000002.1-processed-gene-3.103-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.103&CDS=1-1113	YHR063C
OG0000819	snap_masked-APLS01000002.1-processed-gene-3.104-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.104&CDS=1-612	YDR310C
OG0000820	augustus_masked-APLS01000002.1-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-3.57&CDS=1-678	YDR302W
OG0000821	snap_masked-APLS01000002.1-processed-gene-3.124-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.124&CDS=1-585	YLR009W
OG0000822	snap_masked-APLS01000002.1-processed-gene-3.106-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.106&CDS=1-507	YLR008C
OG0000823	snap_masked-APLS01000002.1-processed-gene-3.126-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.126&CDS=1-1269	YDR299W
OG0000824	maker-APLS01000002.1-snap-gene-3.92-mRNA-1_1&gene=maker-APLS01000002.1-snap-gene-3.92&CDS=1-3516	YNR055C
OG0000825	augustus_masked-APLS01000002.1-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-3.62&CDS=1-852	YLR003C
OG0000826	augustus_masked-APLS01000002.1-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-3.82&CDS=1-2676	YLR006C
OG0000827	maker-APLS01000002.1-augustus-gene-3.47-mRNA-1_1&gene=maker-APLS01000002.1-augustus-gene-3.47&CDS=1-7389	YDR283C
OG0000828	snap_masked-APLS01000002.1-processed-gene-3.114-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.114&CDS=1-759	YDR296W
OG0000829	snap_masked-APLS01000002.1-processed-gene-3.115-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.115&CDS=1-1092	YDR297W
OG0000830	augustus_masked-APLS01000002.1-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-3.87&CDS=1-612	YDR298C
OG0000831	snap_masked-APLS01000002.1-processed-gene-3.141-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.141&CDS=1-3285	YDR291W
OG0000832	snap_masked-APLS01000002.1-processed-gene-3.142-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.142&CDS=1-2052	YHR042W
OG0000833	snap_masked-APLS01000002.1-processed-gene-3.117-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.117&CDS=1-1005	YGR192C
OG0000834	genemark-APLS01000002.1-processed-gene-3.22-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-3.22&CDS=1-2802	YLL005C
OG0000835	snap_masked-APLS01000002.1-processed-gene-3.144-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.144&CDS=1-1155	YLL006W
OG0000836	snap_masked-APLS01000002.1-processed-gene-3.119-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.119&CDS=1-2178	YLL008W
OG0000837	maker-APLS01000002.1-augustus-gene-4.177-mRNA-1_1&gene=maker-APLS01000002.1-augustus-gene-4.177&CDS=1-1911	YGR202C
OG0000838	genemark-APLS01000002.1-processed-gene-4.2-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-4.2&CDS=1-1485	YHR048W
OG0000839	snap_masked-APLS01000002.1-processed-gene-4.194-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.194&CDS=1-711	YHR049W
OG0000840	snap_masked-APLS01000002.1-processed-gene-4.195-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.195&CDS=1-1665	YHR050W
OG0000841	snap_masked-APLS01000002.1-processed-gene-4.197-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.197&CDS=1-435	YHR051W
OG0000842	snap_masked-APLS01000002.1-processed-gene-4.201-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.201&CDS=1-492	YKL160W
OG0000843	snap_masked-APLS01000002.1-processed-gene-4.198-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.198&CDS=1-954	YJR007W
OG0000844	augustus_masked-APLS01000002.1-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.100&CDS=1-1038	YJR008W
OG0000845	snap_masked-APLS01000002.1-processed-gene-4.200-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.200&CDS=1-2076	YJL010C
OG0000846	snap_masked-APLS01000002.1-processed-gene-4.202-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.202&CDS=1-633	YKL142W
OG0000847	snap_masked-APLS01000002.1-processed-gene-4.203-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.203&CDS=1-1536	YKL143W
OG0000848	augustus_masked-APLS01000002.1-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.102&CDS=1-726	YKL144C
OG0000849	augustus_masked-APLS01000002.1-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.106&CDS=1-1455	YKL145W
OG0000850	snap_masked-APLS01000002.1-processed-gene-4.206-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.206&CDS=1-1899	YKL148C
OG0000851	snap_masked-APLS01000002.1-processed-gene-4.207-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.207&CDS=1-1176	YKL149C
OG0000852	snap_masked-APLS01000002.1-processed-gene-4.246-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.246&CDS=1-933	YKL150W
OG0000853	genemark-APLS01000002.1-processed-gene-4.56-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-4.56&CDS=1-1047	YKL151C
OG0000854	snap_masked-APLS01000002.1-processed-gene-4.208-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.208&CDS=1-744	YKL152C
OG0000855	maker-APLS01000002.1-snap-gene-4.183-mRNA-1_1&gene=maker-APLS01000002.1-snap-gene-4.183&CDS=1-1545	YJL041W
OG0000856	snap_masked-APLS01000002.1-processed-gene-4.248-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.248&CDS=1-5472	YJL039C
OG0000857	augustus_masked-APLS01000002.1-processed-gene-4.146-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.146&CDS=1-1485	YHR024C
OG0000858	snap_masked-APLS01000002.1-processed-gene-4.212-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.212&CDS=1-1050	YHR025W
OG0000859	snap_masked-APLS01000002.1-processed-gene-4.213-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.213&CDS=1-642	YHR026W
OG0000860	snap_masked-APLS01000002.1-processed-gene-4.251-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.251&CDS=1-2883	YHR027C
OG0000861	genemark-APLS01000002.1-processed-gene-4.23-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-4.23&CDS=1-1095	YHR052W
OG0000862	snap_masked-APLS01000002.1-processed-gene-4.252-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.252&CDS=1-798	YIL070C
OG0000863	snap_masked-APLS01000002.1-processed-gene-4.215-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.215&CDS=1-2286	YHR031C
OG0000864	snap_masked-APLS01000002.1-processed-gene-4.216-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.216&CDS=1-1365	YHR030C
OG0000865	genemark-APLS01000002.1-processed-gene-4.26-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-4.26&CDS=1-2526	YHR028C
OG0000866	snap_masked-APLS01000002.1-processed-gene-4.254-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.254&CDS=1-3480	YJL029C
OG0000867	snap_masked-APLS01000002.1-processed-gene-4.219-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.219&CDS=1-1722	YJL008C
OG0000868	snap_masked-APLS01000002.1-processed-gene-4.255-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.255&CDS=1-2349	YJL033W
OG0000869	snap_masked-APLS01000002.1-processed-gene-4.256-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.256&CDS=1-2040	YJL034W
OG0000870	augustus_masked-APLS01000002.1-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.119&CDS=1-741	YLR022C
OG0000871	augustus_masked-APLS01000002.1-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.121&CDS=1-1416	YLL011W
OG0000872	augustus_masked-APLS01000002.1-processed-gene-4.155-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.155&CDS=1-1299	YLR019W
OG0000873	snap_masked-APLS01000002.1-processed-gene-4.259-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.259&CDS=1-192	YLL009C
OG0000874	snap_masked-APLS01000002.1-processed-gene-4.260-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.260&CDS=1-2289	YLR023C
OG0000875	snap_masked-APLS01000002.1-processed-gene-4.224-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.224&CDS=1-1689	YHR037W
OG0000876	augustus_masked-APLS01000002.1-processed-gene-4.158-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.158&CDS=1-564	YJR017C
OG0000877	snap_masked-APLS01000002.1-processed-gene-4.261-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.261&CDS=1-1473	YHR036W
OG0000878	snap_masked-APLS01000002.1-processed-gene-4.227-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.227&CDS=1-1899	YHR039C
OG0000879	snap_masked-APLS01000002.1-processed-gene-4.228-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.228&CDS=1-1620	YHR045W
OG0000880	snap_masked-APLS01000002.1-processed-gene-4.229-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.229&CDS=1-966	YDR280W
OG0000881	augustus_masked-APLS01000002.1-processed-gene-4.161-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.161&CDS=1-747	YHR038W
OG0000882	snap_masked-APLS01000002.1-processed-gene-4.264-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.264&CDS=1-1359	YHR040W
OG0000883	snap_masked-APLS01000002.1-processed-gene-4.234-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.234&CDS=1-1095	YGR196C
OG0000884	snap_masked-APLS01000002.1-processed-gene-4.265-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.265&CDS=1-792	YGR195W
OG0000885	snap_masked-APLS01000002.1-processed-gene-4.266-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.266&CDS=1-1251	YJR013W
OG0000886	snap_masked-APLS01000002.1-processed-gene-4.235-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.235&CDS=1-1167	YGR193C
OG0000887	augustus_masked-APLS01000002.1-processed-gene-4.165-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.165&CDS=1-1527	YJR010W
OG0000888	maker-APLS01000002.1-augustus-gene-4.181-mRNA-1_1&gene=maker-APLS01000002.1-augustus-gene-4.181&CDS=1-4692	YDR293C
OG0000889	snap_masked-APLS01000002.1-processed-gene-4.270-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.270&CDS=1-2712	YHR073W
OG0000890	snap_masked-APLS01000002.1-processed-gene-4.236-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.236&CDS=1-2181	YHR072W
OG0000891	augustus_masked-APLS01000002.1-processed-gene-4.168-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.168&CDS=1-1656	YDR320C
OG0000892	snap_masked-APLS01000002.1-processed-gene-4.272-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.272&CDS=1-609	YJR014W
OG0000893	genemark-APLS01000002.1-processed-gene-4.47-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-4.47&CDS=1-5661	YJL005W
OG0000894	augustus_masked-APLS01000002.1-processed-gene-4.170-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.170&CDS=1-564	YJL004C
OG0000895	snap_masked-APLS01000002.1-processed-gene-4.273-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.273&CDS=1-1359	YHR194W
OG0000896	augustus_masked-APLS01000002.1-processed-gene-4.136-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.136&CDS=1-1245	YER061C
OG0000897	snap_masked-APLS01000002.1-processed-gene-4.242-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.242&CDS=1-2094	YHR196W
OG0000898	snap_masked-APLS01000002.1-processed-gene-4.243-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.243&CDS=1-639	YJR133W
OG0000899	snap_masked-APLS01000002.1-processed-gene-4.275-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.275&CDS=1-2256	YLL013C
OG0000900	augustus_masked-APLS01000002.1-processed-gene-4.140-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.140&CDS=1-438	YJR022W
OG0000901	augustus_masked-APLS01000002.1-processed-gene-4.174-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-4.174&CDS=1-783	YGR207C
OG0000902	snap_masked-APLS01000003.1-processed-gene-0.87-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.87&CDS=1-1362	YBR029C
OG0000903	augustus_masked-APLS01000003.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-0.7&CDS=1-471	YDL004W
OG0000904	snap_masked-APLS01000003.1-processed-gene-0.109-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.109&CDS=1-2316	YOL076W
OG0000905	snap_masked-APLS01000003.1-processed-gene-0.89-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.89&CDS=1-1992	YOL060C
OG0000906	snap_masked-APLS01000003.1-processed-gene-0.110-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.110&CDS=1-972	YDL014W
OG0000907	augustus_masked-APLS01000003.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-0.10&CDS=1-891	YDL015C
OG0000908	augustus_masked-APLS01000003.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-0.30&CDS=1-1557	YDL017W
OG0000909	genemark-APLS01000003.1-processed-gene-0.51-mRNA-1_1&gene=genemark-APLS01000003.1-processed-gene-0.51&CDS=1-771	YDL018C
OG0000910	augustus_masked-APLS01000003.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-0.31&CDS=1-1530	YIR027C
OG0000911	snap_masked-APLS01000003.1-processed-gene-0.112-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.112&CDS=1-2802	YBR017C
OG0000912	snap_masked-APLS01000003.1-processed-gene-0.113-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.113&CDS=1-1401	YDL007W
OG0000913	maker-APLS01000003.1-augustus-gene-0.41-mRNA-1_1&gene=maker-APLS01000003.1-augustus-gene-0.41&CDS=1-5046	YOR303W
OG0000914	snap_masked-APLS01000003.1-processed-gene-0.99-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.99&CDS=1-1866	YDL185W
OG0000915	snap_masked-APLS01000003.1-processed-gene-0.100-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.100&CDS=1-1776	YMR239C
OG0000916	augustus_masked-APLS01000003.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-0.37&CDS=1-1977	YBR133C
OG0000917	snap_masked-APLS01000003.1-processed-gene-0.102-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.102&CDS=1-378	YBR135W
OG0000918	snap_masked-APLS01000003.1-processed-gene-0.103-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.103&CDS=1-7332	YBR136W
OG0000919	snap_masked-APLS01000003.1-processed-gene-0.118-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.118&CDS=1-2370	YPR091C
OG0000920	genemark-APLS01000003.1-processed-gene-0.81-mRNA-1_1&gene=genemark-APLS01000003.1-processed-gene-0.81&CDS=1-642	YOL102C
OG0000921	snap_masked-APLS01000003.1-processed-gene-0.121-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.121&CDS=1-375	YDR493W
OG0000922	maker-APLS01000003.1-snap-gene-1.103-mRNA-1_1&gene=maker-APLS01000003.1-snap-gene-1.103&CDS=1-1992	YML004C
OG0000923	snap_masked-APLS01000003.1-processed-gene-1.106-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.106&CDS=1-894	YNR012W
OG0000924	snap_masked-APLS01000003.1-processed-gene-1.109-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.109&CDS=1-2379	YNR013C
OG0000925	snap_masked-APLS01000003.1-processed-gene-1.111-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.111&CDS=1-1221	YNR015W
OG0000926	snap_masked-APLS01000003.1-processed-gene-1.129-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.129&CDS=1-6651	YNR016C
OG0000927	augustus_masked-APLS01000003.1-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-1.61&CDS=1-630	YNR017W
OG0000928	augustus_masked-APLS01000003.1-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-1.82&CDS=1-1323	YCR045C
OG0000929	snap_masked-APLS01000003.1-processed-gene-1.112-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.112&CDS=1-654	YNR018W
OG0000930	snap_masked-APLS01000003.1-processed-gene-1.132-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.132&CDS=1-927	YCR047C
OG0000931	snap_masked-APLS01000003.1-processed-gene-1.133-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.133&CDS=1-1116	YNR021W
OG0000932	maker-APLS01000003.1-augustus-gene-1.102-mRNA-1_1&gene=maker-APLS01000003.1-augustus-gene-1.102&CDS=1-2817	YCR053W
OG0000933	augustus_masked-APLS01000003.1-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-1.87&CDS=1-687	YNR020C
OG0000934	augustus_masked-APLS01000003.1-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-1.65&CDS=1-681	YCR051W
OG0000935	snap_masked-APLS01000003.1-processed-gene-1.136-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.136&CDS=1-1740	YCR054C
OG0000936	snap_masked-APLS01000003.1-processed-gene-1.137-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.137&CDS=1-2772	YCR057C
OG0000937	snap_masked-APLS01000003.1-processed-gene-1.138-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.138&CDS=1-897	YCR059C
OG0000938	genemark-APLS01000003.1-processed-gene-1.12-mRNA-1_1&gene=genemark-APLS01000003.1-processed-gene-1.12&CDS=1-1845	YCR061W
OG0000939	augustus_masked-APLS01000003.1-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-1.68&CDS=1-495	YCR063W
OG0000940	snap_masked-APLS01000003.1-processed-gene-1.119-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.119&CDS=1-1575	YCR065W
OG0000941	snap_masked-APLS01000003.1-processed-gene-1.120-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.120&CDS=1-1125	YCR066W
OG0000942	augustus_masked-APLS01000003.1-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-1.72&CDS=1-1353	YCR068W
OG0000943	snap_masked-APLS01000003.1-processed-gene-1.144-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.144&CDS=1-675	YOL054W
OG0000944	snap_masked-APLS01000003.1-processed-gene-1.123-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.123&CDS=1-1323	YMR265C
OG0000945	snap_masked-APLS01000003.1-processed-gene-1.124-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.124&CDS=1-1335	YHR190W
OG0000946	snap_masked-APLS01000003.1-processed-gene-1.125-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.125&CDS=1-975	YML121W
OG0000947	snap_masked-APLS01000003.1-processed-gene-1.146-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.146&CDS=1-1449	YML120C
OG0000948	snap_masked-APLS01000003.1-processed-gene-1.126-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.126&CDS=1-1827	YMR258C
OG0000949	snap_masked-APLS01000003.1-processed-gene-1.147-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.147&CDS=1-1548	YML102W
OG0000950	genemark-APLS01000003.1-processed-gene-1.24-mRNA-1_1&gene=genemark-APLS01000003.1-processed-gene-1.24&CDS=1-1419	YMR283C
OG0000951	genemark-APLS01000003.1-processed-gene-1.25-mRNA-1_1&gene=genemark-APLS01000003.1-processed-gene-1.25&CDS=1-642	YMR263W
OG0000952	augustus_masked-APLS01000003.1-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-1.99&CDS=1-1059	YMR262W
OG0000953	snap_masked-APLS01000003.1-processed-gene-2.47-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-2.47&CDS=1-456	YMR260C
OG0000954	snap_masked-APLS01000003.1-processed-gene-2.46-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-2.46&CDS=1-477	YMR286W
OG0000955	snap_masked-APLS01000003.1-processed-gene-2.72-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-2.72&CDS=1-1908	YBR028C
OG0000956	snap_masked-APLS01000003.1-processed-gene-2.73-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-2.73&CDS=1-408	YBL028C
OG0000957	snap_masked-APLS01000003.1-processed-gene-2.52-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-2.52&CDS=1-939	YLR340W
OG0000958	snap_masked-APLS01000003.1-processed-gene-2.54-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-2.54&CDS=1-1128	YGR031W
OG0000959	snap_masked-APLS01000003.1-processed-gene-2.55-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-2.55&CDS=1-2547	YLR057W
OG0000960	snap_masked-APLS01000003.1-processed-gene-2.75-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-2.75&CDS=1-3150	YDR060W
