	Candida_dubliniensis	Saccharomyces_cerevisiae
OG0000691	genemark-NC_012860.1-processed-gene-11.48-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.48&CDS=1-1278	YJL059W
OG0000692	genemark-NC_012860.1-processed-gene-11.60-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.60&CDS=1-1197	YKR070W
OG0000693	genemark-NC_012860.1-processed-gene-11.61-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.61&CDS=1-1251	YOR042W
OG0000694	genemark-NC_012860.1-processed-gene-11.50-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.50&CDS=1-585	YKL144C
OG0000695	genemark-NC_012860.1-processed-gene-11.66-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.66&CDS=1-1332	YKL145W
OG0000696	genemark-NC_012860.1-processed-gene-11.68-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.68&CDS=1-717	YDR296W
OG0000697	maker-NC_012860.1-snap-gene-11.120-mRNA-1_1&gene=maker-NC_012860.1-snap-gene-11.120&CDS=1-3807	YBR121C
OG0000698	genemark-NC_012860.1-processed-gene-11.69-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.69&CDS=1-2040	YCL057W
OG0000699	genemark-NC_012860.1-processed-gene-11.71-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.71&CDS=1-1374	YDR306C
OG0000700	genemark-NC_012860.1-processed-gene-11.73-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.73&CDS=1-1818	YOL115W
OG0000701	genemark-NC_012860.1-processed-gene-11.74-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.74&CDS=1-2184	YJL057C
OG0000702	genemark-NC_012860.1-processed-gene-11.77-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.77&CDS=1-591	YOL114C
OG0000703	genemark-NC_012860.1-processed-gene-11.54-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.54&CDS=1-555	YOL149W
OG0000704	genemark-NC_012860.1-processed-gene-11.55-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.55&CDS=1-2202	YOL148C
OG0000705	genemark-NC_012860.1-processed-gene-11.56-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.56&CDS=1-4278	YHR186C
OG0000706	genemark-NC_012860.1-processed-gene-11.57-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.57&CDS=1-1014	YGR257C
OG0000707	genemark-NC_012860.1-processed-gene-12.50-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.50&CDS=1-2211	YKL155C
OG0000708	snap_masked-NC_012860.1-processed-gene-12.96-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-12.96&CDS=1-1491	YBR283C
OG0000709	genemark-NC_012860.1-processed-gene-12.56-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.56&CDS=1-492	YOL143C
OG0000710	genemark-NC_012860.1-processed-gene-12.75-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.75&CDS=1-1128	YKL178C
OG0000711	genemark-NC_012860.1-processed-gene-12.76-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.76&CDS=1-3327	YER110C
OG0000712	genemark-NC_012860.1-processed-gene-12.77-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.77&CDS=1-1197	YDR021W
OG0000713	genemark-NC_012860.1-processed-gene-12.58-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.58&CDS=1-756	YDR020C
OG0000714	genemark-NC_012860.1-processed-gene-12.78-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.78&CDS=1-4278	YBL079W
OG0000715	genemark-NC_012860.1-processed-gene-12.59-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.59&CDS=1-1251	YDR415C
OG0000716	genemark-NC_012860.1-processed-gene-12.60-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.60&CDS=1-405	YBL078C
OG0000717	genemark-NC_012860.1-processed-gene-12.83-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.83&CDS=1-5004	YMR176W
OG0000718	genemark-NC_012860.1-processed-gene-12.62-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.62&CDS=1-2025	YML127W
OG0000719	genemark-NC_012860.1-processed-gene-12.63-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.63&CDS=1-474	YML094W
OG0000720	genemark-NC_012860.1-processed-gene-12.87-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.87&CDS=1-993	YML095C
OG0000721	genemark-NC_012860.1-processed-gene-12.64-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.64&CDS=1-900	YER175C
OG0000722	genemark-NC_012860.1-processed-gene-12.72-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.72&CDS=1-1539	YMR140W
OG0000723	genemark-NC_012860.1-processed-gene-12.88-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-12.88&CDS=1-3471	YBR281C
OG0000724	augustus_masked-NC_012860.1-processed-gene-13.64-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-13.64&CDS=1-2013	YJL100W
OG0000725	genemark-NC_012860.1-processed-gene-13.35-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-13.35&CDS=1-1062	YDL144C
OG0000726	genemark-NC_012860.1-processed-gene-13.37-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-13.37&CDS=1-930	YHR142W
OG0000727	genemark-NC_012860.1-processed-gene-13.38-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-13.38&CDS=1-2073	YBR260C
OG0000728	genemark-NC_012860.1-processed-gene-13.49-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-13.49&CDS=1-228	YHR001W-A
OG0000729	genemark-NC_012860.1-processed-gene-13.40-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-13.40&CDS=1-549	YNR036C
OG0000730	genemark-NC_012860.1-processed-gene-13.51-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-13.51&CDS=1-1035	YNR035C
OG0000731	genemark-NC_012860.1-processed-gene-13.52-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-13.52&CDS=1-2691	YMR216C
OG0000732	genemark-NC_012860.1-processed-gene-13.53-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-13.53&CDS=1-2124	YBR169C
OG0000733	genemark-NC_012860.1-processed-gene-13.54-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-13.54&CDS=1-1740	YBR170C
OG0000734	genemark-NC_012860.1-processed-gene-13.56-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-13.56&CDS=1-1095	YFL031W
OG0000735	genemark-NC_012860.1-processed-gene-13.42-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-13.42&CDS=1-1038	YEL029C
OG0000736	genemark-NC_012860.1-processed-gene-13.47-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-13.47&CDS=1-1707	YBR028C
OG0000737	genemark-NC_012860.1-processed-gene-14.0-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.0&CDS=1-750	YJR099W
OG0000738	genemark-NC_012860.1-processed-gene-14.4-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.4&CDS=1-2175	YPR045C
OG0000739	genemark-NC_012860.1-processed-gene-14.25-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.25&CDS=1-2112	YBR007C
OG0000740	genemark-NC_012860.1-processed-gene-14.29-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.29&CDS=1-525	YNL044W
OG0000741	genemark-NC_012860.1-processed-gene-14.31-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.31&CDS=1-6801	YCR032W
OG0000742	genemark-NC_012860.1-processed-gene-14.32-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.32&CDS=1-3927	YJL197W
OG0000743	genemark-NC_012860.1-processed-gene-14.33-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.33&CDS=1-1038	YCR035C
OG0000744	maker-NC_012860.1-augustus-gene-14.80-mRNA-1_1&gene=maker-NC_012860.1-augustus-gene-14.80&CDS=1-7554	YDL171C
OG0000745	genemark-NC_012860.1-processed-gene-14.8-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.8&CDS=1-1311	YGR117C
OG0000746	genemark-NC_012860.1-processed-gene-14.9-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.9&CDS=1-1035	YPR128C
OG0000747	genemark-NC_012860.1-processed-gene-14.34-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.34&CDS=1-1206	YPR133C
OG0000748	genemark-NC_012860.1-processed-gene-14.11-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.11&CDS=1-1029	YPR129W
OG0000749	genemark-NC_012860.1-processed-gene-14.12-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.12&CDS=1-2607	YPR135W
OG0000750	genemark-NC_012860.1-processed-gene-14.13-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.13&CDS=1-564	YPR131C
OG0000751	genemark-NC_012860.1-processed-gene-14.16-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.16&CDS=1-3054	YLR240W
OG0000752	maker-NC_012860.1-augustus-gene-14.81-mRNA-1_1&gene=maker-NC_012860.1-augustus-gene-14.81&CDS=1-4104	YDL108W
OG0000753	genemark-NC_012860.1-processed-gene-14.39-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.39&CDS=1-627	YDL213C
OG0000754	genemark-NC_012860.1-processed-gene-14.40-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.40&CDS=1-1503	YNL182C
OG0000755	genemark-NC_012860.1-processed-gene-14.21-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.21&CDS=1-1413	YNL181W
OG0000756	genemark-NC_012860.1-processed-gene-14.22-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.22&CDS=1-2469	YNL183C
OG0000757	genemark-NC_012860.1-processed-gene-14.41-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.41&CDS=1-429	YNL185C
OG0000758	genemark-NC_012860.1-processed-gene-14.23-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.23&CDS=1-1173	YGL246C
OG0000759	genemark-NC_012860.1-processed-gene-14.24-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-14.24&CDS=1-1455	YDR256C
OG0000760	snap_masked-NC_012860.1-processed-gene-15.79-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-15.79&CDS=1-291	YER058W
OG0000761	snap_masked-NC_012860.1-processed-gene-15.81-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-15.81&CDS=1-2664	YIL073C
OG0000762	genemark-NC_012860.1-processed-gene-15.47-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.47&CDS=1-3786	YDL195W
OG0000763	genemark-NC_012860.1-processed-gene-15.62-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.62&CDS=1-3234	YPR026W
OG0000764	genemark-NC_012860.1-processed-gene-15.48-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.48&CDS=1-900	YJR007W
OG0000765	maker-NC_012860.1-augustus-gene-15.7-mRNA-1_1&gene=maker-NC_012860.1-augustus-gene-15.7&CDS=1-2919	YKL221W
OG0000766	genemark-NC_012860.1-processed-gene-15.49-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.49&CDS=1-2421	YJL102W
OG0000767	genemark-NC_012860.1-processed-gene-15.65-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.65&CDS=1-2889	YKL015W
OG0000768	genemark-NC_012860.1-processed-gene-15.68-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.68&CDS=1-2133	YKL017C
OG0000769	genemark-NC_012860.1-processed-gene-15.69-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.69&CDS=1-1629	YDL160C
OG0000770	genemark-NC_012860.1-processed-gene-15.70-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.70&CDS=1-2223	YGR276C
OG0000771	genemark-NC_012860.1-processed-gene-15.52-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.52&CDS=1-3705	YGR274C
OG0000772	augustus_masked-NC_012860.1-processed-gene-15.38-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-15.38&CDS=1-3123	YNL163C
OG0000773	genemark-NC_012860.1-processed-gene-15.74-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.74&CDS=1-1695	YJL103C
OG0000774	genemark-NC_012860.1-processed-gene-15.54-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.54&CDS=1-744	YMR038C
OG0000775	genemark-NC_012860.1-processed-gene-15.55-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.55&CDS=1-2499	YOR353C
OG0000776	genemark-NC_012860.1-processed-gene-15.58-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.58&CDS=1-924	YDL236W
OG0000777	genemark-NC_012860.1-processed-gene-15.59-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-15.59&CDS=1-549	YDL235C
OG0000778	genemark-NC_012860.1-processed-gene-16.39-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.39&CDS=1-1680	YNL219C
OG0000779	genemark-NC_012860.1-processed-gene-16.40-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.40&CDS=1-1800	YIL150C
OG0000780	genemark-NC_012860.1-processed-gene-16.38-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.38&CDS=1-2529	YER157W
OG0000781	snap_masked-NC_012860.1-processed-gene-16.5-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-16.5&CDS=1-207	YDR079C-A
OG0000782	snap_masked-NC_012860.1-processed-gene-16.7-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-16.7&CDS=1-1548	YGR044C
OG0000783	genemark-NC_012860.1-processed-gene-16.45-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.45&CDS=1-3909	YBL034C
OG0000784	genemark-NC_012860.1-processed-gene-16.55-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.55&CDS=1-2016	YHR084W
OG0000785	genemark-NC_012860.1-processed-gene-16.56-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.56&CDS=1-2853	YHR082C
OG0000786	genemark-NC_012860.1-processed-gene-16.46-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.46&CDS=1-1683	YDR330W
OG0000787	genemark-NC_012860.1-processed-gene-16.58-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.58&CDS=1-492	YDR328C
OG0000788	genemark-NC_012860.1-processed-gene-16.59-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.59&CDS=1-1389	YDR329C
OG0000789	genemark-NC_012860.1-processed-gene-16.60-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.60&CDS=1-1149	YDR331W
OG0000790	snap_masked-NC_012860.1-processed-gene-16.26-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-16.26&CDS=1-1899	YDR332W
OG0000791	snap_masked-NC_012860.1-processed-gene-16.28-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-16.28&CDS=1-1980	YBL035C
OG0000792	genemark-NC_012860.1-processed-gene-16.62-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.62&CDS=1-978	YDL051W
OG0000793	genemark-NC_012860.1-processed-gene-16.49-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.49&CDS=1-738	YBL036C
OG0000794	genemark-NC_012860.1-processed-gene-16.63-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.63&CDS=1-2865	YBR086C
OG0000795	genemark-NC_012860.1-processed-gene-16.64-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.64&CDS=1-2814	YJL020C
OG0000796	genemark-NC_012860.1-processed-gene-16.50-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.50&CDS=1-1092	YKL018W
OG0000797	augustus_masked-NC_012860.1-processed-gene-16.98-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-16.98&CDS=1-3117	YBL037W
OG0000798	genemark-NC_012860.1-processed-gene-16.52-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.52&CDS=1-522	YKL016C
OG0000799	genemark-NC_012860.1-processed-gene-16.53-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-16.53&CDS=1-519	YPL059W
OG0000800	genemark-NC_012860.1-processed-gene-17.32-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.32&CDS=1-5682	YKL014C
OG0000801	genemark-NC_012860.1-processed-gene-17.34-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.34&CDS=1-1128	YGL237C
OG0000802	genemark-NC_012860.1-processed-gene-17.35-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.35&CDS=1-3144	YGL238W
OG0000803	genemark-NC_012860.1-processed-gene-17.52-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.52&CDS=1-1029	YGL225W
OG0000804	genemark-NC_012860.1-processed-gene-17.53-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.53&CDS=1-1602	YMR300C
OG0000805	genemark-NC_012860.1-processed-gene-17.54-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.54&CDS=1-909	YLR003C
OG0000806	genemark-NC_012860.1-processed-gene-17.41-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.41&CDS=1-2082	YGL236C
OG0000807	genemark-NC_012860.1-processed-gene-17.56-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.56&CDS=1-777	YFR027W
OG0000808	genemark-NC_012860.1-processed-gene-17.43-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.43&CDS=1-900	YFR047C
OG0000809	genemark-NC_012860.1-processed-gene-17.57-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.57&CDS=1-1413	YGL240W
OG0000810	genemark-NC_012860.1-processed-gene-17.59-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.59&CDS=1-2268	YJL101C
OG0000811	genemark-NC_012860.1-processed-gene-17.60-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.60&CDS=1-2406	YGL234W
OG0000812	genemark-NC_012860.1-processed-gene-17.61-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.61&CDS=1-1221	YMR024W
OG0000813	genemark-NC_012860.1-processed-gene-17.62-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.62&CDS=1-1362	YDR414C
OG0000814	genemark-NC_012860.1-processed-gene-17.63-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.63&CDS=1-777	YDR412W
OG0000815	genemark-NC_012860.1-processed-gene-17.47-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.47&CDS=1-669	YHR081W
OG0000816	genemark-NC_012860.1-processed-gene-17.64-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.64&CDS=1-3666	YHR079C
OG0000817	genemark-NC_012860.1-processed-gene-17.65-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.65&CDS=1-750	YHR079C-A
OG0000818	genemark-NC_012860.1-processed-gene-17.48-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.48&CDS=1-2301	YDL167C
OG0000819	augustus_masked-NC_012860.1-processed-gene-17.15-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-17.15&CDS=1-2568	YDR390C
OG0000820	genemark-NC_012860.1-processed-gene-17.51-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-17.51&CDS=1-378	YOR122C
OG0000821	genemark-NC_012860.1-processed-gene-18.5-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.5&CDS=1-3039	YAL035W
OG0000822	genemark-NC_012860.1-processed-gene-18.6-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.6&CDS=1-1104	YAL036C
OG0000823	genemark-NC_012860.1-processed-gene-18.7-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.7&CDS=1-3273	YMR308C
OG0000824	genemark-NC_012860.1-processed-gene-18.8-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.8&CDS=1-2073	YLR319C
OG0000825	augustus_masked-NC_012860.1-processed-gene-18.94-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-18.94&CDS=1-2601	YLR318W
OG0000826	genemark-NC_012860.1-processed-gene-18.9-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.9&CDS=1-777	YLR316C
OG0000827	genemark-NC_012860.1-processed-gene-18.10-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.10&CDS=1-1056	YLR321C
OG0000828	genemark-NC_012860.1-processed-gene-18.22-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.22&CDS=1-3951	YAR042W
OG0000829	genemark-NC_012860.1-processed-gene-18.12-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.12&CDS=1-2352	YAL021C
OG0000830	snap_masked-NC_012860.1-processed-gene-18.63-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-18.63&CDS=1-504	YPR073C
OG0000831	genemark-NC_012860.1-processed-gene-18.28-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.28&CDS=1-3369	YOL051W
OG0000832	genemark-NC_012860.1-processed-gene-18.29-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.29&CDS=1-2955	YLR129W
OG0000833	genemark-NC_012860.1-processed-gene-18.14-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.14&CDS=1-1989	YPR072W
OG0000834	genemark-NC_012860.1-processed-gene-18.15-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.15&CDS=1-1590	YPR075C
OG0000835	genemark-NC_012860.1-processed-gene-18.16-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.16&CDS=1-2031	YPR074C
OG0000836	genemark-NC_012860.1-processed-gene-18.31-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.31&CDS=1-471	YOR357C
OG0000837	genemark-NC_012860.1-processed-gene-18.33-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.33&CDS=1-1458	YGL055W
OG0000838	genemark-NC_012860.1-processed-gene-18.34-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.34&CDS=1-1677	YPL247C
OG0000839	genemark-NC_012860.1-processed-gene-18.35-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-18.35&CDS=1-2997	YMR189W
OG0000840	genemark-NC_012860.1-processed-gene-19.0-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.0&CDS=1-2658	YMR125W
OG0000841	genemark-NC_012860.1-processed-gene-19.1-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.1&CDS=1-960	YFL028C
OG0000842	genemark-NC_012860.1-processed-gene-19.4-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.4&CDS=1-573	YLR229C
OG0000843	genemark-NC_012860.1-processed-gene-19.6-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.6&CDS=1-432	YGR174C
OG0000844	augustus_masked-NC_012860.1-processed-gene-19.132-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-19.132&CDS=1-477	YJL024C
OG0000845	genemark-NC_012860.1-processed-gene-19.7-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.7&CDS=1-1383	YLR231C
OG0000846	genemark-NC_012860.1-processed-gene-19.28-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.28&CDS=1-1320	YGR254W
OG0000847	genemark-NC_012860.1-processed-gene-19.29-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.29&CDS=1-441	YDR462W
OG0000848	genemark-NC_012860.1-processed-gene-19.10-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.10&CDS=1-1662	YDR212W
OG0000849	genemark-NC_012860.1-processed-gene-19.33-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.33&CDS=1-1248	YDL128W
OG0000850	genemark-NC_012860.1-processed-gene-19.34-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.34&CDS=1-1488	YGR175C
OG0000851	genemark-NC_012860.1-processed-gene-19.35-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.35&CDS=1-2208	YDR211W
OG0000852	snap_masked-NC_012860.1-processed-gene-19.66-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-19.66&CDS=1-423	YHR175W
OG0000853	genemark-NC_012860.1-processed-gene-19.12-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.12&CDS=1-822	YOL067C
OG0000854	genemark-NC_012860.1-processed-gene-19.37-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.37&CDS=1-1557	YDL045C
OG0000855	genemark-NC_012860.1-processed-gene-19.13-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.13&CDS=1-2202	YLR182W
OG0000856	genemark-NC_012860.1-processed-gene-19.38-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.38&CDS=1-573	YDR373W
OG0000857	genemark-NC_012860.1-processed-gene-19.14-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.14&CDS=1-465	YOL071W
OG0000858	augustus_masked-NC_012860.1-processed-gene-19.122-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-19.122&CDS=1-4782	YNL050C
OG0000859	genemark-NC_012860.1-processed-gene-19.16-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.16&CDS=1-1173	YNL051W
OG0000860	genemark-NC_012860.1-processed-gene-19.39-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.39&CDS=1-2790	YIL109C
OG0000861	genemark-NC_012860.1-processed-gene-19.19-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.19&CDS=1-1050	YGL159W
OG0000862	genemark-NC_012860.1-processed-gene-19.20-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-19.20&CDS=1-1653	YDR481C
OG0000863	snap_masked-NC_012860.1-processed-gene-19.77-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-19.77&CDS=1-1506	YOR154W
