	Metschnikowia_similis	Saccharomyces_cerevisiae
OG0000900	snap_masked-sim-_s178-processed-gene-0.44-mRNA-1_1&gene=snap_masked-sim-_s178-processed-gene-0.44&CDS=1-3270	YGL093W
OG0000901	augustus_masked-sim-_s178-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-sim-_s178-processed-gene-0.81&CDS=1-1278	YNL323W
OG0000902	augustus_masked-sim-_s178-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-sim-_s178-processed-gene-0.82&CDS=1-3609	YAR019C
OG0000903	augustus_masked-sim-_s178-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-sim-_s178-processed-gene-0.85&CDS=1-3384	YDR270W
OG0000904	genemark-sim-_s178-processed-gene-0.33-mRNA-1_1&gene=genemark-sim-_s178-processed-gene-0.33&CDS=1-3060	YOR160W
OG0000905	augustus_masked-sim-_s178-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-sim-_s178-processed-gene-0.86&CDS=1-561	YDR454C
OG0000906	augustus_masked-sim-_s18-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.89&CDS=1-909	YNL320W
OG0000907	genemark-sim-_s18-processed-gene-0.203-mRNA-1_1&gene=genemark-sim-_s18-processed-gene-0.203&CDS=1-648	YOL139C
OG0000908	augustus_masked-sim-_s18-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.91&CDS=1-621	YJR057W
OG0000909	augustus_masked-sim-_s18-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.129&CDS=1-438	YJR058C
OG0000910	augustus_masked-sim-_s18-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.92&CDS=1-2121	YMR284W
OG0000911	augustus_masked-sim-_s18-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.96&CDS=1-1875	YAL016W
OG0000912	augustus_masked-sim-_s18-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.132&CDS=1-2820	YAL023C
OG0000913	augustus_masked-sim-_s18-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.97&CDS=1-894	YPL131W
OG0000914	augustus_masked-sim-_s18-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.99&CDS=1-675	YHL031C
OG0000915	augustus_masked-sim-_s18-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.135&CDS=1-804	YPR037C
OG0000916	augustus_masked-sim-_s18-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.100&CDS=1-1107	YCR028C-A
OG0000917	augustus_masked-sim-_s18-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.137&CDS=1-1200	YDR415C
OG0000918	augustus_masked-sim-_s18-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.138&CDS=1-702	YDR020C
OG0000919	augustus_masked-sim-_s18-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.102&CDS=1-1191	YDR021W
OG0000920	augustus_masked-sim-_s18-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.103&CDS=1-3321	YER110C
OG0000921	augustus_masked-sim-_s18-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.104&CDS=1-1083	YKL178C
OG0000922	augustus_masked-sim-_s18-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.139&CDS=1-1500	YBL080C
OG0000923	augustus_masked-sim-_s18-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.105&CDS=1-396	YBL078C
OG0000924	augustus_masked-sim-_s18-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.141&CDS=1-1059	YNL141W
OG0000925	augustus_masked-sim-_s18-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.142&CDS=1-549	YDL217C
OG0000926	augustus_masked-sim-_s18-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.143&CDS=1-1158	YPR023C
OG0000927	augustus_masked-sim-_s18-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.145&CDS=1-2331	YER125W
OG0000928	augustus_masked-sim-_s18-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.147&CDS=1-1218	YDR083W
OG0000929	augustus_masked-sim-_s18-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.149&CDS=1-996	YER142C
OG0000930	augustus_masked-sim-_s18-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.151&CDS=1-945	YHR062C
OG0000931	augustus_masked-sim-_s18-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.115&CDS=1-789	YNL155W
OG0000932	genemark-sim-_s18-processed-gene-0.232-mRNA-1_1&gene=genemark-sim-_s18-processed-gene-0.232&CDS=1-705	YGR057C
OG0000933	augustus_masked-sim-_s18-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.154&CDS=1-3021	YBR198C
OG0000934	augustus_masked-sim-_s18-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.118&CDS=1-1449	YFR053C
OG0000935	snap_masked-sim-_s18-processed-gene-0.37-mRNA-1_1&gene=snap_masked-sim-_s18-processed-gene-0.37&CDS=1-357	YOL026C
OG0000936	genemark-sim-_s18-processed-gene-0.236-mRNA-1_1&gene=genemark-sim-_s18-processed-gene-0.236&CDS=1-390	YIR015W
OG0000937	maker-sim-_s18-augustus-gene-0.0-mRNA-1_1&gene=maker-sim-_s18-augustus-gene-0.0&CDS=1-750	YOL038W
OG0000938	genemark-sim-_s18-processed-gene-0.237-mRNA-1_1&gene=genemark-sim-_s18-processed-gene-0.237&CDS=1-4128	YKL113C
OG0000939	maker-sim-_s18-snap-gene-0.88-mRNA-1_1&gene=maker-sim-_s18-snap-gene-0.88&CDS=1-2766	YKL114C
OG0000940	augustus_masked-sim-_s18-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.120&CDS=1-2430	YGR099W
OG0000941	augustus_masked-sim-_s18-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.160&CDS=1-2394	YJR126C
OG0000942	augustus_masked-sim-_s18-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.161&CDS=1-762	YDR538W
OG0000943	genemark-sim-_s18-processed-gene-0.201-mRNA-1_1&gene=genemark-sim-_s18-processed-gene-0.201&CDS=1-1533	YDR539W
OG0000944	augustus_masked-sim-_s180-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s180-processed-gene-0.2&CDS=1-4371	YOR116C
OG0000945	maker-sim-_s180-augustus-gene-0.34-mRNA-1_1&gene=maker-sim-_s180-augustus-gene-0.34&CDS=1-7563	YER172C
OG0000946	augustus_masked-sim-_s180-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_s180-processed-gene-0.4&CDS=1-285	YBL059C-A
OG0000947	genemark-sim-_s180-processed-gene-0.44-mRNA-1_1&gene=genemark-sim-_s180-processed-gene-0.44&CDS=1-576	YER094C
OG0000948	snap_masked-sim-_s180-processed-gene-0.29-mRNA-1_1&gene=snap_masked-sim-_s180-processed-gene-0.29&CDS=1-3198	YBL060W
OG0000949	augustus_masked-sim-_s181-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-sim-_s181-processed-gene-0.98&CDS=1-1359	YEL036C
OG0000950	genemark-sim-_s181-processed-gene-0.0-mRNA-1_1&gene=genemark-sim-_s181-processed-gene-0.0&CDS=1-3513	YFR031C
OG0000951	augustus_masked-sim-_s181-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-sim-_s181-processed-gene-0.99&CDS=1-1407	YLR324W
OG0000952	augustus_masked-sim-_s181-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-sim-_s181-processed-gene-0.81&CDS=1-1167	YGR006W
OG0000953	augustus_masked-sim-_s181-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-sim-_s181-processed-gene-0.82&CDS=1-234	YLR325C
OG0000954	augustus_masked-sim-_s181-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-sim-_s181-processed-gene-0.100&CDS=1-1095	YGR005C
OG0000955	augustus_masked-sim-_s181-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-sim-_s181-processed-gene-0.83&CDS=1-1599	YGL017W
OG0000956	augustus_masked-sim-_s181-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-sim-_s181-processed-gene-0.85&CDS=1-396	YGL191W
OG0000957	augustus_masked-sim-_s181-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-sim-_s181-processed-gene-0.101&CDS=1-1458	YGL190C
OG0000958	snap_masked-sim-_s181-processed-gene-0.48-mRNA-1_1&gene=snap_masked-sim-_s181-processed-gene-0.48&CDS=1-402	YGL187C
OG0000959	maker-sim-_s181-augustus-gene-0.110-mRNA-1_1&gene=maker-sim-_s181-augustus-gene-0.110&CDS=1-4854	YIL047C
OG0000960	augustus_masked-sim-_s181-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-sim-_s181-processed-gene-0.89&CDS=1-3378	YIL048W
OG0000961	snap_masked-sim-_s181-processed-gene-0.54-mRNA-1_1&gene=snap_masked-sim-_s181-processed-gene-0.54&CDS=1-1605	YBL099W
OG0000962	augustus_masked-sim-_s181-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-sim-_s181-processed-gene-0.106&CDS=1-2580	YKL157W
OG0000963	snap_masked-sim-_s181-processed-gene-0.56-mRNA-1_1&gene=snap_masked-sim-_s181-processed-gene-0.56&CDS=1-2457	YML046W
OG0000964	augustus_masked-sim-_s181-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-sim-_s181-processed-gene-0.108&CDS=1-1737	YJR052W
OG0000965	augustus_masked-sim-_s181-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-sim-_s181-processed-gene-0.93&CDS=1-522	YJR017C
OG0000966	snap_masked-sim-_s181-processed-gene-0.76-mRNA-1_1&gene=snap_masked-sim-_s181-processed-gene-0.76&CDS=1-1926	YGR014W
OG0000967	augustus_masked-sim-_s182-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-sim-_s182-processed-gene-0.14&CDS=1-498	YBR282W
OG0000968	augustus_masked-sim-_s182-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sim-_s182-processed-gene-0.3&CDS=1-2304	YDR517W
OG0000969	augustus_masked-sim-_s182-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_s182-processed-gene-0.4&CDS=1-1032	YCR019W
OG0000970	augustus_masked-sim-_s182-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-sim-_s182-processed-gene-0.5&CDS=1-2307	YML018C
OG0000971	maker-sim-_s182-augustus-gene-0.48-mRNA-1_1&gene=maker-sim-_s182-augustus-gene-0.48&CDS=1-1341	YML021C
OG0000972	maker-sim-_s182-snap-gene-0.47-mRNA-1_1&gene=maker-sim-_s182-snap-gene-0.47&CDS=1-3717	YDR440W
OG0000973	augustus_masked-sim-_s182-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sim-_s182-processed-gene-0.18&CDS=1-2769	YML020W
OG0000974	augustus_masked-sim-_s182-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-sim-_s182-processed-gene-0.20&CDS=1-636	YML012W
OG0000975	augustus_masked-sim-_s182-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-sim-_s182-processed-gene-0.10&CDS=1-210	YML009C
OG0000976	augustus_masked-sim-_s182-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-sim-_s182-processed-gene-0.21&CDS=1-3093	YDR430C
OG0000977	augustus_masked-sim-_s182-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_s182-processed-gene-0.12&CDS=1-3561	YNL329C
OG0000978	augustus_masked-sim-_s182-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-sim-_s182-processed-gene-0.22&CDS=1-429	YNL328C
OG0000979	augustus_masked-sim-_s183-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-sim-_s183-processed-gene-0.32&CDS=1-444	YOR224C
OG0000980	augustus_masked-sim-_s183-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-sim-_s183-processed-gene-0.23&CDS=1-1614	YMR221C
OG0000981	augustus_masked-sim-_s183-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-sim-_s183-processed-gene-0.33&CDS=1-288	YLR363W-A
OG0000982	augustus_masked-sim-_s183-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-sim-_s183-processed-gene-0.24&CDS=1-4047	YGR061C
OG0000983	augustus_masked-sim-_s183-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-sim-_s183-processed-gene-0.25&CDS=1-738	YNL178W
OG0000984	snap_masked-sim-_s183-processed-gene-0.51-mRNA-1_1&gene=snap_masked-sim-_s183-processed-gene-0.51&CDS=1-324	YJR085C
OG0000985	snap_masked-sim-_s183-processed-gene-0.40-mRNA-1_1&gene=snap_masked-sim-_s183-processed-gene-0.40&CDS=1-3558	YGL150C
OG0000986	augustus_masked-sim-_s183-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-sim-_s183-processed-gene-0.27&CDS=1-921	YGL154C
OG0000987	maker-sim-_s183-augustus-gene-0.18-mRNA-1_1&gene=maker-sim-_s183-augustus-gene-0.18&CDS=1-3264	YDL119C
OG0000988	augustus_masked-sim-_s183-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-sim-_s183-processed-gene-0.30&CDS=1-3150	YDL102W
OG0000989	augustus_masked-sim-_s189-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sim-_s189-processed-gene-0.0&CDS=1-903	YJR093C
OG0000990	augustus_masked-sim-_s189-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sim-_s189-processed-gene-0.6&CDS=1-1191	YPR041W
OG0000991	augustus_masked-sim-_s189-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_s189-processed-gene-0.7&CDS=1-1338	YJR084W
OG0000992	augustus_masked-sim-_s189-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s189-processed-gene-0.2&CDS=1-2328	YJR090C
OG0000993	augustus_masked-sim-_s189-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_s189-processed-gene-0.4&CDS=1-558	YJR102C
OG0000994	augustus_masked-sim-_s189-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-sim-_s189-processed-gene-0.5&CDS=1-1725	YBL039C
OG0000995	genemark-sim-_s19-processed-gene-0.90-mRNA-1_1&gene=genemark-sim-_s19-processed-gene-0.90&CDS=1-816	YMR312W
OG0000996	snap_masked-sim-_s19-processed-gene-0.67-mRNA-1_1&gene=snap_masked-sim-_s19-processed-gene-0.67&CDS=1-1953	YMR313C
OG0000997	augustus_masked-sim-_s19-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.5&CDS=1-1494	YMR093W
OG0000998	maker-sim-_s19-snap-gene-0.89-mRNA-1_1&gene=maker-sim-_s19-snap-gene-0.89&CDS=1-816	YOR064C
OG0000999	augustus_masked-sim-_s19-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.28&CDS=1-1164	YOR063W
OG0001000	augustus_masked-sim-_s19-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.7&CDS=1-1320	YNL280C
OG0001001	augustus_masked-sim-_s19-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.8&CDS=1-1482	YGR105W
OG0001002	augustus_masked-sim-_s19-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.32&CDS=1-12483	YKR054C
OG0001003	augustus_masked-sim-_s19-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.11&CDS=1-4548	YOR153W
OG0001004	augustus_masked-sim-_s19-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.33&CDS=1-3501	YPR010C
OG0001005	augustus_masked-sim-_s19-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.12&CDS=1-801	YGR024C
OG0001006	augustus_masked-sim-_s19-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.34&CDS=1-828	YKL024C
OG0001007	genemark-sim-_s19-processed-gene-0.99-mRNA-1_1&gene=genemark-sim-_s19-processed-gene-0.99&CDS=1-1869	YKL025C
OG0001008	augustus_masked-sim-_s19-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.14&CDS=1-840	YHR071W
OG0001009	augustus_masked-sim-_s19-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.37&CDS=1-1203	YKR048C
OG0001010	augustus_masked-sim-_s19-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.38&CDS=1-2430	YPL147W
OG0001011	augustus_masked-sim-_s19-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.39&CDS=1-975	YKL120W
OG0001012	augustus_masked-sim-_s19-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.15&CDS=1-1593	YHR030C
OG0001013	augustus_masked-sim-_s19-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.16&CDS=1-2874	YFL024C
OG0001014	augustus_masked-sim-_s19-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.41&CDS=1-2964	YBR084W
OG0001015	augustus_masked-sim-_s19-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.17&CDS=1-2088	YHR031C
OG0001016	augustus_masked-sim-_s19-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.18&CDS=1-4725	YMR247C
OG0001017	genemark-sim-_s19-processed-gene-0.127-mRNA-1_1&gene=genemark-sim-_s19-processed-gene-0.127&CDS=1-1095	YIL153W
OG0001018	genemark-sim-_s19-processed-gene-0.128-mRNA-1_1&gene=genemark-sim-_s19-processed-gene-0.128&CDS=1-2274	YER041W
OG0001019	augustus_masked-sim-_s19-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.20&CDS=1-1656	YKR097W
OG0001020	augustus_masked-sim-_s19-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-sim-_s19-processed-gene-0.22&CDS=1-5640	YJL039C
OG0001021	augustus_masked-sim-_s192-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-sim-_s192-processed-gene-0.43&CDS=1-2571	YCR030C
OG0001022	augustus_masked-sim-_s192-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-sim-_s192-processed-gene-0.31&CDS=1-1521	YNL142W
OG0001023	maker-sim-_s192-augustus-gene-0.88-mRNA-1_1&gene=maker-sim-_s192-augustus-gene-0.88&CDS=1-6141	YGL130W
OG0001024	augustus_masked-sim-_s192-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-sim-_s192-processed-gene-0.44&CDS=1-390	YNL153C
OG0001025	augustus_masked-sim-_s192-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-sim-_s192-processed-gene-0.45&CDS=1-1251	YGR111W
OG0001026	augustus_masked-sim-_s192-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-sim-_s192-processed-gene-0.36&CDS=1-1569	YML054C
OG0001027	augustus_masked-sim-_s192-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-sim-_s192-processed-gene-0.47&CDS=1-1674	YDR536W
OG0001028	augustus_masked-sim-_s192-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-sim-_s192-processed-gene-0.48&CDS=1-1839	YLR023C
OG0001029	maker-sim-_s192-augustus-gene-0.89-mRNA-1_1&gene=maker-sim-_s192-augustus-gene-0.89&CDS=1-1644	YNR053C
OG0001030	augustus_masked-sim-_s192-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-sim-_s192-processed-gene-0.51&CDS=1-1509	YNR052C
OG0001031	augustus_masked-sim-_s192-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-sim-_s192-processed-gene-0.52&CDS=1-1176	YCR094W
OG0001032	genemark-sim-_s192-processed-gene-0.26-mRNA-1_1&gene=genemark-sim-_s192-processed-gene-0.26&CDS=1-1806	YPR190C
OG0001033	snap_masked-sim-_s192-processed-gene-0.68-mRNA-1_1&gene=snap_masked-sim-_s192-processed-gene-0.68&CDS=1-4191	YPR189W
OG0001034	snap_masked-sim-_s192-processed-gene-0.69-mRNA-1_1&gene=snap_masked-sim-_s192-processed-gene-0.69&CDS=1-2244	YPR185W
OG0001035	genemark-sim-_s192-processed-gene-0.11-mRNA-1_1&gene=genemark-sim-_s192-processed-gene-0.11&CDS=1-1464	YEL052W
OG0001036	augustus_masked-sim-_s192-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-sim-_s192-processed-gene-0.40&CDS=1-1962	YGR002C
OG0001037	snap_masked-sim-_s192-processed-gene-0.72-mRNA-1_1&gene=snap_masked-sim-_s192-processed-gene-0.72&CDS=1-2733	YAR002W
OG0001038	augustus_masked-sim-_s192-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-sim-_s192-processed-gene-0.42&CDS=1-1050	YGL001C
OG0001039	snap_masked-sim-_s193-processed-gene-0.9-mRNA-1_1&gene=snap_masked-sim-_s193-processed-gene-0.9&CDS=1-1437	YHR109W
OG0001040	augustus_masked-sim-_s193-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-sim-_s193-processed-gene-0.11&CDS=1-816	YLR192C
OG0001041	augustus_masked-sim-_s194-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.134&CDS=1-1128	YFL039C
OG0001042	maker-sim-_s194-augustus-gene-0.51-mRNA-1_1&gene=maker-sim-_s194-augustus-gene-0.51&CDS=1-333	YOR327C
OG0001043	augustus_masked-sim-_s194-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.135&CDS=1-2538	YAL044C
OG0001044	augustus_masked-sim-_s194-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.112&CDS=1-1731	YGL084C
OG0001045	augustus_masked-sim-_s194-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.137&CDS=1-411	YGL087C
OG0001046	augustus_masked-sim-_s194-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.114&CDS=1-1992	YGL086W
OG0001047	augustus_masked-sim-_s194-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.138&CDS=1-2598	YBR055C
OG0001048	augustus_masked-sim-_s194-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.115&CDS=1-1506	YMR131C
OG0001049	augustus_masked-sim-_s194-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.116&CDS=1-1875	YPL263C
OG0001050	augustus_masked-sim-_s194-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.139&CDS=1-975	YPL266W
OG0001051	augustus_masked-sim-_s194-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.120&CDS=1-1596	YEL058W
OG0001052	augustus_masked-sim-_s194-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.142&CDS=1-696	YGL085W
OG0001053	augustus_masked-sim-_s194-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.143&CDS=1-4374	YDR011W
OG0001054	augustus_masked-sim-_s194-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.123&CDS=1-1362	YBR130C
OG0001055	maker-sim-_s194-augustus-gene-0.53-mRNA-1_1&gene=maker-sim-_s194-augustus-gene-0.53&CDS=1-2013	YFL030W
OG0001056	augustus_masked-sim-_s194-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.126&CDS=1-4236	YNL088W
OG0001057	augustus_masked-sim-_s194-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.146&CDS=1-1056	YOR042W
OG0001058	augustus_masked-sim-_s194-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.149&CDS=1-1146	YDR502C
OG0001059	augustus_masked-sim-_s194-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.129&CDS=1-3282	YCL061C
OG0001060	augustus_masked-sim-_s194-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.151&CDS=1-1086	YCL059C
OG0001061	augustus_masked-sim-_s194-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.131&CDS=1-1248	YIR012W
OG0001062	augustus_masked-sim-_s194-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.132&CDS=1-1413	YIR008C
OG0001063	augustus_masked-sim-_s194-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.152&CDS=1-2742	YIR007W
OG0001064	augustus_masked-sim-_s194-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.153&CDS=1-3303	YER013W
OG0001065	genemark-sim-_s194-processed-gene-0.46-mRNA-1_1&gene=genemark-sim-_s194-processed-gene-0.46&CDS=1-585	YER012W
OG0001066	genemark-sim-_s194-processed-gene-0.47-mRNA-1_1&gene=genemark-sim-_s194-processed-gene-0.47&CDS=1-699	YBR256C
