	Lachancea_quebecensis	Saccharomyces_cerevisiae
OG0000497	genemark-LAQU0S01-processed-gene-5.8-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.8&CDS=1-1248	YPL154C
OG0000498	genemark-LAQU0S01-processed-gene-5.9-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.9&CDS=1-2385	YPL153C
OG0000499	genemark-LAQU0S01-processed-gene-5.4-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.4&CDS=1-1374	YOR245C
OG0000500	genemark-LAQU0S01-processed-gene-5.5-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.5&CDS=1-1059	YPL152W
OG0000501	genemark-LAQU0S01-processed-gene-5.12-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.12&CDS=1-1311	YPL151C
OG0000502	genemark-LAQU0S01-processed-gene-5.6-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.6&CDS=1-2064	YOR243C
OG0000503	augustus_masked-LAQU0S01-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-5.119&CDS=1-1155	YOR242C
OG0000504	genemark-LAQU0S01-processed-gene-5.32-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.32&CDS=1-1455	YOR241W
OG0000505	genemark-LAQU0S01-processed-gene-5.13-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.13&CDS=1-2547	YPL150W
OG0000506	genemark-LAQU0S01-processed-gene-5.14-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.14&CDS=1-888	YPL149W
OG0000507	augustus_masked-LAQU0S01-processed-gene-5.144-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-5.144&CDS=1-1647	YOR239W
OG0000508	snap_masked-LAQU0S01-processed-gene-5.91-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-5.91&CDS=1-582	YPL148C
OG0000509	genemark-LAQU0S01-processed-gene-5.15-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.15&CDS=1-2193	YPL147W
OG0000510	genemark-LAQU0S01-processed-gene-5.38-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.38&CDS=1-750	YOR238W
OG0000511	genemark-LAQU0S01-processed-gene-5.39-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.39&CDS=1-1347	YPL146C
OG0000512	genemark-LAQU0S01-processed-gene-5.40-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.40&CDS=1-1251	YPL145C
OG0000513	genemark-LAQU0S01-processed-gene-5.41-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.41&CDS=1-711	YOR236W
OG0000514	snap_masked-LAQU0S01-processed-gene-5.72-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-5.72&CDS=1-390	YPL144W
OG0000515	maker-LAQU0S01-snap-gene-5.1-mRNA-1_1&gene=maker-LAQU0S01-snap-gene-5.1&CDS=1-4191	YPL141C
OG0000516	snap_masked-LAQU0S01-processed-gene-5.101-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-5.101&CDS=1-651	YPL138C
OG0000517	genemark-LAQU0S01-processed-gene-5.17-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.17&CDS=1-849	YOR228C
OG0000518	genemark-LAQU0S01-processed-gene-5.46-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.46&CDS=1-3240	YOR227W
OG0000519	augustus_masked-LAQU0S01-processed-gene-5.132-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-5.132&CDS=1-1053	YOR224C
OG0000520	genemark-LAQU0S01-processed-gene-5.47-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.47&CDS=1-756	YOR223W
OG0000521	genemark-LAQU0S01-processed-gene-5.48-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.48&CDS=1-888	YOR222W
OG0000522	augustus_masked-LAQU0S01-processed-gene-5.133-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-5.133&CDS=1-1038	YOR221C
OG0000523	snap_masked-LAQU0S01-processed-gene-5.105-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-5.105&CDS=1-903	YPL133C
OG0000524	genemark-LAQU0S01-processed-gene-5.22-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.22&CDS=1-762	YPL132W
OG0000525	snap_masked-LAQU0S01-processed-gene-5.106-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-5.106&CDS=1-642	YOR220W
OG0000526	genemark-LAQU0S01-processed-gene-5.23-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.23&CDS=1-885	YPL131W
OG0000527	genemark-LAQU0S01-processed-gene-5.51-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.51&CDS=1-2592	YOR217W
OG0000528	genemark-LAQU0S01-processed-gene-5.25-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.25&CDS=1-1386	YOR216C
OG0000529	snap_masked-LAQU0S01-processed-gene-5.81-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-5.81&CDS=1-561	YOR215C
OG0000530	maker-LAQU0S01-snap-gene-5.0-mRNA-1_1&gene=maker-LAQU0S01-snap-gene-5.0&CDS=1-1374	YPL129W
OG0000531	genemark-LAQU0S01-processed-gene-5.52-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.52&CDS=1-1263	YOR212W
OG0000532	genemark-LAQU0S01-processed-gene-5.53-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.53&CDS=1-1548	YPL128C
OG0000533	snap_masked-LAQU0S01-processed-gene-5.110-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-5.110&CDS=1-648	YPL127C
OG0000534	genemark-LAQU0S01-processed-gene-5.27-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.27&CDS=1-2382	YOR211C
OG0000535	snap_masked-LAQU0S01-processed-gene-5.111-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-5.111&CDS=1-210	YOR210W
OG0000536	genemark-LAQU0S01-processed-gene-5.28-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.28&CDS=1-2610	YPL126W
OG0000537	augustus_masked-LAQU0S01-processed-gene-5.140-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-5.140&CDS=1-4275	YPL125W
OG0000538	genemark-LAQU0S01-processed-gene-5.55-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.55&CDS=1-2565	YOR208W
OG0000539	genemark-LAQU0S01-processed-gene-5.56-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-5.56&CDS=1-1131	YPL123C
OG0000540	maker-LAQU0S01-augustus-gene-5.172-mRNA-1_1&gene=maker-LAQU0S01-augustus-gene-5.172&CDS=1-1668	YOR205C
OG0000541	genemark-LAQU0S01-processed-gene-6.51-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.51&CDS=1-2148	YOR206W
OG0000542	snap_masked-LAQU0S01-processed-gene-6.116-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-6.116&CDS=1-630	YPL121C
OG0000543	genemark-LAQU0S01-processed-gene-6.54-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.54&CDS=1-3432	YOR207C
OG0000544	genemark-LAQU0S01-processed-gene-6.53-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.53&CDS=1-1521	YPL122C
OG0000545	genemark-LAQU0S01-processed-gene-6.80-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.80&CDS=1-1881	YOR204W
OG0000546	genemark-LAQU0S01-processed-gene-6.55-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.55&CDS=1-1053	YPL118W
OG0000547	genemark-LAQU0S01-processed-gene-6.81-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.81&CDS=1-681	YOR202W
OG0000548	genemark-LAQU0S01-processed-gene-6.56-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.56&CDS=1-1179	YOR201C
OG0000549	maker-LAQU0S01-augustus-gene-6.109-mRNA-1_1&gene=maker-LAQU0S01-augustus-gene-6.109&CDS=1-888	YPL117C
OG0000550	genemark-LAQU0S01-processed-gene-6.57-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.57&CDS=1-1410	YOR198C
OG0000551	genemark-LAQU0S01-processed-gene-6.83-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.83&CDS=1-1305	YOR197W
OG0000552	genemark-LAQU0S01-processed-gene-6.58-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.58&CDS=1-2103	YPL116W
OG0000553	genemark-LAQU0S01-processed-gene-6.60-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.60&CDS=1-1110	YOR196C
OG0000554	genemark-LAQU0S01-processed-gene-6.84-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.84&CDS=1-3093	YPL115C
OG0000555	genemark-LAQU0S01-processed-gene-6.85-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.85&CDS=1-2154	YOR195W
OG0000556	genemark-LAQU0S01-processed-gene-6.61-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.61&CDS=1-666	YOR194C
OG0000557	augustus_masked-LAQU0S01-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-6.26&CDS=1-2253	YPL113C
OG0000558	maker-LAQU0S01-snap-gene-6.46-mRNA-1_1&gene=maker-LAQU0S01-snap-gene-6.46&CDS=1-1560	YPL111W
OG0000559	genemark-LAQU0S01-processed-gene-6.64-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.64&CDS=1-1656	YNL112W
OG0000560	genemark-LAQU0S01-processed-gene-6.88-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.88&CDS=1-2175	YOR112W
OG0000561	genemark-LAQU0S01-processed-gene-6.89-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.89&CDS=1-369	YNL111C
OG0000562	genemark-LAQU0S01-processed-gene-6.65-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.65&CDS=1-642	YNL107W
OG0000563	genemark-LAQU0S01-processed-gene-6.93-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.93&CDS=1-3342	YOR109W
OG0000564	genemark-LAQU0S01-processed-gene-6.94-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.94&CDS=1-1824	YNL104C
OG0000565	augustus_masked-LAQU0S01-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-6.32&CDS=1-1485	YOR107W
OG0000566	genemark-LAQU0S01-processed-gene-6.66-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.66&CDS=1-1791	YNL103W
OG0000567	genemark-LAQU0S01-processed-gene-6.97-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.97&CDS=1-795	YOR106W
OG0000568	augustus_masked-LAQU0S01-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-6.14&CDS=1-7134	YNL102W
OG0000569	augustus_masked-LAQU0S01-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-6.34&CDS=1-1332	YNL099C
OG0000570	genemark-LAQU0S01-processed-gene-6.70-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.70&CDS=1-378	YOR103C
OG0000571	genemark-LAQU0S01-processed-gene-6.71-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.71&CDS=1-627	YKL065C
OG0000572	genemark-LAQU0S01-processed-gene-6.101-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.101&CDS=1-1056	YMR041C
OG0000573	augustus_masked-LAQU0S01-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-6.17&CDS=1-4236	YKL064W
OG0000574	genemark-LAQU0S01-processed-gene-6.102-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.102&CDS=1-576	YKL063C
OG0000575	snap_masked-LAQU0S01-processed-gene-6.142-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-6.142&CDS=1-1812	YKL048C
OG0000576	genemark-LAQU0S01-processed-gene-6.77-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.77&CDS=1-1707	YMR036C
OG0000577	snap_masked-LAQU0S01-processed-gene-6.170-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-6.170&CDS=1-528	YMR035W
OG0000578	augustus_masked-LAQU0S01-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-6.20&CDS=1-1290	YMR034C
OG0000579	augustus_masked-LAQU0S01-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-6.39&CDS=1-1332	YMR033W
OG0000580	genemark-LAQU0S01-processed-gene-6.79-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-6.79&CDS=1-534	YKL049C
OG0000581	augustus_masked-LAQU0S01-processed-gene-6.40-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-6.40&CDS=1-1800	YMR032W
OG0000582	genemark-LAQU0S01-processed-gene-7.47-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.47&CDS=1-2775	YMR031C
OG0000583	genemark-LAQU0S01-processed-gene-7.53-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.53&CDS=1-954	YKL051W
OG0000584	maker-LAQU0S01-augustus-gene-7.96-mRNA-1_1&gene=maker-LAQU0S01-augustus-gene-7.96&CDS=1-960	YKL053C-A
OG0000585	genemark-LAQU0S01-processed-gene-7.50-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.50&CDS=1-2172	YKL054C
OG0000586	snap_masked-LAQU0S01-processed-gene-7.105-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-7.105&CDS=1-795	YKL055C
OG0000587	genemark-LAQU0S01-processed-gene-7.52-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.52&CDS=1-501	YKL056C
OG0000588	genemark-LAQU0S01-processed-gene-7.54-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.54&CDS=1-1809	YMR029C
OG0000589	snap_masked-LAQU0S01-processed-gene-7.109-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-7.109&CDS=1-3066	YKL057C
OG0000590	genemark-LAQU0S01-processed-gene-7.74-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.74&CDS=1-1086	YMR028W
OG0000591	genemark-LAQU0S01-processed-gene-7.75-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.75&CDS=1-345	YKL058W
OG0000592	genemark-LAQU0S01-processed-gene-7.56-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.56&CDS=1-1188	YKL059C
OG0000593	genemark-LAQU0S01-processed-gene-7.76-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.76&CDS=1-1380	YMR027W
OG0000594	snap_masked-LAQU0S01-processed-gene-7.111-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-7.111&CDS=1-1344	YKL060C
OG0000595	snap_masked-LAQU0S01-processed-gene-7.113-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-7.113&CDS=1-1152	YMR026C
OG0000596	snap_masked-LAQU0S01-processed-gene-7.133-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-7.133&CDS=1-753	YMR025W
OG0000597	genemark-LAQU0S01-processed-gene-7.78-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.78&CDS=1-1122	YMR024W
OG0000598	genemark-LAQU0S01-processed-gene-7.59-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.59&CDS=1-1491	YMR023C
OG0000599	genemark-LAQU0S01-processed-gene-7.80-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.80&CDS=1-336	YKL061W
OG0000600	genemark-LAQU0S01-processed-gene-7.60-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.60&CDS=1-1530	YKL047W
OG0000601	snap_masked-LAQU0S01-processed-gene-7.116-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-7.116&CDS=1-927	YMR021C
OG0000602	genemark-LAQU0S01-processed-gene-7.83-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.83&CDS=1-1500	YMR020W
OG0000603	genemark-LAQU0S01-processed-gene-7.62-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.62&CDS=1-1518	YKL045W
OG0000604	genemark-LAQU0S01-processed-gene-7.84-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.84&CDS=1-2055	YMR019W
OG0000605	genemark-LAQU0S01-processed-gene-7.63-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.63&CDS=1-2322	YKL043W
OG0000606	genemark-LAQU0S01-processed-gene-7.64-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.64&CDS=1-978	YKL042W
OG0000607	genemark-LAQU0S01-processed-gene-7.65-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.65&CDS=1-1596	YMR015C
OG0000608	genemark-LAQU0S01-processed-gene-7.85-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.85&CDS=1-1485	YMR014W
OG0000609	genemark-LAQU0S01-processed-gene-7.66-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.66&CDS=1-1500	YMR013C
OG0000610	genemark-LAQU0S01-processed-gene-7.86-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.86&CDS=1-3687	YMR012W
OG0000611	genemark-LAQU0S01-processed-gene-7.67-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.67&CDS=1-666	YKL041W
OG0000612	augustus_masked-LAQU0S01-processed-gene-7.37-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-7.37&CDS=1-1161	YHL020C
OG0000613	genemark-LAQU0S01-processed-gene-7.88-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.88&CDS=1-1290	YHL019C
OG0000614	genemark-LAQU0S01-processed-gene-7.69-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.69&CDS=1-327	YHL018W
OG0000615	genemark-LAQU0S01-processed-gene-7.89-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.89&CDS=1-744	YKL040C
OG0000616	genemark-LAQU0S01-processed-gene-7.70-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.70&CDS=1-1365	YKL039W
OG0000617	genemark-LAQU0S01-processed-gene-7.90-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.90&CDS=1-2181	YHL016C
OG0000618	genemark-LAQU0S01-processed-gene-7.71-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.71&CDS=1-354	YHL015W
OG0000619	augustus_masked-LAQU0S01-processed-gene-7.26-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-7.26&CDS=1-7320	YKL035W
OG0000620	genemark-LAQU0S01-processed-gene-7.94-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.94&CDS=1-960	YHL011C
OG0000621	genemark-LAQU0S01-processed-gene-7.95-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-7.95&CDS=1-1566	YHL010C
OG0000622	genemark-LAQU0S01-processed-gene-8.52-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.52&CDS=1-3162	YKL033W
OG0000623	genemark-LAQU0S01-processed-gene-8.53-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.53&CDS=1-2004	YHL008C
OG0000624	genemark-LAQU0S01-processed-gene-8.54-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.54&CDS=1-3798	YMR076C
OG0000625	genemark-LAQU0S01-processed-gene-8.57-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.57&CDS=1-2076	YMR075W
OG0000626	genemark-LAQU0S01-processed-gene-8.55-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.55&CDS=1-420	YMR074C
OG0000627	genemark-LAQU0S01-processed-gene-8.60-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.60&CDS=1-612	YMR073C
OG0000628	genemark-LAQU0S01-processed-gene-8.81-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.81&CDS=1-1128	YKL032C
OG0000629	genemark-LAQU0S01-processed-gene-8.61-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.61&CDS=1-501	YMR071C
OG0000630	genemark-LAQU0S01-processed-gene-8.83-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.83&CDS=1-1602	YMR070W
OG0000631	snap_masked-LAQU0S01-processed-gene-8.141-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-8.141&CDS=1-447	YMR069W
OG0000632	genemark-LAQU0S01-processed-gene-8.62-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.62&CDS=1-1212	YHR004C
OG0000633	genemark-LAQU0S01-processed-gene-8.63-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.63&CDS=1-2388	YJL212C
OG0000634	genemark-LAQU0S01-processed-gene-8.85-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.85&CDS=1-1878	YKL029C
OG0000635	maker-LAQU0S01-augustus-gene-8.165-mRNA-1_1&gene=maker-LAQU0S01-augustus-gene-8.165&CDS=1-3168	YKL028W
OG0000636	genemark-LAQU0S01-processed-gene-8.66-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.66&CDS=1-1341	YKL027W
OG0000637	genemark-LAQU0S01-processed-gene-8.86-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.86&CDS=1-1047	YHR002W
OG0000638	genemark-LAQU0S01-processed-gene-8.67-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.67&CDS=1-891	YBR291C
OG0000639	augustus_masked-LAQU0S01-processed-gene-8.31-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-8.31&CDS=1-3336	YBR290W
OG0000640	augustus_masked-LAQU0S01-processed-gene-8.15-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-8.15&CDS=1-4095	YKR009C
OG0000641	snap_masked-LAQU0S01-processed-gene-8.146-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-8.146&CDS=1-234	YHR001W-A
OG0000642	snap_masked-LAQU0S01-processed-gene-8.147-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-8.147&CDS=1-1656	YKR008W
OG0000643	genemark-LAQU0S01-processed-gene-8.90-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.90&CDS=1-456	YKR007W
OG0000644	augustus_masked-LAQU0S01-processed-gene-8.16-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-8.16&CDS=1-1803	YKR006C
OG0000645	maker-LAQU0S01-augustus-gene-8.167-mRNA-1_1&gene=maker-LAQU0S01-augustus-gene-8.167&CDS=1-3033	YKR002W
OG0000646	genemark-LAQU0S01-processed-gene-8.73-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.73&CDS=1-594	YKL001C
OG0000647	snap_masked-LAQU0S01-processed-gene-8.151-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-8.151&CDS=1-687	YKL002W
OG0000648	genemark-LAQU0S01-processed-gene-8.74-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.74&CDS=1-387	YKL003C
OG0000649	genemark-LAQU0S01-processed-gene-8.94-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.94&CDS=1-1242	YKL004W
OG0000650	genemark-LAQU0S01-processed-gene-8.75-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.75&CDS=1-1644	YKL005C
OG0000651	snap_masked-LAQU0S01-processed-gene-8.131-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-8.131&CDS=1-291	YKL006C-A
OG0000652	augustus_masked-LAQU0S01-processed-gene-8.37-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-8.37&CDS=1-2280	YHL002W
OG0000653	genemark-LAQU0S01-processed-gene-8.76-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.76&CDS=1-1263	YHL003C
OG0000654	genemark-LAQU0S01-processed-gene-8.98-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.98&CDS=1-1206	YHL004W
OG0000655	snap_masked-LAQU0S01-processed-gene-8.133-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-8.133&CDS=1-459	YHL006C
OG0000656	genemark-LAQU0S01-processed-gene-8.99-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.99&CDS=1-714	YKL009W
OG0000657	augustus_masked-LAQU0S01-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-8.22&CDS=1-4335	YKL010C
OG0000658	genemark-LAQU0S01-processed-gene-8.100-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.100&CDS=1-1749	YKL089W
OG0000659	genemark-LAQU0S01-processed-gene-8.101-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.101&CDS=1-1371	YKL090W
OG0000660	maker-LAQU0S01-augustus-gene-8.168-mRNA-1_1&gene=maker-LAQU0S01-augustus-gene-8.168&CDS=1-1581	YHL009C
OG0000661	augustus_masked-LAQU0S01-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-8.43&CDS=1-2106	YMR078C
OG0000662	augustus_masked-LAQU0S01-processed-gene-8.24-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-8.24&CDS=1-927	YMR079W
OG0000663	genemark-LAQU0S01-processed-gene-8.80-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-8.80&CDS=1-3180	YKL092C
OG0000664	genemark-LAQU0S01-processed-gene-9.107-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-9.107&CDS=1-2943	YMR080C
OG0000665	snap_masked-LAQU0S01-processed-gene-9.53-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-9.53&CDS=1-822	YKL093W
OG0000666	augustus_masked-LAQU0S01-processed-gene-9.2-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-9.2&CDS=1-1818	YKL094W
OG0000667	genemark-LAQU0S01-processed-gene-9.112-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-9.112&CDS=1-867	YKL096W
OG0000668	genemark-LAQU0S01-processed-gene-9.136-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-9.136&CDS=1-825	YKL098W
OG0000669	snap_masked-LAQU0S01-processed-gene-9.57-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-9.57&CDS=1-750	YKL099C
OG0000670	maker-LAQU0S01-augustus-gene-9.104-mRNA-1_1&gene=maker-LAQU0S01-augustus-gene-9.104&CDS=1-3642	YKL104C
OG0000671	augustus_masked-LAQU0S01-processed-gene-9.7-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-9.7&CDS=1-2445	YMR086W
OG0000672	genemark-LAQU0S01-processed-gene-9.138-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-9.138&CDS=1-1284	YKL106W
OG0000673	genemark-LAQU0S01-processed-gene-9.118-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-9.118&CDS=1-741	YMR087W
OG0000674	snap_masked-LAQU0S01-processed-gene-9.81-mRNA-1_1&gene=snap_masked-LAQU0S01-processed-gene-9.81&CDS=1-1677	YMR088C
