	Candida_tanzawaensis	Saccharomyces_cerevisiae
OG0000937	augustus_masked-scaffold_1-processed-gene-20.4-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.4&CDS=1-897	YOR340C
OG0000938	maker-scaffold_1-augustus-gene-20.47-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-20.47&CDS=1-678	YOR332W
OG0000939	maker-scaffold_1-augustus-gene-20.48-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-20.48&CDS=1-849	YOR100C
OG0000940	augustus_masked-scaffold_1-processed-gene-20.21-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.21&CDS=1-2595	YNL126W
OG0000941	augustus_masked-scaffold_1-processed-gene-20.22-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.22&CDS=1-1734	YDR232W
OG0000942	augustus_masked-scaffold_1-processed-gene-20.23-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.23&CDS=1-477	YBR137W
OG0000943	genemark-scaffold_1-processed-gene-20.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.77&CDS=1-3045	YPL009C
OG0000944	genemark-scaffold_1-processed-gene-20.57-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.57&CDS=1-990	YPL015C
OG0000945	augustus_masked-scaffold_1-processed-gene-20.26-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.26&CDS=1-933	YLR063W
OG0000946	augustus_masked-scaffold_1-processed-gene-20.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.6&CDS=1-2685	YFL034W
OG0000947	augustus_masked-scaffold_1-processed-gene-20.7-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.7&CDS=1-1773	YLR060W
OG0000948	augustus_masked-scaffold_1-processed-gene-20.8-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.8&CDS=1-618	YFL005W
OG0000949	augustus_masked-scaffold_1-processed-gene-20.28-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.28&CDS=1-711	YFL010C
OG0000950	augustus_masked-scaffold_1-processed-gene-20.29-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.29&CDS=1-3447	YML104C
OG0000951	augustus_masked-scaffold_1-processed-gene-20.30-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.30&CDS=1-627	YMR269W
OG0000952	augustus_masked-scaffold_1-processed-gene-20.9-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.9&CDS=1-2772	YMR268C
OG0000953	augustus_masked-scaffold_1-processed-gene-20.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.10&CDS=1-3276	YPL160W
OG0000954	augustus_masked-scaffold_1-processed-gene-20.12-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.12&CDS=1-816	YML105C
OG0000955	augustus_masked-scaffold_1-processed-gene-20.14-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.14&CDS=1-1674	YMR105C
OG0000956	augustus_masked-scaffold_1-processed-gene-20.33-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.33&CDS=1-2148	YKR034W
OG0000957	augustus_masked-scaffold_1-processed-gene-20.15-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.15&CDS=1-1125	YPL096W
OG0000958	augustus_masked-scaffold_1-processed-gene-20.35-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.35&CDS=1-1830	YER036C
OG0000959	augustus_masked-scaffold_1-processed-gene-20.16-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.16&CDS=1-6612	YFL007W
OG0000960	augustus_masked-scaffold_1-processed-gene-20.36-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.36&CDS=1-1182	YGR058W
OG0000961	augustus_masked-scaffold_1-processed-gene-21.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.89&CDS=1-1017	YNL274C
OG0000962	augustus_masked-scaffold_1-processed-gene-21.90-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.90&CDS=1-1503	YBR286W
OG0000963	augustus_masked-scaffold_1-processed-gene-21.92-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.92&CDS=1-1212	YGL048C
OG0000964	snap_masked-scaffold_1-processed-gene-21.70-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.70&CDS=1-2061	YDL233W
OG0000965	genemark-scaffold_1-processed-gene-21.33-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.33&CDS=1-597	YNL213C
OG0000966	augustus_masked-scaffold_1-processed-gene-21.94-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.94&CDS=1-1176	YER027C
OG0000967	augustus_masked-scaffold_1-processed-gene-21.113-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.113&CDS=1-1578	YIL142W
OG0000968	genemark-scaffold_1-processed-gene-21.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.12&CDS=1-1674	YNL083W
OG0000969	maker-scaffold_1-snap-gene-21.126-mRNA-1_1&gene=maker-scaffold_1-snap-gene-21.126&CDS=1-2295	YNL082W
OG0000970	maker-scaffold_1-augustus-gene-21.1-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-21.1&CDS=1-6585	YDR141C
OG0000971	augustus_masked-scaffold_1-processed-gene-21.114-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.114&CDS=1-1281	YNR054C
OG0000972	maker-scaffold_1-augustus-gene-21.2-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-21.2&CDS=1-3624	YLL034C
OG0000973	augustus_masked-scaffold_1-processed-gene-21.115-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.115&CDS=1-1125	YHR112C
OG0000974	augustus_masked-scaffold_1-processed-gene-21.100-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.100&CDS=1-432	YPR082C
OG0000975	augustus_masked-scaffold_1-processed-gene-21.116-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.116&CDS=1-615	YLR178C
OG0000976	augustus_masked-scaffold_1-processed-gene-21.117-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.117&CDS=1-924	YOR358W
OG0000977	augustus_masked-scaffold_1-processed-gene-21.118-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.118&CDS=1-1416	YHR207C
OG0000978	augustus_masked-scaffold_1-processed-gene-21.101-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.101&CDS=1-627	YER183C
OG0000979	augustus_masked-scaffold_1-processed-gene-21.119-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.119&CDS=1-555	YMR073C
OG0000980	augustus_masked-scaffold_1-processed-gene-21.120-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.120&CDS=1-2388	YPL072W
OG0000981	augustus_masked-scaffold_1-processed-gene-21.104-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.104&CDS=1-711	YOR115C
OG0000982	augustus_masked-scaffold_1-processed-gene-21.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.105&CDS=1-939	YDL115C
OG0000983	augustus_masked-scaffold_1-processed-gene-21.106-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.106&CDS=1-1308	YMR062C
OG0000984	augustus_masked-scaffold_1-processed-gene-21.123-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.123&CDS=1-2763	YMR075W
OG0000985	augustus_masked-scaffold_1-processed-gene-21.109-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.109&CDS=1-711	YGR057C
OG0000986	augustus_masked-scaffold_1-processed-gene-22.91-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.91&CDS=1-2385	YJL087C
OG0000987	augustus_masked-scaffold_1-processed-gene-22.85-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.85&CDS=1-1827	YJL085W
OG0000988	augustus_masked-scaffold_1-processed-gene-22.113-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.113&CDS=1-738	YBR261C
OG0000989	augustus_masked-scaffold_1-processed-gene-22.95-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.95&CDS=1-3324	YOL145C
OG0000990	augustus_masked-scaffold_1-processed-gene-22.114-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.114&CDS=1-528	YOL146W
OG0000991	augustus_masked-scaffold_1-processed-gene-22.97-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.97&CDS=1-738	YLR390W-A
OG0000992	genemark-scaffold_1-processed-gene-22.57-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.57&CDS=1-1476	YDL238C
OG0000993	genemark-scaffold_1-processed-gene-22.58-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.58&CDS=1-969	YOL093W
OG0000994	maker-scaffold_1-snap-gene-22.42-mRNA-1_1&gene=maker-scaffold_1-snap-gene-22.42&CDS=1-1182	YPR165W
OG0000995	augustus_masked-scaffold_1-processed-gene-22.102-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.102&CDS=1-927	YDR279W
OG0000996	augustus_masked-scaffold_1-processed-gene-22.103-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.103&CDS=1-897	YDR280W
OG0000997	augustus_masked-scaffold_1-processed-gene-22.104-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.104&CDS=1-3357	YFR030W
OG0000998	augustus_masked-scaffold_1-processed-gene-22.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.105&CDS=1-1548	YDR169C
OG0000999	augustus_masked-scaffold_1-processed-gene-22.106-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.106&CDS=1-2391	YBR202W
OG0001000	augustus_masked-scaffold_1-processed-gene-22.120-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.120&CDS=1-1707	YPR145W
OG0001001	maker-scaffold_1-augustus-gene-22.124-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-22.124&CDS=1-2235	YIL049W
OG0001002	augustus_masked-scaffold_1-processed-gene-22.110-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.110&CDS=1-828	YPL065W
OG0001003	augustus_masked-scaffold_1-processed-gene-22.121-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.121&CDS=1-831	YFR052W
OG0001004	augustus_masked-scaffold_1-processed-gene-22.111-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.111&CDS=1-387	YNR046W
OG0001005	augustus_masked-scaffold_1-processed-gene-23.88-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.88&CDS=1-1917	YMR068W
OG0001006	genemark-scaffold_1-processed-gene-23.2-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.2&CDS=1-3306	YCR092C
OG0001007	augustus_masked-scaffold_1-processed-gene-23.92-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.92&CDS=1-912	YEL009C
OG0001008	augustus_masked-scaffold_1-processed-gene-23.94-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.94&CDS=1-690	YEL001C
OG0001009	augustus_masked-scaffold_1-processed-gene-23.97-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.97&CDS=1-996	YDR173C
OG0001010	augustus_masked-scaffold_1-processed-gene-23.114-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.114&CDS=1-2115	YDR172W
OG0001011	augustus_masked-scaffold_1-processed-gene-23.98-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.98&CDS=1-1350	YCL034W
OG0001012	augustus_masked-scaffold_1-processed-gene-23.116-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.116&CDS=1-1101	YEL004W
OG0001013	augustus_masked-scaffold_1-processed-gene-23.117-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.117&CDS=1-426	YIL004C
OG0001014	augustus_masked-scaffold_1-processed-gene-23.100-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.100&CDS=1-894	YIL003W
OG0001015	augustus_masked-scaffold_1-processed-gene-23.118-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.118&CDS=1-636	YER002W
OG0001016	augustus_masked-scaffold_1-processed-gene-23.120-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.120&CDS=1-1305	YER003C
OG0001017	maker-scaffold_1-augustus-gene-23.43-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-23.43&CDS=1-999	YCR090C
OG0001018	augustus_masked-scaffold_1-processed-gene-23.103-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.103&CDS=1-996	YER053C
OG0001019	augustus_masked-scaffold_1-processed-gene-23.126-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.126&CDS=1-1374	YEL036C
OG0001020	augustus_masked-scaffold_1-processed-gene-23.127-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.127&CDS=1-3513	YFR031C
OG0001021	augustus_masked-scaffold_1-processed-gene-23.106-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.106&CDS=1-3486	YMR287C
OG0001022	augustus_masked-scaffold_1-processed-gene-24.47-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.47&CDS=1-1518	YMR093W
OG0001023	augustus_masked-scaffold_1-processed-gene-24.48-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.48&CDS=1-1167	YOR063W
OG0001024	augustus_masked-scaffold_1-processed-gene-24.46-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.46&CDS=1-1314	YNL280C
OG0001025	augustus_masked-scaffold_1-processed-gene-24.71-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.71&CDS=1-870	YGR106C
OG0001026	augustus_masked-scaffold_1-processed-gene-24.50-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.50&CDS=1-240	YGR105W
OG0001027	augustus_masked-scaffold_1-processed-gene-24.51-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.51&CDS=1-1041	YGR104C
OG0001028	augustus_masked-scaffold_1-processed-gene-24.72-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.72&CDS=1-2205	YGR103W
OG0001029	augustus_masked-scaffold_1-processed-gene-24.52-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.52&CDS=1-3810	YPR140W
OG0001030	augustus_masked-scaffold_1-processed-gene-24.73-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.73&CDS=1-1971	YPR141C
OG0001031	augustus_masked-scaffold_1-processed-gene-24.53-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.53&CDS=1-690	YPR143W
OG0001032	augustus_masked-scaffold_1-processed-gene-24.55-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.55&CDS=1-1071	YOR057W
OG0001033	genemark-scaffold_1-processed-gene-24.117-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.117&CDS=1-804	YNL056W
OG0001034	augustus_masked-scaffold_1-processed-gene-24.57-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.57&CDS=1-624	YNR017W
OG0001035	augustus_masked-scaffold_1-processed-gene-24.76-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.76&CDS=1-1236	YNR015W
OG0001036	augustus_masked-scaffold_1-processed-gene-24.78-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.78&CDS=1-1164	YAL034W-A
OG0001037	augustus_masked-scaffold_1-processed-gene-24.61-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.61&CDS=1-1239	YOL016C
OG0001038	augustus_masked-scaffold_1-processed-gene-24.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.62&CDS=1-2160	YJL168C
OG0001039	augustus_masked-scaffold_1-processed-gene-24.63-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.63&CDS=1-1284	YNL097C
OG0001040	augustus_masked-scaffold_1-processed-gene-24.64-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.64&CDS=1-759	YOR101W
OG0001041	augustus_masked-scaffold_1-processed-gene-24.83-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.83&CDS=1-498	YOR103C
OG0001042	augustus_masked-scaffold_1-processed-gene-24.65-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.65&CDS=1-609	YNL099C
OG0001043	augustus_masked-scaffold_1-processed-gene-24.67-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.67&CDS=1-1995	YNL216W
OG0001044	augustus_masked-scaffold_1-processed-gene-24.84-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.84&CDS=1-1008	YGR279C
OG0001045	augustus_masked-scaffold_1-processed-gene-24.68-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.68&CDS=1-3885	YMR304W
OG0001046	augustus_masked-scaffold_1-processed-gene-24.85-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.85&CDS=1-897	YGR277C
OG0001047	augustus_masked-scaffold_1-processed-gene-24.86-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.86&CDS=1-2697	YER077C
OG0001048	genemark-scaffold_1-processed-gene-25.121-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.121&CDS=1-762	YOR281C
OG0001049	genemark-scaffold_1-processed-gene-25.123-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.123&CDS=1-1614	YMR223W
OG0001050	augustus_masked-scaffold_1-processed-gene-25.33-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.33&CDS=1-954	YOR251C
OG0001051	augustus_masked-scaffold_1-processed-gene-25.34-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.34&CDS=1-2067	YOR243C
OG0001052	augustus_masked-scaffold_1-processed-gene-25.11-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.11&CDS=1-957	YOR242C
OG0001053	augustus_masked-scaffold_1-processed-gene-25.12-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.12&CDS=1-2079	YPL155C
OG0001054	augustus_masked-scaffold_1-processed-gene-25.15-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.15&CDS=1-774	YOR278W
OG0001055	augustus_masked-scaffold_1-processed-gene-25.37-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.37&CDS=1-1095	YDL205C
OG0001056	genemark-scaffold_1-processed-gene-25.155-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.155&CDS=1-3126	YPL022W
OG0001057	augustus_masked-scaffold_1-processed-gene-25.16-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.16&CDS=1-567	YPL024W
OG0001058	maker-scaffold_1-augustus-gene-25.118-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-25.118&CDS=1-2790	YPL023C
OG0001059	augustus_masked-scaffold_1-processed-gene-25.42-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.42&CDS=1-2910	YBR074W
OG0001060	augustus_masked-scaffold_1-processed-gene-25.18-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.18&CDS=1-1086	YDR047W
OG0001061	augustus_masked-scaffold_1-processed-gene-25.19-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.19&CDS=1-1803	YDR049W
OG0001062	augustus_masked-scaffold_1-processed-gene-25.20-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.20&CDS=1-4347	YMR259C
OG0001063	augustus_masked-scaffold_1-processed-gene-25.21-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.21&CDS=1-1011	YBR065C
OG0001064	augustus_masked-scaffold_1-processed-gene-25.22-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.22&CDS=1-687	YBR070C
OG0001065	augustus_masked-scaffold_1-processed-gene-25.45-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.45&CDS=1-333	YDR045C
OG0001066	augustus_masked-scaffold_1-processed-gene-25.24-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.24&CDS=1-2358	YBR060C
OG0001067	augustus_masked-scaffold_1-processed-gene-25.26-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.26&CDS=1-2790	YNL313C
OG0001068	augustus_masked-scaffold_1-processed-gene-25.46-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.46&CDS=1-456	YMR260C
OG0001069	augustus_masked-scaffold_1-processed-gene-25.28-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.28&CDS=1-891	YML112W
OG0001070	augustus_masked-scaffold_1-processed-gene-25.48-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.48&CDS=1-1821	YML114C
OG0001071	genemark-scaffold_1-processed-gene-25.164-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.164&CDS=1-1023	YMR276W
OG0001072	augustus_masked-scaffold_1-processed-gene-25.50-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.50&CDS=1-1569	YKL185W
OG0001073	augustus_masked-scaffold_1-processed-gene-25.29-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.29&CDS=1-537	YKL186C
OG0001074	augustus_masked-scaffold_1-processed-gene-25.54-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.54&CDS=1-2178	YPL249C
OG0001075	augustus_masked-scaffold_1-processed-gene-25.55-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.55&CDS=1-1296	YMR191W
OG0001076	genemark-scaffold_1-processed-gene-25.171-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.171&CDS=1-1023	YPL248C
OG0001077	genemark-scaffold_1-processed-gene-25.172-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.172&CDS=1-4434	YMR190C
OG0001078	augustus_masked-scaffold_1-processed-gene-25.31-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.31&CDS=1-8040	YGL195W
OG0001079	maker-scaffold_10-snap-gene-0.32-mRNA-1_1&gene=maker-scaffold_10-snap-gene-0.32&CDS=1-744	YAR008W
OG0001080	augustus_masked-scaffold_10-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.21&CDS=1-2565	YJL154C
OG0001081	augustus_masked-scaffold_10-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.23&CDS=1-216	YBL071W-A
OG0001082	augustus_masked-scaffold_10-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.9&CDS=1-2007	YLR396C
OG0001083	snap_masked-scaffold_10-processed-gene-0.97-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-0.97&CDS=1-180	YDL067C
OG0001084	augustus_masked-scaffold_10-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.10&CDS=1-249	YLR395C
OG0001085	augustus_masked-scaffold_10-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.12&CDS=1-1647	YIL101C
OG0001086	genemark-scaffold_10-processed-gene-0.53-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-0.53&CDS=1-1479	YNL042W
OG0001087	augustus_masked-scaffold_10-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.27&CDS=1-1491	YIL104C
OG0001088	augustus_masked-scaffold_10-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.14&CDS=1-1239	YIL103W
OG0001089	augustus_masked-scaffold_10-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.28&CDS=1-2373	YNL041C
OG0001090	augustus_masked-scaffold_10-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.15&CDS=1-1380	YOR216C
