	Arxula_adeninivorans	Saccharomyces_cerevisiae
OG0000834	augustus_masked-Arad1B-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.70&CDS=1-3015	YGL207W
OG0000835	augustus_masked-Arad1B-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.71&CDS=1-507	YER030W
OG0000836	augustus_masked-Arad1B-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.49&CDS=1-366	YER029C
OG0000837	augustus_masked-Arad1B-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-0.73&CDS=1-486	YER150W
OG0000838	snap_masked-Arad1B-processed-gene-0.115-mRNA-1_1&gene=snap_masked-Arad1B-processed-gene-0.115&CDS=1-1038	YDR076W
OG0000839	augustus_masked-Arad1B-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.49&CDS=1-1515	YGL035C
OG0000840	augustus_masked-Arad1B-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.48&CDS=1-5913	YER155C
OG0000841	augustus_masked-Arad1B-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.50&CDS=1-2526	YGL216W
OG0000842	augustus_masked-Arad1B-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.51&CDS=1-1284	YER152C
OG0000843	augustus_masked-Arad1B-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.71&CDS=1-1230	YER154W
OG0000844	augustus_masked-Arad1B-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.53&CDS=1-558	YLR011W
OG0000845	augustus_masked-Arad1B-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.73&CDS=1-1371	YHR001W
OG0000846	augustus_masked-Arad1B-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.56&CDS=1-1380	YGR175C
OG0000847	maker-Arad1B-augustus-gene-1.46-mRNA-1_1&gene=maker-Arad1B-augustus-gene-1.46&CDS=1-345	YGR174C
OG0000848	augustus_masked-Arad1B-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.57&CDS=1-582	YJL024C
OG0000849	augustus_masked-Arad1B-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.83&CDS=1-1314	YGR254W
OG0000850	augustus_masked-Arad1B-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.63&CDS=1-4248	YFL036W
OG0000851	augustus_masked-Arad1B-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.85&CDS=1-750	YFL034C-B
OG0000852	augustus_masked-Arad1B-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.86&CDS=1-2028	YDR006C
OG0000853	augustus_masked-Arad1B-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.65&CDS=1-1473	YKL004W
OG0000854	augustus_masked-Arad1B-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.87&CDS=1-426	YPR168W
OG0000855	augustus_masked-Arad1B-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.67&CDS=1-564	YIR001C
OG0000856	augustus_masked-Arad1B-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.68&CDS=1-1113	YKL185W
OG0000857	augustus_masked-Arad1B-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.61&CDS=1-2052	YML102W
OG0000858	augustus_masked-Arad1B-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.70&CDS=1-1107	YLR216C
OG0000859	augustus_masked-Arad1B-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.71&CDS=1-849	YEL019C
OG0000860	augustus_masked-Arad1B-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.91&CDS=1-264	YEL020W-A
OG0000861	maker-Arad1B-augustus-gene-2.9-mRNA-1_1&gene=maker-Arad1B-augustus-gene-2.9&CDS=1-7353	YDL031W
OG0000862	augustus_masked-Arad1B-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.99&CDS=1-2121	YBL084C
OG0000863	augustus_masked-Arad1B-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.100&CDS=1-462	YER112W
OG0000864	snap_masked-Arad1B-processed-gene-2.125-mRNA-1_1&gene=snap_masked-Arad1B-processed-gene-2.125&CDS=1-2217	YDL056W
OG0000865	augustus_masked-Arad1B-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.79&CDS=1-3102	YDR060W
OG0000866	augustus_masked-Arad1B-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.80&CDS=1-1173	YNL005C
OG0000867	augustus_masked-Arad1B-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.101&CDS=1-1548	YGL186C
OG0000868	augustus_masked-Arad1B-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.103&CDS=1-1083	YBR019C
OG0000869	augustus_masked-Arad1B-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.81&CDS=1-2025	YDR223W
OG0000870	augustus_masked-Arad1B-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.105&CDS=1-1827	YOL152W
OG0000871	genemark-Arad1B-processed-gene-2.59-mRNA-1_1&gene=genemark-Arad1B-processed-gene-2.59&CDS=1-1176	YPL172C
OG0000872	maker-Arad1B-augustus-gene-3.151-mRNA-1_1&gene=maker-Arad1B-augustus-gene-3.151&CDS=1-312	YOR265W
OG0000873	augustus_masked-Arad1B-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.3&CDS=1-1083	YOR262W
OG0000874	augustus_masked-Arad1B-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.4&CDS=1-993	YOR261C
OG0000875	augustus_masked-Arad1B-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.28&CDS=1-534	YOR252W
OG0000876	augustus_masked-Arad1B-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.7&CDS=1-1188	YDR282C
OG0000877	snap_masked-Arad1B-processed-gene-3.78-mRNA-1_1&gene=snap_masked-Arad1B-processed-gene-3.78&CDS=1-2544	YMR212C
OG0000878	maker-Arad1B-augustus-gene-3.152-mRNA-1_1&gene=maker-Arad1B-augustus-gene-3.152&CDS=1-4479	YOR275C
OG0000879	genemark-Arad1B-processed-gene-3.135-mRNA-1_1&gene=genemark-Arad1B-processed-gene-3.135&CDS=1-1341	YOR274W
OG0000880	augustus_masked-Arad1B-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.32&CDS=1-1407	YLR378C
OG0000881	augustus_masked-Arad1B-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.33&CDS=1-1242	YOR259C
OG0000882	maker-Arad1B-snap-gene-3.95-mRNA-1_1&gene=maker-Arad1B-snap-gene-3.95&CDS=1-4608	YPL160W
OG0000883	maker-Arad1B-augustus-gene-3.156-mRNA-1_1&gene=maker-Arad1B-augustus-gene-3.156&CDS=1-2475	YPL150W
OG0000884	augustus_masked-Arad1B-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.16&CDS=1-2127	YOR241W
OG0000885	augustus_masked-Arad1B-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.19&CDS=1-957	YOR246C
OG0000886	augustus_masked-Arad1B-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.35&CDS=1-927	YOR239W
OG0000887	augustus_masked-Arad1B-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.20&CDS=1-2133	YOR154W
OG0000888	augustus_masked-Arad1B-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.21&CDS=1-600	YKL001C
OG0000889	augustus_masked-Arad1B-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.36&CDS=1-654	YKL002W
OG0000890	augustus_masked-Arad1B-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.22&CDS=1-1140	YMR139W
OG0000891	augustus_masked-Arad1B-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.37&CDS=1-519	YOL129W
OG0000892	maker-Arad1B-augustus-gene-3.157-mRNA-1_1&gene=maker-Arad1B-augustus-gene-3.157&CDS=1-207	YNL138W-A
OG0000893	snap_masked-Arad1B-processed-gene-3.71-mRNA-1_1&gene=snap_masked-Arad1B-processed-gene-3.71&CDS=1-4869	YNL139C
OG0000894	snap_masked-Arad1B-processed-gene-3.72-mRNA-1_1&gene=snap_masked-Arad1B-processed-gene-3.72&CDS=1-2700	YGR099W
OG0000895	augustus_masked-Arad1B-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.42&CDS=1-255	YGL220W
OG0000896	augustus_masked-Arad1B-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.24&CDS=1-879	YGL221C
OG0000897	augustus_masked-Arad1B-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.26&CDS=1-1290	YLR303W
OG0000898	augustus_masked-Arad1B-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.5&CDS=1-933	YLR340W
OG0000899	genemark-Arad1B-processed-gene-4.122-mRNA-1_1&gene=genemark-Arad1B-processed-gene-4.122&CDS=1-1344	YOR059C
OG0000900	augustus_masked-Arad1B-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.45&CDS=1-2175	YCR088W
OG0000901	augustus_masked-Arad1B-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.9&CDS=1-654	YOR202W
OG0000902	augustus_masked-Arad1B-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.10&CDS=1-2385	YHR102W
OG0000903	augustus_masked-Arad1B-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.14&CDS=1-849	YML110C
OG0000904	augustus_masked-Arad1B-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.35&CDS=1-4212	YLR086W
OG0000905	augustus_masked-Arad1B-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.15&CDS=1-1242	YLR085C
OG0000906	augustus_masked-Arad1B-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.16&CDS=1-1125	YDR088C
OG0000907	maker-Arad1B-augustus-gene-4.2-mRNA-1_1&gene=maker-Arad1B-augustus-gene-4.2&CDS=1-207	YDR086C
OG0000908	augustus_masked-Arad1B-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.38&CDS=1-753	YDR087C
OG0000909	maker-Arad1B-augustus-gene-4.3-mRNA-1_1&gene=maker-Arad1B-augustus-gene-4.3&CDS=1-1770	YMR120C
OG0000910	genemark-Arad1B-processed-gene-4.160-mRNA-1_1&gene=genemark-Arad1B-processed-gene-4.160&CDS=1-609	YMR121C
OG0000911	snap_masked-Arad1B-processed-gene-4.98-mRNA-1_1&gene=snap_masked-Arad1B-processed-gene-4.98&CDS=1-1209	YDR531W
OG0000912	genemark-Arad1B-processed-gene-4.163-mRNA-1_1&gene=genemark-Arad1B-processed-gene-4.163&CDS=1-1101	YOR201C
OG0000913	augustus_masked-Arad1B-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.23&CDS=1-387	YDR529C
OG0000914	maker-Arad1B-augustus-gene-4.1-mRNA-1_1&gene=maker-Arad1B-augustus-gene-4.1&CDS=1-759	YGR135W
OG0000915	genemark-Arad1B-processed-gene-4.143-mRNA-1_1&gene=genemark-Arad1B-processed-gene-4.143&CDS=1-429	YPR153W
OG0000916	augustus_masked-Arad1B-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.47&CDS=1-1143	YDR346C
OG0000917	augustus_masked-Arad1B-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.26&CDS=1-1017	YGL155W
OG0000918	augustus_masked-Arad1B-processed-gene-4.48-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.48&CDS=1-900	YDL119C
OG0000919	augustus_masked-Arad1B-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.49&CDS=1-684	YGL154C
OG0000920	augustus_masked-Arad1B-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.27&CDS=1-1059	YER107C
OG0000921	augustus_masked-Arad1B-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.28&CDS=1-1665	YEL020C
OG0000922	maker-Arad1B-augustus-gene-4.4-mRNA-1_1&gene=maker-Arad1B-augustus-gene-4.4&CDS=1-4188	YGL150C
OG0000923	augustus_masked-Arad1B-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.34&CDS=1-819	YDR482C
OG0000924	augustus_masked-Arad1B-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.126&CDS=1-519	YGL068W
OG0000925	maker-Arad1B-augustus-gene-5.0-mRNA-1_1&gene=maker-Arad1B-augustus-gene-5.0&CDS=1-345	YGL070C
OG0000926	augustus_masked-Arad1B-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.128&CDS=1-396	YKL170W
OG0000927	augustus_masked-Arad1B-processed-gene-5.124-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.124&CDS=1-588	YLR292C
OG0000928	maker-Arad1B-snap-gene-5.60-mRNA-1_1&gene=maker-Arad1B-snap-gene-5.60&CDS=1-3456	YOR191W
OG0000929	augustus_masked-Arad1B-processed-gene-5.151-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.151&CDS=1-522	YOR352W
OG0000930	augustus_masked-Arad1B-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.130&CDS=1-726	YLR301W
OG0000931	augustus_masked-Arad1B-processed-gene-5.131-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.131&CDS=1-411	YGL054C
OG0000932	augustus_masked-Arad1B-processed-gene-5.133-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.133&CDS=1-384	YLR298C
OG0000933	augustus_masked-Arad1B-processed-gene-5.134-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.134&CDS=1-438	YMR002W
OG0000934	augustus_masked-Arad1B-processed-gene-5.155-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.155&CDS=1-633	YIL118W
OG0000935	augustus_masked-Arad1B-processed-gene-5.136-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.136&CDS=1-1947	YDR496C
OG0000936	augustus_masked-Arad1B-processed-gene-5.158-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.158&CDS=1-522	YBL021C
OG0000937	snap_masked-Arad1B-processed-gene-5.79-mRNA-1_1&gene=snap_masked-Arad1B-processed-gene-5.79&CDS=1-261	YDL008W
OG0000938	augustus_masked-Arad1B-processed-gene-5.137-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.137&CDS=1-2877	YDR495C
OG0000939	augustus_masked-Arad1B-processed-gene-5.161-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.161&CDS=1-1293	YOL041C
OG0000940	augustus_masked-Arad1B-processed-gene-5.139-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.139&CDS=1-906	YLR209C
OG0000941	augustus_masked-Arad1B-processed-gene-5.162-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.162&CDS=1-894	YLR208W
OG0000942	augustus_masked-Arad1B-processed-gene-5.140-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.140&CDS=1-1371	YPL122C
OG0000943	snap_masked-Arad1B-processed-gene-5.106-mRNA-1_1&gene=snap_masked-Arad1B-processed-gene-5.106&CDS=1-2496	YLR207W
OG0000944	augustus_masked-Arad1B-processed-gene-5.166-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.166&CDS=1-2808	YOR353C
OG0000945	augustus_masked-Arad1B-processed-gene-5.167-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.167&CDS=1-651	YOR185C
OG0000946	augustus_masked-Arad1B-processed-gene-5.143-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.143&CDS=1-522	YNL056W
OG0000947	augustus_masked-Arad1B-processed-gene-5.171-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.171&CDS=1-2325	YOL006C
OG0000948	augustus_masked-Arad1B-processed-gene-5.144-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.144&CDS=1-2025	YMR001C
OG0000949	maker-Arad1B-augustus-gene-5.2-mRNA-1_1&gene=maker-Arad1B-augustus-gene-5.2&CDS=1-354	YOL005C
OG0000950	maker-Arad1B-augustus-gene-5.1-mRNA-1_1&gene=maker-Arad1B-augustus-gene-5.1&CDS=1-4626	YOL004W
OG0000951	augustus_masked-Arad1B-processed-gene-5.173-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.173&CDS=1-1161	YOL003C
OG0000952	augustus_masked-Arad1B-processed-gene-5.146-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.146&CDS=1-1383	YHR018C
OG0000953	augustus_masked-Arad1B-processed-gene-5.147-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.147&CDS=1-1131	YGR111W
OG0000954	augustus_masked-Arad1B-processed-gene-5.149-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.149&CDS=1-1347	YHR016C
OG0000955	augustus_masked-Arad1B-processed-gene-6.0-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.0&CDS=1-1392	YHR176W
OG0000956	augustus_masked-Arad1B-processed-gene-6.2-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.2&CDS=1-918	YHR134W
OG0000957	augustus_masked-Arad1B-processed-gene-6.3-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.3&CDS=1-1602	YNL189W
OG0000958	augustus_masked-Arad1B-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.34&CDS=1-1005	YGR163W
OG0000959	augustus_masked-Arad1B-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.8&CDS=1-801	YGL050W
OG0000960	augustus_masked-Arad1B-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.9&CDS=1-1656	YLL018C
OG0000961	augustus_masked-Arad1B-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.35&CDS=1-1608	YMR307W
OG0000962	snap_masked-Arad1B-processed-gene-6.61-mRNA-1_1&gene=snap_masked-Arad1B-processed-gene-6.61&CDS=1-5769	YGR032W
OG0000963	augustus_masked-Arad1B-processed-gene-6.11-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.11&CDS=1-1812	YGR054W
OG0000964	augustus_masked-Arad1B-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.12&CDS=1-951	YFL044C
OG0000965	augustus_masked-Arad1B-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.37&CDS=1-390	YLR074C
OG0000966	genemark-Arad1B-processed-gene-6.142-mRNA-1_1&gene=genemark-Arad1B-processed-gene-6.142&CDS=1-714	YOR281C
OG0000967	augustus_masked-Arad1B-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.13&CDS=1-666	YLR075W
OG0000968	augustus_masked-Arad1B-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.14&CDS=1-756	YFL045C
OG0000969	augustus_masked-Arad1B-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.39&CDS=1-591	YFL046W
OG0000970	augustus_masked-Arad1B-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.15&CDS=1-1323	YLR077W
OG0000971	augustus_masked-Arad1B-processed-gene-6.16-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.16&CDS=1-684	YLR078C
OG0000972	augustus_masked-Arad1B-processed-gene-6.18-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.18&CDS=1-1116	YMR305C
OG0000973	augustus_masked-Arad1B-processed-gene-6.42-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.42&CDS=1-741	YGL011C
OG0000974	augustus_masked-Arad1B-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.23&CDS=1-1368	YGL194C
OG0000975	augustus_masked-Arad1B-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.24&CDS=1-2031	YPR021C
OG0000976	augustus_masked-Arad1B-processed-gene-6.25-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.25&CDS=1-3519	YMR304W
OG0000977	augustus_masked-Arad1B-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.26&CDS=1-2979	YLR336C
OG0000978	augustus_masked-Arad1B-processed-gene-6.43-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.43&CDS=1-1002	YGR277C
OG0000979	augustus_masked-Arad1B-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.27&CDS=1-2352	YGR278W
OG0000980	augustus_masked-Arad1B-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.28&CDS=1-1494	YFL018C
OG0000981	augustus_masked-Arad1B-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.29&CDS=1-1359	YPL060W
OG0000982	augustus_masked-Arad1B-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.45&CDS=1-1452	YPR161C
OG0000983	augustus_masked-Arad1B-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.30&CDS=1-1161	YBR026C
OG0000984	augustus_masked-Arad1B-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.31&CDS=1-1077	YFL031W
OG0000985	augustus_masked-Arad1B-processed-gene-6.47-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.47&CDS=1-801	YNL107W
OG0000986	augustus_masked-Arad1B-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.32&CDS=1-1710	YNL104C
OG0000987	augustus_masked-Arad1B-processed-gene-6.33-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-6.33&CDS=1-1287	YDL001W
OG0000988	augustus_masked-Arad1B-processed-gene-7.4-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.4&CDS=1-1008	YDL002C
OG0000989	maker-Arad1B-augustus-gene-7.156-mRNA-1_1&gene=maker-Arad1B-augustus-gene-7.156&CDS=1-1560	YML056C
OG0000990	augustus_masked-Arad1B-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.2&CDS=1-1134	YIL039W
OG0000991	augustus_masked-Arad1B-processed-gene-7.5-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.5&CDS=1-1713	YBR170C
OG0000992	augustus_masked-Arad1B-processed-gene-7.3-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.3&CDS=1-600	YBR171W
OG0000993	augustus_masked-Arad1B-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.6&CDS=1-1404	YFR005C
OG0000994	augustus_masked-Arad1B-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.24&CDS=1-426	YBR173C
OG0000995	augustus_masked-Arad1B-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.25&CDS=1-927	YFR004W
OG0000996	genemark-Arad1B-processed-gene-7.110-mRNA-1_1&gene=genemark-Arad1B-processed-gene-7.110&CDS=1-2100	YPL104W
OG0000997	augustus_masked-Arad1B-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.9&CDS=1-4029	YLR419W
OG0000998	augustus_masked-Arad1B-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.11&CDS=1-1371	YFR006W
OG0000999	augustus_masked-Arad1B-processed-gene-7.30-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.30&CDS=1-2043	YPR003C
OG0001000	augustus_masked-Arad1B-processed-gene-7.31-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.31&CDS=1-999	YPR004C
OG0001001	augustus_masked-Arad1B-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.32&CDS=1-684	YFR007W
OG0001002	augustus_masked-Arad1B-processed-gene-7.33-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.33&CDS=1-3153	YNL014W
OG0001003	maker-Arad1B-snap-gene-7.100-mRNA-1_1&gene=maker-Arad1B-snap-gene-7.100&CDS=1-4899	YJL141C
OG0001004	genemark-Arad1B-processed-gene-7.141-mRNA-1_1&gene=genemark-Arad1B-processed-gene-7.141&CDS=1-3846	YJR033C
OG0001005	augustus_masked-Arad1B-processed-gene-7.39-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.39&CDS=1-1584	YEL060C
OG0001006	augustus_masked-Arad1B-processed-gene-7.19-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.19&CDS=1-504	YMR236W
OG0001007	augustus_masked-Arad1B-processed-gene-7.44-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.44&CDS=1-1107	YNR029C
