	Metschnikowia_bowlesiae	Saccharomyces_cerevisiae
OG0000969	snap_masked-bow-b_s223-processed-gene-1.14-mRNA-1_1&gene=snap_masked-bow-b_s223-processed-gene-1.14&CDS=1-225	YOR045W
OG0000970	augustus_masked-bow-b_s223-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-1.57&CDS=1-1023	YDR347W
OG0000971	augustus_masked-bow-b_s223-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-1.73&CDS=1-1593	YOR046C
OG0000972	augustus_masked-bow-b_s223-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-1.76&CDS=1-759	YCR015C
OG0000973	augustus_masked-bow-b_s223-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-1.77&CDS=1-2034	YDR234W
OG0000974	snap_masked-bow-b_s223-processed-gene-1.26-mRNA-1_1&gene=snap_masked-bow-b_s223-processed-gene-1.26&CDS=1-807	YMR274C
OG0000975	augustus_masked-bow-b_s223-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-1.64&CDS=1-1131	YMR272C
OG0000976	augustus_masked-bow-b_s223-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-1.79&CDS=1-783	YML105C
OG0000977	augustus_masked-bow-b_s223-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-1.81&CDS=1-3264	YPL160W
OG0000978	augustus_masked-bow-b_s223-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-2.93&CDS=1-2640	YMR268C
OG0000979	maker-bow-b_s223-augustus-gene-2.131-mRNA-1_1&gene=maker-bow-b_s223-augustus-gene-2.131&CDS=1-4044	YMR269W
OG0000980	maker-bow-b_s223-augustus-gene-2.133-mRNA-1_1&gene=maker-bow-b_s223-augustus-gene-2.133&CDS=1-6858	YMR229C
OG0000981	genemark-bow-b_s223-processed-gene-2.70-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-2.70&CDS=1-957	YHL011C
OG0000982	augustus_masked-bow-b_s223-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-2.111&CDS=1-1755	YMR227C
OG0000983	augustus_masked-bow-b_s223-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-2.94&CDS=1-4059	YOR291W
OG0000984	augustus_masked-bow-b_s223-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-2.96&CDS=1-342	YER072W
OG0000985	maker-bow-b_s223-augustus-gene-2.132-mRNA-1_1&gene=maker-bow-b_s223-augustus-gene-2.132&CDS=1-6513	YIL068C
OG0000986	augustus_masked-bow-b_s223-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-2.114&CDS=1-984	YKL095W
OG0000987	augustus_masked-bow-b_s223-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-2.98&CDS=1-291	YDR016C
OG0000988	genemark-bow-b_s223-processed-gene-2.57-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-2.57&CDS=1-1227	YHR005C
OG0000989	augustus_masked-bow-b_s223-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-2.116&CDS=1-1323	YBL045C
OG0000990	augustus_masked-bow-b_s223-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-2.118&CDS=1-738	YJR113C
OG0000991	genemark-bow-b_s223-processed-gene-2.59-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-2.59&CDS=1-1305	YJL060W
OG0000992	maker-bow-b_s223-augustus-gene-2.135-mRNA-1_1&gene=maker-bow-b_s223-augustus-gene-2.135&CDS=1-1647	YBR271W
OG0000993	augustus_masked-bow-b_s223-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-2.102&CDS=1-1527	YDR436W
OG0000994	maker-bow-b_s223-augustus-gene-2.136-mRNA-1_1&gene=maker-bow-b_s223-augustus-gene-2.136&CDS=1-612	YLR262C
OG0000995	augustus_masked-bow-b_s223-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-2.104&CDS=1-351	YMR074C
OG0000996	augustus_masked-bow-b_s223-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-2.105&CDS=1-2502	YEL061C
OG0000997	augustus_masked-bow-b_s223-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-2.106&CDS=1-1584	YOL013C
OG0000998	snap_masked-bow-b_s223-processed-gene-2.40-mRNA-1_1&gene=snap_masked-bow-b_s223-processed-gene-2.40&CDS=1-2943	YML043C
OG0000999	augustus_masked-bow-b_s223-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-2.124&CDS=1-1701	YLR259C
OG0001000	augustus_masked-bow-b_s223-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-2.107&CDS=1-1989	YEL062W
OG0001001	augustus_masked-bow-b_s223-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-2.108&CDS=1-399	YOL012C
OG0001002	augustus_masked-bow-b_s223-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-2.109&CDS=1-2016	YAL054C
OG0001003	augustus_masked-bow-b_s223-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.6&CDS=1-810	YOR278W
OG0001004	augustus_masked-bow-b_s223-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.9&CDS=1-615	YIL010W
OG0001005	augustus_masked-bow-b_s223-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.36&CDS=1-1437	YIL039W
OG0001006	augustus_masked-bow-b_s223-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.37&CDS=1-615	YDR298C
OG0001007	augustus_masked-bow-b_s223-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.10&CDS=1-1083	YEL050C
OG0001008	augustus_masked-bow-b_s223-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.39&CDS=1-2592	YKR079C
OG0001009	snap_masked-bow-b_s223-processed-gene-3.185-mRNA-1_1&gene=snap_masked-bow-b_s223-processed-gene-3.185&CDS=1-846	YOR079C
OG0001010	genemark-bow-b_s223-processed-gene-3.76-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-3.76&CDS=1-2067	YML096W
OG0001011	augustus_masked-bow-b_s223-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.14&CDS=1-1704	YBR203W
OG0001012	augustus_masked-bow-b_s223-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.15&CDS=1-834	YKR062W
OG0001013	genemark-bow-b_s223-processed-gene-3.80-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-3.80&CDS=1-375	YER009W
OG0001014	augustus_masked-bow-b_s223-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.42&CDS=1-2412	YNL298W
OG0001015	augustus_masked-bow-b_s223-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.45&CDS=1-738	YER010C
OG0001016	augustus_masked-bow-b_s223-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.47&CDS=1-696	YJL148W
OG0001017	augustus_masked-bow-b_s223-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.49&CDS=1-909	YJR077C
OG0001018	genemark-bow-b_s223-processed-gene-3.122-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-3.122&CDS=1-1827	YKL212W
OG0001019	augustus_masked-bow-b_s223-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.53&CDS=1-1506	YKL211C
OG0001020	augustus_masked-bow-b_s223-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.54&CDS=1-2910	YKL165C
OG0001021	maker-bow-b_s223-augustus-gene-3.224-mRNA-1_1&gene=maker-bow-b_s223-augustus-gene-3.224&CDS=1-2244	YGR210C
OG0001022	augustus_masked-bow-b_s223-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.22&CDS=1-516	YMR071C
OG0001023	augustus_masked-bow-b_s223-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.23&CDS=1-2178	YLR047C
OG0001024	genemark-bow-b_s223-processed-gene-3.131-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-3.131&CDS=1-1431	YOL072W
OG0001025	augustus_masked-bow-b_s223-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.59&CDS=1-1341	YPL083C
OG0001026	augustus_masked-bow-b_s223-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.27&CDS=1-921	YOL092W
OG0001027	genemark-bow-b_s223-processed-gene-3.95-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-3.95&CDS=1-915	YOL093W
OG0001028	genemark-bow-b_s223-processed-gene-3.96-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-3.96&CDS=1-594	YPR165W
OG0001029	augustus_masked-bow-b_s223-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.61&CDS=1-1980	YKL179C
OG0001030	augustus_masked-bow-b_s223-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.62&CDS=1-567	YBR189W
OG0001031	genemark-bow-b_s223-processed-gene-3.97-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-3.97&CDS=1-1926	YLR143W
OG0001032	genemark-bow-b_s223-processed-gene-3.98-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-3.98&CDS=1-2172	YGR150C
OG0001033	snap_masked-bow-b_s223-processed-gene-3.213-mRNA-1_1&gene=snap_masked-bow-b_s223-processed-gene-3.213&CDS=1-2580	YLR382C
OG0001034	snap_masked-bow-b_s223-processed-gene-3.215-mRNA-1_1&gene=snap_masked-bow-b_s223-processed-gene-3.215&CDS=1-1155	YGL213C
OG0001035	augustus_masked-bow-b_s223-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.64&CDS=1-1179	YLR116W
OG0001036	snap_masked-bow-b_s223-processed-gene-3.178-mRNA-1_1&gene=snap_masked-bow-b_s223-processed-gene-3.178&CDS=1-1137	YBR057C
OG0001037	augustus_masked-bow-b_s223-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.66&CDS=1-1638	YNL275W
OG0001038	augustus_masked-bow-b_s226-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-bow-b_s226-processed-gene-0.40&CDS=1-1017	YGL100W
OG0001039	augustus_masked-bow-b_s226-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-bow-b_s226-processed-gene-0.29&CDS=1-1488	YBR243C
OG0001040	augustus_masked-bow-b_s226-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-bow-b_s226-processed-gene-0.30&CDS=1-4920	YOR341W
OG0001041	augustus_masked-bow-b_s226-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-bow-b_s226-processed-gene-0.41&CDS=1-459	YAL008W
OG0001042	augustus_masked-bow-b_s226-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-bow-b_s226-processed-gene-0.42&CDS=1-402	YIL098C
OG0001043	augustus_masked-bow-b_s226-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-bow-b_s226-processed-gene-0.32&CDS=1-1077	YNL037C
OG0001044	augustus_masked-bow-b_s226-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bow-b_s226-processed-gene-0.33&CDS=1-1281	YNL220W
OG0001045	augustus_masked-bow-b_s226-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-bow-b_s226-processed-gene-0.43&CDS=1-435	YDL235C
OG0001046	augustus_masked-bow-b_s226-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-bow-b_s226-processed-gene-0.44&CDS=1-924	YDL236W
OG0001047	augustus_masked-bow-b_s226-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-bow-b_s226-processed-gene-0.46&CDS=1-3000	YAL035W
OG0001048	augustus_masked-bow-b_s226-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bow-b_s226-processed-gene-0.34&CDS=1-1101	YAL036C
OG0001049	augustus_masked-bow-b_s226-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-bow-b_s226-processed-gene-0.35&CDS=1-4941	YMR308C
OG0001050	snap_masked-bow-b_s226-processed-gene-0.73-mRNA-1_1&gene=snap_masked-bow-b_s226-processed-gene-0.73&CDS=1-1476	YLR318W
OG0001051	augustus_masked-bow-b_s226-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-bow-b_s226-processed-gene-0.36&CDS=1-2949	YNL325C
OG0001052	augustus_masked-bow-b_s226-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bow-b_s226-processed-gene-0.37&CDS=1-615	YKL117W
OG0001053	augustus_masked-bow-b_s226-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-bow-b_s226-processed-gene-0.38&CDS=1-1323	YHL004W
OG0001054	augustus_masked-bow-b_s226-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bow-b_s226-processed-gene-0.39&CDS=1-1353	YHL002W
OG0001055	genemark-bow-b_s226-processed-gene-0.25-mRNA-1_1&gene=genemark-bow-b_s226-processed-gene-0.25&CDS=1-798	YKL007W
OG0001056	snap_masked-bow-b_s226-processed-gene-0.78-mRNA-1_1&gene=snap_masked-bow-b_s226-processed-gene-0.78&CDS=1-4452	YKL010C
OG0001057	augustus_masked-bow-b_s227-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bow-b_s227-processed-gene-0.15&CDS=1-543	YPL211W
OG0001058	augustus_masked-bow-b_s227-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bow-b_s227-processed-gene-0.22&CDS=1-1437	YGL129C
OG0001059	augustus_masked-bow-b_s227-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bow-b_s227-processed-gene-0.16&CDS=1-1716	YGL064C
OG0001060	augustus_masked-bow-b_s227-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-bow-b_s227-processed-gene-0.17&CDS=1-2706	YGL067W
OG0001061	augustus_masked-bow-b_s227-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bow-b_s227-processed-gene-0.18&CDS=1-960	YAL032C
OG0001062	augustus_masked-bow-b_s227-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bow-b_s227-processed-gene-0.20&CDS=1-969	YPL215W
OG0001063	augustus_masked-bow-b_s227-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bow-b_s227-processed-gene-0.25&CDS=1-1956	YPL210C
OG0001064	augustus_masked-bow-b_s227-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-bow-b_s227-processed-gene-0.27&CDS=1-1170	YDR019C
OG0001065	augustus_masked-bow-b_s238-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-bow-b_s238-processed-gene-0.71&CDS=1-432	YHR051W
OG0001066	augustus_masked-bow-b_s238-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-bow-b_s238-processed-gene-0.60&CDS=1-1044	YDR322W
OG0001067	augustus_masked-bow-b_s238-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-bow-b_s238-processed-gene-0.61&CDS=1-3327	YHR077C
OG0001068	augustus_masked-bow-b_s238-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-bow-b_s238-processed-gene-0.72&CDS=1-1185	YHR076W
OG0001069	augustus_masked-bow-b_s238-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-bow-b_s238-processed-gene-0.62&CDS=1-270	YDR322C-A
OG0001070	snap_masked-bow-b_s238-processed-gene-0.10-mRNA-1_1&gene=snap_masked-bow-b_s238-processed-gene-0.10&CDS=1-1851	YDR323C
OG0001071	augustus_masked-bow-b_s238-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-bow-b_s238-processed-gene-0.74&CDS=1-2118	YLR103C
OG0001072	augustus_masked-bow-b_s238-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-bow-b_s238-processed-gene-0.75&CDS=1-1557	YLR149C
OG0001073	augustus_masked-bow-b_s238-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-bow-b_s238-processed-gene-0.65&CDS=1-1467	YGL112C
OG0001074	augustus_masked-bow-b_s238-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-bow-b_s238-processed-gene-0.76&CDS=1-2451	YGL113W
OG0001075	snap_masked-bow-b_s238-processed-gene-0.26-mRNA-1_1&gene=snap_masked-bow-b_s238-processed-gene-0.26&CDS=1-372	YLR104W
OG0001076	augustus_masked-bow-b_s238-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-bow-b_s238-processed-gene-0.77&CDS=1-1230	YER019W
OG0001077	augustus_masked-bow-b_s238-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-bow-b_s238-processed-gene-0.78&CDS=1-642	YDR167W
OG0001078	genemark-bow-b_s238-processed-gene-0.47-mRNA-1_1&gene=genemark-bow-b_s238-processed-gene-0.47&CDS=1-3888	YDR128W
OG0001079	augustus_masked-bow-b_s24-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-0.32&CDS=1-2247	YAL053W
OG0001080	augustus_masked-bow-b_s24-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-0.33&CDS=1-1326	YDR148C
OG0001081	augustus_masked-bow-b_s24-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-0.45&CDS=1-3543	YPL012W
OG0001082	augustus_masked-bow-b_s24-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-0.34&CDS=1-402	YPL013C
OG0001083	augustus_masked-bow-b_s24-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-0.47&CDS=1-927	YLR340W
OG0001084	augustus_masked-bow-b_s24-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-0.48&CDS=1-1815	YDR452W
OG0001085	augustus_masked-bow-b_s24-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-0.49&CDS=1-1059	YMR214W
OG0001086	augustus_masked-bow-b_s24-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-0.37&CDS=1-1473	YMR211W
OG0001087	augustus_masked-bow-b_s24-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-0.50&CDS=1-1332	YNR050C
OG0001088	augustus_masked-bow-b_s24-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-0.51&CDS=1-1059	YMR146C
OG0001089	genemark-bow-b_s24-processed-gene-0.83-mRNA-1_1&gene=genemark-bow-b_s24-processed-gene-0.83&CDS=1-807	YDL086W
OG0001090	maker-bow-b_s24-snap-gene-0.93-mRNA-1_1&gene=maker-bow-b_s24-snap-gene-0.93&CDS=1-1209	YDL100C
OG0001091	augustus_masked-bow-b_s24-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-0.38&CDS=1-2541	YPL003W
OG0001092	genemark-bow-b_s24-processed-gene-0.86-mRNA-1_1&gene=genemark-bow-b_s24-processed-gene-0.86&CDS=1-1803	YFL002C
OG0001093	genemark-bow-b_s24-processed-gene-0.68-mRNA-1_1&gene=genemark-bow-b_s24-processed-gene-0.68&CDS=1-1299	YFL001W
OG0001094	genemark-bow-b_s24-processed-gene-0.69-mRNA-1_1&gene=genemark-bow-b_s24-processed-gene-0.69&CDS=1-1914	YDL057W
OG0001095	augustus_masked-bow-b_s24-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-0.54&CDS=1-447	YHR191C
OG0001096	genemark-bow-b_s24-processed-gene-0.90-mRNA-1_1&gene=genemark-bow-b_s24-processed-gene-0.90&CDS=1-2742	YDL056W
OG0001097	augustus_masked-bow-b_s24-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-0.58&CDS=1-528	YHR193C
OG0001098	genemark-bow-b_s24-processed-gene-1.83-mRNA-1_1&gene=genemark-bow-b_s24-processed-gene-1.83&CDS=1-2088	YLR002C
OG0001099	snap_masked-bow-b_s24-processed-gene-1.4-mRNA-1_1&gene=snap_masked-bow-b_s24-processed-gene-1.4&CDS=1-1410	YMR015C
OG0001100	augustus_masked-bow-b_s24-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.49&CDS=1-1476	YHR183W
OG0001101	augustus_masked-bow-b_s24-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.50&CDS=1-1596	YJR010W
OG0001102	snap_masked-bow-b_s24-processed-gene-1.8-mRNA-1_1&gene=snap_masked-bow-b_s24-processed-gene-1.8&CDS=1-387	YER134C
OG0001103	augustus_masked-bow-b_s24-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.52&CDS=1-1029	YDL002C
OG0001104	augustus_masked-bow-b_s24-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.65&CDS=1-7542	YBL004W
OG0001105	augustus_masked-bow-b_s24-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.53&CDS=1-861	YDL001W
OG0001106	augustus_masked-bow-b_s24-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.66&CDS=1-1938	YDR208W
OG0001107	augustus_masked-bow-b_s24-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.54&CDS=1-1512	YBR151W
OG0001108	augustus_masked-bow-b_s24-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.69&CDS=1-2406	YDR444W
OG0001109	augustus_masked-bow-b_s24-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.70&CDS=1-2940	YIL125W
OG0001110	augustus_masked-bow-b_s24-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.71&CDS=1-522	YKR065C
OG0001111	augustus_masked-bow-b_s24-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.56&CDS=1-3792	YIL126W
OG0001112	augustus_masked-bow-b_s24-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.58&CDS=1-462	YIL065C
OG0001113	maker-bow-b_s24-augustus-gene-1.45-mRNA-1_1&gene=maker-bow-b_s24-augustus-gene-1.45&CDS=1-876	YNL316C
OG0001114	augustus_masked-bow-b_s24-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.72&CDS=1-351	YOL133W
OG0001115	augustus_masked-bow-b_s24-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.60&CDS=1-708	YOL135C
OG0001116	augustus_masked-bow-b_s24-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.73&CDS=1-2145	YKL135C
OG0001117	augustus_masked-bow-b_s24-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.74&CDS=1-483	YJR074W
OG0001118	augustus_masked-bow-b_s24-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.61&CDS=1-1182	YJR075W
OG0001119	augustus_masked-bow-b_s24-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.75&CDS=1-6183	YLR305C
OG0001120	augustus_masked-bow-b_s24-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.76&CDS=1-735	YPR016C
OG0001121	augustus_masked-bow-b_s24-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.77&CDS=1-2664	YLL026W
OG0001122	augustus_masked-bow-b_s24-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.78&CDS=1-1350	YGL181W
OG0001123	augustus_masked-bow-b_s244-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-bow-b_s244-processed-gene-0.24&CDS=1-405	YLR298C
OG0001124	genemark-bow-b_s244-processed-gene-0.1-mRNA-1_1&gene=genemark-bow-b_s244-processed-gene-0.1&CDS=1-303	YLR295C
OG0001125	augustus_masked-bow-b_s244-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bow-b_s244-processed-gene-0.25&CDS=1-762	YLR281C
OG0001126	augustus_masked-bow-b_s244-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bow-b_s244-processed-gene-0.20&CDS=1-2187	YLR274W
OG0001127	augustus_masked-bow-b_s244-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-bow-b_s244-processed-gene-0.21&CDS=1-561	YGR078C
OG0001128	augustus_masked-bow-b_s244-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bow-b_s244-processed-gene-0.26&CDS=1-987	YOL073C
OG0001129	augustus_masked-bow-b_s244-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-bow-b_s244-processed-gene-0.27&CDS=1-1731	YGR103W
OG0001130	augustus_masked-bow-b_s244-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-bow-b_s244-processed-gene-0.28&CDS=1-1101	YKL193C
OG0001131	augustus_masked-bow-b_s245-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bow-b_s245-processed-gene-0.14&CDS=1-1005	YML110C
OG0001132	augustus_masked-bow-b_s245-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bow-b_s245-processed-gene-0.15&CDS=1-1512	YAL038W
