	Lachancea_thermotolerans	Saccharomyces_cerevisiae
OG0001018	augustus_masked-CU928167-processed-gene-5.62-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.62&CDS=1-528	YER116C
OG0001019	augustus_masked-CU928167-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.80&CDS=1-1266	YBL086C
OG0001020	genemark-CU928167-processed-gene-5.106-mRNA-1_1&gene=genemark-CU928167-processed-gene-5.106&CDS=1-3075	YER114C
OG0001021	augustus_masked-CU928167-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.81&CDS=1-1881	YBL084C
OG0001022	augustus_masked-CU928167-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.64&CDS=1-2082	YER113C
OG0001023	augustus_masked-CU928167-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.82&CDS=1-525	YER112W
OG0001024	augustus_masked-CU928167-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.65&CDS=1-2706	YER111C
OG0001025	augustus_masked-CU928167-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.66&CDS=1-3333	YER110C
OG0001026	snap_masked-CU928167-processed-gene-5.24-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-5.24&CDS=1-1356	YBL082C
OG0001027	snap_masked-CU928167-processed-gene-5.25-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-5.25&CDS=1-3033	YER109C
OG0001028	augustus_masked-CU928167-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.68&CDS=1-1101	YER107C
OG0001029	snap_masked-CU928167-processed-gene-5.27-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-5.27&CDS=1-1011	YBL081W
OG0001030	genemark-CU928167-processed-gene-5.127-mRNA-1_1&gene=genemark-CU928167-processed-gene-5.127&CDS=1-1641	YBL080C
OG0001031	augustus_masked-CU928167-processed-gene-5.70-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.70&CDS=1-4314	YBL079W
OG0001032	augustus_masked-CU928167-processed-gene-5.85-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.85&CDS=1-354	YBL078C
OG0001033	augustus_masked-CU928167-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.87&CDS=1-3216	YBL076C
OG0001034	augustus_masked-CU928167-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.89&CDS=1-1077	YBL074C
OG0001035	augustus_masked-CU928167-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.91&CDS=1-738	YER100W
OG0001036	augustus_masked-CU928167-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.72&CDS=1-954	YER099C
OG0001037	augustus_masked-CU928167-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.54&CDS=1-3162	YBL066C
OG0001038	augustus_masked-CU928167-processed-gene-6.55-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.55&CDS=1-747	YBL064C
OG0001039	augustus_masked-CU928167-processed-gene-6.56-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.56&CDS=1-1944	YBL061C
OG0001040	augustus_masked-CU928167-processed-gene-6.57-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.57&CDS=1-1143	YER095W
OG0001041	augustus_masked-CU928167-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.52&CDS=1-1908	YBL060W
OG0001042	maker-CU928167-augustus-gene-6.157-mRNA-1_1&gene=maker-CU928167-augustus-gene-6.157&CDS=1-615	YER094C
OG0001043	augustus_masked-CU928167-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.58&CDS=1-321	YBL059C-A
OG0001044	augustus_masked-CU928167-processed-gene-6.59-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.59&CDS=1-450	YER093C-A
OG0001045	augustus_masked-CU928167-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.60&CDS=1-3987	YER093C
OG0001046	augustus_masked-CU928167-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.86&CDS=1-342	YER092W
OG0001047	augustus_masked-CU928167-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.61&CDS=1-2304	YER091C
OG0001048	augustus_masked-CU928167-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.62&CDS=1-1155	YBL058W
OG0001049	augustus_masked-CU928167-processed-gene-6.87-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.87&CDS=1-633	YBL057C
OG0001050	augustus_masked-CU928167-processed-gene-6.88-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.88&CDS=1-1518	YER090W
OG0001051	augustus_masked-CU928167-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.63&CDS=1-1347	YBL056W
OG0001052	genemark-CU928167-processed-gene-6.40-mRNA-1_1&gene=genemark-CU928167-processed-gene-6.40&CDS=1-1212	YBL055C
OG0001053	augustus_masked-CU928167-processed-gene-6.90-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.90&CDS=1-795	YDR043C
OG0001054	augustus_masked-CU928167-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.64&CDS=1-1026	YDR044W
OG0001055	augustus_masked-CU928167-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.91&CDS=1-300	YDR045C
OG0001056	augustus_masked-CU928167-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.65&CDS=1-1713	YBR060C
OG0001057	snap_masked-CU928167-processed-gene-6.114-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-6.114&CDS=1-219	YBR058C-A
OG0001058	augustus_masked-CU928167-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.67&CDS=1-1428	YDR036C
OG0001059	augustus_masked-CU928167-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.68&CDS=1-2286	YBR058C
OG0001060	genemark-CU928167-processed-gene-6.16-mRNA-1_1&gene=genemark-CU928167-processed-gene-6.16&CDS=1-948	YBR057C
OG0001061	augustus_masked-CU928167-processed-gene-6.93-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.93&CDS=1-1116	YDR035W
OG0001062	augustus_masked-CU928167-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.94&CDS=1-1479	YBR056W
OG0001063	snap_masked-CU928167-processed-gene-6.118-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-6.118&CDS=1-2733	YBR055C
OG0001064	genemark-CU928167-processed-gene-6.18-mRNA-1_1&gene=genemark-CU928167-processed-gene-6.18&CDS=1-2304	YDR034C
OG0001065	augustus_masked-CU928167-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.72&CDS=1-1032	YBR053C
OG0001066	augustus_masked-CU928167-processed-gene-6.73-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.73&CDS=1-615	YDR032C
OG0001067	genemark-CU928167-processed-gene-6.47-mRNA-1_1&gene=genemark-CU928167-processed-gene-6.47&CDS=1-333	YDR031W
OG0001068	snap_masked-CU928167-processed-gene-6.123-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-6.123&CDS=1-1275	YDR030C
OG0001069	genemark-CU928167-processed-gene-6.23-mRNA-1_1&gene=genemark-CU928167-processed-gene-6.23&CDS=1-2559	YDR028C
OG0001070	augustus_masked-CU928167-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.75&CDS=1-2745	YDR027C
OG0001071	genemark-CU928167-processed-gene-6.29-mRNA-1_1&gene=genemark-CU928167-processed-gene-6.29&CDS=1-2070	YDR026C
OG0001072	augustus_masked-CU928167-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.97&CDS=1-537	YBR047W
OG0001073	augustus_masked-CU928167-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.79&CDS=1-1005	YBR046C
OG0001074	augustus_masked-CU928167-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.80&CDS=1-1779	YBR045C
OG0001075	augustus_masked-CU928167-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.98&CDS=1-1383	YDR023W
OG0001076	augustus_masked-CU928167-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.81&CDS=1-435	YDR022C
OG0001077	augustus_masked-CU928167-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.99&CDS=1-1194	YDR021W
OG0001078	augustus_masked-CU928167-processed-gene-6.82-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.82&CDS=1-627	YDR020C
OG0001079	augustus_masked-CU928167-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.83&CDS=1-1671	YBR044C
OG0001080	augustus_masked-CU928167-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.84&CDS=1-1167	YDR019C
OG0001081	genemark-CU928167-processed-gene-7.123-mRNA-1_1&gene=genemark-CU928167-processed-gene-7.123&CDS=1-1923	YBR043C
OG0001082	genemark-CU928167-processed-gene-7.124-mRNA-1_1&gene=genemark-CU928167-processed-gene-7.124&CDS=1-1200	YBR042C
OG0001083	augustus_masked-CU928167-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.73&CDS=1-2010	YBR041W
OG0001084	augustus_masked-CU928167-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.74&CDS=1-876	YBR040W
OG0001085	augustus_masked-CU928167-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.75&CDS=1-879	YBR039W
OG0001086	augustus_masked-CU928167-processed-gene-7.72-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.72&CDS=1-2658	YDR017C
OG0001087	augustus_masked-CU928167-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.76&CDS=1-291	YDR016C
OG0001088	snap_masked-CU928167-processed-gene-7.36-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-7.36&CDS=1-972	YDR014W-A
OG0001089	augustus_masked-CU928167-processed-gene-7.77-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.77&CDS=1-678	YBR035C
OG0001090	snap_masked-CU928167-processed-gene-7.37-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-7.37&CDS=1-1743	YDR014W
OG0001091	augustus_masked-CU928167-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.78&CDS=1-621	YDR013W
OG0001092	augustus_masked-CU928167-processed-gene-7.79-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.79&CDS=1-471	YGR076C
OG0001093	augustus_masked-CU928167-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.80&CDS=1-765	YGR075C
OG0001094	augustus_masked-CU928167-processed-gene-7.102-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.102&CDS=1-417	YGR074W
OG0001095	snap_masked-CU928167-processed-gene-7.39-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-7.39&CDS=1-1173	YGR072W
OG0001096	augustus_masked-CU928167-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.82&CDS=1-1380	YOL072W
OG0001097	augustus_masked-CU928167-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.83&CDS=1-927	YDL047W
OG0001098	augustus_masked-CU928167-processed-gene-7.84-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.84&CDS=1-522	YDL046W
OG0001099	augustus_masked-CU928167-processed-gene-7.85-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.85&CDS=1-477	YOL071W
OG0001100	augustus_masked-CU928167-processed-gene-7.86-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.86&CDS=1-285	YDL045W-A
OG0001101	augustus_masked-CU928167-processed-gene-7.104-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.104&CDS=1-921	YDL045C
OG0001102	augustus_masked-CU928167-processed-gene-7.105-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.105&CDS=1-2688	YDL044C
OG0001103	augustus_masked-CU928167-processed-gene-7.87-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.87&CDS=1-1341	YOL069W
OG0001104	augustus_masked-CU928167-processed-gene-7.107-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.107&CDS=1-756	YDL043C
OG0001105	augustus_masked-CU928167-processed-gene-7.108-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.108&CDS=1-1680	YOL068C
OG0001106	augustus_masked-CU928167-processed-gene-7.109-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.109&CDS=1-3039	YDL040C
OG0001107	maker-CU928167-augustus-gene-7.67-mRNA-1_1&gene=maker-CU928167-augustus-gene-7.67&CDS=1-2895	YOL066C
OG0001108	maker-CU928167-augustus-gene-7.68-mRNA-1_1&gene=maker-CU928167-augustus-gene-7.68&CDS=1-3426	YOL064C
OG0001109	genemark-CU928167-processed-gene-7.167-mRNA-1_1&gene=genemark-CU928167-processed-gene-7.167&CDS=1-1278	YDL033C
OG0001110	augustus_masked-CU928167-processed-gene-7.88-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.88&CDS=1-2916	YDL031W
OG0001111	augustus_masked-CU928167-processed-gene-7.89-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.89&CDS=1-1518	YDL030W
OG0001112	augustus_masked-CU928167-processed-gene-7.90-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.90&CDS=1-1317	YBR029C
OG0001113	augustus_masked-CU928167-processed-gene-7.91-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.91&CDS=1-1557	YBR028C
OG0001114	augustus_masked-CU928167-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.93&CDS=1-1131	YBR026C
OG0001115	snap_masked-CU928167-processed-gene-7.54-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-7.54&CDS=1-1128	YBR036C
OG0001116	genemark-CU928167-processed-gene-7.171-mRNA-1_1&gene=genemark-CU928167-processed-gene-7.171&CDS=1-342	YOL108C
OG0001117	augustus_masked-CU928167-processed-gene-7.94-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.94&CDS=1-996	YOL107W
OG0001118	augustus_masked-CU928167-processed-gene-7.114-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.114&CDS=1-870	YNL284C
OG0001119	maker-CU928167-augustus-gene-7.66-mRNA-1_1&gene=maker-CU928167-augustus-gene-7.66&CDS=1-1035	YNL281W
OG0001120	augustus_masked-CU928167-processed-gene-7.117-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.117&CDS=1-1320	YNL280C
OG0001121	snap_masked-CU928167-processed-gene-7.32-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-7.32&CDS=1-1026	YDR498C
OG0001122	augustus_masked-CU928167-processed-gene-7.97-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.97&CDS=1-1824	YDR497C
OG0001123	augustus_masked-CU928167-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.98&CDS=1-1971	YDR496C
OG0001124	snap_masked-CU928167-processed-gene-7.35-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-7.35&CDS=1-2766	YDR495C
OG0001125	snap_masked-CU928167-processed-gene-7.60-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-7.60&CDS=1-1059	YDR494W
OG0001126	augustus_masked-CU928167-processed-gene-8.210-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.210&CDS=1-2979	YOL100W
OG0001127	augustus_masked-CU928167-processed-gene-8.211-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.211&CDS=1-3126	YOL098C
OG0001128	augustus_masked-CU928167-processed-gene-8.212-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.212&CDS=1-882	YDR489W
OG0001129	snap_masked-CU928167-processed-gene-8.16-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-8.16&CDS=1-1806	YDR488C
OG0001130	augustus_masked-CU928167-processed-gene-8.214-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.214&CDS=1-636	YDR487C
OG0001131	augustus_masked-CU928167-processed-gene-8.255-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.255&CDS=1-1278	YOL097C
OG0001132	snap_masked-CU928167-processed-gene-8.18-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-8.18&CDS=1-681	YDR486C
OG0001133	augustus_masked-CU928167-processed-gene-8.256-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.256&CDS=1-918	YOL096C
OG0001134	snap_masked-CU928167-processed-gene-8.19-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-8.19&CDS=1-2091	YDR485C
OG0001135	augustus_masked-CU928167-processed-gene-8.257-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.257&CDS=1-2139	YOL095C
OG0001136	maker-CU928167-augustus-gene-8.6-mRNA-1_1&gene=maker-CU928167-augustus-gene-8.6&CDS=1-2784	YOL094C
OG0001137	augustus_masked-CU928167-processed-gene-8.217-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.217&CDS=1-906	YOL093W
OG0001138	augustus_masked-CU928167-processed-gene-8.218-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.218&CDS=1-924	YOL092W
OG0001139	snap_masked-CU928167-processed-gene-8.22-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-8.22&CDS=1-2280	YOL091W
OG0001140	augustus_masked-CU928167-processed-gene-8.220-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.220&CDS=1-2865	YOL090W
OG0001141	augustus_masked-CU928167-processed-gene-8.221-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.221&CDS=1-963	YBR149W
OG0001142	augustus_masked-CU928167-processed-gene-8.222-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.222&CDS=1-906	YBR151W
OG0001143	snap_masked-CU928167-processed-gene-8.76-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-8.76&CDS=1-735	YOL088C
OG0001144	augustus_masked-CU928167-processed-gene-8.226-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.226&CDS=1-534	YOR163W
OG0001145	augustus_masked-CU928167-processed-gene-8.262-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.262&CDS=1-909	YOR164C
OG0001146	augustus_masked-CU928167-processed-gene-8.227-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.227&CDS=1-2349	YOR165W
OG0001147	genemark-CU928167-processed-gene-8.181-mRNA-1_1&gene=genemark-CU928167-processed-gene-8.181&CDS=1-1299	YOR166C
OG0001148	snap_masked-CU928167-processed-gene-8.81-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-8.81&CDS=1-2319	YLR263W
OG0001149	augustus_masked-CU928167-processed-gene-8.229-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.229&CDS=1-2400	YOR168W
OG0001150	snap_masked-CU928167-processed-gene-8.33-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-8.33&CDS=1-192	YLR262C-A
OG0001151	snap_masked-CU928167-processed-gene-8.34-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-8.34&CDS=1-639	YLR262C
OG0001152	augustus_masked-CU928167-processed-gene-8.265-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.265&CDS=1-1659	YLR260W
OG0001153	augustus_masked-CU928167-processed-gene-8.231-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.231&CDS=1-1704	YLR259C
OG0001154	genemark-CU928167-processed-gene-8.142-mRNA-1_1&gene=genemark-CU928167-processed-gene-8.142&CDS=1-1683	YOR380W
OG0001155	augustus_masked-CU928167-processed-gene-8.233-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.233&CDS=1-1545	YOR378W
OG0001156	snap_masked-CU928167-processed-gene-8.38-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-8.38&CDS=1-1443	YML043C
OG0001157	snap_masked-CU928167-processed-gene-8.85-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-8.85&CDS=1-1545	YOL013C
OG0001158	augustus_masked-CU928167-processed-gene-8.269-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.269&CDS=1-402	YOL012C
OG0001159	augustus_masked-CU928167-processed-gene-8.236-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.236&CDS=1-1956	YMR008C
OG0001160	augustus_masked-CU928167-processed-gene-8.270-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.270&CDS=1-1230	YMR005W
OG0001161	augustus_masked-CU928167-processed-gene-8.237-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.237&CDS=1-1092	YOL010W
OG0001162	augustus_masked-CU928167-processed-gene-8.271-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.271&CDS=1-1566	YMR004W
OG0001163	augustus_masked-CU928167-processed-gene-8.272-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.272&CDS=1-804	YOL009C
OG0001164	genemark-CU928167-processed-gene-8.148-mRNA-1_1&gene=genemark-CU928167-processed-gene-8.148&CDS=1-603	YOL008W
OG0001165	augustus_masked-CU928167-processed-gene-8.273-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.273&CDS=1-798	YMR003W
OG0001166	augustus_masked-CU928167-processed-gene-8.274-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.274&CDS=1-459	YMR002W
OG0001167	snap_masked-CU928167-processed-gene-8.92-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-8.92&CDS=1-897	YOL007C
OG0001168	augustus_masked-CU928167-processed-gene-8.276-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.276&CDS=1-2268	YOL006C
OG0001169	augustus_masked-CU928167-processed-gene-8.238-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.238&CDS=1-2091	YMR001C
OG0001170	augustus_masked-CU928167-processed-gene-8.277-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.277&CDS=1-366	YOL005C
OG0001171	augustus_masked-CU928167-processed-gene-8.239-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.239&CDS=1-4299	YOL004W
OG0001172	genemark-CU928167-processed-gene-8.196-mRNA-1_1&gene=genemark-CU928167-processed-gene-8.196&CDS=1-1131	YOL003C
OG0001173	augustus_masked-CU928167-processed-gene-8.279-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.279&CDS=1-2205	YOR001W
OG0001174	maker-CU928167-augustus-gene-8.7-mRNA-1_1&gene=maker-CU928167-augustus-gene-8.7&CDS=1-1392	YML001W
OG0001175	maker-CU928167-augustus-gene-8.1-mRNA-1_1&gene=maker-CU928167-augustus-gene-8.1&CDS=1-2538	YOR002W
OG0001176	maker-CU928167-augustus-gene-8.2-mRNA-1_1&gene=maker-CU928167-augustus-gene-8.2&CDS=1-1167	YOR007C
