	Saccharomyces_cerevisiae	Scheffersomyces_lignosus
OG0000790	YCR011C	-processed-gene-4.22-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-4.22&CDS=1-3129
OG0000791	YCR012W	-processed-gene-7.50-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-7.50&CDS=1-1248
OG0000792	YCR015C	-processed-gene-3.32-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-3.32&CDS=1-918
OG0000793	YCR016W	-processed-gene-3.15-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-3.15&CDS=1-912
OG0000794	YCR017C	-processed-gene-19.95-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-19.95&CDS=1-2934
OG0000795	YCR019W	-processed-gene-19.35-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-19.35&CDS=1-1074
OG0000796	YCR020C	-processed-gene-17.121-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-17.121&CDS=1-693
OG0000797	YCR021C	-snap-gene-17.42-mRNA-1_1&gene=maker-gi|1002316372|dbj|BCGS01000001.1|-snap-gene-17.42&CDS=1-1872
OG0000798	YCR024C	-processed-gene-10.18-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-10.18&CDS=1-1530
OG0000799	YCR027C	-processed-gene-4.72-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.72&CDS=1-546
OG0000800	YCR028C	-processed-gene-9.17-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-9.17&CDS=1-1452
OG0000801	YCR028C-A	-processed-gene-0.11-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-0.11&CDS=1-408
OG0000802	YCR030C	-processed-gene-0.56-mRNA-1_1&gene=genemark-gi|1002316362|dbj|BCGS01000011.1|-processed-gene-0.56&CDS=1-3096
OG0000803	YCR032W	-processed-gene-15.88-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-15.88&CDS=1-7017
OG0000804	YCR033W	-processed-gene-10.63-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-10.63&CDS=1-4020
OG0000805	YCR034W	-processed-gene-10.53-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-10.53&CDS=1-1014
OG0000806	YCR035C	-processed-gene-15.90-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-15.90&CDS=1-1119
OG0000807	YCR036W	-processed-gene-10.68-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-10.68&CDS=1-1011
OG0000808	YCR042C	-processed-gene-11.56-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-11.56&CDS=1-5073
OG0000809	YCR044C	-processed-gene-9.10-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-9.10&CDS=1-1197
OG0000810	YCR045C	-processed-gene-7.32-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-7.32&CDS=1-1200
OG0000811	YCR047C	-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-2.104&CDS=1-1257
OG0000812	YCR051W	-processed-gene-9.106-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-9.106&CDS=1-693
OG0000813	YCR053W	-processed-gene-16.95-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-16.95&CDS=1-1527
OG0000814	YCR054C	-processed-gene-16.110-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-16.110&CDS=1-3129
OG0000815	YCR057C	-processed-gene-7.36-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-7.36&CDS=1-2829
OG0000816	YCR059C	-processed-gene-7.35-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-7.35&CDS=1-930
OG0000817	YCR061W	-processed-gene-13.33-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-13.33&CDS=1-1851
OG0000818	YCR063W	-processed-gene-13.21-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-13.21&CDS=1-477
OG0000819	YCR065W	-processed-gene-13.6-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-13.6&CDS=1-2031
OG0000820	YCR066W	-processed-gene-8.71-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-8.71&CDS=1-1206
OG0000821	YCR068W	-snap-gene-8.60-mRNA-1_1&gene=maker-gi|1002316372|dbj|BCGS01000001.1|-snap-gene-8.60&CDS=1-2586
OG0000822	YCR071C	-processed-gene-10.14-mRNA-1_1&gene=snap_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-10.14&CDS=1-372
OG0000823	YCR072C	-processed-gene-8.3-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-8.3&CDS=1-1563
OG0000824	YCR077C	-processed-gene-10.68-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-10.68&CDS=1-2571
OG0000825	YCR079W	-processed-gene-10.111-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-10.111&CDS=1-1374
OG0000826	YCR081W	-processed-gene-10.82-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-10.82&CDS=1-4956
OG0000827	YCR084C	-processed-gene-16.160-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-16.160&CDS=1-1986
OG0000828	YCR086W	-processed-gene-1.162-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-1.162&CDS=1-1035
OG0000829	YCR088W	-processed-gene-11.6-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-11.6&CDS=1-2001
OG0000830	YCR090C	-snap-gene-13.75-mRNA-1_1&gene=maker-gi|1002316369|dbj|BCGS01000004.1|-snap-gene-13.75&CDS=1-939
OG0000831	YCR092C	-processed-gene-14.53-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-14.53&CDS=1-3045
OG0000832	YCR093W	-processed-gene-21.76-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-21.76&CDS=1-6552
OG0000833	YCR095C	-processed-gene-13.19-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-13.19&CDS=1-1410
OG0000834	YCR098C	-processed-gene-15.66-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-15.66&CDS=1-1554
OG0000835	YCR106W, YLL054C	
OG0000836	YDL001W	-processed-gene-2.17-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-2.17&CDS=1-1320
OG0000837	YDL002C	-processed-gene-2.16-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-2.16&CDS=1-957
OG0000838	YDL003W	-processed-gene-1.169-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-1.169&CDS=1-1677
OG0000839	YDL004W	-processed-gene-1.133-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-1.133&CDS=1-483
OG0000840	YDL006W	-processed-gene-6.18-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-6.18&CDS=1-1146
OG0000841	YDL007W	-processed-gene-16.69-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-16.69&CDS=1-1323
OG0000842	YDL008W	-processed-gene-1.177-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-1.177&CDS=1-429
OG0000843	YDL013W	-processed-gene-1.94-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-1.94&CDS=1-1485
OG0000844	YDL014W	-processed-gene-1.95-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-1.95&CDS=1-975
OG0000845	YDL015C	-processed-gene-3.102-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-3.102&CDS=1-948
OG0000846	YDL017W	-processed-gene-13.99-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-13.99&CDS=1-1908
OG0000847	YDL018C	-processed-gene-13.88-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-13.88&CDS=1-642
OG0000848	YDL025C	-snap-gene-6.2-mRNA-1_1&gene=maker-gi|1002316371|dbj|BCGS01000002.1|-snap-gene-6.2&CDS=1-1683
OG0000849	YDL028C	-processed-gene-9.54-mRNA-1_1&gene=augustus_masked-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-9.54&CDS=1-2553
OG0000850	YDL029W	-processed-gene-9.109-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-9.109&CDS=1-1176
OG0000851	YDL030W	-processed-gene-22.102-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-22.102&CDS=1-1614
OG0000852	YDL031W	-processed-gene-4.70-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.70&CDS=1-2829
OG0000853	YDL033C	-processed-gene-4.12-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-4.12&CDS=1-1386
OG0000854	YDL035C	-processed-gene-21.48-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-21.48&CDS=1-2115
OG0000855	YDL040C	-processed-gene-22.98-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-22.98&CDS=1-2343
OG0000856	YDL043C	-processed-gene-7.85-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-7.85&CDS=1-759
OG0000857	YDL044C	-processed-gene-7.104-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-7.104&CDS=1-1581
OG0000858	YDL045C	-processed-gene-7.86-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-7.86&CDS=1-897
OG0000859	YDL045W-A	-processed-gene-3.102-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-3.102&CDS=1-3675
OG0000860	YDL047W	-processed-gene-10.66-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-10.66&CDS=1-942
OG0000861	YDL051W	-processed-gene-1.57-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-1.57&CDS=1-879
OG0000862	YDL052C	-processed-gene-4.108-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-4.108&CDS=1-870
OG0000863	YDL054C	-processed-gene-4.82-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-4.82&CDS=1-1371
OG0000864	YDL055C	-processed-gene-4.101-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-4.101&CDS=1-1086
OG0000865	YDL056W	-processed-gene-10.74-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-10.74&CDS=1-2484
OG0000866	YDL057W	-processed-gene-2.20-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-2.20&CDS=1-1962
OG0000867	YDL058W	-snap-gene-10.4-mRNA-1_1&gene=maker-gi|1002316371|dbj|BCGS01000002.1|-snap-gene-10.4&CDS=1-5919
OG0000868	YDL059C	-processed-gene-10.76-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-10.76&CDS=1-609
OG0000869	YDL060W	-processed-gene-10.94-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-10.94&CDS=1-2310
OG0000870	YDL063C	-processed-gene-9.64-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-9.64&CDS=1-1920
OG0000871	YDL064W	-processed-gene-9.62-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-9.62&CDS=1-480
OG0000872	YDL067C	-processed-gene-15.61-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-15.61&CDS=1-213
OG0000873	YDL072C	-processed-gene-25.91-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-25.91&CDS=1-597
OG0000874	YDL074C	-processed-gene-24.99-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-24.99&CDS=1-2118
OG0000875	YDL076C	-processed-gene-25.88-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-25.88&CDS=1-1917
OG0000876	YDL077C	-processed-gene-25.89-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-25.89&CDS=1-3249
OG0000877	YDL081C	-processed-gene-13.76-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-13.76&CDS=1-318
OG0000878	YDL084W	-processed-gene-0.21-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-0.21&CDS=1-1299
OG0000879	YDL086W	-processed-gene-3.74-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-3.74&CDS=1-807
OG0000880	YDL087C	-processed-gene-0.24-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-0.24&CDS=1-732
OG0000881	YDL088C	-processed-gene-8.134-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.134&CDS=1-1254
OG0000882	YDL089W	-processed-gene-8.113-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.113&CDS=1-1701
OG0000883	YDL090C	-processed-gene-8.112-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.112&CDS=1-1410
OG0000884	YDL091C	-processed-gene-8.131-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.131&CDS=1-1368
OG0000885	YDL095W	-processed-gene-11.8-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-11.8&CDS=1-2928
OG0000886	YDL097C	-processed-gene-9.81-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.81&CDS=1-1272
OG0000887	YDL098C	-processed-gene-28.50-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-28.50&CDS=1-729
OG0000888	YDL100C	-snap-gene-3.34-mRNA-1_1&gene=maker-gi|1002316369|dbj|BCGS01000004.1|-snap-gene-3.34&CDS=1-1215
OG0000889	YDL101C	-processed-gene-5.45-mRNA-1_1&gene=augustus_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.45&CDS=1-3789
OG0000890	YDL102W	-processed-gene-14.56-mRNA-1_1&gene=augustus_masked-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-14.56&CDS=1-4773
OG0000891	YDL103C	-processed-gene-7.96-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-7.96&CDS=1-1467
OG0000892	YDL104C	-processed-gene-0.17-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-0.17&CDS=1-1374
OG0000893	YDL105W	-processed-gene-0.1-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-0.1&CDS=1-1218
OG0000894	YDL106C	-processed-gene-5.25-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.25&CDS=1-1776
OG0000895	YDL107W	-processed-gene-5.24-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.24&CDS=1-1203
OG0000896	YDL108W	-processed-gene-5.21-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.21&CDS=1-1944
OG0000897	YDL110C	-processed-gene-9.68-mRNA-1_1&gene=snap_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.68&CDS=1-486
OG0000898	YDL111C	-processed-gene-8.114-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.114&CDS=1-864
OG0000899	YDL112W	-processed-gene-8.135-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.135&CDS=1-4215
OG0000900	YDL114W	-processed-gene-4.43-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-4.43&CDS=1-978
OG0000901	YDL116W	-processed-gene-9.78-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.78&CDS=1-2346
OG0000902	YDL117W	-processed-gene-5.22-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.22&CDS=1-3315
OG0000903	YDL119C	-processed-gene-16.48-mRNA-1_1&gene=snap_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-16.48&CDS=1-1092
OG0000904	YDL120W	-processed-gene-7.4-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-7.4&CDS=1-528
OG0000905	YDL122W	-processed-gene-1.77-mRNA-1_1&gene=snap_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-1.77&CDS=1-1962
OG0000906	YDL124W	-processed-gene-11.69-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-11.69&CDS=1-906
OG0000907	YDL125C	-processed-gene-15.131-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-15.131&CDS=1-468
OG0000908	YDL126C	-processed-gene-15.64-mRNA-1_1&gene=snap_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-15.64&CDS=1-2514
OG0000909	YDL128W	-processed-gene-15.99-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-15.99&CDS=1-1260
OG0000910	YDL133W	-processed-gene-28.41-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-28.41&CDS=1-1218
OG0000911	YDL134C	-processed-gene-28.38-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-28.38&CDS=1-1056
OG0000912	YDL135C	-processed-gene-4.80-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.80&CDS=1-606
OG0000913	YDL140C	-processed-gene-1.156-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-1.156&CDS=1-5211
OG0000914	YDL141W	-augustus-gene-1.4-mRNA-1_1&gene=maker-gi|1002316363|dbj|BCGS01000010.1|-augustus-gene-1.4&CDS=1-2094
OG0000915	YDL142C	-processed-gene-16.128-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-16.128&CDS=1-852
OG0000916	YDL143W	-processed-gene-13.78-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-13.78&CDS=1-1593
OG0000917	YDL144C	-processed-gene-23.28-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-23.28&CDS=1-1077
OG0000918	YDL145C	-processed-gene-29.33-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-29.33&CDS=1-3618
OG0000919	YDL146W	-processed-gene-6.27-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-6.27&CDS=1-2217
OG0000920	YDL147W	-processed-gene-16.119-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-16.119&CDS=1-1377
OG0000921	YDL148C	-processed-gene-4.75-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.75&CDS=1-2490
OG0000922	YDL149W	-processed-gene-4.74-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.74&CDS=1-3063
OG0000923	YDL153C	-processed-gene-13.93-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-13.93&CDS=1-1716
OG0000924	YDL155W	-processed-gene-13.63-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-13.63&CDS=1-1737
OG0000925	YDL156W	-processed-gene-2.53-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-2.53&CDS=1-1776
OG0000926	YDL157C	-processed-gene-18.44-mRNA-1_1&gene=snap_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.44&CDS=1-294
OG0000927	YDL159W	-processed-gene-18.125-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.125&CDS=1-1710
OG0000928	YDL160C	-processed-gene-2.71-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-2.71&CDS=1-1548
OG0000929	YDL164C	-processed-gene-1.70-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-1.70&CDS=1-2226
OG0000930	YDL165W	-processed-gene-27.45-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-27.45&CDS=1-660
OG0000931	YDL166C	-processed-gene-27.100-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-27.100&CDS=1-729
OG0000932	YDL167C	-processed-gene-14.99-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-14.99&CDS=1-2559
OG0000933	YDL168W	-processed-gene-0.12-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-0.12&CDS=1-1140
OG0000934	YDL171C	-snap-gene-15.65-mRNA-1_1&gene=maker-gi|1002316368|dbj|BCGS01000005.1|-snap-gene-15.65&CDS=1-6648
OG0000935	YDL174C	-processed-gene-0.13-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-0.13&CDS=1-1770
OG0000936	YDL177C	-processed-gene-25.60-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-25.60&CDS=1-612
OG0000937	YDL178W	-processed-gene-3.102-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-3.102&CDS=1-1647
OG0000938	YDL183C	-processed-gene-28.57-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-28.57&CDS=1-1116
OG0000939	YDL185W	-processed-gene-28.8-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-28.8&CDS=1-3210
OG0000940	YDL190C	-processed-gene-4.92-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.92&CDS=1-3228
OG0000941	YDL193W	-processed-gene-4.76-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.76&CDS=1-1119
OG0000942	YDL195W	-processed-gene-24.105-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-24.105&CDS=1-3786
OG0000943	YDL198C	-processed-gene-9.22-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-9.22&CDS=1-903
OG0000944	YDL200C	-processed-gene-0.67-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-0.67&CDS=1-585
OG0000945	YDL201W	-processed-gene-8.95-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.95&CDS=1-909
OG0000946	YDL202W	-processed-gene-8.96-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.96&CDS=1-774
OG0000947	YDL205C	-snap-gene-19.34-mRNA-1_1&gene=maker-gi|1002316370|dbj|BCGS01000003.1|-snap-gene-19.34&CDS=1-1938
OG0000948	YDL207W	-processed-gene-8.3-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-8.3&CDS=1-1560
OG0000949	YDL208W	-processed-gene-17.57-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-17.57&CDS=1-462
OG0000950	YDL209C	-processed-gene-4.60-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-4.60&CDS=1-963
OG0000951	YDL212W	-processed-gene-9.114-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.114&CDS=1-633
OG0000952	YDL213C	-processed-gene-5.5-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.5&CDS=1-720
OG0000953	YDL215C	-processed-gene-7.22-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-7.22&CDS=1-3162
OG0000954	YDL216C	-processed-gene-9.95-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.95&CDS=1-1749
OG0000955	YDL217C	-processed-gene-16.110-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-16.110&CDS=1-546
OG0000956	YDL225W	-processed-gene-17.15-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-17.15&CDS=1-1824
OG0000957	YDL226C	-processed-gene-17.28-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-17.28&CDS=1-1107
OG0000958	YDL228C	-processed-gene-7.72-mRNA-1_1&gene=snap_masked-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-7.72&CDS=1-2709
OG0000959	YDL230W	-processed-gene-9.52-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-9.52&CDS=1-1110
OG0000960	YDL233W	-processed-gene-15.86-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-15.86&CDS=1-2190
OG0000961	YDL234C	-processed-gene-10.79-mRNA-1_1&gene=augustus_masked-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-10.79&CDS=1-2316
OG0000962	YDL235C	-processed-gene-4.88-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-4.88&CDS=1-564
