	Kazachstania_naganishii	Saccharomyces_cerevisiae
OG0000856	augustus_masked-HE978315-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.107&CDS=1-1086	YGR117C
OG0000857	genemark-HE978315-processed-gene-1.87-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.87&CDS=1-1080	YPR129W
OG0000858	augustus_masked-HE978315-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.129&CDS=1-1086	YGR113W
OG0000859	augustus_masked-HE978315-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.130&CDS=1-2295	YGR112W
OG0000860	genemark-HE978315-processed-gene-1.64-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.64&CDS=1-1254	YGR110W
OG0000861	snap_masked-HE978315-processed-gene-1.18-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-1.18&CDS=1-816	YGR106C
OG0000862	snap_masked-HE978315-processed-gene-1.44-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-1.44&CDS=1-225	YGR105W
OG0000863	genemark-HE978315-processed-gene-1.67-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.67&CDS=1-822	YGR104C
OG0000864	genemark-HE978315-processed-gene-1.92-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.92&CDS=1-1815	YGR103W
OG0000865	augustus_masked-HE978315-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.111&CDS=1-516	YGR102C
OG0000866	snap_masked-HE978315-processed-gene-2.6-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-2.6&CDS=1-393	YGR101W
OG0000867	genemark-HE978315-processed-gene-2.102-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.102&CDS=1-2892	YGR100W
OG0000868	augustus_masked-HE978315-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.55&CDS=1-2121	YGR099W
OG0000869	genemark-HE978315-processed-gene-2.101-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.101&CDS=1-1542	YGR098C
OG0000870	snap_masked-HE978315-processed-gene-2.9-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-2.9&CDS=1-3276	YGR097W
OG0000871	maker-HE978315-augustus-gene-2.3-mRNA-1_1&gene=maker-HE978315-augustus-gene-2.3&CDS=1-981	YGR096W
OG0000872	genemark-HE978315-processed-gene-2.105-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.105&CDS=1-666	YGR095C
OG0000873	genemark-HE978315-processed-gene-2.130-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.130&CDS=1-1749	YGR092W
OG0000874	genemark-HE978315-processed-gene-2.131-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.131&CDS=1-1476	YGR091W
OG0000875	augustus_masked-HE978315-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.80&CDS=1-3705	YGR090W
OG0000876	genemark-HE978315-processed-gene-2.133-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.133&CDS=1-2616	YGR089W
OG0000877	snap_masked-HE978315-processed-gene-2.12-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-2.12&CDS=1-1026	YGR084C
OG0000878	genemark-HE978315-processed-gene-2.108-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.108&CDS=1-1911	YGR083C
OG0000879	genemark-HE978315-processed-gene-2.134-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.134&CDS=1-552	YGR082W
OG0000880	genemark-HE978315-processed-gene-2.109-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.109&CDS=1-576	YGR081C
OG0000881	genemark-HE978315-processed-gene-2.135-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.135&CDS=1-1005	YGR080W
OG0000882	augustus_masked-HE978315-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.84&CDS=1-891	YGR079W
OG0000883	genemark-HE978315-processed-gene-2.137-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.137&CDS=1-6684	YBR136W
OG0000884	genemark-HE978315-processed-gene-2.138-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.138&CDS=1-462	YBR135W
OG0000885	genemark-HE978315-processed-gene-2.110-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.110&CDS=1-2421	YBR133C
OG0000886	genemark-HE978315-processed-gene-2.111-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.111&CDS=1-1803	YBR132C
OG0000887	augustus_masked-HE978315-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.87&CDS=1-1881	YBR131W
OG0000888	augustus_masked-HE978315-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.62&CDS=1-1611	YPR088C
OG0000889	genemark-HE978315-processed-gene-2.140-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.140&CDS=1-1107	YPR086W
OG0000890	genemark-HE978315-processed-gene-2.114-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.114&CDS=1-1539	YBR127C
OG0000891	maker-HE978315-augustus-gene-2.1-mRNA-1_1&gene=maker-HE978315-augustus-gene-2.1&CDS=1-2682	YBR126C
OG0000892	genemark-HE978315-processed-gene-2.117-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.117&CDS=1-1962	YBR123C
OG0000893	genemark-HE978315-processed-gene-2.118-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.118&CDS=1-549	YBR122C
OG0000894	maker-HE978315-augustus-gene-2.2-mRNA-1_1&gene=maker-HE978315-augustus-gene-2.2&CDS=1-2448	YBR121C
OG0000895	augustus_masked-HE978315-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.89&CDS=1-903	YBR119W
OG0000896	genemark-HE978315-processed-gene-2.122-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.122&CDS=1-4161	YBR115C
OG0000897	genemark-HE978315-processed-gene-2.143-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.143&CDS=1-2331	YBR114W
OG0000898	snap_masked-HE978315-processed-gene-2.47-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-2.47&CDS=1-225	YBR111W-A
OG0000899	augustus_masked-HE978315-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.72&CDS=1-1464	YPR069C
OG0000900	genemark-HE978315-processed-gene-2.144-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.144&CDS=1-1359	YBR110W
OG0000901	genemark-HE978315-processed-gene-2.125-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.125&CDS=1-441	YBR109C
OG0000902	snap_masked-HE978315-processed-gene-2.49-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-2.49&CDS=1-2787	YBR108W
OG0000903	augustus_masked-HE978315-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.74&CDS=1-780	YBR107C
OG0000904	genemark-HE978315-processed-gene-2.146-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.146&CDS=1-492	YPR067W
OG0000905	genemark-HE978315-processed-gene-2.147-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.147&CDS=1-576	YBR106W
OG0000906	genemark-HE978315-processed-gene-2.148-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.148&CDS=1-957	YJL208C
OG0000907	augustus_masked-HE978315-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.75&CDS=1-999	YBR105C
OG0000908	genemark-HE978315-processed-gene-3.30-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.30&CDS=1-891	YJL117W
OG0000909	genemark-HE978315-processed-gene-3.31-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.31&CDS=1-849	YJL115W
OG0000910	genemark-HE978315-processed-gene-3.32-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.32&CDS=1-2022	YJL112W
OG0000911	augustus_masked-HE978315-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-3.5&CDS=1-7164	YJL109C
OG0000912	genemark-HE978315-processed-gene-3.36-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.36&CDS=1-2316	YJL106W
OG0000913	genemark-HE978315-processed-gene-3.38-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.38&CDS=1-453	YJL104W
OG0000914	genemark-HE978315-processed-gene-3.52-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.52&CDS=1-1659	YJL103C
OG0000915	genemark-HE978315-processed-gene-3.39-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.39&CDS=1-2361	YJL102W
OG0000916	genemark-HE978315-processed-gene-3.40-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.40&CDS=1-2295	YJL099W
OG0000917	genemark-HE978315-processed-gene-3.42-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.42&CDS=1-645	YJL097W
OG0000918	snap_masked-HE978315-processed-gene-3.83-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-3.83&CDS=1-558	YJL096W
OG0000919	snap_masked-HE978315-processed-gene-3.84-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-3.84&CDS=1-4740	YJL095W
OG0000920	genemark-HE978315-processed-gene-3.53-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.53&CDS=1-2463	YJL094C
OG0000921	genemark-HE978315-processed-gene-3.54-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.54&CDS=1-2304	YJL093C
OG0000922	maker-HE978315-snap-gene-3.68-mRNA-1_1&gene=maker-HE978315-snap-gene-3.68&CDS=1-2850	YJL092W
OG0000923	genemark-HE978315-processed-gene-3.55-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.55&CDS=1-1449	YJL091C
OG0000924	snap_masked-HE978315-processed-gene-3.98-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-3.98&CDS=1-2256	YJL090C
OG0000925	genemark-HE978315-processed-gene-3.45-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.45&CDS=1-3216	YJL089W
OG0000926	genemark-HE978315-processed-gene-3.46-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.46&CDS=1-963	YJL088W
OG0000927	genemark-HE978315-processed-gene-3.57-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.57&CDS=1-2520	YJL087C
OG0000928	genemark-HE978315-processed-gene-3.47-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.47&CDS=1-1851	YJL085W
OG0000929	genemark-HE978315-processed-gene-3.58-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.58&CDS=1-3399	YJL084C
OG0000930	snap_masked-HE978315-processed-gene-3.90-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-3.90&CDS=1-909	YGL128C
OG0000931	augustus_masked-HE978315-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-3.16&CDS=1-1608	YJL083W
OG0000932	genemark-HE978315-processed-gene-3.59-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.59&CDS=1-1515	YJL081C
OG0000933	genemark-HE978315-processed-gene-3.60-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.60&CDS=1-3681	YJL080C
OG0000934	genemark-HE978315-processed-gene-3.63-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.63&CDS=1-681	YHR071W
OG0000935	genemark-HE978315-processed-gene-3.64-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.64&CDS=1-1491	YHR070W
OG0000936	augustus_masked-HE978315-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-3.28&CDS=1-2358	YHR068W
OG0000937	snap_masked-HE978315-processed-gene-3.92-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-3.92&CDS=1-192	YDR315C
OG0000938	snap_masked-HE978315-processed-gene-3.93-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-3.93&CDS=1-1737	YDR314C
OG0000939	snap_masked-HE978315-processed-gene-4.87-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-4.87&CDS=1-3540	YDR310C
OG0000940	snap_masked-HE978315-processed-gene-4.92-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-4.92&CDS=1-246	YPR036W-A
OG0000941	genemark-HE978315-processed-gene-4.7-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.7&CDS=1-1488	YPR036W
OG0000942	genemark-HE978315-processed-gene-4.8-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.8&CDS=1-1113	YPR035W
OG0000943	genemark-HE978315-processed-gene-4.9-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.9&CDS=1-1455	YPR034W
OG0000944	genemark-HE978315-processed-gene-4.10-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.10&CDS=1-1593	YPR033C
OG0000945	genemark-HE978315-processed-gene-4.11-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.11&CDS=1-2418	YPR029C
OG0000946	genemark-HE978315-processed-gene-4.28-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.28&CDS=1-1152	YPR028W
OG0000947	genemark-HE978315-processed-gene-4.12-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.12&CDS=1-1314	YER119C
OG0000948	snap_masked-HE978315-processed-gene-4.116-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-4.116&CDS=1-7956	YBL088C
OG0000949	genemark-HE978315-processed-gene-4.31-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.31&CDS=1-1377	YBL086C
OG0000950	genemark-HE978315-processed-gene-4.32-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.32&CDS=1-2172	YBL084C
OG0000951	genemark-HE978315-processed-gene-4.14-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.14&CDS=1-3003	YER111C
OG0000952	genemark-HE978315-processed-gene-4.15-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.15&CDS=1-1347	YBL082C
OG0000953	snap_masked-HE978315-processed-gene-4.102-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-4.102&CDS=1-1200	YBL081W
OG0000954	genemark-HE978315-processed-gene-4.33-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.33&CDS=1-1620	YBL080C
OG0000955	genemark-HE978315-processed-gene-4.18-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.18&CDS=1-4449	YBL079W
OG0000956	genemark-HE978315-processed-gene-4.34-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.34&CDS=1-351	YBL078C
OG0000957	genemark-HE978315-processed-gene-4.35-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.35&CDS=1-3216	YBL076C
OG0000958	snap_masked-HE978315-processed-gene-4.104-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-4.104&CDS=1-243	YBL071W-A
OG0000959	genemark-HE978315-processed-gene-4.37-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.37&CDS=1-753	YER100W
OG0000960	genemark-HE978315-processed-gene-4.39-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.39&CDS=1-3201	YBL066C
OG0000961	genemark-HE978315-processed-gene-4.40-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.40&CDS=1-2142	YBL061C
OG0000962	genemark-HE978315-processed-gene-4.21-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.21&CDS=1-2022	YBL060W
OG0000963	augustus_masked-HE978315-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-4.82&CDS=1-333	YBL059C-A
OG0000964	snap_masked-HE978315-processed-gene-4.107-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-4.107&CDS=1-372	YBL059W
OG0000965	genemark-HE978315-processed-gene-4.23-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.23&CDS=1-1155	YBL058W
OG0000966	genemark-HE978315-processed-gene-4.42-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.42&CDS=1-558	YBL057C
OG0000967	genemark-HE978315-processed-gene-4.43-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.43&CDS=1-1167	YBL055C
OG0000968	genemark-HE978315-processed-gene-4.45-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.45&CDS=1-2094	YBL051C
OG0000969	snap_masked-HE978315-processed-gene-5.1-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-5.1&CDS=1-1725	YLR190W
OG0000970	snap_masked-HE978315-processed-gene-5.2-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-5.2&CDS=1-942	YLR191W
OG0000971	genemark-HE978315-processed-gene-5.55-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.55&CDS=1-813	YLR192C
OG0000972	genemark-HE978315-processed-gene-5.56-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.56&CDS=1-618	YLR193C
OG0000973	genemark-HE978315-processed-gene-5.58-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.58&CDS=1-1374	YLR195C
OG0000974	genemark-HE978315-processed-gene-5.59-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.59&CDS=1-1740	YLR196W
OG0000975	genemark-HE978315-processed-gene-5.60-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.60&CDS=1-1497	YLR197W
OG0000976	augustus_masked-HE978315-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-5.129&CDS=1-888	YLR199C
OG0000977	genemark-HE978315-processed-gene-5.61-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.61&CDS=1-357	YLR200W
OG0000978	genemark-HE978315-processed-gene-5.86-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.86&CDS=1-795	YLR201C
OG0000979	genemark-HE978315-processed-gene-5.87-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.87&CDS=1-1314	YLR203C
OG0000980	genemark-HE978315-processed-gene-5.88-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.88&CDS=1-903	YLR205C
OG0000981	genemark-HE978315-processed-gene-5.64-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.64&CDS=1-2475	YLR207W
OG0000982	genemark-HE978315-processed-gene-5.65-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.65&CDS=1-909	YLR208W
OG0000983	genemark-HE978315-processed-gene-5.89-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.89&CDS=1-936	YLR209C
OG0000984	snap_masked-HE978315-processed-gene-5.38-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-5.38&CDS=1-699	YLR211C
OG0000985	snap_masked-HE978315-processed-gene-5.39-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-5.39&CDS=1-5094	YDL145C
OG0000986	genemark-HE978315-processed-gene-5.91-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.91&CDS=1-1071	YLR213C
OG0000987	genemark-HE978315-processed-gene-5.67-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.67&CDS=1-2097	YLR214W
OG0000988	genemark-HE978315-processed-gene-5.92-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.92&CDS=1-1095	YLR215C
OG0000989	genemark-HE978315-processed-gene-5.93-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.93&CDS=1-642	YDL142C
OG0000990	maker-HE978315-snap-gene-5.102-mRNA-1_1&gene=maker-HE978315-snap-gene-5.102&CDS=1-1416	YLR216C
OG0000991	genemark-HE978315-processed-gene-5.68-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.68&CDS=1-3894	YDL195W
OG0000992	genemark-HE978315-processed-gene-5.70-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.70&CDS=1-1080	YDL193W
OG0000993	genemark-HE978315-processed-gene-5.71-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.71&CDS=1-543	YDL137W
OG0000994	genemark-HE978315-processed-gene-5.95-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.95&CDS=1-2892	YDL190C
OG0000995	genemark-HE978315-processed-gene-5.96-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.96&CDS=1-885	YDL183C
OG0000996	genemark-HE978315-processed-gene-5.75-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.75&CDS=1-318	YDL130W
OG0000997	genemark-HE978315-processed-gene-5.77-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.77&CDS=1-1236	YDL128W
OG0000998	genemark-HE978315-processed-gene-5.97-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.97&CDS=1-2514	YDL126C
OG0000999	genemark-HE978315-processed-gene-5.79-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.79&CDS=1-1557	YDL178W
OG0001000	genemark-HE978315-processed-gene-5.98-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.98&CDS=1-528	YDL177C
OG0001001	augustus_masked-HE978315-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-5.125&CDS=1-2562	YDL176W
OG0001002	augustus_masked-HE978315-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-5.126&CDS=1-2514	YER082C
OG0001003	genemark-HE978315-processed-gene-5.83-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.83&CDS=1-1338	YOR047C
OG0001004	genemark-HE978315-processed-gene-5.84-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.84&CDS=1-1479	YOR046C
OG0001005	snap_masked-HE978315-processed-gene-5.49-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-5.49&CDS=1-183	YOR045W
OG0001006	augustus_masked-HE978315-processed-gene-5.142-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-5.142&CDS=1-1977	YOR043W
OG0001007	genemark-HE978315-processed-gene-6.6-mRNA-1_1&gene=genemark-HE978315-processed-gene-6.6&CDS=1-1416	YOR042W
OG0001008	augustus_masked-HE978315-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-6.52&CDS=1-846	YOR040W
OG0001009	genemark-HE978315-processed-gene-6.8-mRNA-1_1&gene=genemark-HE978315-processed-gene-6.8&CDS=1-759	YOR039W
OG0001010	genemark-HE978315-processed-gene-6.4-mRNA-1_1&gene=genemark-HE978315-processed-gene-6.4&CDS=1-2679	YOR038C
OG0001011	genemark-HE978315-processed-gene-6.9-mRNA-1_1&gene=genemark-HE978315-processed-gene-6.9&CDS=1-1662	YOR036W
OG0001012	snap_masked-HE978315-processed-gene-6.91-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-6.91&CDS=1-4233	YDR266C
OG0001013	genemark-HE978315-processed-gene-6.11-mRNA-1_1&gene=genemark-HE978315-processed-gene-6.11&CDS=1-2157	YOR033C
OG0001014	genemark-HE978315-processed-gene-6.12-mRNA-1_1&gene=genemark-HE978315-processed-gene-6.12&CDS=1-924	YOR032C
OG0001015	snap_masked-HE978315-processed-gene-6.117-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-6.117&CDS=1-1137	YOR030W
OG0001016	genemark-HE978315-processed-gene-6.13-mRNA-1_1&gene=genemark-HE978315-processed-gene-6.13&CDS=1-1701	YDR261C
OG0001017	genemark-HE978315-processed-gene-6.14-mRNA-1_1&gene=genemark-HE978315-processed-gene-6.14&CDS=1-756	YOR028C
OG0001018	genemark-HE978315-processed-gene-6.32-mRNA-1_1&gene=genemark-HE978315-processed-gene-6.32&CDS=1-1737	YOR027W
OG0001019	genemark-HE978315-processed-gene-6.33-mRNA-1_1&gene=genemark-HE978315-processed-gene-6.33&CDS=1-2151	YOR025W
OG0001020	genemark-HE978315-processed-gene-6.34-mRNA-1_1&gene=genemark-HE978315-processed-gene-6.34&CDS=1-1923	YDR477W
OG0001021	genemark-HE978315-processed-gene-6.35-mRNA-1_1&gene=genemark-HE978315-processed-gene-6.35&CDS=1-2055	YOR022C
OG0001022	snap_masked-HE978315-processed-gene-6.121-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-6.121&CDS=1-1869	YOR023C
OG0001023	genemark-HE978315-processed-gene-6.16-mRNA-1_1&gene=genemark-HE978315-processed-gene-6.16&CDS=1-720	YHR013C
OG0001024	genemark-HE978315-processed-gene-6.38-mRNA-1_1&gene=genemark-HE978315-processed-gene-6.38&CDS=1-2097	YHR011W
OG0001025	maker-HE978315-augustus-gene-6.136-mRNA-1_1&gene=maker-HE978315-augustus-gene-6.136&CDS=1-2097	YHR008C
OG0001026	genemark-HE978315-processed-gene-6.19-mRNA-1_1&gene=genemark-HE978315-processed-gene-6.19&CDS=1-1593	YHR007C
OG0001027	augustus_masked-HE978315-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-6.83&CDS=1-1323	YML037C
OG0001028	genemark-HE978315-processed-gene-6.20-mRNA-1_1&gene=genemark-HE978315-processed-gene-6.20&CDS=1-522	YML036W
