	Eremothecium_coryli	Saccharomyces_cerevisiae
OG0000334	snap_masked-AZAH01000001.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.3&CDS=1-1467	YHR207C
OG0000335	snap_masked-AZAH01000001.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.22&CDS=1-1416	YHR206W
OG0000336	genemark-AZAH01000001.1-processed-gene-0.73-mRNA-1_1&gene=genemark-AZAH01000001.1-processed-gene-0.73&CDS=1-2145	YHR205W
OG0000337	snap_masked-AZAH01000001.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.24&CDS=1-2367	YHR204W
OG0000338	snap_masked-AZAH01000001.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.25&CDS=1-1767	YHR202W
OG0000339	snap_masked-AZAH01000001.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.26&CDS=1-963	YOR142W
OG0000340	snap_masked-AZAH01000001.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.5&CDS=1-2334	YOR141C
OG0000341	snap_masked-AZAH01000001.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.28&CDS=1-1110	YOR136W
OG0000342	snap_masked-AZAH01000001.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.6&CDS=1-1884	YDR390C
OG0000343	snap_masked-AZAH01000001.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.29&CDS=1-2391	YDR389W
OG0000344	snap_masked-AZAH01000001.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.30&CDS=1-1236	YDR388W
OG0000345	genemark-AZAH01000001.1-processed-gene-0.58-mRNA-1_1&gene=genemark-AZAH01000001.1-processed-gene-0.58&CDS=1-1599	YDR387C
OG0000346	snap_masked-AZAH01000001.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.31&CDS=1-1857	YDR386W
OG0000347	snap_masked-AZAH01000001.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.33&CDS=1-1551	YOR132W
OG0000348	snap_masked-AZAH01000001.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.34&CDS=1-324	YDR382W
OG0000349	augustus_masked-AZAH01000001.1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-0.105&CDS=1-843	YOR130C
OG0000350	snap_masked-AZAH01000001.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.9&CDS=1-291	YDR381C-A
OG0000351	maker-AZAH01000001.1-snap-gene-0.49-mRNA-1_1&gene=maker-AZAH01000001.1-snap-gene-0.49&CDS=1-681	YDR381W
OG0000352	augustus_masked-AZAH01000001.1-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-0.107&CDS=1-2877	YOR129C
OG0000353	snap_masked-AZAH01000001.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.11&CDS=1-1713	YOR128C
OG0000354	snap_masked-AZAH01000001.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.12&CDS=1-237	YDR379C-A
OG0000355	snap_masked-AZAH01000001.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.38&CDS=1-3207	YOR127W
OG0000356	snap_masked-AZAH01000001.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.13&CDS=1-255	YDR378C
OG0000357	maker-AZAH01000001.1-snap-gene-0.50-mRNA-1_1&gene=maker-AZAH01000001.1-snap-gene-0.50&CDS=1-303	YDR377W
OG0000358	snap_masked-AZAH01000001.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.40&CDS=1-1473	YDR376W
OG0000359	maker-AZAH01000001.1-snap-gene-0.47-mRNA-1_1&gene=maker-AZAH01000001.1-snap-gene-0.47&CDS=1-2046	YDR375C
OG0000360	snap_masked-AZAH01000001.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.15&CDS=1-885	YLR208W
OG0000361	snap_masked-AZAH01000001.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.42&CDS=1-933	YLR209C
OG0000362	snap_masked-AZAH01000001.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.43&CDS=1-1578	YDL160C
OG0000363	snap_masked-AZAH01000001.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.44&CDS=1-354	YDL157C
OG0000364	snap_masked-AZAH01000001.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.17&CDS=1-1563	YDL156W
OG0000365	snap_masked-AZAH01000001.1-processed-gene-1.0-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.0&CDS=1-2184	YPR031W
OG0000366	snap_masked-AZAH01000001.1-processed-gene-1.1-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.1&CDS=1-2976	YBL104C
OG0000367	snap_masked-AZAH01000001.1-processed-gene-1.2-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.2&CDS=1-2367	YBL105C
OG0000368	augustus_masked-AZAH01000001.1-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-1.109&CDS=1-591	YBL107C
OG0000369	snap_masked-AZAH01000001.1-processed-gene-1.5-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.5&CDS=1-1467	YJR078W
OG0000370	snap_masked-AZAH01000001.1-processed-gene-1.28-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.28&CDS=1-1554	YPR033C
OG0000371	augustus_masked-AZAH01000001.1-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-1.132&CDS=1-1188	YJR080C
OG0000372	snap_masked-AZAH01000001.1-processed-gene-1.30-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.30&CDS=1-294	YJR082C
OG0000373	genemark-AZAH01000001.1-processed-gene-1.61-mRNA-1_1&gene=genemark-AZAH01000001.1-processed-gene-1.61&CDS=1-1206	YPR034W
OG0000374	snap_masked-AZAH01000001.1-processed-gene-1.8-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.8&CDS=1-1110	YPR035W
OG0000375	snap_masked-AZAH01000001.1-processed-gene-1.9-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.9&CDS=1-1416	YPR036W
OG0000376	augustus_masked-AZAH01000001.1-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-1.134&CDS=1-780	YJR083C
OG0000377	snap_masked-AZAH01000001.1-processed-gene-1.10-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.10&CDS=1-1338	YJR084W
OG0000378	snap_masked-AZAH01000001.1-processed-gene-1.32-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.32&CDS=1-306	YJR085C
OG0000379	snap_masked-AZAH01000001.1-processed-gene-1.11-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.11&CDS=1-285	YJR086W
OG0000380	snap_masked-AZAH01000001.1-processed-gene-1.33-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.33&CDS=1-564	YPR037C
OG0000381	snap_masked-AZAH01000001.1-processed-gene-1.12-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.12&CDS=1-1122	YPR040W
OG0000382	snap_masked-AZAH01000001.1-processed-gene-1.34-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.34&CDS=1-870	YJR088C
OG0000383	snap_masked-AZAH01000001.1-processed-gene-1.13-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.13&CDS=1-1221	YPR041W
OG0000384	augustus_masked-AZAH01000001.1-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-1.118&CDS=1-2487	YJR089W
OG0000385	snap_masked-AZAH01000001.1-processed-gene-1.35-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.35&CDS=1-3441	YJR090C
OG0000386	snap_masked-AZAH01000001.1-processed-gene-1.15-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.15&CDS=1-4317	YBL079W
OG0000387	snap_masked-AZAH01000001.1-processed-gene-1.36-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.36&CDS=1-354	YBL078C
OG0000388	snap_masked-AZAH01000001.1-processed-gene-1.38-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.38&CDS=1-3303	YBL076C
OG0000389	augustus_masked-AZAH01000001.1-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-1.142&CDS=1-1110	YBL074C
OG0000390	snap_masked-AZAH01000001.1-processed-gene-1.16-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.16&CDS=1-243	YBL071W-A
OG0000391	augustus_masked-AZAH01000001.1-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-1.144&CDS=1-735	YER100W
OG0000392	augustus_masked-AZAH01000001.1-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-1.146&CDS=1-3183	YBL066C
OG0000393	snap_masked-AZAH01000001.1-processed-gene-1.45-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.45&CDS=1-735	YBL064C
OG0000394	snap_masked-AZAH01000001.1-processed-gene-1.46-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.46&CDS=1-2304	YBL061C
OG0000395	snap_masked-AZAH01000001.1-processed-gene-1.47-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.47&CDS=1-1176	YER095W
OG0000396	snap_masked-AZAH01000001.1-processed-gene-1.20-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.20&CDS=1-1962	YBL060W
OG0000397	maker-AZAH01000001.1-snap-gene-1.54-mRNA-1_1&gene=maker-AZAH01000001.1-snap-gene-1.54&CDS=1-621	YER094C
OG0000398	snap_masked-AZAH01000001.1-processed-gene-1.48-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.48&CDS=1-315	YBL059C-A
OG0000399	maker-AZAH01000001.1-augustus-gene-1.105-mRNA-1_1&gene=maker-AZAH01000001.1-augustus-gene-1.105&CDS=1-465	YER093C-A
OG0000400	snap_masked-AZAH01000001.1-processed-gene-1.23-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.23&CDS=1-4053	YER093C
OG0000401	snap_masked-AZAH01000001.1-processed-gene-1.49-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.49&CDS=1-336	YER092W
OG0000402	snap_masked-AZAH01000001.1-processed-gene-1.24-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.24&CDS=1-2301	YER091C
OG0000403	snap_masked-AZAH01000001.1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.25&CDS=1-1179	YBL058W
OG0000404	snap_masked-AZAH01000001.1-processed-gene-1.50-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.50&CDS=1-639	YBL057C
OG0000405	snap_masked-AZAH01000001.1-processed-gene-1.51-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.51&CDS=1-1515	YER090W
OG0000406	snap_masked-AZAH01000001.1-processed-gene-1.26-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.26&CDS=1-1386	YBL056W
OG0000407	augustus_masked-AZAH01000001.1-processed-gene-1.154-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-1.154&CDS=1-1200	YBL055C
OG0000408	snap_masked-AZAH01000001.1-processed-gene-1.27-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.27&CDS=1-1644	YBL054W
OG0000409	snap_masked-AZAH01000001.1-processed-gene-2.119-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.119&CDS=1-1761	YBL051C
OG0000410	snap_masked-AZAH01000001.1-processed-gene-2.120-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.120&CDS=1-1674	YER087W
OG0000411	snap_masked-AZAH01000001.1-processed-gene-2.116-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.116&CDS=1-1683	YER086W
OG0000412	augustus_masked-AZAH01000001.1-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.58&CDS=1-1392	YLR190W
OG0000413	snap_masked-AZAH01000001.1-processed-gene-2.121-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.121&CDS=1-1176	YLR191W
OG0000414	snap_masked-AZAH01000001.1-processed-gene-2.145-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.145&CDS=1-810	YLR192C
OG0000415	snap_masked-AZAH01000001.1-processed-gene-2.146-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.146&CDS=1-6429	YDL171C
OG0000416	augustus_masked-AZAH01000001.1-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.89&CDS=1-531	YLR193C
OG0000417	snap_masked-AZAH01000001.1-processed-gene-2.149-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.149&CDS=1-1356	YLR195C
OG0000418	snap_masked-AZAH01000001.1-processed-gene-2.123-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.123&CDS=1-1695	YLR196W
OG0000419	augustus_masked-AZAH01000001.1-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.92&CDS=1-522	YDL169C
OG0000420	augustus_masked-AZAH01000001.1-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.65&CDS=1-1599	YLR197W
OG0000421	snap_masked-AZAH01000001.1-processed-gene-2.151-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.151&CDS=1-780	YLR199C
OG0000422	snap_masked-AZAH01000001.1-processed-gene-2.125-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.125&CDS=1-318	YLR200W
OG0000423	snap_masked-AZAH01000001.1-processed-gene-2.152-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.152&CDS=1-735	YLR201C
OG0000424	snap_masked-AZAH01000001.1-processed-gene-2.126-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.126&CDS=1-1143	YDL168W
OG0000425	maker-AZAH01000001.1-augustus-gene-2.112-mRNA-1_1&gene=maker-AZAH01000001.1-augustus-gene-2.112&CDS=1-2421	YDL166C
OG0000426	snap_masked-AZAH01000001.1-processed-gene-2.127-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.127&CDS=1-573	YDL165W
OG0000427	snap_masked-AZAH01000001.1-processed-gene-2.155-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.155&CDS=1-1254	YLR203C
OG0000428	snap_masked-AZAH01000001.1-processed-gene-2.156-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.156&CDS=1-939	YLR205C
OG0000429	snap_masked-AZAH01000001.1-processed-gene-2.157-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.157&CDS=1-2058	YDL164C
OG0000430	snap_masked-AZAH01000001.1-processed-gene-2.158-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.158&CDS=1-276	YDL160C-A
OG0000431	augustus_masked-AZAH01000001.1-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.71&CDS=1-1974	YLR207W
OG0000432	augustus_masked-AZAH01000001.1-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.72&CDS=1-738	YDR374C
OG0000433	snap_masked-AZAH01000001.1-processed-gene-2.132-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.132&CDS=1-693	YOR125C
OG0000434	snap_masked-AZAH01000001.1-processed-gene-2.160-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.160&CDS=1-570	YDR373W
OG0000435	snap_masked-AZAH01000001.1-processed-gene-2.133-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.133&CDS=1-3675	YOR124C
OG0000436	snap_masked-AZAH01000001.1-processed-gene-2.134-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.134&CDS=1-1005	YDR372C
OG0000437	snap_masked-AZAH01000001.1-processed-gene-2.161-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.161&CDS=1-1413	YDR371W
OG0000438	snap_masked-AZAH01000001.1-processed-gene-2.135-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.135&CDS=1-1347	YOR123C
OG0000439	snap_masked-AZAH01000001.1-processed-gene-2.136-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.136&CDS=1-423	YOR122C
OG0000440	augustus_masked-AZAH01000001.1-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.79&CDS=1-1527	YBR030W
OG0000441	snap_masked-AZAH01000001.1-processed-gene-2.138-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.138&CDS=1-1482	YKL217W
OG0000442	snap_masked-AZAH01000001.1-processed-gene-2.165-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.165&CDS=1-1044	YBR034C
OG0000443	snap_masked-AZAH01000001.1-processed-gene-2.166-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.166&CDS=1-612	YDR013W
OG0000444	augustus_masked-AZAH01000001.1-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.82&CDS=1-1728	YDR014W
OG0000445	snap_masked-AZAH01000001.1-processed-gene-2.167-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.167&CDS=1-678	YBR035C
OG0000446	snap_masked-AZAH01000001.1-processed-gene-2.169-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.169&CDS=1-327	YDR016C
OG0000447	maker-AZAH01000001.1-snap-gene-2.174-mRNA-1_1&gene=maker-AZAH01000001.1-snap-gene-2.174&CDS=1-2313	YDR017C
OG0000448	snap_masked-AZAH01000001.1-processed-gene-2.141-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.141&CDS=1-870	YBR039W
OG0000449	snap_masked-AZAH01000001.1-processed-gene-2.142-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.142&CDS=1-837	YBR040W
OG0000450	snap_masked-AZAH01000001.1-processed-gene-2.143-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.143&CDS=1-1914	YBR041W
OG0000451	augustus_masked-AZAH01000001.1-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-2.111&CDS=1-3033	YBR042C
OG0000452	snap_masked-AZAH01000001.1-processed-gene-3.55-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.55&CDS=1-1167	YNL175C
OG0000453	augustus_masked-AZAH01000001.1-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-3.4&CDS=1-1755	YDL211C
OG0000454	snap_masked-AZAH01000001.1-processed-gene-3.57-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.57&CDS=1-906	YNL177C
OG0000455	augustus_masked-AZAH01000001.1-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-3.8&CDS=1-1383	YNL178W
OG0000456	snap_masked-AZAH01000001.1-processed-gene-3.62-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.62&CDS=1-1182	YNL181W
OG0000457	snap_masked-AZAH01000001.1-processed-gene-3.59-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.59&CDS=1-1557	YNL182C
OG0000458	snap_masked-AZAH01000001.1-processed-gene-3.63-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.63&CDS=1-621	YDL213C
OG0000459	snap_masked-AZAH01000001.1-processed-gene-3.65-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.65&CDS=1-444	YNL185C
OG0000460	snap_masked-AZAH01000001.1-processed-gene-3.86-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.86&CDS=1-2265	YNL186W
OG0000461	snap_masked-AZAH01000001.1-processed-gene-3.66-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.66&CDS=1-1230	YDL216C
OG0000462	genemark-AZAH01000001.1-processed-gene-3.141-mRNA-1_1&gene=genemark-AZAH01000001.1-processed-gene-3.141&CDS=1-1005	YNL187W
OG0000463	snap_masked-AZAH01000001.1-processed-gene-3.67-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.67&CDS=1-603	YDL217C
OG0000464	snap_masked-AZAH01000001.1-processed-gene-3.88-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.88&CDS=1-1629	YNL189W
OG0000465	snap_masked-AZAH01000001.1-processed-gene-3.92-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.92&CDS=1-1542	YNL193W
OG0000466	augustus_masked-AZAH01000001.1-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-3.15&CDS=1-2604	YDL220C
OG0000467	snap_masked-AZAH01000001.1-processed-gene-3.71-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.71&CDS=1-2151	YNL197C
OG0000468	snap_masked-AZAH01000001.1-processed-gene-3.93-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.93&CDS=1-1761	YDL225W
OG0000469	augustus_masked-AZAH01000001.1-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-3.19&CDS=1-1269	YNL199C
OG0000470	snap_masked-AZAH01000001.1-processed-gene-3.73-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.73&CDS=1-717	YNL200C
OG0000471	snap_masked-AZAH01000001.1-processed-gene-3.74-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.74&CDS=1-2535	YNL201C
OG0000472	snap_masked-AZAH01000001.1-processed-gene-3.94-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.94&CDS=1-894	YNL202W
OG0000473	snap_masked-AZAH01000001.1-processed-gene-3.75-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.75&CDS=1-1101	YDL226C
OG0000474	snap_masked-AZAH01000001.1-processed-gene-3.76-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.76&CDS=1-1281	YNL206C
OG0000475	snap_masked-AZAH01000001.1-processed-gene-3.95-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.95&CDS=1-1272	YNL207W
OG0000476	maker-AZAH01000001.1-snap-gene-3.52-mRNA-1_1&gene=maker-AZAH01000001.1-snap-gene-3.52&CDS=1-2403	YNL212W
OG0000477	snap_masked-AZAH01000001.1-processed-gene-3.97-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.97&CDS=1-3168	YDL231C
OG0000478	snap_masked-AZAH01000001.1-processed-gene-3.78-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.78&CDS=1-981	YDL230W
OG0000479	augustus_masked-AZAH01000001.1-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-3.26&CDS=1-936	YNL210W
OG0000480	snap_masked-AZAH01000001.1-processed-gene-3.81-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.81&CDS=1-657	YNL213C
OG0000481	genemark-AZAH01000001.1-processed-gene-3.152-mRNA-1_1&gene=genemark-AZAH01000001.1-processed-gene-3.152&CDS=1-1209	YDL233W
OG0000482	snap_masked-AZAH01000001.1-processed-gene-3.82-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.82&CDS=1-2244	YDL234C
OG0000483	snap_masked-AZAH01000001.1-processed-gene-3.101-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.101&CDS=1-2103	YNL216W
OG0000484	snap_masked-AZAH01000001.1-processed-gene-3.83-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.83&CDS=1-414	YDL235C
OG0000485	snap_masked-AZAH01000001.1-processed-gene-3.102-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.102&CDS=1-1674	YNL218W
OG0000486	snap_masked-AZAH01000001.1-processed-gene-3.103-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.103&CDS=1-915	YDL236W
OG0000487	snap_masked-AZAH01000001.1-processed-gene-3.84-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.84&CDS=1-1662	YNL219C
OG0000488	snap_masked-AZAH01000001.1-processed-gene-3.104-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.104&CDS=1-1302	YNL220W
OG0000489	snap_masked-AZAH01000001.1-processed-gene-3.85-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.85&CDS=1-2499	YNL221C
OG0000490	maker-AZAH01000001.1-augustus-gene-3.2-mRNA-1_1&gene=maker-AZAH01000001.1-augustus-gene-3.2&CDS=1-2064	YNL222W
OG0000491	snap_masked-AZAH01000001.1-processed-gene-4.92-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-4.92&CDS=1-2070	YNL224C
OG0000492	snap_masked-AZAH01000001.1-processed-gene-4.93-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-4.93&CDS=1-2553	YNL225C
OG0000493	maker-AZAH01000001.1-augustus-gene-4.89-mRNA-1_1&gene=maker-AZAH01000001.1-augustus-gene-4.89&CDS=1-2934	YNL229C
OG0000494	snap_masked-AZAH01000001.1-processed-gene-4.112-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-4.112&CDS=1-822	YNL232W
