	Babjeviella_inositovora	Saccharomyces_cerevisiae
OG0000400	genemark-scaffold_5-processed-gene-3.108-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.108&CDS=1-1503, genemark-scaffold_5-processed-gene-7.11-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.11&CDS=1-1275	YAL040C
OG0000401	maker-scaffold_5-snap-gene-4.71-mRNA-1_1&gene=maker-scaffold_5-snap-gene-4.71&CDS=1-3276	YLR187W, YNL278W
OG0000402	snap_masked-scaffold_5-processed-gene-4.27-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.27&CDS=1-1431	YCL048W, YDR522C
OG0000403	genemark-scaffold_5-processed-gene-4.109-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.109&CDS=1-963	YCL050C, YDR530C
OG0000404	genemark-scaffold_5-processed-gene-4.100-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.100&CDS=1-1695	YIR031C, YNL117W
OG0000405	genemark-scaffold_5-processed-gene-5.23-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.23&CDS=1-1317	YGL162W, YPR009W
OG0000406	genemark-scaffold_5-processed-gene-6.19-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.19&CDS=1-3579	YHR155W, YNL257C
OG0000407	genemark-scaffold_5-processed-gene-7.18-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.18&CDS=1-4587	YCL068C, YCR038C
OG0000408	genemark-scaffold_5-processed-gene-8.34-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.34&CDS=1-1314, genemark-scaffold_5-processed-gene-8.35-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.35&CDS=1-1326	YNR074C
OG0000409	genemark-scaffold_5-processed-gene-8.39-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.39&CDS=1-2925	YBR150C, YOL089C
OG0000410	genemark-scaffold_6-processed-gene-0.12-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.12&CDS=1-1851	YGR138C, YPR156C
OG0000411	genemark-scaffold_6-processed-gene-0.33-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.33&CDS=1-393	YBL002W, YDR224C
OG0000412	genemark-scaffold_6-processed-gene-0.17-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.17&CDS=1-1503	YGR121C, YPR138C
OG0000413	genemark-scaffold_6-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.18&CDS=1-1311, genemark-scaffold_8-processed-gene-7.64-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-7.64&CDS=1-1302	YHL021C
OG0000414	genemark-scaffold_6-processed-gene-0.19-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.19&CDS=1-396	YHL001W, YKL006W
OG0000415	genemark-scaffold_6-processed-gene-0.27-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.27&CDS=1-2373	YCR091W, YNR047W
OG0000416	maker-scaffold_6-snap-gene-1.4-mRNA-1_1&gene=maker-scaffold_6-snap-gene-1.4&CDS=1-1338	YIR035C, YIR036C
OG0000417	genemark-scaffold_6-processed-gene-1.33-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.33&CDS=1-708	YBR181C, YPL090C
OG0000418	genemark-scaffold_6-processed-gene-1.34-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.34&CDS=1-1947	YBR182C, YPL089C
OG0000419	genemark-scaffold_6-processed-gene-1.19-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.19&CDS=1-966	YPR013C, YPR015C
OG0000420	genemark-scaffold_6-processed-gene-2.22-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.22&CDS=1-1260	YBR161W, YPL057C
OG0000421	genemark-scaffold_6-processed-gene-2.43-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.43&CDS=1-1524	YJL134W, YKR053C
OG0000422	genemark-scaffold_6-processed-gene-3.3-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.3&CDS=1-1188	YJL138C, YKR059W
OG0000423	genemark-scaffold_6-processed-gene-3.11-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.11&CDS=1-2007	YBR172C, YPL105C
OG0000424	genemark-scaffold_6-processed-gene-3.39-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.39&CDS=1-846	YBR183W, YPL087W
OG0000425	genemark-scaffold_6-processed-gene-4.33-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.33&CDS=1-939, genemark-scaffold_6-processed-gene-8.7-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.7&CDS=1-960	YBR149W
OG0000426	genemark-scaffold_6-processed-gene-4.37-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.37&CDS=1-522	YLR456W, YPR172W
OG0000427	genemark-scaffold_6-processed-gene-5.13-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.13&CDS=1-786	YGR214W, YLR048W
OG0000428	genemark-scaffold_6-processed-gene-6.9-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.9&CDS=1-435	YGR118W, YPR132W
OG0000429	genemark-scaffold_6-processed-gene-6.39-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.39&CDS=1-1869	YER059W, YIL050W
OG0000430	maker-scaffold_6-snap-gene-6.139-mRNA-1_1&gene=maker-scaffold_6-snap-gene-6.139&CDS=1-651	YER057C, YIL051C
OG0000431	genemark-scaffold_6-processed-gene-7.22-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.22&CDS=1-2244	YBR001C, YDR001C
OG0000432	genemark-scaffold_6-processed-gene-7.12-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.12&CDS=1-1452	YLR260W, YOR171C
OG0000433	genemark-scaffold_6-processed-gene-7.14-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.14&CDS=1-849	YMR183C, YPL232W
OG0000434	augustus_masked-scaffold_7-processed-gene-5.9-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.9&CDS=1-2388, genemark-scaffold_6-processed-gene-7.36-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.36&CDS=1-1926	YLL024C
OG0000435	genemark-scaffold_6-processed-gene-8.6-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.6&CDS=1-933	YBR147W, YOL092W
OG0000436	genemark-scaffold_6-processed-gene-8.39-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.39&CDS=1-711	YHR043C, YHR044C
OG0000437	genemark-scaffold_6-processed-gene-8.12-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.12&CDS=1-669	YBR005W, YDR003W
OG0000438	genemark-scaffold_6-processed-gene-8.46-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.46&CDS=1-891	YIL114C, YNL055C
OG0000439	genemark-scaffold_7-processed-gene-0.87-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.87&CDS=1-969, snap_masked-scaffold_9-processed-gene-3.49-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-3.49&CDS=1-261	YKL195W
OG0000440	snap_masked-scaffold_7-processed-gene-0.66-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-0.66&CDS=1-1284	YLR300W, YOR190W
OG0000441	genemark-scaffold_7-processed-gene-1.35-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.35&CDS=1-951	YDR368W, YOR120W
OG0000442	genemark-scaffold_7-processed-gene-2.91-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.91&CDS=1-1899	YEL047C, YJR051W
OG0000443	genemark-scaffold_7-processed-gene-2.109-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.109&CDS=1-1290, genemark-scaffold_9-processed-gene-2.34-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.34&CDS=1-1257	YLR027C
OG0000444	maker-scaffold_7-snap-gene-2.113-mRNA-1_1&gene=maker-scaffold_7-snap-gene-2.113&CDS=1-2424	YMR119W, YNL008C
OG0000445	genemark-scaffold_7-processed-gene-2.94-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.94&CDS=1-1977, snap_masked-scaffold_9-processed-gene-5.61-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-5.61&CDS=1-2703	YLR138W
OG0000446	genemark-scaffold_7-processed-gene-3.2-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.2&CDS=1-2103, genemark-scaffold_7-processed-gene-5.102-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.102&CDS=1-1893	YDL056W
OG0000447	genemark-scaffold_7-processed-gene-4.70-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.70&CDS=1-783	YDR151C, YLR136C
OG0000448	genemark-scaffold_7-processed-gene-4.74-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.74&CDS=1-3897	YER132C, YGL197W
OG0000449	genemark-scaffold_7-processed-gene-4.90-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.90&CDS=1-1635	YMR199W, YPL256C
OG0000450	genemark-scaffold_7-processed-gene-5.81-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.81&CDS=1-3036	YLR450W, YML075C
OG0000451	genemark-scaffold_7-processed-gene-5.92-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.92&CDS=1-1158	YLR449W, YML074C
OG0000452	genemark-scaffold_7-processed-gene-6.31-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.31&CDS=1-390	YGR243W, YHR162W
OG0000453	genemark-scaffold_7-processed-gene-7.67-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.67&CDS=1-609	YDL082W, YMR142C
OG0000454	genemark-scaffold_7-processed-gene-7.27-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.27&CDS=1-426	YDL083C, YMR143W
OG0000455	genemark-scaffold_7-processed-gene-7.39-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.39&CDS=1-1452, genemark-scaffold_8-processed-gene-4.5-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-4.5&CDS=1-1779	YHL027W
OG0000456	genemark-scaffold_7-processed-gene-7.47-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.47&CDS=1-1134	YHR146W, YNL173C
OG0000457	snap_masked-scaffold_8-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.6&CDS=1-4689	YEL022W, YJR031C
OG0000458	genemark-scaffold_8-processed-gene-1.10-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.10&CDS=1-3990	YLL016W, YLR310C
OG0000459	genemark-scaffold_8-processed-gene-1.21-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.21&CDS=1-1053	YIL135C, YNL074C
OG0000460	genemark-scaffold_8-processed-gene-1.37-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.37&CDS=1-1284	YBL056W, YER089C
OG0000461	genemark-scaffold_8-processed-gene-4.15-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-4.15&CDS=1-1350	YAL062W, YOR375C
OG0000462	genemark-scaffold_8-processed-gene-6.75-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.75&CDS=1-4233, genemark-scaffold_8-processed-gene-6.77-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.77&CDS=1-4176	YGR281W
OG0000463	genemark-scaffold_8-processed-gene-6.101-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.101&CDS=1-2565	YGL049C, YGR162W
OG0000464	genemark-scaffold_8-processed-gene-6.108-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.108&CDS=1-945	YJL133W, YKR052C
OG0000465	genemark-scaffold_8-processed-gene-7.16-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-7.16&CDS=1-1281	YGR010W, YLR328W
OG0000466	genemark-scaffold_8-processed-gene-7.50-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-7.50&CDS=1-357	YER131W, YGL189C
OG0000467	genemark-scaffold_9-processed-gene-0.69-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.69&CDS=1-1422	YGR177C, YOR377W
OG0000468	genemark-scaffold_9-processed-gene-0.75-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.75&CDS=1-1218	YAL015C, YOL043C
OG0000469	genemark-scaffold_9-processed-gene-2.10-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.10&CDS=1-1143	YER045C, YIL036W
OG0000470	genemark-scaffold_9-processed-gene-2.17-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.17&CDS=1-1062	YJL137C, YKR058W
OG0000471	genemark-scaffold_9-processed-gene-2.33-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.33&CDS=1-1104	YOR390W, YPL279C
OG0000472	genemark-scaffold_9-processed-gene-3.89-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.89&CDS=1-816	YCR010C, YNR002C
OG0000473	genemark-scaffold_9-processed-gene-3.105-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.105&CDS=1-1245	YMR253C, YPL264C
OG0000474	genemark-scaffold_9-processed-gene-3.99-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.99&CDS=1-2319	YBR033W, YKL038W
OG0000475	genemark-scaffold_9-processed-gene-3.123-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.123&CDS=1-1299	YBR177C, YPL095C
OG0000476	genemark-scaffold_9-processed-gene-4.19-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.19&CDS=1-687	YDR098C, YER174C
OG0000477	genemark-scaffold_9-processed-gene-6.22-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-6.22&CDS=1-1689	YGL071W, YPL202C
OG0000478	genemark-scaffold_9-processed-gene-6.61-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-6.61&CDS=1-1446	YCL011C, YNL004W
OG0000479	genemark-scaffold_9-processed-gene-6.39-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-6.39&CDS=1-3654	YAL017W, YOL045W
OG0000480	genemark-scaffold_9-processed-gene-6.78-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-6.78&CDS=1-1755	YBR238C, YGL107C
OG0000481		YBL005W, YER184C, YGL013C
OG0000482	genemark-scaffold_1-processed-gene-0.80-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.80&CDS=1-1158	YDR517W
OG0000483	genemark-scaffold_1-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.83&CDS=1-2034	YPR074C
OG0000484	snap_masked-scaffold_1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.39&CDS=1-930	YOR238W
OG0000485	augustus_masked-scaffold_1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.20&CDS=1-1527	YJL044C
OG0000486	genemark-scaffold_1-processed-gene-0.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.85&CDS=1-1803	YGR054W
OG0000487	genemark-scaffold_1-processed-gene-0.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.86&CDS=1-2379	YKL078W
OG0000488	genemark-scaffold_1-processed-gene-0.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.103&CDS=1-1470	YFL018C
OG0000489	genemark-scaffold_1-processed-gene-0.104-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.104&CDS=1-1092	YLR056W
OG0000490	genemark-scaffold_1-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.105&CDS=1-1155	YBR192W
OG0000491	genemark-scaffold_1-processed-gene-0.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.87&CDS=1-780	YBR193C
OG0000492	genemark-scaffold_1-processed-gene-0.106-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.106&CDS=1-753	YFL045C
OG0000493	genemark-scaffold_1-processed-gene-0.89-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.89&CDS=1-984	YFL028C
OG0000494	augustus_masked-scaffold_1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.27&CDS=1-1761	YMR139W
OG0000495	genemark-scaffold_1-processed-gene-0.109-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.109&CDS=1-669	YLR075W
OG0000496	genemark-scaffold_1-processed-gene-0.91-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.91&CDS=1-555	YLR074C
OG0000497	genemark-scaffold_1-processed-gene-0.110-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.110&CDS=1-1371	YJR122W
OG0000498	genemark-scaffold_1-processed-gene-0.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.92&CDS=1-1695	YER068W
OG0000499	genemark-scaffold_1-processed-gene-0.93-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.93&CDS=1-705	YIL064W
OG0000500	genemark-scaffold_1-processed-gene-0.111-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.111&CDS=1-969	YIL061C
OG0000501	genemark-scaffold_1-processed-gene-0.112-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.112&CDS=1-1038	YIL063C
OG0000502	genemark-scaffold_1-processed-gene-0.113-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.113&CDS=1-1449	YPL078C
OG0000503	genemark-scaffold_1-processed-gene-1.5-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.5&CDS=1-612	YMR121C
OG0000504	genemark-scaffold_1-processed-gene-1.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.3&CDS=1-1428	YBR195C
OG0000505	genemark-scaffold_1-processed-gene-1.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.6&CDS=1-1176	YLR063W
OG0000506	genemark-scaffold_1-processed-gene-1.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.12&CDS=1-399	YKL170W
OG0000507	genemark-scaffold_1-processed-gene-1.25-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.25&CDS=1-1527	YHR176W
OG0000508	genemark-scaffold_1-processed-gene-1.26-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.26&CDS=1-945	YML125C
OG0000509	genemark-scaffold_1-processed-gene-1.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.13&CDS=1-447	YCR063W
OG0000510	genemark-scaffold_1-processed-gene-1.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.28&CDS=1-1413	YCR066W
OG0000511	genemark-scaffold_1-processed-gene-1.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.30&CDS=1-1581	YCR068W
OG0000512	genemark-scaffold_1-processed-gene-1.31-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.31&CDS=1-924	YNR027W
OG0000513	genemark-scaffold_1-processed-gene-1.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.17&CDS=1-435	YBR282W
OG0000514	genemark-scaffold_1-processed-gene-1.34-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.34&CDS=1-672	YBR278W
OG0000515	genemark-scaffold_1-processed-gene-1.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.18&CDS=1-2151	YGR042W
OG0000516	genemark-scaffold_1-processed-gene-1.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.20&CDS=1-1005	YGR044C
OG0000517	genemark-scaffold_1-processed-gene-1.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.37&CDS=1-894	YGR053C
OG0000518	genemark-scaffold_1-processed-gene-1.38-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.38&CDS=1-459	YDL208W
OG0000519	genemark-scaffold_1-processed-gene-2.2-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.2&CDS=1-603	YOR294W
OG0000520	genemark-scaffold_1-processed-gene-2.0-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.0&CDS=1-3720	YOR296W
OG0000521	genemark-scaffold_1-processed-gene-2.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.3&CDS=1-1494	YDR235W
OG0000522	genemark-scaffold_1-processed-gene-2.4-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.4&CDS=1-1977	YMR001C
OG0000523	maker-scaffold_1-snap-gene-2.49-mRNA-1_1&gene=maker-scaffold_1-snap-gene-2.49&CDS=1-360	YOL005C
OG0000524	maker-scaffold_1-augustus-gene-2.43-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.43&CDS=1-6114	YOL004W
OG0000525	genemark-scaffold_1-processed-gene-2.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.7&CDS=1-2781	YDR238C
OG0000526	genemark-scaffold_1-processed-gene-2.26-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.26&CDS=1-873	YDR237W
OG0000527	genemark-scaffold_1-processed-gene-2.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.8&CDS=1-1665	YDL207W
OG0000528	genemark-scaffold_1-processed-gene-2.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.27&CDS=1-591	YDR236C
OG0000529	genemark-scaffold_1-processed-gene-2.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.10&CDS=1-1386	YGR052W
OG0000530	genemark-scaffold_1-processed-gene-2.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.30&CDS=1-1185	YLR355C
OG0000531	genemark-scaffold_1-processed-gene-2.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.15&CDS=1-594	YDR248C
OG0000532	genemark-scaffold_1-processed-gene-2.34-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.34&CDS=1-1629	YMR250W
OG0000533	genemark-scaffold_1-processed-gene-2.36-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.36&CDS=1-984	YOR271C
OG0000534	genemark-scaffold_1-processed-gene-2.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.20&CDS=1-1833	YEL065W
OG0000535	genemark-scaffold_1-processed-gene-2.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.37&CDS=1-459	YLR271W
OG0000536	genemark-scaffold_1-processed-gene-2.38-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.38&CDS=1-645	YLR268W
OG0000537	genemark-scaffold_1-processed-gene-2.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.22&CDS=1-810	YOR174W
OG0000538	genemark-scaffold_1-processed-gene-2.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.41&CDS=1-1899	YML102W
OG0000539	maker-scaffold_1-snap-gene-3.0-mRNA-1_1&gene=maker-scaffold_1-snap-gene-3.0&CDS=1-1218	YOL009C
OG0000540	genemark-scaffold_1-processed-gene-3.26-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.26&CDS=1-1197	YPL042C
OG0000541	genemark-scaffold_1-processed-gene-3.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.27&CDS=1-753	YPL041C
OG0000542	genemark-scaffold_1-processed-gene-3.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.12&CDS=1-2913	YPL040C
OG0000543	genemark-scaffold_1-processed-gene-3.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.28&CDS=1-2472	YPL029W
OG0000544	genemark-scaffold_1-processed-gene-3.29-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.29&CDS=1-471	YDR246W
OG0000545	genemark-scaffold_1-processed-gene-3.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.14&CDS=1-636	YPL024W
OG0000546	genemark-scaffold_1-processed-gene-3.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.30&CDS=1-1896	YPL023C
OG0000547	genemark-scaffold_1-processed-gene-3.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.15&CDS=1-2817	YPL022W
OG0000548	genemark-scaffold_1-processed-gene-3.31-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.31&CDS=1-3603	YPL016W
OG0000549	genemark-scaffold_1-processed-gene-3.32-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.32&CDS=1-999	YDR245W
OG0000550	genemark-scaffold_1-processed-gene-3.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.17&CDS=1-978	YDL209C
OG0000551	genemark-scaffold_1-processed-gene-3.34-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.34&CDS=1-1683	YDR244W
OG0000552	genemark-scaffold_1-processed-gene-3.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.18&CDS=1-1656	YDR243C
OG0000553	genemark-scaffold_1-processed-gene-3.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.35&CDS=1-1377	YKL172W
OG0000554	maker-scaffold_1-snap-gene-3.2-mRNA-1_1&gene=maker-scaffold_1-snap-gene-3.2&CDS=1-1275	YJL167W
OG0000555	genemark-scaffold_1-processed-gene-3.36-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.36&CDS=1-1929	YKL179C
OG0000556	genemark-scaffold_1-processed-gene-3.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.37&CDS=1-1395	YHR018C
OG0000557	genemark-scaffold_1-processed-gene-3.38-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.38&CDS=1-906	YOR164C
OG0000558	genemark-scaffold_1-processed-gene-3.39-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.39&CDS=1-2424	YNL126W
OG0000559	genemark-scaffold_1-processed-gene-3.40-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.40&CDS=1-2526	YNL127W
OG0000560	genemark-scaffold_1-processed-gene-3.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.21&CDS=1-585	YHR121W
OG0000561	genemark-scaffold_1-processed-gene-3.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.41&CDS=1-1029	YNL128W
OG0000562	genemark-scaffold_1-processed-gene-3.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.22&CDS=1-2847	YHR120W
OG0000563	genemark-scaffold_1-processed-gene-3.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.42&CDS=1-1884	YNL124W
OG0000564	augustus_masked-scaffold_1-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.89&CDS=1-1671	YHR124W
