	Metschnikowia_ipomoeae	Saccharomyces_cerevisiae
OG0000439	snap_masked-ipo_s445-processed-gene-0.55-mRNA-1_1&gene=snap_masked-ipo_s445-processed-gene-0.55&CDS=1-1698, snap_masked-ipo_s73-processed-gene-1.125-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.125&CDS=1-1740	YBR132C
OG0000440	snap_masked-ipo_s45-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ipo_s45-processed-gene-0.10&CDS=1-1269	YDR451C, YML027W
OG0000441	snap_masked-ipo_s45-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ipo_s45-processed-gene-0.12&CDS=1-1545, snap_masked-ipo_s81-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ipo_s81-processed-gene-0.13&CDS=1-393	YPL003W
OG0000442	snap_masked-ipo_s450-processed-gene-0.24-mRNA-1_1&gene=snap_masked-ipo_s450-processed-gene-0.24&CDS=1-4701, snap_masked-ipo_s56-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s56-processed-gene-0.4&CDS=1-213	YGL131C
OG0000443	snap_masked-ipo_s450-processed-gene-0.28-mRNA-1_1&gene=snap_masked-ipo_s450-processed-gene-0.28&CDS=1-1395	YFL048C, YLR080W
OG0000444	augustus_masked-ipo_s453-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-ipo_s453-processed-gene-0.17&CDS=1-528, maker-ipo_s99-snap-gene-0.89-mRNA-1_1&gene=maker-ipo_s99-snap-gene-0.89&CDS=1-1233	YJL123C
OG0000445	snap_masked-ipo_s459-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ipo_s459-processed-gene-0.12&CDS=1-189	YLR264W, YOR167C
OG0000446	augustus_masked-ipo_s46-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-ipo_s46-processed-gene-0.50&CDS=1-3570	YHR155W, YNL257C
OG0000447	augustus_masked-ipo_s46-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-ipo_s46-processed-gene-0.70&CDS=1-390	YHL001W, YKL006W
OG0000448	genemark-ipo_s460-processed-gene-0.4-mRNA-1_1&gene=genemark-ipo_s460-processed-gene-0.4&CDS=1-282	YJR094W-A, YPR043W
OG0000449	snap_masked-ipo_s462-processed-gene-0.41-mRNA-1_1&gene=snap_masked-ipo_s462-processed-gene-0.41&CDS=1-2547, snap_masked-ipo_s80-processed-gene-0.88-mRNA-1_1&gene=snap_masked-ipo_s80-processed-gene-0.88&CDS=1-198	YIL140W
OG0000450	snap_masked-ipo_s462-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ipo_s462-processed-gene-0.26&CDS=1-966	YJL133W, YKR052C
OG0000451	snap_masked-ipo_s462-processed-gene-0.28-mRNA-1_1&gene=snap_masked-ipo_s462-processed-gene-0.28&CDS=1-1572	YLL012W, YLR020C
OG0000452	augustus_masked-ipo_s463-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-ipo_s463-processed-gene-0.84&CDS=1-2622	YMR237W, YOR299W
OG0000453	augustus_masked-ipo_s463-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-ipo_s463-processed-gene-0.76&CDS=1-3882	YDR409W, YOR156C
OG0000454	augustus_masked-ipo_s463-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-ipo_s463-processed-gene-0.93&CDS=1-2247, snap_masked-ipo_s95-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s95-processed-gene-0.5&CDS=1-183	YNL258C
OG0000455	snap_masked-ipo_s50-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ipo_s50-processed-gene-0.22&CDS=1-891	YMR222C, YOR280C
OG0000456	snap_masked-ipo_s58-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ipo_s58-processed-gene-0.15&CDS=1-513	YJL177W, YKL180W
OG0000457	snap_masked-ipo_s58-processed-gene-0.40-mRNA-1_1&gene=snap_masked-ipo_s58-processed-gene-0.40&CDS=1-1254	YJL139C, YKR061W
OG0000458	augustus_masked-ipo_s58-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-ipo_s58-processed-gene-0.149&CDS=1-3195	YGR056W, YLR357W
OG0000459	snap_masked-ipo_s60-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ipo_s60-processed-gene-0.19&CDS=1-729	YDR259C, YOR028C
OG0000460	snap_masked-ipo_s62-processed-gene-0.38-mRNA-1_1&gene=snap_masked-ipo_s62-processed-gene-0.38&CDS=1-546	YBR005W, YDR003W
OG0000461	snap_masked-ipo_s67-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s67-processed-gene-0.2&CDS=1-4095	YGR070W, YLR371W
OG0000462	snap_masked-ipo_s67-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s67-processed-gene-0.4&CDS=1-1383	YDL048C, YLR375W
OG0000463	snap_masked-ipo_s71-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_s71-processed-gene-0.8&CDS=1-2139	YIL095W, YNL020C
OG0000464	snap_masked-ipo_s73-processed-gene-0.87-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.87&CDS=1-1797	YJL083W, YKR019C
OG0000465	snap_masked-ipo_s73-processed-gene-0.120-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.120&CDS=1-717	YDR098C, YER174C
OG0000466	snap_masked-ipo_s73-processed-gene-0.124-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.124&CDS=1-2367	YDR264C, YOR034C
OG0000467	augustus_masked-ipo_s73-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-ipo_s73-processed-gene-0.83&CDS=1-1137	YCL048W, YDR522C
OG0000468	snap_masked-ipo_s73-processed-gene-1.114-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.114&CDS=1-1926	YDR263C, YOR033C
OG0000469	snap_masked-ipo_s73-processed-gene-1.129-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-1.129&CDS=1-1776	YIL085C, YNL029C
OG0000470	genemark-ipo_s73-processed-gene-1.42-mRNA-1_1&gene=genemark-ipo_s73-processed-gene-1.42&CDS=1-1122	YIL135C, YNL074C
OG0000471	snap_masked-ipo_s73-processed-gene-2.15-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.15&CDS=1-768, snap_masked-ipo_s80-processed-gene-0.85-mRNA-1_1&gene=snap_masked-ipo_s80-processed-gene-0.85&CDS=1-768	YLR441C
OG0000472	snap_masked-ipo_s73-processed-gene-2.8-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.8&CDS=1-861	YDR253C, YPL038W
OG0000473	augustus_masked-ipo_s73-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-ipo_s73-processed-gene-2.71&CDS=1-426	YDL083C, YMR143W
OG0000474	snap_masked-ipo_s73-processed-gene-3.0-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.0&CDS=1-591	YDL082W, YMR142C
OG0000475	snap_masked-ipo_s73-processed-gene-3.1-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.1&CDS=1-1233	YLR300W, YOR190W
OG0000476	augustus_masked-ipo_s73-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-ipo_s73-processed-gene-3.69&CDS=1-435	YDR450W, YML026C
OG0000477	snap_masked-ipo_s73-processed-gene-3.15-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.15&CDS=1-693	YMR042W, YMR043W
OG0000478	augustus_masked-ipo_s75-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-ipo_s75-processed-gene-0.33&CDS=1-600	YLR287C-A, YOR182C
OG0000479	augustus_masked-ipo_s77-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-ipo_s77-processed-gene-0.86&CDS=1-465	YBR048W, YDR025W
OG0000480	snap_masked-ipo_s77-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.36&CDS=1-639	YBR014C, YDL010W
OG0000481	snap_masked-ipo_s77-processed-gene-0.37-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.37&CDS=1-1653	YIR031C, YNL117W
OG0000482	snap_masked-ipo_s78-processed-gene-0.53-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.53&CDS=1-2709	YIL156W, YKR098C
OG0000483	snap_masked-ipo_s78-processed-gene-0.78-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.78&CDS=1-3543	YDR379W, YOR127W
OG0000484	snap_masked-ipo_s8-processed-gene-0.56-mRNA-1_1&gene=snap_masked-ipo_s8-processed-gene-0.56&CDS=1-843	YDR151C, YLR136C
OG0000485	snap_masked-ipo_s80-processed-gene-0.82-mRNA-1_1&gene=snap_masked-ipo_s80-processed-gene-0.82&CDS=1-1356	YLR449W, YML074C
OG0000486	maker-ipo_s80-augustus-gene-0.0-mRNA-1_1&gene=maker-ipo_s80-augustus-gene-0.0&CDS=1-3243	YLR435W, YML065W
OG0000487	snap_masked-ipo_s80-processed-gene-0.94-mRNA-1_1&gene=snap_masked-ipo_s80-processed-gene-0.94&CDS=1-1527	YMR199W, YPL256C
OG0000488	augustus_masked-ipo_s81-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-ipo_s81-processed-gene-0.67&CDS=1-1278	YHR208W, YJR148W
OG0000489	snap_masked-ipo_s83-processed-gene-0.227-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.227&CDS=1-591	YBL072C, YER102W
OG0000490	augustus_masked-ipo_s83-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-ipo_s83-processed-gene-0.109&CDS=1-996	YBR273C, YJL048C
OG0000491	snap_masked-ipo_s83-processed-gene-0.215-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.215&CDS=1-1071	YJL116C, YKR042W
OG0000492	snap_masked-ipo_s83-processed-gene-0.216-mRNA-1_1&gene=snap_masked-ipo_s83-processed-gene-0.216&CDS=1-2001	YBR216C, YGL060W
OG0000493	snap_masked-ipo_s84-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ipo_s84-processed-gene-0.15&CDS=1-1548	YBR214W, YGL056C
OG0000494	snap_masked-ipo_s86-processed-gene-0.25-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-0.25&CDS=1-1572	YGL257C, YNR059W
OG0000495	snap_masked-ipo_s86-processed-gene-1.109-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.109&CDS=1-2136	YGR241C, YHR161C
OG0000496	snap_masked-ipo_s86-processed-gene-2.129-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.129&CDS=1-2328	YDL109C, YGL144C
OG0000497	maker-ipo_s86-augustus-gene-3.172-mRNA-1_1&gene=maker-ipo_s86-augustus-gene-3.172&CDS=1-1401	YBR104W, YPR058W
OG0000498	snap_masked-ipo_s86-processed-gene-3.37-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.37&CDS=1-1731	YCR048W, YNR019W
OG0000499	snap_masked-ipo_s86-processed-gene-3.54-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-3.54&CDS=1-2532	YDR385W, YOR133W
OG0000500	snap_masked-ipo_s86-processed-gene-4.11-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-4.11&CDS=1-1086	YDL246C, YJR159W
OG0000501	snap_masked-ipo_s86-processed-gene-4.46-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-4.46&CDS=1-1437	YGR121C, YPR138C
OG0000502	snap_masked-ipo_s86-processed-gene-4.56-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-4.56&CDS=1-495	YDR418W, YEL054C
OG0000503	maker-ipo_s86-augustus-gene-4.225-mRNA-1_1&gene=maker-ipo_s86-augustus-gene-4.225&CDS=1-795	YGR214W, YLR048W
OG0000504	snap_masked-ipo_s86-processed-gene-4.29-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-4.29&CDS=1-936	YGL162W, YPR009W
OG0000505	snap_masked-ipo_s86-processed-gene-4.62-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-4.62&CDS=1-870	YBR183W, YPL087W
OG0000506	snap_masked-ipo_s87-processed-gene-0.95-mRNA-1_1&gene=snap_masked-ipo_s87-processed-gene-0.95&CDS=1-402	YBR082C, YDR059C
OG0000507	snap_masked-ipo_s90-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_s90-processed-gene-0.1&CDS=1-1467	YML118W, YMR285C
OG0000508	snap_masked-ipo_s93-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s93-processed-gene-0.2&CDS=1-1257	YAL015C, YOL043C
OG0000509	snap_masked-ipo_s95-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ipo_s95-processed-gene-0.16&CDS=1-4476	YER132C, YGL197W
OG0000510	snap_masked-ipo_s95-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_s95-processed-gene-0.17&CDS=1-2427	YOR256C, YPL176C
OG0000511	snap_masked-ipo_s97-processed-gene-1.65-mRNA-1_1&gene=snap_masked-ipo_s97-processed-gene-1.65&CDS=1-3606	YNL106C, YOR109W
OG0000512	maker-ipo_s97-augustus-gene-1.59-mRNA-1_1&gene=maker-ipo_s97-augustus-gene-1.59&CDS=1-1350	YNL108C, YOR110W
OG0000513	snap_masked-ipo_s99-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ipo_s99-processed-gene-0.14&CDS=1-2040	YCR026C, YEL016C
OG0000514	snap_masked-ipo_s99-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_s99-processed-gene-0.8&CDS=1-2952	YJL098W, YKR028W
OG0000515		YAL051W, YLL054C, YOR363C
OG0000516	snap_masked-ipo_C25509-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_C25509-processed-gene-0.0&CDS=1-426	YPR100W
OG0000517	snap_masked-ipo_C25767-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_C25767-processed-gene-0.2&CDS=1-738	YGL005C
OG0000518	snap_masked-ipo_C26679-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_C26679-processed-gene-0.0&CDS=1-1461	YGL190C
OG0000519	maker-ipo_C26941-augustus-gene-0.4-mRNA-1_1&gene=maker-ipo_C26941-augustus-gene-0.4&CDS=1-2751	YER042W
OG0000520	snap_masked-ipo_C26989-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_C26989-processed-gene-0.6&CDS=1-1026	YLR100W
OG0000521	snap_masked-ipo_C26989-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_C26989-processed-gene-0.8&CDS=1-4167	YDR128W
OG0000522	snap_masked-ipo_C26989-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ipo_C26989-processed-gene-0.7&CDS=1-642	YDR167W
OG0000523	snap_masked-ipo_C27023-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_C27023-processed-gene-0.0&CDS=1-1074	YPL254W
OG0000524	snap_masked-ipo_C27023-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_C27023-processed-gene-0.1&CDS=1-1536	YOR378W
OG0000525	snap_masked-ipo_C27147-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_C27147-processed-gene-0.1&CDS=1-855	YPL065W
OG0000526	snap_masked-ipo_C27147-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_C27147-processed-gene-0.2&CDS=1-828	YFR052W
OG0000527	snap_masked-ipo_C27245-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ipo_C27245-processed-gene-0.9&CDS=1-1284	YGL111W
OG0000528	snap_masked-ipo_C27245-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ipo_C27245-processed-gene-0.11&CDS=1-1017	YGL100W
OG0000529	snap_masked-ipo_C27245-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ipo_C27245-processed-gene-0.10&CDS=1-1485	YBR243C
OG0000530	snap_masked-ipo_C27397-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ipo_C27397-processed-gene-0.11&CDS=1-1650	YOR067C
OG0000531	genemark-ipo_C27397-processed-gene-0.2-mRNA-1_1&gene=genemark-ipo_C27397-processed-gene-0.2&CDS=1-1101	YGL243W
OG0000532	snap_masked-ipo_C27413-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_C27413-processed-gene-0.5&CDS=1-624	YOL114C
OG0000533	snap_masked-ipo_C27545-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ipo_C27545-processed-gene-0.10&CDS=1-483	YKR068C
OG0000534	snap_masked-ipo_C27545-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ipo_C27545-processed-gene-0.7&CDS=1-1083	YDR297W
OG0000535	snap_masked-ipo_C27689-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_C27689-processed-gene-0.1&CDS=1-2604	YML020W
OG0000536	snap_masked-ipo_C27689-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_C27689-processed-gene-0.2&CDS=1-3537	YDR440W
OG0000537	genemark-ipo_C27709-processed-gene-0.3-mRNA-1_1&gene=genemark-ipo_C27709-processed-gene-0.3&CDS=1-639	YML001W
OG0000538	snap_masked-ipo_C27709-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ipo_C27709-processed-gene-0.12&CDS=1-954	YJR096W
OG0000539	snap_masked-ipo_C27709-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_C27709-processed-gene-0.17&CDS=1-1335	YHR190W
OG0000540	snap_masked-ipo_C27831-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_C27831-processed-gene-0.0&CDS=1-729	YLR150W
OG0000541	snap_masked-ipo_C27831-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_C27831-processed-gene-0.1&CDS=1-5649	YDR170C
OG0000542	snap_masked-ipo_C27927-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ipo_C27927-processed-gene-0.15&CDS=1-522	YJR017C
OG0000543	snap_masked-ipo_C27927-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ipo_C27927-processed-gene-0.12&CDS=1-1848	YJR052W
OG0000544	augustus_masked-ipo_C27927-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ipo_C27927-processed-gene-0.5&CDS=1-2307	YML046W
OG0000545	snap_masked-ipo_C27927-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ipo_C27927-processed-gene-0.14&CDS=1-2574	YHR047C
OG0000546	snap_masked-ipo_C27965-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ipo_C27965-processed-gene-0.3&CDS=1-1395	YGL181W
OG0000547	maker-ipo_C27965-snap-gene-0.0-mRNA-1_1&gene=maker-ipo_C27965-snap-gene-0.0&CDS=1-396	YPR017C
OG0000548	snap_masked-ipo_C28237-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ipo_C28237-processed-gene-0.14&CDS=1-1431	YOL137W
OG0000549	snap_masked-ipo_C28237-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_C28237-processed-gene-0.17&CDS=1-258	YGL220W
OG0000550	snap_masked-ipo_C28237-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ipo_C28237-processed-gene-0.18&CDS=1-4227	YDL240W
OG0000551	snap_masked-ipo_C28237-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ipo_C28237-processed-gene-0.19&CDS=1-660	YNL038W
OG0000552	snap_masked-ipo_C28237-processed-gene-0.20-mRNA-1_1&gene=snap_masked-ipo_C28237-processed-gene-0.20&CDS=1-2031	YNL039W
OG0000553	snap_masked-ipo_C28237-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ipo_C28237-processed-gene-0.15&CDS=1-1104	YNL035C
OG0000554	snap_masked-ipo_C28237-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ipo_C28237-processed-gene-0.16&CDS=1-2868	YNL021W
OG0000555	snap_masked-ipo_s10-processed-gene-0.90-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.90&CDS=1-1248	YOL058W
OG0000556	snap_masked-ipo_s10-processed-gene-0.112-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.112&CDS=1-1575	YER051W
OG0000557	snap_masked-ipo_s10-processed-gene-0.91-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.91&CDS=1-1236	YIL042C
OG0000558	snap_masked-ipo_s10-processed-gene-0.92-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.92&CDS=1-1905	YDL146W
OG0000559	snap_masked-ipo_s10-processed-gene-0.113-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.113&CDS=1-3642	YGR233C
OG0000560	maker-ipo_s10-snap-gene-0.134-mRNA-1_1&gene=maker-ipo_s10-snap-gene-0.134&CDS=1-747	YDR002W
OG0000561	snap_masked-ipo_s10-processed-gene-0.115-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.115&CDS=1-3237	YGR218W
OG0000562	snap_masked-ipo_s10-processed-gene-0.94-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.94&CDS=1-1455	YBR003W
OG0000563	snap_masked-ipo_s10-processed-gene-0.117-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.117&CDS=1-843	YGR220C
OG0000564	snap_masked-ipo_s10-processed-gene-0.118-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.118&CDS=1-663	YHR147C
OG0000565	snap_masked-ipo_s10-processed-gene-0.95-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.95&CDS=1-549	YHR148W
OG0000566	snap_masked-ipo_s10-processed-gene-0.121-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.121&CDS=1-363	YJL104W
OG0000567	snap_masked-ipo_s10-processed-gene-0.98-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.98&CDS=1-1848	YKR017C
OG0000568	snap_masked-ipo_s10-processed-gene-0.100-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.100&CDS=1-954	YKR030W
OG0000569	snap_masked-ipo_s10-processed-gene-0.123-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.123&CDS=1-678	YNL129W
OG0000570	snap_masked-ipo_s10-processed-gene-0.102-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.102&CDS=1-798	YNL036W
OG0000571	snap_masked-ipo_s10-processed-gene-0.125-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.125&CDS=1-669	YJL055W
OG0000572	snap_masked-ipo_s10-processed-gene-0.104-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.104&CDS=1-801	YAL014C
OG0000573	snap_masked-ipo_s10-processed-gene-0.126-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.126&CDS=1-420	YJR044C
OG0000574	snap_masked-ipo_s10-processed-gene-0.105-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.105&CDS=1-1581	YOL033W
OG0000575	snap_masked-ipo_s10-processed-gene-0.129-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-0.129&CDS=1-3237	YOL034W
OG0000576	maker-ipo_s10-augustus-gene-0.87-mRNA-1_1&gene=maker-ipo_s10-augustus-gene-0.87&CDS=1-426	YGL106W
OG0000577	maker-ipo_s10-snap-gene-0.135-mRNA-1_1&gene=maker-ipo_s10-snap-gene-0.135&CDS=1-2079	YNL001W
OG0000578	maker-ipo_s10-augustus-gene-1.135-mRNA-1_1&gene=maker-ipo_s10-augustus-gene-1.135&CDS=1-513	YGR029W
OG0000579	genemark-ipo_s10-processed-gene-1.3-mRNA-1_1&gene=genemark-ipo_s10-processed-gene-1.3&CDS=1-3162	YJL187C
OG0000580	snap_masked-ipo_s10-processed-gene-1.184-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.184&CDS=1-639	YBR171W
OG0000581	snap_masked-ipo_s10-processed-gene-1.187-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.187&CDS=1-717	YPL051W
OG0000582	snap_masked-ipo_s10-processed-gene-1.153-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.153&CDS=1-1401	YER081W
OG0000583	snap_masked-ipo_s10-processed-gene-1.154-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.154&CDS=1-2913	YIL075C
OG0000584	snap_masked-ipo_s10-processed-gene-1.157-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.157&CDS=1-1617	YER014W
OG0000585	snap_masked-ipo_s10-processed-gene-1.189-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.189&CDS=1-348	YIR009W
OG0000586	snap_masked-ipo_s10-processed-gene-1.190-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.190&CDS=1-1158	YGL143C
OG0000587	snap_masked-ipo_s10-processed-gene-1.159-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.159&CDS=1-1272	YDL097C
OG0000588	snap_masked-ipo_s10-processed-gene-1.192-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.192&CDS=1-2352	YDL116W
OG0000589	snap_masked-ipo_s10-processed-gene-1.160-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.160&CDS=1-2091	YDL113C
OG0000590	snap_masked-ipo_s10-processed-gene-1.161-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.161&CDS=1-4227	YDL112W
OG0000591	snap_masked-ipo_s10-processed-gene-1.194-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.194&CDS=1-867	YDL111C
OG0000592	augustus_masked-ipo_s10-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-ipo_s10-processed-gene-1.90&CDS=1-4257	YDL090C
OG0000593	snap_masked-ipo_s10-processed-gene-1.196-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.196&CDS=1-372	YDL092W
OG0000594	snap_masked-ipo_s10-processed-gene-1.167-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.167&CDS=1-1554	YMR155W
OG0000595	snap_masked-ipo_s10-processed-gene-1.197-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.197&CDS=1-2613	YBR179C
OG0000596	snap_masked-ipo_s10-processed-gene-1.168-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.168&CDS=1-642	YIR032C
OG0000597	snap_masked-ipo_s10-processed-gene-1.199-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.199&CDS=1-855	YFR043C
OG0000598	snap_masked-ipo_s10-processed-gene-1.170-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.170&CDS=1-2583	YGL233W
OG0000599	snap_masked-ipo_s10-processed-gene-1.171-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.171&CDS=1-861	YMR314W
OG0000600	snap_masked-ipo_s10-processed-gene-1.172-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.172&CDS=1-882	YGL232W
OG0000601	snap_masked-ipo_s10-processed-gene-1.204-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.204&CDS=1-501	YGL231C
OG0000602	genemark-ipo_s10-processed-gene-1.32-mRNA-1_1&gene=genemark-ipo_s10-processed-gene-1.32&CDS=1-1191	YPL138C
OG0000603	snap_masked-ipo_s10-processed-gene-1.205-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.205&CDS=1-1422	YDR403W
OG0000604	snap_masked-ipo_s10-processed-gene-1.176-mRNA-1_1&gene=snap_masked-ipo_s10-processed-gene-1.176&CDS=1-3198	YDR060W
