	Saccharomyces_arboricola	Saccharomyces_cerevisiae
OG0000857	genemark-NC_026174.1-processed-gene-4.74-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.74&CDS=1-495	YDL008W
OG0000858	snap_masked-NC_026174.1-processed-gene-4.20-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-4.20&CDS=1-255	YDL007C-A
OG0000859	genemark-NC_026174.1-processed-gene-4.75-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.75&CDS=1-1311	YDL007W
OG0000860	genemark-NC_026174.1-processed-gene-4.76-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.76&CDS=1-843	YDL006W
OG0000861	snap_masked-NC_026174.1-processed-gene-4.45-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-4.45&CDS=1-1221	YDL005C
OG0000862	genemark-NC_026174.1-processed-gene-4.77-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.77&CDS=1-480	YDL004W
OG0000863	genemark-NC_026174.1-processed-gene-4.78-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.78&CDS=1-1701	YDL003W
OG0000864	genemark-NC_026174.1-processed-gene-4.100-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.100&CDS=1-585	YDL002C
OG0000865	genemark-NC_026174.1-processed-gene-4.79-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.79&CDS=1-1290	YDL001W
OG0000866	genemark-NC_026174.1-processed-gene-4.80-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.80&CDS=1-603	YDR002W
OG0000867	genemark-NC_026174.1-processed-gene-4.81-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.81&CDS=1-624	YDR003W
OG0000868	genemark-NC_026174.1-processed-gene-4.82-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.82&CDS=1-1347	YDR004W
OG0000869	genemark-NC_026174.1-processed-gene-5.12-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.12&CDS=1-3870	YDR006C
OG0000870	genemark-NC_026174.1-processed-gene-5.9-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.9&CDS=1-678	YDR007W
OG0000871	augustus_masked-NC_026174.1-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-5.53&CDS=1-3381	YDR014W
OG0000872	augustus_masked-NC_026174.1-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-5.65&CDS=1-288	YDR016C
OG0000873	snap_masked-NC_026174.1-processed-gene-5.107-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-5.107&CDS=1-3186	YDR017C
OG0000874	maker-NC_026174.1-augustus-gene-5.1-mRNA-1_1&gene=maker-NC_026174.1-augustus-gene-5.1&CDS=1-2394	YDR019C
OG0000875	genemark-NC_026174.1-processed-gene-5.29-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.29&CDS=1-699	YDR020C
OG0000876	genemark-NC_026174.1-processed-gene-5.15-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.15&CDS=1-1197	YDR021W
OG0000877	genemark-NC_026174.1-processed-gene-5.30-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.30&CDS=1-585	YDR022C
OG0000878	genemark-NC_026174.1-processed-gene-5.16-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.16&CDS=1-1386	YDR023W
OG0000879	genemark-NC_026174.1-processed-gene-5.31-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.31&CDS=1-1713	YDR026C
OG0000880	genemark-NC_026174.1-processed-gene-5.32-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.32&CDS=1-2682	YDR027C
OG0000881	genemark-NC_026174.1-processed-gene-5.33-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.33&CDS=1-3078	YDR028C
OG0000882	genemark-NC_026174.1-processed-gene-5.34-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.34&CDS=1-1518	YDR030C
OG0000883	genemark-NC_026174.1-processed-gene-5.18-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.18&CDS=1-363	YDR031W
OG0000884	genemark-NC_026174.1-processed-gene-5.35-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.35&CDS=1-594	YDR032C
OG0000885	genemark-NC_026174.1-processed-gene-5.36-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.36&CDS=1-2352	YDR034C
OG0000886	genemark-NC_026174.1-processed-gene-5.20-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.20&CDS=1-1110	YDR035W
OG0000887	genemark-NC_026174.1-processed-gene-5.37-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.37&CDS=1-1500	YDR036C
OG0000888	genemark-NC_026174.1-processed-gene-5.21-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.21&CDS=1-609	YDR041W
OG0000889	genemark-NC_026174.1-processed-gene-5.39-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.39&CDS=1-693	YDR043C
OG0000890	genemark-NC_026174.1-processed-gene-5.22-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.22&CDS=1-984	YDR044W
OG0000891	augustus_masked-NC_026174.1-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-5.79&CDS=1-330	YDR045C
OG0000892	maker-NC_026174.1-augustus-gene-5.0-mRNA-1_1&gene=maker-NC_026174.1-augustus-gene-5.0&CDS=1-2985	YDR047W
OG0000893	genemark-NC_026174.1-processed-gene-5.42-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.42&CDS=1-744	YDR050C
OG0000894	genemark-NC_026174.1-processed-gene-5.43-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.43&CDS=1-1002	YDR051C
OG0000895	genemark-NC_026174.1-processed-gene-5.44-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.44&CDS=1-2115	YDR052C
OG0000896	maker-NC_026174.1-snap-gene-5.3-mRNA-1_1&gene=maker-NC_026174.1-snap-gene-5.3&CDS=1-1785	YDR054C
OG0000897	genemark-NC_026174.1-processed-gene-5.25-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.25&CDS=1-1350	YDR055W
OG0000898	genemark-NC_026174.1-processed-gene-5.26-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-5.26&CDS=1-1596	YDR057W
OG0000899	genemark-NC_026174.1-processed-gene-6.12-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.12&CDS=1-3138	YDR060W
OG0000900	genemark-NC_026174.1-processed-gene-6.13-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.13&CDS=1-1620	YDR061W
OG0000901	genemark-NC_026174.1-processed-gene-6.14-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.14&CDS=1-1683	YDR062W
OG0000902	augustus_masked-NC_026174.1-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-6.58&CDS=1-1878	YDR064W
OG0000903	augustus_masked-NC_026174.1-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-6.74&CDS=1-1128	YDR067C
OG0000904	genemark-NC_026174.1-processed-gene-6.17-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.17&CDS=1-894	YDR068W
OG0000905	genemark-NC_026174.1-processed-gene-6.37-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.37&CDS=1-2973	YDR069C
OG0000906	maker-NC_026174.1-augustus-gene-6.7-mRNA-1_1&gene=maker-NC_026174.1-augustus-gene-6.7&CDS=1-2043	YDR072C
OG0000907	augustus_masked-NC_026174.1-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-6.60&CDS=1-2991	YDR074W
OG0000908	genemark-NC_026174.1-processed-gene-6.23-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.23&CDS=1-963	YDR077W
OG0000909	genemark-NC_026174.1-processed-gene-6.40-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.40&CDS=1-669	YDR078C
OG0000910	genemark-NC_026174.1-processed-gene-6.24-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.24&CDS=1-330	YDR079W
OG0000911	snap_masked-NC_026174.1-processed-gene-6.123-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-6.123&CDS=1-216	YDR079C-A
OG0000912	genemark-NC_026174.1-processed-gene-6.25-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.25&CDS=1-2967	YDR080W
OG0000913	genemark-NC_026174.1-processed-gene-6.41-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.41&CDS=1-2733	YDR081C
OG0000914	genemark-NC_026174.1-processed-gene-6.26-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.26&CDS=1-2571	YDR082W
OG0000915	genemark-NC_026174.1-processed-gene-6.42-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.42&CDS=1-597	YDR084C
OG0000916	snap_masked-NC_026174.1-processed-gene-6.126-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-6.126&CDS=1-1860	YDR085C
OG0000917	maker-NC_026174.1-augustus-gene-6.8-mRNA-1_1&gene=maker-NC_026174.1-augustus-gene-6.8&CDS=1-1101	YDR087C
OG0000918	genemark-NC_026174.1-processed-gene-6.45-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.45&CDS=1-1161	YDR088C
OG0000919	genemark-NC_026174.1-processed-gene-6.27-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.27&CDS=1-2604	YDR089W
OG0000920	snap_masked-NC_026174.1-processed-gene-6.130-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-6.130&CDS=1-930	YDR090C
OG0000921	genemark-NC_026174.1-processed-gene-6.47-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.47&CDS=1-1824	YDR091C
OG0000922	snap_masked-NC_026174.1-processed-gene-6.110-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-6.110&CDS=1-459	YDR092W
OG0000923	snap_masked-NC_026174.1-processed-gene-6.112-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-6.112&CDS=1-2766	YDR096W
OG0000924	genemark-NC_026174.1-processed-gene-6.48-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.48&CDS=1-3741	YDR097C
OG0000925	genemark-NC_026174.1-processed-gene-6.49-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.49&CDS=1-750	YDR098C
OG0000926	genemark-NC_026174.1-processed-gene-6.31-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.31&CDS=1-429	YDR100W
OG0000927	genemark-NC_026174.1-processed-gene-6.50-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.50&CDS=1-1779	YDR101C
OG0000928	augustus_masked-NC_026174.1-processed-gene-6.71-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-6.71&CDS=1-2763	YDR103W
OG0000929	genemark-NC_026174.1-processed-gene-6.51-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.51&CDS=1-3747	YDR104C
OG0000930	genemark-NC_026174.1-processed-gene-6.52-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.52&CDS=1-1422	YDR105C
OG0000931	genemark-NC_026174.1-processed-gene-6.33-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.33&CDS=1-852	YDR106W
OG0000932	genemark-NC_026174.1-processed-gene-6.34-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.34&CDS=1-2094	YDR108W
OG0000933	genemark-NC_026174.1-processed-gene-6.54-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-6.54&CDS=1-2061	YDR109C
OG0000934	genemark-NC_026174.1-processed-gene-7.0-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.0&CDS=1-1737	YDR110W
OG0000935	genemark-NC_026174.1-processed-gene-7.3-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.3&CDS=1-1125	YDR113C
OG0000936	genemark-NC_026174.1-processed-gene-7.1-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.1&CDS=1-315	YDR115W
OG0000937	genemark-NC_026174.1-processed-gene-7.4-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.4&CDS=1-855	YDR116C
OG0000938	genemark-NC_026174.1-processed-gene-7.5-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.5&CDS=1-342	YMR107W
OG0000939	genemark-NC_026174.1-processed-gene-7.6-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.6&CDS=1-2061	YMR108W
OG0000940	augustus_masked-NC_026174.1-processed-gene-7.95-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-7.95&CDS=1-3459	YMR110C
OG0000941	genemark-NC_026174.1-processed-gene-7.8-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.8&CDS=1-1281	YMR113W
OG0000942	genemark-NC_026174.1-processed-gene-7.34-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.34&CDS=1-1104	YMR114C
OG0000943	augustus_masked-NC_026174.1-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-7.75&CDS=1-1512	YMR115W
OG0000944	genemark-NC_026174.1-processed-gene-7.35-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.35&CDS=1-957	YMR116C
OG0000945	genemark-NC_026174.1-processed-gene-7.36-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.36&CDS=1-639	YMR117C
OG0000946	genemark-NC_026174.1-processed-gene-7.37-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.37&CDS=1-657	YMR118C
OG0000947	genemark-NC_026174.1-processed-gene-7.10-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.10&CDS=1-1878	YMR119W
OG0000948	genemark-NC_026174.1-processed-gene-7.11-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.11&CDS=1-651	YMR123W
OG0000949	genemark-NC_026174.1-processed-gene-7.12-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.12&CDS=1-2874	YMR124W
OG0000950	maker-NC_026174.1-snap-gene-7.53-mRNA-1_1&gene=maker-NC_026174.1-snap-gene-7.53&CDS=1-2583	YMR125W
OG0000951	genemark-NC_026174.1-processed-gene-7.40-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.40&CDS=1-1029	YMR126C
OG0000952	genemark-NC_026174.1-processed-gene-7.41-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.41&CDS=1-1014	YMR127C
OG0000953	genemark-NC_026174.1-processed-gene-7.14-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.14&CDS=1-3828	YMR128W
OG0000954	augustus_masked-NC_026174.1-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-7.82&CDS=1-4863	YMR129W
OG0000955	genemark-NC_026174.1-processed-gene-7.42-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.42&CDS=1-1530	YMR131C
OG0000956	genemark-NC_026174.1-processed-gene-7.43-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.43&CDS=1-624	YMR132C
OG0000957	genemark-NC_026174.1-processed-gene-7.17-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.17&CDS=1-864	YMR133W
OG0000958	genemark-NC_026174.1-processed-gene-7.18-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.18&CDS=1-711	YMR134W
OG0000959	genemark-NC_026174.1-processed-gene-7.44-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.44&CDS=1-1389	YMR135C
OG0000960	genemark-NC_026174.1-processed-gene-7.19-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.19&CDS=1-1740	YMR136W
OG0000961	genemark-NC_026174.1-processed-gene-7.45-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.45&CDS=1-1998	YMR137C
OG0000962	genemark-NC_026174.1-processed-gene-7.20-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.20&CDS=1-573	YMR138W
OG0000963	genemark-NC_026174.1-processed-gene-7.21-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.21&CDS=1-1110	YMR139W
OG0000964	genemark-NC_026174.1-processed-gene-7.22-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.22&CDS=1-1458	YMR140W
OG0000965	genemark-NC_026174.1-processed-gene-7.24-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.24&CDS=1-1005	YMR144W
OG0000966	genemark-NC_026174.1-processed-gene-7.47-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.47&CDS=1-1680	YMR145C
OG0000967	genemark-NC_026174.1-processed-gene-7.48-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.48&CDS=1-1041	YMR146C
OG0000968	genemark-NC_026174.1-processed-gene-7.25-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.25&CDS=1-651	YMR147W
OG0000969	genemark-NC_026174.1-processed-gene-7.26-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.26&CDS=1-1032	YMR149W
OG0000970	genemark-NC_026174.1-processed-gene-7.49-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.49&CDS=1-570	YMR150C
OG0000971	genemark-NC_026174.1-processed-gene-7.27-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.27&CDS=1-1095	YMR152W
OG0000972	genemark-NC_026174.1-processed-gene-7.28-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.28&CDS=1-1413	YMR153W
OG0000973	snap_masked-NC_026174.1-processed-gene-7.161-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-7.161&CDS=1-2151	YMR154C
OG0000974	augustus_masked-NC_026174.1-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-7.93&CDS=1-1614	YMR155W
OG0000975	maker-NC_026174.1-augustus-gene-7.64-mRNA-1_1&gene=maker-NC_026174.1-augustus-gene-7.64&CDS=1-1473	YMR156C
OG0000976	genemark-NC_026174.1-processed-gene-7.30-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-7.30&CDS=1-465	YMR158W
OG0000977	snap_masked-NC_026174.1-processed-gene-8.2-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-8.2&CDS=1-414	YMR159C
OG0000978	augustus_masked-NC_026174.1-processed-gene-8.99-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-8.99&CDS=1-3114	YMR160W
OG0000979	genemark-NC_026174.1-processed-gene-8.45-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.45&CDS=1-7080	YMR162C
OG0000980	maker-NC_026174.1-snap-gene-8.94-mRNA-1_1&gene=maker-NC_026174.1-snap-gene-8.94&CDS=1-2121	YMR164C
OG0000981	genemark-NC_026174.1-processed-gene-8.69-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.69&CDS=1-2589	YMR165C
OG0000982	genemark-NC_026174.1-processed-gene-8.70-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.70&CDS=1-1101	YMR166C
OG0000983	genemark-NC_026174.1-processed-gene-8.46-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.46&CDS=1-1440	YMR167W
OG0000984	maker-NC_026174.1-augustus-gene-8.88-mRNA-1_1&gene=maker-NC_026174.1-augustus-gene-8.88&CDS=1-4869	YMR168C
OG0000985	genemark-NC_026174.1-processed-gene-8.74-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.74&CDS=1-1659	YMR171C
OG0000986	genemark-NC_026174.1-processed-gene-8.48-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.48&CDS=1-2034	YMR172W
OG0000987	genemark-NC_026174.1-processed-gene-8.49-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.49&CDS=1-624	YMR175W
OG0000988	snap_masked-NC_026174.1-processed-gene-8.33-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-8.33&CDS=1-444	YMR174C
OG0000989	genemark-NC_026174.1-processed-gene-8.50-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.50&CDS=1-4239	YMR176W
OG0000990	genemark-NC_026174.1-processed-gene-8.51-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.51&CDS=1-1545	YMR177W
OG0000991	genemark-NC_026174.1-processed-gene-8.52-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.52&CDS=1-822	YMR178W
OG0000992	genemark-NC_026174.1-processed-gene-8.53-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.53&CDS=1-2283	YMR179W
OG0000993	genemark-NC_026174.1-processed-gene-8.75-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.75&CDS=1-960	YMR180C
OG0000994	genemark-NC_026174.1-processed-gene-8.76-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.76&CDS=1-459	YMR181C
OG0000995	snap_masked-NC_026174.1-processed-gene-8.36-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-8.36&CDS=1-651	YMR182C
OG0000996	genemark-NC_026174.1-processed-gene-8.78-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.78&CDS=1-885	YMR183C
OG0000997	augustus_masked-NC_026174.1-processed-gene-8.108-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-8.108&CDS=1-3483	YMR185W
OG0000998	maker-NC_026174.1-snap-gene-8.97-mRNA-1_1&gene=maker-NC_026174.1-snap-gene-8.97&CDS=1-1947	YMR187C
OG0000999	genemark-NC_026174.1-processed-gene-8.57-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.57&CDS=1-3102	YMR189W
OG0001000	genemark-NC_026174.1-processed-gene-8.81-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.81&CDS=1-4389	YMR190C
OG0001001	genemark-NC_026174.1-processed-gene-8.58-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.58&CDS=1-1110	YMR191W
OG0001002	genemark-NC_026174.1-processed-gene-8.59-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.59&CDS=1-2208	YMR192W
OG0001003	genemark-NC_026174.1-processed-gene-8.60-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.60&CDS=1-1023	YMR193W
OG0001004	genemark-NC_026174.1-processed-gene-8.61-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.61&CDS=1-378	YMR195W
OG0001005	genemark-NC_026174.1-processed-gene-8.62-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.62&CDS=1-3264	YMR196W
OG0001006	genemark-NC_026174.1-processed-gene-8.82-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.82&CDS=1-651	YMR197C
OG0001007	genemark-NC_026174.1-processed-gene-8.63-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.63&CDS=1-1782	YMR198W
OG0001008	genemark-NC_026174.1-processed-gene-8.64-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.64&CDS=1-1632	YMR199W
OG0001009	genemark-NC_026174.1-processed-gene-8.65-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.65&CDS=1-774	YMR200W
OG0001010	augustus_masked-NC_026174.1-processed-gene-8.132-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-8.132&CDS=1-1104	YMR201C
OG0001011	genemark-NC_026174.1-processed-gene-8.66-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.66&CDS=1-669	YMR202W
OG0001012	genemark-NC_026174.1-processed-gene-8.67-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.67&CDS=1-1161	YMR203W
OG0001013	genemark-NC_026174.1-processed-gene-8.84-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-8.84&CDS=1-1218	YMR204C
OG0001014	genemark-NC_026174.1-processed-gene-9.37-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-9.37&CDS=1-2877	YMR205C
OG0001015	genemark-NC_026174.1-processed-gene-9.36-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-9.36&CDS=1-951	YMR206W
OG0001016	genemark-NC_026174.1-processed-gene-9.39-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-9.39&CDS=1-1329	YMR208W
OG0001017	genemark-NC_026174.1-processed-gene-9.59-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-9.59&CDS=1-1377	YMR209C
OG0001018	genemark-NC_026174.1-processed-gene-9.40-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-9.40&CDS=1-1350	YMR210W
OG0001019	genemark-NC_026174.1-processed-gene-9.41-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-9.41&CDS=1-1425	YMR211W
OG0001020	augustus_masked-NC_026174.1-processed-gene-9.22-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-9.22&CDS=1-2346	YMR212C
OG0001021	maker-NC_026174.1-snap-gene-9.80-mRNA-1_1&gene=maker-NC_026174.1-snap-gene-9.80&CDS=1-2973	YMR213W
OG0001022	genemark-NC_026174.1-processed-gene-9.43-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-9.43&CDS=1-1572	YMR215W
OG0001023	genemark-NC_026174.1-processed-gene-9.61-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-9.61&CDS=1-2283	YMR216C
OG0001024	genemark-NC_026174.1-processed-gene-9.44-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-9.44&CDS=1-1575	YMR217W
OG0001025	genemark-NC_026174.1-processed-gene-9.62-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-9.62&CDS=1-3306	YMR218C
OG0001026	genemark-NC_026174.1-processed-gene-9.45-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-9.45&CDS=1-6939	YMR220W
OG0001027	maker-NC_026174.1-augustus-gene-9.76-mRNA-1_1&gene=maker-NC_026174.1-augustus-gene-9.76&CDS=1-2148	YMR221C
OG0001028	genemark-NC_026174.1-processed-gene-9.46-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-9.46&CDS=1-1419	YMR223W
OG0001029	genemark-NC_026174.1-processed-gene-9.65-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-9.65&CDS=1-2073	YMR224C
OG0001030	maker-NC_026174.1-augustus-gene-9.78-mRNA-1_1&gene=maker-NC_026174.1-augustus-gene-9.78&CDS=1-1167	YMR226C
OG0001031	genemark-NC_026174.1-processed-gene-9.67-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-9.67&CDS=1-1773	YMR227C
OG0001032	genemark-NC_026174.1-processed-gene-9.47-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-9.47&CDS=1-1023	YMR228W
