	Saccharomyces_cerevisiae	yHAB164_Kazachstania_aerobia
OG0001229	YDR464W	augustus_masked-scf7180000020120-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-scf7180000020120-processed-gene-0.106&CDS=1-5073
OG0001230	YDR465C	genemark-scf7180000020120-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.15&CDS=1-1218
OG0001231	YDR466W	maker-scf7180000020120-snap-gene-0.41-mRNA-1_1&gene=maker-scf7180000020120-snap-gene-0.41&CDS=1-2925
OG0001232	YDR468C	genemark-scf7180000020120-processed-gene-0.14-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.14&CDS=1-678
OG0001233	YDR469W	genemark-scf7180000020120-processed-gene-0.32-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.32&CDS=1-315
OG0001234	YDR470C	snap_masked-scf7180000020120-processed-gene-0.53-mRNA-1_1&gene=snap_masked-scf7180000020120-processed-gene-0.53&CDS=1-1284
OG0001235	YDR472W	genemark-scf7180000020120-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.31&CDS=1-753
OG0001236	YDR473C	snap_masked-scf7180000020120-processed-gene-0.52-mRNA-1_1&gene=snap_masked-scf7180000020120-processed-gene-0.52&CDS=1-1137
OG0001237	YDR476C	genemark-scf7180000020120-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.10&CDS=1-696
OG0001238	YDR477W	genemark-scf7180000020163-processed-gene-1.105-mRNA-1_1&gene=genemark-scf7180000020163-processed-gene-1.105&CDS=1-1908
OG0001239	YDR478W	augustus_masked-scf7180000020120-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-scf7180000020120-processed-gene-0.100&CDS=1-561
OG0001240	YDR479C	genemark-scf7180000020120-processed-gene-0.9-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.9&CDS=1-1839
OG0001241	YDR481C	augustus_masked-scf7180000020227-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-0.16&CDS=1-1716
OG0001242	YDR482C	genemark-scf7180000020227-processed-gene-0.59-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-0.59&CDS=1-489
OG0001243	YDR483W	genemark-scf7180000020227-processed-gene-0.80-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-0.80&CDS=1-1368
OG0001244	YDR484W	genemark-scf7180000020189-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000020189-processed-gene-0.62&CDS=1-1875
OG0001245	YDR485C	genemark-scf7180000020189-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000020189-processed-gene-0.43&CDS=1-2178
OG0001246	YDR487C	genemark-scf7180000020225-processed-gene-0.109-mRNA-1_1&gene=genemark-scf7180000020225-processed-gene-0.109&CDS=1-636
OG0001247	YDR488C	augustus_masked-scf7180000020189-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-scf7180000020189-processed-gene-0.79&CDS=1-1920
OG0001248	YDR489W	genemark-scf7180000020189-processed-gene-0.61-mRNA-1_1&gene=genemark-scf7180000020189-processed-gene-0.61&CDS=1-957
OG0001249	YDR495C	augustus_masked-scf7180000020189-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-scf7180000020189-processed-gene-0.97&CDS=1-2931
OG0001250	YDR496C	genemark-scf7180000020189-processed-gene-0.65-mRNA-1_1&gene=genemark-scf7180000020189-processed-gene-0.65&CDS=1-1908
OG0001251	YDR497C	genemark-scf7180000020225-processed-gene-0.107-mRNA-1_1&gene=genemark-scf7180000020225-processed-gene-0.107&CDS=1-1905
OG0001252	YDR498C	genemark-scf7180000020189-processed-gene-0.66-mRNA-1_1&gene=genemark-scf7180000020189-processed-gene-0.66&CDS=1-924
OG0001253	YDR499W	genemark-scf7180000020228-processed-gene-3.155-mRNA-1_1&gene=genemark-scf7180000020228-processed-gene-3.155&CDS=1-2286
OG0001254	YDR506C	genemark-scf7180000020228-processed-gene-3.186-mRNA-1_1&gene=genemark-scf7180000020228-processed-gene-3.186&CDS=1-3786
OG0001255	YDR507C	genemark-scf7180000020228-processed-gene-3.187-mRNA-1_1&gene=genemark-scf7180000020228-processed-gene-3.187&CDS=1-3441
OG0001256	YDR510W	genemark-scf7180000020228-processed-gene-3.188-mRNA-1_1&gene=genemark-scf7180000020228-processed-gene-3.188&CDS=1-309
OG0001257	YDR511W	genemark-scf7180000020223-processed-gene-0.85-mRNA-1_1&gene=genemark-scf7180000020223-processed-gene-0.85&CDS=1-396
OG0001258	YDR512C	snap_masked-scf7180000020228-processed-gene-3.92-mRNA-1_1&gene=snap_masked-scf7180000020228-processed-gene-3.92&CDS=1-261
OG0001259	YDR514C	genemark-scf7180000020228-processed-gene-3.158-mRNA-1_1&gene=genemark-scf7180000020228-processed-gene-3.158&CDS=1-1461
OG0001260	YDR517W	genemark-scf7180000020228-processed-gene-3.159-mRNA-1_1&gene=genemark-scf7180000020228-processed-gene-3.159&CDS=1-1215
OG0001261	YDR519W	augustus_masked-scf7180000020228-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-scf7180000020228-processed-gene-3.30&CDS=1-399
OG0001262	YDR520C	augustus_masked-scf7180000020228-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-scf7180000020228-processed-gene-3.59&CDS=1-2103
OG0001263	YDR523C	genemark-scf7180000020228-processed-gene-3.193-mRNA-1_1&gene=genemark-scf7180000020228-processed-gene-3.193&CDS=1-1548
OG0001264	YDR524C	augustus_masked-scf7180000020228-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-scf7180000020228-processed-gene-3.61&CDS=1-1131
OG0001265	YDR524C-B	augustus_masked-scf7180000020228-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-scf7180000020228-processed-gene-3.62&CDS=1-219
OG0001266	YDR525W-A	augustus_masked-scf7180000020228-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-scf7180000020228-processed-gene-3.31&CDS=1-255
OG0001267	YDR527W	genemark-scf7180000020228-processed-gene-3.163-mRNA-1_1&gene=genemark-scf7180000020228-processed-gene-3.163&CDS=1-1413
OG0001268	YDR529C	genemark-scf7180000020228-processed-gene-3.166-mRNA-1_1&gene=genemark-scf7180000020228-processed-gene-3.166&CDS=1-384
OG0001269	YDR531W	augustus_masked-scf7180000020228-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-scf7180000020228-processed-gene-3.63&CDS=1-1182
OG0001270	YDR532C	snap_masked-scf7180000020228-processed-gene-3.97-mRNA-1_1&gene=snap_masked-scf7180000020228-processed-gene-3.97&CDS=1-1119
OG0001271	YEL001C	augustus_masked-scf7180000020226-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000020226-processed-gene-0.15&CDS=1-759
OG0001272	YEL002C	genemark-scf7180000020234-processed-gene-0.84-mRNA-1_1&gene=genemark-scf7180000020234-processed-gene-0.84&CDS=1-1422
OG0001273	YEL004W	augustus_masked-scf7180000020234-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000020234-processed-gene-0.6&CDS=1-1353
OG0001274	YEL005C	augustus_masked-scf7180000020234-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000020234-processed-gene-0.14&CDS=1-888
OG0001275	YEL007W	genemark-scf7180000020234-processed-gene-0.73-mRNA-1_1&gene=genemark-scf7180000020234-processed-gene-0.73&CDS=1-2301
OG0001276	YEL009C	genemark-scf7180000020226-processed-gene-0.29-mRNA-1_1&gene=genemark-scf7180000020226-processed-gene-0.29&CDS=1-807
OG0001277	YEL011W	genemark-scf7180000020222-processed-gene-0.65-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.65&CDS=1-2112
OG0001278	YEL012W	genemark-scf7180000020222-processed-gene-0.66-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.66&CDS=1-609
OG0001279	YEL013W	genemark-scf7180000020222-processed-gene-0.60-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.60&CDS=1-1824
OG0001280	YEL015W	genemark-scf7180000020222-processed-gene-0.61-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.61&CDS=1-1788
OG0001281	YEL017W	snap_masked-scf7180000020021-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scf7180000020021-processed-gene-0.10&CDS=1-1026
OG0001282	YEL018W	snap_masked-scf7180000020021-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scf7180000020021-processed-gene-0.11&CDS=1-1062
OG0001283	YEL019C	snap_masked-scf7180000020021-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000020021-processed-gene-0.8&CDS=1-843
OG0001284	YEL020C	genemark-scf7180000020021-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000020021-processed-gene-0.16&CDS=1-1680
OG0001285	YEL020W-A	augustus_masked-scf7180000020021-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000020021-processed-gene-0.5&CDS=1-261
OG0001286	YEL021W	genemark-scf7180000020021-processed-gene-0.20-mRNA-1_1&gene=genemark-scf7180000020021-processed-gene-0.20&CDS=1-798
OG0001287	YEL022W	genemark-scf7180000020021-processed-gene-0.21-mRNA-1_1&gene=genemark-scf7180000020021-processed-gene-0.21&CDS=1-4605
OG0001288	YEL023C	genemark-scf7180000020214-processed-gene-0.122-mRNA-1_1&gene=genemark-scf7180000020214-processed-gene-0.122&CDS=1-1890
OG0001289	YEL024W	genemark-scf7180000020214-processed-gene-0.93-mRNA-1_1&gene=genemark-scf7180000020214-processed-gene-0.93&CDS=1-669
OG0001290	YEL026W	genemark-scf7180000020211-processed-gene-1.33-mRNA-1_1&gene=genemark-scf7180000020211-processed-gene-1.33&CDS=1-381
OG0001291	YEL027W	genemark-scf7180000020211-processed-gene-1.34-mRNA-1_1&gene=genemark-scf7180000020211-processed-gene-1.34&CDS=1-480
OG0001292	YEL031W	genemark-scf7180000020214-processed-gene-0.91-mRNA-1_1&gene=genemark-scf7180000020214-processed-gene-0.91&CDS=1-3651
OG0001293	YEL032W	genemark-scf7180000020214-processed-gene-0.90-mRNA-1_1&gene=genemark-scf7180000020214-processed-gene-0.90&CDS=1-2952
OG0001294	YEL034W	genemark-scf7180000020214-processed-gene-0.89-mRNA-1_1&gene=genemark-scf7180000020214-processed-gene-0.89&CDS=1-471
OG0001295	YEL036C	genemark-scf7180000020211-processed-gene-1.21-mRNA-1_1&gene=genemark-scf7180000020211-processed-gene-1.21&CDS=1-1362
OG0001296	YEL037C	genemark-scf7180000020214-processed-gene-0.118-mRNA-1_1&gene=genemark-scf7180000020214-processed-gene-0.118&CDS=1-1185
OG0001297	YEL038W	genemark-scf7180000020214-processed-gene-0.88-mRNA-1_1&gene=genemark-scf7180000020214-processed-gene-0.88&CDS=1-681
OG0001298	YEL040W	genemark-scf7180000020214-processed-gene-0.87-mRNA-1_1&gene=genemark-scf7180000020214-processed-gene-0.87&CDS=1-1389
OG0001299	YEL042W	genemark-scf7180000020214-processed-gene-0.85-mRNA-1_1&gene=genemark-scf7180000020214-processed-gene-0.85&CDS=1-1599
OG0001300	YEL043W	genemark-scf7180000020214-processed-gene-0.84-mRNA-1_1&gene=genemark-scf7180000020214-processed-gene-0.84&CDS=1-3054
OG0001301	YEL044W	genemark-scf7180000020214-processed-gene-0.83-mRNA-1_1&gene=genemark-scf7180000020214-processed-gene-0.83&CDS=1-498
OG0001302	YEL046C	genemark-scf7180000020214-processed-gene-0.116-mRNA-1_1&gene=genemark-scf7180000020214-processed-gene-0.116&CDS=1-1161
OG0001303	YEL048C	genemark-scf7180000020214-processed-gene-0.114-mRNA-1_1&gene=genemark-scf7180000020214-processed-gene-0.114&CDS=1-477
OG0001304	YEL050C	genemark-scf7180000020224-processed-gene-0.94-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.94&CDS=1-1116
OG0001305	YEL051W	genemark-scf7180000020224-processed-gene-0.132-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.132&CDS=1-807
OG0001306	YEL052W	genemark-scf7180000020224-processed-gene-0.133-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.133&CDS=1-1377
OG0001307	YEL053C	genemark-scf7180000020224-processed-gene-0.95-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.95&CDS=1-2379
OG0001308	YEL055C	augustus_masked-scf7180000020134-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-scf7180000020134-processed-gene-0.120&CDS=1-3072
OG0001309	YEL056W	genemark-scf7180000020134-processed-gene-0.53-mRNA-1_1&gene=genemark-scf7180000020134-processed-gene-0.53&CDS=1-1293
OG0001310	YEL058W	genemark-scf7180000020134-processed-gene-0.72-mRNA-1_1&gene=genemark-scf7180000020134-processed-gene-0.72&CDS=1-1614
OG0001311	YEL060C	genemark-scf7180000020134-processed-gene-0.54-mRNA-1_1&gene=genemark-scf7180000020134-processed-gene-0.54&CDS=1-1608
OG0001312	YEL061C	genemark-scf7180000020166-processed-gene-0.121-mRNA-1_1&gene=genemark-scf7180000020166-processed-gene-0.121&CDS=1-3216
OG0001313	YEL062W	genemark-scf7180000020166-processed-gene-0.82-mRNA-1_1&gene=genemark-scf7180000020166-processed-gene-0.82&CDS=1-1863
OG0001314	YEL064C	genemark-scf7180000020223-processed-gene-1.34-mRNA-1_1&gene=genemark-scf7180000020223-processed-gene-1.34&CDS=1-1512
OG0001315	YEL065W	genemark-scf7180000020134-processed-gene-0.52-mRNA-1_1&gene=genemark-scf7180000020134-processed-gene-0.52&CDS=1-1923
OG0001316	YER002W	genemark-scf7180000020094-processed-gene-0.18-mRNA-1_1&gene=genemark-scf7180000020094-processed-gene-0.18&CDS=1-717
OG0001317	YER003C	genemark-scf7180000020094-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000020094-processed-gene-0.13&CDS=1-1284
OG0001318	YER004W	genemark-scf7180000019976-processed-gene-0.38-mRNA-1_1&gene=genemark-scf7180000019976-processed-gene-0.38&CDS=1-681
OG0001319	YER005W	genemark-scf7180000020226-processed-gene-0.24-mRNA-1_1&gene=genemark-scf7180000020226-processed-gene-0.24&CDS=1-1920
OG0001320	YER006W	genemark-scf7180000020226-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000020226-processed-gene-0.25&CDS=1-1578
OG0001321	YER007C-A	augustus_masked-scf7180000020226-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000020226-processed-gene-0.11&CDS=1-543
OG0001322	YER007W	augustus_masked-scf7180000020226-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000020226-processed-gene-0.4&CDS=1-1533
OG0001323	YER009W	genemark-scf7180000020226-processed-gene-0.27-mRNA-1_1&gene=genemark-scf7180000020226-processed-gene-0.27&CDS=1-375
OG0001324	YER010C	genemark-scf7180000020226-processed-gene-0.36-mRNA-1_1&gene=genemark-scf7180000020226-processed-gene-0.36&CDS=1-747
OG0001325	YER012W	genemark-scf7180000020226-processed-gene-0.42-mRNA-1_1&gene=genemark-scf7180000020226-processed-gene-0.42&CDS=1-600
OG0001326	YER013W	augustus_masked-scf7180000020178-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000020178-processed-gene-0.69&CDS=1-3480
OG0001327	YER015W	augustus_masked-scf7180000020183-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000020183-processed-gene-0.45&CDS=1-2259
OG0001328	YER016W	genemark-scf7180000020234-processed-gene-0.76-mRNA-1_1&gene=genemark-scf7180000020234-processed-gene-0.76&CDS=1-1158
OG0001329	YER017C	genemark-scf7180000020234-processed-gene-0.85-mRNA-1_1&gene=genemark-scf7180000020234-processed-gene-0.85&CDS=1-2250
OG0001330	YER019C-A	augustus_masked-scf7180000020168-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-scf7180000020168-processed-gene-0.189&CDS=1-264
OG0001331	YER019W	genemark-scf7180000020223-processed-gene-1.32-mRNA-1_1&gene=genemark-scf7180000020223-processed-gene-1.32&CDS=1-1386
OG0001332	YER021W	augustus_masked-scf7180000020112-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-scf7180000020112-processed-gene-0.134&CDS=1-2922
OG0001333	YER023W	maker-scf7180000020192-augustus-gene-0.122-mRNA-1_1&gene=maker-scf7180000020192-augustus-gene-0.122&CDS=1-4281
OG0001334	YER024W	genemark-scf7180000020192-processed-gene-0.101-mRNA-1_1&gene=genemark-scf7180000020192-processed-gene-0.101&CDS=1-2841
OG0001335	YER025W	genemark-scf7180000020112-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000020112-processed-gene-0.22&CDS=1-1602
OG0001336	YER026C	genemark-scf7180000020219-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.3&CDS=1-783
OG0001337	YER027C	genemark-scf7180000020216-processed-gene-0.95-mRNA-1_1&gene=genemark-scf7180000020216-processed-gene-0.95&CDS=1-1254
OG0001338	YER028C	genemark-scf7180000020219-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.0&CDS=1-1434
OG0001339	YER029C	genemark-scf7180000020216-processed-gene-0.135-mRNA-1_1&gene=genemark-scf7180000020216-processed-gene-0.135&CDS=1-492
OG0001340	YER030W	genemark-scf7180000020216-processed-gene-0.100-mRNA-1_1&gene=genemark-scf7180000020216-processed-gene-0.100&CDS=1-516
OG0001341	YER032W	augustus_masked-scf7180000020216-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-scf7180000020216-processed-gene-0.177&CDS=1-3042
OG0001342	YER033C	genemark-scf7180000020216-processed-gene-0.136-mRNA-1_1&gene=genemark-scf7180000020216-processed-gene-0.136&CDS=1-3162
OG0001343	YER034W	snap_masked-scf7180000020166-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scf7180000020166-processed-gene-0.33&CDS=1-603
OG0001344	YER035W	snap_masked-scf7180000020110-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000020110-processed-gene-0.3&CDS=1-1248
OG0001345	YER036C	genemark-scf7180000020110-processed-gene-0.46-mRNA-1_1&gene=genemark-scf7180000020110-processed-gene-0.46&CDS=1-1824
OG0001346	YER038C	snap_masked-scf7180000020166-processed-gene-0.60-mRNA-1_1&gene=snap_masked-scf7180000020166-processed-gene-0.60&CDS=1-1386
OG0001347	YER041W	maker-scf7180000020166-augustus-gene-0.72-mRNA-1_1&gene=maker-scf7180000020166-augustus-gene-0.72&CDS=1-4806
OG0001348	YER042W	genemark-scf7180000020166-processed-gene-0.110-mRNA-1_1&gene=genemark-scf7180000020166-processed-gene-0.110&CDS=1-549
OG0001349	YER043C	genemark-scf7180000020166-processed-gene-0.137-mRNA-1_1&gene=genemark-scf7180000020166-processed-gene-0.137&CDS=1-1347
OG0001350	YER044C	snap_masked-scf7180000020234-processed-gene-0.63-mRNA-1_1&gene=snap_masked-scf7180000020234-processed-gene-0.63&CDS=1-450
OG0001351	YER046W	snap_masked-scf7180000019980-processed-gene-0.18-mRNA-1_1&gene=snap_masked-scf7180000019980-processed-gene-0.18&CDS=1-516
OG0001352	YER048C	genemark-scf7180000019980-processed-gene-0.23-mRNA-1_1&gene=genemark-scf7180000019980-processed-gene-0.23&CDS=1-1182
OG0001353	YER049W	genemark-scf7180000019980-processed-gene-0.27-mRNA-1_1&gene=genemark-scf7180000019980-processed-gene-0.27&CDS=1-1689
OG0001354	YER050C	genemark-scf7180000019980-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000019980-processed-gene-0.22&CDS=1-522
OG0001355	YER052C	augustus_masked-scf7180000019980-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000019980-processed-gene-0.2&CDS=1-1584
OG0001356	YER053C	genemark-scf7180000019980-processed-gene-0.20-mRNA-1_1&gene=genemark-scf7180000019980-processed-gene-0.20&CDS=1-927
OG0001357	YER054C	augustus_masked-scf7180000020003-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000020003-processed-gene-0.0&CDS=1-1710
OG0001358	YER055C	genemark-scf7180000019974-processed-gene-0.37-mRNA-1_1&gene=genemark-scf7180000019974-processed-gene-0.37&CDS=1-891
OG0001359	YER057C	genemark-scf7180000019974-processed-gene-0.34-mRNA-1_1&gene=genemark-scf7180000019974-processed-gene-0.34&CDS=1-384
OG0001360	YER058W	genemark-scf7180000019974-processed-gene-0.44-mRNA-1_1&gene=genemark-scf7180000019974-processed-gene-0.44&CDS=1-369
OG0001361	YER063W	genemark-scf7180000019974-processed-gene-0.41-mRNA-1_1&gene=genemark-scf7180000019974-processed-gene-0.41&CDS=1-795
OG0001362	YER065C	genemark-scf7180000019974-processed-gene-0.30-mRNA-1_1&gene=genemark-scf7180000019974-processed-gene-0.30&CDS=1-1671
OG0001363	YER068W	genemark-scf7180000019974-processed-gene-0.39-mRNA-1_1&gene=genemark-scf7180000019974-processed-gene-0.39&CDS=1-1992
OG0001364	YER069W	genemark-scf7180000020106-processed-gene-0.157-mRNA-1_1&gene=genemark-scf7180000020106-processed-gene-0.157&CDS=1-2625
OG0001365	YER072W	genemark-scf7180000020210-processed-gene-1.17-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-1.17&CDS=1-372
OG0001366	YER075C	genemark-scf7180000020210-processed-gene-1.38-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-1.38&CDS=1-2850
OG0001367	YER077C	augustus_masked-scf7180000020210-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-scf7180000020210-processed-gene-1.148&CDS=1-2043
OG0001368	YER078C	genemark-scf7180000020210-processed-gene-1.40-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-1.40&CDS=1-1512
OG0001369	YER079W	augustus_masked-scf7180000020168-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-scf7180000020168-processed-gene-0.136&CDS=1-996
OG0001370	YER080W	genemark-scf7180000020210-processed-gene-1.19-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-1.19&CDS=1-1896
OG0001371	YER082C	genemark-scf7180000020163-processed-gene-1.65-mRNA-1_1&gene=genemark-scf7180000020163-processed-gene-1.65&CDS=1-1683
OG0001372	YER083C	genemark-scf7180000020163-processed-gene-1.64-mRNA-1_1&gene=genemark-scf7180000020163-processed-gene-1.64&CDS=1-864
OG0001373	YER086W	genemark-scf7180000020168-processed-gene-0.93-mRNA-1_1&gene=genemark-scf7180000020168-processed-gene-0.93&CDS=1-1725
OG0001374	YER087W	genemark-scf7180000020185-processed-gene-0.81-mRNA-1_1&gene=genemark-scf7180000020185-processed-gene-0.81&CDS=1-1719
OG0001375	YER090W	genemark-scf7180000020168-processed-gene-0.94-mRNA-1_1&gene=genemark-scf7180000020168-processed-gene-0.94&CDS=1-1521
