	Kluyveromyces_marxianus	Saccharomyces_cerevisiae
OG0001216	augustus_masked-BBIL01000004.1-processed-gene-8.1-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-8.1&CDS=1-795	YPL034W
OG0001217	augustus_masked-BBIL01000004.1-processed-gene-8.4-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-8.4&CDS=1-795	YMR149W
OG0001218	snap_masked-BBIL01000004.1-processed-gene-8.117-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-8.117&CDS=1-507	YMR150C
OG0001219	genemark-BBIL01000004.1-processed-gene-8.59-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.59&CDS=1-798	YDL087C
OG0001220	genemark-BBIL01000004.1-processed-gene-8.60-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.60&CDS=1-1263	YDL088C
OG0001221	genemark-BBIL01000004.1-processed-gene-8.88-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.88&CDS=1-1629	YDL089W
OG0001222	genemark-BBIL01000004.1-processed-gene-8.89-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.89&CDS=1-2091	YMR154C
OG0001223	maker-BBIL01000004.1-augustus-gene-8.52-mRNA-1_1&gene=maker-BBIL01000004.1-augustus-gene-8.52&CDS=1-2580	YDL090C
OG0001224	genemark-BBIL01000004.1-processed-gene-8.90-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.90&CDS=1-423	YDL092W
OG0001225	genemark-BBIL01000004.1-processed-gene-8.92-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.92&CDS=1-978	YNR035C
OG0001226	genemark-BBIL01000004.1-processed-gene-8.93-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.93&CDS=1-501	YNR036C
OG0001227	genemark-BBIL01000004.1-processed-gene-8.68-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.68&CDS=1-1491	YCR079W
OG0001228	snap_masked-BBIL01000004.1-processed-gene-8.148-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-8.148&CDS=1-273	YNR037C
OG0001229	genemark-BBIL01000004.1-processed-gene-8.69-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.69&CDS=1-1929	YNR038W
OG0001230	genemark-BBIL01000004.1-processed-gene-8.70-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.70&CDS=1-3966	YCR081W
OG0001231	genemark-BBIL01000004.1-processed-gene-8.94-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.94&CDS=1-1845	YNR039C
OG0001232	augustus_masked-BBIL01000004.1-processed-gene-8.15-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-8.15&CDS=1-396	YCR082W
OG0001233	genemark-BBIL01000004.1-processed-gene-8.95-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.95&CDS=1-1590	YBR241C
OG0001234	genemark-BBIL01000004.1-processed-gene-8.72-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.72&CDS=1-447	YGL103W
OG0001235	genemark-BBIL01000004.1-processed-gene-8.73-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.73&CDS=1-633	YGL101W
OG0001236	genemark-BBIL01000004.1-processed-gene-8.96-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.96&CDS=1-1341	YBR243C
OG0001237	genemark-BBIL01000004.1-processed-gene-8.74-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.74&CDS=1-1005	YGL100W
OG0001238	genemark-BBIL01000004.1-processed-gene-8.75-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.75&CDS=1-483	YIR037W
OG0001239	genemark-BBIL01000004.1-processed-gene-8.76-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.76&CDS=1-1128	YBR246W
OG0001240	genemark-BBIL01000004.1-processed-gene-8.77-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.77&CDS=1-1947	YGL099W
OG0001241	augustus_masked-BBIL01000004.1-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-8.22&CDS=1-771	YGL098W
OG0001242	snap_masked-BBIL01000004.1-processed-gene-8.153-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-8.153&CDS=1-1419	YBR247C
OG0001243	genemark-BBIL01000004.1-processed-gene-8.79-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.79&CDS=1-1437	YGL097W
OG0001244	maker-BBIL01000004.1-augustus-gene-8.53-mRNA-1_1&gene=maker-BBIL01000004.1-augustus-gene-8.53&CDS=1-2727	YBR248C
OG0001245	genemark-BBIL01000004.1-processed-gene-8.101-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.101&CDS=1-1242	YPL255W
OG0001246	genemark-BBIL01000004.1-processed-gene-8.82-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.82&CDS=1-723	YMR200W
OG0001247	genemark-BBIL01000004.1-processed-gene-8.83-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.83&CDS=1-1812	YNR006W
OG0001248	snap_masked-BBIL01000004.1-processed-gene-8.157-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-8.157&CDS=1-1071	YMR201C
OG0001249	genemark-BBIL01000004.1-processed-gene-8.84-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.84&CDS=1-1308	YDL054C
OG0001250	genemark-BBIL01000004.1-processed-gene-8.85-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.85&CDS=1-1440	YLR378C
OG0001251	genemark-BBIL01000004.1-processed-gene-8.103-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.103&CDS=1-756	YJR101W
OG0001252	genemark-BBIL01000004.1-processed-gene-8.86-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.86&CDS=1-1266	YDR076W
OG0001253	genemark-BBIL01000004.1-processed-gene-8.105-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.105&CDS=1-2361	YER151C
OG0001254	genemark-BBIL01000004.1-processed-gene-8.106-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.106&CDS=1-651	YDR078C
OG0001255	genemark-BBIL01000004.1-processed-gene-8.107-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.107&CDS=1-1353	YER152C
OG0001256	augustus_masked-BBIL01000004.1-processed-gene-9.79-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-9.79&CDS=1-1155	YER154W
OG0001257	genemark-BBIL01000004.1-processed-gene-9.39-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.39&CDS=1-6126	YER155C
OG0001258	snap_masked-BBIL01000004.1-processed-gene-9.1-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-9.1&CDS=1-2172	YLL032C
OG0001259	genemark-BBIL01000004.1-processed-gene-9.56-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.56&CDS=1-564	YLL033W
OG0001260	genemark-BBIL01000004.1-processed-gene-9.40-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.40&CDS=1-2442	YLL034C
OG0001261	genemark-BBIL01000004.1-processed-gene-9.57-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.57&CDS=1-1890	YLL035W
OG0001262	genemark-BBIL01000004.1-processed-gene-9.58-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.58&CDS=1-1473	YHL027W
OG0001263	maker-BBIL01000004.1-snap-gene-9.75-mRNA-1_1&gene=maker-BBIL01000004.1-snap-gene-9.75&CDS=1-1077	YHL028W
OG0001264	snap_masked-BBIL01000004.1-processed-gene-9.22-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-9.22&CDS=1-5550	YHL030W
OG0001265	snap_masked-BBIL01000004.1-processed-gene-9.5-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-9.5&CDS=1-1836	YDR362C
OG0001266	genemark-BBIL01000004.1-processed-gene-9.61-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.61&CDS=1-3126	YHR111W
OG0001267	genemark-BBIL01000004.1-processed-gene-9.43-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.43&CDS=1-810	YDR361C
OG0001268	genemark-BBIL01000004.1-processed-gene-9.44-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.44&CDS=1-2979	YDR359C
OG0001269	augustus_masked-BBIL01000004.1-processed-gene-9.103-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-9.103&CDS=1-1746	YHR108W
OG0001270	genemark-BBIL01000004.1-processed-gene-9.45-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.45&CDS=1-330	YDR357C
OG0001271	genemark-BBIL01000004.1-processed-gene-9.63-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.63&CDS=1-2640	YDR356W
OG0001272	genemark-BBIL01000004.1-processed-gene-9.64-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.64&CDS=1-1197	YBR271W
OG0001273	augustus_masked-BBIL01000004.1-processed-gene-9.106-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-9.106&CDS=1-1101	YDR354W
OG0001274	genemark-BBIL01000004.1-processed-gene-9.47-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.47&CDS=1-822	YLL023C
OG0001275	genemark-BBIL01000004.1-processed-gene-9.49-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.49&CDS=1-1116	YPR011C
OG0001276	snap_masked-BBIL01000004.1-processed-gene-9.31-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-9.31&CDS=1-804	YGR021W
OG0001277	genemark-BBIL01000004.1-processed-gene-9.50-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.50&CDS=1-354	YGR020C
OG0001278	snap_masked-BBIL01000004.1-processed-gene-9.32-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-9.32&CDS=1-1758	YLR330W
OG0001279	genemark-BBIL01000004.1-processed-gene-9.51-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.51&CDS=1-1941	YKL148C
OG0001280	genemark-BBIL01000004.1-processed-gene-9.52-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.52&CDS=1-1152	YKL149C
OG0001281	genemark-BBIL01000004.1-processed-gene-9.70-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.70&CDS=1-885	YKL150W
OG0001282	genemark-BBIL01000004.1-processed-gene-9.53-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.53&CDS=1-996	YKL151C
OG0001283	genemark-BBIL01000004.1-processed-gene-9.71-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.71&CDS=1-936	YNR003C
OG0001284	augustus_masked-BBIL01000004.1-processed-gene-9.113-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-9.113&CDS=1-3066	YCR011C
OG0001285	genemark-BBIL01000004.1-processed-gene-9.73-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.73&CDS=1-906	YFR018C
OG0001286	snap_masked-BBIL01000004.1-processed-gene-9.18-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-9.18&CDS=1-6168	YFR019W
OG0001287	genemark-BBIL01000004.1-processed-gene-9.55-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.55&CDS=1-1539	YFR021W
OG0001288	genemark-BBIL01000004.1-processed-gene-10.102-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.102&CDS=1-2328	YOR018W
OG0001289	maker-BBIL01000004.1-snap-gene-10.50-mRNA-1_1&gene=maker-BBIL01000004.1-snap-gene-10.50&CDS=1-207	YCL005W-A
OG0001290	snap_masked-BBIL01000004.1-processed-gene-10.53-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-10.53&CDS=1-1362	YCL008C
OG0001291	genemark-BBIL01000004.1-processed-gene-10.105-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.105&CDS=1-1434	YLR175W
OG0001292	genemark-BBIL01000004.1-processed-gene-10.106-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.106&CDS=1-1065	YNL007C
OG0001293	genemark-BBIL01000004.1-processed-gene-10.107-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.107&CDS=1-909	YNL006W
OG0001294	genemark-BBIL01000004.1-processed-gene-10.135-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.135&CDS=1-2496	YLR176C
OG0001295	genemark-BBIL01000004.1-processed-gene-10.108-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.108&CDS=1-963	YNL002C
OG0001296	genemark-BBIL01000004.1-processed-gene-10.109-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.109&CDS=1-1086	YCL018W
OG0001297	genemark-BBIL01000004.1-processed-gene-10.136-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.136&CDS=1-1413	YCL017C
OG0001298	genemark-BBIL01000004.1-processed-gene-10.110-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.110&CDS=1-822	YNL003C
OG0001299	genemark-BBIL01000004.1-processed-gene-10.137-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.137&CDS=1-1110	YCL016C
OG0001300	genemark-BBIL01000004.1-processed-gene-10.111-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.111&CDS=1-4365	YCL014W
OG0001301	genemark-BBIL01000004.1-processed-gene-10.113-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.113&CDS=1-1677	YGL186C
OG0001302	genemark-BBIL01000004.1-processed-gene-10.114-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.114&CDS=1-462	YGL187C
OG0001303	genemark-BBIL01000004.1-processed-gene-10.116-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.116&CDS=1-1785	YLR060W
OG0001304	genemark-BBIL01000004.1-processed-gene-10.139-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.139&CDS=1-2715	YFL034W
OG0001305	genemark-BBIL01000004.1-processed-gene-10.117-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.117&CDS=1-360	YLR061W
OG0001306	genemark-BBIL01000004.1-processed-gene-10.140-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.140&CDS=1-1428	YLR459W
OG0001307	genemark-BBIL01000004.1-processed-gene-10.118-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.118&CDS=1-2280	YPR181C
OG0001308	genemark-BBIL01000004.1-processed-gene-10.141-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.141&CDS=1-1011	YPR180W
OG0001309	genemark-BBIL01000004.1-processed-gene-10.119-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.119&CDS=1-1908	YPR179C
OG0001310	genemark-BBIL01000004.1-processed-gene-10.142-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.142&CDS=1-1416	YPR178W
OG0001311	genemark-BBIL01000004.1-processed-gene-10.120-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.120&CDS=1-972	YPR176C
OG0001312	genemark-BBIL01000004.1-processed-gene-10.143-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.143&CDS=1-2115	YPR175W
OG0001313	snap_masked-BBIL01000004.1-processed-gene-10.71-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-10.71&CDS=1-1020	YLR457C
OG0001314	genemark-BBIL01000004.1-processed-gene-10.122-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.122&CDS=1-3108	YGR125W
OG0001315	snap_masked-BBIL01000004.1-processed-gene-10.73-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-10.73&CDS=1-435	YGR126W
OG0001316	genemark-BBIL01000004.1-processed-gene-10.124-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.124&CDS=1-921	YGR127W
OG0001317	genemark-BBIL01000004.1-processed-gene-10.144-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.144&CDS=1-1935	YGR128C
OG0001318	genemark-BBIL01000004.1-processed-gene-10.125-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.125&CDS=1-567	YGR129W
OG0001319	genemark-BBIL01000004.1-processed-gene-10.145-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.145&CDS=1-1260	YPR148C
OG0001320	genemark-BBIL01000004.1-processed-gene-10.126-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.126&CDS=1-468	YER050C
OG0001321	genemark-BBIL01000004.1-processed-gene-10.146-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.146&CDS=1-1212	YIL042C
OG0001322	genemark-BBIL01000004.1-processed-gene-10.127-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.127&CDS=1-903	YIL041W
OG0001323	snap_masked-BBIL01000004.1-processed-gene-10.96-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-10.96&CDS=1-1842	YER049W
OG0001324	snap_masked-BBIL01000004.1-processed-gene-10.97-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-10.97&CDS=1-273	YER048W-A
OG0001325	genemark-BBIL01000004.1-processed-gene-10.129-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.129&CDS=1-1269	YER048C
OG0001326	genemark-BBIL01000004.1-processed-gene-10.148-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.148&CDS=1-2289	YIL038C
OG0001327	snap_masked-BBIL01000004.1-processed-gene-10.100-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-10.100&CDS=1-849	YER046W
OG0001328	genemark-BBIL01000004.1-processed-gene-10.133-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.133&CDS=1-1533	YIL036W
OG0001329	genemark-BBIL01000004.1-processed-gene-10.151-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-10.151&CDS=1-1119	YIL035C
OG0001330	genemark-BBIL01000004.1-processed-gene-11.7-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.7&CDS=1-837	YIL034C
OG0001331	genemark-BBIL01000004.1-processed-gene-11.4-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.4&CDS=1-447	YER044C
OG0001332	genemark-BBIL01000004.1-processed-gene-11.8-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.8&CDS=1-1398	YIL033C
OG0001333	genemark-BBIL01000004.1-processed-gene-11.9-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.9&CDS=1-2493	YFR038W
OG0001334	genemark-BBIL01000004.1-processed-gene-11.5-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.5&CDS=1-1659	YFR037C
OG0001335	augustus_masked-BBIL01000004.1-processed-gene-11.102-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-11.102&CDS=1-558	YLR119W
OG0001336	genemark-BBIL01000004.1-processed-gene-11.10-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.10&CDS=1-1116	YDR142C
OG0001337	genemark-BBIL01000004.1-processed-gene-11.35-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.35&CDS=1-582	YPR151C
OG0001338	augustus_masked-BBIL01000004.1-processed-gene-11.108-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-11.108&CDS=1-3639	YGR134W
OG0001339	augustus_masked-BBIL01000004.1-processed-gene-11.131-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-11.131&CDS=1-1266	YPR152C
OG0001340	genemark-BBIL01000004.1-processed-gene-11.14-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.14&CDS=1-1167	YGR135W
OG0001341	augustus_masked-BBIL01000004.1-processed-gene-11.132-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-11.132&CDS=1-1806	YPR155C
OG0001342	augustus_masked-BBIL01000004.1-processed-gene-11.111-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-11.111&CDS=1-2280	YGR140W
OG0001343	genemark-BBIL01000004.1-processed-gene-11.17-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.17&CDS=1-1284	YGR141W
OG0001344	snap_masked-BBIL01000004.1-processed-gene-11.65-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-11.65&CDS=1-1119	YGR142W
OG0001345	augustus_masked-BBIL01000004.1-processed-gene-11.115-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-11.115&CDS=1-4212	YDR464W
OG0001346	genemark-BBIL01000004.1-processed-gene-11.38-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.38&CDS=1-1578	YHR007C
OG0001347	genemark-BBIL01000004.1-processed-gene-11.39-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.39&CDS=1-1251	YDR465C
OG0001348	genemark-BBIL01000004.1-processed-gene-11.40-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.40&CDS=1-684	YHR008C
OG0001349	genemark-BBIL01000004.1-processed-gene-11.21-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.21&CDS=1-2067	YDR466W
OG0001350	genemark-BBIL01000004.1-processed-gene-11.41-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.41&CDS=1-1590	YHR009C
OG0001351	genemark-BBIL01000004.1-processed-gene-11.42-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.42&CDS=1-708	YDR468C
OG0001352	genemark-BBIL01000004.1-processed-gene-11.22-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.22&CDS=1-396	YDR469W
OG0001353	genemark-BBIL01000004.1-processed-gene-11.43-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.43&CDS=1-1455	YDR470C
OG0001354	genemark-BBIL01000004.1-processed-gene-11.24-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.24&CDS=1-1332	YHR011W
OG0001355	genemark-BBIL01000004.1-processed-gene-11.25-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.25&CDS=1-819	YHR012W
OG0001356	genemark-BBIL01000004.1-processed-gene-11.45-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.45&CDS=1-687	YHR013C
OG0001357	snap_masked-BBIL01000004.1-processed-gene-11.73-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-11.73&CDS=1-735	YDR472W
OG0001358	augustus_masked-BBIL01000004.1-processed-gene-11.122-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-11.122&CDS=1-2337	YOR144C
OG0001359	genemark-BBIL01000004.1-processed-gene-11.46-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.46&CDS=1-987	YDR392W
OG0001360	genemark-BBIL01000004.1-processed-gene-11.28-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.28&CDS=1-897	YOR143C
OG0001361	genemark-BBIL01000004.1-processed-gene-11.47-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.47&CDS=1-954	YOR142W
OG0001362	genemark-BBIL01000004.1-processed-gene-11.29-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.29&CDS=1-2376	YOR141C
OG0001363	genemark-BBIL01000004.1-processed-gene-11.48-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.48&CDS=1-2325	YOR140W
OG0001364	augustus_masked-BBIL01000004.1-processed-gene-11.125-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-11.125&CDS=1-1737	YOR138C
OG0001365	genemark-BBIL01000004.1-processed-gene-11.31-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.31&CDS=1-1737	YOR137C
OG0001366	genemark-BBIL01000004.1-processed-gene-11.49-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.49&CDS=1-1104	YOR136W
OG0001367	genemark-BBIL01000004.1-processed-gene-11.32-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.32&CDS=1-1893	YDR390C
OG0001368	genemark-BBIL01000004.1-processed-gene-11.50-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-11.50&CDS=1-1917	YDR389W
OG0001369	genemark-BBIL01000004.1-processed-gene-12.97-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-12.97&CDS=1-1398	YDR388W
OG0001370	genemark-BBIL01000004.1-processed-gene-12.96-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-12.96&CDS=1-1755	YDR387C
OG0001371	genemark-BBIL01000004.1-processed-gene-12.98-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-12.98&CDS=1-1851	YDR386W
OG0001372	genemark-BBIL01000004.1-processed-gene-12.125-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-12.125&CDS=1-1680	YOR132W
OG0001373	genemark-BBIL01000004.1-processed-gene-12.100-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-12.100&CDS=1-630	YOR131C
OG0001374	genemark-BBIL01000004.1-processed-gene-12.102-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-12.102&CDS=1-810	YDR384C
OG0001375	genemark-BBIL01000004.1-processed-gene-12.126-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-12.126&CDS=1-327	YDR382W
OG0001376	genemark-BBIL01000004.1-processed-gene-12.104-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-12.104&CDS=1-852	YOR130C
OG0001377	genemark-BBIL01000004.1-processed-gene-12.105-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-12.105&CDS=1-321	YDR381C-A
OG0001378	genemark-BBIL01000004.1-processed-gene-12.128-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-12.128&CDS=1-666	YDR381W
OG0001379	augustus_masked-BBIL01000004.1-processed-gene-12.11-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-12.11&CDS=1-2763	YOR129C
