	Metschnikowia_bicuspidata	Saccharomyces_cerevisiae
OG0000866	genemark-scaffold_1-processed-gene-25.74-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.74&CDS=1-612	YJR073C
OG0000867	genemark-scaffold_1-processed-gene-25.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.75&CDS=1-909	YOR352W
OG0000868	genemark-scaffold_1-processed-gene-25.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.77&CDS=1-3585	YKL209C
OG0000869	genemark-scaffold_1-processed-gene-25.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.88&CDS=1-3054	YKL210W
OG0000870	genemark-scaffold_1-processed-gene-25.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.78&CDS=1-2178	YIL005W
OG0000871	genemark-scaffold_1-processed-gene-25.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.79&CDS=1-1320	YER003C
OG0000872	snap_masked-scaffold_1-processed-gene-25.48-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.48&CDS=1-621	YER002W
OG0000873	genemark-scaffold_1-processed-gene-25.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.90&CDS=1-882	YIL003W
OG0000874	genemark-scaffold_1-processed-gene-25.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.81&CDS=1-441	YIL004C
OG0000875	augustus_masked-scaffold_1-processed-gene-26.70-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-26.70&CDS=1-1416	YCL034W
OG0000876	genemark-scaffold_1-processed-gene-26.0-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.0&CDS=1-2052	YDR172W
OG0000877	genemark-scaffold_1-processed-gene-26.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.14&CDS=1-1182	YDR173C
OG0000878	maker-scaffold_1-snap-gene-26.64-mRNA-1_1&gene=maker-scaffold_1-snap-gene-26.64&CDS=1-2025	YIL049W
OG0000879	genemark-scaffold_1-processed-gene-26.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.6&CDS=1-849	YPL065W
OG0000880	genemark-scaffold_1-processed-gene-26.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.15&CDS=1-828	YFR052W
OG0000881	genemark-scaffold_1-processed-gene-26.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.7&CDS=1-1722	YGR124W
OG0000882	snap_masked-scaffold_1-processed-gene-26.53-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.53&CDS=1-2340	YBR202W
OG0000883	genemark-scaffold_1-processed-gene-26.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.19&CDS=1-1521	YDR169C
OG0000884	snap_masked-scaffold_1-processed-gene-26.55-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.55&CDS=1-756	YLR150W
OG0000885	snap_masked-scaffold_1-processed-gene-26.56-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.56&CDS=1-5805	YDR170C
OG0000886	genemark-scaffold_1-processed-gene-26.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.21&CDS=1-5643	YPL231W
OG0000887	snap_masked-scaffold_1-processed-gene-26.58-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.58&CDS=1-195	YBR162W-A
OG0000888	genemark-scaffold_1-processed-gene-26.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.22&CDS=1-2490	YLL001W
OG0000889	genemark-scaffold_1-processed-gene-26.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.10&CDS=1-1419	YJL002C
OG0000890	snap_masked-scaffold_1-processed-gene-26.46-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.46&CDS=1-1311	YNL124W
OG0000891	augustus_masked-scaffold_1-processed-gene-26.93-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-26.93&CDS=1-5652	YHR120W
OG0000892	genemark-scaffold_1-processed-gene-26.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.13&CDS=1-2925	YNL123W
OG0000893	augustus_masked-scaffold_1-processed-gene-27.2-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-27.2&CDS=1-2853	YCR017C
OG0000894	maker-scaffold_1-snap-gene-27.23-mRNA-1_1&gene=maker-scaffold_1-snap-gene-27.23&CDS=1-1008	YBR039W
OG0000895	augustus_masked-scaffold_1-processed-gene-27.3-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-27.3&CDS=1-5250	YER113C
OG0000896	augustus_masked-scaffold_1-processed-gene-27.11-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-27.11&CDS=1-834	YHR116W
OG0000897	snap_masked-scaffold_1-processed-gene-27.37-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-27.37&CDS=1-1287	YNL119W
OG0000898	genemark-scaffold_1-processed-gene-27.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-27.79&CDS=1-873	YIR026C
OG0000899	genemark-scaffold_1-processed-gene-27.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-27.81&CDS=1-348	YMR123W
OG0000900	genemark-scaffold_1-processed-gene-27.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-27.75&CDS=1-1767	YER068W
OG0000901	augustus_masked-scaffold_1-processed-gene-27.15-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-27.15&CDS=1-4815	YPL040C
OG0000902	maker-scaffold_1-snap-gene-27.28-mRNA-1_1&gene=maker-scaffold_1-snap-gene-27.28&CDS=1-1386	YNR001C
OG0000903	maker-scaffold_1-snap-gene-27.29-mRNA-1_1&gene=maker-scaffold_1-snap-gene-27.29&CDS=1-1599	YBR163W
OG0000904	snap_masked-scaffold_1-processed-gene-27.43-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-27.43&CDS=1-3078	YOR048C
OG0000905	snap_masked-scaffold_1-processed-gene-27.55-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-27.55&CDS=1-5562	YJL039C
OG0000906	snap_masked-scaffold_1-processed-gene-27.56-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-27.56&CDS=1-1659	YKR097W
OG0000907	augustus_masked-scaffold_1-processed-gene-27.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-27.10&CDS=1-3408	YIL153W
OG0000908	augustus_masked-scaffold_1-processed-gene-28.60-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-28.60&CDS=1-4752	YMR247C
OG0000909	augustus_masked-scaffold_1-processed-gene-28.78-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-28.78&CDS=1-3342	YFL024C
OG0000910	genemark-scaffold_1-processed-gene-28.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-28.22&CDS=1-1593	YHR030C
OG0000911	genemark-scaffold_1-processed-gene-28.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-28.6&CDS=1-978	YKL120W
OG0000912	genemark-scaffold_1-processed-gene-28.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-28.7&CDS=1-2430	YPL147W
OG0000913	genemark-scaffold_1-processed-gene-28.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-28.8&CDS=1-1212	YKR048C
OG0000914	augustus_masked-scaffold_1-processed-gene-28.80-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-28.80&CDS=1-846	YHR071W
OG0000915	genemark-scaffold_1-processed-gene-28.23-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-28.23&CDS=1-2145	YKL025C
OG0000916	genemark-scaffold_1-processed-gene-28.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-28.10&CDS=1-747	YIR035C
OG0000917	genemark-scaffold_1-processed-gene-28.11-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-28.11&CDS=1-852	YKL024C
OG0000918	genemark-scaffold_1-processed-gene-28.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-28.24&CDS=1-798	YGR024C
OG0000919	genemark-scaffold_1-processed-gene-28.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-28.12&CDS=1-3504	YPR010C
OG0000920	snap_masked-scaffold_1-processed-gene-28.42-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-28.42&CDS=1-12564	YKR054C
OG0000921	snap_masked-scaffold_1-processed-gene-28.56-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-28.56&CDS=1-1014	YGR104C
OG0000922	maker-scaffold_1-snap-gene-28.94-mRNA-1_1&gene=maker-scaffold_1-snap-gene-28.94&CDS=1-234	YGR105W
OG0000923	genemark-scaffold_1-processed-gene-28.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-28.30&CDS=1-1323	YNL280C
OG0000924	genemark-scaffold_1-processed-gene-28.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-28.17&CDS=1-1167	YOR063W
OG0000925	genemark-scaffold_1-processed-gene-28.31-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-28.31&CDS=1-1494	YMR093W
OG0000926	snap_masked-scaffold_1-processed-gene-28.48-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-28.48&CDS=1-1854	YMR313C
OG0000927	genemark-scaffold_1-processed-gene-29.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-29.71&CDS=1-1173	YNL066W
OG0000928	genemark-scaffold_1-processed-gene-29.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-29.72&CDS=1-1653	YEL063C
OG0000929	genemark-scaffold_1-processed-gene-29.74-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-29.74&CDS=1-1545	YNL137C
OG0000930	genemark-scaffold_1-processed-gene-29.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-29.75&CDS=1-879	YNL063W
OG0000931	genemark-scaffold_1-processed-gene-29.91-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-29.91&CDS=1-1395	YNL062C
OG0000932	genemark-scaffold_1-processed-gene-29.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-29.76&CDS=1-1800	YNL061W
OG0000933	genemark-scaffold_1-processed-gene-29.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-29.92&CDS=1-2313	YNL059C
OG0000934	genemark-scaffold_1-processed-gene-29.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-29.77&CDS=1-1569	YNL138W
OG0000935	genemark-scaffold_1-processed-gene-29.93-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-29.93&CDS=1-765	YOL096C
OG0000936	genemark-scaffold_1-processed-gene-29.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-29.79&CDS=1-2436	YDR485C
OG0000937	maker-scaffold_1-augustus-gene-29.104-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-29.104&CDS=1-438	YNL281W
OG0000938	genemark-scaffold_1-processed-gene-29.94-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-29.94&CDS=1-1776	YLR276C
OG0000939	maker-scaffold_1-snap-gene-29.40-mRNA-1_1&gene=maker-scaffold_1-snap-gene-29.40&CDS=1-1635	YHL008C
OG0000940	snap_masked-scaffold_1-processed-gene-29.28-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-29.28&CDS=1-1257	YCR066W
OG0000941	maker-scaffold_1-augustus-gene-29.101-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-29.101&CDS=1-2688	YCR068W
OG0000942	genemark-scaffold_1-processed-gene-29.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-29.81&CDS=1-828	YML052W
OG0000943	maker-scaffold_1-snap-gene-29.41-mRNA-1_1&gene=maker-scaffold_1-snap-gene-29.41&CDS=1-513	YBL092W
OG0000944	snap_masked-scaffold_1-processed-gene-29.31-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-29.31&CDS=1-1806	YBR006W
OG0000945	snap_masked-scaffold_1-processed-gene-29.33-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-29.33&CDS=1-573	YLR229C
OG0000946	snap_masked-scaffold_1-processed-gene-29.34-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-29.34&CDS=1-1845	YLR228C
OG0000947	genemark-scaffold_1-processed-gene-29.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-29.84&CDS=1-432	YGR174C
OG0000948	snap_masked-scaffold_1-processed-gene-29.13-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-29.13&CDS=1-1308	YGL160W
OG0000949	genemark-scaffold_1-processed-gene-29.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-29.85&CDS=1-921	YER175C
OG0000950	snap_masked-scaffold_1-processed-gene-29.16-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-29.16&CDS=1-2331	YDR419W
OG0000951	snap_masked-scaffold_1-processed-gene-29.17-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-29.17&CDS=1-1401	YDR245W
OG0000952	augustus_masked-scaffold_1-processed-gene-29.57-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-29.57&CDS=1-2934	YPL016W
OG0000953	genemark-scaffold_1-processed-gene-29.89-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-29.89&CDS=1-1773	YDR244W
OG0000954	genemark-scaffold_1-processed-gene-29.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-29.90&CDS=1-2550	YCL030C
OG0000955	genemark-scaffold_1-processed-gene-30.0-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-30.0&CDS=1-1773	YPL023C
OG0000956	augustus_masked-scaffold_1-processed-gene-30.64-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-30.64&CDS=1-3216	YPL022W
OG0000957	snap_masked-scaffold_1-processed-gene-30.35-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-30.35&CDS=1-1011	YDL205C
OG0000958	genemark-scaffold_1-processed-gene-30.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-30.3&CDS=1-4125	YLR056W
OG0000959	genemark-scaffold_1-processed-gene-30.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-30.15&CDS=1-672	YPL041C
OG0000960	genemark-scaffold_1-processed-gene-30.4-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-30.4&CDS=1-1203	YPL028W
OG0000961	genemark-scaffold_1-processed-gene-30.5-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-30.5&CDS=1-807	YDL086W
OG0000962	genemark-scaffold_1-processed-gene-30.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-30.6&CDS=1-1068	YMR146C
OG0000963	maker-scaffold_1-snap-gene-30.61-mRNA-1_1&gene=maker-scaffold_1-snap-gene-30.61&CDS=1-2034	YDR452W
OG0000964	genemark-scaffold_1-processed-gene-30.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-30.8&CDS=1-933	YLR340W
OG0000965	genemark-scaffold_1-processed-gene-30.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-30.18&CDS=1-405	YPL013C
OG0000966	genemark-scaffold_1-processed-gene-30.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-30.19&CDS=1-3642	YPL012W
OG0000967	genemark-scaffold_1-processed-gene-30.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-30.21&CDS=1-2346	YKR024C
OG0000968	genemark-scaffold_1-processed-gene-30.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-30.22&CDS=1-792	YKR025W
OG0000969	genemark-scaffold_1-processed-gene-30.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-30.13&CDS=1-3606	YGL094C
OG0000970	genemark-scaffold_1-processed-gene-31.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-31.6&CDS=1-756	YMR193W
OG0000971	genemark-scaffold_1-processed-gene-31.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-31.3&CDS=1-2172	YHR205W
OG0000972	snap_masked-scaffold_1-processed-gene-31.68-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-31.68&CDS=1-3033	YLL031C
OG0000973	snap_masked-scaffold_1-processed-gene-31.69-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-31.69&CDS=1-1065	YNL191W
OG0000974	genemark-scaffold_1-processed-gene-31.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-31.8&CDS=1-483	YJL096W
OG0000975	genemark-scaffold_1-processed-gene-31.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-31.22&CDS=1-1887	YNR030W
OG0000976	genemark-scaffold_1-processed-gene-31.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-31.10&CDS=1-1218	YNR029C
OG0000977	genemark-scaffold_1-processed-gene-31.11-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-31.11&CDS=1-1479	YJL054W
OG0000978	genemark-scaffold_1-processed-gene-31.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-31.13&CDS=1-834	YEL019C
OG0000979	snap_masked-scaffold_1-processed-gene-31.85-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-31.85&CDS=1-840	YGL221C
OG0000980	genemark-scaffold_1-processed-gene-31.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-31.15&CDS=1-1509	YOL137W
OG0000981	snap_masked-scaffold_1-processed-gene-31.86-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-31.86&CDS=1-258	YGL220W
OG0000982	snap_masked-scaffold_1-processed-gene-31.87-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-31.87&CDS=1-4110	YDL240W
OG0000983	genemark-scaffold_1-processed-gene-31.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-31.27&CDS=1-1908	YNL039W
OG0000984	genemark-scaffold_1-processed-gene-31.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-31.17&CDS=1-1149	YNL035C
OG0000985	genemark-scaffold_1-processed-gene-31.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-31.18&CDS=1-2304	YNL021W
OG0000986	genemark-scaffold_1-processed-gene-31.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-31.19&CDS=1-1365	YNL022C
OG0000987	genemark-scaffold_1-processed-gene-31.29-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-31.29&CDS=1-1116	YIL094C
OG0000988	genemark-scaffold_1-processed-gene-32.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-32.7&CDS=1-705	YOR232W
OG0000989	genemark-scaffold_1-processed-gene-32.9-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-32.9&CDS=1-2154	YPR003C
OG0000990	genemark-scaffold_1-processed-gene-32.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-32.10&CDS=1-696	YPL107W
OG0000991	genemark-scaffold_1-processed-gene-32.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-32.21&CDS=1-1761	YBR123C
OG0000992	genemark-scaffold_1-processed-gene-32.11-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-32.11&CDS=1-993	YKL085W
OG0000993	genemark-scaffold_1-processed-gene-32.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-32.24&CDS=1-1089	YHR004C
OG0000994	genemark-scaffold_1-processed-gene-32.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-32.13&CDS=1-1263	YJL203W
OG0000995	snap_masked-scaffold_1-processed-gene-32.80-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-32.80&CDS=1-1455	YBR182C
OG0000996	maker-scaffold_1-snap-gene-32.56-mRNA-1_1&gene=maker-scaffold_1-snap-gene-32.56&CDS=1-6666	YPL085W
OG0000997	snap_masked-scaffold_1-processed-gene-32.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-32.81&CDS=1-681	YMR069W
OG0000998	genemark-scaffold_1-processed-gene-32.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-32.27&CDS=1-549	YHR148W
OG0000999	genemark-scaffold_1-processed-gene-32.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-32.28&CDS=1-1872	YMR058W
OG0001000	genemark-scaffold_1-processed-gene-32.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-32.18&CDS=1-1272	YGR110W
OG0001001	maker-scaffold_1-snap-gene-32.58-mRNA-1_1&gene=maker-scaffold_1-snap-gene-32.58&CDS=1-2640	YPR066W
OG0001002	snap_masked-scaffold_1-processed-gene-33.27-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-33.27&CDS=1-264	YOR159C
OG0001003	snap_masked-scaffold_1-processed-gene-33.28-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-33.28&CDS=1-9801	YDR457W
OG0001004	genemark-scaffold_1-processed-gene-33.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-33.13&CDS=1-714	YBR096W
OG0001005	genemark-scaffold_1-processed-gene-33.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-33.3&CDS=1-522	YLR370C
OG0001006	genemark-scaffold_1-processed-gene-33.4-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-33.4&CDS=1-687	YDR410C
OG0001007	genemark-scaffold_1-processed-gene-33.5-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-33.5&CDS=1-912	YMR241W
OG0001008	genemark-scaffold_1-processed-gene-33.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-33.19&CDS=1-1419	YOR307C
OG0001009	genemark-scaffold_1-processed-gene-33.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-33.6&CDS=1-1965	YDR456W
OG0001010	genemark-scaffold_1-processed-gene-33.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-33.20&CDS=1-1947	YML031W
OG0001011	genemark-scaffold_1-processed-gene-33.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-33.21&CDS=1-915	YOR158W
OG0001012	maker-scaffold_1-snap-gene-33.52-mRNA-1_1&gene=maker-scaffold_1-snap-gene-33.52&CDS=1-1806	YDR386W
OG0001013	genemark-scaffold_1-processed-gene-33.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-33.7&CDS=1-1308	YDR473C
OG0001014	genemark-scaffold_1-processed-gene-33.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-33.8&CDS=1-2607	YER070W
OG0001015	genemark-scaffold_1-processed-gene-33.9-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-33.9&CDS=1-2322	YJL212C
OG0001016	genemark-scaffold_1-processed-gene-33.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-33.10&CDS=1-2067	YIL067C
OG0001017	genemark-scaffold_1-processed-gene-33.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-33.24&CDS=1-1176	YJR076C
OG0001018	genemark-scaffold_1-processed-gene-33.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-33.12&CDS=1-783	YJR144W
OG0001019	genemark-scaffold_1-processed-gene-34.74-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-34.74&CDS=1-564	YGR082W
OG0001020	genemark-scaffold_1-processed-gene-34.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-34.75&CDS=1-2547	YJR139C
OG0001021	augustus_masked-scaffold_1-processed-gene-34.11-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-34.11&CDS=1-4686	YJR138W
OG0001022	genemark-scaffold_1-processed-gene-34.97-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-34.97&CDS=1-4494	YAL024C
OG0001023	genemark-scaffold_1-processed-gene-34.98-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-34.98&CDS=1-642	YGR081C
OG0001024	genemark-scaffold_1-processed-gene-34.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-34.79&CDS=1-2544	YPR104C
OG0001025	genemark-scaffold_1-processed-gene-34.80-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-34.80&CDS=1-849	YPR103W
OG0001026	snap_masked-scaffold_1-processed-gene-34.68-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-34.68&CDS=1-342	YPR094W
OG0001027	genemark-scaffold_1-processed-gene-34.101-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-34.101&CDS=1-1314	YGR080W
OG0001028	snap_masked-scaffold_1-processed-gene-34.71-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-34.71&CDS=1-930	YGR086C
OG0001029	genemark-scaffold_1-processed-gene-34.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-34.87&CDS=1-567	YLR251W
OG0001030	snap_masked-scaffold_1-processed-gene-34.56-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-34.56&CDS=1-2235	YOR014W
OG0001031	snap_masked-scaffold_1-processed-gene-34.57-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-34.57&CDS=1-1563	YML056C
OG0001032	genemark-scaffold_1-processed-gene-34.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-34.90&CDS=1-510	YOR367W
OG0001033	genemark-scaffold_1-processed-gene-34.91-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-34.91&CDS=1-909	YAL025C
OG0001034	genemark-scaffold_1-processed-gene-34.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-34.92&CDS=1-1335	YOR049C
OG0001035	genemark-scaffold_1-processed-gene-34.94-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-34.94&CDS=1-645	YLR293C
OG0001036	genemark-scaffold_1-processed-gene-34.105-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-34.105&CDS=1-405	YLR298C
OG0001037	augustus_masked-scaffold_1-processed-gene-35.31-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-35.31&CDS=1-339	YLR295C
