	Dekkera_bruxellensis	Saccharomyces_cerevisiae
OG0000834	genemark-scaffold_1-processed-gene-17.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.71&CDS=1-3051	YHR027C
OG0000835	genemark-scaffold_1-processed-gene-17.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.72&CDS=1-1476	YPL254W
OG0000836	genemark-scaffold_1-processed-gene-17.56-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.56&CDS=1-1467	YHR030C
OG0000837	genemark-scaffold_1-processed-gene-17.57-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.57&CDS=1-1035	YMR315W
OG0000838	genemark-scaffold_1-processed-gene-17.59-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.59&CDS=1-852	YIL093C
OG0000839	genemark-scaffold_1-processed-gene-17.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.75&CDS=1-492	YGR076C
OG0000840	genemark-scaffold_1-processed-gene-17.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.60&CDS=1-1344	YOL140W
OG0000841	genemark-scaffold_1-processed-gene-17.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.76&CDS=1-3795	YNL321W
OG0000842	genemark-scaffold_1-processed-gene-17.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.77&CDS=1-948	YDL015C
OG0000843	genemark-scaffold_1-processed-gene-17.61-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.61&CDS=1-342	YGR074W
OG0000844	genemark-scaffold_1-processed-gene-17.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.62&CDS=1-711	YOL139C
OG0000845	snap_masked-scaffold_1-processed-gene-17.106-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.106&CDS=1-780	YLR285W
OG0000846	genemark-scaffold_1-processed-gene-17.80-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.80&CDS=1-1509	YLR004C
OG0000847	genemark-scaffold_1-processed-gene-17.64-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.64&CDS=1-1974	YPR175W
OG0000848	maker-scaffold_1-augustus-gene-17.89-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-17.89&CDS=1-2142	YPR176C
OG0000849	genemark-scaffold_1-processed-gene-17.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.83&CDS=1-705	YNL322C
OG0000850	genemark-scaffold_1-processed-gene-17.65-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.65&CDS=1-2553	YBR202W
OG0000851	genemark-scaffold_1-processed-gene-18.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.72&CDS=1-1932	YNL045W
OG0000852	genemark-scaffold_1-processed-gene-18.70-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.70&CDS=1-1644	YNL044W
OG0000853	genemark-scaffold_1-processed-gene-18.74-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.74&CDS=1-1923	YMR058W
OG0000854	augustus_masked-scaffold_1-processed-gene-18.55-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.55&CDS=1-2415	YKL154W
OG0000855	genemark-scaffold_1-processed-gene-18.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.75&CDS=1-1641	YGL023C
OG0000856	genemark-scaffold_1-processed-gene-18.89-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.89&CDS=1-2406	YPR181C
OG0000857	genemark-scaffold_1-processed-gene-18.93-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.93&CDS=1-2403	YEL053C
OG0000858	genemark-scaffold_1-processed-gene-18.94-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.94&CDS=1-615	YDR298C
OG0000859	genemark-scaffold_1-processed-gene-18.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.76&CDS=1-1167	YEL050C
OG0000860	genemark-scaffold_1-processed-gene-18.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.77&CDS=1-2967	YBR084W
OG0000861	snap_masked-scaffold_1-processed-gene-18.34-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.34&CDS=1-2586	YGL180W
OG0000862	genemark-scaffold_1-processed-gene-18.98-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.98&CDS=1-1386	YGL181W
OG0000863	augustus_masked-scaffold_1-processed-gene-18.51-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.51&CDS=1-999	YOL002C
OG0000864	genemark-scaffold_1-processed-gene-18.99-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.99&CDS=1-2169	YGL124C
OG0000865	genemark-scaffold_1-processed-gene-18.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.100&CDS=1-1206	YJL059W
OG0000866	genemark-scaffold_1-processed-gene-18.101-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.101&CDS=1-1704	YLR259C
OG0000867	maker-scaffold_1-augustus-gene-18.1-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-18.1&CDS=1-3693	YLR129W
OG0000868	genemark-scaffold_1-processed-gene-18.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.84&CDS=1-1878	YLR127C
OG0000869	genemark-scaffold_1-processed-gene-18.104-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.104&CDS=1-4410	YLR419W
OG0000870	genemark-scaffold_1-processed-gene-19.34-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.34&CDS=1-1299	YDL084W
OG0000871	genemark-scaffold_1-processed-gene-19.32-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.32&CDS=1-1641	YML069W
OG0000872	genemark-scaffold_1-processed-gene-19.33-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.33&CDS=1-2961	YDR089W
OG0000873	genemark-scaffold_1-processed-gene-19.53-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.53&CDS=1-1260	YLR085C
OG0000874	genemark-scaffold_1-processed-gene-19.54-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.54&CDS=1-2247	YLR277C
OG0000875	genemark-scaffold_1-processed-gene-19.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.37&CDS=1-294	YLR438C-A
OG0000876	genemark-scaffold_1-processed-gene-19.55-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.55&CDS=1-4842	YML059C
OG0000877	genemark-scaffold_1-processed-gene-19.38-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.38&CDS=1-6192	YKL182W
OG0000878	genemark-scaffold_1-processed-gene-19.39-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.39&CDS=1-2349	YDL164C
OG0000879	genemark-scaffold_1-processed-gene-19.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.41&CDS=1-1074	YPL266W
OG0000880	maker-scaffold_1-snap-gene-19.73-mRNA-1_1&gene=maker-scaffold_1-snap-gene-19.73&CDS=1-2679	YPL270W
OG0000881	genemark-scaffold_1-processed-gene-19.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.42&CDS=1-3030	YEL055C
OG0000882	genemark-scaffold_1-processed-gene-19.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.60&CDS=1-963	YBR231C
OG0000883	genemark-scaffold_1-processed-gene-19.43-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.43&CDS=1-1623	YBR233W
OG0000884	genemark-scaffold_1-processed-gene-19.61-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.61&CDS=1-2337	YGL114W
OG0000885	genemark-scaffold_1-processed-gene-19.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.62&CDS=1-1008	YGL115W
OG0000886	genemark-scaffold_1-processed-gene-19.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.44&CDS=1-1923	YKL125W
OG0000887	genemark-scaffold_1-processed-gene-19.63-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.63&CDS=1-1200	YMR026C
OG0000888	augustus_masked-scaffold_1-processed-gene-19.13-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.13&CDS=1-414	YDR308C
OG0000889	maker-scaffold_1-augustus-gene-19.116-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-19.116&CDS=1-3894	YDR523C
OG0000890	snap_masked-scaffold_1-processed-gene-19.91-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.91&CDS=1-240	YDR525W-A
OG0000891	augustus_masked-scaffold_1-processed-gene-19.15-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.15&CDS=1-3990	YNL123W
OG0000892	genemark-scaffold_1-processed-gene-19.66-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.66&CDS=1-777	YNL122C
OG0000893	genemark-scaffold_1-processed-gene-19.50-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.50&CDS=1-3315	YHR119W
OG0000894	genemark-scaffold_1-processed-gene-19.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.67&CDS=1-1815	YDR208W
OG0000895	augustus_masked-scaffold_1-processed-gene-19.18-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.18&CDS=1-2316	YHR120W
OG0000896	genemark-scaffold_1-processed-gene-20.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.44&CDS=1-1512	YNL124W
OG0000897	genemark-scaffold_1-processed-gene-20.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.42&CDS=1-3180	YNL132W
OG0000898	genemark-scaffold_1-processed-gene-20.45-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.45&CDS=1-768	YNL129W
OG0000899	genemark-scaffold_1-processed-gene-20.43-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.43&CDS=1-654	YHR122W
OG0000900	genemark-scaffold_1-processed-gene-20.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.47&CDS=1-1410	YIL088C
OG0000901	genemark-scaffold_1-processed-gene-20.68-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.68&CDS=1-1107	YNL025C
OG0000902	genemark-scaffold_1-processed-gene-20.69-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.69&CDS=1-2757	YKR028W
OG0000903	maker-scaffold_1-augustus-gene-20.0-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-20.0&CDS=1-933	YER009W
OG0000904	snap_masked-scaffold_1-processed-gene-20.94-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.94&CDS=1-2223	YIR003W
OG0000905	genemark-scaffold_1-processed-gene-20.50-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.50&CDS=1-1356	YOL030W
OG0000906	genemark-scaffold_1-processed-gene-20.52-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.52&CDS=1-531	YLR109W
OG0000907	genemark-scaffold_1-processed-gene-20.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.72&CDS=1-1968	YHL020C
OG0000908	genemark-scaffold_1-processed-gene-20.55-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.55&CDS=1-915	YNR027W
OG0000909	genemark-scaffold_1-processed-gene-20.74-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.74&CDS=1-1245	YCR066W
OG0000910	snap_masked-scaffold_1-processed-gene-20.102-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.102&CDS=1-195	YMR256C
OG0000911	maker-scaffold_1-snap-gene-20.85-mRNA-1_1&gene=maker-scaffold_1-snap-gene-20.85&CDS=1-4164	YER014W
OG0000912	genemark-scaffold_1-processed-gene-20.59-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.59&CDS=1-741	YKL040C
OG0000913	genemark-scaffold_1-processed-gene-20.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.77&CDS=1-360	YHL018W
OG0000914	genemark-scaffold_1-processed-gene-20.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.60&CDS=1-1800	YHL019C
OG0000915	genemark-scaffold_1-processed-gene-20.61-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.61&CDS=1-2841	YNR026C
OG0000916	genemark-scaffold_1-processed-gene-20.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.78&CDS=1-333	YKL058W
OG0000917	genemark-scaffold_1-processed-gene-20.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.62&CDS=1-1284	YKL059C
OG0000918	genemark-scaffold_1-processed-gene-20.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.79&CDS=1-1365	YMR027W
OG0000919	genemark-scaffold_1-processed-gene-20.63-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.63&CDS=1-1170	YBR095C
OG0000920	genemark-scaffold_1-processed-gene-20.80-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.80&CDS=1-2160	YBR094W
OG0000921	genemark-scaffold_1-processed-gene-20.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.81&CDS=1-1251	YOR303W
OG0000922	genemark-scaffold_1-processed-gene-20.64-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.64&CDS=1-1167	YOR063W
OG0000923	genemark-scaffold_1-processed-gene-20.65-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.65&CDS=1-1911	YOR204W
OG0000924	genemark-scaffold_1-processed-gene-20.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.82&CDS=1-3378	YFR016C
OG0000925	genemark-scaffold_1-processed-gene-21.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.48&CDS=1-3237	YJL080C
OG0000926	genemark-scaffold_1-processed-gene-21.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.47&CDS=1-1242	YOL022C
OG0000927	genemark-scaffold_1-processed-gene-21.50-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.50&CDS=1-2139	YDR052C
OG0000928	genemark-scaffold_1-processed-gene-21.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.72&CDS=1-669	YDR054C
OG0000929	genemark-scaffold_1-processed-gene-21.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.73&CDS=1-291	YDR079W
OG0000930	augustus_masked-scaffold_1-processed-gene-21.92-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.92&CDS=1-1017	YER156C
OG0000931	genemark-scaffold_1-processed-gene-21.53-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.53&CDS=1-6033	YER155C
OG0000932	genemark-scaffold_1-processed-gene-21.54-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.54&CDS=1-864	YNL202W
OG0000933	genemark-scaffold_1-processed-gene-21.55-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.55&CDS=1-1314	YPL092W
OG0000934	genemark-scaffold_1-processed-gene-21.74-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.74&CDS=1-1833	YLR117C
OG0000935	genemark-scaffold_1-processed-gene-21.56-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.56&CDS=1-2484	YHR154W
OG0000936	genemark-scaffold_1-processed-gene-21.61-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.61&CDS=1-1344	YLR303W
OG0000937	genemark-scaffold_1-processed-gene-21.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.76&CDS=1-2037	YIL108W
OG0000938	genemark-scaffold_1-processed-gene-21.63-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.63&CDS=1-1185	YLR326W
OG0000939	genemark-scaffold_1-processed-gene-21.64-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.64&CDS=1-1215	YNL064C
OG0000940	genemark-scaffold_1-processed-gene-21.65-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.65&CDS=1-537	YCR043C
OG0000941	genemark-scaffold_1-processed-gene-21.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.77&CDS=1-1143	YGR111W
OG0000942	genemark-scaffold_1-processed-gene-21.66-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.66&CDS=1-405	YDR511W
OG0000943	genemark-scaffold_1-processed-gene-21.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.67&CDS=1-879	YMR314W
OG0000944	genemark-scaffold_1-processed-gene-21.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.79&CDS=1-627	YIR032C
OG0000945	genemark-scaffold_1-processed-gene-21.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.81&CDS=1-1512	YNL241C
OG0000946	genemark-scaffold_1-processed-gene-21.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.82&CDS=1-1590	YNL240C
OG0000947	maker-scaffold_1-snap-gene-21.46-mRNA-1_1&gene=maker-scaffold_1-snap-gene-21.46&CDS=1-3393	YNL237W
OG0000948	genemark-scaffold_1-processed-gene-21.68-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.68&CDS=1-1734	YBL061C
OG0000949	snap_masked-scaffold_1-processed-gene-21.23-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.23&CDS=1-1602	YGR044C
OG0000950	genemark-scaffold_1-processed-gene-21.70-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.70&CDS=1-750	YER100W
OG0000951	augustus_masked-scaffold_1-processed-gene-21.123-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.123&CDS=1-225	YBL071W-A
OG0000952	maker-scaffold_1-augustus-gene-22.0-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-22.0&CDS=1-3375	YBR079C
OG0000953	augustus_masked-scaffold_1-processed-gene-22.4-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.4&CDS=1-9504	YLL040C
OG0000954	genemark-scaffold_1-processed-gene-22.53-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.53&CDS=1-1014	YBL013W
OG0000955	genemark-scaffold_1-processed-gene-22.40-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.40&CDS=1-2106	YGL026C
OG0000956	genemark-scaffold_1-processed-gene-22.54-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.54&CDS=1-384	YFR033C
OG0000957	augustus_masked-scaffold_1-processed-gene-22.11-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.11&CDS=1-4983	YLL048C
OG0000958	genemark-scaffold_1-processed-gene-22.56-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.56&CDS=1-636	YLR040C
OG0000959	genemark-scaffold_1-processed-gene-22.45-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.45&CDS=1-2985	YBR038W
OG0000960	genemark-scaffold_1-processed-gene-22.46-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.46&CDS=1-1563	YLR352W
OG0000961	genemark-scaffold_1-processed-gene-22.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.47&CDS=1-600	YOR287C
OG0000962	genemark-scaffold_1-processed-gene-22.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.60&CDS=1-1482	YKL035W
OG0000963	genemark-scaffold_1-processed-gene-22.61-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.61&CDS=1-1191	YPR108W
OG0000964	genemark-scaffold_1-processed-gene-22.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.49&CDS=1-1062	YDR498C
OG0000965	genemark-scaffold_1-processed-gene-22.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.62&CDS=1-1245	YBL091C
OG0000966	genemark-scaffold_1-processed-gene-22.50-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.50&CDS=1-486	YBL090W
OG0000967	genemark-scaffold_1-processed-gene-22.64-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.64&CDS=1-2802	YPL190C
OG0000968	maker-scaffold_1-snap-gene-22.71-mRNA-1_1&gene=maker-scaffold_1-snap-gene-22.71&CDS=1-1695	YDL076C
OG0000969	genemark-scaffold_1-processed-gene-23.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.44&CDS=1-900	YLR407W
OG0000970	genemark-scaffold_1-processed-gene-23.45-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.45&CDS=1-3150	YDL077C
OG0000971	genemark-scaffold_1-processed-gene-23.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.48&CDS=1-2820	YLR409C
OG0000972	genemark-scaffold_1-processed-gene-23.46-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.46&CDS=1-3303	YLR410W
OG0000973	genemark-scaffold_1-processed-gene-23.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.71&CDS=1-1287	YKL181W
OG0000974	genemark-scaffold_1-processed-gene-23.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.49&CDS=1-1968	YHR032W
OG0000975	genemark-scaffold_1-processed-gene-23.74-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.74&CDS=1-1083	YDR313C
OG0000976	genemark-scaffold_1-processed-gene-23.51-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.51&CDS=1-1803	YJR052W
OG0000977	genemark-scaffold_1-processed-gene-23.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.76&CDS=1-1965	YML046W
OG0000978	genemark-scaffold_1-processed-gene-23.52-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.52&CDS=1-1263	YEL037C
OG0000979	genemark-scaffold_1-processed-gene-23.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.77&CDS=1-771	YEL038W
OG0000980	genemark-scaffold_1-processed-gene-23.54-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.54&CDS=1-1572	YGL160W
OG0000981	genemark-scaffold_1-processed-gene-23.56-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.56&CDS=1-2124	YKR099W
OG0000982	snap_masked-scaffold_1-processed-gene-23.126-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.126&CDS=1-201	YIL156W-B
OG0000983	genemark-scaffold_1-processed-gene-23.57-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.57&CDS=1-1629	YKL139W
OG0000984	genemark-scaffold_1-processed-gene-23.58-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.58&CDS=1-1599	YHR064C
OG0000985	genemark-scaffold_1-processed-gene-23.59-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.59&CDS=1-1911	YOR080W
OG0000986	genemark-scaffold_1-processed-gene-23.80-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.80&CDS=1-1218	YDR088C
OG0000987	genemark-scaffold_1-processed-gene-23.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.60&CDS=1-807	YDR087C
OG0000988	genemark-scaffold_1-processed-gene-23.61-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.61&CDS=1-1461	YDR086C
OG0000989	genemark-scaffold_1-processed-gene-23.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.81&CDS=1-3537	YER162C
OG0000990	genemark-scaffold_1-processed-gene-23.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.83&CDS=1-753	YER163C
OG0000991	maker-scaffold_1-augustus-gene-23.0-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-23.0&CDS=1-858	YDR411C
OG0000992	maker-scaffold_1-snap-gene-23.90-mRNA-1_1&gene=maker-scaffold_1-snap-gene-23.90&CDS=1-2181	YML055W
OG0000993	augustus_masked-scaffold_1-processed-gene-23.40-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.40&CDS=1-3129	YDR145W
OG0000994	genemark-scaffold_1-processed-gene-23.66-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.66&CDS=1-1566	YML056C
OG0000995	genemark-scaffold_1-processed-gene-23.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.67&CDS=1-1608	YGR055W
OG0000996	genemark-scaffold_1-processed-gene-23.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.88&CDS=1-765	YLR441C
OG0000997	genemark-scaffold_1-processed-gene-23.68-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.68&CDS=1-918	YML064C
OG0000998	genemark-scaffold_1-processed-gene-23.89-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.89&CDS=1-2397	YML065W
OG0000999	genemark-scaffold_1-processed-gene-23.69-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.69&CDS=1-1362	YLR443W
OG0001000	genemark-scaffold_1-processed-gene-24.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.48&CDS=1-528	YKL186C
OG0001001	genemark-scaffold_1-processed-gene-24.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.44&CDS=1-1563	YKL185W
OG0001002	genemark-scaffold_1-processed-gene-24.45-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.45&CDS=1-1401	YKL184W
OG0001003	genemark-scaffold_1-processed-gene-24.70-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.70&CDS=1-687	YDL213C
OG0001004	genemark-scaffold_1-processed-gene-24.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.72&CDS=1-1464	YNL182C
OG0001005	maker-scaffold_1-snap-gene-24.94-mRNA-1_1&gene=maker-scaffold_1-snap-gene-24.94&CDS=1-1749	YNL181W
