	Botrytis_cinerea	Saccharomyces_cerevisiae
OG0002956	XP_024552225.1	YHR026W
OG0002957	XP_024552226.1	YAL033W
OG0002958	XP_024552227.1	YOR262W
OG0002959	XP_024552233.1	YDL135C
OG0002960	XP_024552237.1	YOL069W
OG0002961	XP_024552251.1	YNL014W
OG0002962	XP_024552257.1	YMR213W
OG0002963	XP_024552270.1	YHR020W
OG0002964	XP_024552271.1	YBL082C
OG0002965	XP_024552286.1	YJL112W
OG0002966	XP_024552287.1	YDR361C
OG0002967	XP_024552289.1	YBR097W
OG0002968	XP_024552295.1	YEL051W
OG0002969	XP_024552302.1	YMR226C
OG0002970	XP_024552309.1	YOR168W
OG0002971	XP_024552318.1	YNR054C
OG0002972	XP_024552331.1	YLR027C
OG0002973	XP_024552332.1	YOR075W
OG0002974	XP_024552339.1	YDR428C
OG0002975	XP_024552342.1	YDR323C
OG0002976	XP_024552343.1	YDR170C
OG0002977	XP_024552345.1	YMR178W
OG0002978	XP_024552372.1	YMR028W
OG0002979	XP_024552390.1	YDR405W
OG0002980	XP_024552394.1	YDR377W
OG0002981	XP_024552415.1	YDR425W
OG0002982	XP_024552416.1	YDL164C
OG0002983	XP_024552425.1	YMR259C
OG0002984	XP_024552426.1	YPR140W
OG0002985	XP_024552428.1	YMR076C
OG0002986	XP_024552430.1	YMR075W
OG0002987	XP_024552431.1	YOL137W
OG0002988	XP_024552438.1	YOR067C
OG0002989	XP_024552442.1	YPR094W
OG0002990	XP_024552449.1	YKL138C
OG0002991	XP_024552454.1	YNR006W
OG0002992	XP_024552458.1	YNL025C
OG0002993	XP_024552467.1	YJL093C
OG0002994	XP_024552477.1	YDR443C
OG0002995	XP_024552478.1	YLR017W
OG0002996	XP_024552489.1	YPL006W
OG0002997	XP_024552491.1	YML110C
OG0002998	XP_024552498.1	YKL149C
OG0002999	XP_024552499.1	YPL110C
OG0003000	XP_024552500.1	YAL048C
OG0003001	XP_024552504.1	YOL064C
OG0003002	XP_024552505.1	YHR147C
OG0003003	XP_024552509.1	YDR016C
OG0003004	XP_024552515.1	YCR028C
OG0003005	XP_024552520.1	YER140W
OG0003006	XP_024552541.1	YMR215W
OG0003007	XP_024552542.1	YBR133C
OG0003008	XP_024552559.1	YJR064W
OG0003009	XP_024552571.1	YMR224C
OG0003010	XP_024552573.1	YGL166W
OG0003011	XP_024552584.1	YER162C
OG0003012	XP_024552586.1	YNR064C
OG0003013	XP_024552593.1	YML004C
OG0003014	XP_024552599.1	YDR284C
OG0003015	XP_024552621.1	YGL065C
OG0003016	XP_024552624.1	YBR142W
OG0003017	XP_024552625.1	YBR061C
OG0003018	XP_024552628.1	YJL080C
OG0003019	XP_024552629.1	YHR016C
OG0003020	XP_024552638.1	YFR021W
OG0003021	XP_024552640.1	YNL001W
OG0003022	XP_024552643.1	YOR341W
OG0003023	XP_024552644.1	YDR473C
OG0003024	XP_024552645.1	YER171W
OG0003025	XP_024552651.1	YDL058W
OG0003026	XP_024552652.1	YOR048C
OG0003027	XP_024552655.1	YJR033C
OG0003028	XP_024552656.1	YKL189W
OG0003029	XP_024552657.1	YGL114W
OG0003030	XP_024552661.1	YIL153W
OG0003031	XP_024552669.1	YHL002W
OG0003032	XP_024552673.1	YPR185W
OG0003033	XP_024552674.1	YGL256W
OG0003034	XP_024552679.1	YCR053W
OG0003035	XP_024552688.1	YMR231W
OG0003036	XP_024552698.1	YKR056W
OG0003037	XP_024552711.1	YPL128C
OG0003038	XP_024552732.1	YBL033C
OG0003039	XP_024552741.1	YJL108C
OG0003040	XP_024552751.1	YBL023C
OG0003041	XP_024552757.1	YJL153C
OG0003042	XP_024552794.1	YGR218W
OG0003043	XP_024552795.1	YFL030W
OG0003044	XP_024552796.1	YLL028W
OG0003045	XP_024552797.1	YGR178C
OG0003046	XP_024552810.1	YDL168W
OG0003047	XP_024552815.1	YKR093W
OG0003048	XP_024552819.1	YPL069C
OG0003049	XP_024552845.1	YOR151C
OG0003050	XP_024552847.1	YDR058C
OG0003051	XP_024552856.1	YPR069C
OG0003052	XP_024552858.1	YLR351C
OG0003053	XP_024552863.1	YBR087W
OG0003054	XP_024552864.1	YOR059C
OG0003055	XP_024552865.1	YLR107W
OG0003056	XP_024552875.1	YDR005C
OG0003057	XP_024552878.1	YGR262C
OG0003058	XP_024552879.1	YPR074C
OG0003059	XP_024552880.1	YEL027W
OG0003060	XP_024552881.1	YEL026W
OG0003061	XP_024552885.1	YGL227W
OG0003062	XP_024552891.1	YIL157C
OG0003063	XP_024552892.1	YGR220C
OG0003064	XP_024552893.1	YMR132C
OG0003065	XP_024552897.1	YMR077C
OG0003066	XP_024552898.1	YLL034C
OG0003067	XP_024552908.1	YER090W
OG0003068	XP_024552909.1	YDL111C
OG0003069	XP_024552917.1	YNL075W
OG0003070	XP_024552918.1	YMR080C
OG0003071	XP_024552919.1	YKR068C
OG0003072	XP_024552937.1	YCL017C
OG0003073	XP_024552938.1	YDR388W
OG0003074	XP_024552947.1	YOR217W
OG0003075	XP_024552953.1	YLR212C
OG0003076	XP_024552960.1	YLL060C
OG0003077	XP_024552988.1	YLR099W-A
OG0003078	XP_024552990.1	YNR041C
OG0003079	XP_024552997.1	YDL235C
OG0003080	XP_024553013.1	YDR294C
OG0003081	XP_024553017.1	YJL106W
OG0003082	XP_024553023.1	YJL101C
OG0003083	XP_024553026.1	YPL206C
OG0003084	XP_024553037.1	YGR210C
OG0003085	XP_024553056.1	YOL107W
OG0003086	XP_024553066.1	YGR170W
OG0003087	XP_024553070.1	YLR038C
OG0003088	XP_024553073.1	YGL017W
OG0003089	XP_024553080.1	YMR121C
OG0003090	XP_024553081.1	YJR036C
OG0003091	XP_024553092.1	YJL060W
OG0003092	XP_024553096.1	YMR197C
OG0003093	XP_024553099.1	YPL132W
OG0003094	XP_024553105.1	YPL133C
OG0003095	XP_024553108.1	YMR286W
OG0003096	XP_024553152.1	YJR152W
OG0003097	XP_024553156.1	YGL001C
OG0003098	XP_024553159.1	YDR246W
OG0003099	XP_024553165.1	YDL156W
OG0003100	XP_024553166.1	YLR189C
OG0003101	XP_024553167.1	YMR277W
OG0003102	XP_024553175.1	YER047C
OG0003103	XP_024553177.1	YNL041C
OG0003104	XP_024553178.1	YDL149W
OG0003105	XP_024553186.1	YDL230W
OG0003106	XP_024553197.1	YMR068W
OG0003107	XP_024553199.1	YPL008W
OG0003108	XP_024553200.1	YFR052W
OG0003109	XP_024553201.1	YPL054W
OG0003110	XP_024553203.1	YGL033W
OG0003111	XP_024553215.1	YBL099W
OG0003112	XP_024553221.1	YKL148C
OG0003113	XP_024553222.1	YDR468C
OG0003114	XP_024553226.1	YBR123C
OG0003115	XP_024553230.1	YKL174C
OG0003116	XP_024553235.1	YLR418C
OG0003117	XP_024553237.1	YBR243C
OG0003118	XP_024553239.1	YML055W
OG0003119	XP_024553241.1	YKR081C
OG0003120	XP_024553245.1	YKR080W
OG0003121	XP_024553247.1	YHL021C
OG0003122	XP_024553255.1	YOR002W
OG0003123	XP_024553258.1	YGL010W
OG0003124	XP_024553259.1	YDR404C
OG0003125	XP_024553261.1	YFR016C
OG0003126	XP_024553272.1	YNL261W
OG0003127	XP_024553274.1	YMR240C
OG0003128	XP_024553275.1	YOR307C
OG0003129	XP_024553278.1	YJR121W
OG0003130	XP_024553282.1	YNL021W
OG0003131	XP_024553293.1	YFR015C
OG0003132	XP_024553296.1	YHR176W
OG0003133	XP_024553298.1	YKR099W
OG0003134	XP_024553304.1	YML035C
OG0003135	XP_024553316.1	YGL059W
OG0003136	XP_024553317.1	YHR107C
OG0003137	XP_024553318.1	YCR057C
OG0003138	XP_024553319.1	YGL067W
OG0003139	XP_024553324.1	YKL084W
OG0003140	XP_024553331.1	YCR046C
OG0003141	XP_024553341.1	YGL173C
OG0003142	XP_024553342.1	YDR027C
OG0003143	XP_024553343.1	YLR274W
OG0003144	XP_024553352.1	YHR166C
OG0003145	XP_024553365.1	YIL107C
OG0003146	XP_024553366.1	YMR234W
OG0003147	XP_024553369.1	YAL023C
OG0003148	XP_024553370.1	YLR005W
OG0003149	XP_024553371.1	YFL010C
OG0003150	XP_024553373.1	YDR376W
OG0003151	XP_024553374.1	YDR332W
OG0003152	XP_024553377.1	YLR113W
OG0003153	XP_024553378.1	YLR114C
OG0003154	XP_024553379.1	YDL132W
OG0003155	XP_024553380.1	YER020W
OG0003156	XP_024553381.1	YPR160W
OG0003157	XP_024553383.1	YDR105C
OG0003158	XP_024553384.1	YMR155W
OG0003159	XP_024553392.1	YLR127C
OG0003160	XP_024553403.1	YKR060W
OG0003161	XP_024553405.1	YLL023C
OG0003162	XP_024553423.1	YDR392W
OG0003163	XP_024553425.1	YMR247C
OG0003164	XP_024553429.1	YCR030C
OG0003165	XP_024553436.1	YGR227W
OG0003166	XP_024553453.1	YER175C
OG0003167	XP_024553459.1	YPL011C
OG0003168	XP_024553460.1	YBR268W
OG0003169	XP_024553518.1	YDR539W
OG0003170	XP_024553541.1	YGL086W
OG0003171	XP_024553548.1	YLR242C
OG0003172	XP_024553558.1	YGL137W
OG0003173	XP_024553582.1	YBL064C
OG0003174	XP_024553588.1	YER141W
OG0003175	XP_024553619.1	YDR126W
OG0003176	XP_024553634.1	YBR217W
OG0003177	XP_024553636.1	YER078C
OG0003178	XP_024553638.1	YDR052C
OG0003179	XP_024553639.1	YGL164C
OG0003180	XP_024553648.1	YGL094C
OG0003181	XP_024553657.1	YGR167W
OG0003182	XP_024553668.1	YLR429W
OG0003183	XP_024553680.1	YBL001C
OG0003184	XP_024553682.1	YOL078W
OG0003185	XP_024553684.1	YPL203W
OG0003186	XP_024553687.1	YNL317W
OG0003187	XP_024553689.1	YDR410C
OG0003188	XP_024553690.1	YJL218W
OG0003189	XP_024553691.1	YPR153W
OG0003190	XP_024553693.1	YDR280W
OG0003191	XP_024553701.1	YNR020C
OG0003192	XP_024553709.1	YPL123C
OG0003193	XP_024553716.1	YPR139C
OG0003194	XP_024553730.1	YJL008C
OG0003195	XP_024553732.1	YDL001W
OG0003196	XP_024553763.1	YDR407C
OG0003197	XP_024553765.1	YGR229C
OG0003198	XP_024553767.1	YFL039C
OG0003199	XP_024553787.1	YJR044C
OG0003200	XP_024553788.1	YLR268W
OG0003201	XP_024553795.1	YJR092W
OG0003202	XP_024553826.1	YLR389C
OG0003203	XP_024553846.1	YHR058C
OG0003204	XP_024553878.1	YGR173W
OG0003205	XP_024553889.1	YAL026C
OG0003206	XP_024553890.1	YPL215W
OG0003207	XP_024553907.1	YJR095W
OG0003208	XP_024553910.1	YGR155W
OG0003209	XP_024553925.1	YKL154W
OG0003210	XP_024553927.1	YJR017C
OG0003211	XP_024553928.1	YGL070C
OG0003212	XP_024553963.1	YNL127W
OG0003213	XP_024553973.1	YIL134W
OG0003214	XP_024553974.1	YNL070W
OG0003215	XP_024553977.1	YMR125W
OG0003216	XP_024554002.1	YOR388C
OG0003217	XP_024554006.1	YOR184W
OG0003218	XP_024554010.1	YJL062W
OG0003219	XP_024554011.1	YLR145W
OG0003220	XP_024554059.1	YMR023C
OG0003221	XP_024554060.1	YDL234C
OG0003222		YDR213W, YLR228C
