	Brettanomyces_anomalus	Saccharomyces_cerevisiae
OG0000547	augustus_masked-LCTY01000001.1-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.107&CDS=1-291	YLL018C-A
OG0000548	augustus_masked-LCTY01000001.1-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.109&CDS=1-1728	YDL113C
OG0000549	augustus_masked-LCTY01000001.1-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.127&CDS=1-759	YPR037C
OG0000550	augustus_masked-LCTY01000001.1-processed-gene-5.112-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.112&CDS=1-1248	YPR040W
OG0000551	augustus_masked-LCTY01000001.1-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.113&CDS=1-1467	YDR376W
OG0000552	augustus_masked-LCTY01000001.1-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.128&CDS=1-297	YDR377W
OG0000553	maker-LCTY01000001.1-augustus-gene-5.54-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-5.54&CDS=1-264	YNL211C
OG0000554	augustus_masked-LCTY01000001.1-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.129&CDS=1-2382	YNL212W
OG0000555	augustus_masked-LCTY01000001.1-processed-gene-5.115-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.115&CDS=1-732	YNL213C
OG0000556	augustus_masked-LCTY01000001.1-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.130&CDS=1-3546	YGL151W
OG0000557	augustus_masked-LCTY01000001.1-processed-gene-5.134-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.134&CDS=1-483	YDR512C
OG0000558	augustus_masked-LCTY01000001.1-processed-gene-5.135-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.135&CDS=1-834	YDL052C
OG0000559	maker-LCTY01000001.1-augustus-gene-5.59-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-5.59&CDS=1-363	YNL081C
OG0000560	augustus_masked-LCTY01000001.1-processed-gene-5.137-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.137&CDS=1-1146	YNL080C
OG0000561	maker-LCTY01000001.1-snap-gene-5.47-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-5.47&CDS=1-2799	YIL137C
OG0000562	augustus_masked-LCTY01000001.1-processed-gene-5.142-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.142&CDS=1-273	YDR510W
OG0000563	snap_masked-LCTY01000001.1-processed-gene-5.79-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-5.79&CDS=1-591	YOL114C
OG0000564	augustus_masked-LCTY01000001.1-processed-gene-5.145-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.145&CDS=1-1107	YMR265C
OG0000565	augustus_masked-LCTY01000001.1-processed-gene-5.146-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.146&CDS=1-741	YBR261C
OG0000566	augustus_masked-LCTY01000001.1-processed-gene-5.123-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.123&CDS=1-1500	YBR283C
OG0000567	genemark-LCTY01000001.1-processed-gene-5.44-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-5.44&CDS=1-483	YBR004C
OG0000568	augustus_masked-LCTY01000001.1-processed-gene-6.48-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.48&CDS=1-2256	YBR080C
OG0000569	augustus_masked-LCTY01000001.1-processed-gene-6.49-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.49&CDS=1-1194	YGL048C
OG0000570	augustus_masked-LCTY01000001.1-processed-gene-6.71-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.71&CDS=1-918	YJL053W
OG0000571	augustus_masked-LCTY01000001.1-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.72&CDS=1-666	YDR226W
OG0000572	augustus_masked-LCTY01000001.1-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.74&CDS=1-1566	YBL015W
OG0000573	augustus_masked-LCTY01000001.1-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.52&CDS=1-1257	YJL210W
OG0000574	augustus_masked-LCTY01000001.1-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.53&CDS=1-4389	YMR190C
OG0000575	maker-LCTY01000001.1-augustus-gene-6.4-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-6.4&CDS=1-2313	YGL234W
OG0000576	augustus_masked-LCTY01000001.1-processed-gene-6.57-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.57&CDS=1-1707	YIL001W
OG0000577	augustus_masked-LCTY01000001.1-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.58&CDS=1-315	YIL008W
OG0000578	augustus_masked-LCTY01000001.1-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.79&CDS=1-660	YIL007C
OG0000579	snap_masked-LCTY01000001.1-processed-gene-6.101-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-6.101&CDS=1-762	YEL001C
OG0000580	snap_masked-LCTY01000001.1-processed-gene-6.103-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-6.103&CDS=1-747	YKL152C
OG0000581	augustus_masked-LCTY01000001.1-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.61&CDS=1-237	YGR105W
OG0000582	augustus_masked-LCTY01000001.1-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.81&CDS=1-270	YJL166W
OG0000583	augustus_masked-LCTY01000001.1-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.62&CDS=1-1674	YNR030W
OG0000584	augustus_masked-LCTY01000001.1-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.84&CDS=1-1878	YJL041W
OG0000585	augustus_masked-LCTY01000001.1-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.85&CDS=1-2451	YFR038W
OG0000586	augustus_masked-LCTY01000001.1-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.67&CDS=1-1818	YFR037C
OG0000587	augustus_masked-LCTY01000001.1-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.68&CDS=1-1260	YLR191W
OG0000588	augustus_masked-LCTY01000001.1-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.69&CDS=1-891	YIL084C
OG0000589	augustus_masked-LCTY01000001.1-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.70&CDS=1-768	YOL032W
OG0000590	snap_masked-LCTY01000001.1-processed-gene-7.88-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-7.88&CDS=1-1650	YOL033W
OG0000591	snap_masked-LCTY01000001.1-processed-gene-7.89-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-7.89&CDS=1-1011	YAL014C
OG0000592	augustus_masked-LCTY01000001.1-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.46&CDS=1-1929	YAL048C
OG0000593	augustus_masked-LCTY01000001.1-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.47&CDS=1-930	YMR274C
OG0000594	augustus_masked-LCTY01000001.1-processed-gene-7.50-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.50&CDS=1-1062	YHR025W
OG0000595	augustus_masked-LCTY01000001.1-processed-gene-7.64-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.64&CDS=1-585	YHR026W
OG0000596	augustus_masked-LCTY01000001.1-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.65&CDS=1-3057	YHR027C
OG0000597	augustus_masked-LCTY01000001.1-processed-gene-7.66-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.66&CDS=1-1506	YPL254W
OG0000598	augustus_masked-LCTY01000001.1-processed-gene-7.51-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.51&CDS=1-1488	YHR030C
OG0000599	augustus_masked-LCTY01000001.1-processed-gene-7.67-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.67&CDS=1-2535	YHR028C
OG0000600	augustus_masked-LCTY01000001.1-processed-gene-7.52-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.52&CDS=1-1035	YMR315W
OG0000601	augustus_masked-LCTY01000001.1-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.54&CDS=1-852	YIL093C
OG0000602	augustus_masked-LCTY01000001.1-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.69&CDS=1-492	YGR076C
OG0000603	augustus_masked-LCTY01000001.1-processed-gene-7.55-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.55&CDS=1-1344	YOL140W
OG0000604	augustus_masked-LCTY01000001.1-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.70&CDS=1-3585	YNL321W
OG0000605	augustus_masked-LCTY01000001.1-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.71&CDS=1-948	YDL015C
OG0000606	snap_masked-LCTY01000001.1-processed-gene-7.98-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-7.98&CDS=1-711	YOL139C
OG0000607	genemark-LCTY01000001.1-processed-gene-7.32-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-7.32&CDS=1-1515	YLR004C
OG0000608	augustus_masked-LCTY01000001.1-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.59&CDS=1-2037	YPR175W
OG0000609	augustus_masked-LCTY01000001.1-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.74&CDS=1-975	YPR176C
OG0000610	augustus_masked-LCTY01000001.1-processed-gene-7.60-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.60&CDS=1-2568	YBR202W
OG0000611	augustus_masked-LCTY01000001.1-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.80&CDS=1-1932	YNL045W
OG0000612	augustus_masked-LCTY01000001.1-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.61&CDS=1-1650	YNL044W
OG0000613	augustus_masked-LCTY01000001.1-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.81&CDS=1-2433	YJL200C
OG0000614	augustus_masked-LCTY01000001.1-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.82&CDS=1-2331	YOR144C
OG0000615	augustus_masked-LCTY01000001.1-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.63&CDS=1-1941	YMR058W
OG0000616	augustus_masked-LCTY01000001.1-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.83&CDS=1-1629	YHR078W
OG0000617	augustus_masked-LCTY01000001.1-processed-gene-7.84-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.84&CDS=1-825	YKL154W
OG0000618	augustus_masked-LCTY01000001.1-processed-gene-8.82-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.82&CDS=1-2406	YPR181C
OG0000619	snap_masked-LCTY01000001.1-processed-gene-8.47-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-8.47&CDS=1-1473	YML007W
OG0000620	augustus_masked-LCTY01000001.1-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.100&CDS=1-2415	YEL053C
OG0000621	augustus_masked-LCTY01000001.1-processed-gene-8.101-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.101&CDS=1-615	YDR298C
OG0000622	augustus_masked-LCTY01000001.1-processed-gene-8.84-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.84&CDS=1-990	YEL050C
OG0000623	snap_masked-LCTY01000001.1-processed-gene-8.50-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-8.50&CDS=1-3051	YBR084W
OG0000624	augustus_masked-LCTY01000001.1-processed-gene-8.88-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.88&CDS=1-1122	YGL148W
OG0000625	snap_masked-LCTY01000001.1-processed-gene-8.70-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-8.70&CDS=1-2589	YGL180W
OG0000626	augustus_masked-LCTY01000001.1-processed-gene-8.105-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.105&CDS=1-1389	YGL181W
OG0000627	augustus_masked-LCTY01000001.1-processed-gene-8.90-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.90&CDS=1-999	YOL002C
OG0000628	augustus_masked-LCTY01000001.1-processed-gene-8.106-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.106&CDS=1-2223	YGL124C
OG0000629	augustus_masked-LCTY01000001.1-processed-gene-8.107-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.107&CDS=1-1221	YJL059W
OG0000630	maker-LCTY01000001.1-snap-gene-8.42-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-8.42&CDS=1-1692	YLR259C
OG0000631	maker-LCTY01000001.1-snap-gene-8.43-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-8.43&CDS=1-3681	YLR129W
OG0000632	augustus_masked-LCTY01000001.1-processed-gene-8.92-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.92&CDS=1-1890	YLR127C
OG0000633	augustus_masked-LCTY01000001.1-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.110&CDS=1-4431	YLR419W
OG0000634	augustus_masked-LCTY01000001.1-processed-gene-8.94-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.94&CDS=1-1155	YLR130C
OG0000635	maker-LCTY01000001.1-augustus-gene-8.39-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-8.39&CDS=1-1293	YDL084W
OG0000636	augustus_masked-LCTY01000001.1-processed-gene-8.95-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.95&CDS=1-1650	YML069W
OG0000637	augustus_masked-LCTY01000001.1-processed-gene-8.96-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.96&CDS=1-2982	YDR089W
OG0000638	augustus_masked-LCTY01000001.1-processed-gene-8.113-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.113&CDS=1-1257	YLR085C
OG0000639	augustus_masked-LCTY01000001.1-processed-gene-8.114-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.114&CDS=1-2241	YLR277C
OG0000640	augustus_masked-LCTY01000001.1-processed-gene-8.98-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.98&CDS=1-291	YLR438C-A
OG0000641	genemark-LCTY01000001.1-processed-gene-8.36-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-8.36&CDS=1-4809	YML059C
OG0000642	maker-LCTY01000001.1-snap-gene-9.84-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-9.84&CDS=1-6153	YKL182W
OG0000643	snap_masked-LCTY01000001.1-processed-gene-9.40-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-9.40&CDS=1-2316	YDL164C
OG0000644	snap_masked-LCTY01000001.1-processed-gene-9.42-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-9.42&CDS=1-972	YPL266W
OG0000645	maker-LCTY01000001.1-snap-gene-9.87-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-9.87&CDS=1-2766	YPL270W
OG0000646	augustus_masked-LCTY01000001.1-processed-gene-9.2-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.2&CDS=1-3096	YEL055C
OG0000647	augustus_masked-LCTY01000001.1-processed-gene-9.3-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.3&CDS=1-1599	YBR233W
OG0000648	augustus_masked-LCTY01000001.1-processed-gene-9.24-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.24&CDS=1-2355	YGL114W
OG0000649	augustus_masked-LCTY01000001.1-processed-gene-9.25-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.25&CDS=1-1014	YGL115W
OG0000650	augustus_masked-LCTY01000001.1-processed-gene-9.4-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.4&CDS=1-1863	YKL125W
OG0000651	augustus_masked-LCTY01000001.1-processed-gene-9.26-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.26&CDS=1-1194	YMR026C
OG0000652	augustus_masked-LCTY01000001.1-processed-gene-9.5-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.5&CDS=1-414	YDR308C
OG0000653	augustus_masked-LCTY01000001.1-processed-gene-9.6-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.6&CDS=1-2559	YDR524C
OG0000654	augustus_masked-LCTY01000001.1-processed-gene-9.7-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.7&CDS=1-1386	YDR523C
OG0000655	augustus_masked-LCTY01000001.1-processed-gene-9.9-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.9&CDS=1-1095	YHR118C
OG0000656	augustus_masked-LCTY01000001.1-processed-gene-9.10-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.10&CDS=1-2976	YNL123W
OG0000657	augustus_masked-LCTY01000001.1-processed-gene-9.29-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.29&CDS=1-291	YNL122C
OG0000658	augustus_masked-LCTY01000001.1-processed-gene-9.11-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.11&CDS=1-3324	YHR119W
OG0000659	augustus_masked-LCTY01000001.1-processed-gene-9.31-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.31&CDS=1-1821	YDR208W
OG0000660	augustus_masked-LCTY01000001.1-processed-gene-9.13-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.13&CDS=1-2883	YHR120W
OG0000661	augustus_masked-LCTY01000001.1-processed-gene-9.32-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.32&CDS=1-1476	YNL124W
OG0000662	augustus_masked-LCTY01000001.1-processed-gene-9.14-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.14&CDS=1-3189	YNL132W
OG0000663	augustus_masked-LCTY01000001.1-processed-gene-9.33-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.33&CDS=1-768	YNL129W
OG0000664	augustus_masked-LCTY01000001.1-processed-gene-9.15-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.15&CDS=1-654	YHR122W
OG0000665	augustus_masked-LCTY01000001.1-processed-gene-9.16-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.16&CDS=1-807	YIL088C
OG0000666	augustus_masked-LCTY01000001.1-processed-gene-9.36-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.36&CDS=1-1107	YNL025C
OG0000667	augustus_masked-LCTY01000001.1-processed-gene-9.18-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-9.18&CDS=1-864	YER009W
OG0000668	snap_masked-LCTY01000001.1-processed-gene-9.62-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-9.62&CDS=1-2025	YIR003W
OG0000669	augustus_masked-LCTY01000001.1-processed-gene-10.44-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.44&CDS=1-1353	YOL030W
OG0000670	augustus_masked-LCTY01000001.1-processed-gene-10.47-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.47&CDS=1-663	YLR109W
OG0000671	genemark-LCTY01000001.1-processed-gene-10.110-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-10.110&CDS=1-1233	YCR066W
OG0000672	snap_masked-LCTY01000001.1-processed-gene-10.7-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-10.7&CDS=1-195	YMR256C
OG0000673	maker-LCTY01000001.1-snap-gene-10.126-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-10.126&CDS=1-4212	YER014W
OG0000674	augustus_masked-LCTY01000001.1-processed-gene-10.72-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.72&CDS=1-360	YHL018W
OG0000675	augustus_masked-LCTY01000001.1-processed-gene-10.56-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.56&CDS=1-2781	YNR026C
OG0000676	maker-LCTY01000001.1-augustus-gene-10.135-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-10.135&CDS=1-333	YKL058W
OG0000677	augustus_masked-LCTY01000001.1-processed-gene-10.57-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.57&CDS=1-1284	YKL059C
OG0000678	augustus_masked-LCTY01000001.1-processed-gene-10.74-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.74&CDS=1-1365	YMR027W
OG0000679	augustus_masked-LCTY01000001.1-processed-gene-10.58-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.58&CDS=1-1176	YBR095C
OG0000680	maker-LCTY01000001.1-augustus-gene-10.136-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-10.136&CDS=1-2160	YBR094W
OG0000681	augustus_masked-LCTY01000001.1-processed-gene-10.76-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.76&CDS=1-1251	YOR303W
OG0000682	maker-LCTY01000001.1-snap-gene-10.127-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-10.127&CDS=1-1149	YOR063W
OG0000683	augustus_masked-LCTY01000001.1-processed-gene-10.60-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.60&CDS=1-1902	YOR204W
OG0000684	snap_masked-LCTY01000001.1-processed-gene-10.18-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-10.18&CDS=1-1149	YJL108C
OG0000685	snap_masked-LCTY01000001.1-processed-gene-10.36-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-10.36&CDS=1-660	YFR016C
OG0000686	augustus_masked-LCTY01000001.1-processed-gene-10.78-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.78&CDS=1-3252	YJL080C
OG0000687	augustus_masked-LCTY01000001.1-processed-gene-10.62-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.62&CDS=1-1242	YOL022C
OG0000688	augustus_masked-LCTY01000001.1-processed-gene-10.80-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.80&CDS=1-2142	YDR052C
OG0000689	augustus_masked-LCTY01000001.1-processed-gene-10.82-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.82&CDS=1-291	YDR079W
OG0000690	augustus_masked-LCTY01000001.1-processed-gene-10.64-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.64&CDS=1-984	YER156C
OG0000691	augustus_masked-LCTY01000001.1-processed-gene-10.65-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.65&CDS=1-6096	YER155C
OG0000692	augustus_masked-LCTY01000001.1-processed-gene-10.66-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.66&CDS=1-870	YNL202W
OG0000693	augustus_masked-LCTY01000001.1-processed-gene-10.67-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.67&CDS=1-1230	YPL092W
OG0000694	augustus_masked-LCTY01000001.1-processed-gene-10.83-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.83&CDS=1-1848	YLR117C
OG0000695	augustus_masked-LCTY01000001.1-processed-gene-11.0-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-11.0&CDS=1-2514	YHR154W
OG0000696	maker-LCTY01000001.1-augustus-gene-11.86-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-11.86&CDS=1-1263	YLR303W
OG0000697	snap_masked-LCTY01000001.1-processed-gene-11.71-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-11.71&CDS=1-2007	YIL108W
OG0000698	augustus_masked-LCTY01000001.1-processed-gene-11.8-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-11.8&CDS=1-1083	YLR326W
OG0000699	augustus_masked-LCTY01000001.1-processed-gene-11.29-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-11.29&CDS=1-1146	YGR111W
OG0000700	augustus_masked-LCTY01000001.1-processed-gene-11.11-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-11.11&CDS=1-414	YDR511W
OG0000701	augustus_masked-LCTY01000001.1-processed-gene-11.12-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-11.12&CDS=1-861	YMR314W
