	Saccharomyces_cerevisiae	Schizosaccharomyces_pombe
OG0002585	YOR216C	SPBC119.12_pep
OG0002586	YOR217W	SPBC23E6.07c_pep
OG0002587	YOR222W	SPAC328.09_pep
OG0002588	YOR223W	SPAC20H4.02_pep
OG0002589	YOR224C	SPBC14C8.12_pep
OG0002590	YOR232W	SPBC3B9.19_pep
OG0002591	YOR238W	SPAC57A10.07_pep
OG0002592	YOR239W	SPBC21C3.07c_pep
OG0002593	YOR241W	SPBC1709.17_pep
OG0002594	YOR243C	SPBC1A4.09_pep
OG0002595	YOR244W	SPAC637.12c_pep
OG0002596	YOR245C	SPCC1235.15_pep
OG0002597	YOR246C	SPCC736.13_pep
OG0002598	YOR250C	SPAC22H10.05c_pep
OG0002599	YOR251C	SPCC4B3.01_pep
OG0002600	YOR253W	SPCC663.13c_pep
OG0002601	YOR254C	SPBC36B7.03_pep
OG0002602	YOR257W	SPCC1682.04_pep
OG0002603	YOR258W	SPCC18.09c_pep
OG0002604	YOR259C	SPCC1682.16_pep
OG0002605	YOR260W	SPAC4D7.09_pep
OG0002606	YOR261C	SPCC1682.10_pep
OG0002607	YOR262W	SPAC144.07c_pep
OG0002608	YOR270C	SPAC16E8.07c_pep
OG0002609	YOR271C	SPAC17G6.15c_pep
OG0002610	YOR272W	SPAC890.04c_pep
OG0002611	YOR274W	SPAC343.15_pep
OG0002612	YOR275C	SPAC2G11.05c_pep
OG0002613	YOR278W	SPAC31G5.08_pep
OG0002614	YOR281C	SPBC2A9.09_pep
OG0002615	YOR283W	SPAC1687.21_pep
OG0002616	YOR287C	SPAC823.04_pep
OG0002617	YOR288C	SPAC13F5.05_pep
OG0002618	YOR289W	SPAC688.03c_pep
OG0002619	YOR291W	SPCC1672.11c_pep
OG0002620	YOR294W	SPBC29A3.16_pep
OG0002621	YOR296W	SPAC11E3.02c_pep
OG0002622	YOR298C-A	SPBC83.17_pep
OG0002623	YOR301W	SPAC23G3.05c_pep
OG0002624	YOR303W	SPBC56F2.09c_pep
OG0002625	YOR307C	SPBC83.11_pep
OG0002626	YOR310C	SPAC23G3.06_pep
OG0002627	YOR311C	SPBC3D6.05_pep
OG0002628	YOR319W	SPAC31G5.01_pep
OG0002629	YOR323C	SPAC821.11_pep
OG0002630	YOR326W	SPCC1919.10c_pep
OG0002631	YOR327C	SPAC6G9.11_pep
OG0002632	YOR330C	SPCC24B10.22_pep
OG0002633	YOR332W	SPAC11E3.07_pep
OG0002634	YOR335C	SPAC23C11.09_pep
OG0002635	YOR336W	SPBPJ4664.06_pep
OG0002636	YOR339C	SPCC1259.15c_pep
OG0002637	YOR340C	SPBC3B9.07c_pep
OG0002638	YOR341W	SPBC4C3.05c_pep
OG0002639	YOR346W	SPBC1347.01c_pep
OG0002640	YOR348C	SPAC869.10c_pep
OG0002641	YOR351C	SPAC14C4.03_pep
OG0002642	YOR353C	SPBC887.09c_pep
OG0002643	YOR356W	SPAC20G8.04c_pep
OG0002644	YOR357C	SPBC887.06c_pep
OG0002645	YOR358W	SPBC3B8.02_pep
OG0002646	YOR359W	SPBC13E7.03c_pep
OG0002647	YOR361C	SPAC25G10.08_pep
OG0002648	YOR362C	SPCC1795.04c_pep
OG0002649	YOR367W	SPAC4F8.10c_pep
OG0002650	YOR370C	SPBC15C4.03_pep
OG0002651	YOR378W	SPBC1683.03c_pep
OG0002652	YOR380W	SPBC1348.12_pep
OG0002653	YPL001W	SPAC139.06_pep
OG0002654	YPL002C	SPBC651.05c_pep
OG0002655	YPL003W	SPAC323.06c_pep
OG0002656	YPL008W	SPAC3G6.11_pep
OG0002657	YPL009C	SPCC132.01c_pep
OG0002658	YPL010W	SPCC576.07_pep
OG0002659	YPL011C	SPAC823.06_pep
OG0002660	YPL012W	SPAPB8E5.07c_pep
OG0002661	YPL013C	SPBC354.06_pep
OG0002662	YPL015C	SPCC132.02_pep
OG0002663	YPL016W	SPBC30B4.04c_pep
OG0002664	YPL020C	SPBC19G7.09_pep
OG0002665	YPL022W	SPCC970.01_pep
OG0002666	YPL023C	SPAC343.10_pep
OG0002667	YPL028W	SPBC215.09c_pep
OG0002668	YPL029W	SPAC637.11_pep
OG0002669	YPL030W	SPCC663.10_pep
OG0002670	YPL031C	SPCC16C4.11_pep
OG0002671	YPL040C	SPCC18B5.08c_pep
OG0002672	YPL041C	SPAC1002.01_pep
OG0002673	YPL042C	SPAC23H4.17c_pep
OG0002674	YPL043W	SPBC4F6.14_pep
OG0002675	YPL045W	SPAC824.05_pep
OG0002676	YPL046C	SPBC1861.07_pep
OG0002677	YPL050C	SPAC4F10.10c_pep
OG0002678	YPL054W	SPCC1739.01_pep
OG0002679	YPL059W	SPAPB2B4.02_pep
OG0002680	YPL060W	SPBC25H2.08c_pep
OG0002681	YPL063W	SPBC17A3.01c_pep
OG0002682	YPL065W	SPAC1B3.07c_pep
OG0002683	YPL072W	SPBC19C2.04c_pep
OG0002684	YPL074W	SPAC328.04_pep
OG0002685	YPL076W	SPCC550.04c_pep
OG0002686	YPL078C	SPBC1604.07_pep
OG0002687	YPL082C	SPBC1826.01c_pep
OG0002688	YPL083C	SPCC613.09_pep
OG0002689	YPL084W	SPAC17G6.05c_pep
OG0002690	YPL085W	SPAC29B12.07_pep
OG0002691	YPL086C	SPAC29A4.20_pep
OG0002692	YPL091W	SPBC17A3.07_pep
OG0002693	YPL093W	SPBC651.01c_pep
OG0002694	YPL094C	SPAC17G6.09_pep
OG0002695	YPL096W	SPBC1709.14_pep
OG0002696	YPL097W	SPCC576.06c_pep
OG0002697	YPL098C	SPBC27.06c_pep
OG0002698	YPL101W	SPCC11E10.06c_pep
OG0002699	YPL104W	SPCC736.06_pep
OG0002700	YPL107W	SPCP31B10.02_pep
OG0002701	YPL109C	SPBC21C3.03_pep
OG0002702	YPL110C	SPAPB1E7.05_pep
OG0002703	YPL115C	SPAC26A3.09c_pep
OG0002704	YPL117C	SPBC106.15_pep
OG0002705	YPL120W	SPAC20G8.10c_pep
OG0002706	YPL122C	SPBC13G1.13_pep
OG0002707	YPL125W	SPCC1322.06_pep
OG0002708	YPL126W	SPAC1B3.13_pep
OG0002709	YPL128C	SPBC19G7.13_pep
OG0002710	YPL129W	SPAC22H12.02_pep
OG0002711	YPL138C	SPCC594.05c_pep
OG0002712	YPL146C	SPAC22F8.09_pep
OG0002713	YPL149W	SPBC4B4.10c_pep
OG0002714	YPL150W	SPAC890.03_pep
OG0002715	YPL151C	SPBP22H7.07_pep
OG0002716	YPL152W	SPAC1782.05_pep
OG0002717	YPL153C	SPCC18B5.11c_pep
OG0002718	YPL155C	SPBC1604.20c_pep
OG0002719	YPL157W	SPAC2G11.15c_pep
OG0002720	YPL160W	SPAC26F1.13c_pep
OG0002721	YPL165C	SPBP8B7.07c_pep
OG0002722	YPL167C	SPAC688.10_pep
OG0002723	YPL169C	SPBC1921.03c_pep
OG0002724	YPL170W	SPAC25B8.01_pep
OG0002725	YPL172C	SPBC365.02c_pep
OG0002726	YPL175W	SPBC3D6.07_pep
OG0002727	YPL178W	SPBC13A2.01c_pep
OG0002728	YPL181W	SPBC1685.08_pep
OG0002729	YPL183C	SPBC1306.02_pep
OG0002730	YPL183W-A	SPBC83.06c_pep
OG0002731	YPL184C	SPAC2F7.11_pep
OG0002732	YPL188W	SPAC323.01c_pep
OG0002733	YPL190C	SPAC3H8.09c_pep
OG0002734	YPL195W	SPAC144.06_pep
OG0002735	YPL199C	SPAC11H11.03c_pep
OG0002736	YPL203W	SPBC106.10_pep
OG0002737	YPL204W	SPBC3H7.15_pep
OG0002738	YPL206C	SPAC4D7.02c_pep
OG0002739	YPL207W	SPCC1020.08_pep
OG0002740	YPL209C	SPCC320.13c_pep
OG0002741	YPL210C	SPCC320.10_pep
OG0002742	YPL211W	SPCC320.11c_pep
OG0002743	YPL212C	SPCC126.03_pep
OG0002744	YPL213W	SPBC1861.08c_pep
OG0002745	YPL214C	SPAC23H4.10c_pep
OG0002746	YPL215W	SPCC4B3.17_pep
OG0002747	YPL217C	SPBC31E1.06_pep
OG0002748	YPL218W	SPBC31F10.06c_pep
OG0002749	YPL222W	SPAC20G4.05c_pep
OG0002750	YPL225W	SPBC3E7.07c_pep
OG0002751	YPL226W	SPAC3C7.08c_pep
OG0002752	YPL227C	SPBC56F2.10c_pep
OG0002753	YPL228W	SPAC644.04_pep
OG0002754	YPL231W	SPAC4A8.11c_pep
OG0002755	YPL234C	SPAC732.01_pep
OG0002756	YPL235W	SPBC83.08_pep
OG0002757	YPL236C	SPAC3H1.13_pep
OG0002758	YPL237W	SPAC32A11.04c_pep
OG0002759	YPL244C	SPBC839.11c_pep
OG0002760	YPL246C	SPCC790.03_pep
OG0002761	YPL247C	SPBC17D11.08_pep
OG0002762	YPL254W	SPBC887.18c_pep
OG0002763	YPL259C	SPBP16F5.07_pep
OG0002764	YPL260W	SPAC30C2.08_pep
OG0002765	YPL262W	SPCC18.18c_pep
OG0002766	YPL265W	SPCC777.04_pep
OG0002767	YPL266W	SPBC336.02_pep
OG0002768	YPL268W	SPAC22F8.11_pep
OG0002769	YPR003C	SPCC320.05_pep
OG0002770	YPR004C	SPAC27D7.06_pep
OG0002771	YPR010C	SPBP23A10.07_pep
OG0002772	YPR011C	SPAPB17E12.12c_pep
OG0002773	YPR016C	SPCC1919.09_pep
OG0002774	YPR018W	SPBC29A10.03c_pep
OG0002775	YPR019W	SPCC16A11.17_pep
OG0002776	YPR023C	SPAC23H4.12_pep
OG0002777	YPR024W	SPCC965.04c_pep
OG0002778	YPR025C	SPBP16F5.02_pep
OG0002779	YPR028W	SPCC830.08c_pep
OG0002780	YPR029C	SPCP1E11.06_pep
OG0002781	YPR031W	SPBC17D11.04c_pep
OG0002782	YPR033C	SPBC2G2.12_pep
OG0002783	YPR035W	SPAC23H4.06_pep
OG0002784	YPR036W	SPAC7D4.10_pep
OG0002785	YPR037C	SPBC146.04_pep
OG0002786	YPR040W	SPCC4B3.16_pep
OG0002787	YPR041W	SPAC2F7.05c_pep
OG0002788	YPR045C	SPBC2A9.11c_pep
OG0002789	YPR047W	SPCC736.03c_pep
OG0002790	YPR048W	SPAC1296.06_pep
OG0002791	YPR049C	SPAC7D4.04_pep
OG0002792	YPR051W	SPBC15D4.06_pep
OG0002793	YPR056W	SPBC30B4.07c_pep
OG0002794	YPR060C	SPAC16E8.04c_pep
OG0002795	YPR062W	SPCC965.14c_pep
OG0002796	YPR066W	SPAC24H6.12c_pep
OG0002797	YPR067W	SPBC3B9.17_pep
OG0002798	YPR069C	SPBC12C2.07c_pep
OG0002799	YPR073C	SPAC1071.12c_pep
OG0002800	YPR074C	SPBC2G5.05_pep
OG0002801	YPR079W	SPBC530.09c_pep
OG0002802	YPR082C	SPCC16A11.05c_pep
OG0002803	YPR086W	SPAC16E8.16_pep
OG0002804	YPR088C	SPCC188.06c_pep
OG0002805	YPR089W	SPAC25B8.08_pep
OG0002806	YPR091C	SPBC23G7.06c_pep
OG0002807	YPR094W	SPAC23H3.02c_pep
OG0002808	YPR097W	SPCC1450.12_pep
OG0002809	YPR100W	SPBC19C2.12_pep
OG0002810	YPR103W	SPAC4A8.13c_pep
OG0002811	YPR105C	SPCC338.13_pep
OG0002812	YPR107C	SPAC227.08c_pep
OG0002813	YPR108W	SPBC582.07c_pep
OG0002814	YPR110C	SPBC1289.07c_pep
OG0002815	YPR112C	SPBP22H7.02c_pep
OG0002816	YPR113W	SPAC1D4.08_pep
OG0002817	YPR118W	SPBC23E6.10c_pep
OG0002818	YPR125W	SPAC23C11.17_pep
OG0002819	YPR129W	SPBC800.09_pep
OG0002820	YPR131C	SPCC16C4.12_pep
OG0002821	YPR133C	SPBC19G7.16_pep
OG0002822	YPR135W	SPAPB1E7.02c_pep
OG0002823	YPR137W	SPAC2E1P5.05_pep
OG0002824	YPR141C	SPAC664.10_pep
OG0002825	YPR143W	SPAC227.02c_pep
OG0002826	YPR144C	SPBC1604.06c_pep
OG0002827	YPR155C	SPBC4B4.02c_pep
OG0002828	YPR162C	SPBP23A10.13_pep
OG0002829	YPR166C	SPAC23H3.07c_pep
OG0002830	YPR167C	SPAC13G7.06_pep
OG0002831	YPR168W	SPBC31F10.09c_pep
OG0002832	YPR169W	SPAC1A6.02_pep
OG0002833	YPR173C	SPAC2G11.06_pep
OG0002834	YPR175W	SPBP8B7.14c_pep
OG0002835	YPR178W	SPAC227.12_pep
OG0002836	YPR180W	SPAC4C5.04_pep
OG0002837	YPR181C	SPCC31H12.07_pep
OG0002838	YPR183W	SPAC31G5.16c_pep
OG0002839	YPR185W	SPAC4F10.07c_pep
OG0002840	YPR186C	SPAC144.09c_pep
OG0002841	YPR187W	SPCC1020.04c_pep
OG0002842	YPR189W	SPCC1919.05_pep
OG0002843	YPR190C	SPAPB1E7.03_pep
OG0002844	YPR191W	SPCC613.10_pep
OG0002845	Q0045	SPMIT.01_pep
OG0002846	Q0075	SPMIT.03_pep
OG0002847	Q0080	SPMIT.09_pep
OG0002848	Q0085	SPMIT.07_pep
OG0002849	Q0105	SPMIT.05_pep
OG0002850	Q0130	SPMIT.10_pep
OG0002851	Q0250	SPMIT.11_pep
OG0002852	Q0255	SPMIT.02_pep
OG0002853	Q0275	SPMIT.04_pep
OG0002854		SPAC3H8.08c_pep, SPBC16G5.17_pep
