	Debaryomyces_hansenii	Saccharomyces_cerevisiae
OG0000539	augustus_masked-Deha2A-processed-gene-5.96-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.96&CDS=1-2523	YPL190C
OG0000540	augustus_masked-Deha2A-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.75&CDS=1-1059	YMR315W
OG0000541	augustus_masked-Deha2A-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.97&CDS=1-1032	YDR498C
OG0000542	augustus_masked-Deha2A-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.76&CDS=1-1569	YMR285C
OG0000543	genemark-Deha2A-processed-gene-5.163-mRNA-1_1&gene=genemark-Deha2A-processed-gene-5.163&CDS=1-801	YIL106W
OG0000544	snap_masked-Deha2A-processed-gene-5.21-mRNA-1_1&gene=snap_masked-Deha2A-processed-gene-5.21&CDS=1-639	YLL033W
OG0000545	augustus_masked-Deha2A-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.100&CDS=1-825	YLL027W
OG0000546	augustus_masked-Deha2A-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.101&CDS=1-2094	YLL029W
OG0000547	augustus_masked-Deha2A-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.79&CDS=1-3018	YGL016W
OG0000548	augustus_masked-Deha2A-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.102&CDS=1-1860	YAR007C
OG0000549	augustus_masked-Deha2A-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.103&CDS=1-1212	YGL184C
OG0000550	augustus_masked-Deha2A-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.80&CDS=1-1776	YGL003C
OG0000551	augustus_masked-Deha2A-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.106&CDS=1-648	YGL020C
OG0000552	augustus_masked-Deha2A-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.82&CDS=1-849	YGL019W
OG0000553	augustus_masked-Deha2A-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.107&CDS=1-693	YGL018C
OG0000554	augustus_masked-Deha2A-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.83&CDS=1-696	YLR323C
OG0000555	augustus_masked-Deha2A-processed-gene-5.84-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.84&CDS=1-726	YLR326W
OG0000556	maker-Deha2A-augustus-gene-5.113-mRNA-1_1&gene=maker-Deha2A-augustus-gene-5.113&CDS=1-1152	YGR007W
OG0000557	augustus_masked-Deha2A-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.108&CDS=1-1689	YGL017W
OG0000558	augustus_masked-Deha2A-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.86&CDS=1-1209	YGR005C
OG0000559	augustus_masked-Deha2A-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.109&CDS=1-234	YLR325C
OG0000560	augustus_masked-Deha2A-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.110&CDS=1-897	YGR006W
OG0000561	augustus_masked-Deha2A-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.87&CDS=1-1611	YLR324W
OG0000562	augustus_masked-Deha2A-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.89&CDS=1-2037	YKL027W
OG0000563	augustus_masked-Deha2A-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.53&CDS=1-1194	YHR002W
OG0000564	augustus_masked-Deha2A-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.52&CDS=1-1857	YJR053W
OG0000565	augustus_masked-Deha2A-processed-gene-6.55-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.55&CDS=1-1122	YML048W
OG0000566	augustus_masked-Deha2A-processed-gene-6.56-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.56&CDS=1-2301	YER091C
OG0000567	maker-Deha2A-augustus-gene-6.0-mRNA-1_1&gene=maker-Deha2A-augustus-gene-6.0&CDS=1-1107	YBL058W
OG0000568	augustus_masked-Deha2A-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.58&CDS=1-4731	YER090W
OG0000569	augustus_masked-Deha2A-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.79&CDS=1-606	YBL057C
OG0000570	augustus_masked-Deha2A-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.60&CDS=1-1230	YBL055C
OG0000571	augustus_masked-Deha2A-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.81&CDS=1-2394	YBL052C
OG0000572	augustus_masked-Deha2A-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.83&CDS=1-2049	YBL051C
OG0000573	genemark-Deha2A-processed-gene-6.133-mRNA-1_1&gene=genemark-Deha2A-processed-gene-6.133&CDS=1-1728	YER087W
OG0000574	augustus_masked-Deha2A-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.64&CDS=1-1800	YNL227C
OG0000575	augustus_masked-Deha2A-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.85&CDS=1-2424	YNL224C
OG0000576	augustus_masked-Deha2A-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.65&CDS=1-1476	YNL223W
OG0000577	maker-Deha2A-augustus-gene-6.3-mRNA-1_1&gene=maker-Deha2A-augustus-gene-6.3&CDS=1-2967	YNL221C
OG0000578	augustus_masked-Deha2A-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.86&CDS=1-2628	YER151C
OG0000579	augustus_masked-Deha2A-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.68&CDS=1-1446	YNL206C
OG0000580	augustus_masked-Deha2A-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.69&CDS=1-1320	YER152C
OG0000581	augustus_masked-Deha2A-processed-gene-6.89-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.89&CDS=1-1032	YGL212W
OG0000582	augustus_masked-Deha2A-processed-gene-6.71-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.71&CDS=1-1707	YNL115C
OG0000583	genemark-Deha2A-processed-gene-6.125-mRNA-1_1&gene=genemark-Deha2A-processed-gene-6.125&CDS=1-1323	YKL062W
OG0000584	augustus_masked-Deha2A-processed-gene-7.1-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.1&CDS=1-498	YER093C-A
OG0000585	augustus_masked-Deha2A-processed-gene-7.4-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.4&CDS=1-1413	YMR033W
OG0000586	augustus_masked-Deha2A-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.6&CDS=1-2247	YDL164C
OG0000587	augustus_masked-Deha2A-processed-gene-7.19-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.19&CDS=1-2409	YBL011W
OG0000588	augustus_masked-Deha2A-processed-gene-7.7-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.7&CDS=1-2697	YKR009C
OG0000589	augustus_masked-Deha2A-processed-gene-7.8-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.8&CDS=1-741	YGL011C
OG0000590	maker-Deha2A-snap-gene-7.122-mRNA-1_1&gene=maker-Deha2A-snap-gene-7.122&CDS=1-1434	YGL012W
OG0000591	augustus_masked-Deha2A-processed-gene-7.23-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.23&CDS=1-2688	YGL008C
OG0000592	augustus_masked-Deha2A-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.25&CDS=1-4248	YAL002W
OG0000593	augustus_masked-Deha2A-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.9&CDS=1-1365	YAR003W
OG0000594	augustus_masked-Deha2A-processed-gene-7.27-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.27&CDS=1-3768	YML049C
OG0000595	augustus_masked-Deha2A-processed-gene-7.30-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.30&CDS=1-384	YJR034W
OG0000596	augustus_masked-Deha2A-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.11&CDS=1-4332	YJR033C
OG0000597	augustus_masked-Deha2A-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.12&CDS=1-3414	YGL006W
OG0000598	augustus_masked-Deha2A-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.32&CDS=1-747	YGL005C
OG0000599	snap_masked-Deha2A-processed-gene-7.52-mRNA-1_1&gene=snap_masked-Deha2A-processed-gene-7.52&CDS=1-1245	YGL004C
OG0000600	augustus_masked-Deha2A-processed-gene-7.14-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.14&CDS=1-585	YIL127C
OG0000601	augustus_masked-Deha2A-processed-gene-7.34-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.34&CDS=1-3312	YIL128W
OG0000602	augustus_masked-Deha2A-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.15&CDS=1-8406	YIL129C
OG0000603	augustus_masked-Deha2A-processed-gene-7.16-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.16&CDS=1-1020	YOR091W
OG0000604	genemark-Deha2A-processed-gene-7.117-mRNA-1_1&gene=genemark-Deha2A-processed-gene-7.117&CDS=1-2004	YNL094W
OG0000605	augustus_masked-Deha2A-processed-gene-7.17-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.17&CDS=1-1842	YHR114W
OG0000606	augustus_masked-Deha2A-processed-gene-7.18-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.18&CDS=1-717	YOR095C
OG0000607	augustus_masked-Deha2A-processed-gene-7.38-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-7.38&CDS=1-2289	YGL120C
OG0000608	augustus_masked-Deha2A-processed-gene-8.0-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.0&CDS=1-1665	YGL119W
OG0000609	augustus_masked-Deha2A-processed-gene-8.2-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.2&CDS=1-1443	YGL122C
OG0000610	augustus_masked-Deha2A-processed-gene-8.4-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.4&CDS=1-756	YGL123W
OG0000611	augustus_masked-Deha2A-processed-gene-8.6-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.6&CDS=1-3582	YNL233W
OG0000612	augustus_masked-Deha2A-processed-gene-8.7-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.7&CDS=1-894	YNL232W
OG0000613	augustus_masked-Deha2A-processed-gene-8.27-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.27&CDS=1-1044	YNL231C
OG0000614	augustus_masked-Deha2A-processed-gene-8.28-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.28&CDS=1-945	YHR062C
OG0000615	augustus_masked-Deha2A-processed-gene-8.9-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.9&CDS=1-846	YNL155W
OG0000616	augustus_masked-Deha2A-processed-gene-8.10-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.10&CDS=1-1395	YHR135C
OG0000617	augustus_masked-Deha2A-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.12&CDS=1-726	YER100W
OG0000618	augustus_masked-Deha2A-processed-gene-8.13-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.13&CDS=1-1875	YBL061C
OG0000619	augustus_masked-Deha2A-processed-gene-8.30-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.30&CDS=1-2778	YGL216W
OG0000620	augustus_masked-Deha2A-processed-gene-8.15-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.15&CDS=1-1347	YIL088C
OG0000621	augustus_masked-Deha2A-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.32&CDS=1-1212	YNL025C
OG0000622	augustus_masked-Deha2A-processed-gene-8.16-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.16&CDS=1-1038	YIL083C
OG0000623	augustus_masked-Deha2A-processed-gene-8.33-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.33&CDS=1-1455	YNL026W
OG0000624	genemark-Deha2A-processed-gene-8.143-mRNA-1_1&gene=genemark-Deha2A-processed-gene-8.143&CDS=1-1242	YML005W
OG0000625	augustus_masked-Deha2A-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.17&CDS=1-1389	YNL016W
OG0000626	augustus_masked-Deha2A-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.18&CDS=1-2220	YDL122W
OG0000627	augustus_masked-Deha2A-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.19&CDS=1-966	YIL096C
OG0000628	augustus_masked-Deha2A-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.36&CDS=1-1533	YIL097W
OG0000629	augustus_masked-Deha2A-processed-gene-8.38-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.38&CDS=1-546	YCR027C
OG0000630	augustus_masked-Deha2A-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.39&CDS=1-1545	YBR287W
OG0000631	augustus_masked-Deha2A-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.40&CDS=1-792	YJL115W
OG0000632	augustus_masked-Deha2A-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.41&CDS=1-3528	YER093C
OG0000633	augustus_masked-Deha2A-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.42&CDS=1-852	YNL075W
OG0000634	augustus_masked-Deha2A-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.43&CDS=1-3150	YKR050W
OG0000635	augustus_masked-Deha2A-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-8.25&CDS=1-6633	YJL130C
OG0000636	augustus_masked-Deha2A-processed-gene-9.125-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.125&CDS=1-2379	YJL127C
OG0000637	maker-Deha2A-augustus-gene-9.61-mRNA-1_1&gene=maker-Deha2A-augustus-gene-9.61&CDS=1-1017	YIL084C
OG0000638	augustus_masked-Deha2A-processed-gene-9.123-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.123&CDS=1-432	YIL087C
OG0000639	augustus_masked-Deha2A-processed-gene-9.128-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.128&CDS=1-810	YNL032W
OG0000640	augustus_masked-Deha2A-processed-gene-9.124-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.124&CDS=1-213	YNL024C-A
OG0000641	augustus_masked-Deha2A-processed-gene-9.153-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.153&CDS=1-2157	YIL091C
OG0000642	augustus_masked-Deha2A-processed-gene-9.129-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.129&CDS=1-1017	YIL090W
OG0000643	augustus_masked-Deha2A-processed-gene-9.156-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.156&CDS=1-1329	YFL026W
OG0000644	augustus_masked-Deha2A-processed-gene-9.130-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.130&CDS=1-1089	YER027C
OG0000645	augustus_masked-Deha2A-processed-gene-9.158-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.158&CDS=1-1578	YIL142W
OG0000646	maker-Deha2A-snap-gene-9.1-mRNA-1_1&gene=maker-Deha2A-snap-gene-9.1&CDS=1-3195	YNL083W
OG0000647	maker-Deha2A-snap-gene-9.2-mRNA-1_1&gene=maker-Deha2A-snap-gene-9.2&CDS=1-2760	YNL082W
OG0000648	genemark-Deha2A-processed-gene-9.25-mRNA-1_1&gene=genemark-Deha2A-processed-gene-9.25&CDS=1-1236	YNL092W
OG0000649	augustus_masked-Deha2A-processed-gene-9.136-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.136&CDS=1-663	YOR089C
OG0000650	augustus_masked-Deha2A-processed-gene-9.138-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.138&CDS=1-933	YDL230W
OG0000651	augustus_masked-Deha2A-processed-gene-9.139-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.139&CDS=1-1161	YNL210W
OG0000652	augustus_masked-Deha2A-processed-gene-9.160-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.160&CDS=1-1281	YNL207W
OG0000653	augustus_masked-Deha2A-processed-gene-9.161-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.161&CDS=1-2793	YNL118C
OG0000654	augustus_masked-Deha2A-processed-gene-9.142-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.142&CDS=1-858	YLR393W
OG0000655	genemark-Deha2A-processed-gene-9.34-mRNA-1_1&gene=genemark-Deha2A-processed-gene-9.34&CDS=1-354	YHL015W
OG0000656	augustus_masked-Deha2A-processed-gene-9.144-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.144&CDS=1-1773	YOR090C
OG0000657	augustus_masked-Deha2A-processed-gene-9.145-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.145&CDS=1-3729	YLR398C
OG0000658	augustus_masked-Deha2A-processed-gene-9.146-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.146&CDS=1-2376	YLR397C
OG0000659	augustus_masked-Deha2A-processed-gene-9.163-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.163&CDS=1-975	YDL065C
OG0000660	augustus_masked-Deha2A-processed-gene-9.147-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.147&CDS=1-474	YDL064W
OG0000661	augustus_masked-Deha2A-processed-gene-9.164-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.164&CDS=1-1383	YJL155C
OG0000662	augustus_masked-Deha2A-processed-gene-9.148-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.148&CDS=1-2472	YJL156C
OG0000663	augustus_masked-Deha2A-processed-gene-9.166-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.166&CDS=1-1956	YDL063C
OG0000664	maker-Deha2A-augustus-gene-9.65-mRNA-1_1&gene=maker-Deha2A-augustus-gene-9.65&CDS=1-285	YLR390W
OG0000665	augustus_masked-Deha2A-processed-gene-9.149-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.149&CDS=1-2337	YDL060W
OG0000666	augustus_masked-Deha2A-processed-gene-9.150-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.150&CDS=1-1311	YLR387C
OG0000667	maker-Deha2A-augustus-gene-9.64-mRNA-1_1&gene=maker-Deha2A-augustus-gene-9.64&CDS=1-4851	YLR386W
OG0000668	augustus_masked-Deha2A-processed-gene-10.63-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.63&CDS=1-1089	YNL080C
OG0000669	maker-Deha2A-augustus-gene-10.169-mRNA-1_1&gene=maker-Deha2A-augustus-gene-10.169&CDS=1-363	YNL081C
OG0000670	augustus_masked-Deha2A-processed-gene-10.65-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.65&CDS=1-1182	YNL084C
OG0000671	augustus_masked-Deha2A-processed-gene-10.93-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.93&CDS=1-1155	YJR032W
OG0000672	augustus_masked-Deha2A-processed-gene-10.71-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.71&CDS=1-801	YEL021W
OG0000673	augustus_masked-Deha2A-processed-gene-10.95-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.95&CDS=1-933	YJL053W
OG0000674	augustus_masked-Deha2A-processed-gene-10.73-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.73&CDS=1-3399	YLR309C
OG0000675	maker-Deha2A-augustus-gene-10.171-mRNA-1_1&gene=maker-Deha2A-augustus-gene-10.171&CDS=1-2514	YLL018C
OG0000676	augustus_masked-Deha2A-processed-gene-10.75-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.75&CDS=1-1038	YGR163W
OG0000677	augustus_masked-Deha2A-processed-gene-10.76-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.76&CDS=1-912	YGR060W
OG0000678	augustus_masked-Deha2A-processed-gene-10.98-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.98&CDS=1-384	YIL027C
OG0000679	augustus_masked-Deha2A-processed-gene-10.77-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.77&CDS=1-1632	YIL099W
OG0000680	augustus_masked-Deha2A-processed-gene-10.99-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.99&CDS=1-2313	YFR038W
OG0000681	augustus_masked-Deha2A-processed-gene-10.81-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.81&CDS=1-807	YNL036W
OG0000682	genemark-Deha2A-processed-gene-10.50-mRNA-1_1&gene=genemark-Deha2A-processed-gene-10.50&CDS=1-852	YAL014C
OG0000683	augustus_masked-Deha2A-processed-gene-10.82-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.82&CDS=1-693	YJL055W
OG0000684	augustus_masked-Deha2A-processed-gene-10.103-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.103&CDS=1-420	YJR044C
OG0000685	augustus_masked-Deha2A-processed-gene-10.104-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.104&CDS=1-1107	YJL066C
OG0000686	augustus_masked-Deha2A-processed-gene-10.83-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.83&CDS=1-1584	YOL033W
OG0000687	augustus_masked-Deha2A-processed-gene-10.106-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.106&CDS=1-3261	YOL034W
OG0000688	maker-Deha2A-augustus-gene-10.172-mRNA-1_1&gene=maker-Deha2A-augustus-gene-10.172&CDS=1-429	YGL106W
OG0000689	augustus_masked-Deha2A-processed-gene-10.107-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.107&CDS=1-2268	YNL001W
OG0000690	maker-Deha2A-augustus-gene-10.173-mRNA-1_1&gene=maker-Deha2A-augustus-gene-10.173&CDS=1-1713	YBR239C
OG0000691	augustus_masked-Deha2A-processed-gene-10.87-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.87&CDS=1-1491	YBR241C
OG0000692	augustus_masked-Deha2A-processed-gene-10.88-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.88&CDS=1-447	YGL103W
OG0000693	augustus_masked-Deha2A-processed-gene-10.90-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.90&CDS=1-1029	YBL033C
OG0000694	augustus_masked-Deha2A-processed-gene-10.91-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.91&CDS=1-2703	YIL130W
OG0000695	augustus_masked-Deha2A-processed-gene-10.92-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.92&CDS=1-849	YGR158C
OG0000696	augustus_masked-Deha2A-processed-gene-10.109-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.109&CDS=1-2625	YGR157W
OG0000697	maker-Deha2A-augustus-gene-10.176-mRNA-1_1&gene=maker-Deha2A-augustus-gene-10.176&CDS=1-1608	YNL112W
OG0000698	augustus_masked-Deha2A-processed-gene-10.111-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-10.111&CDS=1-387	YNL113W
OG0000699	augustus_masked-Deha2A-processed-gene-11.78-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.78&CDS=1-2781	YOR113W
OG0000700	augustus_masked-Deha2A-processed-gene-11.79-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.79&CDS=1-2280	YOR112W
OG0000701	augustus_masked-Deha2A-processed-gene-11.107-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.107&CDS=1-2346	YGL045W
OG0000702	augustus_masked-Deha2A-processed-gene-11.108-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.108&CDS=1-1341	YGR159C
OG0000703	augustus_masked-Deha2A-processed-gene-11.82-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.82&CDS=1-1794	YNL104C
OG0000704	augustus_masked-Deha2A-processed-gene-11.84-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.84&CDS=1-600	YIL133C
OG0000705	augustus_masked-Deha2A-processed-gene-11.85-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.85&CDS=1-2355	YJL029C
OG0000706	augustus_masked-Deha2A-processed-gene-11.86-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.86&CDS=1-774	YDR007W
OG0000707	augustus_masked-Deha2A-processed-gene-11.109-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.109&CDS=1-1662	YJL008C
OG0000708	augustus_masked-Deha2A-processed-gene-11.87-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.87&CDS=1-735	YER046W
OG0000709	augustus_masked-Deha2A-processed-gene-11.111-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.111&CDS=1-1866	YNR043W
OG0000710	augustus_masked-Deha2A-processed-gene-11.112-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.112&CDS=1-1821	YCR084C
OG0000711	maker-Deha2A-snap-gene-11.153-mRNA-1_1&gene=maker-Deha2A-snap-gene-11.153&CDS=1-852	YJL003W
OG0000712	augustus_masked-Deha2A-processed-gene-11.113-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.113&CDS=1-885	YCR086W
