	Candida_intermedia	Saccharomyces_cerevisiae
OG0000508	-processed-gene-1.15-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.15&CDS=1-1245	YAL042W
OG0000509	-processed-gene-1.33-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.33&CDS=1-789	YNL252C
OG0000510	-processed-gene-1.16-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.16&CDS=1-2067	YNL251C
OG0000511	-processed-gene-1.90-mRNA-1_1&gene=snap_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.90&CDS=1-1881	YPR024W
OG0000512	-processed-gene-1.35-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.35&CDS=1-2139	YBL097W
OG0000513	-processed-gene-1.36-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.36&CDS=1-939	YIL019W
OG0000514	-processed-gene-1.17-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.17&CDS=1-810	YIL020C
OG0000515	-processed-gene-1.37-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.37&CDS=1-924	YIL021W
OG0000516	-processed-gene-1.38-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.38&CDS=1-2790	YGR100W
OG0000517	-processed-gene-2.93-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.93&CDS=1-1236	YDR394W
OG0000518	-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.49&CDS=1-1650	YOR149C
OG0000519	-processed-gene-2.97-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.97&CDS=1-666	YIL118W
OG0000520	-processed-gene-2.113-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.113&CDS=1-465	YDR512C
OG0000521	-processed-gene-2.24-mRNA-1_1&gene=snap_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.24&CDS=1-3282	YBR295W
OG0000522	-processed-gene-2.115-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.115&CDS=1-1965	YIR027C
OG0000523	-processed-gene-2.116-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.116&CDS=1-1158	YBR026C
OG0000524	-processed-gene-2.119-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.119&CDS=1-1374	YER122C
OG0000525	-augustus-gene-2.92-mRNA-1_1&gene=maker-gi|1002316275|dbj|BCGD01000008.1|-augustus-gene-2.92&CDS=1-2622	YIL022W
OG0000526	-processed-gene-2.33-mRNA-1_1&gene=snap_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.33&CDS=1-3024	YIL031W
OG0000527	-processed-gene-2.98-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.98&CDS=1-666	YBL095W
OG0000528	-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.53&CDS=1-1095	YOR074C
OG0000529	-processed-gene-2.34-mRNA-1_1&gene=snap_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.34&CDS=1-996	YOR073W
OG0000530	-processed-gene-2.101-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.101&CDS=1-300	YKR083C
OG0000531	-processed-gene-2.36-mRNA-1_1&gene=snap_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.36&CDS=1-957	YKR081C
OG0000532	-processed-gene-2.127-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.127&CDS=1-2127	YGL245W
OG0000533	-snap-gene-2.89-mRNA-1_1&gene=maker-gi|1002316275|dbj|BCGD01000008.1|-snap-gene-2.89&CDS=1-3171	YFR048W
OG0000534	-processed-gene-2.105-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.105&CDS=1-648	YFR007W
OG0000535	-processed-gene-2.106-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.106&CDS=1-957	YDR044W
OG0000536	-processed-gene-2.129-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.129&CDS=1-1677	YNL308C
OG0000537	-processed-gene-2.131-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.131&CDS=1-984	YIL061C
OG0000538	-processed-gene-2.132-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.132&CDS=1-873	YLR126C
OG0000539	-processed-gene-2.111-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.111&CDS=1-918	YNL229C
OG0000540	-processed-gene-2.134-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-2.134&CDS=1-3057	YPL009C
OG0000541	-processed-gene-3.91-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.91&CDS=1-1047	YPL015C
OG0000542	-processed-gene-3.95-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.95&CDS=1-972	YLR063W
OG0000543	-processed-gene-3.92-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.92&CDS=1-2790	YFL034W
OG0000544	-processed-gene-3.93-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.93&CDS=1-1764	YLR060W
OG0000545	-processed-gene-3.94-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.94&CDS=1-612	YFL005W
OG0000546	-processed-gene-3.115-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.115&CDS=1-654	YFL010C
OG0000547	-processed-gene-3.120-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.120&CDS=1-1641	YKL175W
OG0000548	-processed-gene-3.121-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.121&CDS=1-1335	YKL077W
OG0000549	-processed-gene-3.122-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.122&CDS=1-1014	YMR060C
OG0000550	-processed-gene-3.99-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.99&CDS=1-2196	YMR061W
OG0000551	-processed-gene-3.123-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.123&CDS=1-1101	YMR228W
OG0000552	-processed-gene-3.125-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.125&CDS=1-2214	YLL008W
OG0000553	-processed-gene-3.126-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.126&CDS=1-1992	YLL007C
OG0000554	-processed-gene-3.12-mRNA-1_1&gene=snap_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.12&CDS=1-1365	YJR117W
OG0000555	-processed-gene-3.127-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.127&CDS=1-708	YDL087C
OG0000556	-processed-gene-3.128-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.128&CDS=1-1536	YOL132W
OG0000557	-processed-gene-3.129-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.129&CDS=1-3021	YBR074W
OG0000558	-processed-gene-3.103-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.103&CDS=1-1083	YDR047W
OG0000559	-processed-gene-3.104-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.104&CDS=1-1785	YDR049W
OG0000560	-processed-gene-3.43-mRNA-1_1&gene=snap_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.43&CDS=1-2694	YBR073W
OG0000561	-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.61&CDS=1-2892	YMR259C
OG0000562	-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.62&CDS=1-975	YBR065C
OG0000563	-processed-gene-3.107-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.107&CDS=1-669	YBR070C
OG0000564	-processed-gene-3.46-mRNA-1_1&gene=snap_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.46&CDS=1-303	YDR045C
OG0000565	-processed-gene-3.109-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.109&CDS=1-2277	YBR060C
OG0000566	-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.64&CDS=1-5346	YNL313C
OG0000567	-processed-gene-3.114-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-3.114&CDS=1-1242	YIL160C
OG0000568	-processed-gene-4.73-mRNA-1_1&gene=snap_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.73&CDS=1-714	YBR256C
OG0000569	-processed-gene-4.2-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.2&CDS=1-585	YER012W
OG0000570	-processed-gene-4.75-mRNA-1_1&gene=snap_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.75&CDS=1-3357	YER013W
OG0000571	-processed-gene-4.76-mRNA-1_1&gene=snap_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.76&CDS=1-2754	YIR007W
OG0000572	-processed-gene-4.42-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.42&CDS=1-1386	YIR008C
OG0000573	-processed-gene-4.43-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.43&CDS=1-1236	YIR012W
OG0000574	-processed-gene-4.4-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.4&CDS=1-1119	YCL059C
OG0000575	-processed-gene-4.45-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.45&CDS=1-915	YDR280W
OG0000576	-processed-gene-4.48-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.48&CDS=1-1719	YJL071W
OG0000577	-snap-gene-4.202-mRNA-1_1&gene=maker-gi|1002316275|dbj|BCGD01000008.1|-snap-gene-4.202&CDS=1-597	YJL072C
OG0000578	-processed-gene-4.12-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.12&CDS=1-2307	YJL062W
OG0000579	-processed-gene-4.125-mRNA-1_1&gene=snap_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.125&CDS=1-1170	YBR267W
OG0000580	-processed-gene-4.13-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.13&CDS=1-2169	YOR001W
OG0000581	-processed-gene-4.15-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.15&CDS=1-1764	YBR248C
OG0000582	-processed-gene-4.16-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.16&CDS=1-2586	YPL268W
OG0000583	-processed-gene-4.17-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.17&CDS=1-1359	YBR247C
OG0000584	-processed-gene-4.53-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.53&CDS=1-822	YJL035C
OG0000585	-processed-gene-4.18-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.18&CDS=1-1122	YHR075C
OG0000586	-processed-gene-4.54-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.54&CDS=1-2145	YHR074W
OG0000587	-processed-gene-4.56-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.56&CDS=1-2682	YOR353C
OG0000588	-processed-gene-4.57-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.57&CDS=1-744	YMR038C
OG0000589	-processed-gene-4.19-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.19&CDS=1-984	YNL288W
OG0000590	-processed-gene-4.21-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.21&CDS=1-1503	YLR005W
OG0000591	-processed-gene-4.58-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.58&CDS=1-3033	YML010W
OG0000592	-processed-gene-4.23-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.23&CDS=1-555	YML022W
OG0000593	-processed-gene-4.59-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.59&CDS=1-294	YDR424C
OG0000594	-processed-gene-4.97-mRNA-1_1&gene=snap_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.97&CDS=1-5292	YDR443C
OG0000595	-processed-gene-4.28-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.28&CDS=1-1176	YLR363C
OG0000596	-processed-gene-4.103-mRNA-1_1&gene=snap_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-4.103&CDS=1-549	YJL004C
OG0000597	-processed-gene-0.87-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.87&CDS=1-3090	YLR001C
OG0000598	-processed-gene-0.88-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.88&CDS=1-894	YIR001C
OG0000599	-processed-gene-0.108-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.108&CDS=1-633	YKL070W
OG0000600	-processed-gene-0.90-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.90&CDS=1-912	YLR220W
OG0000601	-processed-gene-0.91-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.91&CDS=1-837	YGR132C
OG0000602	-processed-gene-0.24-mRNA-1_1&gene=snap_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.24&CDS=1-1548	YER078C
OG0000603	-processed-gene-0.112-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.112&CDS=1-1812	YOL070C
OG0000604	-processed-gene-0.94-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.94&CDS=1-1038	YOR026W
OG0000605	-processed-gene-0.95-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.95&CDS=1-1488	YDR257C
OG0000606	-processed-gene-0.28-mRNA-1_1&gene=snap_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.28&CDS=1-279	YDL045W-A
OG0000607	-processed-gene-0.116-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.116&CDS=1-852	YNL289W
OG0000608	-processed-gene-0.96-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.96&CDS=1-3765	YNL273W
OG0000609	-processed-gene-0.119-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.119&CDS=1-1476	YEL064C
OG0000610	-processed-gene-0.120-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.120&CDS=1-1692	YLR253W
OG0000611	-processed-gene-0.98-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.98&CDS=1-318	YLR147C
OG0000612	-augustus-gene-0.83-mRNA-1_1&gene=maker-gi|1002316276|dbj|BCGD01000007.1|-augustus-gene-0.83&CDS=1-2661	YPL091W
OG0000613	-processed-gene-0.102-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.102&CDS=1-1254	YDL044C
OG0000614	-processed-gene-0.104-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.104&CDS=1-708	YOL067C
OG0000615	-processed-gene-0.127-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.127&CDS=1-825	YDL045C
OG0000616	-processed-gene-0.128-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.128&CDS=1-720	YDL043C
OG0000617	-processed-gene-0.105-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.105&CDS=1-2265	YLR182W
OG0000618	-processed-gene-0.129-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.129&CDS=1-573	YDR373W
OG0000619	-processed-gene-0.106-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.106&CDS=1-417	YOL071W
OG0000620	-processed-gene-0.107-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-0.107&CDS=1-1215	YLR181C
OG0000621	-processed-gene-1.86-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.86&CDS=1-819	YDR088C
OG0000622	-processed-gene-1.87-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.87&CDS=1-867	YDR087C
OG0000623	-processed-gene-1.88-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.88&CDS=1-201	YDR086C
OG0000624	-processed-gene-1.91-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.91&CDS=1-6402	YBR235W
OG0000625	-processed-gene-1.93-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.93&CDS=1-1482	YGL112C
OG0000626	-processed-gene-1.108-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.108&CDS=1-2418	YGL113W
OG0000627	-processed-gene-1.110-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.110&CDS=1-2091	YOR322C
OG0000628	-processed-gene-1.94-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.94&CDS=1-1212	YLR085C
OG0000629	-processed-gene-1.111-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.111&CDS=1-927	YMR281W
OG0000630	-processed-gene-1.113-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.113&CDS=1-3171	YMR280C
OG0000631	-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.22&CDS=1-3486	YAL021C
OG0000632	-processed-gene-1.116-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.116&CDS=1-1062	YLR420W
OG0000633	-processed-gene-1.100-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.100&CDS=1-429	YPR082C
OG0000634	-processed-gene-1.117-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.117&CDS=1-627	YLR178C
OG0000635	-processed-gene-1.118-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.118&CDS=1-906	YOR358W
OG0000636	-processed-gene-1.60-mRNA-1_1&gene=snap_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.60&CDS=1-10704	YDR150W
OG0000637	-processed-gene-1.103-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.103&CDS=1-3672	YOR346W
OG0000638	-processed-gene-1.122-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.122&CDS=1-1398	YBR110W
OG0000639	-processed-gene-1.104-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.104&CDS=1-651	YLR323C
OG0000640	-processed-gene-1.105-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.105&CDS=1-1785	YGR007W
OG0000641	-augustus-gene-1.5-mRNA-1_1&gene=maker-gi|1002316276|dbj|BCGD01000007.1|-augustus-gene-1.5&CDS=1-2052	YJR062C
OG0000642	-processed-gene-1.124-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.124&CDS=1-4086	YJR033C
OG0000643	-processed-gene-2.3-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.3&CDS=1-366	YJR034W
OG0000644	-processed-gene-2.0-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.0&CDS=1-3651	YML049C
OG0000645	-processed-gene-2.26-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.26&CDS=1-1296	YAR003W
OG0000646	-processed-gene-2.42-mRNA-1_1&gene=snap_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.42&CDS=1-3816	YAL002W
OG0000647	-processed-gene-2.6-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.6&CDS=1-2694	YGL008C
OG0000648	-snap-gene-2.110-mRNA-1_1&gene=maker-gi|1002316276|dbj|BCGD01000007.1|-snap-gene-2.110&CDS=1-5529	YGL012W
OG0000649	-processed-gene-2.27-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.27&CDS=1-741	YGL011C
OG0000650	-processed-gene-2.10-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.10&CDS=1-1344	YGL194C
OG0000651	-processed-gene-2.12-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.12&CDS=1-1740	YMR036C
OG0000652	-processed-gene-2.28-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.28&CDS=1-2709	YKR009C
OG0000653	-processed-gene-2.13-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.13&CDS=1-492	YJL122W
OG0000654	-processed-gene-2.29-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.29&CDS=1-693	YJL121C
OG0000655	-processed-gene-2.14-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.14&CDS=1-522	YGL242C
OG0000656	-processed-gene-2.30-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.30&CDS=1-1086	YGL243W
OG0000657	-processed-gene-2.32-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.32&CDS=1-462	YIL065C
OG0000658	-processed-gene-2.15-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.15&CDS=1-1638	YOR067C
OG0000659	-processed-gene-2.17-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.17&CDS=1-2883	YOR005C
OG0000660	-processed-gene-2.19-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.19&CDS=1-783	YPR192W
OG0000661	-processed-gene-2.35-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.35&CDS=1-1812	YPR190C
OG0000662	-processed-gene-2.20-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.20&CDS=1-4155	YPR189W
OG0000663	-processed-gene-2.21-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.21&CDS=1-2346	YPR185W
OG0000664	-processed-gene-2.22-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.22&CDS=1-1452	YEL052W
OG0000665	-processed-gene-2.23-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.23&CDS=1-1638	YGR002C
OG0000666	-processed-gene-2.25-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.25&CDS=1-1050	YGL001C
OG0000667	-processed-gene-3.89-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.89&CDS=1-906	YGR280C
OG0000668	-processed-gene-3.90-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.90&CDS=1-3618	YAL001C
OG0000669	-processed-gene-3.91-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.91&CDS=1-735	YGR001C
OG0000670	-processed-gene-3.92-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.92&CDS=1-630	YAL003W
OG0000671	-processed-gene-3.93-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.93&CDS=1-1926	YER005W
OG0000672	-processed-gene-3.95-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.95&CDS=1-1518	YER006W
OG0000673	-processed-gene-3.56-mRNA-1_1&gene=snap_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.56&CDS=1-1566	YER007W
OG0000674	-processed-gene-3.113-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.113&CDS=1-543	YER007C-A
OG0000675	-processed-gene-3.114-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.114&CDS=1-2988	YIR002C
OG0000676	-processed-gene-3.99-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.99&CDS=1-1524	YNR052C
OG0000677	-processed-gene-3.116-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.116&CDS=1-1626	YNR053C
OG0000678	-processed-gene-3.100-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.100&CDS=1-2805	YPR097W
OG0000679	-processed-gene-3.102-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.102&CDS=1-1701	YLR023C
