	Lachancea_mirantina	Saccharomyces_cerevisiae
OG0000617	genemark-LAMI0B-processed-gene-1.119-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.119&CDS=1-1635	YNL138W
OG0000618	genemark-LAMI0B-processed-gene-1.143-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.143&CDS=1-1443	YNL137C
OG0000619	snap_masked-LAMI0B-processed-gene-1.18-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-1.18&CDS=1-930	YNL136W
OG0000620	genemark-LAMI0B-processed-gene-1.144-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.144&CDS=1-342	YNL135C
OG0000621	genemark-LAMI0B-processed-gene-1.148-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.148&CDS=1-504	YNL133C
OG0000622	genemark-LAMI0B-processed-gene-1.149-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.149&CDS=1-1920	YHR124W
OG0000623	genemark-LAMI0B-processed-gene-1.123-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.123&CDS=1-3162	YNL132W
OG0000624	genemark-LAMI0B-processed-gene-1.124-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.124&CDS=1-438	YNL131W
OG0000625	maker-LAMI0B-augustus-gene-1.1-mRNA-1_1&gene=maker-LAMI0B-augustus-gene-1.1&CDS=1-2055	YNL129W
OG0000626	genemark-LAMI0B-processed-gene-1.152-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.152&CDS=1-555	YHR121W
OG0000627	genemark-LAMI0B-processed-gene-1.127-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.127&CDS=1-2751	YNL127W
OG0000628	snap_masked-LAMI0B-processed-gene-1.27-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-1.27&CDS=1-2517	YNL126W
OG0000629	genemark-LAMI0B-processed-gene-1.129-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.129&CDS=1-1509	YNL124W
OG0000630	augustus_masked-LAMI0B-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-1.102&CDS=1-5733	YHR120W
OG0000631	genemark-LAMI0B-processed-gene-1.130-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.130&CDS=1-1284	YHR118C
OG0000632	genemark-LAMI0B-processed-gene-1.131-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.131&CDS=1-2958	YNL123W
OG0000633	genemark-LAMI0B-processed-gene-1.155-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.155&CDS=1-1800	YNL121C
OG0000634	genemark-LAMI0B-processed-gene-1.156-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.156&CDS=1-345	YHR116W
OG0000635	augustus_masked-LAMI0B-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-1.83&CDS=1-1293	YNL119W
OG0000636	genemark-LAMI0B-processed-gene-1.157-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.157&CDS=1-2487	YNL118C
OG0000637	genemark-LAMI0B-processed-gene-1.134-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.134&CDS=1-1662	YNL117W
OG0000638	genemark-LAMI0B-processed-gene-1.135-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.135&CDS=1-1395	YHR115C
OG0000639	snap_masked-LAMI0B-processed-gene-1.56-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-1.56&CDS=1-1809	YNL115C
OG0000640	genemark-LAMI0B-processed-gene-1.159-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.159&CDS=1-1860	YHR114W
OG0000641	genemark-LAMI0B-processed-gene-1.136-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.136&CDS=1-831	YOR115C
OG0000642	snap_masked-LAMI0B-processed-gene-1.59-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-1.59&CDS=1-786	YOR114W
OG0000643	genemark-LAMI0B-processed-gene-1.161-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.161&CDS=1-2274	YOR113W
OG0000644	genemark-LAMI0B-processed-gene-1.137-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.137&CDS=1-480	YNL113W
OG0000645	maker-LAMI0B-snap-gene-1.165-mRNA-1_1&gene=maker-LAMI0B-snap-gene-1.165&CDS=1-1668	YNL112W
OG0000646	maker-LAMI0B-augustus-gene-1.6-mRNA-1_1&gene=maker-LAMI0B-augustus-gene-1.6&CDS=1-2442	YOR112W
OG0000647	genemark-LAMI0B-processed-gene-2.105-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.105&CDS=1-651	YNL110C
OG0000648	genemark-LAMI0B-processed-gene-2.106-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.106&CDS=1-672	YOR111W
OG0000649	maker-LAMI0B-snap-gene-2.156-mRNA-1_1&gene=maker-LAMI0B-snap-gene-2.156&CDS=1-1203	YNL108C
OG0000650	snap_masked-LAMI0B-processed-gene-2.10-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-2.10&CDS=1-651	YNL107W
OG0000651	genemark-LAMI0B-processed-gene-2.108-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.108&CDS=1-1062	YBL074C
OG0000652	snap_masked-LAMI0B-processed-gene-2.11-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-2.11&CDS=1-246	YBL071W-A
OG0000653	snap_masked-LAMI0B-processed-gene-2.41-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-2.41&CDS=1-1086	YMR139W
OG0000654	genemark-LAMI0B-processed-gene-2.112-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.112&CDS=1-798	YGR026W
OG0000655	genemark-LAMI0B-processed-gene-2.113-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.113&CDS=1-2127	YLR335W
OG0000656	genemark-LAMI0B-processed-gene-2.135-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.135&CDS=1-2856	YLR336C
OG0000657	genemark-LAMI0B-processed-gene-2.114-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.114&CDS=1-1080	YGR028W
OG0000658	genemark-LAMI0B-processed-gene-2.115-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.115&CDS=1-558	YGR029W
OG0000659	maker-LAMI0B-snap-gene-2.157-mRNA-1_1&gene=maker-LAMI0B-snap-gene-2.157&CDS=1-1971	YLR337C
OG0000660	snap_masked-LAMI0B-processed-gene-2.47-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-2.47&CDS=1-537	YGR030C
OG0000661	genemark-LAMI0B-processed-gene-2.116-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.116&CDS=1-936	YLR340W
OG0000662	genemark-LAMI0B-processed-gene-2.118-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.118&CDS=1-1002	YGR031W
OG0000663	genemark-LAMI0B-processed-gene-2.140-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.140&CDS=1-762	YGR033C
OG0000664	snap_masked-LAMI0B-processed-gene-2.28-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-2.28&CDS=1-1662	YLR345W
OG0000665	snap_masked-LAMI0B-processed-gene-2.49-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-2.49&CDS=1-681	YGR036C
OG0000666	genemark-LAMI0B-processed-gene-2.141-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.141&CDS=1-2964	YLR347C
OG0000667	genemark-LAMI0B-processed-gene-2.122-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.122&CDS=1-597	YGR038W
OG0000668	genemark-LAMI0B-processed-gene-2.142-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.142&CDS=1-870	YLR351C
OG0000669	genemark-LAMI0B-processed-gene-2.123-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.123&CDS=1-1095	YGR040W
OG0000670	genemark-LAMI0B-processed-gene-2.124-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.124&CDS=1-2106	YLR352W
OG0000671	snap_masked-LAMI0B-processed-gene-2.32-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-2.32&CDS=1-1596	YGR041W
OG0000672	snap_masked-LAMI0B-processed-gene-2.33-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-2.33&CDS=1-738	YGR042W
OG0000673	genemark-LAMI0B-processed-gene-2.144-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.144&CDS=1-999	YLR354C
OG0000674	genemark-LAMI0B-processed-gene-2.146-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.146&CDS=1-1158	YGR044C
OG0000675	genemark-LAMI0B-processed-gene-2.147-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.147&CDS=1-1188	YLR355C
OG0000676	genemark-LAMI0B-processed-gene-2.127-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.127&CDS=1-711	YGR024C
OG0000677	genemark-LAMI0B-processed-gene-2.149-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.149&CDS=1-498	YLR332W
OG0000678	maker-LAMI0B-augustus-gene-2.2-mRNA-1_1&gene=maker-LAMI0B-augustus-gene-2.2&CDS=1-7281	YPR010C
OG0000679	augustus_masked-LAMI0B-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-2.101&CDS=1-1197	YGL169W
OG0000680	snap_masked-LAMI0B-processed-gene-2.40-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-2.40&CDS=1-753	YGL161C
OG0000681	genemark-LAMI0B-processed-gene-3.105-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.105&CDS=1-2649	YGL163C
OG0000682	genemark-LAMI0B-processed-gene-3.107-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.107&CDS=1-1893	YPR008W
OG0000683	genemark-LAMI0B-processed-gene-3.133-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.133&CDS=1-1143	YER145C
OG0000684	genemark-LAMI0B-processed-gene-3.108-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.108&CDS=1-918	YDR347W
OG0000685	genemark-LAMI0B-processed-gene-3.134-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.134&CDS=1-1218	YHR097C
OG0000686	genemark-LAMI0B-processed-gene-3.135-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.135&CDS=1-2670	YHR098C
OG0000687	genemark-LAMI0B-processed-gene-3.109-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.109&CDS=1-1824	YDR349C
OG0000688	maker-LAMI0B-augustus-gene-3.0-mRNA-1_1&gene=maker-LAMI0B-augustus-gene-3.0&CDS=1-12657	YHR099W
OG0000689	snap_masked-LAMI0B-processed-gene-3.87-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-3.87&CDS=1-495	YHR100C
OG0000690	augustus_masked-LAMI0B-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-3.16&CDS=1-1809	YDR266C
OG0000691	genemark-LAMI0B-processed-gene-3.137-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.137&CDS=1-987	YDR265W
OG0000692	augustus_masked-LAMI0B-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-3.17&CDS=1-2217	YOR035C
OG0000693	genemark-LAMI0B-processed-gene-3.114-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.114&CDS=1-2190	YDR264C
OG0000694	genemark-LAMI0B-processed-gene-3.115-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.115&CDS=1-1896	YDR263C
OG0000695	genemark-LAMI0B-processed-gene-3.116-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.116&CDS=1-2352	YOR032C
OG0000696	augustus_masked-LAMI0B-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-3.40&CDS=1-825	YDR262W
OG0000697	augustus_masked-LAMI0B-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-3.41&CDS=1-1482	YOR030W
OG0000698	augustus_masked-LAMI0B-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-3.20&CDS=1-348	YDR260C
OG0000699	genemark-LAMI0B-processed-gene-3.118-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.118&CDS=1-936	YOR028C
OG0000700	genemark-LAMI0B-processed-gene-3.119-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.119&CDS=1-2358	YDR258C
OG0000701	genemark-LAMI0B-processed-gene-3.140-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.140&CDS=1-1752	YOR027W
OG0000702	augustus_masked-LAMI0B-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-3.23&CDS=1-1506	YDR257C
OG0000703	snap_masked-LAMI0B-processed-gene-3.93-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-3.93&CDS=1-933	YOR026W
OG0000704	genemark-LAMI0B-processed-gene-3.121-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.121&CDS=1-1686	YDR479C
OG0000705	augustus_masked-LAMI0B-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-3.44&CDS=1-519	YDR478W
OG0000706	genemark-LAMI0B-processed-gene-3.122-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.122&CDS=1-699	YJR099W
OG0000707	snap_masked-LAMI0B-processed-gene-3.95-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-3.95&CDS=1-1551	YPR045C
OG0000708	genemark-LAMI0B-processed-gene-3.145-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.145&CDS=1-951	YJR100C
OG0000709	genemark-LAMI0B-processed-gene-3.123-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.123&CDS=1-777	YJR101W
OG0000710	genemark-LAMI0B-processed-gene-3.146-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.146&CDS=1-540	YJR102C
OG0000711	genemark-LAMI0B-processed-gene-3.125-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.125&CDS=1-1725	YBL039C
OG0000712	snap_masked-LAMI0B-processed-gene-3.99-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-3.99&CDS=1-462	YJR104C
OG0000713	augustus_masked-LAMI0B-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-3.50&CDS=1-285	YBL039W-B
OG0000714	genemark-LAMI0B-processed-gene-3.127-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.127&CDS=1-660	YBL040C
OG0000715	genemark-LAMI0B-processed-gene-3.148-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.148&CDS=1-726	YBL041W
OG0000716	augustus_masked-LAMI0B-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-3.53&CDS=1-594	YBL043W
OG0000717	genemark-LAMI0B-processed-gene-3.128-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.128&CDS=1-1413	YFR034C
OG0000718	augustus_masked-LAMI0B-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-3.31&CDS=1-582	YFR032C-A
OG0000719	genemark-LAMI0B-processed-gene-3.130-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-3.130&CDS=1-879	YFR032C
OG0000720	maker-LAMI0B-augustus-gene-3.2-mRNA-1_1&gene=maker-LAMI0B-augustus-gene-3.2&CDS=1-4278	YFR031C
OG0000721	maker-LAMI0B-augustus-gene-4.0-mRNA-1_1&gene=maker-LAMI0B-augustus-gene-4.0&CDS=1-5847	YFR030W
OG0000722	genemark-LAMI0B-processed-gene-4.52-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.52&CDS=1-546	YIL016W
OG0000723	genemark-LAMI0B-processed-gene-4.53-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.53&CDS=1-702	YBR256C
OG0000724	genemark-LAMI0B-processed-gene-4.56-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.56&CDS=1-1287	YIR012W
OG0000725	snap_masked-LAMI0B-processed-gene-4.10-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.10&CDS=1-1953	YDR239C
OG0000726	snap_masked-LAMI0B-processed-gene-4.11-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.11&CDS=1-1347	YDR240C
OG0000727	genemark-LAMI0B-processed-gene-4.80-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.80&CDS=1-444	YDL208W
OG0000728	genemark-LAMI0B-processed-gene-4.60-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.60&CDS=1-366	YBR253W
OG0000729	snap_masked-LAMI0B-processed-gene-4.13-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.13&CDS=1-1524	YIR010W
OG0000730	genemark-LAMI0B-processed-gene-4.81-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.81&CDS=1-510	YBR254C
OG0000731	genemark-LAMI0B-processed-gene-4.62-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.62&CDS=1-1575	YBR255W
OG0000732	genemark-LAMI0B-processed-gene-4.82-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.82&CDS=1-1188	YBR255C-A
OG0000733	genemark-LAMI0B-processed-gene-4.63-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.63&CDS=1-2916	YDR238C
OG0000734	genemark-LAMI0B-processed-gene-4.83-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.83&CDS=1-867	YDR237W
OG0000735	maker-LAMI0B-snap-gene-4.3-mRNA-1_1&gene=maker-LAMI0B-snap-gene-4.3&CDS=1-2076	YDL207W
OG0000736	genemark-LAMI0B-processed-gene-4.66-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.66&CDS=1-1911	YDL206W
OG0000737	genemark-LAMI0B-processed-gene-4.84-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.84&CDS=1-1650	YDR235W
OG0000738	genemark-LAMI0B-processed-gene-4.85-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.85&CDS=1-999	YDL205C
OG0000739	genemark-LAMI0B-processed-gene-4.86-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.86&CDS=1-2112	YDR234W
OG0000740	genemark-LAMI0B-processed-gene-4.67-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.67&CDS=1-831	YDR233C
OG0000741	genemark-LAMI0B-processed-gene-4.87-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.87&CDS=1-1692	YDR232W
OG0000742	genemark-LAMI0B-processed-gene-4.88-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.88&CDS=1-1713	YDL203C
OG0000743	genemark-LAMI0B-processed-gene-4.68-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.68&CDS=1-606	YDR231C
OG0000744	genemark-LAMI0B-processed-gene-4.89-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.89&CDS=1-1224	YDR229W
OG0000745	genemark-LAMI0B-processed-gene-4.70-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.70&CDS=1-687	YDL202W
OG0000746	snap_masked-LAMI0B-processed-gene-4.21-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.21&CDS=1-849	YDL201W
OG0000747	genemark-LAMI0B-processed-gene-4.91-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.91&CDS=1-891	YDL198C
OG0000748	genemark-LAMI0B-processed-gene-4.72-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.72&CDS=1-1818	YDR228C
OG0000749	snap_masked-LAMI0B-processed-gene-4.42-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.42&CDS=1-4383	YDR227W
OG0000750	genemark-LAMI0B-processed-gene-4.93-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.93&CDS=1-684	YDR226W
OG0000751	snap_masked-LAMI0B-processed-gene-4.23-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.23&CDS=1-1812	YLR219W
OG0000752	genemark-LAMI0B-processed-gene-4.75-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.75&CDS=1-903	YLR220W
OG0000753	genemark-LAMI0B-processed-gene-4.95-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.95&CDS=1-567	YLR221C
OG0000754	genemark-LAMI0B-processed-gene-4.96-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.96&CDS=1-2418	YLR222C
OG0000755	genemark-LAMI0B-processed-gene-4.97-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.97&CDS=1-2880	YLR223C
OG0000756	snap_masked-LAMI0B-processed-gene-4.26-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.26&CDS=1-1290	YDR219C
OG0000757	genemark-LAMI0B-processed-gene-4.77-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.77&CDS=1-1077	YLR226W
OG0000758	snap_masked-LAMI0B-processed-gene-4.50-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.50&CDS=1-1203	YLR227C
OG0000759	snap_masked-LAMI0B-processed-gene-4.28-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-4.28&CDS=1-3342	YDR217C
OG0000760	genemark-LAMI0B-processed-gene-4.101-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.101&CDS=1-3261	YDR216W
OG0000761	genemark-LAMI0B-processed-gene-5.2-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.2&CDS=1-1050	YDR214W
OG0000762	genemark-LAMI0B-processed-gene-5.1-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.1&CDS=1-1194	YBR029C
OG0000763	genemark-LAMI0B-processed-gene-5.4-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.4&CDS=1-1545	YBR028C
OG0000764	augustus_masked-LAMI0B-processed-gene-5.67-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-5.67&CDS=1-1146	YBR026C
OG0000765	augustus_masked-LAMI0B-processed-gene-5.90-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-5.90&CDS=1-906	YBR036C
OG0000766	genemark-LAMI0B-processed-gene-5.34-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.34&CDS=1-300	YOL108C
OG0000767	genemark-LAMI0B-processed-gene-5.10-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.10&CDS=1-1011	YOL107W
OG0000768	genemark-LAMI0B-processed-gene-5.35-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.35&CDS=1-870	YNL284C
OG0000769	genemark-LAMI0B-processed-gene-5.13-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.13&CDS=1-741	YOL154W
OG0000770	snap_masked-LAMI0B-processed-gene-5.124-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-5.124&CDS=1-591	YNL282W
OG0000771	genemark-LAMI0B-processed-gene-5.15-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.15&CDS=1-408	YNL281W
OG0000772	genemark-LAMI0B-processed-gene-5.37-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.37&CDS=1-1383	YNL280C
OG0000773	snap_masked-LAMI0B-processed-gene-5.146-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-5.146&CDS=1-1191	YOL104C
OG0000774	genemark-LAMI0B-processed-gene-5.17-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.17&CDS=1-1068	YDR498C
OG0000775	genemark-LAMI0B-processed-gene-5.18-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.18&CDS=1-1722	YDR497C
OG0000776	genemark-LAMI0B-processed-gene-5.19-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.19&CDS=1-1974	YDR496C
OG0000777	snap_masked-LAMI0B-processed-gene-5.129-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-5.129&CDS=1-2805	YDR495C
OG0000778	snap_masked-LAMI0B-processed-gene-5.147-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-5.147&CDS=1-1029	YDR494W
OG0000779	genemark-LAMI0B-processed-gene-5.41-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.41&CDS=1-693	YOL102C
OG0000780	genemark-LAMI0B-processed-gene-5.42-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.42&CDS=1-372	YDR493W
OG0000781	genemark-LAMI0B-processed-gene-5.21-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.21&CDS=1-2991	YOL100W
OG0000782	genemark-LAMI0B-processed-gene-5.44-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.44&CDS=1-3144	YOL098C
OG0000783	genemark-LAMI0B-processed-gene-5.45-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.45&CDS=1-879	YDR489W
OG0000784	genemark-LAMI0B-processed-gene-5.22-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.22&CDS=1-636	YDR487C
OG0000785	genemark-LAMI0B-processed-gene-5.46-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.46&CDS=1-1290	YOL097C
OG0000786	genemark-LAMI0B-processed-gene-5.23-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.23&CDS=1-678	YDR486C
OG0000787	genemark-LAMI0B-processed-gene-5.47-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.47&CDS=1-927	YOL096C
OG0000788	genemark-LAMI0B-processed-gene-5.24-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.24&CDS=1-1977	YDR485C
OG0000789	snap_masked-LAMI0B-processed-gene-5.155-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-5.155&CDS=1-2118	YOL095C
OG0000790	genemark-LAMI0B-processed-gene-5.49-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.49&CDS=1-1740	YDR484W
OG0000791	genemark-LAMI0B-processed-gene-5.50-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.50&CDS=1-966	YOL094C
OG0000792	genemark-LAMI0B-processed-gene-5.25-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.25&CDS=1-918	YOL093W
OG0000793	snap_masked-LAMI0B-processed-gene-5.136-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-5.136&CDS=1-2139	YOL091W
OG0000794	genemark-LAMI0B-processed-gene-5.28-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.28&CDS=1-2877	YOL090W
OG0000795	genemark-LAMI0B-processed-gene-5.29-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.29&CDS=1-975	YBR149W
OG0000796	genemark-LAMI0B-processed-gene-5.30-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-5.30&CDS=1-912	YBR151W
OG0000797	snap_masked-LAMI0B-processed-gene-6.43-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-6.43&CDS=1-735	YOL088C
OG0000798	snap_masked-LAMI0B-processed-gene-6.48-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-6.48&CDS=1-1473	YLR267W
OG0000799	genemark-LAMI0B-processed-gene-6.99-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.99&CDS=1-546	YOR163W
OG0000800	genemark-LAMI0B-processed-gene-6.114-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.114&CDS=1-912	YOR164C
