	Candida_albicans	Saccharomyces_cerevisiae
OG0003027	CR_03060W_A	YGL105W
OG0003028	C3_04400C_A	YJR042W
OG0003029	C1_11660W_A	YMR250W
OG0003030	C7_02020W_A	YMR201C
OG0003031	CR_00330C_A	YPL147W
OG0003032	C3_01520C_A	YOR091W
OG0003033	C1_13650C_A	YGL164C
OG0003034	C2_07940C_A	YBR243C
OG0003035	C2_07300C_A	YJR063W
OG0003036	C6_02320C_B&Allele&of&C6_02320C_A	YPL209C
OG0003037	C3_03930W_A	YML015C
OG0003038	C1_11240C_A	YER026C
OG0003039	C6_03450C_A	YLR382C
OG0003040	C4_06020C_A	YOR346W
OG0003041	C5_05030C_A	YMR154C
OG0003042	C1_12270W_A	YMR101C
OG0003043	C2_08130W_A	YBR149W
OG0003044	CR_01030W_A	YIR023W
OG0003045	C1_00560W_A	YBR155W
OG0003046	C5_01430C_A	YDR527W
OG0003047	C1_08310W_A	YPR075C
OG0003048	C5_02900W_A	YLR055C
OG0003049	C4_06720W_A	YDL014W
OG0003050	C3_05290C_A	YLL032C
OG0003051	C1_05210C_A	YNR040W
OG0003052	C2_07220W_A	YKL206C
OG0003053	C7_00820W_A	YJR068W
OG0003054	C2_03460C_A	YCL044C
OG0003055	C1_01390C_A	YOL116W
OG0003056	C3_03310C_A	YDR140W
OG0003057	C1_13020C_A	YLR066W
OG0003058	C2_09990C_A	YGR281W
OG0003059	CR_01980C_A	YOR100C
OG0003060	C2_00210W_A	YLR325C
OG0003061	C5_04050W_A	YPR091C
OG0003062	CR_09120C_A	YML085C
OG0003063	C6_00760W_A	YBR101C
OG0003064	C4_04410C_A	YDR234W
OG0003065	C1_03370W_A	YER165W
OG0003066	CR_05530C_A	YPL133C
OG0003067	C3_05110W_A	YOL073C
OG0003068	CR_01990C_A	YNL126W
OG0003069	C1_13110C_A	YBR023C
OG0003070	C5_04720C_A	YGR267C
OG0003071	C5_01440C_A	YDR459C
OG0003072	C5_05310W_A	YER012W
OG0003073	C3_00560C_A	YLL011W
OG0003074	C2_01520W_A	YHR075C
OG0003075	C1_05430W_A	YOL148C
OG0003076	CR_04110W_A	YNL124W
OG0003077	C6_00250W_A	YNL115C
OG0003078	C6_01830W_A	YDR486C
OG0003079	C6_02140W_A	YHR182W
OG0003080	C3_01750C_A	YPL084W
OG0003081	C6_01690W_A	YLR144C
OG0003082	CM_00330W	Q0105
OG0003083	C3_00310C_A	YER116C
OG0003084	C3_03290C_A	YEL062W
OG0003085	C4_02670W_A	YPL120W
OG0003086	C2_03380W_B&Allele&of&C2_03380W_A	YIR006C
OG0003087	C1_07020C_A	YKL015W
OG0003088	CR_10060W_A	YMR240C
OG0003089	C5_00650C_A	YHR025W
OG0003090	C1_13730C_A	YPL266W
OG0003091	C3_01570W_A	YNL249C
OG0003092	C1_04970W_A	YMR012W
OG0003093	C2_10270W_B&Allele&of&C2_10270W_A	YOR243C
OG0003094	C1_09800C_A	YMR071C
OG0003095	C4_07010C_A	YDL200C
OG0003096	CR_04920W_A	YDL119C
OG0003097	CR_04520W_A	YOL026C
OG0003098	C2_10110W_A	YJR048W
OG0003099	C3_02030W_A	YGR101W
OG0003100	C3_07300W_A	YNL175C
OG0003101	C4_07120C_A	YOL090W
OG0003102	C5_02260C_A	YGR046W
OG0003103	C1_14320C_A	YNL168C
OG0003104	C4_04500C_A	YGR001C
OG0003105	C5_02910C_A	YFL027C
OG0003106	C3_02690C_A	YMR013C
OG0003107	C7_02130W_A	YDL114W
OG0003108	CR_01720W_A	YML104C
OG0003109	C3_04440C_A	YEL023C
OG0003110	C7_02810W_A	YBL064C
OG0003111	C1_04080W_A	YJL030W
OG0003112	C6_01140C_A	YLR370C
OG0003113	C3_01250W_A	YGL006W
OG0003114	CR_04720C_A	YGL150C
OG0003115	C2_08050C_A	YHL040C
OG0003116	C6_01640W_A	YBL093C
OG0003117	C3_02550C_A	YIR030C
OG0003118	C1_08740C_A	YIL109C
OG0003119	C2_10190C_A	YNL099C
OG0003120	C4_04760C_A	YMR134W
OG0003121	C1_07420C_A	YDR329C
OG0003122	C4_05020W_A	YCR071C
OG0003123	CR_03010C_A	YGR029W
OG0003124	C7_00910C_A	YMR044W
OG0003125	CR_09570W_A	YOR292C
OG0003126	C3_06120C_A	YEL042W
OG0003127	C6_00920W_A	YMR002W
OG0003128	C2_05730C_A	YJL091C
OG0003129	CR_07050C_A	YJL130C
OG0003130	C3_02560W_A	YPL194W
OG0003131	C1_06450C_A	YCR031C
OG0003132	C1_12100C_A	YKL188C
OG0003133	C6_02600W_A	YPL190C
OG0003134	CR_00750C_A	YER051W
OG0003135	CR_00510C_A	YAR015W
OG0003136	C1_02380C_A	YMR138W
OG0003137	C1_04410C_A	YJR017C
OG0003138	C3_03070W_A	YOR378W
OG0003139	C6_01630W_A	YPR163C
OG0003140	C4_04100C_A	YAL059W
OG0003141	C1_11070W_A	YOR017W
OG0003142	C5_05230C_A	YBL045C
OG0003143	C6_03330C_A	YPR097W
OG0003144	C1_00600W_A	YNL172W
OG0003145	C3_02100W_A	YCL032W
OG0003146	C3_01310W_A	YFR038W
OG0003147	C2_05060C_A	YKL086W
OG0003148	C1_05030C_A	YJL072C
OG0003149	CR_05760C_A	YPR084W
OG0003150	C5_00790C_A	YNL251C
OG0003151	C1_11090C_A	YNL317W
OG0003152	C6_00880W_A	YDR142C
OG0003153	C4_01890C_A	YBR164C
OG0003154	C3_03060W_A	YML077W
OG0003155	C3_04220C_A	YNR012W
OG0003156	C2_02170W_A	YKL077W
OG0003157	C3_03510C_A	YPR155C
OG0003158	C7_00690W_A	YNL110C
OG0003159	C6_00850W_A	YIR037W
OG0003160	C2_08630C_A	YBR279W
OG0003161	CR_03260W_A	YGR127W
OG0003162	C7_02120C_A	YKL167C
OG0003163	C3_04510W_A	YBL028C
OG0003164	CR_10830C_A	YGR076C
OG0003165	C3_01030W_A	YMR033W
OG0003166	CR_10650W_A	YKL143W
OG0003167	CR_08170C_A	YDR435C
OG0003168	CR_06000W_A	YDR006C
OG0003169	CR_09340W_A	YMR022W
OG0003170	C5_00920W_A	YPR082C
OG0003171	C4_02760C_A	YBR053C
OG0003172	C6_00790C_A	YPR124W
OG0003173	CR_01170W_A	YKL010C
OG0003174	C3_06650C_A	YGL112C
OG0003175	CR_10170C_A	YDR321W
OG0003176	CR_09160C_A	YML126C
OG0003177	C6_01670W_A	YKL029C
OG0003178	C7_00330C_A	YGL169W
OG0003179	C5_01610W_A	YFL001W
OG0003180	C7_02870C_B&Allele&of&C7_02870C_A	YML098W
OG0003181	C2_00300C_A	YGL019W
OG0003182	C1_10010C_A	YJL187C
OG0003183	CR_02980C_A	YKR092C
OG0003184	C2_09300W_A	YGR104C
OG0003185	CR_07870W_A	YML050W
OG0003186	C1_00100C_A	YDL142C
OG0003187	C1_00150C_A	YGL045W
OG0003188	C4_03180W_A	YHR042W
OG0003189	C7_03670W_A	YHR019C
OG0003190	C2_03330C_A	YLR113W
OG0003191	C4_01950W_A	YIL034C
OG0003192	CR_01210C_A	YHL002W
OG0003193	C1_08360C_A	YGL055W
OG0003194	C3_02540C_A	YPL196W
OG0003195	C2_05180W_A	YFL014W
OG0003196	C3_00940W_A	YDR143C
OG0003197	C1_11380W_A	YLR186W
OG0003198	C3_04810C_A	YLR150W
OG0003199	C5_02600W_A	YLR142W
OG0003200	CR_01390W_A	YOR232W
OG0003201	C2_07890W_A	YOL061W
OG0003202	C1_00340W_A	YDL166C
OG0003203	C5_01980C_A	YLR250W
OG0003204	C2_01510C_A	YJL035C
OG0003205	C5_02040W_A	YPL172C
OG0003206	C3_01280W_A	YJL055W
OG0003207	C1_09950C_A	YDR084C
OG0003208	C1_03080C_A	YML064C
OG0003209	C3_06480C_A	YBL001C
OG0003210	CR_01730W_A	YFL010C
OG0003211	C7_03500W_A	YNL217W
OG0003212	C2_09520C_A	YIL142W
OG0003213	C4_02100C_A	YJR013W
OG0003214	C2_04110W_A	YGL251C
OG0003215	C6_02460C_A	YPL215W
OG0003216	C4_00470C_A	YLR427W
OG0003217	CR_09380W_A	YML092C
OG0003218	C1_10490W_A	YNL045W
OG0003219	C1_06980C_A	YKL221W
OG0003220	C1_03830C_A	YNL232W
OG0003221	C1_03530W_A	YER022W
OG0003222	C2_03170W_A	YBR096W
OG0003223	C2_07060W_A	YOR319W
OG0003224	CR_04340W_A	YBL022C
OG0003225	C1_11790W_A	YJR057W
OG0003226	C1_11110C_A	YEL003W
OG0003227	C5_05370C_A	YER013W
OG0003228	C6_01610W_A	YEL034W
OG0003229	C4_00630C_A	YLR292C
OG0003230	CR_09650W_A	YOR181W
OG0003231	C7_00860W_A	YLR390W-A
OG0003232	C5_05090W_A	YDL107W
OG0003233	C2_00220C_A	YGR005C
OG0003234	C5_02170C_A	YER025W
OG0003235	C1_10770W_A	YBL102W
OG0003236	C1_01680C_A	YHR059W
OG0003237	C4_04280C_A	YFR043C
OG0003238	C3_00530C_A	YOR269W
OG0003239	C2_01360C_A	YKL046C
OG0003240	CR_04640W_A	YDR403W
OG0003241	C3_07940W_A	YHR198C
OG0003242	C1_06520C_A	YCR032W
OG0003243	C2_03820C_A	YBR189W
OG0003244	C4_04520W_A	YGR280C
OG0003245	C2_07400C_A	YPL154C
OG0003246	C1_08780W_A	YDR481C
OG0003247	CR_06340C_A	YBR196C
OG0003248	C4_05560C_A	YHR137W
OG0003249	CR_01230C_A	YBL084C
OG0003250	C3_01070C_A	YOR349W
OG0003251	C2_10310C_A	YPL155C
OG0003252	C7_01410C_A	YDR162C
OG0003253	C6_00360C_A	YBL107C
OG0003254	CR_03900W_A	YDL159W
OG0003255	CR_02420W_A	YOR004W
OG0003256	CR_09350C_A	YCR020C
OG0003257	C4_04270W_A	YIR032C
OG0003258	C6_04260C_A	YMR132C
OG0003259	C2_04960C_A	YKR074W
OG0003260	C1_05420W_A	YOL149W
OG0003261	C1_08470W_A	YGR174C
OG0003262	C1_06530C_A	YJL197W
OG0003263	C2_07670C_A	YDL207W
OG0003264	CR_03500W_A	YNR001C
OG0003265	C3_04720C_A	YLR241W
OG0003266	C1_07360W_A	YBL034C
OG0003267	CR_01770C_A	YFL034W
OG0003268	C2_00330C_A	YBL008W
OG0003269	C2_09470C_A	YNL082W
OG0003270	C1_14050C_A	YDR291W
OG0003271	C1_09330W_A	YOR252W
OG0003272	C1_08520C_A	YDR462W
OG0003273	C3_04940W_A	YDL193W
OG0003274	CR_00370W_A	YGR003W
OG0003275	C6_02410W_A	YGL067W
OG0003276	C4_06230C_A	YER005W
OG0003277	C7_02310C_A	YML038C
OG0003278	CR_04470W_A	YPL076W
OG0003279	C4_00040W_A	YLR138W
OG0003280	C1_09920W_A	YDR080W
OG0003281	C1_01830C_A	YEL012W
OG0003282	CR_10850C_A	YDL004W
OG0003283	C1_01260C_A	YBR254C
OG0003284	C1_08490W_A	YLR231C
OG0003285	C4_05550C_A	YIL041W
OG0003286	C3_01720C_A	YDL145C
OG0003287	C1_04750W_A	YAL060W
OG0003288	C1_12970C_A	YNL272C
OG0003289	C1_01920W_A	YOL075C
OG0003290	CR_00520C_A	YGR218W
OG0003291	C2_07480W_A	YOR175C
OG0003292	C1_03800W_A	YHR062C
OG0003293	CR_01790C_A	YFL003C
OG0003294	C1_11190W_B&Allele&of&C1_11190W_A	YPL051W
OG0003295	C4_06500W_A	YGL207W
OG0003296	C4_00650W_A	YIL116W
OG0003297	C2_05930W_A	YDL067C
OG0003298	C3_03100C_A	YPL254W
OG0003299	CR_08660W_A	YHR165C
OG0003300	C5_02340C_A	YHL007C
OG0003301	C2_05260W_B&Allele&of&C2_05260W_A	YAR014C
OG0003302	CR_07760W_A	YNR037C
OG0003303	C3_07680W_A	YJR140C
OG0003304	C4_02920W_A	YMR171C
OG0003305	C2_05850C_A	YNL041C
OG0003306	C6_00570C_A	YDR456W
OG0003307	C4_01530C_A	YGR060W
OG0003308	C3_00770C_A	YGL011C
OG0003309	C2_09770C_A	YIL002C
OG0003310	C4_03030C_A	YPL126W
OG0003311	C7_01610W_A	YJL062W-A
OG0003312	CR_02700W_A	YNL149C
OG0003313	C7_03400C_A	YJL050W
OG0003314	C4_04970C_A	YCL057C-A
OG0003315	C2_08190W_A	YKL080W
OG0003316	C4_05080C_A	YNR039C
OG0003317	CR_10340W_A	YER075C
OG0003318	CR_03030C_A	YGL103W
OG0003319	C3_03710W_A	YLR220W
OG0003320	C4_03560W_A	YGR261C
OG0003321	C4_01450W_A	YLR196W
OG0003322	C5_04780W_A	YLR015W
OG0003323	C3_03680W_A	YDR294C
OG0003324	CR_00230W_A	YJL039C
OG0003325	C4_04430W_A	YKL142W
OG0003326	C3_03180C_A	YLR209C
OG0003327	C4_00670W_A	YJL093C
OG0003328	C5_01290C_A	YOR125C
OG0003329	C3_02320W_A	YMR108W
OG0003330	C1_12680W_A	YMR131C
OG0003331	C7_00550C_A	YOR168W
OG0003332	C5_04910W_A	YGR271C-A
OG0003333	C1_06560W_A	YGR117C
OG0003334	C2_01200C_A	YDR028C
OG0003335	C4_02290W_A	YOR196C
OG0003336	C2_10770W_A	YDR045C
OG0003337	C5_05120W_A	YJL014W
OG0003338	C6_02420W_A	YPL206C
OG0003339	C1_11250W_A	YER016W
OG0003340	C1_08400C_A	YMR189W
OG0003341	C1_07370C_A	YHR084W
OG0003342	C3_04420W_A	YJR036C
OG0003343	C1_10280C_A	YER004W
OG0003344	C3_07380W_A	YBR062C
OG0003345	C4_05220C_A	YOR249C
OG0003346	C2_00030W_A	YKL125W
OG0003347	C4_06430C_A	YEL052W
OG0003348	C1_07660W_A	YKL014C
OG0003349	C1_07550W_A	YKL018W
OG0003350	C1_12820C_A	YBR154C
OG0003351	C2_07430C_A	YDR400W
OG0003352	C1_03270W_A	YMR114C
OG0003353	C4_06790W_A	YLR243W
OG0003354	C4_03390W_A	YDL212W
OG0003355	CR_00640W_A	YNR016C
OG0003356	CR_04380C_A	YDR238C
OG0003357	C7_01730C_A	YJR086W
OG0003358	CR_07090W_A	YLR305C
OG0003359	C1_09780C_A	YLR047C
OG0003360	C3_01300C_A	YNL036W
OG0003361	C7_02840C_A	YMR015C
OG0003362	CR_05180C_A	YLL041C
OG0003363	CR_05080W_A	YPR036W
OG0003364	C2_04710C_A	YNL229C
OG0003365	C1_11910W_A	YOL072W
OG0003366	C1_13970C_A	YBR215W
OG0003367	C1_00430W_A	YFR021W
OG0003368	C4_05860W_A	YNL153C
OG0003369	C3_01910C_A	YDR276C
OG0003370	C1_06390W_A	YJR099W
OG0003371	C5_01210W_A	YKR001C
OG0003372	C6_01910W_A	YDR226W
OG0003373	C1_09860C_A	YKL028W
OG0003374	C7_02940C_A	YOL023W
OG0003375	C1_11510C_A	YPR061C
OG0003376	C1_11160C_A	YIL008W
OG0003377	CR_05800C_A	YLR104W
OG0003378	C1_12830C_A	YOL087C
OG0003379	C2_03870W_A	YFL017C
OG0003380	C1_00590W_A	YOR187W
OG0003381	CR_01400W_A	YIL094C
OG0003382	C2_03410W_A	YHR098C
OG0003383	C1_10380C_A	YNL161W
OG0003384	C2_08020C_A	YGR058W
OG0003385	C2_01640W_A	YBL007C
OG0003386	C4_04290W_A	YGL233W
OG0003387	C3_07210W_A	YBR213W
OG0003388	CR_02360W_A	YLR174W
OG0003389	C5_01480W_A	YLR068W
OG0003390	CR_04540C_A	YIR015W
OG0003391	CR_07510W_A	YER029C
OG0003392	C1_09440W_A	YMR267W
OG0003393	C3_04270C_A	YBR291C
OG0003394	C3_07890W_A	YJR135W-A
OG0003395	C1_00960C_A	YHR119W
OG0003396	C5_00690C_A	YDR460W
OG0003397	C3_01000W_A	YPL217C
OG0003398	C1_06570W_A	YPR128C
OG0003399	C5_02160W_A	YLR452C
OG0003400	C6_03040C_A	YNL325C
OG0003401	CR_03470W_A	YPL014W
OG0003402	CR_02090C_A	YPL228W
OG0003403	C2_02490C_A	YOR291W
OG0003404	C1_12660W_A	YGL086W
OG0003405	CR_09760W_A	YDR308C
OG0003406	CR_00420W_A	YOL137W
OG0003407	C6_00170C_A	YER151C
OG0003408	C7_00760C_A	YLR050C
OG0003409	C4_00340W_A	YHR076W
OG0003410	C5_02480W_B&Allele&of&C5_02480W_A	YJR093C
OG0003411	C4_06270C_A	YGL001C
OG0003412	C3_04900W_A	YDL148C
OG0003413	C4_00880W_A	YER168C
OG0003414	C7_01300C_A	YDR013W
OG0003415	C2_09140C_A	YFR030W
OG0003416	CR_02140W_A	YGR152C
OG0003417	C6_04450W_A	YHL014C
OG0003418	C2_00150W_A	YHR002W
OG0003419	C1_07890C_A	YGL234W
OG0003420	C2_06430C_A	YLR251W
OG0003421	C2_10710W_A	YMR260C
OG0003422	C2_01840C_A	YJR052W
OG0003423	C1_02610W_A	YJR138W
OG0003424	C3_07780C_A	YIL115C
OG0003425	CR_02160W_B&Allele&of&CR_02160W_A	YLR189C
OG0003426	C1_06780W_A	YNL183C
OG0003427	C2_02340C_B&Allele&of&C2_02340C_A	YJR125C
OG0003428	C1_13200C_A	YLR107W
OG0003429	C3_04680W_A	YDR382W
OG0003430	C2_10840W_A	YBR073W
OG0003431	CR_02650C_A	YKR071C
OG0003432	C4_01140C_A	YKL053C-A
OG0003433	C5_03360W_A	YPR187W
OG0003434	C3_05130C_A	YGR144W
OG0003435	C3_04860W_A	YLR403W
OG0003436	C6_00990W_A	YMR063W
OG0003437	C3_00760W_A	YGL012W
OG0003438	CR_00400C_A	YGR002C
OG0003439	C6_02190C_A	YNL307C
OG0003440	C2_06190W_A	YER086W
OG0003441	C5_02180C_A	YLR451W
OG0003442	C5_02320C_A	YCR044C
OG0003443	C4_00570C_A	YGR202C
OG0003444	C2_03160C_A	YER070W
OG0003445	C3_03880C_A	YJL053W
OG0003446	C3_00500C_A	YPL151C
OG0003447	C2_07350W_A	YEL032W
OG0003448	C1_06130C_A	YFL031W
OG0003449	CR_03640C_A	YGR028W
OG0003450	C5_00480C_A	YMR079W
OG0003451	C1_04670W_A	YPL001W
OG0003452	C1_05230W_A	YKL144C
OG0003453	C2_04120C_A	YOL041C
OG0003454	C7_00260C_A	YLR001C
OG0003455	C3_02480C_A	YKR066C
OG0003456	C1_11100W_A	YMR009W
OG0003457	C5_01920C_A	YOL065C
OG0003458	C1_03340C_A	YPL094C
OG0003459	C1_08260C_A	YPR073C
OG0003460	C4_00260W_A	YJR119C
OG0003461	CR_10740W_A	YCR086W
OG0003462	C6_02580W_A	YMR285C
OG0003463	C2_07100W_A	YNR023W
OG0003464	C3_07700W_A	YHR049W
OG0003465	C3_03840C_A	YOR250C
OG0003466	C2_03910C_A	YHR204W
OG0003467	C1_09880C_A	YCR063W
OG0003468	C5_02350C_A	YKL090W
OG0003469	C2_01120W_A	YJL034W
OG0003470	C5_03800W_A	YML030W
OG0003471	C7_01690W_A	YKL084W
OG0003472	C2_03500W_A	YKL176C
OG0003473	C3_05300C_A	YLR133W
OG0003474	C2_08570W_A	YEL036C
OG0003475	C1_02900C_A	YLR424W
OG0003476	C1_11150W_A	YIL007C
OG0003477	C3_07010W_A	YPL188W
OG0003478	C1_03710C_A	YOR188W
OG0003479	C3_00820W_A	YBL011W
OG0003480	C7_01200C_A	YKR024C
OG0003481	CR_03650W_A	YLR336C
OG0003482	C3_00830C_A	YDL164C
OG0003483	CR_03100W_A	YOL034W
OG0003484	C1_01320W_A	YPR125W
OG0003485	C5_01820W_A	YOR027W
OG0003486	CR_05780W_A	YBR127C
OG0003487	C4_03900C_A	YDL090C
OG0003488	C1_08710W_A	YNL050C
OG0003489	C2_00380C_A	YAR007C
OG0003490	C2_07340W_A	YPR144C
OG0003491	C3_05880C_A	YNL016W
OG0003492	C5_01950C_A	YNL294C
OG0003493	C5_01720C_A	YJL204C
OG0003494	C5_00490C_A	YKL092C
OG0003495	CR_09230C_A	YMR029C
OG0003496	CR_03140C_A	YAL014C
OG0003497	C1_14420W_A	YER143W
OG0003498	C1_06400C_A	YPR045C
OG0003499	C3_01490W_A	YOR096W
OG0003500	C2_05140W_A	YAR019C
OG0003501	C4_02830C_A	YJL033W
OG0003502	C2_02350C_A	YDR159W
OG0003503	CR_00780C_A	YFR015C
OG0003504	C1_05170C_A	YOR042W
OG0003505	C4_03170W_A	YDR288W
OG0003506	C5_02980C_A	YHR105W
OG0003507	C4_00350W_A	YDR323C
OG0003508	C4_02700W_A	YER173W
OG0003509	C1_09350W_A	YOR276W
OG0003510	C1_04030W_A	YPL104W
OG0003511	C6_01120C_A	YDR410C
OG0003512	C3_02620C_A	YGL080W
OG0003513	CR_03910C_A	YDR145W
OG0003514	C7_03380W_A	YBL059C-A
OG0003515	C2_10240W_A	YDL022W
OG0003516	C6_04040C_A	YDR388W
OG0003517	C4_00400W_A	YKL064W
OG0003518	C2_08420W_A	YER142C
OG0003519	C3_06600C_A	YMR211W
OG0003520	C6_03400C_A	YDR529C
OG0003521	C6_04310W_A	YOL147C
OG0003522	C1_04340C_A	YMR010W
OG0003523	C2_05500W_A	YPL078C
OG0003524	CR_05940W_A	YBL016W
OG0003525	C5_01740C_A	YCR097W
OG0003526	C2_10140W_A	YMR223W
OG0003527	C6_00530C_A	YOR159C
OG0003528	C5_05130C_A	YDR196C
OG0003529	CR_00290W_A	YGR161C
OG0003530	C1_00330C_A	YDL165W
OG0003531	C7_04200C_A	YKL205W
OG0003532	C1_14380C_A	YPL005W
OG0003533	C2_08310W_A	YDL217C
OG0003534	CR_07580C_A	YER093C
OG0003535	C1_08110W_A	YMR308C
OG0003536	C2_02930C_A	YOR051C
OG0003537	C7_00450C_A	YCL010C
OG0003538	CR_01040C_A	YKL013C
OG0003539	C4_00220C_A	YDL084W
OG0003540	C3_05560W_A	YJL001W
OG0003541	CR_08250C_A	YLL026W
OG0003542	C6_01350W_A	YDR266C
OG0003543	C4_06450W_A	YEL044W
OG0003544	C1_04520C_A	YPL031C
OG0003545	C2_05520W_A	YIL064W
OG0003546	C1_13490C_A	YDL206W
OG0003547	C2_01620W_A	YGL187C
OG0003548	C7_02970W_A	YNR030W
OG0003549	C7_02500C_A	YDR284C
OG0003550	C1_00160C_A	YGR159C
OG0003551	CR_04550W_A	YOL038W
OG0003552	C1_02280C_A	YNL201C
OG0003553	C1_07970C_B&Allele&of&C1_07970C_A	YHR079C
OG0003554	CR_08040W_A	YNL092W
OG0003555	C3_07830W_A	YLR377C
OG0003556	C6_01970C_A	YOL127W
OG0003557	C1_01250W_A	YER080W
OG0003558	CR_00690C_A	YDR221W
OG0003559	CR_08560C_A	YDL064W
OG0003560	C4_02160C_A	YPL109C
OG0003561	C2_05300C_A	YGR165W
OG0003562	C6_01100W_A	YGR009C
OG0003563	C1_05070C_A	YJL062W
OG0003564	C3_04590W_A	YDR381W
OG0003565	C1_02090C_A	YGR093W
OG0003566	C3_05390C_A	YGR216C
OG0003567	C2_10120W_A	YOR281C
OG0003568	C4_05340W_A	YKL022C
OG0003569	C2_09940W_A	YEL009C
OG0003570	C2_06820C_A	YPR103W
OG0003571	C2_09510C_A	YNL083W
OG0003572	C6_03790C_A	YDR536W
OG0003573	C3_06340W_A	YDR305C
OG0003574	CR_10520C_A	YDR489W
OG0003575	C5_01650C_A	YHR023W
OG0003576	C3_01600W_A	YDL134C
OG0003577	C4_05910C_A	YMR231W
OG0003578	C1_09990W_A	YKL212W
OG0003579	C3_06410C_A	YML019W
OG0003580	C3_06800C_A	YLR128W
OG0003581	C1_06110C_A	YBR170C
OG0003582	CR_04120C_A	YHR120W
OG0003583	C3_04390W_A	YEL027W
OG0003584	C2_00770W_A	YOR289W
OG0003585	C4_00520W_A	YLR008C
OG0003586	C2_08180C_A	YKL082C
OG0003587	CR_08960C_A	YDL028C
OG0003588	C4_00790C_A	YMR167W
OG0003589	C4_01870C_A	YMR220W
OG0003590	C3_00260C_A	YBL098W
OG0003591	C3_04450C_A	YMR244W
OG0003592	C7_03710C_A	YPL268W
OG0003593	C2_06300W_A	YLR298C
OG0003594	CR_05970C_A	YDR375C
OG0003595	C1_06630W_A	YPR135W
OG0003596	C1_08030W_A	YOR122C
OG0003597	C5_04660C_A	YGR172C
OG0003598	CR_04810W_A	YNL178W
OG0003599	CR_00320C_A	YKR048C
OG0003600	C1_07460C_A	YDR331W
OG0003601	CR_08630W_A	YHR166C
OG0003602	C3_05070W_A	YER061C
OG0003603	C3_04180W_A	YJL174W
OG0003604	CR_01820W_A	YPL009C
OG0003605	C2_09320C_A	YGR103W
OG0003606	C2_09960W_A	YOR251C
OG0003607	C3_00330W_A	YGR128C
OG0003608	C5_04060C_A	YBR136W
OG0003609	C5_00700C_B&Allele&of&C5_00700C_A	YOL052C
OG0003610	C1_09010W_B&Allele&of&C1_09010W_A	YNL240C
OG0003611	CR_08160W_A	YOR090C
OG0003612	C1_09360C_A	YMR212C
OG0003613	C3_00200C_A	YBR026C
OG0003614	C5_04950C_B&Allele&of&C5_04950C_A	YGR266W
OG0003615	C3_07150C_A	YOR369C
OG0003616	C6_04180W_A	YIL137C
OG0003617	C2_05090W_A	YBR142W
OG0003618	C1_02300W_A	YJL179W
OG0003619	C3_05200W_A	YOL121C
OG0003620	C5_00040C_A	YLR088W
OG0003621	C1_11420W_A	YCL059C
OG0003622	CR_03530W_A	YKR016W
OG0003623	C7_00600C_A	YOR166C
OG0003624	C4_06770W_A	YDR205W
OG0003625	C2_10860C_A	YDR047W
OG0003626	CR_10400W_A	YHR013C
OG0003627	C1_14280C_A	YDR432W
OG0003628	C4_05270C_A	YDL059C
OG0003629	CR_10780C_A	YOR126C
OG0003630	C2_09430W_A	YOR063W
OG0003631	C7_01480W_A	YOL003C
OG0003632	CR_04020C_A	YOR257W
OG0003633	C7_02030W_A	YMR186W
OG0003634	CR_05660W_A	YGR245C
OG0003635	C2_05830C_A	YIL104C
OG0003636	CR_03740C_A	YDR236C
OG0003637	C1_10940C_A	YHR110W
OG0003638	C7_03700C_A	YBR247C
OG0003639	C5_02700W_A	YMR019W
OG0003640	C6_04220C_B&Allele&of&C6_04220C_A	YFL030W
OG0003641	C6_03890C_A	YGL213C
OG0003642	C4_01880W_A	YBR166C
OG0003643	C1_12610W_A	YLR312W-A
OG0003644	C4_06160W_A	YER007W
OG0003645	C5_05380W_A	YDL147W
OG0003646	C7_00180W_A	YJL157C
OG0003647	C6_04160C_A	YCL054W
OG0003648	C6_02790C_A	YOL063C
OG0003649	C4_01760W_A	YPR051W
OG0003650	C4_01260W_B&Allele&of&C4_01260W_A	YBR182C
OG0003651	C1_14100W_A	YKR014C
OG0003652	C3_01770C_A	YDL139C
OG0003653	CR_00570W_A	YBR003W
OG0003654	C1_10040W_A	YML130C
OG0003655	C1_09450C_A	YML103C
OG0003656	C2_00140W_A	YHR124W
OG0003657	C4_05260W_A	YLR384C
OG0003658	C1_13990W_A	YDR067C
OG0003659	C1_02060W_A	YBL029C-A
OG0003660	CR_01690C_A	YPL160W
OG0003661	CR_03040C_A	YBR241C
OG0003662	C1_03310W_A	YPR034W
OG0003663	C2_03950W_A	YMR193W
OG0003664	C2_04590C_A	YJL166W
OG0003665	C1_14010W_A	YPR054W
OG0003666	CR_03130W_A	YJR044C
OG0003667	C7_00570W_A	YPR010C
OG0003668	C1_06960W_A	YJR007W
OG0003669	C1_12580W_A	YDR105C
OG0003670	C5_01460W_A	YNL273W
OG0003671	C3_04470W_A	YBL105C
OG0003672	C1_07390W_A	YDR330W
OG0003673	C7_00530C_A	YOL146W
OG0003674	C6_01980C_A	YNL306W
OG0003675	C1_04820C_A	YPL183W-A
OG0003676	CR_02050C_A	YNL021W
OG0003677	C2_07900W_A	YDL215C
OG0003678	C3_00170C_A	YER072W
OG0003679	C2_04990W_A	YOR060C
OG0003680	C1_03540C_A	YJR118C
OG0003681	C2_00950C_A	YBR087W
