	Metschnikowia_proteae	Saccharomyces_cerevisiae
OG0000580	genemark-proT_s106-processed-gene-2.23-mRNA-1_1&gene=genemark-proT_s106-processed-gene-2.23&CDS=1-1647	YDL153C
OG0000581	snap_masked-proT_s106-processed-gene-2.94-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.94&CDS=1-1596	YDL143W
OG0000582	snap_masked-proT_s106-processed-gene-3.49-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.49&CDS=1-990	YLR215C
OG0000583	maker-proT_s106-snap-gene-3.98-mRNA-1_1&gene=maker-proT_s106-snap-gene-3.98&CDS=1-990	YBR053C
OG0000584	genemark-proT_s106-processed-gene-3.4-mRNA-1_1&gene=genemark-proT_s106-processed-gene-3.4&CDS=1-552	YJR055W
OG0000585	augustus_masked-proT_s106-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-3.102&CDS=1-2193	YMR019W
OG0000586	snap_masked-proT_s106-processed-gene-3.55-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.55&CDS=1-993	YGL215W
OG0000587	snap_masked-proT_s106-processed-gene-3.77-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.77&CDS=1-522	YER030W
OG0000588	snap_masked-proT_s106-processed-gene-3.56-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.56&CDS=1-414	YER029C
OG0000589	snap_masked-proT_s106-processed-gene-3.79-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.79&CDS=1-3084	YGL207W
OG0000590	snap_masked-proT_s106-processed-gene-3.57-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.57&CDS=1-1536	YKL045W
OG0000591	snap_masked-proT_s106-processed-gene-3.82-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.82&CDS=1-780	YJR060W
OG0000592	snap_masked-proT_s106-processed-gene-3.59-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.59&CDS=1-1686	YLR044C
OG0000593	snap_masked-proT_s106-processed-gene-3.60-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.60&CDS=1-2094	YMR301C
OG0000594	augustus_masked-proT_s106-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-3.135&CDS=1-2787	YIL137C
OG0000595	snap_masked-proT_s106-processed-gene-3.62-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.62&CDS=1-1563	YPL204W
OG0000596	snap_masked-proT_s106-processed-gene-3.84-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.84&CDS=1-1539	YPL212C
OG0000597	snap_masked-proT_s106-processed-gene-3.63-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.63&CDS=1-543	YPL211W
OG0000598	snap_masked-proT_s106-processed-gene-3.85-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.85&CDS=1-1437	YGL129C
OG0000599	snap_masked-proT_s106-processed-gene-3.64-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.64&CDS=1-1626	YGL064C
OG0000600	snap_masked-proT_s106-processed-gene-3.65-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.65&CDS=1-1377	YGL067W
OG0000601	snap_masked-proT_s106-processed-gene-3.66-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.66&CDS=1-1071	YPL206C
OG0000602	snap_masked-proT_s106-processed-gene-3.67-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.67&CDS=1-954	YAL032C
OG0000603	genemark-proT_s106-processed-gene-3.20-mRNA-1_1&gene=genemark-proT_s106-processed-gene-3.20&CDS=1-972	YPL215W
OG0000604	snap_masked-proT_s106-processed-gene-3.88-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.88&CDS=1-1944	YPL210C
OG0000605	snap_masked-proT_s106-processed-gene-3.90-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.90&CDS=1-1167	YDR019C
OG0000606	snap_masked-proT_s106-processed-gene-3.69-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.69&CDS=1-8442	YBL088C
OG0000607	snap_masked-proT_s106-processed-gene-3.71-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.71&CDS=1-1758	YPL184C
OG0000608	snap_masked-proT_s106-processed-gene-3.74-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.74&CDS=1-453	YER116C
OG0000609	snap_masked-proT_s106-processed-gene-3.75-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.75&CDS=1-756	YNL305C
OG0000610	maker-proT_s106-augustus-gene-3.48-mRNA-1_1&gene=maker-proT_s106-augustus-gene-3.48&CDS=1-1323	YDL007W
OG0000611	snap_masked-proT_s106-processed-gene-3.76-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.76&CDS=1-2148	YDR496C
OG0000612	maker-proT_s106-snap-gene-4.42-mRNA-1_1&gene=maker-proT_s106-snap-gene-4.42&CDS=1-3564	YGL156W
OG0000613	snap_masked-proT_s106-processed-gene-4.55-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.55&CDS=1-765	YLR022C
OG0000614	snap_masked-proT_s106-processed-gene-4.56-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.56&CDS=1-2193	YDR211W
OG0000615	maker-proT_s106-augustus-gene-4.49-mRNA-1_1&gene=maker-proT_s106-augustus-gene-4.49&CDS=1-2733	YDL128W
OG0000616	snap_masked-proT_s106-processed-gene-4.85-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.85&CDS=1-1662	YDR212W
OG0000617	snap_masked-proT_s106-processed-gene-4.60-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.60&CDS=1-1305	YER061C
OG0000618	augustus_masked-proT_s106-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-4.6&CDS=1-4944	YDL149W
OG0000619	snap_masked-proT_s106-processed-gene-4.88-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.88&CDS=1-681	YGR232W
OG0000620	snap_masked-proT_s106-processed-gene-4.63-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.63&CDS=1-825	YDL193W
OG0000621	genemark-proT_s106-processed-gene-4.139-mRNA-1_1&gene=genemark-proT_s106-processed-gene-4.139&CDS=1-3108	YDL190C
OG0000622	genemark-proT_s106-processed-gene-4.114-mRNA-1_1&gene=genemark-proT_s106-processed-gene-4.114&CDS=1-594	YDL135C
OG0000623	snap_masked-proT_s106-processed-gene-4.91-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.91&CDS=1-2610	YJL092W
OG0000624	snap_masked-proT_s106-processed-gene-4.66-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.66&CDS=1-1770	YHR151C
OG0000625	snap_masked-proT_s106-processed-gene-4.67-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.67&CDS=1-906	YGR231C
OG0000626	snap_masked-proT_s106-processed-gene-4.68-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.68&CDS=1-891	YCL009C
OG0000627	snap_masked-proT_s106-processed-gene-4.70-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.70&CDS=1-1689	YBR200W
OG0000628	snap_masked-proT_s106-processed-gene-4.93-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.93&CDS=1-1377	YGR044C
OG0000629	maker-proT_s106-augustus-gene-4.50-mRNA-1_1&gene=maker-proT_s106-augustus-gene-4.50&CDS=1-1287	YLR105C
OG0000630	snap_masked-proT_s106-processed-gene-4.75-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.75&CDS=1-2259	YDR109C
OG0000631	genemark-proT_s106-processed-gene-4.144-mRNA-1_1&gene=genemark-proT_s106-processed-gene-4.144&CDS=1-3621	YKR056W
OG0000632	maker-proT_s106-snap-gene-4.43-mRNA-1_1&gene=maker-proT_s106-snap-gene-4.43&CDS=1-3255	YBR162C
OG0000633	genemark-proT_s106-processed-gene-4.132-mRNA-1_1&gene=genemark-proT_s106-processed-gene-4.132&CDS=1-1851	YDL185W
OG0000634	snap_masked-proT_s106-processed-gene-4.101-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.101&CDS=1-1083	YDL183C
OG0000635	snap_masked-proT_s106-processed-gene-4.84-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-4.84&CDS=1-1158	YDL133W
OG0000636	snap_masked-proT_s106-processed-gene-5.95-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.95&CDS=1-2754	YPL084W
OG0000637	augustus_masked-proT_s106-processed-gene-5.48-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-5.48&CDS=1-1155	YEL040W
OG0000638	maker-proT_s106-augustus-gene-5.90-mRNA-1_1&gene=maker-proT_s106-augustus-gene-5.90&CDS=1-5157	YDL145C
OG0000639	snap_masked-proT_s106-processed-gene-5.99-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.99&CDS=1-216	YLR218C
OG0000640	augustus_masked-proT_s106-processed-gene-5.50-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-5.50&CDS=1-636	YDL139C
OG0000641	snap_masked-proT_s106-processed-gene-5.101-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.101&CDS=1-1689	YBR170C
OG0000642	snap_masked-proT_s106-processed-gene-5.102-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.102&CDS=1-2082	YPL106C
OG0000643	maker-proT_s106-snap-gene-5.87-mRNA-1_1&gene=maker-proT_s106-snap-gene-5.87&CDS=1-2256	YMR216C
OG0000644	snap_masked-proT_s106-processed-gene-5.124-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.124&CDS=1-1647	YPL086C
OG0000645	snap_masked-proT_s106-processed-gene-5.104-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.104&CDS=1-879	YBR185C
OG0000646	snap_masked-proT_s106-processed-gene-5.125-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.125&CDS=1-1191	YPL054W
OG0000647	snap_masked-proT_s106-processed-gene-5.126-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.126&CDS=1-1770	YMR013C
OG0000648	snap_masked-proT_s106-processed-gene-5.127-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.127&CDS=1-3216	YPL195W
OG0000649	snap_masked-proT_s106-processed-gene-5.128-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.128&CDS=1-2124	YIL108W
OG0000650	genemark-proT_s106-processed-gene-5.16-mRNA-1_1&gene=genemark-proT_s106-processed-gene-5.16&CDS=1-5976	YJL074C
OG0000651	snap_masked-proT_s106-processed-gene-5.130-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.130&CDS=1-1374	YDR023W
OG0000652	snap_masked-proT_s106-processed-gene-5.111-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.111&CDS=1-1371	YDR030C
OG0000653	snap_masked-proT_s106-processed-gene-5.133-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.133&CDS=1-1332	YGL160W
OG0000654	augustus_masked-proT_s106-processed-gene-5.62-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-5.62&CDS=1-513	YJL024C
OG0000655	snap_masked-proT_s106-processed-gene-5.134-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.134&CDS=1-435	YGR174C
OG0000656	snap_masked-proT_s106-processed-gene-5.114-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.114&CDS=1-1779	YDR213W
OG0000657	snap_masked-proT_s106-processed-gene-5.115-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.115&CDS=1-573	YLR229C
OG0000658	snap_masked-proT_s106-processed-gene-5.117-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.117&CDS=1-1473	YBR006W
OG0000659	snap_masked-proT_s106-processed-gene-5.118-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-5.118&CDS=1-438	YBL093C
OG0000660	snap_masked-proT_s106-processed-gene-6.5-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.5&CDS=1-7614	YLR454W
OG0000661	snap_masked-proT_s106-processed-gene-6.4-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.4&CDS=1-420	YBL092W
OG0000662	snap_masked-proT_s106-processed-gene-6.24-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.24&CDS=1-825	YML052W
OG0000663	maker-proT_s106-snap-gene-6.54-mRNA-1_1&gene=maker-proT_s106-snap-gene-6.54&CDS=1-2517	YCR068W
OG0000664	snap_masked-proT_s106-processed-gene-6.8-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.8&CDS=1-1236	YCR066W
OG0000665	snap_masked-proT_s106-processed-gene-6.9-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.9&CDS=1-1491	YHL008C
OG0000666	snap_masked-proT_s106-processed-gene-6.10-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.10&CDS=1-1848	YLR276C
OG0000667	augustus_masked-proT_s106-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-6.65&CDS=1-435	YNL281W
OG0000668	snap_masked-proT_s106-processed-gene-6.28-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.28&CDS=1-2286	YDR485C
OG0000669	augustus_masked-proT_s106-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-6.66&CDS=1-936	YOL096C
OG0000670	snap_masked-proT_s106-processed-gene-6.30-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.30&CDS=1-1566	YNL138W
OG0000671	snap_masked-proT_s106-processed-gene-6.13-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.13&CDS=1-2322	YNL059C
OG0000672	snap_masked-proT_s106-processed-gene-6.31-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.31&CDS=1-1785	YNL061W
OG0000673	snap_masked-proT_s106-processed-gene-6.14-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.14&CDS=1-1398	YNL062C
OG0000674	snap_masked-proT_s106-processed-gene-6.32-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.32&CDS=1-876	YNL063W
OG0000675	augustus_masked-proT_s106-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-6.86&CDS=1-1407	YNL137C
OG0000676	snap_masked-proT_s106-processed-gene-6.35-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.35&CDS=1-1644	YEL063C
OG0000677	snap_masked-proT_s106-processed-gene-6.16-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.16&CDS=1-1872	YNL124W
OG0000678	snap_masked-proT_s106-processed-gene-6.37-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.37&CDS=1-2814	YHR120W
OG0000679	snap_masked-proT_s106-processed-gene-6.38-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.38&CDS=1-2970	YHR119W
OG0000680	maker-proT_s106-augustus-gene-6.0-mRNA-1_1&gene=maker-proT_s106-augustus-gene-6.0&CDS=1-4092	YNL123W
OG0000681	augustus_masked-proT_s106-processed-gene-6.92-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-6.92&CDS=1-3060	YCR017C
OG0000682	maker-proT_s106-snap-gene-6.53-mRNA-1_1&gene=maker-proT_s106-snap-gene-6.53&CDS=1-1041	YBR039W
OG0000683	genemark-proT_s106-processed-gene-6.138-mRNA-1_1&gene=genemark-proT_s106-processed-gene-6.138&CDS=1-1953	YER113C
OG0000684	snap_masked-proT_s106-processed-gene-6.46-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.46&CDS=1-339	YHR116W
OG0000685	maker-proT_s106-snap-gene-6.56-mRNA-1_1&gene=maker-proT_s106-snap-gene-6.56&CDS=1-510	YNL208W
OG0000686	snap_masked-proT_s106-processed-gene-6.21-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.21&CDS=1-1272	YNL119W
OG0000687	snap_masked-proT_s106-processed-gene-6.48-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.48&CDS=1-1002	YIR026C
OG0000688	snap_masked-proT_s106-processed-gene-6.50-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.50&CDS=1-762	YOR258W
OG0000689	snap_masked-proT_s106-processed-gene-6.51-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.51&CDS=1-363	YMR123W
OG0000690	snap_masked-proT_s106-processed-gene-6.23-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-6.23&CDS=1-1818	YER068W
OG0000691	snap_masked-proT_s106-processed-gene-7.9-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.9&CDS=1-2898	YPL040C
OG0000692	maker-proT_s106-snap-gene-7.115-mRNA-1_1&gene=maker-proT_s106-snap-gene-7.115&CDS=1-1386	YNR001C
OG0000693	augustus_masked-proT_s106-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-7.63&CDS=1-1605	YBR163W
OG0000694	augustus_masked-proT_s106-processed-gene-7.66-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-7.66&CDS=1-4038	YOR048C
OG0000695	snap_masked-proT_s106-processed-gene-7.40-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.40&CDS=1-5628	YJL039C
OG0000696	snap_masked-proT_s106-processed-gene-7.42-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.42&CDS=1-1656	YKR097W
OG0000697	augustus_masked-proT_s106-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-7.68&CDS=1-2280	YER041W
OG0000698	genemark-proT_s106-processed-gene-7.131-mRNA-1_1&gene=genemark-proT_s106-processed-gene-7.131&CDS=1-1275	YIL153W
OG0000699	snap_masked-proT_s106-processed-gene-7.44-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.44&CDS=1-4740	YMR247C
OG0000700	snap_masked-proT_s106-processed-gene-7.45-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.45&CDS=1-2025	YHR031C
OG0000701	augustus_masked-proT_s106-processed-gene-7.97-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-7.97&CDS=1-2679	YFL024C
OG0000702	genemark-proT_s106-processed-gene-7.161-mRNA-1_1&gene=genemark-proT_s106-processed-gene-7.161&CDS=1-1620	YHR030C
OG0000703	genemark-proT_s106-processed-gene-7.135-mRNA-1_1&gene=genemark-proT_s106-processed-gene-7.135&CDS=1-1113	YKL120W
OG0000704	genemark-proT_s106-processed-gene-7.136-mRNA-1_1&gene=genemark-proT_s106-processed-gene-7.136&CDS=1-2430	YPL147W
OG0000705	snap_masked-proT_s106-processed-gene-7.23-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.23&CDS=1-1203	YKR048C
OG0000706	snap_masked-proT_s106-processed-gene-7.48-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.48&CDS=1-840	YHR071W
OG0000707	snap_masked-proT_s106-processed-gene-7.49-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.49&CDS=1-2172	YKL025C
OG0000708	snap_masked-proT_s106-processed-gene-7.26-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.26&CDS=1-828	YKL024C
OG0000709	snap_masked-proT_s106-processed-gene-7.50-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.50&CDS=1-801	YGR024C
OG0000710	snap_masked-proT_s106-processed-gene-7.27-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.27&CDS=1-3501	YPR010C
OG0000711	snap_masked-proT_s106-processed-gene-7.51-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.51&CDS=1-4554	YOR153W
OG0000712	snap_masked-proT_s106-processed-gene-7.28-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.28&CDS=1-12495	YKR054C
OG0000713	snap_masked-proT_s106-processed-gene-7.55-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.55&CDS=1-1077	YGR104C
OG0000714	snap_masked-proT_s106-processed-gene-7.56-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.56&CDS=1-228	YGR105W
OG0000715	snap_masked-proT_s106-processed-gene-7.57-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.57&CDS=1-1320	YNL280C
OG0000716	snap_masked-proT_s106-processed-gene-7.31-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.31&CDS=1-1164	YOR063W
OG0000717	snap_masked-proT_s106-processed-gene-7.59-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.59&CDS=1-1494	YMR093W
OG0000718	snap_masked-proT_s106-processed-gene-7.33-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.33&CDS=1-1902	YMR313C
OG0000719	genemark-proT_s106-processed-gene-7.173-mRNA-1_1&gene=genemark-proT_s106-processed-gene-7.173&CDS=1-816	YMR312W
OG0000720	snap_masked-proT_s114-processed-gene-0.54-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.54&CDS=1-750	YHR100C
OG0000721	snap_masked-proT_s114-processed-gene-0.34-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.34&CDS=1-1755	YDR266C
OG0000722	snap_masked-proT_s114-processed-gene-0.57-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.57&CDS=1-1278	YLR203C
OG0000723	snap_masked-proT_s114-processed-gene-0.37-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.37&CDS=1-1635	YMR240C
OG0000724	snap_masked-proT_s114-processed-gene-0.61-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.61&CDS=1-561	YDR056C
OG0000725	snap_masked-proT_s114-processed-gene-0.38-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.38&CDS=1-696	YOR305W
OG0000726	snap_masked-proT_s114-processed-gene-0.62-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.62&CDS=1-921	YLR286C
OG0000727	snap_masked-proT_s114-processed-gene-0.39-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.39&CDS=1-1551	YJL153C
OG0000728	snap_masked-proT_s114-processed-gene-0.41-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.41&CDS=1-252	YMR286W
OG0000729	snap_masked-proT_s114-processed-gene-0.65-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.65&CDS=1-951	YGL138C
OG0000730	snap_masked-proT_s114-processed-gene-0.47-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.47&CDS=1-3528	YPL217C
OG0000731	snap_masked-proT_s114-processed-gene-0.68-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.68&CDS=1-300	YDR377W
OG0000732	snap_masked-proT_s114-processed-gene-0.69-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.69&CDS=1-231	YDR378C
OG0000733	snap_masked-proT_s114-processed-gene-0.52-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.52&CDS=1-1014	YNL080C
OG0000734	snap_masked-proT_s114-processed-gene-0.53-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.53&CDS=1-366	YNL081C
OG0000735	snap_masked-proT_s114-processed-gene-0.70-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-0.70&CDS=1-1551	YDR299W
OG0000736	snap_masked-proT_s114-processed-gene-1.96-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.96&CDS=1-489	YLR074C
OG0000737	maker-proT_s114-augustus-gene-1.141-mRNA-1_1&gene=maker-proT_s114-augustus-gene-1.141&CDS=1-1404	YFL045C
OG0000738	snap_masked-proT_s114-processed-gene-1.104-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.104&CDS=1-2328	YPR091C
OG0000739	maker-proT_s114-augustus-gene-1.145-mRNA-1_1&gene=maker-proT_s114-augustus-gene-1.145&CDS=1-8184	YBR136W
OG0000740	snap_masked-proT_s114-processed-gene-1.105-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.105&CDS=1-1449	YBR133C
OG0000741	snap_masked-proT_s114-processed-gene-1.126-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.126&CDS=1-906	YNL245C
OG0000742	maker-proT_s114-augustus-gene-1.146-mRNA-1_1&gene=maker-proT_s114-augustus-gene-1.146&CDS=1-327	YNL244C
OG0000743	snap_masked-proT_s114-processed-gene-1.107-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.107&CDS=1-1329	YBR029C
OG0000744	snap_masked-proT_s114-processed-gene-1.108-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.108&CDS=1-1788	YGL028C
OG0000745	snap_masked-proT_s114-processed-gene-1.110-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.110&CDS=1-1197	YKL172W
OG0000746	snap_masked-proT_s114-processed-gene-1.111-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.111&CDS=1-1050	YJL167W
OG0000747	snap_masked-proT_s114-processed-gene-1.130-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.130&CDS=1-282	YJL166W
OG0000748	snap_masked-proT_s114-processed-gene-1.112-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.112&CDS=1-2331	YJL176C
OG0000749	snap_masked-proT_s114-processed-gene-1.133-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.133&CDS=1-2853	YKL173W
OG0000750	snap_masked-proT_s114-processed-gene-1.114-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.114&CDS=1-525	YKL016C
OG0000751	snap_masked-proT_s114-processed-gene-1.134-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.134&CDS=1-2706	YMR256C
OG0000752	snap_masked-proT_s114-processed-gene-1.135-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.135&CDS=1-1038	YOL054W
OG0000753	snap_masked-proT_s114-processed-gene-1.115-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.115&CDS=1-1278	YIL063C
OG0000754	snap_masked-proT_s114-processed-gene-1.137-mRNA-1_1&gene=snap_masked-proT_s114-processed-gene-1.137&CDS=1-732	YIL064W
OG0000755	genemark-proT_s114-processed-gene-1.25-mRNA-1_1&gene=genemark-proT_s114-processed-gene-1.25&CDS=1-1278	YBR195C
