	Saccharomyces_cerevisiae	yHAB134_Kazachstania_turicensis
OG0000925	YDL112W	augustus_masked-scf7180000049528-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.79&CDS=1-4272
OG0000926	YDL113C	augustus_masked-scf7180000049528-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.62&CDS=1-1959
OG0000927	YDL114W	snap_masked-scf7180000049528-processed-gene-0.40-mRNA-1_1&gene=snap_masked-scf7180000049528-processed-gene-0.40&CDS=1-1005
OG0000928	YDL115C	augustus_masked-scf7180000049528-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.63&CDS=1-1080
OG0000929	YDL116W	snap_masked-scf7180000049528-processed-gene-0.41-mRNA-1_1&gene=snap_masked-scf7180000049528-processed-gene-0.41&CDS=1-2241
OG0000930	YDL117W	snap_masked-scf7180000049528-processed-gene-0.42-mRNA-1_1&gene=snap_masked-scf7180000049528-processed-gene-0.42&CDS=1-2874
OG0000931	YDL119C	snap_masked-scf7180000049528-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scf7180000049528-processed-gene-0.21&CDS=1-741
OG0000932	YDL121C	snap_masked-scf7180000049359-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000049359-processed-gene-0.1&CDS=1-390
OG0000933	YDL122W	maker-scf7180000049359-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000049359-snap-gene-0.0&CDS=1-2208
OG0000934	YDL123W	snap_masked-scf7180000049585-processed-gene-5.22-mRNA-1_1&gene=snap_masked-scf7180000049585-processed-gene-5.22&CDS=1-369
OG0000935	YDL124W	genemark-scf7180000049585-processed-gene-5.109-mRNA-1_1&gene=genemark-scf7180000049585-processed-gene-5.109&CDS=1-897
OG0000936	YDL125C	augustus_masked-scf7180000049585-processed-gene-5.153-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.153&CDS=1-456
OG0000937	YDL126C	augustus_masked-scf7180000049499-processed-gene-0.225-mRNA-1_1&gene=augustus_masked-scf7180000049499-processed-gene-0.225&CDS=1-2517
OG0000938	YDL127W	snap_masked-scf7180000049585-processed-gene-5.43-mRNA-1_1&gene=snap_masked-scf7180000049585-processed-gene-5.43&CDS=1-936
OG0000939	YDL128W	augustus_masked-scf7180000049499-processed-gene-0.198-mRNA-1_1&gene=augustus_masked-scf7180000049499-processed-gene-0.198&CDS=1-1221
OG0000940	YDL130W	maker-scf7180000049499-augustus-gene-0.158-mRNA-1_1&gene=maker-scf7180000049499-augustus-gene-0.158&CDS=1-318
OG0000941	YDL132W	augustus_masked-scf7180000049585-processed-gene-5.175-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.175&CDS=1-2478
OG0000942	YDL134C	augustus_masked-scf7180000049585-processed-gene-5.154-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.154&CDS=1-1095
OG0000943	YDL135C	augustus_masked-scf7180000049585-processed-gene-5.155-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.155&CDS=1-606
OG0000944	YDL137W	augustus_masked-scf7180000049585-processed-gene-5.179-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.179&CDS=1-543
OG0000945	YDL139C	augustus_masked-scf7180000049585-processed-gene-5.156-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.156&CDS=1-672
OG0000946	YDL140C	augustus_masked-scf7180000049585-processed-gene-5.157-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.157&CDS=1-5187
OG0000947	YDL141W	augustus_masked-scf7180000049585-processed-gene-5.181-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.181&CDS=1-2058
OG0000948	YDL143W	augustus_masked-scf7180000049585-processed-gene-5.182-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.182&CDS=1-1593
OG0000949	YDL144C	augustus_masked-scf7180000049585-processed-gene-5.158-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.158&CDS=1-1062
OG0000950	YDL145C	maker-scf7180000049499-augustus-gene-0.161-mRNA-1_1&gene=maker-scf7180000049499-augustus-gene-0.161&CDS=1-4896
OG0000951	YDL146W	snap_masked-scf7180000049585-processed-gene-5.55-mRNA-1_1&gene=snap_masked-scf7180000049585-processed-gene-5.55&CDS=1-1467
OG0000952	YDL147W	snap_masked-scf7180000049585-processed-gene-5.56-mRNA-1_1&gene=snap_masked-scf7180000049585-processed-gene-5.56&CDS=1-1329
OG0000953	YDL148C	augustus_masked-scf7180000049585-processed-gene-5.159-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.159&CDS=1-2454
OG0000954	YDL149W	augustus_masked-scf7180000049585-processed-gene-5.184-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.184&CDS=1-2682
OG0000955	YDL150W	augustus_masked-scf7180000049585-processed-gene-5.185-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.185&CDS=1-1293
OG0000956	YDL153C	augustus_masked-scf7180000049585-processed-gene-5.160-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.160&CDS=1-1767
OG0000957	YDL154W	genemark-scf7180000049585-processed-gene-5.125-mRNA-1_1&gene=genemark-scf7180000049585-processed-gene-5.125&CDS=1-2535
OG0000958	YDL156W	maker-scf7180000049585-augustus-gene-5.131-mRNA-1_1&gene=maker-scf7180000049585-augustus-gene-5.131&CDS=1-1482
OG0000959	YDL157C	augustus_masked-scf7180000049585-processed-gene-5.161-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.161&CDS=1-297
OG0000960	YDL159W	augustus_masked-scf7180000049585-processed-gene-5.188-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.188&CDS=1-1725
OG0000961	YDL160C	snap_masked-scf7180000049585-processed-gene-5.32-mRNA-1_1&gene=snap_masked-scf7180000049585-processed-gene-5.32&CDS=1-1515
OG0000962	YDL160C-A	snap_masked-scf7180000049585-processed-gene-5.33-mRNA-1_1&gene=snap_masked-scf7180000049585-processed-gene-5.33&CDS=1-243
OG0000963	YDL164C	augustus_masked-scf7180000049464-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000049464-processed-gene-0.40&CDS=1-2040
OG0000964	YDL165W	augustus_masked-scf7180000049464-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000049464-processed-gene-0.27&CDS=1-573
OG0000965	YDL166C	augustus_masked-scf7180000049464-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000049464-processed-gene-0.38&CDS=1-675
OG0000966	YDL167C	augustus_masked-scf7180000049464-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-scf7180000049464-processed-gene-0.37&CDS=1-1755
OG0000967	YDL168W	augustus_masked-scf7180000049464-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000049464-processed-gene-0.26&CDS=1-1137
OG0000968	YDL174C	augustus_masked-scf7180000049464-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scf7180000049464-processed-gene-0.29&CDS=1-1821
OG0000969	YDL177C	augustus_masked-scf7180000049499-processed-gene-0.226-mRNA-1_1&gene=augustus_masked-scf7180000049499-processed-gene-0.226&CDS=1-1023
OG0000970	YDL180W	snap_masked-scf7180000049499-processed-gene-0.36-mRNA-1_1&gene=snap_masked-scf7180000049499-processed-gene-0.36&CDS=1-1674
OG0000971	YDL181W	augustus_masked-scf7180000049499-processed-gene-0.196-mRNA-1_1&gene=augustus_masked-scf7180000049499-processed-gene-0.196&CDS=1-258
OG0000972	YDL183C	snap_masked-scf7180000049499-processed-gene-0.72-mRNA-1_1&gene=snap_masked-scf7180000049499-processed-gene-0.72&CDS=1-885
OG0000973	YDL185W	augustus_masked-scf7180000049585-processed-gene-5.177-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.177&CDS=1-3348
OG0000974	YDL189W	snap_masked-scf7180000049499-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scf7180000049499-processed-gene-0.31&CDS=1-1338
OG0000975	YDL190C	augustus_masked-scf7180000049499-processed-gene-0.223-mRNA-1_1&gene=augustus_masked-scf7180000049499-processed-gene-0.223&CDS=1-2868
OG0000976	YDL193W	snap_masked-scf7180000049499-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scf7180000049499-processed-gene-0.28&CDS=1-1077
OG0000977	YDL195W	augustus_masked-scf7180000049499-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-scf7180000049499-processed-gene-0.188&CDS=1-3849
OG0000978	YDL198C	augustus_masked-scf7180000049534-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000049534-processed-gene-0.6&CDS=1-903
OG0000979	YDL200C	augustus_masked-scf7180000049534-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000049534-processed-gene-0.7&CDS=1-552
OG0000980	YDL201W	augustus_masked-scf7180000049588-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-4.85&CDS=1-885
OG0000981	YDL202W	augustus_masked-scf7180000049534-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000049534-processed-gene-0.11&CDS=1-744
OG0000982	YDL203C	augustus_masked-scf7180000049534-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000049534-processed-gene-0.8&CDS=1-1329
OG0000983	YDL205C	augustus_masked-scf7180000049576-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000049576-processed-gene-0.28&CDS=1-981
OG0000984	YDL206W	augustus_masked-scf7180000049576-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000049576-processed-gene-0.22&CDS=1-2160
OG0000985	YDL207W	augustus_masked-scf7180000049576-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000049576-processed-gene-0.21&CDS=1-1659
OG0000986	YDL208W	augustus_masked-scf7180000049588-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-4.92&CDS=1-450
OG0000987	YDL209C	snap_masked-scf7180000049576-processed-gene-0.16-mRNA-1_1&gene=snap_masked-scf7180000049576-processed-gene-0.16&CDS=1-993
OG0000988	YDL210W	snap_masked-scf7180000049431-processed-gene-0.34-mRNA-1_1&gene=snap_masked-scf7180000049431-processed-gene-0.34&CDS=1-1734
OG0000989	YDL212W	augustus_masked-scf7180000049574-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-0.13&CDS=1-606
OG0000990	YDL213C	augustus_masked-scf7180000049574-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-0.30&CDS=1-648
OG0000991	YDL215C	augustus_masked-scf7180000049574-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-0.28&CDS=1-3243
OG0000992	YDL216C	maker-scf7180000049574-snap-gene-0.76-mRNA-1_1&gene=maker-scf7180000049574-snap-gene-0.76&CDS=1-1281
OG0000993	YDL217C	snap_masked-scf7180000049574-processed-gene-0.102-mRNA-1_1&gene=snap_masked-scf7180000049574-processed-gene-0.102&CDS=1-585
OG0000994	YDL218W	augustus_masked-scf7180000049574-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-0.11&CDS=1-831
OG0000995	YDL219W	maker-scf7180000049574-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000049574-augustus-gene-0.0&CDS=1-453
OG0000996	YDL220C	snap_masked-scf7180000049574-processed-gene-0.101-mRNA-1_1&gene=snap_masked-scf7180000049574-processed-gene-0.101&CDS=1-2451
OG0000997	YDL225W	augustus_masked-scf7180000049574-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-0.9&CDS=1-1722
OG0000998	YDL226C	snap_masked-scf7180000049574-processed-gene-0.97-mRNA-1_1&gene=snap_masked-scf7180000049574-processed-gene-0.97&CDS=1-1095
OG0000999	YDL227C	genemark-scf7180000049574-processed-gene-0.55-mRNA-1_1&gene=genemark-scf7180000049574-processed-gene-0.55&CDS=1-1575
OG0001000	YDL230W	augustus_masked-scf7180000049574-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-0.7&CDS=1-1053
OG0001001	YDL231C	augustus_masked-scf7180000049574-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-0.21&CDS=1-3078
OG0001002	YDL233W	snap_masked-scf7180000049574-processed-gene-0.81-mRNA-1_1&gene=snap_masked-scf7180000049574-processed-gene-0.81&CDS=1-1965
OG0001003	YDL234C	augustus_masked-scf7180000049574-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-0.20&CDS=1-2295
OG0001004	YDL235C	augustus_masked-scf7180000049486-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000049486-processed-gene-0.17&CDS=1-507
OG0001005	YDL236W	augustus_masked-scf7180000049486-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000049486-processed-gene-0.24&CDS=1-927
OG0001006	YDL238C	genemark-scf7180000049486-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000049486-processed-gene-0.1&CDS=1-1461
OG0001007	YDL240W	augustus_masked-scf7180000049486-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000049486-processed-gene-0.26&CDS=1-3006
OG0001008	YDR002W	augustus_masked-scf7180000049590-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-0.114&CDS=1-606
OG0001009	YDR004W	augustus_masked-scf7180000049582-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.119&CDS=1-1422
OG0001010	YDR005C	snap_masked-scf7180000049582-processed-gene-1.24-mRNA-1_1&gene=snap_masked-scf7180000049582-processed-gene-1.24&CDS=1-1248
OG0001011	YDR006C	maker-scf7180000049582-snap-gene-1.40-mRNA-1_1&gene=maker-scf7180000049582-snap-gene-1.40&CDS=1-3078
OG0001012	YDR007W	augustus_masked-scf7180000049590-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-0.110&CDS=1-705
OG0001013	YDR013W	augustus_masked-scf7180000049582-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.98&CDS=1-630
OG0001014	YDR014W	augustus_masked-scf7180000049582-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.114&CDS=1-2028
OG0001015	YDR014W-A	augustus_masked-scf7180000049582-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.113&CDS=1-720
OG0001016	YDR016C	genemark-scf7180000049582-processed-gene-1.55-mRNA-1_1&gene=genemark-scf7180000049582-processed-gene-1.55&CDS=1-300
OG0001017	YDR017C	augustus_masked-scf7180000049582-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.95&CDS=1-3063
OG0001018	YDR019C	augustus_masked-scf7180000049582-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.94&CDS=1-1221
OG0001019	YDR020C	augustus_masked-scf7180000049582-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.93&CDS=1-654
OG0001020	YDR021W	augustus_masked-scf7180000049582-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.112&CDS=1-1212
OG0001021	YDR022C	augustus_masked-scf7180000049582-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.92&CDS=1-507
OG0001022	YDR023W	augustus_masked-scf7180000049582-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.111&CDS=1-1374
OG0001023	YDR026C	augustus_masked-scf7180000049582-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.91&CDS=1-1917
OG0001024	YDR027C	augustus_masked-scf7180000049582-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.90&CDS=1-2745
OG0001025	YDR028C	augustus_masked-scf7180000049582-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.89&CDS=1-2649
OG0001026	YDR030C	augustus_masked-scf7180000049582-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.88&CDS=1-1422
OG0001027	YDR032C	augustus_masked-scf7180000049484-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000049484-processed-gene-0.25&CDS=1-594
OG0001028	YDR034C	augustus_masked-scf7180000049582-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.87&CDS=1-2514
OG0001029	YDR035W	augustus_masked-scf7180000049582-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.86&CDS=1-1122
OG0001030	YDR036C	augustus_masked-scf7180000049582-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.84&CDS=1-1536
OG0001031	YDR037W	augustus_masked-scf7180000049582-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.58&CDS=1-1776
OG0001032	YDR041W	augustus_masked-scf7180000049582-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.57&CDS=1-720
OG0001033	YDR044W	augustus_masked-scf7180000049582-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.56&CDS=1-984
OG0001034	YDR045C	augustus_masked-scf7180000049582-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.43&CDS=1-330
OG0001035	YDR047W	augustus_masked-scf7180000049582-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.53&CDS=1-1083
OG0001036	YDR049W	augustus_masked-scf7180000049582-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.52&CDS=1-1884
OG0001037	YDR050C	augustus_masked-scf7180000049582-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.39&CDS=1-744
OG0001038	YDR051C	snap_masked-scf7180000049582-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000049582-processed-gene-0.9&CDS=1-963
OG0001039	YDR052C	augustus_masked-scf7180000049582-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.37&CDS=1-1956
OG0001040	YDR054C	augustus_masked-scf7180000049582-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.36&CDS=1-972
OG0001041	YDR057W	augustus_masked-scf7180000049582-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.48&CDS=1-1608
OG0001042	YDR058C	genemark-scf7180000049487-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000049487-processed-gene-0.62&CDS=1-1104
OG0001043	YDR060W	augustus_masked-scf7180000049580-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-scf7180000049580-processed-gene-0.73&CDS=1-2904
OG0001044	YDR061W	augustus_masked-scf7180000049585-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-1.16&CDS=1-1647
OG0001045	YDR062W	augustus_masked-scf7180000049585-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-1.17&CDS=1-1725
OG0001046	YDR064W	maker-scf7180000049585-snap-gene-1.82-mRNA-1_1&gene=maker-scf7180000049585-snap-gene-1.82&CDS=1-843
OG0001047	YDR067C	snap_masked-scf7180000049563-processed-gene-0.78-mRNA-1_1&gene=snap_masked-scf7180000049563-processed-gene-0.78&CDS=1-657
OG0001048	YDR068W	augustus_masked-scf7180000049563-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000049563-processed-gene-0.28&CDS=1-1029
OG0001049	YDR069C	augustus_masked-scf7180000049563-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000049563-processed-gene-0.13&CDS=1-2982
OG0001050	YDR070C	augustus_masked-scf7180000049563-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000049563-processed-gene-0.12&CDS=1-300
OG0001051	YDR071C	augustus_masked-scf7180000049563-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000049563-processed-gene-0.11&CDS=1-576
OG0001052	YDR072C	augustus_masked-scf7180000049563-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000049563-processed-gene-0.10&CDS=1-1392
OG0001053	YDR073W	augustus_masked-scf7180000049563-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000049563-processed-gene-0.27&CDS=1-459
OG0001054	YDR074W	maker-scf7180000049563-augustus-gene-0.5-mRNA-1_1&gene=maker-scf7180000049563-augustus-gene-0.5&CDS=1-4068
OG0001055	YDR075W	augustus_masked-scf7180000049462-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000049462-processed-gene-0.5&CDS=1-927
OG0001056	YDR078C	augustus_masked-scf7180000049563-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000049563-processed-gene-0.9&CDS=1-750
OG0001057	YDR079C-A	augustus_masked-scf7180000049563-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000049563-processed-gene-0.8&CDS=1-219
OG0001058	YDR079W	augustus_masked-scf7180000049563-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000049563-processed-gene-0.24&CDS=1-366
OG0001059	YDR080W	augustus_masked-scf7180000049563-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000049563-processed-gene-0.23&CDS=1-2973
OG0001060	YDR081C	snap_masked-scf7180000049563-processed-gene-0.71-mRNA-1_1&gene=snap_masked-scf7180000049563-processed-gene-0.71&CDS=1-2457
OG0001061	YDR082W	snap_masked-scf7180000049587-processed-gene-1.1-mRNA-1_1&gene=snap_masked-scf7180000049587-processed-gene-1.1&CDS=1-1173
OG0001062	YDR083W	augustus_masked-scf7180000049587-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-scf7180000049587-processed-gene-1.51&CDS=1-1164
