	Cyberlindnera_jadinii	Saccharomyces_cerevisiae
OG0000309	genemark-scaffold_2-processed-gene-4.113-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.113&CDS=1-1857	YDR263C, YOR033C
OG0000310	genemark-scaffold_2-processed-gene-4.114-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.114&CDS=1-2103, genemark-scaffold_8-processed-gene-3.17-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.17&CDS=1-2577	YOR032C
OG0000311	augustus_masked-scaffold_2-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.44&CDS=1-5760	YBL106C, YPR032W
OG0000312	snap_masked-scaffold_2-processed-gene-5.128-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.128&CDS=1-555	YGR085C, YPR102C
OG0000313	genemark-scaffold_2-processed-gene-5.12-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.12&CDS=1-1236	YHR179W, YPL171C
OG0000314	snap_masked-scaffold_2-processed-gene-5.140-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.140&CDS=1-480	YBR191W, YPL079W
OG0000315	genemark-scaffold_2-processed-gene-5.49-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.49&CDS=1-1215	YGL071W, YPL202C
OG0000316	genemark-scaffold_2-processed-gene-6.17-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.17&CDS=1-1257	YMR182C, YPL230W
OG0000317	genemark-scaffold_2-processed-gene-7.136-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.136&CDS=1-1770	YKR072C, YOR054C
OG0000318	genemark-scaffold_2-processed-gene-7.148-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.148&CDS=1-690, genemark-scaffold_3-processed-gene-1.19-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.19&CDS=1-687	YHR140W
OG0000319	genemark-scaffold_2-processed-gene-8.53-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.53&CDS=1-2016	YDR146C, YLR131C
OG0000320	genemark-scaffold_2-processed-gene-8.60-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.60&CDS=1-1932	YBR216C, YGL060W
OG0000321	snap_masked-scaffold_2-processed-gene-9.85-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.85&CDS=1-2526	YDR385W, YOR133W
OG0000322	genemark-scaffold_2-processed-gene-9.11-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.11&CDS=1-900	YLR270W, YOR173W
OG0000323	genemark-scaffold_2-processed-gene-10.109-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.109&CDS=1-1368	YOR231W, YPL140C
OG0000324	genemark-scaffold_2-processed-gene-11.55-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.55&CDS=1-1329, snap_masked-scaffold_3-processed-gene-3.138-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.138&CDS=1-1122	YHL028W
OG0000325	genemark-scaffold_2-processed-gene-11.20-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.20&CDS=1-915, genemark-scaffold_7-processed-gene-4.203-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.203&CDS=1-903	YBR085W
OG0000326	genemark-scaffold_2-processed-gene-11.69-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.69&CDS=1-1311	YGR141W, YPR157W
OG0000327	genemark-scaffold_2-processed-gene-11.77-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.77&CDS=1-390	YCL035C, YDR513W
OG0000328	genemark-scaffold_2-processed-gene-11.49-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.49&CDS=1-648, genemark-scaffold_34-processed-gene-0.6-mRNA-1_1&gene=genemark-scaffold_34-processed-gene-0.6&CDS=1-648	YNR018W
OG0000329	genemark-scaffold_2-processed-gene-11.89-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.89&CDS=1-810, genemark-scaffold_34-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_34-processed-gene-0.0&CDS=1-810	YCR047C
OG0000330	augustus_masked-scaffold_2-processed-gene-11.129-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.129&CDS=1-858, genemark-scaffold_34-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_34-processed-gene-0.5&CDS=1-1611	YNR019W
OG0000331	genemark-scaffold_20-processed-gene-0.103-mRNA-1_1&gene=genemark-scaffold_20-processed-gene-0.103&CDS=1-2157	YJR059W, YKL198C
OG0000332	augustus_masked-scaffold_21-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.72&CDS=1-402, genemark-scaffold_36-processed-gene-0.10-mRNA-1_1&gene=genemark-scaffold_36-processed-gene-0.10&CDS=1-513	YAL059W
OG0000333	genemark-scaffold_21-processed-gene-0.139-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.139&CDS=1-1662, genemark-scaffold_36-processed-gene-0.11-mRNA-1_1&gene=genemark-scaffold_36-processed-gene-0.11&CDS=1-1662	YAL058W
OG0000334	genemark-scaffold_21-processed-gene-0.153-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.153&CDS=1-435	YDL083C, YMR143W
OG0000335	augustus_masked-scaffold_38-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scaffold_38-processed-gene-0.11&CDS=1-519, genemark-scaffold_21-processed-gene-0.185-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.185&CDS=1-687	YBR261C
OG0000336	genemark-scaffold_21-processed-gene-0.163-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.163&CDS=1-1770	YLL061W, YPL274W
OG0000337	genemark-scaffold_21-processed-gene-0.196-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.196&CDS=1-912, genemark-scaffold_7-processed-gene-4.233-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.233&CDS=1-927	YGR060W
OG0000338	snap_masked-scaffold_22-processed-gene-0.75-mRNA-1_1&gene=snap_masked-scaffold_22-processed-gene-0.75&CDS=1-261	YJR094W-A, YPR043W
OG0000339	genemark-scaffold_22-processed-gene-0.17-mRNA-1_1&gene=genemark-scaffold_22-processed-gene-0.17&CDS=1-3036	YJR091C, YPR042C
OG0000340	genemark-scaffold_22-processed-gene-0.57-mRNA-1_1&gene=genemark-scaffold_22-processed-gene-0.57&CDS=1-1515, genemark-scaffold_7-processed-gene-1.122-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.122&CDS=1-1557	YLR004C
OG0000341	genemark-scaffold_23-processed-gene-0.121-mRNA-1_1&gene=genemark-scaffold_23-processed-gene-0.121&CDS=1-1323	YBR270C, YJL058C
OG0000342	augustus_masked-scaffold_26-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.50&CDS=1-906, genemark-scaffold_23-processed-gene-0.133-mRNA-1_1&gene=genemark-scaffold_23-processed-gene-0.133&CDS=1-900	YDL052C
OG0000343	genemark-scaffold_23-processed-gene-0.160-mRNA-1_1&gene=genemark-scaffold_23-processed-gene-0.160&CDS=1-789, maker-scaffold_26-augustus-gene-0.146-mRNA-1_1&gene=maker-scaffold_26-augustus-gene-0.146&CDS=1-1239	YDL051W
OG0000344	genemark-scaffold_23-processed-gene-0.134-mRNA-1_1&gene=genemark-scaffold_23-processed-gene-0.134&CDS=1-1623, genemark-scaffold_26-processed-gene-0.143-mRNA-1_1&gene=genemark-scaffold_26-processed-gene-0.143&CDS=1-1623	YMR013C
OG0000345	genemark-scaffold_23-processed-gene-0.136-mRNA-1_1&gene=genemark-scaffold_23-processed-gene-0.136&CDS=1-3024, genemark-scaffold_26-processed-gene-0.141-mRNA-1_1&gene=genemark-scaffold_26-processed-gene-0.141&CDS=1-3024	YBR108W
OG0000346	augustus_masked-scaffold_23-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.104&CDS=1-441, augustus_masked-scaffold_26-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.21&CDS=1-444	YBR109C
OG0000347	genemark-scaffold_23-processed-gene-0.137-mRNA-1_1&gene=genemark-scaffold_23-processed-gene-0.137&CDS=1-1335, snap_masked-scaffold_26-processed-gene-0.92-mRNA-1_1&gene=snap_masked-scaffold_26-processed-gene-0.92&CDS=1-1335	YBR110W
OG0000348	genemark-scaffold_24-processed-gene-0.120-mRNA-1_1&gene=genemark-scaffold_24-processed-gene-0.120&CDS=1-1344, genemark-scaffold_4-processed-gene-2.24-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.24&CDS=1-1206	YAL040C
OG0000349	genemark-scaffold_24-processed-gene-0.160-mRNA-1_1&gene=genemark-scaffold_24-processed-gene-0.160&CDS=1-591, maker-scaffold_7-snap-gene-1.94-mRNA-1_1&gene=maker-scaffold_7-snap-gene-1.94&CDS=1-1059	YKL096W
OG0000350	genemark-scaffold_24-processed-gene-0.161-mRNA-1_1&gene=genemark-scaffold_24-processed-gene-0.161&CDS=1-1206, genemark-scaffold_4-processed-gene-2.21-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.21&CDS=1-1200	YGR110W
OG0000351	augustus_masked-scaffold_24-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-scaffold_24-processed-gene-0.76&CDS=1-1626, genemark-scaffold_3-processed-gene-10.258-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.258&CDS=1-2124	YMR165C
OG0000352	genemark-scaffold_25-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_25-processed-gene-0.5&CDS=1-1008, genemark-scaffold_6-processed-gene-6.35-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.35&CDS=1-1092	YFR045W
OG0000353	genemark-scaffold_25-processed-gene-0.33-mRNA-1_1&gene=genemark-scaffold_25-processed-gene-0.33&CDS=1-2361, genemark-scaffold_6-processed-gene-6.60-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.60&CDS=1-2361	YGL234W
OG0000354	genemark-scaffold_25-processed-gene-0.34-mRNA-1_1&gene=genemark-scaffold_25-processed-gene-0.34&CDS=1-1608, genemark-scaffold_6-processed-gene-6.61-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.61&CDS=1-1608	YDL160C
OG0000355	genemark-scaffold_25-processed-gene-0.6-mRNA-1_1&gene=genemark-scaffold_25-processed-gene-0.6&CDS=1-297, genemark-scaffold_6-processed-gene-6.36-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.36&CDS=1-297	YDL157C
OG0000356	snap_masked-scaffold_25-processed-gene-0.141-mRNA-1_1&gene=snap_masked-scaffold_25-processed-gene-0.141&CDS=1-2232, snap_masked-scaffold_28-processed-gene-0.37-mRNA-1_1&gene=snap_masked-scaffold_28-processed-gene-0.37&CDS=1-1581	YDL170W
OG0000357	maker-scaffold_25-snap-gene-0.69-mRNA-1_1&gene=maker-scaffold_25-snap-gene-0.69&CDS=1-1788	YBR054W, YDR033W
OG0000358	augustus_masked-scaffold_4-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.45&CDS=1-1101, genemark-scaffold_25-processed-gene-0.27-mRNA-1_1&gene=genemark-scaffold_25-processed-gene-0.27&CDS=1-2154	YDL203C
OG0000359	genemark-scaffold_25-processed-gene-0.60-mRNA-1_1&gene=genemark-scaffold_25-processed-gene-0.60&CDS=1-1188, genemark-scaffold_4-processed-gene-0.120-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.120&CDS=1-1188	YGL153W
OG0000360	genemark-scaffold_25-processed-gene-0.62-mRNA-1_1&gene=genemark-scaffold_25-processed-gene-0.62&CDS=1-1719, genemark-scaffold_4-processed-gene-0.122-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.122&CDS=1-1719	YBL039C
OG0000361	augustus_masked-scaffold_25-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-scaffold_25-processed-gene-0.132&CDS=1-567, augustus_masked-scaffold_4-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.73&CDS=1-567	YJR102C
OG0000362	genemark-scaffold_25-processed-gene-0.64-mRNA-1_1&gene=genemark-scaffold_25-processed-gene-0.64&CDS=1-723, genemark-scaffold_4-processed-gene-0.124-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.124&CDS=1-723	YJR101W
OG0000363	maker-scaffold_25-snap-gene-0.71-mRNA-1_1&gene=maker-scaffold_25-snap-gene-0.71&CDS=1-1815, maker-scaffold_4-snap-gene-0.137-mRNA-1_1&gene=maker-scaffold_4-snap-gene-0.137&CDS=1-1815	YJR100C
OG0000364	genemark-scaffold_26-processed-gene-0.129-mRNA-1_1&gene=genemark-scaffold_26-processed-gene-0.129&CDS=1-864	YCR073W-A, YNR034W
OG0000365	genemark-scaffold_26-processed-gene-0.132-mRNA-1_1&gene=genemark-scaffold_26-processed-gene-0.132&CDS=1-1257	YJL139C, YKR061W
OG0000366	genemark-scaffold_26-processed-gene-0.133-mRNA-1_1&gene=genemark-scaffold_26-processed-gene-0.133&CDS=1-1755, genemark-scaffold_4-processed-gene-6.26-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.26&CDS=1-1590	YOR320C
OG0000367	genemark-scaffold_26-processed-gene-0.114-mRNA-1_1&gene=genemark-scaffold_26-processed-gene-0.114&CDS=1-582	YCL026C-A, YCL026C-B
OG0000368	genemark-scaffold_27-processed-gene-0.16-mRNA-1_1&gene=genemark-scaffold_27-processed-gene-0.16&CDS=1-324	YMR230W, YOR293W
OG0000369	genemark-scaffold_27-processed-gene-0.17-mRNA-1_1&gene=genemark-scaffold_27-processed-gene-0.17&CDS=1-708	YBR181C, YPL090C
OG0000370	genemark-scaffold_27-processed-gene-0.41-mRNA-1_1&gene=genemark-scaffold_27-processed-gene-0.41&CDS=1-1155	YDR502C, YLR180W
OG0000371	genemark-scaffold_27-processed-gene-0.25-mRNA-1_1&gene=genemark-scaffold_27-processed-gene-0.25&CDS=1-1479, genemark-scaffold_27-processed-gene-0.26-mRNA-1_1&gene=genemark-scaffold_27-processed-gene-0.26&CDS=1-1479	YBR056W
OG0000372	genemark-scaffold_28-processed-gene-0.79-mRNA-1_1&gene=genemark-scaffold_28-processed-gene-0.79&CDS=1-354	YFL034C-A, YLR061W
OG0000373	genemark-scaffold_28-processed-gene-0.84-mRNA-1_1&gene=genemark-scaffold_28-processed-gene-0.84&CDS=1-2877	YLR031W, YMR124W
OG0000374	genemark-scaffold_28-processed-gene-0.101-mRNA-1_1&gene=genemark-scaffold_28-processed-gene-0.101&CDS=1-2622	YBR033W, YKL038W
OG0000375	genemark-scaffold_29-processed-gene-0.26-mRNA-1_1&gene=genemark-scaffold_29-processed-gene-0.26&CDS=1-1905	YGR241C, YHR161C
OG0000376	genemark-scaffold_29-processed-gene-0.13-mRNA-1_1&gene=genemark-scaffold_29-processed-gene-0.13&CDS=1-534, maker-scaffold_4-snap-gene-5.133-mRNA-1_1&gene=maker-scaffold_4-snap-gene-5.133&CDS=1-3687	YLR149C
OG0000377	augustus_masked-scaffold_3-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.76&CDS=1-1863, genemark-scaffold_3-processed-gene-1.17-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.17&CDS=1-1557	YHR137W
OG0000378	genemark-scaffold_3-processed-gene-0.32-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.32&CDS=1-618, genemark-scaffold_6-processed-gene-0.28-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.28&CDS=1-606	YOL139C
OG0000379	genemark-scaffold_3-processed-gene-1.20-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.20&CDS=1-792	YHR133C, YNL156C
OG0000380	genemark-scaffold_3-processed-gene-1.25-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.25&CDS=1-3261, genemark-scaffold_5-processed-gene-3.21-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.21&CDS=1-3228	YPL160W
OG0000381	maker-scaffold_3-snap-gene-1.165-mRNA-1_1&gene=maker-scaffold_3-snap-gene-1.165&CDS=1-693	YER057C, YIL051C
OG0000382	snap_masked-scaffold_3-processed-gene-1.126-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.126&CDS=1-1614	YER059W, YIL050W
OG0000383	snap_masked-scaffold_3-processed-gene-1.128-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.128&CDS=1-1533	YER054C, YIL045W
OG0000384	genemark-scaffold_3-processed-gene-2.5-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.5&CDS=1-2076	YKL121W, YMR102C
OG0000385	genemark-scaffold_3-processed-gene-3.2-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.2&CDS=1-609, genemark-scaffold_8-processed-gene-4.179-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-4.179&CDS=1-600	YDR032C
OG0000386	genemark-scaffold_3-processed-gene-3.10-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.10&CDS=1-1305	YBR177C, YPL095C
OG0000387	genemark-scaffold_3-processed-gene-3.40-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.40&CDS=1-1152	YCR105W, YMR318C
OG0000388	genemark-scaffold_3-processed-gene-4.43-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.43&CDS=1-1248, snap_masked-scaffold_3-processed-gene-3.135-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.135&CDS=1-1323	YOL140W
OG0000389	genemark-scaffold_8-processed-gene-4.218-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-4.218&CDS=1-1926, snap_masked-scaffold_3-processed-gene-3.162-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.162&CDS=1-1518	YOR373W
OG0000390	genemark-scaffold_3-processed-gene-3.19-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.19&CDS=1-1203, genemark-scaffold_4-processed-gene-2.29-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.29&CDS=1-612	YHR146W
OG0000391	genemark-scaffold_3-processed-gene-4.33-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.33&CDS=1-1020	YKR076W, YMR251W
OG0000392	maker-scaffold_3-snap-gene-5.53-mRNA-1_1&gene=maker-scaffold_3-snap-gene-5.53&CDS=1-1080	YBR189W, YPL081W
OG0000393	genemark-scaffold_3-processed-gene-6.87-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.87&CDS=1-1188	YJL138C, YKR059W
OG0000394	genemark-scaffold_3-processed-gene-6.113-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.113&CDS=1-330	YEL039C, YJR048W
OG0000395	genemark-scaffold_3-processed-gene-6.117-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.117&CDS=1-1722, genemark-scaffold_9-processed-gene-0.82-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.82&CDS=1-1689	YLR044C
OG0000396	genemark-scaffold_3-processed-gene-6.102-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.102&CDS=1-2982	YLR450W, YML075C
OG0000397	genemark-scaffold_3-processed-gene-6.122-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.122&CDS=1-2322	YML111W, YMR275C
OG0000398	genemark-scaffold_3-processed-gene-6.123-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.123&CDS=1-1524	YML116W, YMR279C
OG0000399	genemark-scaffold_3-processed-gene-8.91-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.91&CDS=1-834, genemark-scaffold_7-processed-gene-4.218-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.218&CDS=1-828	YDR090C
OG0000400	maker-scaffold_3-snap-gene-8.142-mRNA-1_1&gene=maker-scaffold_3-snap-gene-8.142&CDS=1-1737, snap_masked-scaffold_7-processed-gene-1.80-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.80&CDS=1-477	YER100W
OG0000401	genemark-scaffold_3-processed-gene-8.119-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.119&CDS=1-1212	YBL069W, YER101C
OG0000402	genemark-scaffold_3-processed-gene-8.106-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.106&CDS=1-603	YBL072C, YER102W
OG0000403	genemark-scaffold_3-processed-gene-8.126-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.126&CDS=1-3384	YOR227W, YPL137C
OG0000404	genemark-scaffold_3-processed-gene-9.118-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.118&CDS=1-1749	YDR497C, YOL103W
OG0000405	genemark-scaffold_3-processed-gene-9.137-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.137&CDS=1-258	YDL130W-A, YDL181W
OG0000406	genemark-scaffold_3-processed-gene-9.129-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.129&CDS=1-477	YER067W, YIL057C
OG0000407	genemark-scaffold_3-processed-gene-10.231-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.231&CDS=1-1281	YOR237W, YPL145C
OG0000408	genemark-scaffold_3-processed-gene-10.237-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.237&CDS=1-1470	YER064C, YIL056W
OG0000409	genemark-scaffold_3-processed-gene-10.255-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.255&CDS=1-1533	YDR501W, YLR183C
OG0000410	snap_masked-scaffold_3-processed-gene-10.44-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.44&CDS=1-264	YDR500C, YLR185W
OG0000411	genemark-scaffold_3-processed-gene-10.222-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.222&CDS=1-1485	YDR505C, YLR177W
OG0000412	genemark-scaffold_33-processed-gene-0.8-mRNA-1_1&gene=genemark-scaffold_33-processed-gene-0.8&CDS=1-2049, genemark-scaffold_5-processed-gene-6.60-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.60&CDS=1-2049	YFR015C
OG0000413	maker-scaffold_4-augustus-gene-0.92-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-0.92&CDS=1-2199	YFR039C, YGL228W
OG0000414	genemark-scaffold_4-processed-gene-1.93-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.93&CDS=1-846	YGL096W, YPL177C
OG0000415	genemark-scaffold_4-processed-gene-1.101-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.101&CDS=1-3396	YAL017W, YOL045W
OG0000416	genemark-scaffold_4-processed-gene-1.103-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.103&CDS=1-2007, genemark-scaffold_8-processed-gene-1.98-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.98&CDS=1-1983	YGL205W
OG0000417	genemark-scaffold_4-processed-gene-1.107-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.107&CDS=1-1206	YPR013C, YPR015C
OG0000418	genemark-scaffold_4-processed-gene-1.125-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.125&CDS=1-1221, snap_masked-scaffold_4-processed-gene-1.74-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.74&CDS=1-3720	YPL123C
OG0000419	genemark-scaffold_4-processed-gene-2.18-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.18&CDS=1-1614, genemark-scaffold_5-processed-gene-2.103-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.103&CDS=1-1608	YGL186C
OG0000420	snap_masked-scaffold_4-processed-gene-3.126-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.126&CDS=1-1158	YCL066W, YCR040W
OG0000421	genemark-scaffold_4-processed-gene-4.15-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.15&CDS=1-3531	YHR155W, YNL257C
OG0000422	genemark-scaffold_4-processed-gene-4.45-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.45&CDS=1-1377	YCL048W, YDR522C
OG0000423	genemark-scaffold_4-processed-gene-4.37-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.37&CDS=1-279	YBR089C-A, YPR052C
OG0000424	genemark-scaffold_4-processed-gene-5.35-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.35&CDS=1-1851	YDR107C, YLR083C
OG0000425	genemark-scaffold_4-processed-gene-5.49-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.49&CDS=1-1584	YGR197C, YJR015W
OG0000426	genemark-scaffold_4-processed-gene-6.35-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.35&CDS=1-456	YGL031C, YGR148C
OG0000427	genemark-scaffold_4-processed-gene-6.24-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.24&CDS=1-2148	YGR221C, YHR149C
OG0000428	genemark-scaffold_4-processed-gene-7.129-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.129&CDS=1-882	YGL162W, YPR009W
OG0000429	genemark-scaffold_4-processed-gene-7.117-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.117&CDS=1-738	YER062C, YIL053W
OG0000430	genemark-scaffold_4-processed-gene-7.119-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.119&CDS=1-2679	YDR206W, YLR233C
OG0000431	genemark-scaffold_4-processed-gene-8.87-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.87&CDS=1-681	YDR391C, YOR013W
OG0000432	genemark-scaffold_4-processed-gene-8.110-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.110&CDS=1-1500	YDR200C, YLR238W
OG0000433	genemark-scaffold_4-processed-gene-8.114-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.114&CDS=1-960	YER045C, YIL036W
