	Eremothecium_sinecaudum	Saccharomyces_cerevisiae
OG0001050	augustus_masked-CP014243.1-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.132&CDS=1-1524	YCL038C
OG0001051	augustus_masked-CP014243.1-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.133&CDS=1-1305	YCL037C
OG0001052	augustus_masked-CP014243.1-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.112&CDS=1-993	YCL034W
OG0001053	genemark-CP014243.1-processed-gene-0.44-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-0.44&CDS=1-414	YCL033C
OG0001054	snap_masked-CP014243.1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-0.66&CDS=1-234	YDR512C
OG0001055	augustus_masked-CP014243.1-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.113&CDS=1-1086	YCL032W
OG0001056	augustus_masked-CP014243.1-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.54&CDS=1-3540	YCL030C
OG0001057	augustus_masked-CP014243.1-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.55&CDS=1-1461	YCL029C
OG0001058	augustus_masked-CP014243.1-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.51&CDS=1-501	YCL028W
OG0001059	augustus_masked-CP014243.1-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.52&CDS=1-1479	YCL027W
OG0001060	augustus_masked-CP014243.1-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.57&CDS=1-3444	YDR507C
OG0001061	augustus_masked-CP014243.1-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.58&CDS=1-1764	YDR506C
OG0001062	augustus_masked-CP014243.1-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.59&CDS=1-2400	YLR177W
OG0001063	augustus_masked-CP014243.1-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.75&CDS=1-618	YLR178C
OG0001064	augustus_masked-CP014243.1-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.60&CDS=1-1146	YDR502C
OG0001065	augustus_masked-CP014243.1-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.76&CDS=1-873	YLR181C
OG0001066	augustus_masked-CP014243.1-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.61&CDS=1-2223	YLR182W
OG0001067	augustus_masked-CP014243.1-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.77&CDS=1-1518	YDR501W
OG0001068	augustus_masked-CP014243.1-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.78&CDS=1-2097	YDR499W
OG0001069	augustus_masked-CP014243.1-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.63&CDS=1-759	YLR186W
OG0001070	augustus_masked-CP014243.1-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.64&CDS=1-1944	YNL279W
OG0001071	augustus_masked-CP014243.1-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.65&CDS=1-2778	YLR187W
OG0001072	genemark-CP014243.1-processed-gene-1.105-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-1.105&CDS=1-1974	YLR188W
OG0001073	augustus_masked-CP014243.1-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.67&CDS=1-1425	YNL277W
OG0001074	maker-CP014243.1-snap-gene-1.47-mRNA-1_1&gene=maker-CP014243.1-snap-gene-1.47&CDS=1-3609	YLR189C
OG0001075	augustus_masked-CP014243.1-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.80&CDS=1-1398	YER019W
OG0001076	maker-CP014243.1-augustus-gene-1.49-mRNA-1_1&gene=maker-CP014243.1-augustus-gene-1.49&CDS=1-3399	YNL275W
OG0001077	snap_masked-CP014243.1-processed-gene-1.24-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-1.24&CDS=1-378	YCR043C
OG0001078	snap_masked-CP014243.1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-1.25&CDS=1-4428	YCR042C
OG0001079	augustus_masked-CP014243.1-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.69&CDS=1-2379	YOR154W
OG0001080	augustus_masked-CP014243.1-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.70&CDS=1-3774	YNL273W
OG0001081	augustus_masked-CP014243.1-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.82&CDS=1-1467	YEL064C
OG0001082	augustus_masked-CP014243.1-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.83&CDS=1-1959	YNL272C
OG0001083	augustus_masked-CP014243.1-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.72&CDS=1-3003	YNL267W
OG0001084	augustus_masked-CP014243.1-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.73&CDS=1-1152	YGR046W
OG0001085	augustus_masked-CP014243.1-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.86&CDS=1-840	YNL265C
OG0001086	augustus_masked-CP014243.1-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.87&CDS=1-3129	YGR047C
OG0001087	augustus_masked-CP014243.1-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-1.74&CDS=1-1050	YGR048W
OG0001088	genemark-CP014243.1-processed-gene-2.2-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-2.2&CDS=1-1044	YNL264C
OG0001089	snap_masked-CP014243.1-processed-gene-2.52-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-2.52&CDS=1-780	YGL128C
OG0001090	genemark-CP014243.1-processed-gene-2.4-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-2.4&CDS=1-879	YNL263C
OG0001091	maker-CP014243.1-augustus-gene-2.135-mRNA-1_1&gene=maker-CP014243.1-augustus-gene-2.135&CDS=1-8010	YNL262W
OG0001092	snap_masked-CP014243.1-processed-gene-2.50-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-2.50&CDS=1-1065	YHR156C
OG0001093	snap_masked-CP014243.1-processed-gene-2.73-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-2.73&CDS=1-480	YNL260C
OG0001094	snap_masked-CP014243.1-processed-gene-2.74-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-2.74&CDS=1-219	YNL259C
OG0001095	snap_masked-CP014243.1-processed-gene-2.75-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-2.75&CDS=1-2187	YNL258C
OG0001096	genemark-CP014243.1-processed-gene-2.27-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-2.27&CDS=1-1170	YDR058C
OG0001097	genemark-CP014243.1-processed-gene-2.29-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-2.29&CDS=1-1413	YGR255C
OG0001098	augustus_masked-CP014243.1-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.99&CDS=1-2409	YNL256W
OG0001099	augustus_masked-CP014243.1-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.119&CDS=1-486	YNL255C
OG0001100	snap_masked-CP014243.1-processed-gene-2.81-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-2.81&CDS=1-1080	YJL203W
OG0001101	maker-CP014243.1-snap-gene-2.46-mRNA-1_1&gene=maker-CP014243.1-snap-gene-2.46&CDS=1-2739	YNL247W
OG0001102	augustus_masked-CP014243.1-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.102&CDS=1-1236	YNL248C
OG0001103	augustus_masked-CP014243.1-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.124&CDS=1-3894	YNL250W
OG0001104	maker-CP014243.1-augustus-gene-2.136-mRNA-1_1&gene=maker-CP014243.1-augustus-gene-2.136&CDS=1-2511	YNL251C
OG0001105	snap_masked-CP014243.1-processed-gene-2.86-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-2.86&CDS=1-1410	YNL253W
OG0001106	augustus_masked-CP014243.1-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.126&CDS=1-504	YBR072W
OG0001107	genemark-CP014243.1-processed-gene-2.12-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-2.12&CDS=1-1164	YNL254C
OG0001108	augustus_masked-CP014243.1-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.105&CDS=1-1935	YJL201W
OG0001109	augustus_masked-CP014243.1-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.108&CDS=1-3777	YJL197W
OG0001110	augustus_masked-CP014243.1-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.128&CDS=1-1005	YCR036W
OG0001111	augustus_masked-CP014243.1-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.109&CDS=1-1116	YCR035C
OG0001112	augustus_masked-CP014243.1-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.129&CDS=1-1044	YCR034W
OG0001113	augustus_masked-CP014243.1-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.130&CDS=1-3930	YCR033W
OG0001114	augustus_masked-CP014243.1-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.110&CDS=1-549	YDL169C
OG0001115	augustus_masked-CP014243.1-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.132&CDS=1-1665	YLR196W
OG0001116	augustus_masked-CP014243.1-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.111&CDS=1-1356	YLR195C
OG0001117	genemark-CP014243.1-processed-gene-2.21-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-2.21&CDS=1-531	YLR193C
OG0001118	augustus_masked-CP014243.1-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.113&CDS=1-6441	YDL171C
OG0001119	augustus_masked-CP014243.1-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.114&CDS=1-795	YLR192C
OG0001120	augustus_masked-CP014243.1-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-2.134&CDS=1-1137	YLR191W
OG0001121	augustus_masked-CP014243.1-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.62&CDS=1-1650	YER086W
OG0001122	augustus_masked-CP014243.1-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.59&CDS=1-1674	YER087W
OG0001123	augustus_masked-CP014243.1-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.63&CDS=1-267	YER019C-A
OG0001124	augustus_masked-CP014243.1-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.60&CDS=1-354	YFR049W
OG0001125	snap_masked-CP014243.1-processed-gene-3.5-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-3.5&CDS=1-1125	YGL248W
OG0001126	maker-CP014243.1-augustus-gene-3.113-mRNA-1_1&gene=maker-CP014243.1-augustus-gene-3.113&CDS=1-2526	YFR050C
OG0001127	augustus_masked-CP014243.1-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.89&CDS=1-1377	YPL120W
OG0001128	augustus_masked-CP014243.1-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.90&CDS=1-1656	YOR205C
OG0001129	augustus_masked-CP014243.1-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.67&CDS=1-2106	YOR206W
OG0001130	augustus_masked-CP014243.1-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.68&CDS=1-681	YPL121C
OG0001131	augustus_masked-CP014243.1-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.69&CDS=1-1515	YPL122C
OG0001132	augustus_masked-CP014243.1-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.92&CDS=1-1917	YOR204W
OG0001133	augustus_masked-CP014243.1-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.70&CDS=1-1023	YPL118W
OG0001134	augustus_masked-CP014243.1-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.93&CDS=1-654	YOR202W
OG0001135	augustus_masked-CP014243.1-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.71&CDS=1-1197	YOR201C
OG0001136	augustus_masked-CP014243.1-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.94&CDS=1-882	YPL117C
OG0001137	augustus_masked-CP014243.1-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.72&CDS=1-1371	YOR198C
OG0001138	augustus_masked-CP014243.1-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.95&CDS=1-1392	YOR197W
OG0001139	augustus_masked-CP014243.1-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.73&CDS=1-2088	YPL116W
OG0001140	augustus_masked-CP014243.1-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.74&CDS=1-1146	YOR196C
OG0001141	augustus_masked-CP014243.1-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.96&CDS=1-3108	YPL115C
OG0001142	augustus_masked-CP014243.1-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.97&CDS=1-2124	YOR195W
OG0001143	augustus_masked-CP014243.1-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.75&CDS=1-714	YOR194C
OG0001144	snap_masked-CP014243.1-processed-gene-3.40-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-3.40&CDS=1-1200	YPL112C
OG0001145	augustus_masked-CP014243.1-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.76&CDS=1-957	YPL111W
OG0001146	augustus_masked-CP014243.1-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.100&CDS=1-3993	YPL110C
OG0001147	maker-CP014243.1-augustus-gene-3.114-mRNA-1_1&gene=maker-CP014243.1-augustus-gene-3.114&CDS=1-1935	YPL109C
OG0001148	augustus_masked-CP014243.1-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.102&CDS=1-549	YBR164C
OG0001149	snap_masked-CP014243.1-processed-gene-3.19-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-3.19&CDS=1-756	YBR165W
OG0001150	augustus_masked-CP014243.1-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.103&CDS=1-1326	YBR166C
OG0001151	snap_masked-CP014243.1-processed-gene-3.20-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-3.20&CDS=1-624	YIR032C
OG0001152	augustus_masked-CP014243.1-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.80&CDS=1-477	YPL108W
OG0001153	augustus_masked-CP014243.1-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.104&CDS=1-402	YBR167C
OG0001154	snap_masked-CP014243.1-processed-gene-3.22-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-3.22&CDS=1-1164	YBR168W
OG0001155	genemark-CP014243.1-processed-gene-3.141-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-3.141&CDS=1-585	YPL107W
OG0001156	augustus_masked-CP014243.1-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.82&CDS=1-609	YBR171W
OG0001157	augustus_masked-CP014243.1-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.107&CDS=1-2157	YPL105C
OG0001158	augustus_masked-CP014243.1-processed-gene-3.108-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.108&CDS=1-447	YBR173C
OG0001159	augustus_masked-CP014243.1-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.83&CDS=1-939	YBR175W
OG0001160	augustus_masked-CP014243.1-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.84&CDS=1-1947	YPL104W
OG0001161	augustus_masked-CP014243.1-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.85&CDS=1-936	YBR176W
OG0001162	augustus_masked-CP014243.1-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.109&CDS=1-1359	YPL103C
OG0001163	augustus_masked-CP014243.1-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.86&CDS=1-1485	YMR023C
OG0001164	augustus_masked-CP014243.1-processed-gene-3.111-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-3.111&CDS=1-345	YKL061W
OG0001165	snap_masked-CP014243.1-processed-gene-3.29-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-3.29&CDS=1-1584	YKL047W
OG0001166	augustus_masked-CP014243.1-processed-gene-4.48-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.48&CDS=1-1167	YMR021C
OG0001167	augustus_masked-CP014243.1-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.52&CDS=1-1566	YMR020W
OG0001168	augustus_masked-CP014243.1-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.49&CDS=1-1509	YKL045W
OG0001169	augustus_masked-CP014243.1-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.51&CDS=1-1041	YKL042W
OG0001170	augustus_masked-CP014243.1-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.53&CDS=1-1461	YMR014W
OG0001171	augustus_masked-CP014243.1-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.54&CDS=1-1464	YMR013C
OG0001172	augustus_masked-CP014243.1-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.74&CDS=1-3723	YMR012W
OG0001173	augustus_masked-CP014243.1-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.56&CDS=1-1674	YNL077W
OG0001174	snap_masked-CP014243.1-processed-gene-4.10-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-4.10&CDS=1-1275	YIL136W
OG0001175	augustus_masked-CP014243.1-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.58&CDS=1-1566	YNL076W
OG0001176	augustus_masked-CP014243.1-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.59&CDS=1-849	YNL075W
OG0001177	genemark-CP014243.1-processed-gene-4.105-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-4.105&CDS=1-1476	YNL073W
OG0001178	augustus_masked-CP014243.1-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.61&CDS=1-930	YNL072W
OG0001179	augustus_masked-CP014243.1-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.62&CDS=1-1356	YNL071W
OG0001180	maker-CP014243.1-snap-gene-4.46-mRNA-1_1&gene=maker-CP014243.1-snap-gene-4.46&CDS=1-1137	YIL134W
OG0001181	augustus_masked-CP014243.1-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.76&CDS=1-2085	YIL131C
OG0001182	augustus_masked-CP014243.1-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.79&CDS=1-906	YIL124W
OG0001183	augustus_masked-CP014243.1-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.80&CDS=1-3057	YIL125W
OG0001184	augustus_masked-CP014243.1-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.65&CDS=1-606	YIL127C
OG0001185	augustus_masked-CP014243.1-processed-gene-4.83-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.83&CDS=1-3033	YIL128W
OG0001186	augustus_masked-CP014243.1-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.66&CDS=1-7353	YIL129C
OG0001187	augustus_masked-CP014243.1-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.84&CDS=1-714	YNL100W
OG0001188	augustus_masked-CP014243.1-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.86&CDS=1-4359	YNL102W
OG0001189	snap_masked-CP014243.1-processed-gene-4.20-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-4.20&CDS=1-867	YOR106W
OG0001190	augustus_masked-CP014243.1-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.87&CDS=1-1533	YNL103W
OG0001191	snap_masked-CP014243.1-processed-gene-4.21-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-4.21&CDS=1-894	YOR107W
OG0001192	augustus_masked-CP014243.1-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-4.88&CDS=1-630	YNL107W
OG0001193	maker-CP014243.1-augustus-gene-4.91-mRNA-1_1&gene=maker-CP014243.1-augustus-gene-4.91&CDS=1-1884	YNL108C
OG0001194	genemark-CP014243.1-processed-gene-4.119-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-4.119&CDS=1-636	YNL110C
OG0001195	genemark-CP014243.1-processed-gene-4.120-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-4.120&CDS=1-381	YNL111C
OG0001196	snap_masked-CP014243.1-processed-gene-4.29-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-4.29&CDS=1-2187	YOR112W
OG0001197	maker-CP014243.1-augustus-gene-5.103-mRNA-1_1&gene=maker-CP014243.1-augustus-gene-5.103&CDS=1-1899	YNL112W
OG0001198	augustus_masked-CP014243.1-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-5.106&CDS=1-2256	YOR113W
OG0001199	augustus_masked-CP014243.1-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-5.110&CDS=1-747	YOR115C
OG0001200	augustus_masked-CP014243.1-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-5.107&CDS=1-1890	YHR114W
OG0001201	augustus_masked-CP014243.1-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-5.108&CDS=1-2004	YNL115C
OG0001202	augustus_masked-CP014243.1-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-5.111&CDS=1-1422	YHR115C
OG0001203	augustus_masked-CP014243.1-processed-gene-5.112-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-5.112&CDS=1-2472	YNL118C
OG0001204	augustus_masked-CP014243.1-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-5.129&CDS=1-1407	YNL119W
OG0001205	augustus_masked-CP014243.1-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-5.113&CDS=1-360	YHR116W
OG0001206	augustus_masked-CP014243.1-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-5.114&CDS=1-1788	YNL121C
