	Metschnikowia_kamakouana	Saccharomyces_cerevisiae
OG0000633	snap_masked-kam_s103-processed-gene-0.122-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.122&CDS=1-1566	YMR015C
OG0000634	snap_masked-kam_s103-processed-gene-0.97-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.97&CDS=1-2094	YLR002C
OG0000635	snap_masked-kam_s103-processed-gene-0.98-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.98&CDS=1-522	YHR193C
OG0000636	snap_masked-kam_s103-processed-gene-0.104-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.104&CDS=1-456	YHR191C
OG0000637	snap_masked-kam_s103-processed-gene-0.128-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.128&CDS=1-1914	YDL057W
OG0000638	snap_masked-kam_s103-processed-gene-0.129-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.129&CDS=1-1278	YFL001W
OG0000639	snap_masked-kam_s103-processed-gene-0.105-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.105&CDS=1-1800	YFL002C
OG0000640	snap_masked-kam_s103-processed-gene-0.130-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.130&CDS=1-1545	YPL003W
OG0000641	snap_masked-kam_s108-processed-gene-0.24-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-0.24&CDS=1-1860	YHR202W
OG0000642	snap_masked-kam_s108-processed-gene-0.38-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-0.38&CDS=1-537	YKL186C
OG0000643	snap_masked-kam_s108-processed-gene-0.26-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-0.26&CDS=1-1446	YKL185W
OG0000644	snap_masked-kam_s108-processed-gene-0.29-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-0.29&CDS=1-1014	YMR276W
OG0000645	augustus_masked-kam_s108-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-kam_s108-processed-gene-0.6&CDS=1-1977	YML114C
OG0000646	snap_masked-kam_s108-processed-gene-0.31-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-0.31&CDS=1-2454	YMR277W
OG0000647	snap_masked-kam_s108-processed-gene-0.32-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-0.32&CDS=1-1503	YLR414C
OG0000648	snap_masked-kam_s108-processed-gene-0.33-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-0.33&CDS=1-1491	YLL036C
OG0000649	snap_masked-kam_s108-processed-gene-0.34-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-0.34&CDS=1-1848	YMR278W
OG0000650	snap_masked-kam_s108-processed-gene-0.39-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-0.39&CDS=1-951	YGL198W
OG0000651	snap_masked-kam_s108-processed-gene-0.40-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-0.40&CDS=1-675	YJL218W
OG0000652	augustus_masked-kam_s108-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-kam_s108-processed-gene-0.12&CDS=1-2175	YLR427W
OG0000653	snap_masked-kam_s108-processed-gene-0.47-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-0.47&CDS=1-1752	YKL191W
OG0000654	augustus_masked-kam_s108-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-kam_s108-processed-gene-1.35&CDS=1-3309	YJL093C
OG0000655	snap_masked-kam_s108-processed-gene-1.72-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-1.72&CDS=1-741	YMR188C
OG0000656	snap_masked-kam_s108-processed-gene-1.73-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-1.73&CDS=1-1191	YIL116W
OG0000657	snap_masked-kam_s108-processed-gene-1.74-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-1.74&CDS=1-603	YLR292C
OG0000658	snap_masked-kam_s108-processed-gene-1.88-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-1.88&CDS=1-1233	YML071C
OG0000659	snap_masked-kam_s108-processed-gene-1.76-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-1.76&CDS=1-1047	YLR447C
OG0000660	augustus_masked-kam_s108-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-kam_s108-processed-gene-1.41&CDS=1-1278	YOR368W
OG0000661	snap_masked-kam_s108-processed-gene-1.78-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-1.78&CDS=1-1140	YBR290W
OG0000662	snap_masked-kam_s108-processed-gene-1.93-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-1.93&CDS=1-864	YBR291C
OG0000663	snap_masked-kam_s108-processed-gene-1.94-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-1.94&CDS=1-1098	YKL028W
OG0000664	snap_masked-kam_s108-processed-gene-1.95-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-1.95&CDS=1-435	YCR063W
OG0000665	snap_masked-kam_s108-processed-gene-1.96-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-1.96&CDS=1-3294	YFR030W
OG0000666	snap_masked-kam_s108-processed-gene-1.83-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-1.83&CDS=1-378	YEL044W
OG0000667	snap_masked-kam_s108-processed-gene-1.99-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-1.99&CDS=1-969	YBR251W
OG0000668	snap_masked-kam_s108-processed-gene-1.100-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-1.100&CDS=1-1365	YGR149W
OG0000669	snap_masked-kam_s108-processed-gene-1.86-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-1.86&CDS=1-1200	YNL175C
OG0000670	snap_masked-kam_s108-processed-gene-1.102-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-1.102&CDS=1-825	YER163C
OG0000671	genemark-kam_s108-processed-gene-2.0-mRNA-1_1&gene=genemark-kam_s108-processed-gene-2.0&CDS=1-2481	YLR138W
OG0000672	snap_masked-kam_s108-processed-gene-2.40-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.40&CDS=1-1290	YLR438W
OG0000673	snap_masked-kam_s108-processed-gene-2.60-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.60&CDS=1-1311	YLR303W
OG0000674	genemark-kam_s108-processed-gene-2.23-mRNA-1_1&gene=genemark-kam_s108-processed-gene-2.23&CDS=1-1296	YDL084W
OG0000675	snap_masked-kam_s108-processed-gene-2.63-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.63&CDS=1-828	YER023W
OG0000676	snap_masked-kam_s108-processed-gene-2.46-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.46&CDS=1-2382	YJR119C
OG0000677	genemark-kam_s108-processed-gene-2.9-mRNA-1_1&gene=genemark-kam_s108-processed-gene-2.9&CDS=1-1509	YJR121W
OG0000678	snap_masked-kam_s108-processed-gene-2.48-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.48&CDS=1-1203	YBL055C
OG0000679	snap_masked-kam_s108-processed-gene-2.67-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.67&CDS=1-2076	YBL051C
OG0000680	snap_masked-kam_s108-processed-gene-2.68-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.68&CDS=1-1692	YER087W
OG0000681	snap_masked-kam_s108-processed-gene-2.51-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.51&CDS=1-1695	YNL227C
OG0000682	snap_masked-kam_s108-processed-gene-2.70-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.70&CDS=1-2286	YNL224C
OG0000683	snap_masked-kam_s108-processed-gene-2.52-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.52&CDS=1-1152	YNL223W
OG0000684	snap_masked-kam_s108-processed-gene-2.53-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.53&CDS=1-675	YNL222W
OG0000685	snap_masked-kam_s108-processed-gene-2.54-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.54&CDS=1-2298	YNL221C
OG0000686	snap_masked-kam_s108-processed-gene-2.71-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.71&CDS=1-2889	YER151C
OG0000687	snap_masked-kam_s108-processed-gene-2.56-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.56&CDS=1-1428	YNL206C
OG0000688	snap_masked-kam_s108-processed-gene-2.57-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.57&CDS=1-1299	YER152C
OG0000689	snap_masked-kam_s108-processed-gene-2.58-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-2.58&CDS=1-1725	YNL115C
OG0000690	snap_masked-kam_s108-processed-gene-3.48-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.48&CDS=1-678	YOR283W
OG0000691	genemark-kam_s108-processed-gene-3.103-mRNA-1_1&gene=genemark-kam_s108-processed-gene-3.103&CDS=1-2268	YOL076W
OG0000692	snap_masked-kam_s108-processed-gene-3.76-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.76&CDS=1-1773	YBR158W
OG0000693	snap_masked-kam_s108-processed-gene-3.52-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.52&CDS=1-1272	YGR285C
OG0000694	snap_masked-kam_s108-processed-gene-3.77-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.77&CDS=1-609	YMR311C
OG0000695	snap_masked-kam_s108-processed-gene-3.78-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.78&CDS=1-1332	YBR166C
OG0000696	snap_masked-kam_s108-processed-gene-3.54-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.54&CDS=1-1305	YMR220W
OG0000697	snap_masked-kam_s108-processed-gene-3.57-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.57&CDS=1-267	YHR005C-A
OG0000698	snap_masked-kam_s108-processed-gene-3.79-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.79&CDS=1-747	YKL087C
OG0000699	snap_masked-kam_s108-processed-gene-3.80-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.80&CDS=1-999	YGR284C
OG0000700	snap_masked-kam_s108-processed-gene-3.81-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.81&CDS=1-732	YGR195W
OG0000701	snap_masked-kam_s108-processed-gene-3.82-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.82&CDS=1-1230	YJR013W
OG0000702	snap_masked-kam_s108-processed-gene-3.59-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.59&CDS=1-1695	YGR186W
OG0000703	snap_masked-kam_s108-processed-gene-3.84-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.84&CDS=1-1095	YGR187C
OG0000704	snap_masked-kam_s108-processed-gene-3.86-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.86&CDS=1-714	YAL049C
OG0000705	genemark-kam_s108-processed-gene-3.140-mRNA-1_1&gene=genemark-kam_s108-processed-gene-3.140&CDS=1-2178	YPL109C
OG0000706	snap_masked-kam_s108-processed-gene-3.60-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.60&CDS=1-294	YGR181W
OG0000707	snap_masked-kam_s108-processed-gene-3.61-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.61&CDS=1-723	YBL041W
OG0000708	snap_masked-kam_s108-processed-gene-3.89-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.89&CDS=1-636	YBL040C
OG0000709	maker-kam_s108-augustus-gene-3.98-mRNA-1_1&gene=maker-kam_s108-augustus-gene-3.98&CDS=1-4833	YDR301W
OG0000710	genemark-kam_s108-processed-gene-3.144-mRNA-1_1&gene=genemark-kam_s108-processed-gene-3.144&CDS=1-189	YGR183C
OG0000711	snap_masked-kam_s108-processed-gene-3.92-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.92&CDS=1-1197	YGR185C
OG0000712	snap_masked-kam_s108-processed-gene-3.67-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.67&CDS=1-345	YLL014W
OG0000713	snap_masked-kam_s108-processed-gene-3.68-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.68&CDS=1-936	YBR231C
OG0000714	snap_masked-kam_s108-processed-gene-3.94-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.94&CDS=1-2097	YGL114W
OG0000715	snap_masked-kam_s108-processed-gene-3.95-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.95&CDS=1-1011	YGL115W
OG0000716	snap_masked-kam_s108-processed-gene-3.97-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-3.97&CDS=1-468	YMR158W
OG0000717	genemark-kam_s108-processed-gene-3.125-mRNA-1_1&gene=genemark-kam_s108-processed-gene-3.125&CDS=1-672	YDL098C
OG0000718	augustus_masked-kam_s108-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-kam_s108-processed-gene-4.61&CDS=1-6153	YDR159W
OG0000719	snap_masked-kam_s108-processed-gene-4.9-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.9&CDS=1-1095	YDR158W
OG0000720	snap_masked-kam_s108-processed-gene-4.10-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.10&CDS=1-1626	YML069W
OG0000721	maker-kam_s108-augustus-gene-4.0-mRNA-1_1&gene=maker-kam_s108-augustus-gene-4.0&CDS=1-2181	YLR152C
OG0000722	snap_masked-kam_s108-processed-gene-4.33-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.33&CDS=1-1836	YLR401C
OG0000723	snap_masked-kam_s108-processed-gene-4.14-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.14&CDS=1-2805	YLR409C
OG0000724	snap_masked-kam_s108-processed-gene-4.15-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.15&CDS=1-3165	YDL077C
OG0000725	snap_masked-kam_s108-processed-gene-4.16-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.16&CDS=1-1614	YDL076C
OG0000726	snap_masked-kam_s108-processed-gene-4.17-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.17&CDS=1-822	YLR407W
OG0000727	snap_masked-kam_s108-processed-gene-4.35-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.35&CDS=1-1128	YOR388C
OG0000728	snap_masked-kam_s108-processed-gene-4.36-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.36&CDS=1-780	YLL041C
OG0000729	genemark-kam_s108-processed-gene-4.134-mRNA-1_1&gene=genemark-kam_s108-processed-gene-4.134&CDS=1-1161	YGR234W
OG0000730	snap_masked-kam_s108-processed-gene-4.39-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.39&CDS=1-669	YJR149W
OG0000731	snap_masked-kam_s108-processed-gene-4.40-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.40&CDS=1-285	YMR225C
OG0000732	snap_masked-kam_s108-processed-gene-4.41-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.41&CDS=1-627	YCR020C
OG0000733	snap_masked-kam_s108-processed-gene-4.42-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.42&CDS=1-855	YEL072W
OG0000734	snap_masked-kam_s108-processed-gene-4.43-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.43&CDS=1-693	YFR042W
OG0000735	snap_masked-kam_s108-processed-gene-4.21-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.21&CDS=1-930	YFR041C
OG0000736	augustus_masked-kam_s108-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-kam_s108-processed-gene-4.92&CDS=1-3693	YJR089W
OG0000737	snap_masked-kam_s108-processed-gene-4.46-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.46&CDS=1-1425	YPR036W
OG0000738	snap_masked-kam_s108-processed-gene-4.47-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.47&CDS=1-999	YOR075W
OG0000739	snap_masked-kam_s108-processed-gene-4.27-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.27&CDS=1-4701	YLR189C
OG0000740	snap_masked-kam_s108-processed-gene-4.28-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.28&CDS=1-1392	YNL277W
OG0000741	snap_masked-kam_s108-processed-gene-4.50-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.50&CDS=1-1659	YCL043C
OG0000742	snap_masked-kam_s108-processed-gene-4.31-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.31&CDS=1-1887	YLR214W
OG0000743	snap_masked-kam_s108-processed-gene-4.51-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.51&CDS=1-1404	YDR036C
OG0000744	snap_masked-kam_s108-processed-gene-4.53-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.53&CDS=1-897	YPL094C
OG0000745	snap_masked-kam_s108-processed-gene-4.56-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.56&CDS=1-2625	YDR074W
OG0000746	snap_masked-kam_s108-processed-gene-5.115-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.115&CDS=1-1851	YER165W
OG0000747	snap_masked-kam_s108-processed-gene-5.116-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.116&CDS=1-4080	YER164W
OG0000748	genemark-kam_s108-processed-gene-5.0-mRNA-1_1&gene=genemark-kam_s108-processed-gene-5.0&CDS=1-5163	YDR091C
OG0000749	snap_masked-kam_s108-processed-gene-5.149-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.149&CDS=1-330	YMR059W
OG0000750	snap_masked-kam_s108-processed-gene-5.119-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.119&CDS=1-852	YMR244W
OG0000751	snap_masked-kam_s108-processed-gene-5.150-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.150&CDS=1-2439	YDR421W
OG0000752	snap_masked-kam_s108-processed-gene-5.153-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.153&CDS=1-1683	YDR101C
OG0000753	snap_masked-kam_s108-processed-gene-5.154-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.154&CDS=1-1536	YMR239C
OG0000754	snap_masked-kam_s108-processed-gene-5.121-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.121&CDS=1-768	YDL202W
OG0000755	snap_masked-kam_s108-processed-gene-5.122-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.122&CDS=1-897	YDL201W
OG0000756	snap_masked-kam_s108-processed-gene-5.155-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.155&CDS=1-894	YDR233C
OG0000757	snap_masked-kam_s108-processed-gene-5.157-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.157&CDS=1-2997	YMR231W
OG0000758	snap_masked-kam_s108-processed-gene-5.123-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.123&CDS=1-2178	YGR128C
OG0000759	maker-kam_s108-augustus-gene-5.175-mRNA-1_1&gene=maker-kam_s108-augustus-gene-5.175&CDS=1-957	YOL102C
OG0000760	genemark-kam_s108-processed-gene-5.11-mRNA-1_1&gene=genemark-kam_s108-processed-gene-5.11&CDS=1-2586	YMR212C
OG0000761	snap_masked-kam_s108-processed-gene-5.158-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.158&CDS=1-504	YOR276W
OG0000762	snap_masked-kam_s108-processed-gene-5.127-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.127&CDS=1-519	YOR252W
OG0000763	snap_masked-kam_s108-processed-gene-5.129-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.129&CDS=1-2574	YER069W
OG0000764	snap_masked-kam_s108-processed-gene-5.130-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.130&CDS=1-1368	YCR095C
OG0000765	snap_masked-kam_s108-processed-gene-5.131-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.131&CDS=1-1998	YDR194C
OG0000766	snap_masked-kam_s108-processed-gene-5.161-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.161&CDS=1-1452	YOR154W
OG0000767	snap_masked-kam_s108-processed-gene-5.132-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.132&CDS=1-1167	YGL246C
OG0000768	snap_masked-kam_s108-processed-gene-5.133-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.133&CDS=1-1452	YDR256C
OG0000769	snap_masked-kam_s108-processed-gene-5.135-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.135&CDS=1-1041	YDL209C
OG0000770	snap_masked-kam_s108-processed-gene-5.136-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.136&CDS=1-444	YPL037C
OG0000771	snap_masked-kam_s108-processed-gene-5.165-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.165&CDS=1-1611	YMR300C
OG0000772	snap_masked-kam_s108-processed-gene-5.166-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.166&CDS=1-1695	YDL160C
OG0000773	snap_masked-kam_s108-processed-gene-5.137-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.137&CDS=1-3126	YNL163C
OG0000774	snap_masked-kam_s108-processed-gene-5.167-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.167&CDS=1-1866	YGR276C
OG0000775	snap_masked-kam_s115-processed-gene-0.22-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.22&CDS=1-900	YJR007W
OG0000776	snap_masked-kam_s115-processed-gene-0.6-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.6&CDS=1-918	YJR008W
OG0000777	snap_masked-kam_s115-processed-gene-0.7-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.7&CDS=1-2067	YJR005W
OG0000778	snap_masked-kam_s115-processed-gene-0.23-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.23&CDS=1-3558	YDR291W
OG0000779	snap_masked-kam_s115-processed-gene-0.8-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.8&CDS=1-1506	YBR056W
OG0000780	snap_masked-kam_s115-processed-gene-0.9-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.9&CDS=1-1221	YPL154C
OG0000781	snap_masked-kam_s115-processed-gene-0.25-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.25&CDS=1-1536	YOL116W
OG0000782	snap_masked-kam_s115-processed-gene-0.12-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.12&CDS=1-1179	YPL165C
OG0000783	snap_masked-kam_s115-processed-gene-0.14-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.14&CDS=1-1668	YPR144C
OG0000784	snap_masked-kam_s115-processed-gene-0.15-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.15&CDS=1-2478	YEL032W
OG0000785	snap_masked-kam_s115-processed-gene-0.16-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.16&CDS=1-747	YPL157W
OG0000786	snap_masked-kam_s115-processed-gene-0.28-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.28&CDS=1-2001	YNR038W
OG0000787	snap_masked-kam_s115-processed-gene-0.17-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.17&CDS=1-273	YNR037C
OG0000788	snap_masked-kam_s115-processed-gene-0.29-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.29&CDS=1-1254	YCR079W
OG0000789	snap_masked-kam_s115-processed-gene-0.31-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.31&CDS=1-975	YML004C
OG0000790	snap_masked-kam_s115-processed-gene-0.18-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.18&CDS=1-900	YBR176W
OG0000791	snap_masked-kam_s115-processed-gene-0.19-mRNA-1_1&gene=snap_masked-kam_s115-processed-gene-0.19&CDS=1-3339	YGR274C
OG0000792	snap_masked-kam_s116-processed-gene-0.11-mRNA-1_1&gene=snap_masked-kam_s116-processed-gene-0.11&CDS=1-2022	YJL090C
OG0000793	maker-kam_s116-augustus-gene-0.16-mRNA-1_1&gene=maker-kam_s116-augustus-gene-0.16&CDS=1-6048	YMR176W
OG0000794	snap_masked-kam_s116-processed-gene-0.5-mRNA-1_1&gene=snap_masked-kam_s116-processed-gene-0.5&CDS=1-1704	YDL210W
OG0000795	snap_masked-kam_s116-processed-gene-0.6-mRNA-1_1&gene=snap_masked-kam_s116-processed-gene-0.6&CDS=1-1896	YML127W
OG0000796	snap_masked-kam_s116-processed-gene-0.8-mRNA-1_1&gene=snap_masked-kam_s116-processed-gene-0.8&CDS=1-1038	YPR127W
OG0000797	snap_masked-kam_s116-processed-gene-0.9-mRNA-1_1&gene=snap_masked-kam_s116-processed-gene-0.9&CDS=1-444	YML094W
OG0000798	snap_masked-kam_s116-processed-gene-0.15-mRNA-1_1&gene=snap_masked-kam_s116-processed-gene-0.15&CDS=1-1068	YML095C
OG0000799	genemark-kam_s116-processed-gene-0.41-mRNA-1_1&gene=genemark-kam_s116-processed-gene-0.41&CDS=1-213	YNL024C-A
OG0000800	snap_masked-kam_s117-processed-gene-0.31-mRNA-1_1&gene=snap_masked-kam_s117-processed-gene-0.31&CDS=1-1242	YDR435C
OG0000801	snap_masked-kam_s117-processed-gene-0.32-mRNA-1_1&gene=snap_masked-kam_s117-processed-gene-0.32&CDS=1-786	YML014W
OG0000802	snap_masked-kam_s117-processed-gene-0.24-mRNA-1_1&gene=snap_masked-kam_s117-processed-gene-0.24&CDS=1-777	YML015C
OG0000803	maker-kam_s117-augustus-gene-0.21-mRNA-1_1&gene=maker-kam_s117-augustus-gene-0.21&CDS=1-1653	YPR060C
OG0000804	snap_masked-kam_s117-processed-gene-0.38-mRNA-1_1&gene=snap_masked-kam_s117-processed-gene-0.38&CDS=1-2646	YOR165W
OG0000805	snap_masked-kam_s117-processed-gene-0.39-mRNA-1_1&gene=snap_masked-kam_s117-processed-gene-0.39&CDS=1-2520	YJL102W
OG0000806	augustus_masked-kam_s117-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-kam_s117-processed-gene-0.16&CDS=1-1062	YEL004W
OG0000807	snap_masked-kam_s117-processed-gene-0.28-mRNA-1_1&gene=snap_masked-kam_s117-processed-gene-0.28&CDS=1-2319	YPL153C
OG0000808	genemark-kam_s117-processed-gene-0.64-mRNA-1_1&gene=genemark-kam_s117-processed-gene-0.64&CDS=1-1842	YPL155C
OG0000809	augustus_masked-kam_s117-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-kam_s117-processed-gene-0.18&CDS=1-867	YOR242C
OG0000810	snap_masked-kam_s117-processed-gene-0.30-mRNA-1_1&gene=snap_masked-kam_s117-processed-gene-0.30&CDS=1-2169	YOR243C
OG0000811	snap_masked-kam_s119-processed-gene-0.0-mRNA-1_1&gene=snap_masked-kam_s119-processed-gene-0.0&CDS=1-615	YJR102C
OG0000812	snap_masked-kam_s119-processed-gene-0.2-mRNA-1_1&gene=snap_masked-kam_s119-processed-gene-0.2&CDS=1-1725	YBL039C
OG0000813	snap_masked-kam_s119-processed-gene-0.5-mRNA-1_1&gene=snap_masked-kam_s119-processed-gene-0.5&CDS=1-927	YJR088C
