	Candida_orthopsilosis	Saccharomyces_cerevisiae
OG0000706	snap_masked-NC_018292.1-processed-gene-9.58-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-9.58&CDS=1-630	YBL102W
OG0000707	genemark-NC_018292.1-processed-gene-9.123-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-9.123&CDS=1-456	YDL125C
OG0000708	genemark-NC_018292.1-processed-gene-9.110-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-9.110&CDS=1-2433	YDL126C
OG0000709	maker-NC_018292.1-augustus-gene-9.149-mRNA-1_1&gene=maker-NC_018292.1-augustus-gene-9.149&CDS=1-1839	YGR149W
OG0000710	genemark-NC_018292.1-processed-gene-9.131-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-9.131&CDS=1-2751	YIL109C
OG0000711	genemark-NC_018292.1-processed-gene-9.133-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-9.133&CDS=1-6987	YNL051W
OG0000712	genemark-NC_018292.1-processed-gene-9.135-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-9.135&CDS=1-1929	YMR284W
OG0000713	genemark-NC_018292.1-processed-gene-9.116-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-9.116&CDS=1-435	YJR058C
OG0000714	genemark-NC_018292.1-processed-gene-9.136-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-9.136&CDS=1-672	YJR057W
OG0000715	snap_masked-NC_018292.1-processed-gene-9.70-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-9.70&CDS=1-267	YNL138W-A
OG0000716	genemark-NC_018292.1-processed-gene-10.44-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.44&CDS=1-1689	YMR250W
OG0000717	genemark-NC_018292.1-processed-gene-10.41-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.41&CDS=1-1821	YKL212W
OG0000718	genemark-NC_018292.1-processed-gene-10.46-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.46&CDS=1-1770	YNR055C
OG0000719	genemark-NC_018292.1-processed-gene-10.51-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.51&CDS=1-2898	YLR129W
OG0000720	genemark-NC_018292.1-processed-gene-10.52-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.52&CDS=1-3000	YOL051W
OG0000721	genemark-NC_018292.1-processed-gene-10.53-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.53&CDS=1-504	YPR073C
OG0000722	genemark-NC_018292.1-processed-gene-10.54-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.54&CDS=1-1920	YIL038C
OG0000723	genemark-NC_018292.1-processed-gene-10.56-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.56&CDS=1-2043	YBR117C
OG0000724	genemark-NC_018292.1-processed-gene-10.71-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.71&CDS=1-3936	YAR042W
OG0000725	genemark-NC_018292.1-processed-gene-10.72-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.72&CDS=1-1596	YER014W
OG0000726	snap_masked-NC_018292.1-processed-gene-10.36-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-10.36&CDS=1-1032	YGR210C
OG0000727	genemark-NC_018292.1-processed-gene-10.58-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.58&CDS=1-519	YMR071C
OG0000728	genemark-NC_018292.1-processed-gene-10.60-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.60&CDS=1-2202	YLR047C
OG0000729	genemark-NC_018292.1-processed-gene-10.61-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.61&CDS=1-1089	YGR112W
OG0000730	genemark-NC_018292.1-processed-gene-10.75-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.75&CDS=1-882	YER083C
OG0000731	genemark-NC_018292.1-processed-gene-10.76-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.76&CDS=1-783	YGR113W
OG0000732	genemark-NC_018292.1-processed-gene-10.64-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.64&CDS=1-1107	YJL145W
OG0000733	genemark-NC_018292.1-processed-gene-10.77-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.77&CDS=1-1317	YKL216W
OG0000734	genemark-NC_018292.1-processed-gene-10.65-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.65&CDS=1-1569	YER082C
OG0000735	genemark-NC_018292.1-processed-gene-10.66-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.66&CDS=1-4146	YPR189W
OG0000736	genemark-NC_018292.1-processed-gene-11.3-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-11.3&CDS=1-2094	YKL188C
OG0000737	genemark-NC_018292.1-processed-gene-11.7-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-11.7&CDS=1-924	YJR077C
OG0000738	genemark-NC_018292.1-processed-gene-11.9-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-11.9&CDS=1-696	YJL148W
OG0000739	augustus_masked-NC_018292.1-processed-gene-11.89-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-11.89&CDS=1-4875	YER010C
OG0000740	genemark-NC_018292.1-processed-gene-11.23-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-11.23&CDS=1-2892	YIL075C
OG0000741	genemark-NC_018292.1-processed-gene-11.24-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-11.24&CDS=1-1389	YER081W
OG0000742	genemark-NC_018292.1-processed-gene-11.26-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-11.26&CDS=1-453	YPR168W
OG0000743	maker-NC_018292.1-snap-gene-11.79-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-11.79&CDS=1-1941	YJR111C
OG0000744	maker-NC_018292.1-snap-gene-11.80-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-11.80&CDS=1-4353	YJR110W
OG0000745	genemark-NC_018292.1-processed-gene-11.30-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-11.30&CDS=1-1734	YPR169W
OG0000746	genemark-NC_018292.1-processed-gene-11.35-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-11.35&CDS=1-882	YKL019W
OG0000747	genemark-NC_018292.1-processed-gene-11.18-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-11.18&CDS=1-1326	YMR209C
OG0000748	maker-NC_018292.1-augustus-gene-11.1-mRNA-1_1&gene=maker-NC_018292.1-augustus-gene-11.1&CDS=1-1782	YOR272W
OG0000749	genemark-NC_018292.1-processed-gene-11.20-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-11.20&CDS=1-837	YIL093C
OG0000750	genemark-NC_018292.1-processed-gene-11.39-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-11.39&CDS=1-2514	YER130C
OG0000751	genemark-NC_018292.1-processed-gene-11.21-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-11.21&CDS=1-2985	YIL107C
OG0000752	genemark-NC_018292.1-processed-gene-12.33-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.33&CDS=1-1491	YNL241C
OG0000753	genemark-NC_018292.1-processed-gene-12.34-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.34&CDS=1-1503	YBR028C
OG0000754	genemark-NC_018292.1-processed-gene-12.37-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.37&CDS=1-2178	YHR072W
OG0000755	genemark-NC_018292.1-processed-gene-12.35-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.35&CDS=1-3519	YGR090W
OG0000756	genemark-NC_018292.1-processed-gene-12.38-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.38&CDS=1-1479	YDL013W
OG0000757	maker-NC_018292.1-snap-gene-12.77-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-12.77&CDS=1-2244	YBR203W
OG0000758	genemark-NC_018292.1-processed-gene-12.40-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.40&CDS=1-1194	YER009W
OG0000759	snap_masked-NC_018292.1-processed-gene-12.93-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-12.93&CDS=1-1122	YCL027W
OG0000760	genemark-NC_018292.1-processed-gene-12.61-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.61&CDS=1-3084	YLR187W
OG0000761	genemark-NC_018292.1-processed-gene-12.46-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.46&CDS=1-2109	YFR015C
OG0000762	genemark-NC_018292.1-processed-gene-12.47-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.47&CDS=1-1794	YBR007C
OG0000763	genemark-NC_018292.1-processed-gene-12.48-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.48&CDS=1-2073	YPR045C
OG0000764	genemark-NC_018292.1-processed-gene-12.65-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.65&CDS=1-726	YJR099W
OG0000765	genemark-NC_018292.1-processed-gene-12.66-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.66&CDS=1-3999	YOR291W
OG0000766	genemark-NC_018292.1-processed-gene-12.49-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.49&CDS=1-1755	YMR227C
OG0000767	snap_masked-NC_018292.1-processed-gene-12.98-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-12.98&CDS=1-1635	YHL011C
OG0000768	genemark-NC_018292.1-processed-gene-12.52-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.52&CDS=1-1680	YHL010C
OG0000769	genemark-NC_018292.1-processed-gene-12.54-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.54&CDS=1-5115	YMR229C
OG0000770	maker-NC_018292.1-snap-gene-12.80-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-12.80&CDS=1-1416	YHL020C
OG0000771	genemark-NC_018292.1-processed-gene-12.56-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.56&CDS=1-2856	YBR017C
OG0000772	genemark-NC_018292.1-processed-gene-12.68-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.68&CDS=1-618	YDR437W
OG0000773	genemark-NC_018292.1-processed-gene-12.69-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.69&CDS=1-642	YDL018C
OG0000774	maker-NC_018292.1-snap-gene-12.81-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-12.81&CDS=1-945	YGR165W
OG0000775	genemark-NC_018292.1-processed-gene-12.57-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-12.57&CDS=1-1836	YDL017W
OG0000776	genemark-NC_018292.1-processed-gene-13.2-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.2&CDS=1-1008	YPR110C
OG0000777	genemark-NC_018292.1-processed-gene-13.4-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.4&CDS=1-1569	YAR014C
OG0000778	maker-NC_018292.1-snap-gene-13.115-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-13.115&CDS=1-4143	YKR081C
OG0000779	genemark-NC_018292.1-processed-gene-13.21-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.21&CDS=1-375	YKR083C
OG0000780	snap_masked-NC_018292.1-processed-gene-13.97-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-13.97&CDS=1-957	YOR074C
OG0000781	snap_masked-NC_018292.1-processed-gene-13.99-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-13.99&CDS=1-666	YBL095W
OG0000782	snap_masked-NC_018292.1-processed-gene-13.85-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-13.85&CDS=1-2055	YDR496C
OG0000783	genemark-NC_018292.1-processed-gene-13.27-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.27&CDS=1-1353	YNL323W
OG0000784	genemark-NC_018292.1-processed-gene-13.11-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.11&CDS=1-663	YDL235C
OG0000785	genemark-NC_018292.1-processed-gene-13.28-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.28&CDS=1-1761	YNL219C
OG0000786	genemark-NC_018292.1-processed-gene-13.30-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.30&CDS=1-3006	YAL035W
OG0000787	maker-NC_018292.1-augustus-gene-13.74-mRNA-1_1&gene=maker-NC_018292.1-augustus-gene-13.74&CDS=1-4347	YMR308C
OG0000788	genemark-NC_018292.1-processed-gene-13.31-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.31&CDS=1-1239	YGR117C
OG0000789	genemark-NC_018292.1-processed-gene-13.14-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.14&CDS=1-945	YPR128C
OG0000790	genemark-NC_018292.1-processed-gene-13.15-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.15&CDS=1-1224	YOL072W
OG0000791	genemark-NC_018292.1-processed-gene-13.32-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.32&CDS=1-2778	YLR319C
OG0000792	genemark-NC_018292.1-processed-gene-13.16-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.16&CDS=1-1155	YPR133C
OG0000793	genemark-NC_018292.1-processed-gene-13.34-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.34&CDS=1-1083	YCR035C
OG0000794	genemark-NC_018292.1-processed-gene-13.17-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.17&CDS=1-6384	YDL171C
OG0000795	genemark-NC_018292.1-processed-gene-13.37-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.37&CDS=1-573	YPR131C
OG0000796	genemark-NC_018292.1-processed-gene-13.38-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.38&CDS=1-2505	YPR135W
OG0000797	genemark-NC_018292.1-processed-gene-13.19-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-13.19&CDS=1-3117	YLR240W
OG0000798	genemark-NC_018292.1-processed-gene-14.95-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.95&CDS=1-3297	YDL117W
OG0000799	genemark-NC_018292.1-processed-gene-14.96-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.96&CDS=1-1461	YGL055W
OG0000800	genemark-NC_018292.1-processed-gene-14.97-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.97&CDS=1-471	YOR357C
OG0000801	genemark-NC_018292.1-processed-gene-14.99-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.99&CDS=1-1188	YGL246C
OG0000802	genemark-NC_018292.1-processed-gene-14.98-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.98&CDS=1-429	YNL185C
OG0000803	genemark-NC_018292.1-processed-gene-14.119-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.119&CDS=1-1407	YNL181W
OG0000804	genemark-NC_018292.1-processed-gene-14.101-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.101&CDS=1-1557	YNL182C
OG0000805	snap_masked-NC_018292.1-processed-gene-14.55-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-14.55&CDS=1-642	YDL213C
OG0000806	genemark-NC_018292.1-processed-gene-14.125-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.125&CDS=1-1896	YPL247C
OG0000807	genemark-NC_018292.1-processed-gene-14.126-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.126&CDS=1-3066	YMR189W
OG0000808	genemark-NC_018292.1-processed-gene-14.107-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.107&CDS=1-2814	YMR125W
OG0000809	genemark-NC_018292.1-processed-gene-14.108-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.108&CDS=1-999	YFL028C
OG0000810	genemark-NC_018292.1-processed-gene-14.110-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.110&CDS=1-444	YDR462W
OG0000811	genemark-NC_018292.1-processed-gene-14.134-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.134&CDS=1-1383	YLR231C
OG0000812	maker-NC_018292.1-augustus-gene-14.0-mRNA-1_1&gene=maker-NC_018292.1-augustus-gene-14.0&CDS=1-546	YJL024C
OG0000813	genemark-NC_018292.1-processed-gene-14.135-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.135&CDS=1-441	YGR174C
OG0000814	genemark-NC_018292.1-processed-gene-14.115-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.115&CDS=1-573	YLR229C
OG0000815	genemark-NC_018292.1-processed-gene-14.137-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.137&CDS=1-1863	YCR061W
OG0000816	genemark-NC_018292.1-processed-gene-14.138-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.138&CDS=1-2277	YNL161W
OG0000817	snap_masked-NC_018292.1-processed-gene-14.93-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-14.93&CDS=1-1896	YOR322C
OG0000818	genemark-NC_018292.1-processed-gene-14.117-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.117&CDS=1-1230	YLR085C
OG0000819	augustus_masked-NC_018292.1-processed-gene-14.46-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-14.46&CDS=1-921	YMR281W
OG0000820	snap_masked-NC_018292.1-processed-gene-15.45-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-15.45&CDS=1-1203	YHR189W
OG0000821	maker-NC_018292.1-augustus-gene-15.2-mRNA-1_1&gene=maker-NC_018292.1-augustus-gene-15.2&CDS=1-3132	YOR274W
OG0000822	genemark-NC_018292.1-processed-gene-15.103-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.103&CDS=1-534	YOR252W
OG0000823	genemark-NC_018292.1-processed-gene-15.86-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.86&CDS=1-537	YOR276W
OG0000824	genemark-NC_018292.1-processed-gene-15.105-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.105&CDS=1-2922	YMR212C
OG0000825	genemark-NC_018292.1-processed-gene-15.87-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.87&CDS=1-1833	YMR213W
OG0000826	genemark-NC_018292.1-processed-gene-15.88-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.88&CDS=1-2304	YOR275C
OG0000827	genemark-NC_018292.1-processed-gene-15.91-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.91&CDS=1-2562	YER069W
OG0000828	maker-NC_018292.1-snap-gene-15.119-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-15.119&CDS=1-1422	YCR095C
OG0000829	genemark-NC_018292.1-processed-gene-15.106-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.106&CDS=1-534	YNR049C
OG0000830	genemark-NC_018292.1-processed-gene-15.93-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.93&CDS=1-1950	YDR194C
OG0000831	genemark-NC_018292.1-processed-gene-15.107-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.107&CDS=1-1740	YOR154W
OG0000832	genemark-NC_018292.1-processed-gene-15.108-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.108&CDS=1-1062	YLR321C
OG0000833	snap_masked-NC_018292.1-processed-gene-15.69-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-15.69&CDS=1-1074	YLR316C
OG0000834	augustus_masked-NC_018292.1-processed-gene-15.21-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-15.21&CDS=1-2625	YLR318W
OG0000835	genemark-NC_018292.1-processed-gene-15.112-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.112&CDS=1-462	YGL187C
OG0000836	genemark-NC_018292.1-processed-gene-15.97-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.97&CDS=1-1557	YGL190C
OG0000837	genemark-NC_018292.1-processed-gene-15.113-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.113&CDS=1-390	YGL191W
OG0000838	genemark-NC_018292.1-processed-gene-16.57-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.57&CDS=1-1266	YDL209C
OG0000839	genemark-NC_018292.1-processed-gene-16.58-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.58&CDS=1-429	YDR510W
OG0000840	genemark-NC_018292.1-processed-gene-16.41-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.41&CDS=1-1896	YNL279W
OG0000841	genemark-NC_018292.1-processed-gene-16.60-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.60&CDS=1-2277	YDR499W
OG0000842	genemark-NC_018292.1-processed-gene-16.43-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.43&CDS=1-843	YLR186W
OG0000843	genemark-NC_018292.1-processed-gene-16.44-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.44&CDS=1-1092	YCL059C
OG0000844	genemark-NC_018292.1-processed-gene-16.63-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.63&CDS=1-3660	YCL061C
OG0000845	genemark-NC_018292.1-processed-gene-16.46-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.46&CDS=1-1155	YDR502C
OG0000846	genemark-NC_018292.1-processed-gene-16.65-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.65&CDS=1-3267	YNL163C
OG0000847	genemark-NC_018292.1-processed-gene-16.66-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.66&CDS=1-1806	YJL103C
OG0000848	augustus_masked-NC_018292.1-processed-gene-16.29-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-16.29&CDS=1-3228	YMR038C
OG0000849	genemark-NC_018292.1-processed-gene-16.71-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.71&CDS=1-801	YPR060C
OG0000850	genemark-NC_018292.1-processed-gene-16.72-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.72&CDS=1-957	YPR061C
OG0000851	genemark-NC_018292.1-processed-gene-16.75-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.75&CDS=1-1677	YML123C
OG0000852	genemark-NC_018292.1-processed-gene-16.76-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.76&CDS=1-1665	YGR276C
OG0000853	genemark-NC_018292.1-processed-gene-16.52-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.52&CDS=1-3084	YGR274C
OG0000854	genemark-NC_018292.1-processed-gene-16.55-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.55&CDS=1-1587	YMR300C
OG0000855	genemark-NC_018292.1-processed-gene-16.56-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.56&CDS=1-1005	YGL225W
OG0000856	genemark-NC_018292.1-processed-gene-17.43-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.43&CDS=1-2973	YGL238W
OG0000857	genemark-NC_018292.1-processed-gene-17.46-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.46&CDS=1-1059	YGL237C
OG0000858	genemark-NC_018292.1-processed-gene-17.47-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.47&CDS=1-906	YLR003C
OG0000859	genemark-NC_018292.1-processed-gene-17.45-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.45&CDS=1-2052	YGL236C
OG0000860	genemark-NC_018292.1-processed-gene-17.48-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.48&CDS=1-1209	YFR045W
OG0000861	augustus_masked-NC_018292.1-processed-gene-17.103-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-17.103&CDS=1-756	YFR027W
OG0000862	genemark-NC_018292.1-processed-gene-17.49-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.49&CDS=1-897	YFR047C
OG0000863	genemark-NC_018292.1-processed-gene-17.63-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.63&CDS=1-1398	YGL240W
OG0000864	genemark-NC_018292.1-processed-gene-17.65-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.65&CDS=1-2328	YJL101C
OG0000865	genemark-NC_018292.1-processed-gene-17.66-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.66&CDS=1-2379	YGL234W
OG0000866	genemark-NC_018292.1-processed-gene-17.67-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.67&CDS=1-1131	YMR024W
OG0000867	genemark-NC_018292.1-processed-gene-17.68-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.68&CDS=1-1302	YDR414C
OG0000868	genemark-NC_018292.1-processed-gene-17.69-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.69&CDS=1-762	YDR412W
OG0000869	genemark-NC_018292.1-processed-gene-17.53-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.53&CDS=1-687	YHR081W
OG0000870	genemark-NC_018292.1-processed-gene-17.70-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.70&CDS=1-3579	YHR079C
OG0000871	genemark-NC_018292.1-processed-gene-17.71-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.71&CDS=1-702	YHR079C-A
OG0000872	genemark-NC_018292.1-processed-gene-17.54-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.54&CDS=1-1395	YDR329C
OG0000873	genemark-NC_018292.1-processed-gene-17.55-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.55&CDS=1-492	YDR328C
OG0000874	genemark-NC_018292.1-processed-gene-17.75-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.75&CDS=1-1542	YDR330W
OG0000875	genemark-NC_018292.1-processed-gene-17.58-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.58&CDS=1-2712	YHR082C
OG0000876	genemark-NC_018292.1-processed-gene-17.59-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.59&CDS=1-1926	YHR084W
OG0000877	augustus_masked-NC_018292.1-processed-gene-17.117-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-17.117&CDS=1-8937	YDR331W
OG0000878	genemark-NC_018292.1-processed-gene-17.77-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-17.77&CDS=1-948	YDL051W
