	Kuraishia_capsulata	Saccharomyces_cerevisiae
OG0000402	genemark-HG793130-processed-gene-12.235-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.235&CDS=1-3603	YOR227W, YPL137C
OG0000403	genemark-HG793131-processed-gene-1.101-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.101&CDS=1-249	YDL130W-A, YDL181W
OG0000404	augustus_masked-HG793131-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-1.26&CDS=1-360	YDL136W, YDL191W
OG0000405	genemark-HG793131-processed-gene-1.126-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.126&CDS=1-585	YDL137W, YDL192W
OG0000406	genemark-HG793131-processed-gene-1.128-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.128&CDS=1-1842	YDL138W, YDL194W
OG0000407	genemark-HG793131-processed-gene-1.113-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.113&CDS=1-1101	YAL015C, YOL043C
OG0000408	genemark-HG793131-processed-gene-2.73-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.73&CDS=1-1125	YMR199W, YPL256C
OG0000409	genemark-HG793131-processed-gene-2.76-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.76&CDS=1-1374	YBR118W, YPR080W
OG0000410	maker-HG793131-augustus-gene-3.85-mRNA-1_1&gene=maker-HG793131-augustus-gene-3.85&CDS=1-2139	YHR117W, YNL121C
OG0000411	genemark-HG793131-processed-gene-4.48-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.48&CDS=1-360	YMR230W, YOR293W
OG0000412	genemark-HG793131-processed-gene-4.29-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.29&CDS=1-2526	YDR385W, YOR133W
OG0000413	genemark-HG793131-processed-gene-4.41-mRNA-1_1&gene=genemark-HG793131-processed-gene-4.41&CDS=1-915	YDL127W, YDL179W
OG0000414	genemark-HG793131-processed-gene-5.84-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.84&CDS=1-852	YMR183C, YPL232W
OG0000415	genemark-HG793131-processed-gene-6.60-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.60&CDS=1-2568	YBR001C, YDR001C
OG0000416	augustus_masked-HG793131-processed-gene-7.134-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-7.134&CDS=1-1332	YDR272W, YOR040W
OG0000417	augustus_masked-HG793131-processed-gene-7.139-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-7.139&CDS=1-1302	YKR091W, YOR083W
OG0000418	genemark-HG793131-processed-gene-7.65-mRNA-1_1&gene=genemark-HG793131-processed-gene-7.65&CDS=1-396	YCL035C, YDR513W
OG0000419	maker-HG793131-snap-gene-8.95-mRNA-1_1&gene=maker-HG793131-snap-gene-8.95&CDS=1-2427	YGR241C, YHR161C
OG0000420	genemark-HG793131-processed-gene-8.148-mRNA-1_1&gene=genemark-HG793131-processed-gene-8.148&CDS=1-783	YHR203C, YJR145C
OG0000421	augustus_masked-HG793131-processed-gene-9.53-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-9.53&CDS=1-2736	YIL156W, YKR098C
OG0000422	genemark-HG793131-processed-gene-10.86-mRNA-1_1&gene=genemark-HG793131-processed-gene-10.86&CDS=1-4410	YCL068C, YCR038C
OG0000423	genemark-HG793131-processed-gene-10.129-mRNA-1_1&gene=genemark-HG793131-processed-gene-10.129&CDS=1-2472	YBR294W, YLR092W
OG0000424	genemark-HG793125-processed-gene-0.63-mRNA-1_1&gene=genemark-HG793125-processed-gene-0.63&CDS=1-2103	YMR186W
OG0000425	genemark-HG793125-processed-gene-0.67-mRNA-1_1&gene=genemark-HG793125-processed-gene-0.67&CDS=1-1479	YGR260W
OG0000426	genemark-HG793125-processed-gene-0.89-mRNA-1_1&gene=genemark-HG793125-processed-gene-0.89&CDS=1-5469	YLR422W
OG0000427	augustus_masked-HG793125-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-0.141&CDS=1-1806	YKL005C
OG0000428	augustus_masked-HG793125-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-0.121&CDS=1-1623	YBR123C
OG0000429	genemark-HG793125-processed-gene-0.71-mRNA-1_1&gene=genemark-HG793125-processed-gene-0.71&CDS=1-471	YBR122C
OG0000430	genemark-HG793125-processed-gene-0.92-mRNA-1_1&gene=genemark-HG793125-processed-gene-0.92&CDS=1-1023	YGL100W
OG0000431	maker-HG793125-augustus-gene-0.102-mRNA-1_1&gene=maker-HG793125-augustus-gene-0.102&CDS=1-5073	YFR002W
OG0000432	genemark-HG793125-processed-gene-0.73-mRNA-1_1&gene=genemark-HG793125-processed-gene-0.73&CDS=1-1764	YCR088W
OG0000433	augustus_masked-HG793125-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-0.147&CDS=1-1500	YOR059C
OG0000434	genemark-HG793125-processed-gene-1.119-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.119&CDS=1-1431	YMR220W
OG0000435	genemark-HG793125-processed-gene-1.120-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.120&CDS=1-1320	YBR166C
OG0000436	genemark-HG793125-processed-gene-1.122-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.122&CDS=1-1179	YHL028W
OG0000437	genemark-HG793125-processed-gene-1.123-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.123&CDS=1-1464	YHL027W
OG0000438	snap_masked-HG793125-processed-gene-1.63-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-1.63&CDS=1-1350	YKL089W
OG0000439	genemark-HG793125-processed-gene-1.126-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.126&CDS=1-693	YKL009W
OG0000440	genemark-HG793125-processed-gene-1.127-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.127&CDS=1-5022	YKL010C
OG0000441	snap_masked-HG793125-processed-gene-1.91-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-1.91&CDS=1-1251	YHL004W
OG0000442	genemark-HG793125-processed-gene-1.152-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.152&CDS=1-1158	YHL002W
OG0000443	genemark-HG793125-processed-gene-1.129-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.129&CDS=1-789	YKL007W
OG0000444	snap_masked-HG793125-processed-gene-1.93-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-1.93&CDS=1-285	YKL006C-A
OG0000445	genemark-HG793125-processed-gene-1.153-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.153&CDS=1-2121	YHL016C
OG0000446	augustus_masked-HG793125-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-1.13&CDS=1-1569	YDR120C
OG0000447	genemark-HG793125-processed-gene-1.154-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.154&CDS=1-1281	YHR011W
OG0000448	genemark-HG793125-processed-gene-1.134-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.134&CDS=1-666	YLR118C
OG0000449	genemark-HG793125-processed-gene-1.135-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.135&CDS=1-5388	YDR141C
OG0000450	genemark-HG793125-processed-gene-1.158-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.158&CDS=1-669	YDR140W
OG0000451	genemark-HG793125-processed-gene-1.136-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.136&CDS=1-2838	YLR115W
OG0000452	genemark-HG793125-processed-gene-1.138-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.138&CDS=1-1638	YCL029C
OG0000453	genemark-HG793125-processed-gene-1.159-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.159&CDS=1-483	YPR100W
OG0000454	genemark-HG793125-processed-gene-1.160-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.160&CDS=1-486	YPR098C
OG0000455	genemark-HG793125-processed-gene-1.161-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.161&CDS=1-909	YLR414C
OG0000456	genemark-HG793125-processed-gene-1.162-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.162&CDS=1-1113	YAL060W
OG0000457	genemark-HG793125-processed-gene-1.165-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.165&CDS=1-2166	YOL113W
OG0000458	genemark-HG793125-processed-gene-1.140-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.140&CDS=1-1644	YKL125W
OG0000459	augustus_masked-HG793125-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-1.45&CDS=1-1101	YMR026C
OG0000460	genemark-HG793125-processed-gene-1.168-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.168&CDS=1-1110	YGL111W
OG0000461	snap_masked-HG793125-processed-gene-1.84-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-1.84&CDS=1-591	YJR112W
OG0000462	genemark-HG793125-processed-gene-1.145-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.145&CDS=1-3987	YML059C
OG0000463	genemark-HG793125-processed-gene-1.169-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.169&CDS=1-267	YLR438C-A
OG0000464	augustus_masked-HG793125-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-1.26&CDS=1-2262	YLR277C
OG0000465	genemark-HG793125-processed-gene-1.170-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.170&CDS=1-1578	YML069W
OG0000466	genemark-HG793125-processed-gene-1.149-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.149&CDS=1-1296	YDL084W
OG0000467	snap_masked-HG793125-processed-gene-1.112-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-1.112&CDS=1-1491	YML066C
OG0000468	genemark-HG793125-processed-gene-1.172-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.172&CDS=1-1413	YLR443W
OG0000469	genemark-HG793125-processed-gene-1.150-mRNA-1_1&gene=genemark-HG793125-processed-gene-1.150&CDS=1-2556	YML065W
OG0000470	genemark-HG793125-processed-gene-2.49-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.49&CDS=1-588	YML064C
OG0000471	genemark-HG793125-processed-gene-2.45-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.45&CDS=1-768	YLR441C
OG0000472	genemark-HG793125-processed-gene-2.50-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.50&CDS=1-1566	YML056C
OG0000473	maker-HG793125-augustus-gene-2.134-mRNA-1_1&gene=maker-HG793125-augustus-gene-2.134&CDS=1-1683	YDR145W
OG0000474	snap_masked-HG793125-processed-gene-2.95-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-2.95&CDS=1-2061	YLR427W
OG0000475	genemark-HG793125-processed-gene-2.69-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.69&CDS=1-1872	YLR429W
OG0000476	genemark-HG793125-processed-gene-2.52-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.52&CDS=1-6330	YLR430W
OG0000477	genemark-HG793125-processed-gene-2.71-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.71&CDS=1-1305	YLR438W
OG0000478	genemark-HG793125-processed-gene-2.73-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.73&CDS=1-801	YER163C
OG0000479	genemark-HG793125-processed-gene-2.74-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.74&CDS=1-888	YDR411C
OG0000480	genemark-HG793125-processed-gene-2.53-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.53&CDS=1-801	YDR090C
OG0000481	genemark-HG793125-processed-gene-2.54-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.54&CDS=1-3060	YER162C
OG0000482	snap_masked-HG793125-processed-gene-2.121-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-2.121&CDS=1-201	YDR086C
OG0000483	genemark-HG793125-processed-gene-2.77-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.77&CDS=1-2121	YGL114W
OG0000484	augustus_masked-HG793125-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-2.30&CDS=1-957	YGL115W
OG0000485	genemark-HG793125-processed-gene-2.56-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.56&CDS=1-1137	YLR130C
OG0000486	genemark-HG793125-processed-gene-2.79-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.79&CDS=1-2817	YLR129W
OG0000487	augustus_masked-HG793125-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-2.10&CDS=1-1242	YLR085C
OG0000488	snap_masked-HG793125-processed-gene-2.125-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-2.125&CDS=1-2232	YDR089W
OG0000489	snap_masked-HG793125-processed-gene-2.126-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-2.126&CDS=1-774	YDR088C
OG0000490	genemark-HG793125-processed-gene-2.59-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.59&CDS=1-1917	YPL116W
OG0000491	genemark-HG793125-processed-gene-2.82-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.82&CDS=1-750	YOR194C
OG0000492	genemark-HG793125-processed-gene-2.60-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.60&CDS=1-2457	YOR195W
OG0000493	snap_masked-HG793125-processed-gene-2.105-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-2.105&CDS=1-3015	YPL115C
OG0000494	genemark-HG793125-processed-gene-2.63-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.63&CDS=1-1110	YPL188W
OG0000495	augustus_masked-HG793125-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-2.35&CDS=1-2595	YNL330C
OG0000496	snap_masked-HG793125-processed-gene-2.130-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-2.130&CDS=1-4791	YPL242C
OG0000497	genemark-HG793125-processed-gene-2.64-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.64&CDS=1-2556	YBR281C
OG0000498	genemark-HG793125-processed-gene-2.65-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.65&CDS=1-1536	YBR280C
OG0000499	genemark-HG793125-processed-gene-2.86-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.86&CDS=1-1821	YKR090W
OG0000500	genemark-HG793125-processed-gene-2.87-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.87&CDS=1-858	YKR088C
OG0000501	genemark-HG793125-processed-gene-2.88-mRNA-1_1&gene=genemark-HG793125-processed-gene-2.88&CDS=1-540	YKL186C
OG0000502	snap_masked-HG793125-processed-gene-3.44-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-3.44&CDS=1-1713	YKL185W
OG0000503	augustus_masked-HG793125-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-3.1&CDS=1-435	YDL120W
OG0000504	genemark-HG793125-processed-gene-3.92-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.92&CDS=1-1113	YLR026C
OG0000505	genemark-HG793125-processed-gene-3.95-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.95&CDS=1-657	YLR025W
OG0000506	augustus_masked-HG793125-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-3.3&CDS=1-3882	YFL036W
OG0000507	genemark-HG793125-processed-gene-3.96-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.96&CDS=1-861	YFL034C-B
OG0000508	genemark-HG793125-processed-gene-3.94-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.94&CDS=1-4641	YNL172W
OG0000509	genemark-HG793125-processed-gene-3.118-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.118&CDS=1-1797	YNL169C
OG0000510	genemark-HG793125-processed-gene-3.97-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.97&CDS=1-3858	YPL006W
OG0000511	augustus_masked-HG793125-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-3.28&CDS=1-1728	YPL005W
OG0000512	genemark-HG793125-processed-gene-3.98-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.98&CDS=1-216	YHR143W-A
OG0000513	genemark-HG793125-processed-gene-3.100-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.100&CDS=1-702	YNL168C
OG0000514	genemark-HG793125-processed-gene-3.120-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.120&CDS=1-957	YHR144C
OG0000515	genemark-HG793125-processed-gene-3.101-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.101&CDS=1-387	YLR421C
OG0000516	genemark-HG793125-processed-gene-3.122-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.122&CDS=1-1104	YLR420W
OG0000517	genemark-HG793125-processed-gene-3.103-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.103&CDS=1-1758	YKL191W
OG0000518	genemark-HG793125-processed-gene-3.104-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.104&CDS=1-522	YKL190W
OG0000519	genemark-HG793125-processed-gene-3.105-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.105&CDS=1-654	YGR167W
OG0000520	genemark-HG793125-processed-gene-3.106-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.106&CDS=1-3354	YOL051W
OG0000521	genemark-HG793125-processed-gene-3.107-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.107&CDS=1-756	YDR087C
OG0000522	genemark-HG793125-processed-gene-3.108-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.108&CDS=1-6153	YKL182W
OG0000523	snap_masked-HG793125-processed-gene-3.78-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-3.78&CDS=1-774	YLR412W
OG0000524	genemark-HG793125-processed-gene-3.109-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.109&CDS=1-1230	YKL181W
OG0000525	genemark-HG793125-processed-gene-3.125-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.125&CDS=1-624	YLR435W
OG0000526	genemark-HG793125-processed-gene-3.112-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.112&CDS=1-1605	YLR433C
OG0000527	maker-HG793125-snap-gene-3.145-mRNA-1_1&gene=maker-HG793125-snap-gene-3.145&CDS=1-7371	YJL212C
OG0000528	genemark-HG793125-processed-gene-3.114-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.114&CDS=1-1218	YDL033C
OG0000529	genemark-HG793125-processed-gene-3.133-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.133&CDS=1-2487	YHR102W
OG0000530	genemark-HG793125-processed-gene-3.134-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.134&CDS=1-1281	YBR233W
OG0000531	genemark-HG793125-processed-gene-3.117-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.117&CDS=1-780	YBR231C
OG0000532	genemark-HG793125-processed-gene-3.135-mRNA-1_1&gene=genemark-HG793125-processed-gene-3.135&CDS=1-3162	YEL055C
OG0000533	augustus_masked-HG793125-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-4.2&CDS=1-1971	YPL269W
OG0000534	genemark-HG793125-processed-gene-4.101-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.101&CDS=1-798	YOR157C
OG0000535	genemark-HG793125-processed-gene-4.104-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.104&CDS=1-648	YDR408C
OG0000536	genemark-HG793125-processed-gene-4.105-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.105&CDS=1-1095	YOR136W
OG0000537	genemark-HG793125-processed-gene-4.106-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.106&CDS=1-723	YPR183W
OG0000538	genemark-HG793125-processed-gene-4.102-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.102&CDS=1-1752	YDR390C
OG0000539	genemark-HG793125-processed-gene-4.108-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.108&CDS=1-978	YGR163W
OG0000540	augustus_masked-HG793125-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-4.11&CDS=1-1416	YDR465C
OG0000541	augustus_masked-HG793125-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-4.13&CDS=1-8118	YGL195W
OG0000542	augustus_masked-HG793125-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-4.14&CDS=1-279	YLR099W-A
OG0000543	genemark-HG793125-processed-gene-4.128-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.128&CDS=1-1818	YDR091C
OG0000544	genemark-HG793125-processed-gene-4.112-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.112&CDS=1-4392	YER164W
OG0000545	augustus_masked-HG793125-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-4.31&CDS=1-966	YJR107W
OG0000546	genemark-HG793125-processed-gene-4.113-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.113&CDS=1-1884	YER165W
OG0000547	genemark-HG793125-processed-gene-4.130-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.130&CDS=1-837	YDR121W
OG0000548	genemark-HG793125-processed-gene-4.133-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.133&CDS=1-2526	YCL030C
OG0000549	genemark-HG793125-processed-gene-4.115-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.115&CDS=1-2055	YPR074C
OG0000550	genemark-HG793125-processed-gene-4.116-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.116&CDS=1-483	YPR073C
OG0000551	genemark-HG793125-processed-gene-4.117-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.117&CDS=1-4194	YBR115C
OG0000552	genemark-HG793125-processed-gene-4.135-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.135&CDS=1-2565	YBR114W
OG0000553	augustus_masked-HG793125-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-4.22&CDS=1-1035	YNL128W
OG0000554	augustus_masked-HG793125-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-4.39&CDS=1-633	YHR121W
OG0000555	augustus_masked-HG793125-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-4.23&CDS=1-2937	YNL127W
OG0000556	augustus_masked-HG793125-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-4.24&CDS=1-2208	YNL126W
OG0000557	genemark-HG793125-processed-gene-4.139-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.139&CDS=1-621	YJL063C
OG0000558	genemark-HG793125-processed-gene-4.140-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.140&CDS=1-942	YBR265W
OG0000559	genemark-HG793125-processed-gene-4.125-mRNA-1_1&gene=genemark-HG793125-processed-gene-4.125&CDS=1-1167	YDR030C
OG0000560	maker-HG793125-snap-gene-5.61-mRNA-1_1&gene=maker-HG793125-snap-gene-5.61&CDS=1-4734	YJL074C
OG0000561	genemark-HG793125-processed-gene-5.136-mRNA-1_1&gene=genemark-HG793125-processed-gene-5.136&CDS=1-2256	YDR109C
OG0000562	genemark-HG793125-processed-gene-5.137-mRNA-1_1&gene=genemark-HG793125-processed-gene-5.137&CDS=1-315	YER159C
OG0000563	genemark-HG793125-processed-gene-5.138-mRNA-1_1&gene=genemark-HG793125-processed-gene-5.138&CDS=1-1482	YDR105C
OG0000564	genemark-HG793125-processed-gene-5.129-mRNA-1_1&gene=genemark-HG793125-processed-gene-5.129&CDS=1-930	YGR060W
OG0000565	genemark-HG793125-processed-gene-5.130-mRNA-1_1&gene=genemark-HG793125-processed-gene-5.130&CDS=1-2427	YKL034W
OG0000566	genemark-HG793125-processed-gene-5.131-mRNA-1_1&gene=genemark-HG793125-processed-gene-5.131&CDS=1-735	YKL033W-A
OG0000567	snap_masked-HG793125-processed-gene-5.77-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-5.77&CDS=1-975	YHL011C
OG0000568	genemark-HG793125-processed-gene-5.141-mRNA-1_1&gene=genemark-HG793125-processed-gene-5.141&CDS=1-1302	YDL128W
OG0000569	genemark-HG793125-processed-gene-5.166-mRNA-1_1&gene=genemark-HG793125-processed-gene-5.166&CDS=1-1875	YGL110C
OG0000570	augustus_masked-HG793125-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-5.10&CDS=1-1386	YBR243C
OG0000571	genemark-HG793125-processed-gene-5.168-mRNA-1_1&gene=genemark-HG793125-processed-gene-5.168&CDS=1-447	YGL103W
OG0000572	snap_masked-HG793125-processed-gene-5.106-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-5.106&CDS=1-1125	YNL001W
OG0000573	snap_masked-HG793125-processed-gene-5.107-mRNA-1_1&gene=snap_masked-HG793125-processed-gene-5.107&CDS=1-1059	YGL105W
