	Clavispora_lusitaniae	Saccharomyces_cerevisiae
OG0000828	augustus_masked-NW_003101572.1-processed-gene-6.157-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-6.157&CDS=1-954	YPL076W
OG0000829	genemark-NW_003101572.1-processed-gene-6.197-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.197&CDS=1-1446	YGL253W
OG0000830	genemark-NW_003101572.1-processed-gene-6.198-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.198&CDS=1-372	YOL026C
OG0000831	genemark-NW_003101572.1-processed-gene-6.231-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.231&CDS=1-378	YIR015W
OG0000832	genemark-NW_003101572.1-processed-gene-6.199-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.199&CDS=1-708	YOL038W
OG0000833	genemark-NW_003101572.1-processed-gene-6.232-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.232&CDS=1-1128	YKL113C
OG0000834	genemark-NW_003101572.1-processed-gene-6.234-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.234&CDS=1-1980	YKL114C
OG0000835	genemark-NW_003101572.1-processed-gene-6.200-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.200&CDS=1-2502	YGR099W
OG0000836	genemark-NW_003101573.1-processed-gene-0.4-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-0.4&CDS=1-690	YKL070W
OG0000837	genemark-NW_003101573.1-processed-gene-0.24-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-0.24&CDS=1-549	YJL004C
OG0000838	maker-NW_003101573.1-snap-gene-0.1-mRNA-1_1&gene=maker-NW_003101573.1-snap-gene-0.1&CDS=1-4050	YLL008W
OG0000839	genemark-NW_003101573.1-processed-gene-0.27-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-0.27&CDS=1-711	YDL087C
OG0000840	snap_masked-NW_003101573.1-processed-gene-0.83-mRNA-1_1&gene=snap_masked-NW_003101573.1-processed-gene-0.83&CDS=1-1041	YOL132W
OG0000841	snap_masked-NW_003101573.1-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NW_003101573.1-processed-gene-0.84&CDS=1-2982	YBR074W
OG0000842	genemark-NW_003101573.1-processed-gene-0.9-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-0.9&CDS=1-1083	YDR047W
OG0000843	genemark-NW_003101573.1-processed-gene-0.10-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-0.10&CDS=1-1791	YDR049W
OG0000844	snap_masked-NW_003101573.1-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NW_003101573.1-processed-gene-0.68&CDS=1-4485	YMR259C
OG0000845	genemark-NW_003101573.1-processed-gene-1.73-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.73&CDS=1-663	YBR070C
OG0000846	genemark-NW_003101573.1-processed-gene-1.77-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.77&CDS=1-303	YDR045C
OG0000847	genemark-NW_003101573.1-processed-gene-1.75-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.75&CDS=1-2259	YBR060C
OG0000848	genemark-NW_003101573.1-processed-gene-1.78-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.78&CDS=1-2655	YNL313C
OG0000849	genemark-NW_003101573.1-processed-gene-1.81-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.81&CDS=1-1248	YIL160C
OG0000850	genemark-NW_003101573.1-processed-gene-1.84-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.84&CDS=1-687	YBR256C
OG0000851	genemark-NW_003101573.1-processed-gene-1.85-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.85&CDS=1-582	YER012W
OG0000852	genemark-NW_003101573.1-processed-gene-1.89-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.89&CDS=1-2715	YIR007W
OG0000853	genemark-NW_003101573.1-processed-gene-1.98-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.98&CDS=1-1365	YIR008C
OG0000854	genemark-NW_003101573.1-processed-gene-1.99-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.99&CDS=1-1236	YIR012W
OG0000855	genemark-NW_003101573.1-processed-gene-1.94-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.94&CDS=1-1119	YCL059C
OG0000856	genemark-NW_003101573.1-processed-gene-1.103-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.103&CDS=1-3357	YCL061C
OG0000857	genemark-NW_003101573.1-processed-gene-1.96-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.96&CDS=1-1146	YLR180W
OG0000858	genemark-NW_003101573.1-processed-gene-1.105-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.105&CDS=1-1656	YML123C
OG0000859	genemark-NW_003101573.1-processed-gene-1.108-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.108&CDS=1-1614	YJL111W
OG0000860	genemark-NW_003101573.1-processed-gene-2.0-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.0&CDS=1-465	YBR122C
OG0000861	snap_masked-NW_003101573.1-processed-gene-2.87-mRNA-1_1&gene=snap_masked-NW_003101573.1-processed-gene-2.87&CDS=1-1716	YJL209W
OG0000862	genemark-NW_003101573.1-processed-gene-2.3-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.3&CDS=1-2457	YJL204C
OG0000863	genemark-NW_003101573.1-processed-gene-2.4-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.4&CDS=1-1671	YKR002W
OG0000864	genemark-NW_003101573.1-processed-gene-2.24-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.24&CDS=1-2781	YNL267W
OG0000865	genemark-NW_003101573.1-processed-gene-2.26-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.26&CDS=1-1488	YHR024C
OG0000866	genemark-NW_003101573.1-processed-gene-2.27-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.27&CDS=1-1530	YDR465C
OG0000867	genemark-NW_003101573.1-processed-gene-2.5-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.5&CDS=1-807	YOR032C
OG0000868	genemark-NW_003101573.1-processed-gene-2.6-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.6&CDS=1-1575	YHR007C
OG0000869	maker-NW_003101573.1-snap-gene-2.79-mRNA-1_1&gene=maker-NW_003101573.1-snap-gene-2.79&CDS=1-2448	YHR025W
OG0000870	augustus_masked-NW_003101573.1-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-NW_003101573.1-processed-gene-2.48&CDS=1-1782	YKL160W
OG0000871	genemark-NW_003101573.1-processed-gene-2.29-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.29&CDS=1-1647	YPR088C
OG0000872	snap_masked-NW_003101573.1-processed-gene-2.117-mRNA-1_1&gene=snap_masked-NW_003101573.1-processed-gene-2.117&CDS=1-1749	YKL100C
OG0000873	genemark-NW_003101573.1-processed-gene-2.12-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.12&CDS=1-1110	YBL032W
OG0000874	genemark-NW_003101573.1-processed-gene-2.32-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.32&CDS=1-522	YKL069W
OG0000875	genemark-NW_003101573.1-processed-gene-2.13-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.13&CDS=1-2280	YOL063C
OG0000876	genemark-NW_003101573.1-processed-gene-2.14-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.14&CDS=1-1635	YKL089W
OG0000877	genemark-NW_003101573.1-processed-gene-2.34-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.34&CDS=1-693	YKL009W
OG0000878	genemark-NW_003101573.1-processed-gene-2.37-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.37&CDS=1-1950	YDR129C
OG0000879	genemark-NW_003101573.1-processed-gene-2.15-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.15&CDS=1-3264	YLR148W
OG0000880	genemark-NW_003101573.1-processed-gene-2.16-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.16&CDS=1-2475	YCL054W
OG0000881	genemark-NW_003101573.1-processed-gene-2.18-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.18&CDS=1-1047	YPR086W
OG0000882	genemark-NW_003101573.1-processed-gene-2.20-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.20&CDS=1-372	YDR529C
OG0000883	snap_masked-NW_003101573.1-processed-gene-2.124-mRNA-1_1&gene=snap_masked-NW_003101573.1-processed-gene-2.124&CDS=1-867	YLR348C
OG0000884	genemark-NW_003101573.1-processed-gene-2.21-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.21&CDS=1-3099	YNL243W
OG0000885	genemark-NW_003101573.1-processed-gene-2.39-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.39&CDS=1-546	YCL001W
OG0000886	genemark-NW_003101573.1-processed-gene-3.39-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.39&CDS=1-780	YOR194C
OG0000887	genemark-NW_003101573.1-processed-gene-3.40-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.40&CDS=1-5187	YPL116W
OG0000888	genemark-NW_003101573.1-processed-gene-3.41-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.41&CDS=1-1116	YOR196C
OG0000889	genemark-NW_003101573.1-processed-gene-3.42-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.42&CDS=1-849	YPL117C
OG0000890	genemark-NW_003101573.1-processed-gene-3.43-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.43&CDS=1-1335	YOR198C
OG0000891	genemark-NW_003101573.1-processed-gene-3.44-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.44&CDS=1-1113	YMR310C
OG0000892	genemark-NW_003101573.1-processed-gene-3.45-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.45&CDS=1-921	YGR282C
OG0000893	genemark-NW_003101573.1-processed-gene-3.64-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.64&CDS=1-1365	YGR189C
OG0000894	genemark-NW_003101573.1-processed-gene-3.46-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.46&CDS=1-1647	YMR171C
OG0000895	genemark-NW_003101573.1-processed-gene-3.65-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.65&CDS=1-1935	YCR088W
OG0000896	genemark-NW_003101573.1-processed-gene-3.66-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.66&CDS=1-315	YLL014W
OG0000897	genemark-NW_003101573.1-processed-gene-3.50-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.50&CDS=1-1173	YGR185C
OG0000898	snap_masked-NW_003101573.1-processed-gene-3.94-mRNA-1_1&gene=snap_masked-NW_003101573.1-processed-gene-3.94&CDS=1-222	YGR183C
OG0000899	maker-NW_003101573.1-snap-gene-3.126-mRNA-1_1&gene=maker-NW_003101573.1-snap-gene-3.126&CDS=1-4761	YDR301W
OG0000900	genemark-NW_003101573.1-processed-gene-3.53-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.53&CDS=1-636	YBL040C
OG0000901	genemark-NW_003101573.1-processed-gene-3.73-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.73&CDS=1-723	YBL041W
OG0000902	snap_masked-NW_003101573.1-processed-gene-3.117-mRNA-1_1&gene=snap_masked-NW_003101573.1-processed-gene-3.117&CDS=1-273	YGR181W
OG0000903	genemark-NW_003101573.1-processed-gene-3.55-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.55&CDS=1-2190	YPL109C
OG0000904	maker-NW_003101573.1-snap-gene-3.125-mRNA-1_1&gene=maker-NW_003101573.1-snap-gene-3.125&CDS=1-1380	YAL049C
OG0000905	genemark-NW_003101573.1-processed-gene-3.60-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.60&CDS=1-1092	YGR187C
OG0000906	genemark-NW_003101573.1-processed-gene-3.78-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.78&CDS=1-1659	YGR186W
OG0000907	genemark-NW_003101573.1-processed-gene-3.62-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.62&CDS=1-1245	YJR013W
OG0000908	genemark-NW_003101573.1-processed-gene-3.63-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-3.63&CDS=1-732	YGR195W
OG0000909	genemark-NW_003101573.1-processed-gene-4.46-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.46&CDS=1-915	YGR284C
OG0000910	genemark-NW_003101573.1-processed-gene-4.47-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.47&CDS=1-717	YKL087C
OG0000911	snap_masked-NW_003101573.1-processed-gene-4.5-mRNA-1_1&gene=snap_masked-NW_003101573.1-processed-gene-4.5&CDS=1-270	YHR005C-A
OG0000912	genemark-NW_003101573.1-processed-gene-4.64-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.64&CDS=1-1263	YMR220W
OG0000913	genemark-NW_003101573.1-processed-gene-4.50-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.50&CDS=1-1266	YBR166C
OG0000914	genemark-NW_003101573.1-processed-gene-4.65-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.65&CDS=1-555	YBR164C
OG0000915	genemark-NW_003101573.1-processed-gene-4.51-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.51&CDS=1-567	YMR311C
OG0000916	genemark-NW_003101573.1-processed-gene-4.66-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.66&CDS=1-1284	YGR285C
OG0000917	genemark-NW_003101573.1-processed-gene-4.67-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.67&CDS=1-756	YLR022C
OG0000918	maker-NW_003101573.1-snap-gene-4.128-mRNA-1_1&gene=maker-NW_003101573.1-snap-gene-4.128&CDS=1-3465	YGL156W
OG0000919	snap_masked-NW_003101573.1-processed-gene-4.11-mRNA-1_1&gene=snap_masked-NW_003101573.1-processed-gene-4.11&CDS=1-462	YJR104C
OG0000920	genemark-NW_003101573.1-processed-gene-4.53-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.53&CDS=1-1920	YDR311W
OG0000921	genemark-NW_003101573.1-processed-gene-4.54-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.54&CDS=1-894	YHR088W
OG0000922	genemark-NW_003101573.1-processed-gene-4.55-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.55&CDS=1-3681	YDR335W
OG0000923	genemark-NW_003101573.1-processed-gene-4.71-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.71&CDS=1-1023	YIL110W
OG0000924	maker-NW_003101573.1-snap-gene-4.125-mRNA-1_1&gene=maker-NW_003101573.1-snap-gene-4.125&CDS=1-2934	YIL107C
OG0000925	genemark-NW_003101573.1-processed-gene-4.57-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.57&CDS=1-2970	YNL054W
OG0000926	genemark-NW_003101573.1-processed-gene-4.58-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.58&CDS=1-2127	YDR034C
OG0000927	genemark-NW_003101573.1-processed-gene-4.74-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.74&CDS=1-1746	YML070W
OG0000928	genemark-NW_003101573.1-processed-gene-4.59-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.59&CDS=1-2169	YML099C
OG0000929	genemark-NW_003101573.1-processed-gene-4.75-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.75&CDS=1-1584	YML130C
OG0000930	genemark-NW_003101573.1-processed-gene-4.76-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.76&CDS=1-1599	YGL078C
OG0000931	genemark-NW_003101573.1-processed-gene-4.78-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.78&CDS=1-213	YCL005W-A
OG0000932	maker-NW_003101573.1-snap-gene-4.126-mRNA-1_1&gene=maker-NW_003101573.1-snap-gene-4.126&CDS=1-1281	YCL008C
OG0000933	genemark-NW_003101573.1-processed-gene-4.62-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.62&CDS=1-1425	YLR175W
OG0000934	maker-NW_003101573.1-snap-gene-4.127-mRNA-1_1&gene=maker-NW_003101573.1-snap-gene-4.127&CDS=1-1791	YBL019W
OG0000935	genemark-NW_003101573.1-processed-gene-4.83-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-4.83&CDS=1-711	YER148W
OG0000936	genemark-NW_003101573.1-processed-gene-5.61-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.61&CDS=1-744	YCR009C
OG0000937	maker-NW_003101573.1-snap-gene-5.6-mRNA-1_1&gene=maker-NW_003101573.1-snap-gene-5.6&CDS=1-3027	YER171W
OG0000938	genemark-NW_003101573.1-processed-gene-5.78-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.78&CDS=1-999	YOR123C
OG0000939	genemark-NW_003101573.1-processed-gene-5.79-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.79&CDS=1-1608	YDR389W
OG0000940	genemark-NW_003101573.1-processed-gene-5.65-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.65&CDS=1-2142	YPL207W
OG0000941	genemark-NW_003101573.1-processed-gene-5.66-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.66&CDS=1-1350	YGL065C
OG0000942	genemark-NW_003101573.1-processed-gene-5.67-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.67&CDS=1-918	YBR187W
OG0000943	genemark-NW_003101573.1-processed-gene-5.84-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.84&CDS=1-633	YBR193C
OG0000944	augustus_masked-NW_003101573.1-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-NW_003101573.1-processed-gene-5.127&CDS=1-1086	YBR192W
OG0000945	maker-NW_003101573.1-snap-gene-5.8-mRNA-1_1&gene=maker-NW_003101573.1-snap-gene-5.8&CDS=1-5685	YPL082C
OG0000946	genemark-NW_003101573.1-processed-gene-5.71-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.71&CDS=1-1494	YOR241W
OG0000947	genemark-NW_003101573.1-processed-gene-5.72-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.72&CDS=1-2148	YPL029W
OG0000948	genemark-NW_003101573.1-processed-gene-5.73-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.73&CDS=1-537	YDR248C
OG0000949	genemark-NW_003101573.1-processed-gene-5.94-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.94&CDS=1-1203	YPL028W
OG0000950	genemark-NW_003101573.1-processed-gene-5.75-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.75&CDS=1-702	YPL041C
OG0000951	genemark-NW_003101573.1-processed-gene-5.95-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.95&CDS=1-1227	YMR139W
OG0000952	genemark-NW_003101573.1-processed-gene-5.98-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.98&CDS=1-1326	YPL042C
OG0000953	genemark-NW_003101573.1-processed-gene-5.99-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.99&CDS=1-1101	YLR056W
OG0000954	genemark-NW_003101573.1-processed-gene-5.100-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.100&CDS=1-1068	YDL205C
OG0000955	genemark-NW_003101573.1-processed-gene-5.102-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.102&CDS=1-3336	YPL022W
OG0000956	genemark-NW_003101573.1-processed-gene-6.79-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.79&CDS=1-783	YJL178C
OG0000957	genemark-NW_003101573.1-processed-gene-6.80-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.80&CDS=1-2598	YCL030C
OG0000958	genemark-NW_003101573.1-processed-gene-6.98-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.98&CDS=1-1734	YDR244W
OG0000959	genemark-NW_003101573.1-processed-gene-6.100-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.100&CDS=1-3687	YPL016W
OG0000960	genemark-NW_003101573.1-processed-gene-6.101-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.101&CDS=1-1077	YDR245W
OG0000961	genemark-NW_003101573.1-processed-gene-6.102-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.102&CDS=1-960	YDR265W
OG0000962	genemark-NW_003101573.1-processed-gene-6.103-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.103&CDS=1-2244	YDR419W
OG0000963	genemark-NW_003101573.1-processed-gene-6.104-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.104&CDS=1-1539	YGL160W
OG0000964	genemark-NW_003101573.1-processed-gene-6.84-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.84&CDS=1-2151	YJL168C
OG0000965	genemark-NW_003101573.1-processed-gene-6.85-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.85&CDS=1-924	YNL097C
OG0000966	genemark-NW_003101573.1-processed-gene-6.86-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.86&CDS=1-738	YOR101W
OG0000967	genemark-NW_003101573.1-processed-gene-6.108-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.108&CDS=1-447	YOR103C
OG0000968	genemark-NW_003101573.1-processed-gene-6.87-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.87&CDS=1-606	YNL099C
OG0000969	genemark-NW_003101573.1-processed-gene-6.89-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.89&CDS=1-483	YIR037W
OG0000970	genemark-NW_003101573.1-processed-gene-6.109-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.109&CDS=1-2406	YLR451W
OG0000971	augustus_masked-NW_003101573.1-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-NW_003101573.1-processed-gene-6.53&CDS=1-1377	YJR124C
OG0000972	genemark-NW_003101573.1-processed-gene-6.94-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.94&CDS=1-1194	YJR122W
OG0000973	genemark-NW_003101573.1-processed-gene-6.95-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.95&CDS=1-1581	YER025W
OG0000974	genemark-NW_003101573.1-processed-gene-6.112-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.112&CDS=1-2352	YPR162C
OG0000975	genemark-NW_003101573.1-processed-gene-6.96-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.96&CDS=1-2325	YJL212C
OG0000976	genemark-NW_003101573.1-processed-gene-6.97-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.97&CDS=1-675	YJR123W
OG0000977	genemark-NW_003101573.1-processed-gene-6.114-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.114&CDS=1-1716	YNL125C
OG0000978	genemark-NW_003101573.1-processed-gene-7.127-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-7.127&CDS=1-315	YPR182W
OG0000979	genemark-NW_003101573.1-processed-gene-7.122-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-7.122&CDS=1-1278	YLR459W
OG0000980	maker-NW_003101573.1-augustus-gene-7.63-mRNA-1_1&gene=maker-NW_003101573.1-augustus-gene-7.63&CDS=1-1635	YPR187W
OG0000981	genemark-NW_003101573.1-processed-gene-7.129-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-7.129&CDS=1-648	YHR128W
OG0000982	genemark-NW_003101573.1-processed-gene-7.158-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-7.158&CDS=1-405	YNL147W
OG0000983	genemark-NW_003101573.1-processed-gene-7.131-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-7.131&CDS=1-402	YNL149C
OG0000984	genemark-NW_003101573.1-processed-gene-7.132-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-7.132&CDS=1-1545	YPR137W
OG0000985	genemark-NW_003101573.1-processed-gene-7.159-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-7.159&CDS=1-645	YNL151C
OG0000986	genemark-NW_003101573.1-processed-gene-7.133-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-7.133&CDS=1-1452	YNL152W
OG0000987	genemark-NW_003101573.1-processed-gene-7.134-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-7.134&CDS=1-540	YKR085C
OG0000988	genemark-NW_003101573.1-processed-gene-7.161-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-7.161&CDS=1-1881	YIL144W
OG0000989	genemark-NW_003101573.1-processed-gene-7.136-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-7.136&CDS=1-993	YKR071C
OG0000990	augustus_masked-NW_003101573.1-processed-gene-7.105-mRNA-1_1&gene=augustus_masked-NW_003101573.1-processed-gene-7.105&CDS=1-1116	YPR065W
OG0000991	genemark-NW_003101573.1-processed-gene-7.139-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-7.139&CDS=1-1752	YGR119C
OG0000992	genemark-NW_003101573.1-processed-gene-7.164-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-7.164&CDS=1-930	YIL145C
