	Metschnikowia_hibisci	Saccharomyces_cerevisiae
OG0000635	augustus_masked-hib_s106-processed-gene-3.144-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.144&CDS=1-1167	YBL055C
OG0000636	maker-hib_s106-augustus-gene-3.161-mRNA-1_1&gene=maker-hib_s106-augustus-gene-3.161&CDS=1-1509	YJR121W
OG0000637	augustus_masked-hib_s106-processed-gene-3.146-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.146&CDS=1-2355	YJR119C
OG0000638	augustus_masked-hib_s106-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.123&CDS=1-828	YER023W
OG0000639	maker-hib_s106-augustus-gene-3.159-mRNA-1_1&gene=maker-hib_s106-augustus-gene-3.159&CDS=1-1296	YDL084W
OG0000640	augustus_masked-hib_s106-processed-gene-3.125-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.125&CDS=1-1308	YLR303W
OG0000641	augustus_masked-hib_s106-processed-gene-3.149-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.149&CDS=1-1509	YML066C
OG0000642	snap_masked-hib_s106-processed-gene-3.101-mRNA-1_1&gene=snap_masked-hib_s106-processed-gene-3.101&CDS=1-1677	YLR443W
OG0000643	augustus_masked-hib_s106-processed-gene-3.126-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.126&CDS=1-1290	YLR438W
OG0000644	augustus_masked-hib_s106-processed-gene-3.152-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.152&CDS=1-2442	YLR138W
OG0000645	augustus_masked-hib_s106-processed-gene-3.127-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.127&CDS=1-873	YER163C
OG0000646	augustus_masked-hib_s106-processed-gene-3.153-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.153&CDS=1-1338	YNL175C
OG0000647	augustus_masked-hib_s106-processed-gene-3.129-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.129&CDS=1-1362	YGR149W
OG0000648	augustus_masked-hib_s106-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.130&CDS=1-972	YBR251W
OG0000649	augustus_masked-hib_s106-processed-gene-3.156-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.156&CDS=1-372	YEL044W
OG0000650	augustus_masked-hib_s106-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.133&CDS=1-3282	YFR030W
OG0000651	augustus_masked-hib_s106-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.3&CDS=1-429	YCR063W
OG0000652	augustus_masked-hib_s106-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.4&CDS=1-1092	YKL028W
OG0000653	augustus_masked-hib_s106-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.5&CDS=1-870	YBR291C
OG0000654	augustus_masked-hib_s106-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.33&CDS=1-1161	YBR290W
OG0000655	augustus_masked-hib_s106-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.34&CDS=1-1161	YOR368W
OG0000656	augustus_masked-hib_s106-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.35&CDS=1-1044	YLR447C
OG0000657	augustus_masked-hib_s106-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.9&CDS=1-1203	YML071C
OG0000658	augustus_masked-hib_s106-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.37&CDS=1-603	YLR292C
OG0000659	augustus_masked-hib_s106-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.11&CDS=1-1191	YIL116W
OG0000660	augustus_masked-hib_s106-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.12&CDS=1-741	YMR188C
OG0000661	augustus_masked-hib_s106-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.13&CDS=1-3390	YJL093C
OG0000662	augustus_masked-hib_s106-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.14&CDS=1-4647	YKL191W
OG0000663	maker-hib_s106-snap-gene-4.141-mRNA-1_1&gene=maker-hib_s106-snap-gene-4.141&CDS=1-2082	YLR427W
OG0000664	augustus_masked-hib_s106-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.20&CDS=1-675	YJL218W
OG0000665	augustus_masked-hib_s106-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.21&CDS=1-900	YGL198W
OG0000666	genemark-hib_s106-processed-gene-4.186-mRNA-1_1&gene=genemark-hib_s106-processed-gene-4.186&CDS=1-1860	YMR278W
OG0000667	snap_masked-hib_s106-processed-gene-4.111-mRNA-1_1&gene=snap_masked-hib_s106-processed-gene-4.111&CDS=1-1485	YLL036C
OG0000668	maker-hib_s106-snap-gene-4.142-mRNA-1_1&gene=maker-hib_s106-snap-gene-4.142&CDS=1-1011	YLR414C
OG0000669	augustus_masked-hib_s106-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.42&CDS=1-2424	YMR277W
OG0000670	augustus_masked-hib_s106-processed-gene-4.43-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.43&CDS=1-1647	YML114C
OG0000671	augustus_masked-hib_s106-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.44&CDS=1-969	YMR276W
OG0000672	snap_masked-hib_s106-processed-gene-4.116-mRNA-1_1&gene=snap_masked-hib_s106-processed-gene-4.116&CDS=1-1272	YKL185W
OG0000673	augustus_masked-hib_s106-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.47&CDS=1-1944	YPL249C
OG0000674	augustus_masked-hib_s106-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.49&CDS=1-1197	YPL248C
OG0000675	augustus_masked-hib_s106-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.50&CDS=1-4317	YMR190C
OG0000676	augustus_masked-hib_s106-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.51&CDS=1-672	YML041C
OG0000677	augustus_masked-hib_s106-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.24&CDS=1-8124	YGL195W
OG0000678	augustus_masked-hib_s106-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.25&CDS=1-1179	YHL024W
OG0000679	augustus_masked-hib_s106-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.27&CDS=1-2091	YNL186W
OG0000680	augustus_masked-hib_s106-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.53&CDS=1-597	YBL049W
OG0000681	augustus_masked-hib_s106-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.54&CDS=1-1047	YNL177C
OG0000682	augustus_masked-hib_s106-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.55&CDS=1-651	YDL212W
OG0000683	maker-hib_s106-augustus-gene-4.65-mRNA-1_1&gene=maker-hib_s106-augustus-gene-4.65&CDS=1-2112	YDL213C
OG0000684	augustus_masked-hib_s106-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.29&CDS=1-1323	YNL181W
OG0000685	augustus_masked-hib_s106-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.57&CDS=1-429	YNL185C
OG0000686	augustus_masked-hib_s106-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.59&CDS=1-1302	YPL247C
OG0000687	augustus_masked-hib_s106-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.60&CDS=1-3033	YMR189W
OG0000688	augustus_masked-hib_s130-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.2&CDS=1-1410	YMR210W
OG0000689	augustus_masked-hib_s130-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.14&CDS=1-852	YKL019W
OG0000690	augustus_masked-hib_s130-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.3&CDS=1-1389	YMR209C
OG0000691	augustus_masked-hib_s130-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.4&CDS=1-1587	YMR217W
OG0000692	augustus_masked-hib_s130-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.5&CDS=1-984	YOR271C
OG0000693	augustus_masked-hib_s130-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.16&CDS=1-1227	YMR208W
OG0000694	augustus_masked-hib_s130-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.17&CDS=1-4836	YML103C
OG0000695	augustus_masked-hib_s130-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.20&CDS=1-3297	YMR287C
OG0000696	augustus_masked-hib_s141-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.35&CDS=1-2484	YGL083W
OG0000697	augustus_masked-hib_s141-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.30&CDS=1-591	YPL178W
OG0000698	augustus_masked-hib_s141-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.37&CDS=1-1740	YAL067C
OG0000699	augustus_masked-hib_s141-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.31&CDS=1-978	YML121W
OG0000700	augustus_masked-hib_s141-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.32&CDS=1-1344	YHR190W
OG0000701	augustus_masked-hib_s141-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.38&CDS=1-1269	YBR279W
OG0000702	augustus_masked-hib_s141-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.40&CDS=1-954	YJR096W
OG0000703	augustus_masked-hib_s141-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.34&CDS=1-642	YML001W
OG0000704	augustus_masked-hib_s141-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.41&CDS=1-735	YPL199C
OG0000705	augustus_masked-hib_s155-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.18&CDS=1-1953	YJL090C
OG0000706	maker-hib_s155-augustus-gene-0.34-mRNA-1_1&gene=maker-hib_s155-augustus-gene-0.34&CDS=1-6303	YMR176W
OG0000707	augustus_masked-hib_s155-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.3&CDS=1-1698	YDL210W
OG0000708	augustus_masked-hib_s155-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.4&CDS=1-1875	YML127W
OG0000709	augustus_masked-hib_s155-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.5&CDS=1-447	YML094W
OG0000710	augustus_masked-hib_s155-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.21&CDS=1-1014	YML095C
OG0000711	augustus_masked-hib_s155-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.6&CDS=1-213	YNL024C-A
OG0000712	augustus_masked-hib_s155-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.22&CDS=1-2121	YIL091C
OG0000713	augustus_masked-hib_s155-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.7&CDS=1-1368	YIL090W
OG0000714	augustus_masked-hib_s155-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.24&CDS=1-1107	YPR035W
OG0000715	augustus_masked-hib_s155-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.9&CDS=1-5862	YJL005W
OG0000716	augustus_masked-hib_s155-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.12&CDS=1-3165	YMR196W
OG0000717	augustus_masked-hib_s155-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.13&CDS=1-657	YMR197C
OG0000718	augustus_masked-hib_s155-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.14&CDS=1-672	YPL252C
OG0000719	augustus_masked-hib_s155-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.28&CDS=1-1065	YPL254W
OG0000720	augustus_masked-hib_s155-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.29&CDS=1-1512	YOR378W
OG0000721	augustus_masked-hib_s155-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.30&CDS=1-435	YML077W
OG0000722	genemark-hib_s155-processed-gene-0.108-mRNA-1_1&gene=genemark-hib_s155-processed-gene-0.108&CDS=1-180	YML081C-A
OG0000723	augustus_masked-hib_s155-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.31&CDS=1-1491	YNL026W
OG0000724	augustus_masked-hib_s155-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.33&CDS=1-1233	YML005W
OG0000725	snap_masked-hib_s155-processed-gene-1.43-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-1.43&CDS=1-1047	YNL016W
OG0000726	snap_masked-hib_s155-processed-gene-1.44-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-1.44&CDS=1-1695	YDL122W
OG0000727	augustus_masked-hib_s155-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.84&CDS=1-897	YIL096C
OG0000728	augustus_masked-hib_s155-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.86&CDS=1-1479	YIL097W
OG0000729	augustus_masked-hib_s155-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.108&CDS=1-699	YOL003C
OG0000730	snap_masked-hib_s155-processed-gene-1.49-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-1.49&CDS=1-711	YOR362C
OG0000731	augustus_masked-hib_s155-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.90&CDS=1-2181	YOR361C
OG0000732	augustus_masked-hib_s155-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.110&CDS=1-330	YAL046C
OG0000733	augustus_masked-hib_s155-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.91&CDS=1-1890	YAL048C
OG0000734	snap_masked-hib_s155-processed-gene-1.53-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-1.53&CDS=1-600	YOR294W
OG0000735	augustus_masked-hib_s155-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.93&CDS=1-3738	YOR296W
OG0000736	snap_masked-hib_s155-processed-gene-1.73-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-1.73&CDS=1-4146	YOL004W
OG0000737	genemark-hib_s155-processed-gene-1.15-mRNA-1_1&gene=genemark-hib_s155-processed-gene-1.15&CDS=1-360	YOL005C
OG0000738	augustus_masked-hib_s155-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.112&CDS=1-1989	YMR001C
OG0000739	augustus_masked-hib_s155-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.95&CDS=1-2163	YOL006C
OG0000740	augustus_masked-hib_s155-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.114&CDS=1-435	YMR002W
OG0000741	maker-hib_s155-augustus-gene-1.123-mRNA-1_1&gene=maker-hib_s155-augustus-gene-1.123&CDS=1-6735	YLR419W
OG0000742	augustus_masked-hib_s155-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.101&CDS=1-1605	YDR145W
OG0000743	augustus_masked-hib_s155-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.116&CDS=1-1941	YLR127C
OG0000744	genemark-hib_s155-processed-gene-1.23-mRNA-1_1&gene=genemark-hib_s155-processed-gene-1.23&CDS=1-762	YLR128W
OG0000745	snap_masked-hib_s155-processed-gene-1.79-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-1.79&CDS=1-1404	YGR212W
OG0000746	augustus_masked-hib_s155-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.103&CDS=1-786	YOL142W
OG0000747	augustus_masked-hib_s155-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.104&CDS=1-2037	YOL141W
OG0000748	augustus_masked-hib_s155-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.119&CDS=1-1932	YIL046W
OG0000749	augustus_masked-hib_s155-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.106&CDS=1-1422	YGR211W
OG0000750	augustus_masked-hib_s155-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.120&CDS=1-6330	YGR217W
OG0000751	augustus_masked-hib_s155-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.107&CDS=1-300	YGR215W
OG0000752	augustus_masked-hib_s155-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.3&CDS=1-4263	YDL195W
OG0000753	augustus_masked-hib_s155-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.26&CDS=1-927	YGR017W
OG0000754	augustus_masked-hib_s155-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.7&CDS=1-1389	YLL002W
OG0000755	augustus_masked-hib_s155-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.28&CDS=1-1176	YLR191W
OG0000756	augustus_masked-hib_s155-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.11&CDS=1-894	YJL126W
OG0000757	augustus_masked-hib_s155-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.30&CDS=1-1446	YJL123C
OG0000758	augustus_masked-hib_s155-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.13&CDS=1-1866	YDR103W
OG0000759	genemark-hib_s155-processed-gene-2.118-mRNA-1_1&gene=genemark-hib_s155-processed-gene-2.118&CDS=1-4095	YDR104C
OG0000760	augustus_masked-hib_s155-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.14&CDS=1-2979	YGL241W
OG0000761	maker-hib_s155-augustus-gene-2.42-mRNA-1_1&gene=maker-hib_s155-augustus-gene-2.42&CDS=1-2163	YNL191W
OG0000762	augustus_masked-hib_s155-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.16&CDS=1-492	YJL096W
OG0000763	augustus_masked-hib_s155-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.35&CDS=1-1680	YNR030W
OG0000764	augustus_masked-hib_s155-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.18&CDS=1-1155	YNR029C
OG0000765	augustus_masked-hib_s155-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.19&CDS=1-1332	YJL054W
OG0000766	augustus_masked-hib_s155-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.20&CDS=1-1353	YOR375C
OG0000767	augustus_masked-hib_s155-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.21&CDS=1-783	YEL019C
OG0000768	genemark-hib_s155-processed-gene-2.123-mRNA-1_1&gene=genemark-hib_s155-processed-gene-2.123&CDS=1-813	YGL221C
OG0000769	augustus_masked-hib_s155-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.37&CDS=1-4311	YDL240W
OG0000770	augustus_masked-hib_s155-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.38&CDS=1-651	YNL038W
OG0000771	augustus_masked-hib_s155-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.39&CDS=1-1998	YNL039W
OG0000772	augustus_masked-hib_s155-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.24&CDS=1-1086	YNL035C
OG0000773	augustus_masked-hib_s155-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.25&CDS=1-2829	YNL021W
OG0000774	augustus_masked-hib_s155-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.3&CDS=1-1377	YNL022C
OG0000775	augustus_masked-hib_s155-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.7&CDS=1-1113	YIL094C
OG0000776	augustus_masked-hib_s155-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.4&CDS=1-681	YOR232W
OG0000777	maker-hib_s155-augustus-gene-3.2-mRNA-1_1&gene=maker-hib_s155-augustus-gene-3.2&CDS=1-2058	YBR123C
OG0000778	augustus_masked-hib_s155-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.29&CDS=1-1290	YHR004C
OG0000779	augustus_masked-hib_s155-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.12&CDS=1-1164	YJL203W
OG0000780	augustus_masked-hib_s155-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.32&CDS=1-1479	YBR182C
OG0000781	augustus_masked-hib_s155-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.13&CDS=1-7365	YPL085W
OG0000782	snap_masked-hib_s155-processed-gene-3.145-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-3.145&CDS=1-654	YMR069W
OG0000783	augustus_masked-hib_s155-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.34&CDS=1-894	YOR311C
OG0000784	augustus_masked-hib_s155-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.17&CDS=1-1455	YMR023C
OG0000785	augustus_masked-hib_s155-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.18&CDS=1-4074	YPR047W
OG0000786	augustus_masked-hib_s155-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.37&CDS=1-603	YKL041W
OG0000787	augustus_masked-hib_s155-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.38&CDS=1-1077	YBR087W
OG0000788	augustus_masked-hib_s155-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.39&CDS=1-561	YER042W
OG0000789	augustus_masked-hib_s155-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.42&CDS=1-615	YOR289W
OG0000790	augustus_masked-hib_s155-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.21&CDS=1-702	YMR134W
OG0000791	augustus_masked-hib_s155-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.45&CDS=1-2445	YGL027C
OG0000792	augustus_masked-hib_s155-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.23&CDS=1-1248	YOL058W
OG0000793	augustus_masked-hib_s155-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.48&CDS=1-1599	YER051W
OG0000794	augustus_masked-hib_s155-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.24&CDS=1-1221	YIL042C
OG0000795	augustus_masked-hib_s155-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.25&CDS=1-1845	YDL146W
OG0000796	augustus_masked-hib_s155-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.59&CDS=1-3567	YGR233C
OG0000797	augustus_masked-hib_s155-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.60&CDS=1-603	YDR002W
OG0000798	augustus_masked-hib_s155-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.61&CDS=1-3237	YGR218W
OG0000799	augustus_masked-hib_s155-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.63&CDS=1-1452	YBR003W
