	Ambrosiozyma_monospora	Saccharomyces_cerevisiae
OG0000258	-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-gi|1002318551|dbj|BCIP01000010.1|-processed-gene-3.52&CDS=1-1026, -snap-gene-2.8-mRNA-1_1&gene=maker-gi|1002318534|dbj|BCIP01000027.1|-snap-gene-2.8&CDS=1-3051	YLR290C
OG0000259	-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-gi|1002318534|dbj|BCIP01000027.1|-processed-gene-2.123&CDS=1-201	YLR264W, YOR167C
OG0000260	-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-gi|1002318535|dbj|BCIP01000026.1|-processed-gene-0.32&CDS=1-2868	YMR237W, YOR299W
OG0000261	-processed-gene-0.8-mRNA-1_1&gene=genemark-gi|1002318535|dbj|BCIP01000026.1|-processed-gene-0.8&CDS=1-867	YDR287W, YHR046C
OG0000262	-processed-gene-1.77-mRNA-1_1&gene=genemark-gi|1002318535|dbj|BCIP01000026.1|-processed-gene-1.77&CDS=1-4230	YJR127C, YML081W
OG0000263	-processed-gene-1.66-mRNA-1_1&gene=genemark-gi|1002318535|dbj|BCIP01000026.1|-processed-gene-1.66&CDS=1-2373	YJL082W, YKR018C
OG0000264	-processed-gene-1.70-mRNA-1_1&gene=genemark-gi|1002318535|dbj|BCIP01000026.1|-processed-gene-1.70&CDS=1-1374	YBR042C, YDR018C
OG0000265	-processed-gene-2.1-mRNA-1_1&gene=genemark-gi|1002318535|dbj|BCIP01000026.1|-processed-gene-2.1&CDS=1-3684	YDR389W, YOR134W
OG0000266	-processed-gene-2.33-mRNA-1_1&gene=genemark-gi|1002318535|dbj|BCIP01000026.1|-processed-gene-2.33&CDS=1-1500	YOR231W, YPL140C
OG0000267	-processed-gene-2.13-mRNA-1_1&gene=genemark-gi|1002318535|dbj|BCIP01000026.1|-processed-gene-2.13&CDS=1-1125, -processed-gene-4.42-mRNA-1_1&gene=augustus_masked-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-4.42&CDS=1-648	YKR066C
OG0000268	-processed-gene-2.14-mRNA-1_1&gene=genemark-gi|1002318535|dbj|BCIP01000026.1|-processed-gene-2.14&CDS=1-1989	YDR247W, YPL026C
OG0000269	-processed-gene-0.46-mRNA-1_1&gene=genemark-gi|1002318536|dbj|BCIP01000025.1|-processed-gene-0.46&CDS=1-1941, -processed-gene-4.109-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-4.109&CDS=1-1605	YPR065W
OG0000270	-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-gi|1002318536|dbj|BCIP01000025.1|-processed-gene-0.3&CDS=1-1611	YDR348C, YHR097C
OG0000271	-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-gi|1002318536|dbj|BCIP01000025.1|-processed-gene-0.21&CDS=1-2340, -processed-gene-0.43-mRNA-1_1&gene=snap_masked-gi|1002318536|dbj|BCIP01000025.1|-processed-gene-0.43&CDS=1-1764	YNR063W
OG0000272	-processed-gene-1.13-mRNA-1_1&gene=genemark-gi|1002318536|dbj|BCIP01000025.1|-processed-gene-1.13&CDS=1-1563	YDL127W, YDL179W
OG0000273	-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-gi|1002318536|dbj|BCIP01000025.1|-processed-gene-2.76&CDS=1-555	YMR242C, YOR312C
OG0000274	-processed-gene-2.44-mRNA-1_1&gene=genemark-gi|1002318536|dbj|BCIP01000025.1|-processed-gene-2.44&CDS=1-4173	YDR379W, YOR127W
OG0000275	-processed-gene-2.65-mRNA-1_1&gene=genemark-gi|1002318536|dbj|BCIP01000025.1|-processed-gene-2.65&CDS=1-762, -processed-gene-4.11-mRNA-1_1&gene=genemark-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-4.11&CDS=1-786	YNL010W
OG0000276	-processed-gene-0.1-mRNA-1_1&gene=genemark-gi|1002318537|dbj|BCIP01000024.1|-processed-gene-0.1&CDS=1-585, -processed-gene-0.71-mRNA-1_1&gene=genemark-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-0.71&CDS=1-585	YNR018W
OG0000277	-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-gi|1002318537|dbj|BCIP01000024.1|-processed-gene-0.35&CDS=1-1104	YLL012W, YLR020C
OG0000278	-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-gi|1002318537|dbj|BCIP01000024.1|-processed-gene-0.27&CDS=1-519	YGR085C, YPR102C
OG0000279	-snap-gene-2.1-mRNA-1_1&gene=maker-gi|1002318540|dbj|BCIP01000021.1|-snap-gene-2.1&CDS=1-3939, -snap-gene-2.57-mRNA-1_1&gene=maker-gi|1002318537|dbj|BCIP01000024.1|-snap-gene-2.57&CDS=1-2223	YPR127W
OG0000280	-processed-gene-2.23-mRNA-1_1&gene=genemark-gi|1002318537|dbj|BCIP01000024.1|-processed-gene-2.23&CDS=1-2721	YOR256C, YPL176C
OG0000281	-processed-gene-0.10-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-0.10&CDS=1-3165	YBL106C, YPR032W
OG0000282	-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-1.26&CDS=1-381	YGR034W, YLR344W
OG0000283	-processed-gene-2.11-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.11&CDS=1-738	YER031C, YGL210W
OG0000284	-processed-gene-2.40-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.40&CDS=1-1674	YIR031C, YNL117W
OG0000285	-processed-gene-2.18-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.18&CDS=1-2505	YBR294W, YLR092W
OG0000286	-processed-gene-2.21-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.21&CDS=1-384	YHR132W-A, YNL157W
OG0000287	-processed-gene-2.120-mRNA-1_1&gene=snap_masked-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-2.120&CDS=1-987	YHR133C, YNL156C
OG0000288	-processed-gene-0.74-mRNA-1_1&gene=snap_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-0.74&CDS=1-1581	YBR214W, YGL056C
OG0000289	-processed-gene-1.11-mRNA-1_1&gene=genemark-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-1.11&CDS=1-315	YER019C-A, YER087C-B
OG0000290	-snap-gene-1.5-mRNA-1_1&gene=maker-gi|1002318539|dbj|BCIP01000022.1|-snap-gene-1.5&CDS=1-5445, -snap-gene-2.29-mRNA-1_1&gene=maker-gi|1002318551|dbj|BCIP01000010.1|-snap-gene-2.29&CDS=1-5871	YPR194C
OG0000291	-processed-gene-1.19-mRNA-1_1&gene=genemark-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-1.19&CDS=1-1857, -processed-gene-2.14-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-2.14&CDS=1-1860	YBR132C
OG0000292	-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-2.8&CDS=1-1506	YIL085C, YNL029C
OG0000293	-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-1.48&CDS=1-798, -processed-gene-3.7-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.7&CDS=1-1806	YDR472W
OG0000294	-processed-gene-3.49-mRNA-1_1&gene=snap_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.49&CDS=1-1110	YPR013C, YPR015C
OG0000295	-augustus-gene-3.84-mRNA-1_1&gene=maker-gi|1002318539|dbj|BCIP01000022.1|-augustus-gene-3.84&CDS=1-390	YJL190C, YLR367W
OG0000296	-processed-gene-0.66-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-0.66&CDS=1-3093	YJR061W, YKL201C
OG0000297	-processed-gene-0.68-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-0.68&CDS=1-1581	YEL047C, YJR051W
OG0000298	-processed-gene-0.23-mRNA-1_1&gene=snap_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-0.23&CDS=1-2514	YDR223W, YLR223C
OG0000299	-processed-gene-1.51-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-1.51&CDS=1-999	YHR198C, YHR199C
OG0000300	-snap-gene-1.79-mRNA-1_1&gene=maker-gi|1002318540|dbj|BCIP01000021.1|-snap-gene-1.79&CDS=1-2616	YHL003C, YKL008C
OG0000301	-processed-gene-2.76-mRNA-1_1&gene=snap_masked-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-2.76&CDS=1-3963	YDR122W, YLR096W
OG0000302	-processed-gene-3.8-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.8&CDS=1-351	YDL061C, YLR388W
OG0000303	-processed-gene-3.37-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.37&CDS=1-699, -processed-gene-5.167-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-5.167&CDS=1-738	YER004W
OG0000304	-processed-gene-3.19-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.19&CDS=1-2808	YDR251W, YPL032C
OG0000305	-processed-gene-3.31-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-3.31&CDS=1-1986, -processed-gene-5.50-mRNA-1_1&gene=genemark-gi|1002318545|dbj|BCIP01000016.1|-processed-gene-5.50&CDS=1-1986	YDR006C
OG0000306	-processed-gene-0.35-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-0.35&CDS=1-1275, -processed-gene-4.104-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.104&CDS=1-1323	YCR045C
OG0000307	-processed-gene-1.65-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-1.65&CDS=1-1002	YBR031W, YDR012W
OG0000308	-processed-gene-1.66-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-1.66&CDS=1-909	YBR104W, YPR058W
OG0000309	-processed-gene-2.9-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-2.9&CDS=1-651	YGL135W, YPL220W
OG0000310	-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-1.48&CDS=1-2793, -snap-gene-3.104-mRNA-1_1&gene=maker-gi|1002318541|dbj|BCIP01000020.1|-snap-gene-3.104&CDS=1-2454	YPR022C
OG0000311	-processed-gene-3.70-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-3.70&CDS=1-2856	YGR056W, YLR357W
OG0000312	-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-0.28&CDS=1-600	YIL133C, YNL069C
OG0000313	-processed-gene-0.15-mRNA-1_1&gene=genemark-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-0.15&CDS=1-567	YNL096C, YOR096W
OG0000314	-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-1.34&CDS=1-822	YBR242W, YGL101W
OG0000315	-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-1.52&CDS=1-1536	YKR091W, YOR083W
OG0000316	-processed-gene-1.67-mRNA-1_1&gene=genemark-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-1.67&CDS=1-2280	YIL131C, YNL068C
OG0000317	-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-1.44&CDS=1-2145	YBR216C, YGL060W
OG0000318	-processed-gene-2.71-mRNA-1_1&gene=genemark-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-2.71&CDS=1-648	YBR005W, YDR003W
OG0000319	-processed-gene-2.92-mRNA-1_1&gene=genemark-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-2.92&CDS=1-2022	YDR463W, YHR006W
OG0000320	-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-2.48&CDS=1-3645	YBR169C, YPL106C
OG0000321	-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-3.18&CDS=1-3852	YBL101C, YPR030W
OG0000322	-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-3.19&CDS=1-5100, -processed-gene-7.16-mRNA-1_1&gene=genemark-gi|1002318555|dbj|BCIP01000006.1|-processed-gene-7.16&CDS=1-2076	YIL046W
OG0000323	-processed-gene-3.91-mRNA-1_1&gene=genemark-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-3.91&CDS=1-897	YBR183W, YPL087W
OG0000324	-processed-gene-4.18-mRNA-1_1&gene=snap_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-4.18&CDS=1-1038, -processed-gene-4.95-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-4.95&CDS=1-1038	YMR315W
OG0000325	-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-4.87&CDS=1-4017	YML109W, YMR273C
OG0000326	-processed-gene-0.37-mRNA-1_1&gene=snap_masked-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-0.37&CDS=1-2289, -processed-gene-4.98-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-4.98&CDS=1-639	YOL019W
OG0000327	-processed-gene-0.22-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-0.22&CDS=1-450	YIL111W, YNL052W
OG0000328	-processed-gene-1.70-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-1.70&CDS=1-1320, -processed-gene-6.60-mRNA-1_1&gene=augustus_masked-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-6.60&CDS=1-1308	YOR197W
OG0000329	-processed-gene-1.57-mRNA-1_1&gene=snap_masked-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-1.57&CDS=1-1893, -processed-gene-1.91-mRNA-1_1&gene=genemark-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-1.91&CDS=1-1743	YHL039W
OG0000330	-snap-gene-4.2-mRNA-1_1&gene=maker-gi|1002318543|dbj|BCIP01000018.1|-snap-gene-4.2&CDS=1-4929	YAL017W, YOL045W
OG0000331	-processed-gene-4.19-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-4.19&CDS=1-1956, -processed-gene-5.6-mRNA-1_1&gene=genemark-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-5.6&CDS=1-1605	YMR319C
OG0000332	-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.47&CDS=1-1998, -processed-gene-4.26-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-4.26&CDS=1-2004	YPR159W
OG0000333	-processed-gene-0.22-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-0.22&CDS=1-1113, -processed-gene-3.107-mRNA-1_1&gene=augustus_masked-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-3.107&CDS=1-1197	YJR148W
OG0000334	-processed-gene-0.9-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-0.9&CDS=1-5937	YLR031W, YMR124W
OG0000335	-processed-gene-0.29-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-0.29&CDS=1-612	YLR029C, YMR121C
OG0000336	-processed-gene-1.112-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-1.112&CDS=1-279	YJR094W-A, YPR043W
OG0000337	-processed-gene-1.115-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-1.115&CDS=1-768	YDR185C, YLR168C
OG0000338	-processed-gene-2.5-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-2.5&CDS=1-780	YHL033C, YLL045C
OG0000339	-processed-gene-0.94-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.94&CDS=1-1422, -processed-gene-2.28-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-2.28&CDS=1-1494	YHR176W
OG0000340	-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-3.25&CDS=1-3573	YJR091C, YPR042C
OG0000341	-processed-gene-4.81-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-4.81&CDS=1-2445	YDR200C, YLR238W
OG0000342	-processed-gene-5.106-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-5.106&CDS=1-981	YDL204W, YDR233C
OG0000343	-processed-gene-5.147-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-5.147&CDS=1-3420	YDR206W, YLR233C
OG0000344	-processed-gene-1.22-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-1.22&CDS=1-831, -processed-gene-5.150-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-5.150&CDS=1-1149	YDR207C
OG0000345	-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-gi|1002318545|dbj|BCIP01000016.1|-processed-gene-1.69&CDS=1-2577	YBR033W, YKL038W
OG0000346	-processed-gene-6.1-mRNA-1_1&gene=augustus_masked-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-6.1&CDS=1-1212, -snap-gene-1.1-mRNA-1_1&gene=maker-gi|1002318545|dbj|BCIP01000016.1|-snap-gene-1.1&CDS=1-2655	YKR064W
OG0000347	-snap-gene-2.7-mRNA-1_1&gene=maker-gi|1002318545|dbj|BCIP01000016.1|-snap-gene-2.7&CDS=1-4131	YGR238C, YHR158C
OG0000348	-processed-gene-2.34-mRNA-1_1&gene=snap_masked-gi|1002318545|dbj|BCIP01000016.1|-processed-gene-2.34&CDS=1-1356	YDR151C, YLR136C
OG0000349	-augustus-gene-2.2-mRNA-1_1&gene=maker-gi|1002318545|dbj|BCIP01000016.1|-augustus-gene-2.2&CDS=1-3378	YDL109C, YGL144C
OG0000350	-processed-gene-4.78-mRNA-1_1&gene=genemark-gi|1002318545|dbj|BCIP01000016.1|-processed-gene-4.78&CDS=1-3048	YDR385W, YOR133W
OG0000351	-processed-gene-5.36-mRNA-1_1&gene=genemark-gi|1002318545|dbj|BCIP01000016.1|-processed-gene-5.36&CDS=1-891	YKR075C, YOR062C
OG0000352	-snap-gene-1.0-mRNA-1_1&gene=maker-gi|1002318546|dbj|BCIP01000015.1|-snap-gene-1.0&CDS=1-966	YNL301C, YOL120C
OG0000353	-processed-gene-3.59-mRNA-1_1&gene=genemark-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-3.59&CDS=1-957, -processed-gene-4.68-mRNA-1_1&gene=augustus_masked-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-4.68&CDS=1-927	YMR244W
OG0000354	-processed-gene-4.22-mRNA-1_1&gene=genemark-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-4.22&CDS=1-3249	YJL105W, YKR029C
OG0000355	-processed-gene-5.64-mRNA-1_1&gene=genemark-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-5.64&CDS=1-645	YGR038W, YLR350W
OG0000356	-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-6.19&CDS=1-1203	YCR094W, YNR048W
OG0000357	-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-6.7&CDS=1-1560	YFL048C, YLR080W
OG0000358	-processed-gene-1.27-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-1.27&CDS=1-1278, -snap-gene-7.12-mRNA-1_1&gene=maker-gi|1002318559|dbj|BCIP01000002.1|-snap-gene-7.12&CDS=1-2439	YBR078W
OG0000359	-processed-gene-2.15-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-2.15&CDS=1-1509	YER028C, YGL209W
OG0000360	-processed-gene-10.45-mRNA-1_1&gene=snap_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-10.45&CDS=1-1464, -processed-gene-2.19-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-2.19&CDS=1-6303	YNL271C
OG0000361	-processed-gene-3.70-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-3.70&CDS=1-1146, -processed-gene-8.93-mRNA-1_1&gene=genemark-gi|1002318557|dbj|BCIP01000004.1|-processed-gene-8.93&CDS=1-1083	YEL046C
OG0000362	-processed-gene-3.90-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-3.90&CDS=1-1488	YMR169C, YMR170C
OG0000363	-processed-gene-4.56-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-4.56&CDS=1-1794, -processed-gene-4.6-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-4.6&CDS=1-1740	YAL067C
OG0000364	-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-4.60&CDS=1-6153	YIL149C, YKR095W
OG0000365	-processed-gene-5.189-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-5.189&CDS=1-1146	YJL133W, YKR052C
OG0000366	-processed-gene-3.64-mRNA-1_1&gene=snap_masked-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-3.64&CDS=1-1566	YKL133C, YMR115W
OG0000367	-processed-gene-3.33-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-3.33&CDS=1-1284, -processed-gene-4.85-mRNA-1_1&gene=genemark-gi|1002318550|dbj|BCIP01000011.1|-processed-gene-4.85&CDS=1-1311	YGR254W
OG0000368	-processed-gene-4.69-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-4.69&CDS=1-1863	YDR107C, YLR083C
OG0000369	-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-gi|1002318551|dbj|BCIP01000010.1|-processed-gene-4.19&CDS=1-2358, -processed-gene-4.33-mRNA-1_1&gene=snap_masked-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-4.33&CDS=1-2379	YHR150W
OG0000370	-snap-gene-5.36-mRNA-1_1&gene=maker-gi|1002318548|dbj|BCIP01000013.1|-snap-gene-5.36&CDS=1-2745	YFR023W, YHR015W
OG0000371	-processed-gene-5.16-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-5.16&CDS=1-762	YGR248W, YHR163W
OG0000372	-snap-gene-6.113-mRNA-1_1&gene=maker-gi|1002318548|dbj|BCIP01000013.1|-snap-gene-6.113&CDS=1-3822	YCL024W, YDR507C
OG0000373	-processed-gene-6.27-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-6.27&CDS=1-3513	YGL049C, YGR162W
OG0000374	-processed-gene-6.35-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-6.35&CDS=1-2142	YDR134C, YLR110C
OG0000375	-processed-gene-6.15-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-6.15&CDS=1-2454	YFL050C, YOL130W
OG0000376	-processed-gene-0.71-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-0.71&CDS=1-1317	YFR014C, YOL016C
OG0000377	-processed-gene-0.58-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-0.58&CDS=1-945	YLR270W, YOR173W
OG0000378	-processed-gene-1.34-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-1.34&CDS=1-1527	YGL162W, YPR009W
OG0000379	-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-1.78&CDS=1-1989	YMR119W, YNL008C
OG0000380	-processed-gene-2.2-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-2.2&CDS=1-2058	YDL224C, YNL197C
OG0000381	-processed-gene-2.14-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-2.14&CDS=1-1410	YGL247W, YHR036W
OG0000382	-processed-gene-2.16-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-2.16&CDS=1-2652	YJL083W, YKR019C
OG0000383	-processed-gene-3.106-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-3.106&CDS=1-780	YMR233W, YOR295W
OG0000384	-processed-gene-3.109-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-3.109&CDS=1-1095, -processed-gene-3.110-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-3.110&CDS=1-1038	YER142C
OG0000385	-processed-gene-3.92-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-3.92&CDS=1-2631	YDR069C, YER144C
OG0000386	-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-4.47&CDS=1-3951	YML100W, YMR261C
OG0000387	-processed-gene-5.20-mRNA-1_1&gene=augustus_masked-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-5.20&CDS=1-5022, -processed-gene-6.2-mRNA-1_1&gene=augustus_masked-gi|1002318556|dbj|BCIP01000005.1|-processed-gene-6.2&CDS=1-4917	YLL048C
OG0000388	-processed-gene-6.81-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-6.81&CDS=1-1095	YBR161W, YPL057C
OG0000389	-snap-gene-6.117-mRNA-1_1&gene=maker-gi|1002318549|dbj|BCIP01000012.1|-snap-gene-6.117&CDS=1-1680	YCL037C, YDR515W
OG0000390	-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-6.62&CDS=1-768	YBL091C-A, YER120W
OG0000391	-processed-gene-6.115-mRNA-1_1&gene=genemark-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-6.115&CDS=1-300	YGR008C, YLR327C
