	Metschnikowia_hawaiiensis	Saccharomyces_cerevisiae
OG0000291	maker-haw-_s162-snap-gene-0.27-mRNA-1_1&gene=maker-haw-_s162-snap-gene-0.27&CDS=1-801	YMR233W, YOR295W
OG0000292	snap_masked-haw-_s165-processed-gene-0.40-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-0.40&CDS=1-3795	YDR122W, YLR096W
OG0000293	snap_masked-haw-_s165-processed-gene-0.34-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-0.34&CDS=1-2130	YGR056W, YLR357W
OG0000294	snap_masked-haw-_s165-processed-gene-0.50-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-0.50&CDS=1-1116, snap_masked-haw-_s481-processed-gene-0.25-mRNA-1_1&gene=snap_masked-haw-_s481-processed-gene-0.25&CDS=1-1170	YCR044C
OG0000295	snap_masked-haw-_s165-processed-gene-1.83-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-1.83&CDS=1-1413	YJL139C, YKR061W
OG0000296	snap_masked-haw-_s165-processed-gene-1.101-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-1.101&CDS=1-510	YJL177W, YKL180W
OG0000297	snap_masked-haw-_s165-processed-gene-1.86-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-1.86&CDS=1-2319, snap_masked-haw-_s94-processed-gene-0.30-mRNA-1_1&gene=snap_masked-haw-_s94-processed-gene-0.30&CDS=1-234	YJL176C
OG0000298	maker-haw-_s165-snap-gene-2.91-mRNA-1_1&gene=maker-haw-_s165-snap-gene-2.91&CDS=1-2439, snap_masked-haw-_s31-processed-gene-1.45-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-1.45&CDS=1-2826	YOR270C
OG0000299	snap_masked-haw-_s165-processed-gene-2.88-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-2.88&CDS=1-4119	YCR073C, YNR031C
OG0000300	augustus_masked-haw-_s638-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s638-processed-gene-0.0&CDS=1-696, snap_masked-haw-_s165-processed-gene-2.80-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-2.80&CDS=1-1545	YCR072C
OG0000301	snap_masked-haw-_s165-processed-gene-3.159-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-3.159&CDS=1-3030	YGL049C, YGR162W
OG0000302	snap_masked-haw-_s165-processed-gene-3.135-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-3.135&CDS=1-966	YJL133W, YKR052C
OG0000303	snap_masked-haw-_s165-processed-gene-3.137-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-3.137&CDS=1-1578	YLL012W, YLR020C
OG0000304	snap_masked-haw-_s165-processed-gene-3.139-mRNA-1_1&gene=snap_masked-haw-_s165-processed-gene-3.139&CDS=1-1470, snap_masked-haw-_s298-processed-gene-0.56-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-0.56&CDS=1-1362	YHR176W
OG0000305	augustus_masked-haw-_s165-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-haw-_s165-processed-gene-3.50&CDS=1-870	YHR198C, YHR199C
OG0000306	augustus_masked-haw-_s300-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-haw-_s300-processed-gene-0.74&CDS=1-3285, snap_masked-haw-_s169-processed-gene-0.17-mRNA-1_1&gene=snap_masked-haw-_s169-processed-gene-0.17&CDS=1-279	YPR055W
OG0000307	augustus_masked-haw-_s172-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s172-processed-gene-0.0&CDS=1-471, snap_masked-haw-_s344-processed-gene-0.22-mRNA-1_1&gene=snap_masked-haw-_s344-processed-gene-0.22&CDS=1-4590	YIR006C
OG0000308	snap_masked-haw-_s175-processed-gene-0.95-mRNA-1_1&gene=snap_masked-haw-_s175-processed-gene-0.95&CDS=1-573	YGL147C, YNL067W
OG0000309	genemark-haw-_s425-processed-gene-0.48-mRNA-1_1&gene=genemark-haw-_s425-processed-gene-0.48&CDS=1-1524, snap_masked-haw-_s175-processed-gene-0.66-mRNA-1_1&gene=snap_masked-haw-_s175-processed-gene-0.66&CDS=1-1212	YDR013W
OG0000310	snap_masked-haw-_s175-processed-gene-0.79-mRNA-1_1&gene=snap_masked-haw-_s175-processed-gene-0.79&CDS=1-1647	YDL085W, YMR145C
OG0000311	snap_masked-haw-_s175-processed-gene-0.115-mRNA-1_1&gene=snap_masked-haw-_s175-processed-gene-0.115&CDS=1-1263	YDR451C, YML027W
OG0000312	maker-haw-_s456-augustus-gene-0.5-mRNA-1_1&gene=maker-haw-_s456-augustus-gene-0.5&CDS=1-1914, snap_masked-haw-_s178-processed-gene-0.81-mRNA-1_1&gene=snap_masked-haw-_s178-processed-gene-0.81&CDS=1-1509	YBR006W
OG0000313	snap_masked-haw-_s178-processed-gene-0.87-mRNA-1_1&gene=snap_masked-haw-_s178-processed-gene-0.87&CDS=1-465	YBR048W, YDR025W
OG0000314	snap_masked-haw-_s178-processed-gene-0.127-mRNA-1_1&gene=snap_masked-haw-_s178-processed-gene-0.127&CDS=1-639	YBR014C, YDL010W
OG0000315	snap_masked-haw-_s178-processed-gene-0.128-mRNA-1_1&gene=snap_masked-haw-_s178-processed-gene-0.128&CDS=1-1653	YIR031C, YNL117W
OG0000316	snap_masked-haw-_s178-processed-gene-0.88-mRNA-1_1&gene=snap_masked-haw-_s178-processed-gene-0.88&CDS=1-1701	YDL042C, YOL068C
OG0000317	snap_masked-haw-_s178-processed-gene-0.139-mRNA-1_1&gene=snap_masked-haw-_s178-processed-gene-0.139&CDS=1-2079, snap_masked-haw-_s374-processed-gene-0.6-mRNA-1_1&gene=snap_masked-haw-_s374-processed-gene-0.6&CDS=1-963	YNL110C
OG0000318	genemark-haw-_s274-processed-gene-0.78-mRNA-1_1&gene=genemark-haw-_s274-processed-gene-0.78&CDS=1-3366, snap_masked-haw-_s178-processed-gene-0.154-mRNA-1_1&gene=snap_masked-haw-_s178-processed-gene-0.154&CDS=1-2655	YDR490C
OG0000319	augustus_masked-haw-_s178-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-haw-_s178-processed-gene-0.30&CDS=1-2043, augustus_masked-haw-_s48-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s48-processed-gene-0.0&CDS=1-351	YKL134C
OG0000320	maker-haw-_s181-snap-gene-0.14-mRNA-1_1&gene=maker-haw-_s181-snap-gene-0.14&CDS=1-5742, snap_masked-haw-_s5-processed-gene-0.8-mRNA-1_1&gene=snap_masked-haw-_s5-processed-gene-0.8&CDS=1-312	YMR176W
OG0000321	genemark-haw-_s30-processed-gene-0.113-mRNA-1_1&gene=genemark-haw-_s30-processed-gene-0.113&CDS=1-1044, snap_masked-haw-_s187-processed-gene-0.34-mRNA-1_1&gene=snap_masked-haw-_s187-processed-gene-0.34&CDS=1-390	YNR021W
OG0000322	snap_masked-haw-_s187-processed-gene-0.36-mRNA-1_1&gene=snap_masked-haw-_s187-processed-gene-0.36&CDS=1-1584, snap_masked-haw-_s23-processed-gene-0.86-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.86&CDS=1-1617	YMR221C
OG0000323	snap_masked-haw-_s191-processed-gene-0.14-mRNA-1_1&gene=snap_masked-haw-_s191-processed-gene-0.14&CDS=1-768, snap_masked-haw-_s298-processed-gene-2.64-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-2.64&CDS=1-768	YLR441C
OG0000324	genemark-haw-_s195-processed-gene-0.106-mRNA-1_1&gene=genemark-haw-_s195-processed-gene-0.106&CDS=1-2040	YGR241C, YHR161C
OG0000325	snap_masked-haw-_s195-processed-gene-1.91-mRNA-1_1&gene=snap_masked-haw-_s195-processed-gene-1.91&CDS=1-1113, snap_masked-haw-_s303-processed-gene-0.8-mRNA-1_1&gene=snap_masked-haw-_s303-processed-gene-0.8&CDS=1-1155	YEL046C
OG0000326	snap_masked-haw-_s195-processed-gene-1.92-mRNA-1_1&gene=snap_masked-haw-_s195-processed-gene-1.92&CDS=1-804, snap_masked-haw-_s451-processed-gene-0.100-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.100&CDS=1-1104	YGR189C
OG0000327	snap_masked-haw-_s195-processed-gene-1.138-mRNA-1_1&gene=snap_masked-haw-_s195-processed-gene-1.138&CDS=1-2340	YDL109C, YGL144C
OG0000328	snap_masked-haw-_s195-processed-gene-1.143-mRNA-1_1&gene=snap_masked-haw-_s195-processed-gene-1.143&CDS=1-2487, snap_masked-haw-_s303-processed-gene-0.10-mRNA-1_1&gene=snap_masked-haw-_s303-processed-gene-0.10&CDS=1-432	YER157W
OG0000329	snap_masked-haw-_s195-processed-gene-1.110-mRNA-1_1&gene=snap_masked-haw-_s195-processed-gene-1.110&CDS=1-1152	YBR291C, YFR045W
OG0000330	snap_masked-haw-_s199-processed-gene-0.76-mRNA-1_1&gene=snap_masked-haw-_s199-processed-gene-0.76&CDS=1-840	YLR270W, YOR173W
OG0000331	augustus_masked-haw-_s453-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s453-processed-gene-0.0&CDS=1-1101, snap_masked-haw-_s199-processed-gene-0.86-mRNA-1_1&gene=snap_masked-haw-_s199-processed-gene-0.86&CDS=1-1116	YBL016W
OG0000332	snap_masked-haw-_s20-processed-gene-0.52-mRNA-1_1&gene=snap_masked-haw-_s20-processed-gene-0.52&CDS=1-369	YHR132W-A, YNL157W
OG0000333	augustus_masked-haw-_s26-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-haw-_s26-processed-gene-0.39&CDS=1-642, snap_masked-haw-_s20-processed-gene-0.64-mRNA-1_1&gene=snap_masked-haw-_s20-processed-gene-0.64&CDS=1-1989	YDL167C
OG0000334	snap_masked-haw-_s20-processed-gene-0.39-mRNA-1_1&gene=snap_masked-haw-_s20-processed-gene-0.39&CDS=1-2625, snap_masked-haw-_s579-processed-gene-0.56-mRNA-1_1&gene=snap_masked-haw-_s579-processed-gene-0.56&CDS=1-2679	YLR241W
OG0000335	snap_masked-haw-_s20-processed-gene-0.43-mRNA-1_1&gene=snap_masked-haw-_s20-processed-gene-0.43&CDS=1-1365, snap_masked-haw-_s47-processed-gene-0.87-mRNA-1_1&gene=snap_masked-haw-_s47-processed-gene-0.87&CDS=1-1377	YBR028C
OG0000336	maker-haw-_s253-snap-gene-0.36-mRNA-1_1&gene=maker-haw-_s253-snap-gene-0.36&CDS=1-390, snap_masked-haw-_s20-processed-gene-0.48-mRNA-1_1&gene=snap_masked-haw-_s20-processed-gene-0.48&CDS=1-390	YJL190C
OG0000337	augustus_masked-haw-_s20-processed-gene-1.198-mRNA-1_1&gene=augustus_masked-haw-_s20-processed-gene-1.198&CDS=1-1761	YDR358W, YHR108W
OG0000338	snap_masked-haw-_s20-processed-gene-1.138-mRNA-1_1&gene=snap_masked-haw-_s20-processed-gene-1.138&CDS=1-678	YDR185C, YLR168C
OG0000339	snap_masked-haw-_s20-processed-gene-1.105-mRNA-1_1&gene=snap_masked-haw-_s20-processed-gene-1.105&CDS=1-588	YDR453C, YML028W
OG0000340	maker-haw-_s20-augustus-gene-1.289-mRNA-1_1&gene=maker-haw-_s20-augustus-gene-1.289&CDS=1-2655	YMR237W, YOR299W
OG0000341	snap_masked-haw-_s20-processed-gene-1.172-mRNA-1_1&gene=snap_masked-haw-_s20-processed-gene-1.172&CDS=1-1782	YHR117W, YNL121C
OG0000342	snap_masked-haw-_s20-processed-gene-1.128-mRNA-1_1&gene=snap_masked-haw-_s20-processed-gene-1.128&CDS=1-1020	YAL034C, YOR338W
OG0000343	maker-haw-_s202-snap-gene-0.10-mRNA-1_1&gene=maker-haw-_s202-snap-gene-0.10&CDS=1-1896, snap_masked-haw-_s485-processed-gene-0.7-mRNA-1_1&gene=snap_masked-haw-_s485-processed-gene-0.7&CDS=1-498	YNL016W
OG0000344	snap_masked-haw-_s202-processed-gene-0.16-mRNA-1_1&gene=snap_masked-haw-_s202-processed-gene-0.16&CDS=1-1956, snap_masked-haw-_s543-processed-gene-0.6-mRNA-1_1&gene=snap_masked-haw-_s543-processed-gene-0.6&CDS=1-1473	YNL027W
OG0000345	snap_masked-haw-_s209-processed-gene-0.29-mRNA-1_1&gene=snap_masked-haw-_s209-processed-gene-0.29&CDS=1-1749	YBR021W, YIR028W
OG0000346	genemark-haw-_s425-processed-gene-0.63-mRNA-1_1&gene=genemark-haw-_s425-processed-gene-0.63&CDS=1-2349, snap_masked-haw-_s209-processed-gene-0.10-mRNA-1_1&gene=snap_masked-haw-_s209-processed-gene-0.10&CDS=1-2337	YPR003C
OG0000347	snap_masked-haw-_s209-processed-gene-0.37-mRNA-1_1&gene=snap_masked-haw-_s209-processed-gene-0.37&CDS=1-708	YBR181C, YPL090C
OG0000348	snap_masked-haw-_s213-processed-gene-0.2-mRNA-1_1&gene=snap_masked-haw-_s213-processed-gene-0.2&CDS=1-996	YCR073W-A, YNR034W
OG0000349	snap_masked-haw-_s213-processed-gene-0.3-mRNA-1_1&gene=snap_masked-haw-_s213-processed-gene-0.3&CDS=1-4764, snap_masked-haw-_s442-processed-gene-1.64-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.64&CDS=1-4248	YGR281W
OG0000350	genemark-haw-_s213-processed-gene-0.40-mRNA-1_1&gene=genemark-haw-_s213-processed-gene-0.40&CDS=1-1815	YEL039C, YJR048W
OG0000351	augustus_masked-haw-_s443-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-haw-_s443-processed-gene-0.45&CDS=1-921, snap_masked-haw-_s22-processed-gene-0.35-mRNA-1_1&gene=snap_masked-haw-_s22-processed-gene-0.35&CDS=1-1017	YMR029C
OG0000352	snap_masked-haw-_s22-processed-gene-0.39-mRNA-1_1&gene=snap_masked-haw-_s22-processed-gene-0.39&CDS=1-1413, snap_masked-haw-_s663-processed-gene-0.15-mRNA-1_1&gene=snap_masked-haw-_s663-processed-gene-0.15&CDS=1-1380	YMR020W
OG0000353	snap_masked-haw-_s220-processed-gene-0.37-mRNA-1_1&gene=snap_masked-haw-_s220-processed-gene-0.37&CDS=1-4047	YGR070W, YLR371W
OG0000354	snap_masked-haw-_s220-processed-gene-0.40-mRNA-1_1&gene=snap_masked-haw-_s220-processed-gene-0.40&CDS=1-1413	YDL048C, YLR375W
OG0000355	snap_masked-haw-_s220-processed-gene-0.57-mRNA-1_1&gene=snap_masked-haw-_s220-processed-gene-0.57&CDS=1-192, snap_masked-haw-_s31-processed-gene-1.79-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-1.79&CDS=1-1509	YDR434W
OG0000356	maker-haw-_s313-snap-gene-0.121-mRNA-1_1&gene=maker-haw-_s313-snap-gene-0.121&CDS=1-2601, snap_masked-haw-_s220-processed-gene-0.45-mRNA-1_1&gene=snap_masked-haw-_s220-processed-gene-0.45&CDS=1-1857	YMR058W
OG0000357	snap_masked-haw-_s220-processed-gene-0.47-mRNA-1_1&gene=snap_masked-haw-_s220-processed-gene-0.47&CDS=1-3192	YBL106C, YPR032W
OG0000358	genemark-haw-_s225-processed-gene-0.6-mRNA-1_1&gene=genemark-haw-_s225-processed-gene-0.6&CDS=1-2163, snap_masked-haw-_s417-processed-gene-0.70-mRNA-1_1&gene=snap_masked-haw-_s417-processed-gene-0.70&CDS=1-3237	YGL179C
OG0000359	snap_masked-haw-_s225-processed-gene-0.5-mRNA-1_1&gene=snap_masked-haw-_s225-processed-gene-0.5&CDS=1-321, snap_masked-haw-_s256-processed-gene-0.56-mRNA-1_1&gene=snap_masked-haw-_s256-processed-gene-0.56&CDS=1-321	YKR083C
OG0000360	snap_masked-haw-_s229-processed-gene-0.18-mRNA-1_1&gene=snap_masked-haw-_s229-processed-gene-0.18&CDS=1-939	YDR151C, YLR136C
OG0000361	snap_masked-haw-_s23-processed-gene-0.63-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.63&CDS=1-762, snap_masked-haw-_s23-processed-gene-0.93-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.93&CDS=1-723	YIR038C
OG0000362	snap_masked-haw-_s23-processed-gene-0.66-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.66&CDS=1-1797	YJL083W, YKR019C
OG0000363	augustus_masked-haw-_s232-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-haw-_s232-processed-gene-0.6&CDS=1-393, maker-haw-_s298-snap-gene-1.45-mRNA-1_1&gene=maker-haw-_s298-snap-gene-1.45&CDS=1-3615	YER093C
OG0000364	snap_masked-haw-_s250-processed-gene-0.38-mRNA-1_1&gene=snap_masked-haw-_s250-processed-gene-0.38&CDS=1-759	YER062C, YIL053W
OG0000365	snap_masked-haw-_s250-processed-gene-0.31-mRNA-1_1&gene=snap_masked-haw-_s250-processed-gene-0.31&CDS=1-453, snap_masked-haw-_s30-processed-gene-0.69-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-0.69&CDS=1-738	YKL206C
OG0000366	augustus_masked-haw-_s256-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-haw-_s256-processed-gene-0.72&CDS=1-3342, augustus_masked-haw-_s78-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-haw-_s78-processed-gene-0.6&CDS=1-489	YIL031W
OG0000367	augustus_masked-haw-_s266-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s266-processed-gene-0.0&CDS=1-222, snap_masked-haw-_s30-processed-gene-2.196-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-2.196&CDS=1-3837	YML091C
OG0000368	maker-haw-_s424-snap-gene-0.26-mRNA-1_1&gene=maker-haw-_s424-snap-gene-0.26&CDS=1-2238, snap_masked-haw-_s270-processed-gene-0.18-mRNA-1_1&gene=snap_masked-haw-_s270-processed-gene-0.18&CDS=1-924	YGR086C
OG0000369	augustus_masked-haw-_s488-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-haw-_s488-processed-gene-0.13&CDS=1-762, snap_masked-haw-_s274-processed-gene-0.48-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.48&CDS=1-1281	YOL097C
OG0000370	snap_masked-haw-_s274-processed-gene-0.51-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.51&CDS=1-7602	YBR140C, YOL081W
OG0000371	maker-haw-_s28-snap-gene-0.10-mRNA-1_1&gene=maker-haw-_s28-snap-gene-0.10&CDS=1-1941	YDR505C, YLR177W
OG0000372	snap_masked-haw-_s284-processed-gene-0.128-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.128&CDS=1-459	YGL031C, YGR148C
OG0000373	snap_masked-haw-_s284-processed-gene-0.136-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.136&CDS=1-915	YDR368W, YOR120W
OG0000374	augustus_masked-haw-_s319-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-haw-_s319-processed-gene-0.15&CDS=1-2556, snap_masked-haw-_s284-processed-gene-0.137-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.137&CDS=1-1380	YPL083C
OG0000375	snap_masked-haw-_s284-processed-gene-0.181-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.181&CDS=1-1707, snap_masked-haw-_s298-processed-gene-2.105-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-2.105&CDS=1-1689	YNR055C
OG0000376	maker-haw-_s284-snap-gene-0.61-mRNA-1_1&gene=maker-haw-_s284-snap-gene-0.61&CDS=1-1155	YEL007W, YHR177W
OG0000377	snap_masked-haw-_s284-processed-gene-0.158-mRNA-1_1&gene=snap_masked-haw-_s284-processed-gene-0.158&CDS=1-1125	YMR253C, YPL264C
OG0000378	snap_masked-haw-_s295-processed-gene-0.42-mRNA-1_1&gene=snap_masked-haw-_s295-processed-gene-0.42&CDS=1-321	YER056C-A, YIL052C
OG0000379	snap_masked-haw-_s295-processed-gene-0.44-mRNA-1_1&gene=snap_masked-haw-_s295-processed-gene-0.44&CDS=1-786	YER037W, YGL224C
OG0000380	genemark-haw-_s295-processed-gene-0.20-mRNA-1_1&gene=genemark-haw-_s295-processed-gene-0.20&CDS=1-3459	YER057C, YIL051C
OG0000381	augustus_masked-haw-_s298-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-haw-_s298-processed-gene-0.23&CDS=1-2037, augustus_masked-haw-_s471-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-haw-_s471-processed-gene-0.7&CDS=1-420	YBR255W
OG0000382	snap_masked-haw-_s298-processed-gene-0.63-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-0.63&CDS=1-720	YDR098C, YER174C
OG0000383	snap_masked-haw-_s298-processed-gene-0.67-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-0.67&CDS=1-2367	YDR264C, YOR034C
OG0000384	snap_masked-haw-_s298-processed-gene-0.69-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-0.69&CDS=1-1161	YBR078W, YDR055W
OG0000385	snap_masked-haw-_s298-processed-gene-1.109-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-1.109&CDS=1-1941	YDR263C, YOR033C
OG0000386	snap_masked-haw-_s298-processed-gene-1.120-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-1.120&CDS=1-1125	YER027C, YGL208W
OG0000387	snap_masked-haw-_s298-processed-gene-1.123-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-1.123&CDS=1-1776	YIL085C, YNL029C
OG0000388	snap_masked-haw-_s298-processed-gene-1.103-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-1.103&CDS=1-1770, snap_masked-haw-_s376-processed-gene-0.6-mRNA-1_1&gene=snap_masked-haw-_s376-processed-gene-0.6&CDS=1-684	YJL127C
OG0000389	genemark-haw-_s298-processed-gene-1.85-mRNA-1_1&gene=genemark-haw-_s298-processed-gene-1.85&CDS=1-1122	YIL135C, YNL074C
OG0000390	snap_masked-haw-_s298-processed-gene-2.61-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-2.61&CDS=1-756, snap_masked-haw-_s300-processed-gene-0.244-mRNA-1_1&gene=snap_masked-haw-_s300-processed-gene-0.244&CDS=1-762	YBL064C
OG0000391	snap_masked-haw-_s298-processed-gene-2.67-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-2.67&CDS=1-864	YDR253C, YPL038W
OG0000392	snap_masked-haw-_s298-processed-gene-2.68-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-2.68&CDS=1-1134, snap_masked-haw-_s333-processed-gene-0.14-mRNA-1_1&gene=snap_masked-haw-_s333-processed-gene-0.14&CDS=1-1110	YDL022W
OG0000393	snap_masked-haw-_s298-processed-gene-2.96-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-2.96&CDS=1-1461, snap_masked-haw-_s72-processed-gene-0.147-mRNA-1_1&gene=snap_masked-haw-_s72-processed-gene-0.147&CDS=1-1410	YGR019W
OG0000394	snap_masked-haw-_s298-processed-gene-2.103-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-2.103&CDS=1-426	YDL083C, YMR143W
OG0000395	snap_masked-haw-_s298-processed-gene-2.77-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-2.77&CDS=1-591	YDL082W, YMR142C
OG0000396	snap_masked-haw-_s298-processed-gene-2.78-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-2.78&CDS=1-1242	YLR300W, YOR190W
OG0000397	snap_masked-haw-_s298-processed-gene-2.116-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-2.116&CDS=1-435	YDR450W, YML026C
OG0000398	snap_masked-haw-_s3-processed-gene-0.57-mRNA-1_1&gene=snap_masked-haw-_s3-processed-gene-0.57&CDS=1-1665, snap_masked-haw-_s31-processed-gene-2.41-mRNA-1_1&gene=snap_masked-haw-_s31-processed-gene-2.41&CDS=1-1410	YEL060C
OG0000399	augustus_masked-haw-_s383-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-haw-_s383-processed-gene-0.9&CDS=1-288, snap_masked-haw-_s3-processed-gene-0.60-mRNA-1_1&gene=snap_masked-haw-_s3-processed-gene-0.60&CDS=1-1128	YBR215W
OG0000400	snap_masked-haw-_s3-processed-gene-0.86-mRNA-1_1&gene=snap_masked-haw-_s3-processed-gene-0.86&CDS=1-2001	YBR216C, YGL060W
OG0000401	snap_masked-haw-_s3-processed-gene-0.102-mRNA-1_1&gene=snap_masked-haw-_s3-processed-gene-0.102&CDS=1-996	YBR273C, YJL048C
OG0000402	augustus_masked-haw-_s467-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_s467-processed-gene-0.2&CDS=1-369, maker-haw-_s3-augustus-gene-0.0-mRNA-1_1&gene=maker-haw-_s3-augustus-gene-0.0&CDS=1-4239	YGL092W
OG0000403	snap_masked-haw-_s3-processed-gene-0.104-mRNA-1_1&gene=snap_masked-haw-_s3-processed-gene-0.104&CDS=1-1407, snap_masked-haw-_s4-processed-gene-0.109-mRNA-1_1&gene=snap_masked-haw-_s4-processed-gene-0.109&CDS=1-1737	YOR059C
OG0000404	snap_masked-haw-_s3-processed-gene-0.83-mRNA-1_1&gene=snap_masked-haw-_s3-processed-gene-0.83&CDS=1-594	YBL072C, YER102W
OG0000405	maker-haw-_s30-snap-gene-0.51-mRNA-1_1&gene=maker-haw-_s30-snap-gene-0.51&CDS=1-1398	YBR104W, YPR058W
OG0000406	snap_masked-haw-_s30-processed-gene-0.95-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-0.95&CDS=1-1593, snap_masked-haw-_s425-processed-gene-0.32-mRNA-1_1&gene=snap_masked-haw-_s425-processed-gene-0.32&CDS=1-1812	YLR248W
OG0000407	augustus_masked-haw-_s487-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-haw-_s487-processed-gene-0.13&CDS=1-621, snap_masked-haw-_s30-processed-gene-1.104-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-1.104&CDS=1-807	YOR157C
OG0000408	snap_masked-haw-_s30-processed-gene-1.107-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-1.107&CDS=1-1086	YDL246C, YJR159W
OG0000409	snap_masked-haw-_s30-processed-gene-1.127-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-1.127&CDS=1-1440	YGR121C, YPR138C
OG0000410	snap_masked-haw-_s30-processed-gene-1.130-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-1.130&CDS=1-1539, snap_masked-haw-_s558-processed-gene-0.49-mRNA-1_1&gene=snap_masked-haw-_s558-processed-gene-0.49&CDS=1-1524	YKL103C
OG0000411	snap_masked-haw-_s30-processed-gene-1.137-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-1.137&CDS=1-495	YDR418W, YEL054C
OG0000412	maker-haw-_s30-snap-gene-1.147-mRNA-1_1&gene=maker-haw-_s30-snap-gene-1.147&CDS=1-792	YGR214W, YLR048W
OG0000413	snap_masked-haw-_s30-processed-gene-1.121-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-1.121&CDS=1-900	YGL162W, YPR009W
OG0000414	snap_masked-haw-_s30-processed-gene-2.176-mRNA-1_1&gene=snap_masked-haw-_s30-processed-gene-2.176&CDS=1-870	YBR183W, YPL087W
OG0000415	augustus_masked-haw-_s338-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-haw-_s338-processed-gene-0.12&CDS=1-255, maker-haw-_s30-snap-gene-2.87-mRNA-1_1&gene=maker-haw-_s30-snap-gene-2.87&CDS=1-1323	YKL082C
