	Lachancea_lanzarotensis	Saccharomyces_cerevisiae
OG0000849	snap_masked-LN736360.1-processed-gene-15.73-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.73&CDS=1-1155	YHR107C
OG0000850	snap_masked-LN736360.1-processed-gene-15.98-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.98&CDS=1-957	YDR353W
OG0000851	snap_masked-LN736360.1-processed-gene-15.99-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.99&CDS=1-477	YHR105W
OG0000852	snap_masked-LN736360.1-processed-gene-15.100-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.100&CDS=1-987	YHR104W
OG0000853	snap_masked-LN736360.1-processed-gene-15.101-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.101&CDS=1-855	YDR352W
OG0000854	snap_masked-LN736360.1-processed-gene-15.102-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.102&CDS=1-2496	YHR103W
OG0000855	snap_masked-LN736360.1-processed-gene-15.103-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.103&CDS=1-2637	YHR102W
OG0000856	snap_masked-LN736360.1-processed-gene-15.74-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.74&CDS=1-2025	YDR350C
OG0000857	snap_masked-LN736360.1-processed-gene-15.75-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.75&CDS=1-924	YHR101C
OG0000858	snap_masked-LN736360.1-processed-gene-15.76-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.76&CDS=1-858	YOR036W
OG0000859	snap_masked-LN736360.1-processed-gene-15.104-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.104&CDS=1-990	YDR267C
OG0000860	snap_masked-LN736360.1-processed-gene-15.77-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.77&CDS=1-1020	YOR037W
OG0000861	snap_masked-LN736360.1-processed-gene-15.78-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.78&CDS=1-1002	YDR268W
OG0000862	snap_masked-LN736360.1-processed-gene-15.105-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.105&CDS=1-2556	YOR038C
OG0000863	snap_masked-LN736360.1-processed-gene-15.79-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.79&CDS=1-723	YOR039W
OG0000864	snap_masked-LN736360.1-processed-gene-15.80-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.80&CDS=1-2958	YDR270W
OG0000865	snap_masked-LN736360.1-processed-gene-15.81-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.81&CDS=1-822	YOR040W
OG0000866	snap_masked-LN736360.1-processed-gene-15.82-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.82&CDS=1-1461	YOR042W
OG0000867	snap_masked-LN736360.1-processed-gene-15.83-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.83&CDS=1-1320	YOR043W
OG0000868	maker-LN736360.1-augustus-gene-16.97-mRNA-1_1&gene=maker-LN736360.1-augustus-gene-16.97&CDS=1-216	YDR276C
OG0000869	maker-LN736360.1-snap-gene-16.0-mRNA-1_1&gene=maker-LN736360.1-snap-gene-16.0&CDS=1-1455	YOR046C
OG0000870	snap_masked-LN736360.1-processed-gene-16.123-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.123&CDS=1-2970	YOR048C
OG0000871	snap_masked-LN736360.1-processed-gene-16.105-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.105&CDS=1-1143	YKL162C
OG0000872	snap_masked-LN736360.1-processed-gene-16.125-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.125&CDS=1-606	YKR068C
OG0000873	snap_masked-LN736360.1-processed-gene-16.126-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.126&CDS=1-1299	YOR051C
OG0000874	maker-LN736360.1-augustus-gene-16.96-mRNA-1_1&gene=maker-LN736360.1-augustus-gene-16.96&CDS=1-2832	YKR069W
OG0000875	snap_masked-LN736360.1-processed-gene-16.127-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.127&CDS=1-360	YOR052C
OG0000876	snap_masked-LN736360.1-processed-gene-16.128-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.128&CDS=1-1029	YKR071C
OG0000877	snap_masked-LN736360.1-processed-gene-16.129-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.129&CDS=1-1989	YOR054C
OG0000878	snap_masked-LN736360.1-processed-gene-16.130-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.130&CDS=1-1380	YOR056C
OG0000879	snap_masked-LN736360.1-processed-gene-16.108-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.108&CDS=1-1128	YOR057W
OG0000880	snap_masked-LN736360.1-processed-gene-16.131-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.131&CDS=1-2805	YOR058C
OG0000881	augustus_masked-LN736360.1-processed-gene-16.13-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-16.13&CDS=1-444	YKR074W
OG0000882	snap_masked-LN736360.1-processed-gene-16.132-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.132&CDS=1-1386	YOR059C
OG0000883	snap_masked-LN736360.1-processed-gene-16.133-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.133&CDS=1-723	YOR060C
OG0000884	snap_masked-LN736360.1-processed-gene-16.110-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.110&CDS=1-1020	YOR061W
OG0000885	snap_masked-LN736360.1-processed-gene-16.111-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.111&CDS=1-1161	YOR063W
OG0000886	genemark-LN736360.1-processed-gene-16.85-mRNA-1_1&gene=genemark-LN736360.1-processed-gene-16.85&CDS=1-543	YOR064C
OG0000887	snap_masked-LN736360.1-processed-gene-16.112-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.112&CDS=1-909	YOR065W
OG0000888	augustus_masked-LN736360.1-processed-gene-16.17-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-16.17&CDS=1-1419	YOR066W
OG0000889	augustus_masked-LN736360.1-processed-gene-16.37-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-16.37&CDS=1-1668	YOR067C
OG0000890	snap_masked-LN736360.1-processed-gene-16.113-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.113&CDS=1-1944	YOR069W
OG0000891	snap_masked-LN736360.1-processed-gene-16.136-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.136&CDS=1-2442	YKR079C
OG0000892	snap_masked-LN736360.1-processed-gene-16.137-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.137&CDS=1-1764	YOR070C
OG0000893	snap_masked-LN736360.1-processed-gene-16.114-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.114&CDS=1-960	YKR080W
OG0000894	snap_masked-LN736360.1-processed-gene-16.138-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.138&CDS=1-1038	YKR081C
OG0000895	snap_masked-LN736360.1-processed-gene-16.115-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.115&CDS=1-3423	YKR082W
OG0000896	snap_masked-LN736360.1-processed-gene-16.139-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.139&CDS=1-366	YKR083C
OG0000897	snap_masked-LN736360.1-processed-gene-16.116-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.116&CDS=1-1866	YOR073W
OG0000898	augustus_masked-LN736360.1-processed-gene-16.42-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-16.42&CDS=1-933	YOR074C
OG0000899	snap_masked-LN736360.1-processed-gene-16.117-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.117&CDS=1-981	YOR075W
OG0000900	maker-LN736360.1-snap-gene-16.2-mRNA-1_1&gene=maker-LN736360.1-snap-gene-16.2&CDS=1-1992	YKR084C
OG0000901	snap_masked-LN736360.1-processed-gene-16.141-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.141&CDS=1-600	YKR085C
OG0000902	augustus_masked-LN736360.1-processed-gene-16.45-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-16.45&CDS=1-1050	YKR087C
OG0000903	snap_masked-LN736360.1-processed-gene-16.120-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.120&CDS=1-726	YOR077W
OG0000904	snap_masked-LN736360.1-processed-gene-16.143-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.143&CDS=1-924	YKR088C
OG0000905	augustus_masked-LN736360.1-processed-gene-17.124-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-17.124&CDS=1-693	YOR078W
OG0000906	snap_masked-LN736360.1-processed-gene-17.65-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.65&CDS=1-993	YOR079C
OG0000907	augustus_masked-LN736360.1-processed-gene-17.125-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-17.125&CDS=1-2067	YOR080W
OG0000908	snap_masked-LN736360.1-processed-gene-17.66-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.66&CDS=1-2547	YKR089C
OG0000909	snap_masked-LN736360.1-processed-gene-17.63-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.63&CDS=1-1512	YER021W
OG0000910	snap_masked-LN736360.1-processed-gene-17.64-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.64&CDS=1-1932	YER022W
OG0000911	snap_masked-LN736360.1-processed-gene-17.99-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.99&CDS=1-546	YJR118C
OG0000912	snap_masked-LN736360.1-processed-gene-17.100-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.100&CDS=1-843	YER023W
OG0000913	snap_masked-LN736360.1-processed-gene-17.67-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.67&CDS=1-2385	YJR119C
OG0000914	snap_masked-LN736360.1-processed-gene-17.68-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.68&CDS=1-1485	YJR121W
OG0000915	snap_masked-LN736360.1-processed-gene-17.69-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.69&CDS=1-1401	YJR122W
OG0000916	snap_masked-LN736360.1-processed-gene-17.70-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.70&CDS=1-684	YJR123W
OG0000917	snap_masked-LN736360.1-processed-gene-17.71-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.71&CDS=1-2310	YER024W
OG0000918	snap_masked-LN736360.1-processed-gene-17.101-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.101&CDS=1-1308	YJR124C
OG0000919	snap_masked-LN736360.1-processed-gene-17.72-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.72&CDS=1-2466	YLR451W
OG0000920	snap_masked-LN736360.1-processed-gene-17.73-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.73&CDS=1-1587	YER025W
OG0000921	snap_masked-LN736360.1-processed-gene-17.102-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.102&CDS=1-2055	YLR452C
OG0000922	snap_masked-LN736360.1-processed-gene-17.103-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.103&CDS=1-1923	YPR161C
OG0000923	snap_masked-LN736360.1-processed-gene-17.104-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.104&CDS=1-1734	YPR162C
OG0000924	snap_masked-LN736360.1-processed-gene-17.74-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.74&CDS=1-1629	YKR097W
OG0000925	snap_masked-LN736360.1-processed-gene-17.106-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.106&CDS=1-1110	YIL153W
OG0000926	snap_masked-LN736360.1-processed-gene-17.75-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.75&CDS=1-996	YIL154C
OG0000927	snap_masked-LN736360.1-processed-gene-17.76-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.76&CDS=1-1920	YIL155C
OG0000928	snap_masked-LN736360.1-processed-gene-17.107-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.107&CDS=1-2931	YIL156W
OG0000929	snap_masked-LN736360.1-processed-gene-17.77-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.77&CDS=1-2187	YKR099W
OG0000930	snap_masked-LN736360.1-processed-gene-17.108-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.108&CDS=1-219	YIL156W-B
OG0000931	snap_masked-LN736360.1-processed-gene-17.78-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.78&CDS=1-579	YIL157C
OG0000932	snap_masked-LN736360.1-processed-gene-17.109-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.109&CDS=1-1092	YKR100C
OG0000933	snap_masked-LN736360.1-processed-gene-17.111-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.111&CDS=1-666	YNR057C
OG0000934	snap_masked-LN736360.1-processed-gene-17.81-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.81&CDS=1-684	YIL161W
OG0000935	snap_masked-LN736360.1-processed-gene-17.112-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.112&CDS=1-1221	YIL160C
OG0000936	snap_masked-LN736360.1-processed-gene-17.95-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.95&CDS=1-2172	YPR022C
OG0000937	snap_masked-LN736360.1-processed-gene-17.121-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.121&CDS=1-1245	YGL196W
OG0000938	snap_masked-LN736361.1-processed-gene-0.87-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.87&CDS=1-210	YML009C
OG0000939	snap_masked-LN736361.1-processed-gene-0.108-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.108&CDS=1-3081	YML010W
OG0000940	snap_masked-LN736361.1-processed-gene-0.88-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.88&CDS=1-531	YML011C
OG0000941	snap_masked-LN736361.1-processed-gene-0.109-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.109&CDS=1-627	YML012W
OG0000942	snap_masked-LN736361.1-processed-gene-0.110-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.110&CDS=1-2958	YDR430C
OG0000943	snap_masked-LN736361.1-processed-gene-0.89-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.89&CDS=1-1131	YDR432W
OG0000944	augustus_masked-LN736361.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-0.21&CDS=1-1770	YML013W
OG0000945	snap_masked-LN736361.1-processed-gene-0.112-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.112&CDS=1-837	YML014W
OG0000946	augustus_masked-LN736361.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-0.2&CDS=1-2652	YDR434W
OG0000947	augustus_masked-LN736361.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-0.23&CDS=1-984	YDR435C
OG0000948	augustus_masked-LN736361.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-0.3&CDS=1-1161	YMR026C
OG0000949	augustus_masked-LN736361.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-0.24&CDS=1-786	YMR025W
OG0000950	augustus_masked-LN736361.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-0.25&CDS=1-1128	YMR024W
OG0000951	snap_masked-LN736361.1-processed-gene-0.93-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.93&CDS=1-1491	YMR023C
OG0000952	snap_masked-LN736361.1-processed-gene-0.117-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.117&CDS=1-336	YKL061W
OG0000953	augustus_masked-LN736361.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-0.5&CDS=1-1578	YKL047W
OG0000954	snap_masked-LN736361.1-processed-gene-0.95-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.95&CDS=1-1242	YMR021C
OG0000955	snap_masked-LN736361.1-processed-gene-0.120-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.120&CDS=1-1506	YMR020W
OG0000956	snap_masked-LN736361.1-processed-gene-0.96-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.96&CDS=1-1515	YKL045W
OG0000957	maker-LN736361.1-augustus-gene-0.85-mRNA-1_1&gene=maker-LN736361.1-augustus-gene-0.85&CDS=1-1788	YMR019W
OG0000958	snap_masked-LN736361.1-processed-gene-0.97-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.97&CDS=1-1983	YKL043W
OG0000959	snap_masked-LN736361.1-processed-gene-0.98-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.98&CDS=1-978	YKL042W
OG0000960	snap_masked-LN736361.1-processed-gene-0.99-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.99&CDS=1-1602	YMR015C
OG0000961	snap_masked-LN736361.1-processed-gene-0.122-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.122&CDS=1-1485	YMR014W
OG0000962	snap_masked-LN736361.1-processed-gene-0.100-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.100&CDS=1-1500	YMR013C
OG0000963	snap_masked-LN736361.1-processed-gene-0.123-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.123&CDS=1-3702	YMR012W
OG0000964	snap_masked-LN736361.1-processed-gene-0.101-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.101&CDS=1-672	YKL041W
OG0000965	snap_masked-LN736361.1-processed-gene-0.124-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.124&CDS=1-1311	YHL020C
OG0000966	snap_masked-LN736361.1-processed-gene-0.125-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.125&CDS=1-1554	YHL019C
OG0000967	snap_masked-LN736361.1-processed-gene-0.103-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.103&CDS=1-333	YHL018W
OG0000968	snap_masked-LN736361.1-processed-gene-0.126-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.126&CDS=1-741	YKL040C
OG0000969	snap_masked-LN736361.1-processed-gene-0.104-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.104&CDS=1-1476	YKL039W
OG0000970	snap_masked-LN736361.1-processed-gene-0.127-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.127&CDS=1-2157	YHL016C
OG0000971	snap_masked-LN736361.1-processed-gene-0.105-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.105&CDS=1-354	YHL015W
OG0000972	snap_masked-LN736361.1-processed-gene-0.106-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.106&CDS=1-2928	YKL038W
OG0000973	snap_masked-LN736361.1-processed-gene-0.107-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-0.107&CDS=1-1500	YKL035W
OG0000974	augustus_masked-LN736361.1-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-1.111&CDS=1-2877	YKL034W
OG0000975	snap_masked-LN736361.1-processed-gene-1.60-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.60&CDS=1-960	YHL011C
OG0000976	snap_masked-LN736361.1-processed-gene-1.61-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.61&CDS=1-1590	YHL010C
OG0000977	snap_masked-LN736361.1-processed-gene-1.58-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.58&CDS=1-3129	YKL033W
OG0000978	snap_masked-LN736361.1-processed-gene-1.59-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.59&CDS=1-1878	YHL008C
OG0000979	snap_masked-LN736361.1-processed-gene-1.62-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.62&CDS=1-3801	YMR076C
OG0000980	snap_masked-LN736361.1-processed-gene-1.83-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.83&CDS=1-1956	YMR075W
OG0000981	maker-LN736361.1-snap-gene-1.105-mRNA-1_1&gene=maker-LN736361.1-snap-gene-1.105&CDS=1-420	YMR074C
OG0000982	snap_masked-LN736361.1-processed-gene-1.65-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.65&CDS=1-480	YMR073C
OG0000983	snap_masked-LN736361.1-processed-gene-1.84-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.84&CDS=1-1383	YKL032C
OG0000984	maker-LN736361.1-snap-gene-1.106-mRNA-1_1&gene=maker-LN736361.1-snap-gene-1.106&CDS=1-501	YMR071C
OG0000985	snap_masked-LN736361.1-processed-gene-1.86-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.86&CDS=1-1326	YMR070W
OG0000986	snap_masked-LN736361.1-processed-gene-1.87-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.87&CDS=1-771	YMR069W
OG0000987	snap_masked-LN736361.1-processed-gene-1.67-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.67&CDS=1-1296	YHR004C
OG0000988	snap_masked-LN736361.1-processed-gene-1.68-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.68&CDS=1-2505	YJL212C
OG0000989	snap_masked-LN736361.1-processed-gene-1.89-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.89&CDS=1-1953	YKL029C
OG0000990	snap_masked-LN736361.1-processed-gene-1.69-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.69&CDS=1-1398	YKL028W
OG0000991	snap_masked-LN736361.1-processed-gene-1.70-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.70&CDS=1-1341	YKL027W
OG0000992	snap_masked-LN736361.1-processed-gene-1.90-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.90&CDS=1-1047	YHR002W
OG0000993	snap_masked-LN736361.1-processed-gene-1.71-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.71&CDS=1-894	YBR291C
OG0000994	snap_masked-LN736361.1-processed-gene-1.91-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.91&CDS=1-849	YBR290W
OG0000995	snap_masked-LN736361.1-processed-gene-1.92-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.92&CDS=1-2403	YBR289W
OG0000996	augustus_masked-LN736361.1-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-1.126&CDS=1-4029	YKR009C
OG0000997	augustus_masked-LN736361.1-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-1.144&CDS=1-1656	YKR008W
OG0000998	snap_masked-LN736361.1-processed-gene-1.94-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.94&CDS=1-447	YKR007W
OG0000999	augustus_masked-LN736361.1-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-LN736361.1-processed-gene-1.127&CDS=1-1884	YKR006C
OG0001000	maker-LN736361.1-augustus-gene-1.3-mRNA-1_1&gene=maker-LN736361.1-augustus-gene-1.3&CDS=1-3096	YKR002W
OG0001001	snap_masked-LN736361.1-processed-gene-1.77-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.77&CDS=1-594	YKL001C
OG0001002	maker-LN736361.1-snap-gene-1.109-mRNA-1_1&gene=maker-LN736361.1-snap-gene-1.109&CDS=1-687	YKL002W
OG0001003	snap_masked-LN736361.1-processed-gene-1.78-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.78&CDS=1-387	YKL003C
OG0001004	snap_masked-LN736361.1-processed-gene-1.98-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.98&CDS=1-1242	YKL004W
OG0001005	snap_masked-LN736361.1-processed-gene-1.79-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.79&CDS=1-1638	YKL005C
OG0001006	snap_masked-LN736361.1-processed-gene-1.80-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.80&CDS=1-291	YKL006C-A
OG0001007	snap_masked-LN736361.1-processed-gene-1.100-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.100&CDS=1-795	YKL007W
OG0001008	snap_masked-LN736361.1-processed-gene-1.101-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.101&CDS=1-1467	YHL002W
OG0001009	snap_masked-LN736361.1-processed-gene-1.81-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.81&CDS=1-1242	YKL008C
OG0001010	snap_masked-LN736361.1-processed-gene-1.102-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.102&CDS=1-1224	YHL004W
OG0001011	snap_masked-LN736361.1-processed-gene-1.82-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.82&CDS=1-465	YHL006C
OG0001012	snap_masked-LN736361.1-processed-gene-1.103-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-1.103&CDS=1-705	YKL009W
OG0001013	snap_masked-LN736361.1-processed-gene-2.93-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-2.93&CDS=1-4347	YKL010C
OG0001014	snap_masked-LN736361.1-processed-gene-2.95-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-2.95&CDS=1-1749	YKL089W
