	Nakaseomyces_delphensis	Saccharomyces_cerevisiae
OG0000642	maker-NADE0S03-snap-gene-5.0-mRNA-1_1&gene=maker-NADE0S03-snap-gene-5.0&CDS=1-2886	YLR336C
OG0000643	snap_masked-NADE0S03-processed-gene-5.34-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.34&CDS=1-2142	YLR335W
OG0000644	snap_masked-NADE0S03-processed-gene-5.35-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.35&CDS=1-1140	YLR332W
OG0000645	snap_masked-NADE0S03-processed-gene-5.36-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.36&CDS=1-1566	YLR330W
OG0000646	snap_masked-NADE0S03-processed-gene-5.37-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.37&CDS=1-783	YLR329W
OG0000647	augustus_masked-NADE0S03-processed-gene-5.143-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-5.143&CDS=1-876	YAR008W
OG0000648	snap_masked-NADE0S03-processed-gene-5.10-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.10&CDS=1-1872	YAR007C
OG0000649	augustus_masked-NADE0S03-processed-gene-5.144-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-5.144&CDS=1-1356	YAR003W
OG0000650	augustus_masked-NADE0S03-processed-gene-5.145-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-5.145&CDS=1-1614	YAR002W
OG0000651	snap_masked-NADE0S03-processed-gene-5.40-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.40&CDS=1-1047	YGL001C
OG0000652	augustus_masked-NADE0S03-processed-gene-5.147-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-5.147&CDS=1-1335	YGR001C
OG0000653	snap_masked-NADE0S03-processed-gene-5.12-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.12&CDS=1-1254	YLR321C
OG0000654	augustus_masked-NADE0S03-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-5.119&CDS=1-501	YLR315W
OG0000655	snap_masked-NADE0S03-processed-gene-5.43-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.43&CDS=1-1515	YGR002C
OG0000656	augustus_masked-NADE0S03-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-5.120&CDS=1-2250	YGR003W
OG0000657	snap_masked-NADE0S03-processed-gene-5.15-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.15&CDS=1-1512	YGR004W
OG0000658	snap_masked-NADE0S03-processed-gene-5.44-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.44&CDS=1-1167	YGR005C
OG0000659	snap_masked-NADE0S03-processed-gene-5.16-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.16&CDS=1-543	YGR006W
OG0000660	snap_masked-NADE0S03-processed-gene-5.17-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.17&CDS=1-951	YGR007W
OG0000661	snap_masked-NADE0S03-processed-gene-5.45-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.45&CDS=1-258	YLR327C
OG0000662	snap_masked-NADE0S03-processed-gene-5.18-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.18&CDS=1-1149	YGR012W
OG0000663	augustus_masked-NADE0S03-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-5.125&CDS=1-1713	YGR013W
OG0000664	augustus_masked-NADE0S03-processed-gene-5.152-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-5.152&CDS=1-963	YGR015C
OG0000665	augustus_masked-NADE0S03-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-5.127&CDS=1-579	YGR016W
OG0000666	snap_masked-NADE0S03-processed-gene-5.22-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.22&CDS=1-690	YHR038W
OG0000667	snap_masked-NADE0S03-processed-gene-5.49-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.49&CDS=1-1902	YHR039C
OG0000668	maker-NADE0S03-augustus-gene-5.106-mRNA-1_1&gene=maker-NADE0S03-augustus-gene-5.106&CDS=1-342	YHR039C-A
OG0000669	snap_masked-NADE0S03-processed-gene-5.23-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.23&CDS=1-1029	YHR040W
OG0000670	snap_masked-NADE0S03-processed-gene-5.51-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.51&CDS=1-603	YHR041C
OG0000671	snap_masked-NADE0S03-processed-gene-5.24-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.24&CDS=1-852	YML110C
OG0000672	augustus_masked-NADE0S03-processed-gene-5.157-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-5.157&CDS=1-1002	YML112W
OG0000673	augustus_masked-NADE0S03-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-6.52&CDS=1-666	YML113W
OG0000674	augustus_masked-NADE0S03-processed-gene-6.50-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-6.50&CDS=1-1833	YML114C
OG0000675	augustus_masked-NADE0S03-processed-gene-6.51-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-6.51&CDS=1-1542	YML115C
OG0000676	snap_masked-NADE0S03-processed-gene-6.7-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.7&CDS=1-3294	YML117W
OG0000677	augustus_masked-NADE0S03-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-6.70&CDS=1-1017	YML119W
OG0000678	snap_masked-NADE0S03-processed-gene-6.8-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.8&CDS=1-1563	YML120C
OG0000679	snap_masked-NADE0S03-processed-gene-6.27-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.27&CDS=1-924	YFR041C
OG0000680	genemark-NADE0S03-processed-gene-6.100-mRNA-1_1&gene=genemark-NADE0S03-processed-gene-6.100&CDS=1-594	YFR042W
OG0000681	augustus_masked-NADE0S03-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-6.72&CDS=1-783	YFR043C
OG0000682	snap_masked-NADE0S03-processed-gene-6.29-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.29&CDS=1-1455	YFR044C
OG0000683	snap_masked-NADE0S03-processed-gene-6.30-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.30&CDS=1-1410	YGR019W
OG0000684	snap_masked-NADE0S03-processed-gene-6.31-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.31&CDS=1-855	YGR017W
OG0000685	snap_masked-NADE0S03-processed-gene-6.32-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.32&CDS=1-1749	YHR037W
OG0000686	snap_masked-NADE0S03-processed-gene-6.33-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.33&CDS=1-1521	YHR036W
OG0000687	augustus_masked-NADE0S03-processed-gene-6.78-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-6.78&CDS=1-1866	YHR035W
OG0000688	snap_masked-NADE0S03-processed-gene-6.10-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.10&CDS=1-1254	YHR034C
OG0000689	snap_masked-NADE0S03-processed-gene-6.37-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.37&CDS=1-957	YHR058C
OG0000690	augustus_masked-NADE0S03-processed-gene-6.57-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-6.57&CDS=1-777	YHR060W
OG0000691	snap_masked-NADE0S03-processed-gene-6.39-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.39&CDS=1-849	YHR062C
OG0000692	augustus_masked-NADE0S03-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-6.58&CDS=1-1218	YPR041W
OG0000693	snap_masked-NADE0S03-processed-gene-6.41-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.41&CDS=1-1293	YPR045C
OG0000694	augustus_masked-NADE0S03-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-6.61&CDS=1-579	YPR046W
OG0000695	augustus_masked-NADE0S03-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-6.62&CDS=1-3240	YPR048W
OG0000696	snap_masked-NADE0S03-processed-gene-6.42-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.42&CDS=1-3441	YPR049C
OG0000697	snap_masked-NADE0S03-processed-gene-6.17-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.17&CDS=1-495	YPR051W
OG0000698	snap_masked-NADE0S03-processed-gene-6.44-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.44&CDS=1-321	YBR091C
OG0000699	snap_masked-NADE0S03-processed-gene-6.18-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.18&CDS=1-2217	YBR094W
OG0000700	snap_masked-NADE0S03-processed-gene-6.45-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.45&CDS=1-1266	YBR095C
OG0000701	snap_masked-NADE0S03-processed-gene-6.19-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.19&CDS=1-678	YBR096W
OG0000702	snap_masked-NADE0S03-processed-gene-6.20-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.20&CDS=1-1554	YMR093W
OG0000703	snap_masked-NADE0S03-processed-gene-6.21-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.21&CDS=1-1395	YMR094W
OG0000704	augustus_masked-NADE0S03-processed-gene-6.89-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-6.89&CDS=1-2703	YMR097C
OG0000705	maker-NADE0S03-snap-gene-6.2-mRNA-1_1&gene=maker-NADE0S03-snap-gene-6.2&CDS=1-1329	YKL112W
OG0000706	augustus_masked-NADE0S03-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-6.67&CDS=1-3786	YMR012W
OG0000707	augustus_masked-NADE0S03-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-6.91&CDS=1-1452	YMR013C
OG0000708	snap_masked-NADE0S03-processed-gene-6.23-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.23&CDS=1-1410	YMR014W
OG0000709	snap_masked-NADE0S03-processed-gene-6.49-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-6.49&CDS=1-1551	YMR015C
OG0000710	snap_masked-NADE0S03-processed-gene-7.97-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.97&CDS=1-1563	YMR020W
OG0000711	snap_masked-NADE0S03-processed-gene-7.101-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.101&CDS=1-1284	YMR021C
OG0000712	snap_masked-NADE0S03-processed-gene-7.98-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.98&CDS=1-495	YMR022W
OG0000713	snap_masked-NADE0S03-processed-gene-7.102-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.102&CDS=1-1506	YMR023C
OG0000714	snap_masked-NADE0S03-processed-gene-7.99-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.99&CDS=1-1098	YMR024W
OG0000715	snap_masked-NADE0S03-processed-gene-7.100-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.100&CDS=1-861	YMR025W
OG0000716	snap_masked-NADE0S03-processed-gene-7.103-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.103&CDS=1-1272	YMR026C
OG0000717	augustus_masked-NADE0S03-processed-gene-7.58-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-7.58&CDS=1-1419	YMR027W
OG0000718	snap_masked-NADE0S03-processed-gene-7.105-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.105&CDS=1-1113	YMR028W
OG0000719	maker-NADE0S03-augustus-gene-7.49-mRNA-1_1&gene=maker-NADE0S03-augustus-gene-7.49&CDS=1-705	YPL052W
OG0000720	augustus_masked-NADE0S03-processed-gene-7.77-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-7.77&CDS=1-438	YPL054W
OG0000721	maker-NADE0S03-augustus-gene-7.50-mRNA-1_1&gene=maker-NADE0S03-augustus-gene-7.50&CDS=1-1566	YPL060W
OG0000722	snap_masked-NADE0S03-processed-gene-7.127-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.127&CDS=1-1404	YPL063W
OG0000723	snap_masked-NADE0S03-processed-gene-7.128-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.128&CDS=1-744	YPL065W
OG0000724	snap_masked-NADE0S03-processed-gene-7.129-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.129&CDS=1-1407	YPL066W
OG0000725	snap_masked-NADE0S03-processed-gene-7.109-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.109&CDS=1-654	YPL067C
OG0000726	snap_masked-NADE0S03-processed-gene-7.111-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.111&CDS=1-993	YPL069C
OG0000727	snap_masked-NADE0S03-processed-gene-7.130-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.130&CDS=1-1680	YPL070W
OG0000728	snap_masked-NADE0S03-processed-gene-7.112-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.112&CDS=1-411	YPL071C
OG0000729	snap_masked-NADE0S03-processed-gene-7.131-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.131&CDS=1-1416	YPL072W
OG0000730	snap_masked-NADE0S03-processed-gene-7.133-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.133&CDS=1-2916	YPL075W
OG0000731	snap_masked-NADE0S03-processed-gene-7.134-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.134&CDS=1-849	YPL076W
OG0000732	snap_masked-NADE0S03-processed-gene-7.114-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.114&CDS=1-1665	YBR196C
OG0000733	snap_masked-NADE0S03-processed-gene-7.115-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.115&CDS=1-717	YPL078C
OG0000734	snap_masked-NADE0S03-processed-gene-7.116-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.116&CDS=1-5607	YPL082C
OG0000735	snap_masked-NADE0S03-processed-gene-7.117-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.117&CDS=1-1308	YPL083C
OG0000736	snap_masked-NADE0S03-processed-gene-7.136-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.136&CDS=1-6468	YPL085W
OG0000737	snap_masked-NADE0S03-processed-gene-7.137-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.137&CDS=1-930	YPL087W
OG0000738	snap_masked-NADE0S03-processed-gene-7.138-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.138&CDS=1-2997	YDR028C
OG0000739	snap_masked-NADE0S03-processed-gene-7.139-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.139&CDS=1-1422	YDR030C
OG0000740	snap_masked-NADE0S03-processed-gene-7.140-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.140&CDS=1-594	YDR032C
OG0000741	snap_masked-NADE0S03-processed-gene-7.141-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.141&CDS=1-2367	YDR034C
OG0000742	snap_masked-NADE0S03-processed-gene-7.144-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-7.144&CDS=1-1440	YDR036C
OG0000743	snap_masked-NADE0S03-processed-gene-8.0-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.0&CDS=1-1767	YDR037W
OG0000744	augustus_masked-NADE0S03-processed-gene-8.45-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-8.45&CDS=1-651	YDR041W
OG0000745	snap_masked-NADE0S03-processed-gene-8.4-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.4&CDS=1-990	YDR044W
OG0000746	snap_masked-NADE0S03-processed-gene-8.5-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.5&CDS=1-1839	YBR098W
OG0000747	snap_masked-NADE0S03-processed-gene-8.24-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.24&CDS=1-873	YBR101C
OG0000748	snap_masked-NADE0S03-processed-gene-8.25-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.25&CDS=1-2274	YBR102C
OG0000749	snap_masked-NADE0S03-processed-gene-8.6-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.6&CDS=1-1611	YBR103W
OG0000750	snap_masked-NADE0S03-processed-gene-8.26-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.26&CDS=1-780	YPR060C
OG0000751	snap_masked-NADE0S03-processed-gene-8.27-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.27&CDS=1-975	YBR105C
OG0000752	snap_masked-NADE0S03-processed-gene-8.8-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.8&CDS=1-588	YBR106W
OG0000753	augustus_masked-NADE0S03-processed-gene-8.53-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-8.53&CDS=1-2175	YBR108W
OG0000754	snap_masked-NADE0S03-processed-gene-8.10-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.10&CDS=1-1026	YBR110W
OG0000755	augustus_masked-NADE0S03-processed-gene-8.72-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-8.72&CDS=1-630	YBR111C
OG0000756	augustus_masked-NADE0S03-processed-gene-8.55-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-8.55&CDS=1-294	YBR111W-A
OG0000757	augustus_masked-NADE0S03-processed-gene-8.56-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-8.56&CDS=1-2481	YBR114W
OG0000758	snap_masked-NADE0S03-processed-gene-8.30-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.30&CDS=1-4167	YBR115C
OG0000759	snap_masked-NADE0S03-processed-gene-8.31-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.31&CDS=1-438	YPR082C
OG0000760	augustus_masked-NADE0S03-processed-gene-8.57-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-8.57&CDS=1-1662	YPR083W
OG0000761	snap_masked-NADE0S03-processed-gene-8.13-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.13&CDS=1-1431	YPR084W
OG0000762	snap_masked-NADE0S03-processed-gene-8.32-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.32&CDS=1-2532	YPR085C
OG0000763	snap_masked-NADE0S03-processed-gene-8.14-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.14&CDS=1-1089	YPR086W
OG0000764	snap_masked-NADE0S03-processed-gene-8.33-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.33&CDS=1-1605	YPR088C
OG0000765	snap_masked-NADE0S03-processed-gene-8.15-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.15&CDS=1-2673	YPR089W
OG0000766	snap_masked-NADE0S03-processed-gene-8.34-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.34&CDS=1-2307	YPR091C
OG0000767	augustus_masked-NADE0S03-processed-gene-8.78-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-8.78&CDS=1-969	YPR093C
OG0000768	snap_masked-NADE0S03-processed-gene-8.16-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.16&CDS=1-324	YPR094W
OG0000769	augustus_masked-NADE0S03-processed-gene-8.79-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-8.79&CDS=1-3402	YPR095C
OG0000770	snap_masked-NADE0S03-processed-gene-8.17-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.17&CDS=1-3147	YPR097W
OG0000771	snap_masked-NADE0S03-processed-gene-8.18-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.18&CDS=1-591	YKR068C
OG0000772	snap_masked-NADE0S03-processed-gene-8.37-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.37&CDS=1-2136	YKR067W
OG0000773	snap_masked-NADE0S03-processed-gene-8.19-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.19&CDS=1-1044	YKR066C
OG0000774	snap_masked-NADE0S03-processed-gene-8.20-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.20&CDS=1-3528	YGL140C
OG0000775	genemark-NADE0S03-processed-gene-8.106-mRNA-1_1&gene=genemark-NADE0S03-processed-gene-8.106&CDS=1-1281	YKR051W
OG0000776	augustus_masked-NADE0S03-processed-gene-8.83-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-8.83&CDS=1-1314	YPR125W
OG0000777	snap_masked-NADE0S03-processed-gene-8.41-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-8.41&CDS=1-1104	YPR124W
OG0000778	augustus_masked-NADE0S03-processed-gene-9.59-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-9.59&CDS=1-3723	YPR122W
OG0000779	snap_masked-NADE0S03-processed-gene-9.116-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.116&CDS=1-1419	YPR119W
OG0000780	snap_masked-NADE0S03-processed-gene-9.117-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.117&CDS=1-1245	YPR118W
OG0000781	augustus_masked-NADE0S03-processed-gene-9.85-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-9.85&CDS=1-7107	YPR117W
OG0000782	snap_masked-NADE0S03-processed-gene-9.144-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.144&CDS=1-780	YPR116W
OG0000783	snap_masked-NADE0S03-processed-gene-9.146-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.146&CDS=1-891	YPR114W
OG0000784	snap_masked-NADE0S03-processed-gene-9.118-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.118&CDS=1-2583	YPR112C
OG0000785	snap_masked-NADE0S03-processed-gene-9.119-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.119&CDS=1-1002	YPR110C
OG0000786	snap_masked-NADE0S03-processed-gene-9.148-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.148&CDS=1-819	YPR109W
OG0000787	snap_masked-NADE0S03-processed-gene-9.149-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.149&CDS=1-1251	YPR108W
OG0000788	snap_masked-NADE0S03-processed-gene-9.120-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.120&CDS=1-624	YPR107C
OG0000789	snap_masked-NADE0S03-processed-gene-9.150-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.150&CDS=1-1176	YPR106W
OG0000790	snap_masked-NADE0S03-processed-gene-9.122-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.122&CDS=1-2571	YPR105C
OG0000791	snap_masked-NADE0S03-processed-gene-9.123-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.123&CDS=1-4365	YPR104C
OG0000792	snap_masked-NADE0S03-processed-gene-9.151-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.151&CDS=1-861	YPR103W
OG0000793	snap_masked-NADE0S03-processed-gene-9.124-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.124&CDS=1-1362	YDR449C
OG0000794	snap_masked-NADE0S03-processed-gene-9.152-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.152&CDS=1-1338	YDR448W
OG0000795	snap_masked-NADE0S03-processed-gene-9.153-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.153&CDS=1-1248	YDR446W
OG0000796	snap_masked-NADE0S03-processed-gene-9.125-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.125&CDS=1-1701	YLR267W
OG0000797	snap_masked-NADE0S03-processed-gene-9.127-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.127&CDS=1-192	YLR262C-A
OG0000798	snap_masked-NADE0S03-processed-gene-9.128-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.128&CDS=1-654	YLR262C
OG0000799	snap_masked-NADE0S03-processed-gene-9.129-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.129&CDS=1-1719	YLR259C
OG0000800	snap_masked-NADE0S03-processed-gene-9.130-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.130&CDS=1-2151	YDR211W
OG0000801	snap_masked-NADE0S03-processed-gene-9.156-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.156&CDS=1-1080	YLR226W
OG0000802	snap_masked-NADE0S03-processed-gene-9.157-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.157&CDS=1-942	YLR224W
OG0000803	snap_masked-NADE0S03-processed-gene-9.132-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.132&CDS=1-2343	YLR223C
OG0000804	snap_masked-NADE0S03-processed-gene-9.133-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.133&CDS=1-2469	YLR222C
OG0000805	snap_masked-NADE0S03-processed-gene-9.134-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.134&CDS=1-558	YLR221C
OG0000806	snap_masked-NADE0S03-processed-gene-9.158-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.158&CDS=1-954	YLR220W
OG0000807	snap_masked-NADE0S03-processed-gene-9.159-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.159&CDS=1-2652	YLR219W
OG0000808	snap_masked-NADE0S03-processed-gene-9.160-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.160&CDS=1-1527	YBR127C
OG0000809	snap_masked-NADE0S03-processed-gene-9.161-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.161&CDS=1-1155	YBR128C
OG0000810	snap_masked-NADE0S03-processed-gene-9.162-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.162&CDS=1-942	YBR129C
OG0000811	snap_masked-NADE0S03-processed-gene-9.163-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.163&CDS=1-1200	YBR130C
OG0000812	snap_masked-NADE0S03-processed-gene-9.135-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.135&CDS=1-2028	YBR131W
OG0000813	augustus_masked-NADE0S03-processed-gene-9.107-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-9.107&CDS=1-1722	YBR132C
OG0000814	snap_masked-NADE0S03-processed-gene-9.164-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.164&CDS=1-2352	YBR133C
OG0000815	augustus_masked-NADE0S03-processed-gene-9.80-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-9.80&CDS=1-7497	YBR136W
OG0000816	snap_masked-NADE0S03-processed-gene-9.139-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.139&CDS=1-534	YBR137W
OG0000817	snap_masked-NADE0S03-processed-gene-9.165-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.165&CDS=1-696	YLR093C
OG0000818	snap_masked-NADE0S03-processed-gene-9.166-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-9.166&CDS=1-1542	YLR094C
