	Saccharomyces_cerevisiae	Saccharomyces_uvarum
OG0000632	YCL058W-A	genemark-Sbay_3-processed-gene-1.168-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.168&CDS=1-339
OG0000633	YCL059C	genemark-Sbay_3-processed-gene-1.207-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.207&CDS=1-948
OG0000634	YCL061C	genemark-Sbay_3-processed-gene-1.206-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.206&CDS=1-3291
OG0000635	YCL063W	genemark-Sbay_3-processed-gene-1.167-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.167&CDS=1-1263
OG0000636	YCL064C	genemark-Sbay_3-processed-gene-1.205-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.205&CDS=1-1083
OG0000637	YCR002C	genemark-Sbay_3-processed-gene-0.81-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.81&CDS=1-966
OG0000638	YCR003W	genemark-Sbay_3-processed-gene-0.68-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.68&CDS=1-549
OG0000639	YCR004C	genemark-Sbay_3-processed-gene-0.82-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.82&CDS=1-738
OG0000640	YCR008W	genemark-Sbay_3-processed-gene-0.71-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.71&CDS=1-1842
OG0000641	YCR009C	genemark-Sbay_3-processed-gene-0.85-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.85&CDS=1-795
OG0000642	YCR010C	genemark-Sbay_3-processed-gene-0.86-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.86&CDS=1-849
OG0000643	YCR011C	genemark-Sbay_3-processed-gene-0.87-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.87&CDS=1-3159
OG0000644	YCR012W	genemark-Sbay_3-processed-gene-0.72-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.72&CDS=1-1248
OG0000645	YCR014C	maker-Sbay_3-snap-gene-0.7-mRNA-1_1&gene=maker-Sbay_3-snap-gene-0.7&CDS=1-2316
OG0000646	YCR015C	genemark-Sbay_3-processed-gene-0.89-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.89&CDS=1-957
OG0000647	YCR016W	genemark-Sbay_3-processed-gene-0.73-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.73&CDS=1-852
OG0000648	YCR017C	genemark-Sbay_3-processed-gene-0.90-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.90&CDS=1-2865
OG0000649	YCR018C	genemark-Sbay_3-processed-gene-0.91-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.91&CDS=1-666
OG0000650	YCR019W	genemark-Sbay_3-processed-gene-0.74-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.74&CDS=1-1089
OG0000651	YCR020C	genemark-Sbay_3-processed-gene-0.92-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.92&CDS=1-645
OG0000652	YCR020C-A	snap_masked-Sbay_3-processed-gene-0.54-mRNA-1_1&gene=snap_masked-Sbay_3-processed-gene-0.54&CDS=1-264
OG0000653	YCR020W-B	augustus_masked-Sbay_3-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-Sbay_3-processed-gene-0.112&CDS=1-234
OG0000654	YCR021C	genemark-Sbay_3-processed-gene-0.93-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.93&CDS=1-987
OG0000655	YCR023C	genemark-Sbay_3-processed-gene-0.94-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.94&CDS=1-1833
OG0000656	YCR024C	genemark-Sbay_3-processed-gene-0.95-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.95&CDS=1-1473
OG0000657	YCR026C	genemark-Sbay_3-processed-gene-0.96-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.96&CDS=1-2190
OG0000658	YCR027C	genemark-Sbay_3-processed-gene-0.75-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.75&CDS=1-615
OG0000659	YCR028C	genemark-Sbay_3-processed-gene-0.97-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.97&CDS=1-1527
OG0000660	YCR028C-A	augustus_masked-Sbay_3-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-Sbay_3-processed-gene-0.131&CDS=1-408
OG0000661	YCR030C	genemark-Sbay_3-processed-gene-0.99-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.99&CDS=1-2613
OG0000662	YCR032W	snap_masked-Sbay_3-processed-gene-1.34-mRNA-1_1&gene=snap_masked-Sbay_3-processed-gene-1.34&CDS=1-6108
OG0000663	YCR033W	snap_masked-Sbay_3-processed-gene-1.35-mRNA-1_1&gene=snap_masked-Sbay_3-processed-gene-1.35&CDS=1-3681
OG0000664	YCR034W	genemark-Sbay_3-processed-gene-1.139-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.139&CDS=1-1041
OG0000665	YCR035C	genemark-Sbay_3-processed-gene-1.182-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.182&CDS=1-1179
OG0000666	YCR036W	genemark-Sbay_3-processed-gene-1.140-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.140&CDS=1-999
OG0000667	YCR042C	snap_masked-Sbay_3-processed-gene-1.88-mRNA-1_1&gene=snap_masked-Sbay_3-processed-gene-1.88&CDS=1-4209
OG0000668	YCR045C	augustus_masked-Sbay_3-processed-gene-1.270-mRNA-1_1&gene=augustus_masked-Sbay_3-processed-gene-1.270&CDS=1-2886
OG0000669	YCR047C	augustus_masked-Sbay_3-processed-gene-1.271-mRNA-1_1&gene=augustus_masked-Sbay_3-processed-gene-1.271&CDS=1-1320
OG0000670	YCR047W-A	snap_masked-Sbay_3-processed-gene-1.40-mRNA-1_1&gene=snap_masked-Sbay_3-processed-gene-1.40&CDS=1-303
OG0000671	YCR048W	maker-Sbay_3-augustus-gene-1.17-mRNA-1_1&gene=maker-Sbay_3-augustus-gene-1.17&CDS=1-2487
OG0000672	YCR052W	genemark-Sbay_3-processed-gene-1.143-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.143&CDS=1-1422
OG0000673	YCR053W	genemark-Sbay_3-processed-gene-1.144-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.144&CDS=1-1542
OG0000674	YCR054C	genemark-Sbay_3-processed-gene-1.189-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.189&CDS=1-1692
OG0000675	YCR057C	maker-Sbay_3-snap-gene-1.12-mRNA-1_1&gene=maker-Sbay_3-snap-gene-1.12&CDS=1-3591
OG0000676	YCR060W	augustus_masked-Sbay_3-processed-gene-1.233-mRNA-1_1&gene=augustus_masked-Sbay_3-processed-gene-1.233&CDS=1-333
OG0000677	YCR061W	augustus_masked-Sbay_3-processed-gene-1.234-mRNA-1_1&gene=augustus_masked-Sbay_3-processed-gene-1.234&CDS=1-1824
OG0000678	YCR063W	genemark-Sbay_3-processed-gene-1.148-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.148&CDS=1-471
OG0000679	YCR065W	genemark-Sbay_3-processed-gene-1.149-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.149&CDS=1-1692
OG0000680	YCR066W	genemark-Sbay_3-processed-gene-1.150-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.150&CDS=1-1455
OG0000681	YCR068W	maker-Sbay_3-augustus-gene-1.18-mRNA-1_1&gene=maker-Sbay_3-augustus-gene-1.18&CDS=1-2412
OG0000682	YCR073W-A	genemark-Sbay_3-processed-gene-1.153-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.153&CDS=1-927
OG0000683	YCR075C	genemark-Sbay_3-processed-gene-1.194-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.194&CDS=1-777
OG0000684	YCR075W-A	augustus_masked-Sbay_3-processed-gene-1.240-mRNA-1_1&gene=augustus_masked-Sbay_3-processed-gene-1.240&CDS=1-222
OG0000685	YCR076C	genemark-Sbay_3-processed-gene-1.195-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.195&CDS=1-720
OG0000686	YCR077C	genemark-Sbay_3-processed-gene-1.196-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.196&CDS=1-2424
OG0000687	YCR079W	genemark-Sbay_3-processed-gene-1.155-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.155&CDS=1-1326
OG0000688	YCR081W	augustus_masked-Sbay_3-processed-gene-1.242-mRNA-1_1&gene=augustus_masked-Sbay_3-processed-gene-1.242&CDS=1-4908
OG0000689	YCR084C	genemark-Sbay_3-processed-gene-1.197-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.197&CDS=1-2151
OG0000690	YCR086W	genemark-Sbay_3-processed-gene-1.159-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.159&CDS=1-570
OG0000691	YCR087C-A	genemark-Sbay_3-processed-gene-1.198-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.198&CDS=1-456
OG0000692	YCR088W	genemark-Sbay_3-processed-gene-1.160-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.160&CDS=1-1800
OG0000693	YCR090C	genemark-Sbay_3-processed-gene-1.199-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.199&CDS=1-546
OG0000694	YCR091W	augustus_masked-Sbay_3-processed-gene-1.246-mRNA-1_1&gene=augustus_masked-Sbay_3-processed-gene-1.246&CDS=1-2232
OG0000695	YCR092C	genemark-Sbay_3-processed-gene-1.200-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.200&CDS=1-3045
OG0000696	YCR093W	genemark-Sbay_3-processed-gene-1.164-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.164&CDS=1-7545
OG0000697	YCR095C	genemark-Sbay_3-processed-gene-1.201-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.201&CDS=1-1086
OG0000698	YCR096C	snap_masked-Sbay_3-processed-gene-1.87-mRNA-1_1&gene=snap_masked-Sbay_3-processed-gene-1.87&CDS=1-357
OG0000699	YCR098C	genemark-Sbay_14-processed-gene-0.7-mRNA-1_1&gene=genemark-Sbay_14-processed-gene-0.7&CDS=1-1554
OG0000700	YDL001W	genemark-Sbay_4-processed-gene-4.17-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.17&CDS=1-1290
OG0000701	YDL002C	genemark-Sbay_4-processed-gene-4.36-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.36&CDS=1-609
OG0000702	YDL003W	genemark-Sbay_4-processed-gene-4.16-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.16&CDS=1-1701
OG0000703	YDL004W	genemark-Sbay_4-processed-gene-4.15-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.15&CDS=1-480
OG0000704	YDL005C	genemark-Sbay_4-processed-gene-4.35-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.35&CDS=1-1215
OG0000705	YDL006W	genemark-Sbay_4-processed-gene-4.14-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.14&CDS=1-843
OG0000706	YDL007C-A	augustus_masked-Sbay_4-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-4.122&CDS=1-255
OG0000707	YDL007W	genemark-Sbay_4-processed-gene-4.13-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.13&CDS=1-1311
OG0000708	YDL008W	snap_masked-Sbay_4-processed-gene-4.56-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-4.56&CDS=1-495
OG0000709	YDL010W	genemark-Sbay_4-processed-gene-4.11-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.11&CDS=1-699
OG0000710	YDL012C	augustus_masked-Sbay_4-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-4.121&CDS=1-297
OG0000711	YDL013W	genemark-Sbay_4-processed-gene-4.10-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.10&CDS=1-1890
OG0000712	YDL014W	genemark-Sbay_4-processed-gene-4.9-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.9&CDS=1-861
OG0000713	YDL015C	genemark-Sbay_4-processed-gene-4.32-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.32&CDS=1-930
OG0000714	YDL017W	genemark-Sbay_4-processed-gene-4.8-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.8&CDS=1-1521
OG0000715	YDL018C	genemark-Sbay_4-processed-gene-4.31-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.31&CDS=1-675
OG0000716	YDL020C	genemark-Sbay_4-processed-gene-4.28-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.28&CDS=1-1605
OG0000717	YDL021W	genemark-Sbay_4-processed-gene-4.7-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.7&CDS=1-933
OG0000718	YDL028C	maker-Sbay_4-snap-gene-4.138-mRNA-1_1&gene=maker-Sbay_4-snap-gene-4.138&CDS=1-5088
OG0000719	YDL031W	augustus_masked-Sbay_4-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-4.93&CDS=1-5715
OG0000720	YDL033C	genemark-Sbay_4-processed-gene-3.98-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.98&CDS=1-1287
OG0000721	YDL035C	genemark-Sbay_4-processed-gene-3.97-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.97&CDS=1-2733
OG0000722	YDL037C	snap_masked-Sbay_9-processed-gene-3.140-mRNA-1_1&gene=snap_masked-Sbay_9-processed-gene-3.140&CDS=1-1341
OG0000723	YDL040C	genemark-Sbay_4-processed-gene-3.94-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.94&CDS=1-2565
OG0000724	YDL043C	genemark-Sbay_4-processed-gene-3.92-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.92&CDS=1-798
OG0000725	YDL045C	augustus_masked-Sbay_4-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-3.45&CDS=1-2286
OG0000726	YDL045W-A	augustus_masked-Sbay_4-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-3.28&CDS=1-285
OG0000727	YDL046W	genemark-Sbay_4-processed-gene-3.71-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.71&CDS=1-447
OG0000728	YDL047W	genemark-Sbay_4-processed-gene-3.70-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.70&CDS=1-933
OG0000729	YDL048C	genemark-Sbay_4-processed-gene-3.88-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.88&CDS=1-1509
OG0000730	YDL049C	genemark-Sbay_4-processed-gene-3.87-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.87&CDS=1-807
OG0000731	YDL051W	genemark-Sbay_4-processed-gene-3.69-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.69&CDS=1-828
OG0000732	YDL052C	snap_masked-Sbay_4-processed-gene-3.136-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-3.136&CDS=1-906
OG0000733	YDL053C	genemark-Sbay_4-processed-gene-3.85-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.85&CDS=1-552
OG0000734	YDL054C	genemark-Sbay_4-processed-gene-3.84-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.84&CDS=1-1464
OG0000735	YDL055C	genemark-Sbay_4-processed-gene-3.83-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.83&CDS=1-1083
OG0000736	YDL056W	genemark-Sbay_4-processed-gene-3.68-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.68&CDS=1-2529
OG0000737	YDL057W	genemark-Sbay_4-processed-gene-3.67-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.67&CDS=1-984
OG0000738	YDL058W	genemark-Sbay_4-processed-gene-3.66-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.66&CDS=1-5346
OG0000739	YDL059C	genemark-Sbay_4-processed-gene-3.82-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.82&CDS=1-717
OG0000740	YDL060W	genemark-Sbay_4-processed-gene-3.65-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.65&CDS=1-2376
OG0000741	YDL063C	augustus_masked-Sbay_4-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-3.37&CDS=1-1848
OG0000742	YDL064W	augustus_masked-Sbay_4-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-3.20&CDS=1-471
OG0000743	YDL065C	genemark-Sbay_4-processed-gene-3.80-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.80&CDS=1-1026
OG0000744	YDL067C	snap_masked-Sbay_4-processed-gene-3.131-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-3.131&CDS=1-177
OG0000745	YDL069C	snap_masked-Sbay_4-processed-gene-3.130-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-3.130&CDS=1-684
OG0000746	YDL070W	augustus_masked-Sbay_4-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-3.18&CDS=1-1671
OG0000747	YDL072C	genemark-Sbay_4-processed-gene-3.78-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.78&CDS=1-609
OG0000748	YDL073W	genemark-Sbay_4-processed-gene-3.61-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.61&CDS=1-2964
OG0000749	YDL074C	genemark-Sbay_4-processed-gene-3.77-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.77&CDS=1-2100
OG0000750	YDL076C	genemark-Sbay_4-processed-gene-3.76-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.76&CDS=1-891
OG0000751	YDL077C	genemark-Sbay_4-processed-gene-3.75-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.75&CDS=1-3150
OG0000752	YDL078C	genemark-Sbay_4-processed-gene-3.74-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.74&CDS=1-1029
OG0000753	YDL079C	maker-Sbay_4-snap-gene-3.1-mRNA-1_1&gene=maker-Sbay_4-snap-gene-3.1&CDS=1-1512
OG0000754	YDL080C	genemark-Sbay_4-processed-gene-3.72-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.72&CDS=1-1737
OG0000755	YDL081C	genemark-Sbay_4-processed-gene-3.59-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.59&CDS=1-318
OG0000756	YDL084W	genemark-Sbay_4-processed-gene-3.53-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.53&CDS=1-1338
OG0000757	YDL085W	augustus_masked-Sbay_4-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-3.8&CDS=1-1527
OG0000758	YDL086W	genemark-Sbay_4-processed-gene-3.51-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.51&CDS=1-819
OG0000759	YDL087C	genemark-Sbay_4-processed-gene-3.56-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.56&CDS=1-771
OG0000760	YDL088C	genemark-Sbay_4-processed-gene-3.55-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.55&CDS=1-1590
OG0000761	YDL089W	genemark-Sbay_4-processed-gene-2.88-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.88&CDS=1-1464
OG0000762	YDL090C	augustus_masked-Sbay_4-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-2.58&CDS=1-2646
OG0000763	YDL092W	genemark-Sbay_4-processed-gene-2.87-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.87&CDS=1-438
OG0000764	YDL095W	maker-Sbay_4-snap-gene-2.4-mRNA-1_1&gene=maker-Sbay_4-snap-gene-2.4&CDS=1-4740
OG0000765	YDL097C	augustus_masked-Sbay_4-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-2.57&CDS=1-1950
OG0000766	YDL099W	genemark-Sbay_4-processed-gene-2.84-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.84&CDS=1-1017
OG0000767	YDL100C	genemark-Sbay_4-processed-gene-2.104-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.104&CDS=1-1065
OG0000768	YDL101C	genemark-Sbay_4-processed-gene-2.103-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.103&CDS=1-1542
OG0000769	YDL102W	genemark-Sbay_4-processed-gene-2.83-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.83&CDS=1-3291
OG0000770	YDL103C	augustus_masked-Sbay_4-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-2.54&CDS=1-2526
OG0000771	YDL105W	genemark-Sbay_4-processed-gene-2.82-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.82&CDS=1-1209
OG0000772	YDL106C	augustus_masked-Sbay_4-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-2.53&CDS=1-1671
OG0000773	YDL108W	maker-Sbay_4-augustus-gene-2.11-mRNA-1_1&gene=maker-Sbay_4-augustus-gene-2.11&CDS=1-1929
OG0000774	YDL110C	genemark-Sbay_4-processed-gene-2.98-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.98&CDS=1-450
OG0000775	YDL111C	genemark-Sbay_4-processed-gene-2.97-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.97&CDS=1-795
OG0000776	YDL112W	genemark-Sbay_4-processed-gene-2.79-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.79&CDS=1-4308
OG0000777	YDL113C	genemark-Sbay_4-processed-gene-2.96-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.96&CDS=1-1920
OG0000778	YDL114W	genemark-Sbay_4-processed-gene-2.78-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.78&CDS=1-924
OG0000779	YDL115C	maker-Sbay_4-augustus-gene-2.14-mRNA-1_1&gene=maker-Sbay_4-augustus-gene-2.14&CDS=1-1053
OG0000780	YDL117W	augustus_masked-Sbay_4-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-2.33&CDS=1-4803
OG0000781	YDL119C	genemark-Sbay_4-processed-gene-2.94-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.94&CDS=1-921
OG0000782	YDL120W	genemark-Sbay_4-processed-gene-2.75-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.75&CDS=1-486
OG0000783	YDL121C	genemark-Sbay_4-processed-gene-2.93-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.93&CDS=1-447
OG0000784	YDL122W	augustus_masked-Sbay_4-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-2.31&CDS=1-2181
OG0000785	YDL123W	maker-Sbay_4-augustus-gene-2.10-mRNA-1_1&gene=maker-Sbay_4-augustus-gene-2.10&CDS=1-897
OG0000786	YDL126C	maker-Sbay_4-snap-gene-2.6-mRNA-1_1&gene=maker-Sbay_4-snap-gene-2.6&CDS=1-2913
OG0000787	YDL127W	genemark-Sbay_4-processed-gene-2.73-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.73&CDS=1-927
OG0000788	YDL128W	genemark-Sbay_4-processed-gene-2.72-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.72&CDS=1-1233
OG0000789	YDL129W	genemark-Sbay_4-processed-gene-2.71-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.71&CDS=1-876
OG0000790	YDL130W	maker-Sbay_4-augustus-gene-2.9-mRNA-1_1&gene=maker-Sbay_4-augustus-gene-2.9&CDS=1-318
OG0000791	YDL130W-A	augustus_masked-Sbay_4-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-2.26&CDS=1-258
OG0000792	YDL132W	genemark-Sbay_4-processed-gene-2.68-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.68&CDS=1-2445
OG0000793	YDL133W	genemark-Sbay_4-processed-gene-2.67-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.67&CDS=1-1323
OG0000794	YDL135C	genemark-Sbay_4-processed-gene-2.89-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.89&CDS=1-606
OG0000795	YDL139C	genemark-Sbay_4-processed-gene-2.63-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.63&CDS=1-717
OG0000796	YDL140C	genemark-Sbay_4-processed-gene-2.62-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.62&CDS=1-5619
OG0000797	YDL141W	genemark-Sbay_4-processed-gene-2.60-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.60&CDS=1-2070
OG0000798	YDL142C	genemark-Sbay_4-processed-gene-2.61-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.61&CDS=1-837
OG0000799	YDL143W	genemark-Sbay_4-processed-gene-2.59-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-2.59&CDS=1-1584
OG0000800	YDL144C	augustus_masked-Sbay_4-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-1.36&CDS=1-1068
OG0000801	YDL145C	augustus_masked-Sbay_4-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-1.35&CDS=1-3603
OG0000802	YDL146W	genemark-Sbay_4-processed-gene-1.114-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-1.114&CDS=1-1467
OG0000803	YDL147W	genemark-Sbay_4-processed-gene-1.113-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-1.113&CDS=1-1335
OG0000804	YDL148C	genemark-Sbay_4-processed-gene-1.129-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-1.129&CDS=1-2430
OG0000805	YDL149W	augustus_masked-Sbay_4-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-1.18&CDS=1-4245
OG0000806	YDL153C	genemark-Sbay_4-processed-gene-1.128-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-1.128&CDS=1-1815
OG0000807	YDL154W	augustus_masked-Sbay_4-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-1.17&CDS=1-3702
OG0000808	YDL156W	genemark-Sbay_4-processed-gene-1.108-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-1.108&CDS=1-1566
OG0000809	YDL157C	genemark-Sbay_4-processed-gene-1.127-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-1.127&CDS=1-348
OG0000810	YDL159W	genemark-Sbay_4-processed-gene-1.107-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-1.107&CDS=1-1572
OG0000811	YDL160C	genemark-Sbay_4-processed-gene-1.126-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-1.126&CDS=1-1524
OG0000812	YDL160C-A	augustus_masked-Sbay_4-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-1.30&CDS=1-243
OG0000813	YDL161W	genemark-Sbay_4-processed-gene-1.106-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-1.106&CDS=1-1386
OG0000814	YDL164C	genemark-Sbay_4-processed-gene-1.125-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-1.125&CDS=1-2196
OG0000815	YDL165W	snap_masked-Sbay_4-processed-gene-1.59-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-1.59&CDS=1-573
