	Pichia_membranifaciens	Saccharomyces_cerevisiae
OG0000768	genemark-scaffold_1-processed-gene-13.130-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.130&CDS=1-1590	YHR064C
OG0000769	snap_masked-scaffold_1-processed-gene-13.83-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.83&CDS=1-1677	YKL139W
OG0000770	snap_masked-scaffold_1-processed-gene-13.62-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.62&CDS=1-2223	YKR099W
OG0000771	snap_masked-scaffold_1-processed-gene-13.84-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.84&CDS=1-228	YIL156W-B
OG0000772	snap_masked-scaffold_1-processed-gene-13.85-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.85&CDS=1-1524	YGL160W
OG0000773	snap_masked-scaffold_1-processed-gene-13.64-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.64&CDS=1-765	YEL038W
OG0000774	snap_masked-scaffold_1-processed-gene-13.87-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.87&CDS=1-1122	YEL037C
OG0000775	augustus_masked-scaffold_1-processed-gene-13.19-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.19&CDS=1-1986	YML046W
OG0000776	augustus_masked-scaffold_1-processed-gene-13.38-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.38&CDS=1-1755	YJR052W
OG0000777	augustus_masked-scaffold_1-processed-gene-13.20-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.20&CDS=1-2718	YDR313C
OG0000778	snap_masked-scaffold_1-processed-gene-13.88-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.88&CDS=1-1902	YHR032W
OG0000779	snap_masked-scaffold_1-processed-gene-13.69-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.69&CDS=1-1230	YKL181W
OG0000780	snap_masked-scaffold_1-processed-gene-13.89-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.89&CDS=1-3498	YLR410W
OG0000781	augustus_masked-scaffold_1-processed-gene-13.23-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.23&CDS=1-2847	YLR409C
OG0000782	augustus_masked-scaffold_1-processed-gene-13.41-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.41&CDS=1-2736	YDL077C
OG0000783	augustus_masked-scaffold_1-processed-gene-13.42-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.42&CDS=1-1275	YLR407W
OG0000784	snap_masked-scaffold_1-processed-gene-13.91-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.91&CDS=1-1161	YLR405W
OG0000785	snap_masked-scaffold_1-processed-gene-14.0-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.0&CDS=1-1866	YLR401C
OG0000786	snap_masked-scaffold_1-processed-gene-14.3-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.3&CDS=1-549	YDL072C
OG0000787	snap_masked-scaffold_1-processed-gene-14.4-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.4&CDS=1-1725	YLR403W
OG0000788	snap_masked-scaffold_1-processed-gene-14.23-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.23&CDS=1-783	YOR126C
OG0000789	snap_masked-scaffold_1-processed-gene-14.5-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.5&CDS=1-5958	YLR422W
OG0000790	snap_masked-scaffold_1-processed-gene-14.24-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.24&CDS=1-630	YLR435W
OG0000791	augustus_masked-scaffold_1-processed-gene-14.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.62&CDS=1-1758	YOR380W
OG0000792	augustus_masked-scaffold_1-processed-gene-14.63-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.63&CDS=1-7692	YGR125W
OG0000793	maker-scaffold_1-snap-gene-14.84-mRNA-1_1&gene=maker-scaffold_1-snap-gene-14.84&CDS=1-3753	YPR029C
OG0000794	snap_masked-scaffold_1-processed-gene-14.17-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.17&CDS=1-1671	YKL217W
OG0000795	snap_masked-scaffold_1-processed-gene-14.18-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.18&CDS=1-1680	YKR097W
OG0000796	snap_masked-scaffold_1-processed-gene-14.32-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.32&CDS=1-1452	YMR210W
OG0000797	snap_masked-scaffold_1-processed-gene-14.34-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.34&CDS=1-1029	YBR046C
OG0000798	snap_masked-scaffold_1-processed-gene-14.19-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.19&CDS=1-1239	YDR057W
OG0000799	genemark-scaffold_1-processed-gene-14.124-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.124&CDS=1-5442	YMR128W
OG0000800	snap_masked-scaffold_1-processed-gene-14.20-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.20&CDS=1-1179	YMR127C
OG0000801	snap_masked-scaffold_1-processed-gene-14.37-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.37&CDS=1-3681	YLR032W
OG0000802	snap_masked-scaffold_1-processed-gene-14.38-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.38&CDS=1-1761	YOR355W
OG0000803	snap_masked-scaffold_1-processed-gene-14.21-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.21&CDS=1-606	YDR067C
OG0000804	snap_masked-scaffold_1-processed-gene-15.100-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.100&CDS=1-921	YER143W
OG0000805	snap_masked-scaffold_1-processed-gene-15.101-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.101&CDS=1-219	YER146W
OG0000806	snap_masked-scaffold_1-processed-gene-15.95-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.95&CDS=1-744	YDR071C
OG0000807	snap_masked-scaffold_1-processed-gene-15.96-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.96&CDS=1-453	YDL153C
OG0000808	snap_masked-scaffold_1-processed-gene-15.103-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.103&CDS=1-1083	YLR215C
OG0000809	snap_masked-scaffold_1-processed-gene-15.99-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.99&CDS=1-1584	YDL143W
OG0000810	snap_masked-scaffold_1-processed-gene-15.121-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.121&CDS=1-969	YDL142C
OG0000811	snap_masked-scaffold_1-processed-gene-15.105-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.105&CDS=1-1998	YDL141W
OG0000812	augustus_masked-scaffold_1-processed-gene-15.79-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.79&CDS=1-6270	YDL140C
OG0000813	snap_masked-scaffold_1-processed-gene-15.124-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.124&CDS=1-2937	YFL013C
OG0000814	maker-scaffold_1-snap-gene-15.47-mRNA-1_1&gene=maker-scaffold_1-snap-gene-15.47&CDS=1-723	YGR057C
OG0000815	snap_masked-scaffold_1-processed-gene-15.126-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.126&CDS=1-3837	YFL008W
OG0000816	snap_masked-scaffold_1-processed-gene-15.109-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.109&CDS=1-387	YJR085C
OG0000817	augustus_masked-scaffold_1-processed-gene-15.67-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.67&CDS=1-3534	YIL030C
OG0000818	snap_masked-scaffold_1-processed-gene-15.111-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.111&CDS=1-1401	YER122C
OG0000819	snap_masked-scaffold_1-processed-gene-15.112-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.112&CDS=1-1350	YBL098W
OG0000820	snap_masked-scaffold_1-processed-gene-15.113-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.113&CDS=1-2310	YGL009C
OG0000821	maker-scaffold_1-snap-gene-15.48-mRNA-1_1&gene=maker-scaffold_1-snap-gene-15.48&CDS=1-2079	YGL192W
OG0000822	augustus_masked-scaffold_1-processed-gene-15.86-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.86&CDS=1-1422	YGL190C
OG0000823	snap_masked-scaffold_1-processed-gene-15.114-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.114&CDS=1-456	YGL187C
OG0000824	snap_masked-scaffold_1-processed-gene-15.115-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.115&CDS=1-1140	YGL185C
OG0000825	snap_masked-scaffold_1-processed-gene-15.132-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.132&CDS=1-1701	YOR320C
OG0000826	snap_masked-scaffold_1-processed-gene-15.117-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.117&CDS=1-1182	YGL184C
OG0000827	genemark-scaffold_1-processed-gene-15.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.42&CDS=1-2061	YMR224C
OG0000828	snap_masked-scaffold_1-processed-gene-15.137-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.137&CDS=1-1656	YBR274W
OG0000829	snap_masked-scaffold_1-processed-gene-15.118-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.118&CDS=1-774	YLR250W
OG0000830	snap_masked-scaffold_1-processed-gene-15.139-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.139&CDS=1-3138	YNL014W
OG0000831	snap_masked-scaffold_1-processed-gene-16.37-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.37&CDS=1-2379	YBR058C
OG0000832	snap_masked-scaffold_1-processed-gene-16.39-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.39&CDS=1-1674	YBR057C
OG0000833	maker-scaffold_1-augustus-gene-16.80-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-16.80&CDS=1-4896	YFR021W
OG0000834	snap_masked-scaffold_1-processed-gene-16.59-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.59&CDS=1-2574	YPR089W
OG0000835	snap_masked-scaffold_1-processed-gene-16.41-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.41&CDS=1-4179	YAL002W
OG0000836	snap_masked-scaffold_1-processed-gene-16.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.60&CDS=1-1050	YGL001C
OG0000837	snap_masked-scaffold_1-processed-gene-16.42-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.42&CDS=1-1398	YHR018C
OG0000838	snap_masked-scaffold_1-processed-gene-16.62-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.62&CDS=1-2289	YOR022C
OG0000839	augustus_masked-scaffold_1-processed-gene-16.25-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.25&CDS=1-1335	YKL196C
OG0000840	maker-scaffold_1-augustus-gene-16.79-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-16.79&CDS=1-2115	YMR203W
OG0000841	snap_masked-scaffold_1-processed-gene-16.47-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.47&CDS=1-2013	YML114C
OG0000842	snap_masked-scaffold_1-processed-gene-16.48-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.48&CDS=1-2508	YMR277W
OG0000843	snap_masked-scaffold_1-processed-gene-16.49-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.49&CDS=1-1692	YMR296C
OG0000844	snap_masked-scaffold_1-processed-gene-16.53-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.53&CDS=1-825	YOL080C
OG0000845	snap_masked-scaffold_1-processed-gene-16.71-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.71&CDS=1-1011	YGR080W
OG0000846	genemark-scaffold_1-processed-gene-16.102-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.102&CDS=1-1893	YOR359W
OG0000847	snap_masked-scaffold_1-processed-gene-16.56-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.56&CDS=1-1617	YOR360C
OG0000848	snap_masked-scaffold_1-processed-gene-16.57-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.57&CDS=1-549	YAL044C
OG0000849	maker-scaffold_1-snap-gene-17.144-mRNA-1_1&gene=maker-scaffold_1-snap-gene-17.144&CDS=1-3333	YNL288W
OG0000850	snap_masked-scaffold_1-processed-gene-17.45-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.45&CDS=1-2775	YNL287W
OG0000851	snap_masked-scaffold_1-processed-gene-17.46-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.46&CDS=1-762	YPL162C
OG0000852	genemark-scaffold_1-processed-gene-17.101-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.101&CDS=1-1797	YDR481C
OG0000853	snap_masked-scaffold_1-processed-gene-17.50-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.50&CDS=1-1467	YLR418C
OG0000854	snap_masked-scaffold_1-processed-gene-17.49-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.49&CDS=1-3024	YDL149W
OG0000855	snap_masked-scaffold_1-processed-gene-17.71-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.71&CDS=1-2586	YDL148C
OG0000856	snap_masked-scaffold_1-processed-gene-17.51-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.51&CDS=1-1326	YER061C
OG0000857	snap_masked-scaffold_1-processed-gene-17.72-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.72&CDS=1-813	YIL049W
OG0000858	augustus_masked-scaffold_1-processed-gene-17.29-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.29&CDS=1-2076	YPR155C
OG0000859	augustus_masked-scaffold_1-processed-gene-17.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.10&CDS=1-2550	YNR013C
OG0000860	snap_masked-scaffold_1-processed-gene-17.73-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.73&CDS=1-1461	YNR012W
OG0000861	maker-scaffold_1-augustus-gene-17.92-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-17.92&CDS=1-5169	YMR205C
OG0000862	snap_masked-scaffold_1-processed-gene-17.59-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.59&CDS=1-753	YMR202W
OG0000863	genemark-scaffold_1-processed-gene-17.112-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.112&CDS=1-699	YOR125C
OG0000864	maker-scaffold_1-augustus-gene-17.95-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-17.95&CDS=1-2454	YDR373W
OG0000865	snap_masked-scaffold_1-processed-gene-17.62-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.62&CDS=1-3999	YKL209C
OG0000866	augustus_masked-scaffold_1-processed-gene-17.34-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.34&CDS=1-3072	YKL210W
OG0000867	augustus_masked-scaffold_1-processed-gene-17.16-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.16&CDS=1-1416	YLR163C
OG0000868	snap_masked-scaffold_1-processed-gene-17.63-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.63&CDS=1-966	YMR079W
OG0000869	snap_masked-scaffold_1-processed-gene-17.78-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.78&CDS=1-3321	YKL092C
OG0000870	augustus_masked-scaffold_1-processed-gene-17.36-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.36&CDS=1-3519	YML129C
OG0000871	augustus_masked-scaffold_1-processed-gene-17.21-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.21&CDS=1-1050	YNL289W
OG0000872	snap_masked-scaffold_1-processed-gene-17.82-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.82&CDS=1-969	YLR017W
OG0000873	snap_masked-scaffold_1-processed-gene-17.83-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.83&CDS=1-804	YMR156C
OG0000874	snap_masked-scaffold_1-processed-gene-17.84-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.84&CDS=1-471	YMR158W
OG0000875	snap_masked-scaffold_1-processed-gene-17.88-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.88&CDS=1-2697	YLL026W
OG0000876	snap_masked-scaffold_1-processed-gene-18.0-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.0&CDS=1-2337	YLR304C
OG0000877	snap_masked-scaffold_1-processed-gene-18.5-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.5&CDS=1-807	YOR145C
OG0000878	snap_masked-scaffold_1-processed-gene-18.21-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.21&CDS=1-6768	YNL262W
OG0000879	genemark-scaffold_1-processed-gene-18.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.103&CDS=1-2400	YPR031W
OG0000880	maker-scaffold_1-snap-gene-18.78-mRNA-1_1&gene=maker-scaffold_1-snap-gene-18.78&CDS=1-444	YDL125C
OG0000881	snap_masked-scaffold_1-processed-gene-18.11-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.11&CDS=1-2469	YDL126C
OG0000882	augustus_masked-scaffold_1-processed-gene-18.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.62&CDS=1-921	YGR060W
OG0000883	maker-scaffold_1-snap-gene-18.75-mRNA-1_1&gene=maker-scaffold_1-snap-gene-18.75&CDS=1-279	YDR379C-A
OG0000884	maker-scaffold_1-snap-gene-18.79-mRNA-1_1&gene=maker-scaffold_1-snap-gene-18.79&CDS=1-4008	YKL077W
OG0000885	augustus_masked-scaffold_1-processed-gene-18.51-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.51&CDS=1-1761	YJR001W
OG0000886	augustus_masked-scaffold_1-processed-gene-18.67-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.67&CDS=1-2622	YCL045C
OG0000887	maker-scaffold_1-snap-gene-18.77-mRNA-1_1&gene=maker-scaffold_1-snap-gene-18.77&CDS=1-3876	YPL227C
OG0000888	snap_masked-scaffold_1-processed-gene-18.18-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.18&CDS=1-2172	YLR006C
OG0000889	maker-scaffold_1-snap-gene-18.80-mRNA-1_1&gene=maker-scaffold_1-snap-gene-18.80&CDS=1-3285	YDR452W
OG0000890	snap_masked-scaffold_1-processed-gene-19.56-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.56&CDS=1-1944	YNL048W
OG0000891	maker-scaffold_1-augustus-gene-19.50-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-19.50&CDS=1-2028	YCL018W
OG0000892	snap_masked-scaffold_1-processed-gene-19.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.60&CDS=1-1362	YCL017C
OG0000893	snap_masked-scaffold_1-processed-gene-19.59-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.59&CDS=1-846	YNL003C
OG0000894	snap_masked-scaffold_1-processed-gene-19.75-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.75&CDS=1-561	YCR003W
OG0000895	augustus_masked-scaffold_1-processed-gene-19.102-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.102&CDS=1-1020	YCR002C
OG0000896	snap_masked-scaffold_1-processed-gene-19.79-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.79&CDS=1-1635	YHR194W
OG0000897	maker-scaffold_1-snap-gene-19.1-mRNA-1_1&gene=maker-scaffold_1-snap-gene-19.1&CDS=1-2058	YOL001W
OG0000898	snap_masked-scaffold_1-processed-gene-19.62-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.62&CDS=1-909	YML025C
OG0000899	augustus_masked-scaffold_1-processed-gene-19.121-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.121&CDS=1-1887	YOR077W
OG0000900	augustus_masked-scaffold_1-processed-gene-19.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.105&CDS=1-564	YJR017C
OG0000901	snap_masked-scaffold_1-processed-gene-19.66-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.66&CDS=1-1296	YDR448W
OG0000902	augustus_masked-scaffold_1-processed-gene-19.108-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.108&CDS=1-1251	YDR449C
OG0000903	augustus_masked-scaffold_1-processed-gene-19.109-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.109&CDS=1-4221	YGR175C
OG0000904	snap_masked-scaffold_1-processed-gene-19.84-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.84&CDS=1-2178	YNL054W
OG0000905	genemark-scaffold_1-processed-gene-19.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.42&CDS=1-1476	YHR183W
OG0000906	augustus_masked-scaffold_1-processed-gene-19.110-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.110&CDS=1-951	YKL094W
OG0000907	snap_masked-scaffold_1-processed-gene-19.87-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.87&CDS=1-2124	YDR485C
OG0000908	snap_masked-scaffold_1-processed-gene-19.71-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.71&CDS=1-942	YOL096C
OG0000909	augustus_masked-scaffold_1-processed-gene-19.127-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.127&CDS=1-3177	YDR341C
OG0000910	snap_masked-scaffold_1-processed-gene-19.72-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.72&CDS=1-1119	YOR344C
OG0000911	snap_masked-scaffold_1-processed-gene-19.91-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.91&CDS=1-1917	YER049W
OG0000912	augustus_masked-scaffold_1-processed-gene-19.116-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.116&CDS=1-5640	YPL231W
OG0000913	augustus_masked-scaffold_1-processed-gene-19.130-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.130&CDS=1-1887	YDR169C
OG0000914	snap_masked-scaffold_1-processed-gene-20.1-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.1&CDS=1-780	YLR150W
OG0000915	snap_masked-scaffold_1-processed-gene-20.2-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.2&CDS=1-5637	YDR170C
OG0000916	snap_masked-scaffold_1-processed-gene-20.4-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.4&CDS=1-1608	YEL013W
OG0000917	snap_masked-scaffold_1-processed-gene-20.22-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.22&CDS=1-450	YDR482C
OG0000918	snap_masked-scaffold_1-processed-gene-20.5-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.5&CDS=1-3063	YCR092C
OG0000919	maker-scaffold_1-snap-gene-20.73-mRNA-1_1&gene=maker-scaffold_1-snap-gene-20.73&CDS=1-2817	YNR046W
OG0000920	snap_masked-scaffold_1-processed-gene-20.6-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.6&CDS=1-489	YCR090C
OG0000921	genemark-scaffold_1-processed-gene-20.99-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.99&CDS=1-3717	YDR490C
OG0000922	augustus_masked-scaffold_1-processed-gene-20.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.62&CDS=1-735	YOL102C
OG0000923	snap_masked-scaffold_1-processed-gene-20.9-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.9&CDS=1-1812	YKL029C
OG0000924	maker-scaffold_1-snap-gene-20.75-mRNA-1_1&gene=maker-scaffold_1-snap-gene-20.75&CDS=1-450	YDR092W
OG0000925	snap_masked-scaffold_1-processed-gene-20.13-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.13&CDS=1-3390	YDR421W
OG0000926	snap_masked-scaffold_1-processed-gene-20.34-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.34&CDS=1-567	YDR454C
OG0000927	genemark-scaffold_1-processed-gene-20.89-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.89&CDS=1-2307	YDR456W
OG0000928	augustus_masked-scaffold_1-processed-gene-20.68-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.68&CDS=1-2031	YML031W
OG0000929	augustus_masked-scaffold_1-processed-gene-20.53-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.53&CDS=1-1515	YML032C
OG0000930	snap_masked-scaffold_1-processed-gene-20.37-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.37&CDS=1-1701	YDR232W
OG0000931	snap_masked-scaffold_1-processed-gene-20.20-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.20&CDS=1-1956	YIL150C
OG0000932	snap_masked-scaffold_1-processed-gene-20.39-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.39&CDS=1-3579	YIL147C
OG0000933	maker-scaffold_1-augustus-gene-21.85-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-21.85&CDS=1-3897	YGL216W
