	Saccharomyces_cerevisiae	Yarrowia_deformans
OG0000321	YJL093C	-processed-gene-13.6-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-13.6&CDS=1-2448, -processed-gene-3.55-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-3.55&CDS=1-2487
OG0000322	YJL105W, YKR029C	-processed-gene-10.57-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-10.57&CDS=1-1935
OG0000323	YJL133W, YKR052C	-processed-gene-2.40-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-2.40&CDS=1-951
OG0000324	YJL134W, YKR053C	-processed-gene-0.72-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-0.72&CDS=1-1884
OG0000325	YJL136C, YKR057W	-processed-gene-16.72-mRNA-1_1&gene=snap_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-16.72&CDS=1-261
OG0000326	YJL137C, YKR058W	-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-1.100&CDS=1-1629
OG0000327	YJL138C, YKR059W	-processed-gene-3.64-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-3.64&CDS=1-1185
OG0000328	YJL139C, YKR061W	-processed-gene-2.49-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-2.49&CDS=1-1299
OG0000329	YJL158C, YJL160C	-processed-gene-3.79-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-3.79&CDS=1-855
OG0000330	YJL177W, YKL180W	-processed-gene-9.101-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-9.101&CDS=1-552
OG0000331	YJL190C	-processed-gene-1.46-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-1.46&CDS=1-390, -processed-gene-17.13-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-17.13&CDS=1-390
OG0000332	YJL218W	-processed-gene-23.58-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-23.58&CDS=1-663, -processed-gene-7.57-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-7.57&CDS=1-660
OG0000333	YJR054W, YML047C	-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-1.30&CDS=1-1437
OG0000334	YJR061W, YKL201C	-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-1.15&CDS=1-2154
OG0000335	YJR076C	-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-gi|1002317467|dbj|BCIW01000022.1|-processed-gene-1.148&CDS=1-1161, -processed-gene-10.170-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-10.170&CDS=1-1275
OG0000336	YJR091C, YPR042C	-processed-gene-8.99-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-8.99&CDS=1-2478
OG0000337	YJR092W	-augustus-gene-14.86-mRNA-1_1&gene=maker-gi|1002317487|dbj|BCIW01000002.1|-augustus-gene-14.86&CDS=1-3399, -processed-gene-11.17-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-11.17&CDS=1-6351
OG0000338	YJR094W-A, YPR043W	-processed-gene-0.79-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-0.79&CDS=1-300
OG0000339	YJR096W	-processed-gene-0.18-mRNA-1_1&gene=genemark-gi|1002317469|dbj|BCIW01000020.1|-processed-gene-0.18&CDS=1-852, -processed-gene-8.131-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-8.131&CDS=1-861
OG0000340	YJR105W	-processed-gene-0.12-mRNA-1_1&gene=genemark-gi|1002317461|dbj|BCIW01000028.1|-processed-gene-0.12&CDS=1-810, -processed-gene-12.60-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-12.60&CDS=1-1041
OG0000341	YJR124C	-processed-gene-1.53-mRNA-1_1&gene=genemark-gi|1002317469|dbj|BCIW01000020.1|-processed-gene-1.53&CDS=1-1242, -processed-gene-21.100-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-21.100&CDS=1-1389
OG0000342	YJR127C, YML081W	-processed-gene-8.54-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-8.54&CDS=1-3312
OG0000343	YJR130C, YML082W	-processed-gene-1.82-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-1.82&CDS=1-1650
OG0000344	YKL050C, YMR031C	-processed-gene-7.30-mRNA-1_1&gene=snap_masked-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-7.30&CDS=1-3861
OG0000345	YKL068W, YMR047C	-processed-gene-4.29-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-4.29&CDS=1-3336
OG0000346	YKL072W, YMR053C	-processed-gene-3.117-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-3.117&CDS=1-2661
OG0000347	YKL103C	-processed-gene-10.48-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-10.48&CDS=1-1395, -processed-gene-9.48-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-9.48&CDS=1-1479
OG0000348	YKL121W, YMR102C	-processed-gene-2.104-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-2.104&CDS=1-2691
OG0000349	YKL141W, YMR118C	-processed-gene-5.66-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-5.66&CDS=1-513
OG0000350	YKL192C	-processed-gene-11.37-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-11.37&CDS=1-327, -processed-gene-5.119-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-5.119&CDS=1-399
OG0000351	YKR076W, YMR251W	-processed-gene-3.60-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-3.60&CDS=1-960
OG0000352	YKR089C, YOR081C	-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-4.78&CDS=1-2328
OG0000353	YLL012W, YLR020C	-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-3.3&CDS=1-1353
OG0000354	YLL016W, YLR310C	-snap-gene-5.85-mRNA-1_1&gene=maker-gi|1002317483|dbj|BCIW01000006.1|-snap-gene-5.85&CDS=1-3603
OG0000355	YLR126C	-processed-gene-1.67-mRNA-1_1&gene=genemark-gi|1002317468|dbj|BCIW01000021.1|-processed-gene-1.67&CDS=1-726, -processed-gene-10.136-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-10.136&CDS=1-726
OG0000356	YLR260W, YOR171C	-processed-gene-7.58-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-7.58&CDS=1-1398
OG0000357	YLR264W, YOR167C	-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-gi|1002317467|dbj|BCIW01000022.1|-processed-gene-1.155&CDS=1-207
OG0000358	YLR270W, YOR173W	-processed-gene-0.38-mRNA-1_1&gene=genemark-gi|1002317465|dbj|BCIW01000024.1|-processed-gene-0.38&CDS=1-921
OG0000359	YLR287C-A, YOR182C	-processed-gene-8.39-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-8.39&CDS=1-717
OG0000360	YLR300W, YOR190W	-processed-gene-3.95-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-3.95&CDS=1-1263
OG0000361	YLR398C	-processed-gene-1.25-mRNA-1_1&gene=genemark-gi|1002317470|dbj|BCIW01000019.1|-processed-gene-1.25&CDS=1-3747, -processed-gene-5.3-mRNA-1_1&gene=augustus_masked-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-5.3&CDS=1-3798
OG0000362	YLR449W, YML074C	-processed-gene-7.96-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-7.96&CDS=1-1224
OG0000363	YLR450W, YML075C	-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-1.26&CDS=1-2997
OG0000364	YLR456W, YPR172W	-processed-gene-3.82-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-3.82&CDS=1-474
OG0000365	YML046W	-processed-gene-10.76-mRNA-1_1&gene=snap_masked-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-10.76&CDS=1-1920, -processed-gene-3.11-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-3.11&CDS=1-1707
OG0000366	YML100W, YMR261C	-processed-gene-5.56-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-5.56&CDS=1-3147
OG0000367	YML106W, YMR271C	-processed-gene-11.210-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-11.210&CDS=1-657
OG0000368	YML109W, YMR273C	-processed-gene-6.73-mRNA-1_1&gene=augustus_masked-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-6.73&CDS=1-4317
OG0000369	YML118W, YMR285C	-processed-gene-0.40-mRNA-1_1&gene=genemark-gi|1002317467|dbj|BCIW01000022.1|-processed-gene-0.40&CDS=1-1365
OG0000370	YML123C	-processed-gene-23.60-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-23.60&CDS=1-1731, -processed-gene-8.145-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-8.145&CDS=1-1725
OG0000371	YML131W	-processed-gene-10.35-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-10.35&CDS=1-1011, -processed-gene-4.34-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-4.34&CDS=1-1020
OG0000372	YMR034C	-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-3.28&CDS=1-1329, -processed-gene-7.47-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-7.47&CDS=1-1392
OG0000373	YMR058W	-processed-gene-7.12-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-7.12&CDS=1-1764, -processed-gene-8.62-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-8.62&CDS=1-1956
OG0000374	YMR119W, YNL008C	-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-3.14&CDS=1-2025
OG0000375	YMR155W	-processed-gene-0.35-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-0.35&CDS=1-1275, -processed-gene-7.85-mRNA-1_1&gene=augustus_masked-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-7.85&CDS=1-2229
OG0000376	YMR177W, YPL224C	-processed-gene-10.56-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-10.56&CDS=1-1089
OG0000377	YMR182C, YPL230W	-processed-gene-1.20-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-1.20&CDS=1-1821
OG0000378	YMR194W, YPL249C-A	-processed-gene-5.61-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-5.61&CDS=1-300
OG0000379	YMR202W	-processed-gene-15.73-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-15.73&CDS=1-654, -processed-gene-7.45-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-7.45&CDS=1-654
OG0000380	YMR222C, YOR280C	-processed-gene-1.79-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-1.79&CDS=1-714
OG0000381	YMR230W, YOR293W	-processed-gene-2.78-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-2.78&CDS=1-414
OG0000382	YMR237W, YOR299W	-processed-gene-8.40-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-8.40&CDS=1-2106
OG0000383	YMR242C, YOR312C	-processed-gene-0.56-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-0.56&CDS=1-549
OG0000384	YMR253C, YPL264C	-processed-gene-8.57-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-8.57&CDS=1-1383
OG0000385	YNL087W, YOR086C	-snap-gene-5.3-mRNA-1_1&gene=maker-gi|1002317484|dbj|BCIW01000005.1|-snap-gene-5.3&CDS=1-5364
OG0000386	YNL096C, YOR096W	-processed-gene-2.43-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-2.43&CDS=1-576
OG0000387	YNL104C, YOR108W	-processed-gene-13.57-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-13.57&CDS=1-1731
OG0000388	YNL106C, YOR109W	-processed-gene-8.53-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-8.53&CDS=1-3201
OG0000389	YNL108C, YOR110W	-processed-gene-11.224-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-11.224&CDS=1-1251
OG0000390	YNL239W	-processed-gene-12.62-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-12.62&CDS=1-1383, -processed-gene-2.31-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-2.31&CDS=1-1527
OG0000391	YNL274C	-processed-gene-2.38-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-2.38&CDS=1-1050, -processed-gene-5.107-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-5.107&CDS=1-993
OG0000392	YNL298W, YOL113W	-processed-gene-0.34-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-0.34&CDS=1-2844
OG0000393	YNL299W, YOL115W	-processed-gene-2.24-mRNA-1_1&gene=snap_masked-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-2.24&CDS=1-2124
OG0000394	YNL301C, YOL120C	-processed-gene-10.54-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-10.54&CDS=1-558
OG0000395	YNL302C, YOL121C	-processed-gene-3.76-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-3.76&CDS=1-444
OG0000396	YOL013C	-processed-gene-1.67-mRNA-1_1&gene=snap_masked-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-1.67&CDS=1-975, -processed-gene-10.24-mRNA-1_1&gene=snap_masked-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-10.24&CDS=1-1377
OG0000397	YOL069W	-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-gi|1002317470|dbj|BCIW01000019.1|-processed-gene-1.81&CDS=1-1320, -processed-gene-7.83-mRNA-1_1&gene=augustus_masked-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-7.83&CDS=1-1347
OG0000398	YOR049C	-processed-gene-3.119-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-3.119&CDS=1-1017, -processed-gene-7.112-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-7.112&CDS=1-1089
OG0000399	YOR067C	-augustus-gene-23.45-mRNA-1_1&gene=maker-gi|1002317488|dbj|BCIW01000001.1|-augustus-gene-23.45&CDS=1-2979, -processed-gene-11.0-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-11.0&CDS=1-1632
OG0000400	YOR226C, YPL135W	-processed-gene-8.67-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-8.67&CDS=1-537
OG0000401	YOR227W, YPL137C	-processed-gene-6.98-mRNA-1_1&gene=genemark-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-6.98&CDS=1-4332
OG0000402	YOR231W, YPL140C	-processed-gene-4.24-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-4.24&CDS=1-1326
OG0000403	YOR237W, YPL145C	-processed-gene-2.44-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-2.44&CDS=1-1185
OG0000404	YOR256C, YPL176C	-processed-gene-8.166-mRNA-1_1&gene=snap_masked-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-8.166&CDS=1-2391
OG0000405	YOR285W	-processed-gene-2.50-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-2.50&CDS=1-432, -processed-gene-3.139-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-3.139&CDS=1-579
OG0000406	YOR327C	-processed-gene-11.142-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-11.142&CDS=1-342, -processed-gene-3.42-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-3.42&CDS=1-336
OG0000407	YOR348C	-processed-gene-20.35-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-20.35&CDS=1-1620, -processed-gene-9.9-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-9.9&CDS=1-1692
OG0000408	YOR374W	-processed-gene-3.58-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-3.58&CDS=1-1488, -processed-gene-4.40-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-4.40&CDS=1-1488
OG0000409	YPL123C	-processed-gene-2.57-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-2.57&CDS=1-867, -processed-gene-3.108-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-3.108&CDS=1-1215
OG0000410	YPL265W	-processed-gene-0.20-mRNA-1_1&gene=genemark-gi|1002317469|dbj|BCIW01000020.1|-processed-gene-0.20&CDS=1-1725, -processed-gene-0.7-mRNA-1_1&gene=genemark-gi|1002317466|dbj|BCIW01000023.1|-processed-gene-0.7&CDS=1-1728
OG0000411	YPR013C, YPR015C	-processed-gene-1.84-mRNA-1_1&gene=genemark-gi|1002317466|dbj|BCIW01000023.1|-processed-gene-1.84&CDS=1-1092
OG0000412	YPR055W	-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-1.24&CDS=1-3267, -processed-gene-2.76-mRNA-1_1&gene=snap_masked-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-2.76&CDS=1-585
OG0000413	YPR159W	-processed-gene-10.50-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-10.50&CDS=1-2004, -processed-gene-6.17-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-6.17&CDS=1-2001
OG0000414	YPR165W	-processed-gene-1.50-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-1.50&CDS=1-612, -processed-gene-9.11-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-9.11&CDS=1-609
OG0000415	YPR169W-A, YPR170W-B	-processed-gene-4.3-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-4.3&CDS=1-252
OG0000416	YPR201W	-processed-gene-0.20-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-0.20&CDS=1-1020, -processed-gene-1.40-mRNA-1_1&gene=genemark-gi|1002317469|dbj|BCIW01000020.1|-processed-gene-1.40&CDS=1-1251
OG0000417	YAL001C	-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-3.26&CDS=1-4239
OG0000418	YAL002W	-processed-gene-0.73-mRNA-1_1&gene=snap_masked-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-0.73&CDS=1-5202
OG0000419	YAL003W	-processed-gene-7.26-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-7.26&CDS=1-660
OG0000420	YAL010C	-processed-gene-4.9-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-4.9&CDS=1-618
OG0000421	YAL011W	-processed-gene-10.81-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-10.81&CDS=1-2985
OG0000422	YAL012W	-processed-gene-2.50-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-2.50&CDS=1-1182
OG0000423	YAL013W	-processed-gene-2.36-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-2.36&CDS=1-2295
OG0000424	YAL014C	-processed-gene-10.150-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-10.150&CDS=1-762
OG0000425	YAL016W	-processed-gene-12.92-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-12.92&CDS=1-1866
OG0000426	YAL019W	-processed-gene-4.42-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-4.42&CDS=1-2784
OG0000427	YAL020C	-processed-gene-3.50-mRNA-1_1&gene=snap_masked-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-3.50&CDS=1-1131
OG0000428	YAL021C	-processed-gene-2.2-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-2.2&CDS=1-2136
OG0000429	YAL022C	-processed-gene-5.1-mRNA-1_1&gene=snap_masked-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-5.1&CDS=1-1206
OG0000430	YAL023C	-processed-gene-5.51-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-5.51&CDS=1-2229
OG0000431	YAL024C	-processed-gene-0.77-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-0.77&CDS=1-2739
OG0000432	YAL025C	-processed-gene-1.27-mRNA-1_1&gene=genemark-gi|1002317469|dbj|BCIW01000020.1|-processed-gene-1.27&CDS=1-939
OG0000433	YAL026C	-processed-gene-0.64-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-0.64&CDS=1-3996
OG0000434	YAL032C	-processed-gene-2.42-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-2.42&CDS=1-1641
OG0000435	YAL033W	-processed-gene-8.62-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-8.62&CDS=1-471
OG0000436	YAL034W-A	-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-1.54&CDS=1-1158
OG0000437	YAL035W	-processed-gene-0.25-mRNA-1_1&gene=genemark-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-0.25&CDS=1-3141
OG0000438	YAL036C	-processed-gene-1.56-mRNA-1_1&gene=snap_masked-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-1.56&CDS=1-1104
OG0000439	YAL038W	-processed-gene-6.95-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-6.95&CDS=1-1545
OG0000440	YAL039C	-processed-gene-10.67-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-10.67&CDS=1-933
OG0000441	YAL041W	-processed-gene-7.62-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-7.62&CDS=1-2361
OG0000442	YAL042W	-processed-gene-6.37-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-6.37&CDS=1-1203
OG0000443	YAL043C	-processed-gene-9.21-mRNA-1_1&gene=snap_masked-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-9.21&CDS=1-2214
OG0000444	YAL044C	-processed-gene-2.14-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-2.14&CDS=1-516
OG0000445	YAL044W-A	-processed-gene-3.41-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-3.41&CDS=1-315
OG0000446	YAL046C	-processed-gene-9.23-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-9.23&CDS=1-339
OG0000447	YAL048C	-processed-gene-2.60-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-2.60&CDS=1-1992
OG0000448	YAL049C	-processed-gene-2.51-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-2.51&CDS=1-720
OG0000449	YAL053W	-processed-gene-8.38-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-8.38&CDS=1-2310
OG0000450	YAL058W	-processed-gene-4.11-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-4.11&CDS=1-1746
OG0000451	YAL062W	-processed-gene-12.43-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-12.43&CDS=1-1374
OG0000452	YAL067C	-processed-gene-6.51-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-6.51&CDS=1-1803
OG0000453	YAR003W	-processed-gene-0.32-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-0.32&CDS=1-1269
OG0000454	YAR007C	-processed-gene-2.67-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-2.67&CDS=1-1764
OG0000455	YAR008W	-processed-gene-6.75-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-6.75&CDS=1-798
OG0000456	YAR014C	-processed-gene-12.1-mRNA-1_1&gene=augustus_masked-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-12.1&CDS=1-3921
OG0000457	YAR015W	-processed-gene-2.91-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-2.91&CDS=1-930
