	Metschnikowia_kipukae	Saccharomyces_cerevisiae
OG0000890	snap_masked-kipT_s19-processed-gene-2.77-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.77&CDS=1-3891	YMR304W
OG0000891	snap_masked-kipT_s19-processed-gene-2.91-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.91&CDS=1-867	YGR277C
OG0000892	snap_masked-kipT_s19-processed-gene-2.92-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.92&CDS=1-2574	YER077C
OG0000893	snap_masked-kipT_s19-processed-gene-2.93-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.93&CDS=1-480	YCR090C
OG0000894	snap_masked-kipT_s19-processed-gene-2.80-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.80&CDS=1-747	YOR281C
OG0000895	genemark-kipT_s19-processed-gene-2.28-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-2.28&CDS=1-1608	YMR223W
OG0000896	snap_masked-kipT_s19-processed-gene-2.97-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.97&CDS=1-555	YLR306W
OG0000897	snap_masked-kipT_s19-processed-gene-2.83-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.83&CDS=1-1170	YPL151C
OG0000898	snap_masked-kipT_s19-processed-gene-2.84-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.84&CDS=1-1062	YPL152W
OG0000899	snap_masked-kipT_s19-processed-gene-2.101-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.101&CDS=1-1464	YOR250C
OG0000900	snap_masked-kipT_s19-processed-gene-3.78-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.78&CDS=1-1038	YLR019W
OG0000901	snap_masked-kipT_s19-processed-gene-3.79-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.79&CDS=1-1383	YLL011W
OG0000902	augustus_masked-kipT_s19-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-kipT_s19-processed-gene-3.43&CDS=1-702	YNL265C
OG0000903	snap_masked-kipT_s19-processed-gene-3.82-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.82&CDS=1-1524	YOR269W
OG0000904	snap_masked-kipT_s19-processed-gene-3.101-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.101&CDS=1-900	YOR251C
OG0000905	snap_masked-kipT_s19-processed-gene-3.102-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.102&CDS=1-2163	YOR243C
OG0000906	genemark-kipT_s19-processed-gene-3.7-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-3.7&CDS=1-837	YOR242C
OG0000907	snap_masked-kipT_s19-processed-gene-3.103-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.103&CDS=1-2358	YPL153C
OG0000908	snap_masked-kipT_s19-processed-gene-3.86-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.86&CDS=1-1065	YEL004W
OG0000909	snap_masked-kipT_s19-processed-gene-3.91-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.91&CDS=1-852	YPR061C
OG0000910	snap_masked-kipT_s19-processed-gene-3.92-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.92&CDS=1-774	YPR060C
OG0000911	snap_masked-kipT_s19-processed-gene-3.105-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.105&CDS=1-900	YML015C
OG0000912	snap_masked-kipT_s19-processed-gene-3.94-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.94&CDS=1-930	YML014W
OG0000913	snap_masked-kipT_s19-processed-gene-3.95-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.95&CDS=1-1143	YDR435C
OG0000914	snap_masked-kipT_s19-processed-gene-3.96-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.96&CDS=1-1740	YDR425W
OG0000915	snap_masked-kipT_s19-processed-gene-3.97-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.97&CDS=1-1221	YDR427W
OG0000916	snap_masked-kipT_s19-processed-gene-3.109-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.109&CDS=1-1923	YJL036W
OG0000917	snap_masked-kipT_s19-processed-gene-3.110-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.110&CDS=1-1362	YKL046C
OG0000918	snap_masked-kipT_s19-processed-gene-3.113-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.113&CDS=1-2565	YHR154W
OG0000919	genemark-kipT_s19-processed-gene-3.38-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-3.38&CDS=1-4686	YDR443C
OG0000920	snap_masked-kipT_s19-processed-gene-3.117-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-3.117&CDS=1-1776	YNL216W
OG0000921	snap_masked-kipT_s19-processed-gene-4.0-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.0&CDS=1-1164	YNL217W
OG0000922	snap_masked-kipT_s19-processed-gene-4.1-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.1&CDS=1-2235	YDL234C
OG0000923	snap_masked-kipT_s19-processed-gene-4.4-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.4&CDS=1-1638	YMR297W
OG0000924	snap_masked-kipT_s19-processed-gene-4.8-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.8&CDS=1-2967	YBL060W
OG0000925	genemark-kipT_s19-processed-gene-4.90-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-4.90&CDS=1-576	YER094C
OG0000926	snap_masked-kipT_s19-processed-gene-4.28-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.28&CDS=1-291	YBL059C-A
OG0000927	snap_masked-kipT_s19-processed-gene-4.10-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.10&CDS=1-1191	YER178W
OG0000928	snap_masked-kipT_s19-processed-gene-4.30-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.30&CDS=1-4380	YOR116C
OG0000929	snap_masked-kipT_s19-processed-gene-4.31-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.31&CDS=1-1275	YOR117W
OG0000930	maker-kipT_s19-augustus-gene-4.121-mRNA-1_1&gene=maker-kipT_s19-augustus-gene-4.121&CDS=1-2184	YDR205W
OG0000931	snap_masked-kipT_s19-processed-gene-4.15-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.15&CDS=1-828	YLR243W
OG0000932	snap_masked-kipT_s19-processed-gene-4.16-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.16&CDS=1-1368	YDR190C
OG0000933	snap_masked-kipT_s19-processed-gene-4.32-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.32&CDS=1-1911	YDR189W
OG0000934	snap_masked-kipT_s19-processed-gene-4.34-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.34&CDS=1-1662	YDR188W
OG0000935	snap_masked-kipT_s19-processed-gene-4.35-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.35&CDS=1-1116	YLR244C
OG0000936	maker-kipT_s19-snap-gene-4.124-mRNA-1_1&gene=maker-kipT_s19-snap-gene-4.124&CDS=1-414	YLR245C
OG0000937	snap_masked-kipT_s19-processed-gene-4.18-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.18&CDS=1-3096	YLR240W
OG0000938	snap_masked-kipT_s19-processed-gene-4.37-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.37&CDS=1-714	YDR196C
OG0000939	snap_masked-kipT_s19-processed-gene-4.19-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.19&CDS=1-1035	YHR063C
OG0000940	snap_masked-kipT_s19-processed-gene-4.38-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.38&CDS=1-1293	YDR198C
OG0000941	snap_masked-kipT_s19-processed-gene-4.20-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.20&CDS=1-1863	YLR234W
OG0000942	snap_masked-kipT_s19-processed-gene-4.22-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.22&CDS=1-930	YLR242C
OG0000943	snap_masked-kipT_s19-processed-gene-4.40-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.40&CDS=1-330	YDR382W
OG0000944	snap_masked-kipT_s19-processed-gene-4.24-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.24&CDS=1-426	YOL040C
OG0000945	snap_masked-kipT_s19-processed-gene-4.25-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-4.25&CDS=1-861	YOR130C
OG0000946	snap_masked-kipT_s19-processed-gene-5.47-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.47&CDS=1-948	YDL237W
OG0000947	snap_masked-kipT_s19-processed-gene-5.50-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.50&CDS=1-621	YLR312W-A
OG0000948	snap_masked-kipT_s19-processed-gene-5.46-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.46&CDS=1-1656	YGL171W
OG0000949	snap_masked-kipT_s19-processed-gene-5.51-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.51&CDS=1-372	YPR020W
OG0000950	genemark-kipT_s19-processed-gene-5.99-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-5.99&CDS=1-1407	YDR105C
OG0000951	snap_masked-kipT_s19-processed-gene-5.53-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.53&CDS=1-1284	YPL101W
OG0000952	snap_masked-kipT_s19-processed-gene-5.54-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.54&CDS=1-2685	YPR019W
OG0000953	augustus_masked-kipT_s19-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-kipT_s19-processed-gene-5.27&CDS=1-2268	YDR108W
OG0000954	snap_masked-kipT_s19-processed-gene-5.55-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.55&CDS=1-3999	YLR084C
OG0000955	snap_masked-kipT_s19-processed-gene-5.56-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.56&CDS=1-1947	YKL012W
OG0000956	augustus_masked-kipT_s19-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-kipT_s19-processed-gene-5.11&CDS=1-513	YKL013C
OG0000957	snap_masked-kipT_s19-processed-gene-5.77-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.77&CDS=1-3117	YIR023W
OG0000958	snap_masked-kipT_s19-processed-gene-5.78-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.78&CDS=1-1041	YDR126W
OG0000959	snap_masked-kipT_s19-processed-gene-5.79-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.79&CDS=1-309	YLR099W-A
OG0000960	snap_masked-kipT_s19-processed-gene-5.60-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.60&CDS=1-1806	YDR120C
OG0000961	genemark-kipT_s19-processed-gene-5.108-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-5.108&CDS=1-966	YKL011C
OG0000962	snap_masked-kipT_s19-processed-gene-5.82-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.82&CDS=1-2403	YOR168W
OG0000963	snap_masked-kipT_s19-processed-gene-5.62-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.62&CDS=1-1626	YGL244W
OG0000964	snap_masked-kipT_s19-processed-gene-5.63-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.63&CDS=1-258	YGR037C
OG0000965	snap_masked-kipT_s19-processed-gene-5.85-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.85&CDS=1-483	YLR050C
OG0000966	genemark-kipT_s19-processed-gene-5.112-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-5.112&CDS=1-870	YLR059C
OG0000967	snap_masked-kipT_s19-processed-gene-5.86-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.86&CDS=1-5094	YFL033C
OG0000968	snap_masked-kipT_s19-processed-gene-5.89-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.89&CDS=1-693	YMR043W
OG0000969	augustus_masked-kipT_s19-processed-gene-5.20-mRNA-1_1&gene=augustus_masked-kipT_s19-processed-gene-5.20&CDS=1-2673	YPR160W
OG0000970	snap_masked-kipT_s19-processed-gene-5.66-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.66&CDS=1-1920	YGL203C
OG0000971	snap_masked-kipT_s19-processed-gene-5.67-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.67&CDS=1-711	YML025C
OG0000972	snap_masked-kipT_s19-processed-gene-5.70-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-5.70&CDS=1-4170	YBR115C
OG0000973	snap_masked-kipT_s19-processed-gene-6.53-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.53&CDS=1-1737	YOR360C
OG0000974	snap_masked-kipT_s19-processed-gene-6.54-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.54&CDS=1-1596	YOR359W
OG0000975	snap_masked-kipT_s19-processed-gene-6.55-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.55&CDS=1-597	YKL196C
OG0000976	snap_masked-kipT_s19-processed-gene-6.56-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.56&CDS=1-819	YKL195W
OG0000977	augustus_masked-kipT_s19-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-kipT_s19-processed-gene-6.111&CDS=1-2379	YLR424W
OG0000978	snap_masked-kipT_s19-processed-gene-6.59-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.59&CDS=1-1065	YLR418C
OG0000979	augustus_masked-kipT_s19-processed-gene-6.141-mRNA-1_1&gene=augustus_masked-kipT_s19-processed-gene-6.141&CDS=1-1899	YHR194W
OG0000980	snap_masked-kipT_s19-processed-gene-6.63-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.63&CDS=1-315	YDL081C
OG0000981	snap_masked-kipT_s19-processed-gene-6.93-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.93&CDS=1-1350	YFL037W
OG0000982	snap_masked-kipT_s19-processed-gene-6.67-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.67&CDS=1-936	YLR026C
OG0000983	snap_masked-kipT_s19-processed-gene-6.68-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.68&CDS=1-666	YLR025W
OG0000984	snap_masked-kipT_s19-processed-gene-6.69-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.69&CDS=1-408	YDR462W
OG0000985	snap_masked-kipT_s19-processed-gene-6.95-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.95&CDS=1-417	YJR082C
OG0000986	snap_masked-kipT_s19-processed-gene-6.70-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.70&CDS=1-1317	YGR254W
OG0000987	genemark-kipT_s19-processed-gene-6.42-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-6.42&CDS=1-1341	YLR231C
OG0000988	snap_masked-kipT_s19-processed-gene-6.96-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.96&CDS=1-1236	YOL016C
OG0000989	snap_masked-kipT_s19-processed-gene-6.75-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.75&CDS=1-2103	YJL168C
OG0000990	snap_masked-kipT_s19-processed-gene-6.76-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.76&CDS=1-990	YNL097C
OG0000991	snap_masked-kipT_s19-processed-gene-6.77-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.77&CDS=1-741	YOR101W
OG0000992	snap_masked-kipT_s19-processed-gene-6.99-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.99&CDS=1-516	YOR103C
OG0000993	snap_masked-kipT_s19-processed-gene-6.78-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.78&CDS=1-591	YNL099C
OG0000994	snap_masked-kipT_s19-processed-gene-6.82-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.82&CDS=1-1197	YLR355C
OG0000995	snap_masked-kipT_s19-processed-gene-6.100-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.100&CDS=1-726	YGR053C
OG0000996	maker-kipT_s19-snap-gene-6.159-mRNA-1_1&gene=maker-kipT_s19-snap-gene-6.159&CDS=1-1881	YBR287W
OG0000997	snap_masked-kipT_s19-processed-gene-6.104-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.104&CDS=1-759	YJL115W
OG0000998	snap_masked-kipT_s19-processed-gene-6.105-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-6.105&CDS=1-3849	YER093C
OG0000999	snap_masked-kipT_s19-processed-gene-7.48-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.48&CDS=1-855	YNL075W
OG0001000	snap_masked-kipT_s19-processed-gene-7.49-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.49&CDS=1-2901	YKR050W
OG0001001	maker-kipT_s19-snap-gene-7.2-mRNA-1_1&gene=maker-kipT_s19-snap-gene-7.2&CDS=1-2511	YJL127C
OG0001002	maker-kipT_s19-snap-gene-7.0-mRNA-1_1&gene=maker-kipT_s19-snap-gene-7.0&CDS=1-1005	YIL084C
OG0001003	snap_masked-kipT_s19-processed-gene-7.53-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.53&CDS=1-426	YIL087C
OG0001004	snap_masked-kipT_s19-processed-gene-7.75-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.75&CDS=1-834	YNL032W
OG0001005	snap_masked-kipT_s19-processed-gene-7.76-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.76&CDS=1-1089	YFL026W
OG0001006	snap_masked-kipT_s19-processed-gene-7.56-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.56&CDS=1-1902	YDL035C
OG0001007	snap_masked-kipT_s19-processed-gene-7.77-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.77&CDS=1-1461	YOL069W
OG0001008	snap_masked-kipT_s19-processed-gene-7.78-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.78&CDS=1-729	YOR125C
OG0001009	genemark-kipT_s19-processed-gene-7.38-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-7.38&CDS=1-759	YDR374C
OG0001010	snap_masked-kipT_s19-processed-gene-7.60-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.60&CDS=1-1395	YOR025W
OG0001011	snap_masked-kipT_s19-processed-gene-7.61-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.61&CDS=1-1620	YDR479C
OG0001012	snap_masked-kipT_s19-processed-gene-7.80-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.80&CDS=1-2538	YCL045C
OG0001013	augustus_masked-kipT_s19-processed-gene-7.102-mRNA-1_1&gene=augustus_masked-kipT_s19-processed-gene-7.102&CDS=1-243	YDR525W-A
OG0001014	snap_masked-kipT_s19-processed-gene-7.82-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.82&CDS=1-1317	YDR527W
OG0001015	snap_masked-kipT_s19-processed-gene-7.84-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.84&CDS=1-996	YDR460W
OG0001016	snap_masked-kipT_s19-processed-gene-7.67-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.67&CDS=1-2847	YDR524C
OG0001017	snap_masked-kipT_s19-processed-gene-7.68-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.68&CDS=1-1614	YER168C
OG0001018	snap_masked-kipT_s19-processed-gene-7.69-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.69&CDS=1-4689	YDR127W
OG0001019	snap_masked-kipT_s19-processed-gene-7.85-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-7.85&CDS=1-14889	YLR106C
OG0001020	augustus_masked-kipT_s19-processed-gene-8.3-mRNA-1_1&gene=augustus_masked-kipT_s19-processed-gene-8.3&CDS=1-774	YCL047C
OG0001021	maker-kipT_s19-snap-gene-8.143-mRNA-1_1&gene=maker-kipT_s19-snap-gene-8.143&CDS=1-339	YDR519W
OG0001022	snap_masked-kipT_s19-processed-gene-8.66-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.66&CDS=1-1599	YLR107W
OG0001023	maker-kipT_s19-augustus-gene-8.220-mRNA-1_1&gene=maker-kipT_s19-augustus-gene-8.220&CDS=1-4029	YDR097C
OG0001024	snap_masked-kipT_s19-processed-gene-8.105-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.105&CDS=1-1863	YER173W
OG0001025	genemark-kipT_s19-processed-gene-8.190-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-8.190&CDS=1-2703	YER169W
OG0001026	snap_masked-kipT_s19-processed-gene-8.108-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.108&CDS=1-2079	YPR018W
OG0001027	snap_masked-kipT_s19-processed-gene-8.109-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.109&CDS=1-1422	YOL027C
OG0001028	snap_masked-kipT_s19-processed-gene-8.77-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.77&CDS=1-1989	YBR255W
OG0001029	snap_masked-kipT_s19-processed-gene-8.79-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.79&CDS=1-492	YBR254C
OG0001030	snap_masked-kipT_s19-processed-gene-8.112-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.112&CDS=1-1818	YER080W
OG0001031	genemark-kipT_s19-processed-gene-8.166-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-8.166&CDS=1-1878	YPL218W
OG0001032	snap_masked-kipT_s19-processed-gene-8.82-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.82&CDS=1-1971	YGL099W
OG0001033	augustus_masked-kipT_s19-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-kipT_s19-processed-gene-8.42&CDS=1-2904	YOR058C
OG0001034	augustus_masked-kipT_s19-processed-gene-8.44-mRNA-1_1&gene=augustus_masked-kipT_s19-processed-gene-8.44&CDS=1-5538	YDR294C
OG0001035	snap_masked-kipT_s19-processed-gene-8.119-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.119&CDS=1-1380	YOR056C
OG0001036	genemark-kipT_s19-processed-gene-8.203-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-8.203&CDS=1-1992	YPL104W
OG0001037	snap_masked-kipT_s19-processed-gene-8.85-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.85&CDS=1-1350	YBR199W
OG0001038	maker-kipT_s19-augustus-gene-8.227-mRNA-1_1&gene=maker-kipT_s19-augustus-gene-8.227&CDS=1-5976	YPL125W
OG0001039	snap_masked-kipT_s19-processed-gene-8.127-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.127&CDS=1-1494	YKL035W
OG0001040	snap_masked-kipT_s19-processed-gene-8.129-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.129&CDS=1-444	YOR224C
OG0001041	snap_masked-kipT_s19-processed-gene-8.131-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.131&CDS=1-276	YLR363W-A
OG0001042	snap_masked-kipT_s19-processed-gene-8.89-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.89&CDS=1-4044	YGR061C
OG0001043	snap_masked-kipT_s19-processed-gene-8.90-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.90&CDS=1-735	YNL178W
OG0001044	snap_masked-kipT_s19-processed-gene-8.132-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.132&CDS=1-321	YJR085C
OG0001045	snap_masked-kipT_s19-processed-gene-8.92-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.92&CDS=1-918	YGL154C
OG0001046	augustus_masked-kipT_s19-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-kipT_s19-processed-gene-8.25&CDS=1-2103	YDL119C
OG0001047	snap_masked-kipT_s19-processed-gene-8.95-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.95&CDS=1-1161	YGL153W
OG0001048	snap_masked-kipT_s19-processed-gene-8.97-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.97&CDS=1-3282	YDL102W
OG0001049	snap_masked-kipT_s19-processed-gene-8.98-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.98&CDS=1-945	YMR161W
OG0001050	snap_masked-kipT_s19-processed-gene-8.100-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-8.100&CDS=1-1362	YOR197W
OG0001051	augustus_masked-kipT_s2-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-kipT_s2-processed-gene-0.73&CDS=1-816	YMR312W
OG0001052	snap_masked-kipT_s2-processed-gene-0.56-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.56&CDS=1-1908	YMR313C
OG0001053	snap_masked-kipT_s2-processed-gene-0.38-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.38&CDS=1-1494	YMR093W
OG0001054	snap_masked-kipT_s2-processed-gene-0.58-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.58&CDS=1-1164	YOR063W
OG0001055	snap_masked-kipT_s2-processed-gene-0.40-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.40&CDS=1-1320	YNL280C
OG0001056	maker-kipT_s2-snap-gene-0.0-mRNA-1_1&gene=maker-kipT_s2-snap-gene-0.0&CDS=1-228	YGR105W
OG0001057	snap_masked-kipT_s2-processed-gene-0.42-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.42&CDS=1-1011	YGR104C
OG0001058	snap_masked-kipT_s2-processed-gene-0.62-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.62&CDS=1-12492	YKR054C
OG0001059	snap_masked-kipT_s2-processed-gene-0.63-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.63&CDS=1-3501	YPR010C
OG0001060	snap_masked-kipT_s2-processed-gene-0.47-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.47&CDS=1-801	YGR024C
OG0001061	snap_masked-kipT_s2-processed-gene-0.64-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.64&CDS=1-828	YKL024C
OG0001062	snap_masked-kipT_s2-processed-gene-0.48-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.48&CDS=1-2169	YKL025C
OG0001063	snap_masked-kipT_s2-processed-gene-0.49-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.49&CDS=1-837	YHR071W
OG0001064	snap_masked-kipT_s2-processed-gene-0.68-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.68&CDS=1-1200	YKR048C
OG0001065	snap_masked-kipT_s2-processed-gene-0.70-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.70&CDS=1-975	YKL120W
OG0001066	snap_masked-kipT_s2-processed-gene-0.51-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-0.51&CDS=1-2892	YFL024C
OG0001067	snap_masked-kipT_s2-processed-gene-1.86-mRNA-1_1&gene=snap_masked-kipT_s2-processed-gene-1.86&CDS=1-4740	YMR247C
