	Metschnikowia_dekortum	Saccharomyces_cerevisiae
OG0000740	genemark-dek_s13-processed-gene-0.9-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.9&CDS=1-1239	YGR257C
OG0000741	genemark-dek_s13-processed-gene-0.41-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.41&CDS=1-651	YGR235C
OG0000742	genemark-dek_s13-processed-gene-0.10-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.10&CDS=1-2538	YKL155C
OG0000743	snap_masked-dek_s13-processed-gene-0.65-mRNA-1_1&gene=snap_masked-dek_s13-processed-gene-0.65&CDS=1-1353	YDR306C
OG0000744	genemark-dek_s13-processed-gene-0.43-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.43&CDS=1-480	YDR308C
OG0000745	genemark-dek_s13-processed-gene-0.13-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.13&CDS=1-819	YDR313C
OG0000746	genemark-dek_s13-processed-gene-0.44-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.44&CDS=1-1425	YHR065C
OG0000747	maker-dek_s13-augustus-gene-0.115-mRNA-1_1&gene=maker-dek_s13-augustus-gene-0.115&CDS=1-1425	YLR151C
OG0000748	genemark-dek_s13-processed-gene-0.47-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.47&CDS=1-1101	YDL022W
OG0000749	genemark-dek_s13-processed-gene-0.49-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.49&CDS=1-1035	YKL151C
OG0000750	genemark-dek_s13-processed-gene-0.16-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.16&CDS=1-879	YKL150W
OG0000751	genemark-dek_s13-processed-gene-0.17-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.17&CDS=1-1533	YKL149C
OG0000752	genemark-dek_s13-processed-gene-0.19-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.19&CDS=1-1050	YPR128C
OG0000753	genemark-dek_s13-processed-gene-0.50-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.50&CDS=1-1506	YPR133C
OG0000754	genemark-dek_s13-processed-gene-0.21-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.21&CDS=1-882	YPR129W
OG0000755	genemark-dek_s131-processed-gene-0.39-mRNA-1_1&gene=genemark-dek_s131-processed-gene-0.39&CDS=1-300	YGR215W
OG0000756	genemark-dek_s131-processed-gene-0.32-mRNA-1_1&gene=genemark-dek_s131-processed-gene-0.32&CDS=1-6450	YGR217W
OG0000757	augustus_masked-dek_s131-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-dek_s131-processed-gene-0.24&CDS=1-1449	YGR211W
OG0000758	genemark-dek_s131-processed-gene-0.33-mRNA-1_1&gene=genemark-dek_s131-processed-gene-0.33&CDS=1-2022	YIL046W
OG0000759	snap_masked-dek_s131-processed-gene-0.12-mRNA-1_1&gene=snap_masked-dek_s131-processed-gene-0.12&CDS=1-2001	YOL141W
OG0000760	genemark-dek_s131-processed-gene-0.43-mRNA-1_1&gene=genemark-dek_s131-processed-gene-0.43&CDS=1-798	YOL142W
OG0000761	genemark-dek_s131-processed-gene-0.44-mRNA-1_1&gene=genemark-dek_s131-processed-gene-0.44&CDS=1-831	YLR128W
OG0000762	genemark-dek_s131-processed-gene-0.36-mRNA-1_1&gene=genemark-dek_s131-processed-gene-0.36&CDS=1-1941	YLR127C
OG0000763	genemark-dek_s131-processed-gene-0.45-mRNA-1_1&gene=genemark-dek_s131-processed-gene-0.45&CDS=1-1647	YDR145W
OG0000764	genemark-dek_s136-processed-gene-0.0-mRNA-1_1&gene=genemark-dek_s136-processed-gene-0.0&CDS=1-2247	YAL053W
OG0000765	genemark-dek_s137-processed-gene-0.58-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.58&CDS=1-1971	YDR057W
OG0000766	genemark-dek_s137-processed-gene-0.59-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.59&CDS=1-1275	YLR203C
OG0000767	genemark-dek_s137-processed-gene-0.68-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.68&CDS=1-1758	YDR266C
OG0000768	genemark-dek_s137-processed-gene-0.61-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.61&CDS=1-654	YHR100C
OG0000769	snap_masked-dek_s137-processed-gene-0.41-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-0.41&CDS=1-11508	YHR099W
OG0000770	snap_masked-dek_s137-processed-gene-0.42-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-0.42&CDS=1-693	YBR040W
OG0000771	genemark-dek_s137-processed-gene-0.71-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.71&CDS=1-1245	YBR042C
OG0000772	genemark-dek_s137-processed-gene-0.63-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.63&CDS=1-2394	YBR043C
OG0000773	genemark-dek_s137-processed-gene-0.72-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.72&CDS=1-2223	YBR102C
OG0000774	genemark-dek_s137-processed-gene-0.64-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.64&CDS=1-1860	YBR103W
OG0000775	maker-dek_s137-augustus-gene-0.55-mRNA-1_1&gene=maker-dek_s137-augustus-gene-0.55&CDS=1-1716	YPR063C
OG0000776	genemark-dek_s137-processed-gene-0.75-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.75&CDS=1-1200	YPR056W
OG0000777	genemark-dek_s137-processed-gene-0.76-mRNA-1_1&gene=genemark-dek_s137-processed-gene-0.76&CDS=1-5007	YBR097W
OG0000778	snap_masked-dek_s137-processed-gene-0.53-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-0.53&CDS=1-288	YKR095W-A
OG0000779	snap_masked-dek_s137-processed-gene-0.54-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-0.54&CDS=1-3792	YOR330C
OG0000780	maker-dek_s137-augustus-gene-1.32-mRNA-1_1&gene=maker-dek_s137-augustus-gene-1.32&CDS=1-3246	YPR163C
OG0000781	genemark-dek_s137-processed-gene-1.7-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.7&CDS=1-1635	YPL260W
OG0000782	genemark-dek_s137-processed-gene-1.8-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.8&CDS=1-930	YIR011C
OG0000783	genemark-dek_s137-processed-gene-1.24-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.24&CDS=1-1473	YER082C
OG0000784	genemark-dek_s137-processed-gene-1.10-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.10&CDS=1-1269	YKL216W
OG0000785	maker-dek_s137-snap-gene-1.31-mRNA-1_1&gene=maker-dek_s137-snap-gene-1.31&CDS=1-1017	YER083C
OG0000786	genemark-dek_s137-processed-gene-1.26-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.26&CDS=1-1053	YGR112W
OG0000787	genemark-dek_s137-processed-gene-1.13-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.13&CDS=1-1527	YLR197W
OG0000788	genemark-dek_s137-processed-gene-1.28-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.28&CDS=1-2370	YDL170W
OG0000789	genemark-dek_s137-processed-gene-1.20-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.20&CDS=1-3165	YBR081C
OG0000790	genemark-dek_s137-processed-gene-1.22-mRNA-1_1&gene=genemark-dek_s137-processed-gene-1.22&CDS=1-528	YNL310C
OG0000791	augustus_masked-dek_s137-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-2.0&CDS=1-873	YNL315C
OG0000792	genemark-dek_s137-processed-gene-2.34-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.34&CDS=1-1806	YMR224C
OG0000793	genemark-dek_s137-processed-gene-2.36-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.36&CDS=1-4995	YDR283C
OG0000794	genemark-dek_s137-processed-gene-2.54-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.54&CDS=1-306	YBR135W
OG0000795	genemark-dek_s137-processed-gene-2.37-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.37&CDS=1-1518	YBR133C
OG0000796	snap_masked-dek_s137-processed-gene-2.97-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-2.97&CDS=1-852	YNL245C
OG0000797	snap_masked-dek_s137-processed-gene-2.98-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-2.98&CDS=1-303	YNL244C
OG0000798	genemark-dek_s137-processed-gene-2.39-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.39&CDS=1-1359	YBR029C
OG0000799	genemark-dek_s137-processed-gene-2.40-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.40&CDS=1-1617	YGL028C
OG0000800	genemark-dek_s137-processed-gene-2.42-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.42&CDS=1-1179	YKL172W
OG0000801	genemark-dek_s137-processed-gene-2.43-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.43&CDS=1-1050	YJL167W
OG0000802	snap_masked-dek_s137-processed-gene-2.101-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-2.101&CDS=1-282	YJL166W
OG0000803	genemark-dek_s137-processed-gene-2.44-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.44&CDS=1-2286	YJL176C
OG0000804	genemark-dek_s137-processed-gene-2.61-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.61&CDS=1-2859	YKL173W
OG0000805	genemark-dek_s137-processed-gene-2.46-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.46&CDS=1-525	YKL016C
OG0000806	snap_masked-dek_s137-processed-gene-2.106-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-2.106&CDS=1-1842	YMR258C
OG0000807	snap_masked-dek_s137-processed-gene-2.107-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-2.107&CDS=1-177	YMR256C
OG0000808	genemark-dek_s137-processed-gene-2.63-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.63&CDS=1-1191	YOL054W
OG0000809	genemark-dek_s137-processed-gene-2.47-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.47&CDS=1-1308	YIL063C
OG0000810	genemark-dek_s137-processed-gene-2.64-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.64&CDS=1-735	YIL064W
OG0000811	genemark-dek_s137-processed-gene-2.49-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.49&CDS=1-1269	YBR195C
OG0000812	snap_masked-dek_s137-processed-gene-2.110-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-2.110&CDS=1-603	YPL078C
OG0000813	genemark-dek_s137-processed-gene-2.50-mRNA-1_1&gene=genemark-dek_s137-processed-gene-2.50&CDS=1-843	YKR060W
OG0000814	augustus_masked-dek_s137-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-2.18&CDS=1-2286	YJL143W
OG0000815	genemark-dek_s137-processed-gene-3.31-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.31&CDS=1-1989	YJL141C
OG0000816	genemark-dek_s137-processed-gene-3.32-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.32&CDS=1-573	YJL140W
OG0000817	genemark-dek_s137-processed-gene-3.33-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.33&CDS=1-2937	YBL037W
OG0000818	genemark-dek_s137-processed-gene-3.53-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.53&CDS=1-1062	YKL018W
OG0000819	genemark-dek_s137-processed-gene-3.36-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.36&CDS=1-3363	YJL020C
OG0000820	genemark-dek_s137-processed-gene-3.37-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.37&CDS=1-2526	YBR086C
OG0000821	genemark-dek_s137-processed-gene-3.54-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.54&CDS=1-741	YBL036C
OG0000822	genemark-dek_s137-processed-gene-3.38-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.38&CDS=1-852	YDL051W
OG0000823	snap_masked-dek_s137-processed-gene-3.73-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-3.73&CDS=1-2055	YBL035C
OG0000824	maker-dek_s137-augustus-gene-3.62-mRNA-1_1&gene=maker-dek_s137-augustus-gene-3.62&CDS=1-3150	YDR331W
OG0000825	genemark-dek_s137-processed-gene-3.55-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.55&CDS=1-1518	YHR084W
OG0000826	maker-dek_s137-snap-gene-3.100-mRNA-1_1&gene=maker-dek_s137-snap-gene-3.100&CDS=1-1962	YKL125W
OG0000827	genemark-dek_s137-processed-gene-3.57-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.57&CDS=1-2205	YHR197W
OG0000828	genemark-dek_s137-processed-gene-3.58-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.58&CDS=1-2439	YOR270C
OG0000829	genemark-dek_s137-processed-gene-3.44-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.44&CDS=1-3996	YLR384C
OG0000830	genemark-dek_s137-processed-gene-3.59-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.59&CDS=1-705	YDL059C
OG0000831	augustus_masked-dek_s137-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-3.13&CDS=1-5391	YDL058W
OG0000832	genemark-dek_s137-processed-gene-3.46-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.46&CDS=1-2358	YNR033W
OG0000833	genemark-dek_s137-processed-gene-3.47-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.47&CDS=1-2412	YCR077C
OG0000834	genemark-dek_s137-processed-gene-3.51-mRNA-1_1&gene=genemark-dek_s137-processed-gene-3.51&CDS=1-1545	YCR072C
OG0000835	snap_masked-dek_s137-processed-gene-3.88-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-3.88&CDS=1-3789	YMR109W
OG0000836	snap_masked-dek_s137-processed-gene-3.89-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-3.89&CDS=1-4806	YCR081W
OG0000837	maker-dek_s137-augustus-gene-4.45-mRNA-1_1&gene=maker-dek_s137-augustus-gene-4.45&CDS=1-3240	YOL140W
OG0000838	genemark-dek_s137-processed-gene-4.102-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.102&CDS=1-1065	YNR032W
OG0000839	snap_masked-dek_s137-processed-gene-4.51-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-4.51&CDS=1-219	YNR032C-A
OG0000840	augustus_masked-dek_s137-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-4.5&CDS=1-2778	YBR221C
OG0000841	genemark-dek_s137-processed-gene-4.132-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.132&CDS=1-2535	YIL140W
OG0000842	augustus_masked-dek_s137-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-4.29&CDS=1-1320	YGL127C
OG0000843	genemark-dek_s137-processed-gene-4.135-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.135&CDS=1-3555	YGL062W
OG0000844	snap_masked-dek_s137-processed-gene-4.86-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-4.86&CDS=1-1098	YNL212W
OG0000845	augustus_masked-dek_s137-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-4.10&CDS=1-867	YNL213C
OG0000846	genemark-dek_s137-processed-gene-4.115-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.115&CDS=1-1200	YGL048C
OG0000847	genemark-dek_s137-processed-gene-4.117-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.117&CDS=1-1680	YBR286W
OG0000848	genemark-dek_s137-processed-gene-4.118-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.118&CDS=1-1011	YNL274C
OG0000849	genemark-dek_s137-processed-gene-4.139-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.139&CDS=1-1059	YDR400W
OG0000850	genemark-dek_s137-processed-gene-4.140-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.140&CDS=1-720	YKR043C
OG0000851	genemark-dek_s137-processed-gene-4.121-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.121&CDS=1-336	YBR120C
OG0000852	genemark-dek_s137-processed-gene-4.141-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.141&CDS=1-1029	YJL117W
OG0000853	snap_masked-dek_s137-processed-gene-4.92-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-4.92&CDS=1-267	YER048W-A
OG0000854	genemark-dek_s137-processed-gene-4.143-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.143&CDS=1-1302	YER048C
OG0000855	genemark-dek_s137-processed-gene-4.125-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.125&CDS=1-2319	YPL074W
OG0000856	genemark-dek_s137-processed-gene-4.145-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.145&CDS=1-1431	YLR378C
OG0000857	augustus_masked-dek_s137-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-4.24&CDS=1-2412	YLR377C
OG0000858	genemark-dek_s137-processed-gene-4.129-mRNA-1_1&gene=genemark-dek_s137-processed-gene-4.129&CDS=1-1086	YDL055C
OG0000859	snap_masked-dek_s137-processed-gene-4.99-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-4.99&CDS=1-267	YJR135W-A
OG0000860	snap_masked-dek_s137-processed-gene-5.56-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-5.56&CDS=1-189	YFR032C-A
OG0000861	genemark-dek_s137-processed-gene-5.116-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.116&CDS=1-3024	YFL025C
OG0000862	genemark-dek_s137-processed-gene-5.118-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.118&CDS=1-876	YPR139C
OG0000863	genemark-dek_s137-processed-gene-5.138-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.138&CDS=1-666	YIR005W
OG0000864	genemark-dek_s137-processed-gene-5.119-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.119&CDS=1-2430	YMR049C
OG0000865	genemark-dek_s137-processed-gene-5.120-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.120&CDS=1-846	YNL055C
OG0000866	genemark-dek_s137-processed-gene-5.121-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.121&CDS=1-1218	YJL006C
OG0000867	augustus_masked-dek_s137-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-5.28&CDS=1-3561	YGR252W
OG0000868	augustus_masked-dek_s137-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-5.15&CDS=1-5886	YHR170W
OG0000869	genemark-dek_s137-processed-gene-5.144-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.144&CDS=1-756	YGR253C
OG0000870	snap_masked-dek_s137-processed-gene-5.92-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-5.92&CDS=1-1212	YGR244C
OG0000871	genemark-dek_s137-processed-gene-5.125-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.125&CDS=1-891	YOR287C
OG0000872	genemark-dek_s137-processed-gene-5.146-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.146&CDS=1-567	YOR286W
OG0000873	snap_masked-dek_s137-processed-gene-5.74-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-5.74&CDS=1-948	YDR174W
OG0000874	genemark-dek_s137-processed-gene-5.149-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.149&CDS=1-2232	YGR245C
OG0000875	maker-dek_s137-snap-gene-5.47-mRNA-1_1&gene=maker-dek_s137-snap-gene-5.47&CDS=1-1038	YGR246C
OG0000876	genemark-dek_s137-processed-gene-5.151-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.151&CDS=1-1305	YHR169W
OG0000877	genemark-dek_s137-processed-gene-5.128-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.128&CDS=1-1575	YHR168W
OG0000878	genemark-dek_s137-processed-gene-5.129-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.129&CDS=1-1521	YPL122C
OG0000879	snap_masked-dek_s137-processed-gene-5.78-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-5.78&CDS=1-3477	YOR207C
OG0000880	augustus_masked-dek_s137-processed-gene-5.22-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-5.22&CDS=1-2742	YPL133C
OG0000881	genemark-dek_s137-processed-gene-5.154-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.154&CDS=1-2199	YOR206W
OG0000882	genemark-dek_s137-processed-gene-5.156-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.156&CDS=1-852	YPL134C
OG0000883	genemark-dek_s137-processed-gene-5.157-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.157&CDS=1-861	YOR223W
OG0000884	genemark-dek_s137-processed-gene-5.134-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.134&CDS=1-516	YJR025C
OG0000885	genemark-dek_s137-processed-gene-5.159-mRNA-1_1&gene=genemark-dek_s137-processed-gene-5.159&CDS=1-2535	YDR089W
OG0000886	genemark-dek_s137-processed-gene-6.98-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.98&CDS=1-4251	YJR137C
OG0000887	genemark-dek_s137-processed-gene-6.99-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.99&CDS=1-783	YHR200W
OG0000888	genemark-dek_s137-processed-gene-6.102-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.102&CDS=1-777	YMR048W
OG0000889	genemark-dek_s137-processed-gene-6.122-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.122&CDS=1-1176	YHR201C
OG0000890	genemark-dek_s137-processed-gene-6.123-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.123&CDS=1-2241	YJR143C
OG0000891	genemark-dek_s137-processed-gene-6.125-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.125&CDS=1-6648	YJR140C
OG0000892	genemark-dek_s137-processed-gene-6.126-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.126&CDS=1-759	YDR090C
OG0000893	genemark-dek_s137-processed-gene-6.127-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.127&CDS=1-2766	YER162C
OG0000894	augustus_masked-dek_s137-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-6.65&CDS=1-3525	YPL262W
OG0000895	maker-dek_s137-augustus-gene-6.0-mRNA-1_1&gene=maker-dek_s137-augustus-gene-6.0&CDS=1-2334	YPL214C
OG0000896	genemark-dek_s137-processed-gene-6.110-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.110&CDS=1-1353	YHR111W
OG0000897	genemark-dek_s137-processed-gene-6.111-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.111&CDS=1-1197	YDR363W
OG0000898	genemark-dek_s137-processed-gene-6.132-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.132&CDS=1-624	YBL102W
OG0000899	genemark-dek_s137-processed-gene-6.133-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.133&CDS=1-441	YDL125C
OG0000900	genemark-dek_s137-processed-gene-6.112-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.112&CDS=1-2469	YDL126C
OG0000901	genemark-dek_s137-processed-gene-6.136-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.136&CDS=1-378	YOR122C
OG0000902	genemark-dek_s137-processed-gene-6.137-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.137&CDS=1-1761	YDR390C
OG0000903	genemark-dek_s137-processed-gene-6.138-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.138&CDS=1-714	YPR183W
OG0000904	genemark-dek_s137-processed-gene-6.139-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.139&CDS=1-1977	YDL167C
OG0000905	genemark-dek_s137-processed-gene-6.140-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.140&CDS=1-789	YDR207C
OG0000906	genemark-dek_s137-processed-gene-6.116-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.116&CDS=1-708	YJR099W
OG0000907	genemark-dek_s137-processed-gene-6.142-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.142&CDS=1-1461	YPR045C
OG0000908	genemark-dek_s137-processed-gene-6.143-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.143&CDS=1-1623	YBR007C
OG0000909	augustus_masked-dek_s137-processed-gene-6.76-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-6.76&CDS=1-2400	YNL045W
OG0000910	genemark-dek_s137-processed-gene-6.119-mRNA-1_1&gene=genemark-dek_s137-processed-gene-6.119&CDS=1-390	YJL190C
OG0000911	genemark-dek_s137-processed-gene-7.37-mRNA-1_1&gene=genemark-dek_s137-processed-gene-7.37&CDS=1-7587	YCR032W
OG0000912	genemark-dek_s137-processed-gene-7.38-mRNA-1_1&gene=genemark-dek_s137-processed-gene-7.38&CDS=1-1056	YCR035C
OG0000913	snap_masked-dek_s137-processed-gene-7.93-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-7.93&CDS=1-6363	YDL171C
OG0000914	genemark-dek_s137-processed-gene-7.39-mRNA-1_1&gene=genemark-dek_s137-processed-gene-7.39&CDS=1-696	YDR262W
OG0000915	genemark-dek_s137-processed-gene-7.55-mRNA-1_1&gene=genemark-dek_s137-processed-gene-7.55&CDS=1-1746	YHR108W
OG0000916	genemark-dek_s137-processed-gene-7.40-mRNA-1_1&gene=genemark-dek_s137-processed-gene-7.40&CDS=1-312	YDR357C
OG0000917	genemark-dek_s137-processed-gene-7.59-mRNA-1_1&gene=genemark-dek_s137-processed-gene-7.59&CDS=1-891	YLR239C
OG0000918	augustus_masked-dek_s137-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-dek_s137-processed-gene-7.9&CDS=1-4953	YDR180W
OG0000919	genemark-dek_s137-processed-gene-7.62-mRNA-1_1&gene=genemark-dek_s137-processed-gene-7.62&CDS=1-813	YDR181C
OG0000920	snap_masked-dek_s137-processed-gene-7.104-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-7.104&CDS=1-1356	YDR182W
OG0000921	genemark-dek_s137-processed-gene-7.63-mRNA-1_1&gene=genemark-dek_s137-processed-gene-7.63&CDS=1-2481	YLR166C
OG0000922	genemark-dek_s137-processed-gene-7.64-mRNA-1_1&gene=genemark-dek_s137-processed-gene-7.64&CDS=1-450	YLR167W
OG0000923	snap_masked-dek_s137-processed-gene-7.123-mRNA-1_1&gene=snap_masked-dek_s137-processed-gene-7.123&CDS=1-648	YDR183W
