	Geotrichum_candidum	Saccharomyces_cerevisiae
OG0000362	genemark-CCBN010000002.1-processed-gene-13.49-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-13.49&CDS=1-1722, genemark-CCBN010000019.1-processed-gene-1.24-mRNA-1_1&gene=genemark-CCBN010000019.1-processed-gene-1.24&CDS=1-1719	YKR093W
OG0000363	snap_masked-CCBN010000002.1-processed-gene-13.89-mRNA-1_1&gene=snap_masked-CCBN010000002.1-processed-gene-13.89&CDS=1-3906, snap_masked-CCBN010000009.1-processed-gene-9.6-mRNA-1_1&gene=snap_masked-CCBN010000009.1-processed-gene-9.6&CDS=1-3111	YKL092C
OG0000364	genemark-CCBN010000002.1-processed-gene-14.45-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-14.45&CDS=1-1161, genemark-CCBN010000009.1-processed-gene-9.50-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-9.50&CDS=1-1167	YDR427W
OG0000365	genemark-CCBN010000002.1-processed-gene-14.43-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-14.43&CDS=1-885, genemark-CCBN010000006.1-processed-gene-7.48-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-7.48&CDS=1-936	YDR428C
OG0000366	genemark-CCBN010000002.1-processed-gene-14.48-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-14.48&CDS=1-708, genemark-CCBN010000024.1-processed-gene-1.189-mRNA-1_1&gene=genemark-CCBN010000024.1-processed-gene-1.189&CDS=1-714	YLR118C
OG0000367	genemark-CCBN010000002.1-processed-gene-14.65-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-14.65&CDS=1-1020, genemark-CCBN010000024.1-processed-gene-1.219-mRNA-1_1&gene=genemark-CCBN010000024.1-processed-gene-1.219&CDS=1-1104	YBR290W
OG0000368	genemark-CCBN010000002.1-processed-gene-14.70-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-14.70&CDS=1-960, genemark-CCBN010000024.1-processed-gene-1.226-mRNA-1_1&gene=genemark-CCBN010000024.1-processed-gene-1.226&CDS=1-960	YKL150W
OG0000369	genemark-CCBN010000002.1-processed-gene-14.71-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-14.71&CDS=1-1284, genemark-CCBN010000015.1-processed-gene-3.12-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-3.12&CDS=1-1716	YGL028C
OG0000370	genemark-CCBN010000002.1-processed-gene-15.99-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-15.99&CDS=1-1413, genemark-CCBN010000003.1-processed-gene-15.28-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-15.28&CDS=1-1338	YOR197W
OG0000371	genemark-CCBN010000002.1-processed-gene-15.85-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-15.85&CDS=1-2340, snap_masked-CCBN010000004.1-processed-gene-6.65-mRNA-1_1&gene=snap_masked-CCBN010000004.1-processed-gene-6.65&CDS=1-2514	YKL034W
OG0000372	genemark-CCBN010000002.1-processed-gene-15.89-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-15.89&CDS=1-315, genemark-CCBN010000010.1-processed-gene-4.13-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-4.13&CDS=1-315	YDL081C
OG0000373	augustus_masked-CCBN010000006.1-processed-gene-9.50-mRNA-1_1&gene=augustus_masked-CCBN010000006.1-processed-gene-9.50&CDS=1-2658, maker-CCBN010000002.1-augustus-gene-16.31-mRNA-1_1&gene=maker-CCBN010000002.1-augustus-gene-16.31&CDS=1-2673	YNL201C
OG0000374	genemark-CCBN010000002.1-processed-gene-16.16-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-16.16&CDS=1-5916, genemark-CCBN010000010.1-processed-gene-4.7-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-4.7&CDS=1-5913	YLR342W
OG0000375	genemark-CCBN010000002.1-processed-gene-16.17-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-16.17&CDS=1-1659, genemark-CCBN010000010.1-processed-gene-4.19-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-4.19&CDS=1-1671	YMR307W
OG0000376	genemark-CCBN010000002.1-processed-gene-16.24-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-16.24&CDS=1-3240, genemark-CCBN010000010.1-processed-gene-4.5-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-4.5&CDS=1-3117	YIL048W
OG0000377	genemark-CCBN010000002.1-processed-gene-17.75-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-17.75&CDS=1-537, genemark-CCBN010000009.1-processed-gene-9.70-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-9.70&CDS=1-504	YPL252C
OG0000378	genemark-CCBN010000002.1-processed-gene-17.76-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-17.76&CDS=1-2244, maker-CCBN010000009.1-augustus-gene-9.43-mRNA-1_1&gene=maker-CCBN010000009.1-augustus-gene-9.43&CDS=1-2049	YPR141C
OG0000379	genemark-CCBN010000002.1-processed-gene-17.80-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-17.80&CDS=1-1359, snap_masked-CCBN010000019.1-processed-gene-2.0-mRNA-1_1&gene=snap_masked-CCBN010000019.1-processed-gene-2.0&CDS=1-1554	YHR176W
OG0000380	genemark-CCBN010000002.1-processed-gene-17.81-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-17.81&CDS=1-1578, genemark-CCBN010000019.1-processed-gene-1.33-mRNA-1_1&gene=genemark-CCBN010000019.1-processed-gene-1.33&CDS=1-1737	YMR110C
OG0000381	genemark-CCBN010000002.1-processed-gene-17.82-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-17.82&CDS=1-960, maker-CCBN010000019.1-snap-gene-1.4-mRNA-1_1&gene=maker-CCBN010000019.1-snap-gene-1.4&CDS=1-954	YMR116C
OG0000382	genemark-CCBN010000002.1-processed-gene-17.85-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-17.85&CDS=1-1587, genemark-CCBN010000019.1-processed-gene-1.8-mRNA-1_1&gene=genemark-CCBN010000019.1-processed-gene-1.8&CDS=1-1548	YDL160C
OG0000383	genemark-CCBN010000002.1-processed-gene-18.9-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-18.9&CDS=1-5139, maker-CCBN010000019.1-augustus-gene-0.65-mRNA-1_1&gene=maker-CCBN010000019.1-augustus-gene-0.65&CDS=1-4587	YJR138W
OG0000384	genemark-CCBN010000002.1-processed-gene-18.12-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-18.12&CDS=1-1296, genemark-CCBN010000012.1-processed-gene-6.13-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-6.13&CDS=1-1164	YFL030W
OG0000385	genemark-CCBN010000002.1-processed-gene-18.23-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-18.23&CDS=1-237, genemark-CCBN010000012.1-processed-gene-6.29-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-6.29&CDS=1-237	YLR038C
OG0000386	genemark-CCBN010000002.1-processed-gene-18.29-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-18.29&CDS=1-513, genemark-CCBN010000016.1-processed-gene-2.25-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-2.25&CDS=1-513	YLR109W
OG0000387	augustus_masked-CCBN010000016.1-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-CCBN010000016.1-processed-gene-1.50&CDS=1-1437, genemark-CCBN010000002.1-processed-gene-19.17-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-19.17&CDS=1-1380	YOR059C
OG0000388	genemark-CCBN010000002.1-processed-gene-19.14-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-19.14&CDS=1-1869, genemark-CCBN010000011.1-processed-gene-5.44-mRNA-1_1&gene=genemark-CCBN010000011.1-processed-gene-5.44&CDS=1-1983	YIL046W
OG0000389	genemark-CCBN010000002.1-processed-gene-20.3-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-20.3&CDS=1-3036, genemark-CCBN010000021.1-processed-gene-2.72-mRNA-1_1&gene=genemark-CCBN010000021.1-processed-gene-2.72&CDS=1-2991	YMR196W
OG0000390	genemark-CCBN010000002.1-processed-gene-20.7-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-20.7&CDS=1-1653, genemark-CCBN010000021.1-processed-gene-2.76-mRNA-1_1&gene=genemark-CCBN010000021.1-processed-gene-2.76&CDS=1-1959	YCR084C
OG0000391	genemark-CCBN010000002.1-processed-gene-20.20-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-20.20&CDS=1-3105, genemark-CCBN010000008.1-processed-gene-7.6-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-7.6&CDS=1-3321	YOR304W
OG0000392	genemark-CCBN010000002.1-processed-gene-20.11-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-20.11&CDS=1-2112, genemark-CCBN010000021.1-processed-gene-2.80-mRNA-1_1&gene=genemark-CCBN010000021.1-processed-gene-2.80&CDS=1-2088	YBL024W
OG0000393	genemark-CCBN010000002.1-processed-gene-20.23-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-20.23&CDS=1-1617, snap_masked-CCBN010000021.1-processed-gene-2.33-mRNA-1_1&gene=snap_masked-CCBN010000021.1-processed-gene-2.33&CDS=1-1548	YHR007C
OG0000394	augustus_masked-CCBN010000021.1-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-CCBN010000021.1-processed-gene-2.55&CDS=1-1989, snap_masked-CCBN010000002.1-processed-gene-20.62-mRNA-1_1&gene=snap_masked-CCBN010000002.1-processed-gene-20.62&CDS=1-816	YLR223C
OG0000395	genemark-CCBN010000002.1-processed-gene-20.27-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-20.27&CDS=1-1347, genemark-CCBN010000019.1-processed-gene-4.48-mRNA-1_1&gene=genemark-CCBN010000019.1-processed-gene-4.48&CDS=1-1338	YBR003W
OG0000396	genemark-CCBN010000003.1-processed-gene-0.28-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-0.28&CDS=1-1647, genemark-CCBN010000015.1-processed-gene-6.21-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.21&CDS=1-1554	YLR352W
OG0000397	genemark-CCBN010000003.1-processed-gene-0.15-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-0.15&CDS=1-1089, genemark-CCBN010000015.1-processed-gene-6.34-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.34&CDS=1-1089	YDL055C
OG0000398	genemark-CCBN010000003.1-processed-gene-0.31-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-0.31&CDS=1-1644, genemark-CCBN010000015.1-processed-gene-6.5-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.5&CDS=1-1545	YDL017W
OG0000399	augustus_masked-CCBN010000003.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-CCBN010000003.1-processed-gene-0.58&CDS=1-1017, genemark-CCBN010000015.1-processed-gene-6.18-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.18&CDS=1-1071	YKL019W
OG0000400	genemark-CCBN010000015.1-processed-gene-6.15-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.15&CDS=1-2124, snap_masked-CCBN010000003.1-processed-gene-0.85-mRNA-1_1&gene=snap_masked-CCBN010000003.1-processed-gene-0.85&CDS=1-2520	YKL104C
OG0000401	genemark-CCBN010000003.1-processed-gene-0.35-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-0.35&CDS=1-195	YLR287C-A, YOR182C
OG0000402	genemark-CCBN010000015.1-processed-gene-6.7-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.7&CDS=1-1794, maker-CCBN010000003.1-snap-gene-1.105-mRNA-1_1&gene=maker-CCBN010000003.1-snap-gene-1.105&CDS=1-1953	YLR286C
OG0000403	genemark-CCBN010000003.1-processed-gene-1.91-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-1.91&CDS=1-3183, maker-CCBN010000015.1-snap-gene-5.46-mRNA-1_1&gene=maker-CCBN010000015.1-snap-gene-5.46&CDS=1-3897	YOR191W
OG0000404	genemark-CCBN010000003.1-processed-gene-1.73-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-1.73&CDS=1-1332, genemark-CCBN010000015.1-processed-gene-5.115-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-5.115&CDS=1-1500	YHR086W
OG0000405	genemark-CCBN010000003.1-processed-gene-1.76-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-1.76&CDS=1-1743, genemark-CCBN010000004.1-processed-gene-6.40-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-6.40&CDS=1-1761	YBR296C
OG0000406	genemark-CCBN010000003.1-processed-gene-1.77-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-1.77&CDS=1-6204, genemark-CCBN010000004.1-processed-gene-6.52-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-6.52&CDS=1-5994	YGR217W
OG0000407	genemark-CCBN010000003.1-processed-gene-1.78-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-1.78&CDS=1-3072, snap_masked-CCBN010000022.1-processed-gene-2.39-mRNA-1_1&gene=snap_masked-CCBN010000022.1-processed-gene-2.39&CDS=1-3159	YDR270W
OG0000408	augustus_masked-CCBN010000003.1-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-CCBN010000003.1-processed-gene-1.47&CDS=1-1563	YDR353W, YHR106W
OG0000409	genemark-CCBN010000003.1-processed-gene-1.95-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-1.95&CDS=1-1167, genemark-CCBN010000022.1-processed-gene-2.65-mRNA-1_1&gene=genemark-CCBN010000022.1-processed-gene-2.65&CDS=1-1188	YHR107C
OG0000410	genemark-CCBN010000003.1-processed-gene-2.70-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-2.70&CDS=1-1080, genemark-CCBN010000005.1-processed-gene-12.15-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-12.15&CDS=1-1080	YKL060C
OG0000411	genemark-CCBN010000003.1-processed-gene-2.83-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-2.83&CDS=1-1533, maker-CCBN010000004.1-snap-gene-8.28-mRNA-1_1&gene=maker-CCBN010000004.1-snap-gene-8.28&CDS=1-1242	YPL042C
OG0000412	genemark-CCBN010000003.1-processed-gene-2.91-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-2.91&CDS=1-5595, genemark-CCBN010000004.1-processed-gene-9.58-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-9.58&CDS=1-5496	YLR422W
OG0000413	genemark-CCBN010000010.1-processed-gene-8.114-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-8.114&CDS=1-2262, snap_masked-CCBN010000003.1-processed-gene-3.98-mRNA-1_1&gene=snap_masked-CCBN010000003.1-processed-gene-3.98&CDS=1-1743	YOL060C
OG0000414	genemark-CCBN010000003.1-processed-gene-3.6-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-3.6&CDS=1-1218, genemark-CCBN010000010.1-processed-gene-8.129-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-8.129&CDS=1-1248	YKR048C
OG0000415	genemark-CCBN010000003.1-processed-gene-3.21-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-3.21&CDS=1-1392, genemark-CCBN010000015.1-processed-gene-4.42-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-4.42&CDS=1-1176	YBR199W
OG0000416	maker-CCBN010000003.1-snap-gene-3.39-mRNA-1_1&gene=maker-CCBN010000003.1-snap-gene-3.39&CDS=1-234	YDR500C, YLR185W
OG0000417	genemark-CCBN010000003.1-processed-gene-3.27-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-3.27&CDS=1-1332, genemark-CCBN010000010.1-processed-gene-8.124-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-8.124&CDS=1-1257	YBR029C
OG0000418	genemark-CCBN010000003.1-processed-gene-3.14-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-3.14&CDS=1-2640, snap_masked-CCBN010000010.1-processed-gene-8.33-mRNA-1_1&gene=snap_masked-CCBN010000010.1-processed-gene-8.33&CDS=1-2679	YMR212C
OG0000419	genemark-CCBN010000003.1-processed-gene-5.32-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-5.32&CDS=1-1524, genemark-CCBN010000006.1-processed-gene-8.42-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-8.42&CDS=1-1872	YLR152C
OG0000420	genemark-CCBN010000003.1-processed-gene-5.38-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-5.38&CDS=1-891, genemark-CCBN010000009.1-processed-gene-6.32-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-6.32&CDS=1-885	YGR060W
OG0000421	genemark-CCBN010000003.1-processed-gene-5.40-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-5.40&CDS=1-2517, genemark-CCBN010000009.1-processed-gene-6.33-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-6.33&CDS=1-2961	YMR280C
OG0000422	genemark-CCBN010000003.1-processed-gene-5.46-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-5.46&CDS=1-6123, genemark-CCBN010000008.1-processed-gene-5.28-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-5.28&CDS=1-6897	YJL005W
OG0000423	genemark-CCBN010000003.1-processed-gene-6.3-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-6.3&CDS=1-1851, genemark-CCBN010000013.1-processed-gene-6.79-mRNA-1_1&gene=genemark-CCBN010000013.1-processed-gene-6.79&CDS=1-1857	YIL155C
OG0000424	genemark-CCBN010000013.1-processed-gene-6.76-mRNA-1_1&gene=genemark-CCBN010000013.1-processed-gene-6.76&CDS=1-3090, maker-CCBN010000003.1-snap-gene-6.33-mRNA-1_1&gene=maker-CCBN010000003.1-snap-gene-6.33&CDS=1-2415	YKL015W
OG0000425	genemark-CCBN010000013.1-processed-gene-5.12-mRNA-1_1&gene=genemark-CCBN010000013.1-processed-gene-5.12&CDS=1-3453, snap_masked-CCBN010000003.1-processed-gene-6.104-mRNA-1_1&gene=snap_masked-CCBN010000003.1-processed-gene-6.104&CDS=1-3450	YMR218C
OG0000426	genemark-CCBN010000003.1-processed-gene-6.27-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-6.27&CDS=1-1173, snap_masked-CCBN010000004.1-processed-gene-14.11-mRNA-1_1&gene=snap_masked-CCBN010000004.1-processed-gene-14.11&CDS=1-2799	YPL228W
OG0000427	genemark-CCBN010000003.1-processed-gene-6.16-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-6.16&CDS=1-1902, genemark-CCBN010000004.1-processed-gene-14.48-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-14.48&CDS=1-1839	YKL212W
OG0000428	genemark-CCBN010000003.1-processed-gene-6.31-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-6.31&CDS=1-675, genemark-CCBN010000004.1-processed-gene-14.36-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-14.36&CDS=1-654	YAL003W
OG0000429	maker-CCBN010000003.1-snap-gene-6.38-mRNA-1_1&gene=maker-CCBN010000003.1-snap-gene-6.38&CDS=1-2847, maker-CCBN010000004.1-snap-gene-14.97-mRNA-1_1&gene=maker-CCBN010000004.1-snap-gene-14.97&CDS=1-2313	YJR036C
OG0000430	snap_masked-CCBN010000003.1-processed-gene-7.23-mRNA-1_1&gene=snap_masked-CCBN010000003.1-processed-gene-7.23&CDS=1-993	YAL018C, YOL048C
OG0000431	snap_masked-CCBN010000003.1-processed-gene-7.25-mRNA-1_1&gene=snap_masked-CCBN010000003.1-processed-gene-7.25&CDS=1-1335, snap_masked-CCBN010000007.1-processed-gene-4.22-mRNA-1_1&gene=snap_masked-CCBN010000007.1-processed-gene-4.22&CDS=1-1116	YDR459C
OG0000432	genemark-CCBN010000003.1-processed-gene-7.70-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-7.70&CDS=1-528	YKL141W, YMR118C
OG0000433	augustus_masked-CCBN010000008.1-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-CCBN010000008.1-processed-gene-5.64&CDS=1-3702, maker-CCBN010000003.1-augustus-gene-8.91-mRNA-1_1&gene=maker-CCBN010000003.1-augustus-gene-8.91&CDS=1-2094	YDR028C
OG0000434	genemark-CCBN010000003.1-processed-gene-8.83-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-8.83&CDS=1-3705	YGL133W, YPL216W
OG0000435	genemark-CCBN010000003.1-processed-gene-9.7-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-9.7&CDS=1-879	YLR270W, YOR173W
OG0000436	genemark-CCBN010000003.1-processed-gene-9.9-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-9.9&CDS=1-1284, genemark-CCBN010000013.1-processed-gene-6.82-mRNA-1_1&gene=genemark-CCBN010000013.1-processed-gene-6.82&CDS=1-1260	YLR380W
OG0000437	genemark-CCBN010000003.1-processed-gene-9.11-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-9.11&CDS=1-1809, genemark-CCBN010000013.1-processed-gene-6.83-mRNA-1_1&gene=genemark-CCBN010000013.1-processed-gene-6.83&CDS=1-1755	YDR456W
OG0000438	genemark-CCBN010000003.1-processed-gene-9.20-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-9.20&CDS=1-3021, genemark-CCBN010000020.1-processed-gene-1.66-mRNA-1_1&gene=genemark-CCBN010000020.1-processed-gene-1.66&CDS=1-3111	YKL205W
OG0000439	genemark-CCBN010000003.1-processed-gene-10.64-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-10.64&CDS=1-3957, genemark-CCBN010000006.1-processed-gene-6.37-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-6.37&CDS=1-3543	YDL240W
OG0000440	genemark-CCBN010000003.1-processed-gene-11.41-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-11.41&CDS=1-1479, genemark-CCBN010000027.1-processed-gene-1.20-mRNA-1_1&gene=genemark-CCBN010000027.1-processed-gene-1.20&CDS=1-1500	YEL040W
OG0000441	genemark-CCBN010000003.1-processed-gene-11.49-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-11.49&CDS=1-2109, genemark-CCBN010000027.1-processed-gene-1.38-mRNA-1_1&gene=genemark-CCBN010000027.1-processed-gene-1.38&CDS=1-2076	YPR024W
OG0000442	genemark-CCBN010000003.1-processed-gene-11.45-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-11.45&CDS=1-1431, genemark-CCBN010000027.1-processed-gene-1.24-mRNA-1_1&gene=genemark-CCBN010000027.1-processed-gene-1.24&CDS=1-1440	YGL202W
OG0000443	genemark-CCBN010000003.1-processed-gene-12.57-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-12.57&CDS=1-1260	YLR300W, YOR190W
OG0000444	genemark-CCBN010000003.1-processed-gene-12.46-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-12.46&CDS=1-453, genemark-CCBN010000008.1-processed-gene-10.149-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-10.149&CDS=1-453	YDR064W
OG0000445	genemark-CCBN010000003.1-processed-gene-13.28-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-13.28&CDS=1-2103, genemark-CCBN010000009.1-processed-gene-5.7-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-5.7&CDS=1-2028	YNL293W
OG0000446	genemark-CCBN010000003.1-processed-gene-13.32-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-13.32&CDS=1-447	YCL035C, YDR513W
OG0000447	genemark-CCBN010000014.1-processed-gene-6.160-mRNA-1_1&gene=genemark-CCBN010000014.1-processed-gene-6.160&CDS=1-540, snap_masked-CCBN010000003.1-processed-gene-14.68-mRNA-1_1&gene=snap_masked-CCBN010000003.1-processed-gene-14.68&CDS=1-537	YNL044W
OG0000448	genemark-CCBN010000003.1-processed-gene-14.12-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-14.12&CDS=1-858, genemark-CCBN010000011.1-processed-gene-7.61-mRNA-1_1&gene=genemark-CCBN010000011.1-processed-gene-7.61&CDS=1-1110	YKR066C
OG0000449	genemark-CCBN010000003.1-processed-gene-14.17-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-14.17&CDS=1-3198, genemark-CCBN010000007.1-processed-gene-0.79-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-0.79&CDS=1-1035	YOL087C
OG0000450	genemark-CCBN010000003.1-processed-gene-14.22-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-14.22&CDS=1-1038, genemark-CCBN010000005.1-processed-gene-2.29-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-2.29&CDS=1-1095	YIL083C
OG0000451	augustus_masked-CCBN010000008.1-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-CCBN010000008.1-processed-gene-6.60&CDS=1-1521, genemark-CCBN010000003.1-processed-gene-14.32-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-14.32&CDS=1-1539	YNL026W
OG0000452	genemark-CCBN010000003.1-processed-gene-15.33-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-15.33&CDS=1-447, snap_masked-CCBN010000003.1-processed-gene-15.78-mRNA-1_1&gene=snap_masked-CCBN010000003.1-processed-gene-15.78&CDS=1-459	YPR200C
