	Metschnikowia_shivogae	Saccharomyces_cerevisiae
OG0000307	genemark-shi_s48-processed-gene-8.41-mRNA-1_1&gene=genemark-shi_s48-processed-gene-8.41&CDS=1-978, maker-shi_s29-snap-gene-0.3-mRNA-1_1&gene=maker-shi_s29-snap-gene-0.3&CDS=1-642	YEL007W
OG0000308	genemark-shi_s29-processed-gene-0.231-mRNA-1_1&gene=genemark-shi_s29-processed-gene-0.231&CDS=1-1743, genemark-shi_s77-processed-gene-3.95-mRNA-1_1&gene=genemark-shi_s77-processed-gene-3.95&CDS=1-1689	YNR055C
OG0000309	augustus_masked-shi_s51-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-shi_s51-processed-gene-0.35&CDS=1-3144, genemark-shi_s29-processed-gene-0.232-mRNA-1_1&gene=genemark-shi_s29-processed-gene-0.232&CDS=1-3153	YGL066W
OG0000310	genemark-shi_s29-processed-gene-0.312-mRNA-1_1&gene=genemark-shi_s29-processed-gene-0.312&CDS=1-459	YGL031C, YGR148C
OG0000311	augustus_masked-shi_s29-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-shi_s29-processed-gene-0.97&CDS=1-1971	YDR475C, YOR019W
OG0000312	genemark-shi_s3-processed-gene-0.53-mRNA-1_1&gene=genemark-shi_s3-processed-gene-0.53&CDS=1-315	YGR209C, YLR043C
OG0000313	snap_masked-shi_s3-processed-gene-1.134-mRNA-1_1&gene=snap_masked-shi_s3-processed-gene-1.134&CDS=1-318	YHR141C, YNL162W
OG0000314	maker-shi_s3-snap-gene-1.5-mRNA-1_1&gene=maker-shi_s3-snap-gene-1.5&CDS=1-288	YMR194W, YPL249C-A
OG0000315	genemark-shi_s3-processed-gene-1.95-mRNA-1_1&gene=genemark-shi_s3-processed-gene-1.95&CDS=1-846	YLR270W, YOR173W
OG0000316	genemark-shi_s3-processed-gene-1.77-mRNA-1_1&gene=genemark-shi_s3-processed-gene-1.77&CDS=1-1854	YDR146C, YLR131C
OG0000317	genemark-shi_s3-processed-gene-2.74-mRNA-1_1&gene=genemark-shi_s3-processed-gene-2.74&CDS=1-519	YLR456W, YPR172W
OG0000318	genemark-shi_s48-processed-gene-3.118-mRNA-1_1&gene=genemark-shi_s48-processed-gene-3.118&CDS=1-1857, maker-shi_s3-snap-gene-2.196-mRNA-1_1&gene=maker-shi_s3-snap-gene-2.196&CDS=1-8694	YMR058W
OG0000319	genemark-shi_s32-processed-gene-0.94-mRNA-1_1&gene=genemark-shi_s32-processed-gene-0.94&CDS=1-1170, genemark-shi_s91-processed-gene-0.24-mRNA-1_1&gene=genemark-shi_s91-processed-gene-0.24&CDS=1-1092	YCR044C
OG0000320	genemark-shi_s35-processed-gene-0.66-mRNA-1_1&gene=genemark-shi_s35-processed-gene-0.66&CDS=1-771	YDR099W, YER177W
OG0000321	genemark-shi_s35-processed-gene-1.108-mRNA-1_1&gene=genemark-shi_s35-processed-gene-1.108&CDS=1-1272	YBR177C, YPL095C
OG0000322	genemark-shi_s35-processed-gene-1.113-mRNA-1_1&gene=genemark-shi_s35-processed-gene-1.113&CDS=1-1653	YCL043C, YDR518W
OG0000323	genemark-shi_s35-processed-gene-1.134-mRNA-1_1&gene=genemark-shi_s35-processed-gene-1.134&CDS=1-2061, genemark-shi_s93-processed-gene-1.87-mRNA-1_1&gene=genemark-shi_s93-processed-gene-1.87&CDS=1-2367	YLR188W
OG0000324	genemark-shi_s35-processed-gene-2.162-mRNA-1_1&gene=genemark-shi_s35-processed-gene-2.162&CDS=1-456	YEL066W, YPR193C
OG0000325	genemark-shi_s35-processed-gene-3.3-mRNA-1_1&gene=genemark-shi_s35-processed-gene-3.3&CDS=1-1614	YHR115C, YNL116W
OG0000326	genemark-shi_s51-processed-gene-3.88-mRNA-1_1&gene=genemark-shi_s51-processed-gene-3.88&CDS=1-1572, maker-shi_s35-augustus-gene-3.108-mRNA-1_1&gene=maker-shi_s35-augustus-gene-3.108&CDS=1-1965	YDL174C
OG0000327	genemark-shi_s35-processed-gene-4.17-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.17&CDS=1-2463	YOR256C, YPL176C
OG0000328	genemark-shi_s35-processed-gene-4.18-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.18&CDS=1-4200	YER132C, YGL197W
OG0000329	genemark-shi_s35-processed-gene-4.24-mRNA-1_1&gene=genemark-shi_s35-processed-gene-4.24&CDS=1-786	YDR151C, YLR136C
OG0000330	augustus_masked-shi_s35-processed-gene-4.201-mRNA-1_1&gene=augustus_masked-shi_s35-processed-gene-4.201&CDS=1-1284, genemark-shi_s96-processed-gene-1.98-mRNA-1_1&gene=genemark-shi_s96-processed-gene-1.98&CDS=1-1515	YGL209W
OG0000331	maker-shi_s38-augustus-gene-0.74-mRNA-1_1&gene=maker-shi_s38-augustus-gene-0.74&CDS=1-3303, snap_masked-shi_s59-processed-gene-4.126-mRNA-1_1&gene=snap_masked-shi_s59-processed-gene-4.126&CDS=1-1314	YDL020C
OG0000332	genemark-shi_s38-processed-gene-0.68-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.68&CDS=1-600	YIL133C, YNL069C
OG0000333	genemark-shi_s38-processed-gene-0.70-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.70&CDS=1-3270	YGR238C, YHR158C
OG0000334	genemark-shi_s38-processed-gene-0.72-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.72&CDS=1-1017	YER045C, YIL036W
OG0000335	augustus_masked-shi_s59-processed-gene-5.225-mRNA-1_1&gene=augustus_masked-shi_s59-processed-gene-5.225&CDS=1-1926, genemark-shi_s38-processed-gene-1.12-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.12&CDS=1-1842	YNL101W
OG0000336	snap_masked-shi_s38-processed-gene-1.166-mRNA-1_1&gene=snap_masked-shi_s38-processed-gene-1.166&CDS=1-2739	YDR251W, YPL032C
OG0000337	snap_masked-shi_s38-processed-gene-1.122-mRNA-1_1&gene=snap_masked-shi_s38-processed-gene-1.122&CDS=1-534	YOR226C, YPL135W
OG0000338	genemark-shi_s38-processed-gene-1.24-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.24&CDS=1-4308	YBL079W, YER105C
OG0000339	genemark-shi_s38-processed-gene-1.31-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.31&CDS=1-588	YER067W, YIL057C
OG0000340	genemark-shi_s38-processed-gene-1.32-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.32&CDS=1-1275, genemark-shi_s59-processed-gene-0.53-mRNA-1_1&gene=genemark-shi_s59-processed-gene-0.53&CDS=1-1425	YHR135C
OG0000341	genemark-shi_s48-processed-gene-0.129-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.129&CDS=1-591	YBL072C, YER102W
OG0000342	augustus_masked-shi_s48-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-shi_s48-processed-gene-1.4&CDS=1-1029	YBR273C, YJL048C
OG0000343	genemark-shi_s48-processed-gene-1.71-mRNA-1_1&gene=genemark-shi_s48-processed-gene-1.71&CDS=1-1998	YBR216C, YGL060W
OG0000344	augustus_masked-shi_s48-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-shi_s48-processed-gene-1.24&CDS=1-2049, genemark-shi_s79-processed-gene-2.247-mRNA-1_1&gene=genemark-shi_s79-processed-gene-2.247&CDS=1-1473	YBR006W
OG0000345	genemark-shi_s48-processed-gene-2.70-mRNA-1_1&gene=genemark-shi_s48-processed-gene-2.70&CDS=1-465	YBR048W, YDR025W
OG0000346	genemark-shi_s48-processed-gene-2.93-mRNA-1_1&gene=genemark-shi_s48-processed-gene-2.93&CDS=1-639	YBR014C, YDL010W
OG0000347	genemark-shi_s48-processed-gene-2.94-mRNA-1_1&gene=genemark-shi_s48-processed-gene-2.94&CDS=1-1653	YIR031C, YNL117W
OG0000348	genemark-shi_s48-processed-gene-2.71-mRNA-1_1&gene=genemark-shi_s48-processed-gene-2.71&CDS=1-1695	YDL042C, YOL068C
OG0000349	genemark-shi_s48-processed-gene-3.116-mRNA-1_1&gene=genemark-shi_s48-processed-gene-3.116&CDS=1-3186	YBL106C, YPR032W
OG0000350	genemark-shi_s48-processed-gene-3.125-mRNA-1_1&gene=genemark-shi_s48-processed-gene-3.125&CDS=1-3954	YGR070W, YLR371W
OG0000351	snap_masked-shi_s48-processed-gene-3.61-mRNA-1_1&gene=snap_masked-shi_s48-processed-gene-3.61&CDS=1-1239, snap_masked-shi_s77-processed-gene-3.43-mRNA-1_1&gene=snap_masked-shi_s77-processed-gene-3.43&CDS=1-708	YDR196C
OG0000352	genemark-shi_s77-processed-gene-0.36-mRNA-1_1&gene=genemark-shi_s77-processed-gene-0.36&CDS=1-1611, snap_masked-shi_s48-processed-gene-4.31-mRNA-1_1&gene=snap_masked-shi_s48-processed-gene-4.31&CDS=1-1581	YMR221C
OG0000353	genemark-shi_s48-processed-gene-4.59-mRNA-1_1&gene=genemark-shi_s48-processed-gene-4.59&CDS=1-2376, maker-shi_s96-augustus-gene-2.10-mRNA-1_1&gene=maker-shi_s96-augustus-gene-2.10&CDS=1-3276	YPR181C
OG0000354	genemark-shi_s48-processed-gene-4.63-mRNA-1_1&gene=genemark-shi_s48-processed-gene-4.63&CDS=1-1893	YNL108C, YOR110W
OG0000355	genemark-shi_s48-processed-gene-4.67-mRNA-1_1&gene=genemark-shi_s48-processed-gene-4.67&CDS=1-1800, genemark-shi_s96-processed-gene-1.82-mRNA-1_1&gene=genemark-shi_s96-processed-gene-1.82&CDS=1-1533	YLR034C
OG0000356	augustus_masked-shi_s48-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-shi_s48-processed-gene-5.114&CDS=1-924, maker-shi_s48-snap-gene-8.174-mRNA-1_1&gene=maker-shi_s48-snap-gene-8.174&CDS=1-2301	YGR086C
OG0000357	genemark-shi_s48-processed-gene-5.42-mRNA-1_1&gene=genemark-shi_s48-processed-gene-5.42&CDS=1-516	YGR085C, YPR102C
OG0000358	genemark-shi_s48-processed-gene-5.24-mRNA-1_1&gene=genemark-shi_s48-processed-gene-5.24&CDS=1-819	YDL049C, YJL174W
OG0000359	augustus_masked-shi_s48-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-shi_s48-processed-gene-6.94&CDS=1-723	YGR027C, YLR333C
OG0000360	genemark-shi_s48-processed-gene-6.23-mRNA-1_1&gene=genemark-shi_s48-processed-gene-6.23&CDS=1-1524	YHR131C, YNL144C
OG0000361	genemark-shi_s48-processed-gene-6.31-mRNA-1_1&gene=genemark-shi_s48-processed-gene-6.31&CDS=1-3930	YLL016W, YLR310C
OG0000362	genemark-shi_s48-processed-gene-7.0-mRNA-1_1&gene=genemark-shi_s48-processed-gene-7.0&CDS=1-1623	YDL224C, YNL197C
OG0000363	genemark-shi_s48-processed-gene-7.5-mRNA-1_1&gene=genemark-shi_s48-processed-gene-7.5&CDS=1-435	YGR118W, YPR132W
OG0000364	genemark-shi_s48-processed-gene-7.9-mRNA-1_1&gene=genemark-shi_s48-processed-gene-7.9&CDS=1-1110, genemark-shi_s77-processed-gene-2.136-mRNA-1_1&gene=genemark-shi_s77-processed-gene-2.136&CDS=1-1134	YDL022W
OG0000365	genemark-shi_s48-processed-gene-7.36-mRNA-1_1&gene=genemark-shi_s48-processed-gene-7.36&CDS=1-1167	YDR312W, YHR066W
OG0000366	genemark-shi_s48-processed-gene-7.38-mRNA-1_1&gene=genemark-shi_s48-processed-gene-7.38&CDS=1-2181, genemark-shi_s59-processed-gene-4.63-mRNA-1_1&gene=genemark-shi_s59-processed-gene-4.63&CDS=1-2802	YDL095W
OG0000367	snap_masked-shi_s48-processed-gene-7.65-mRNA-1_1&gene=snap_masked-shi_s48-processed-gene-7.65&CDS=1-246	YHR021C, YKL156W
OG0000368	augustus_masked-shi_s48-processed-gene-7.135-mRNA-1_1&gene=augustus_masked-shi_s48-processed-gene-7.135&CDS=1-3219	YHR208W, YJR148W
OG0000369	genemark-shi_s48-processed-gene-8.54-mRNA-1_1&gene=genemark-shi_s48-processed-gene-8.54&CDS=1-1659	YKL127W, YMR105C
OG0000370	augustus_masked-shi_s48-processed-gene-8.193-mRNA-1_1&gene=augustus_masked-shi_s48-processed-gene-8.193&CDS=1-243, snap_masked-shi_s79-processed-gene-1.86-mRNA-1_1&gene=snap_masked-shi_s79-processed-gene-1.86&CDS=1-4722	YMR247C
OG0000371	genemark-shi_s48-processed-gene-8.62-mRNA-1_1&gene=genemark-shi_s48-processed-gene-8.62&CDS=1-1449, genemark-shi_s94-processed-gene-0.4-mRNA-1_1&gene=genemark-shi_s94-processed-gene-0.4&CDS=1-1878	YHR124W
OG0000372	genemark-shi_s48-processed-gene-8.76-mRNA-1_1&gene=genemark-shi_s48-processed-gene-8.76&CDS=1-1506, genemark-shi_s53-processed-gene-10.3-mRNA-1_1&gene=genemark-shi_s53-processed-gene-10.3&CDS=1-1533	YKL103C
OG0000373	genemark-shi_s48-processed-gene-8.47-mRNA-1_1&gene=genemark-shi_s48-processed-gene-8.47&CDS=1-1527	YBR020W, YDR009W
OG0000374	genemark-shi_s51-processed-gene-0.130-mRNA-1_1&gene=genemark-shi_s51-processed-gene-0.130&CDS=1-1041, genemark-shi_s76-processed-gene-5.155-mRNA-1_1&gene=genemark-shi_s76-processed-gene-5.155&CDS=1-1119	YNL231C
OG0000375	genemark-shi_s51-processed-gene-0.119-mRNA-1_1&gene=genemark-shi_s51-processed-gene-0.119&CDS=1-1263, genemark-shi_s76-processed-gene-0.58-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.58&CDS=1-1284	YDL131W
OG0000376	genemark-shi_s51-processed-gene-1.8-mRNA-1_1&gene=genemark-shi_s51-processed-gene-1.8&CDS=1-618, genemark-shi_s96-processed-gene-2.104-mRNA-1_1&gene=genemark-shi_s96-processed-gene-2.104&CDS=1-597	YNR018W
OG0000377	genemark-shi_s51-processed-gene-1.47-mRNA-1_1&gene=genemark-shi_s51-processed-gene-1.47&CDS=1-990	YKR076W, YMR251W
OG0000378	genemark-shi_s51-processed-gene-1.49-mRNA-1_1&gene=genemark-shi_s51-processed-gene-1.49&CDS=1-762, genemark-shi_s77-processed-gene-2.132-mRNA-1_1&gene=genemark-shi_s77-processed-gene-2.132&CDS=1-675	YBL064C
OG0000379	snap_masked-shi_s51-processed-gene-2.54-mRNA-1_1&gene=snap_masked-shi_s51-processed-gene-2.54&CDS=1-2445	YBR172C, YPL105C
OG0000380	genemark-shi_s51-processed-gene-2.116-mRNA-1_1&gene=genemark-shi_s51-processed-gene-2.116&CDS=1-972, genemark-shi_s79-processed-gene-2.206-mRNA-1_1&gene=genemark-shi_s79-processed-gene-2.206&CDS=1-873	YEL029C
OG0000381	genemark-shi_s51-processed-gene-2.153-mRNA-1_1&gene=genemark-shi_s51-processed-gene-2.153&CDS=1-612	YLR029C, YMR121C
OG0000382	genemark-shi_s51-processed-gene-3.57-mRNA-1_1&gene=genemark-shi_s51-processed-gene-3.57&CDS=1-771	YDR066C, YER139C
OG0000383	genemark-shi_s51-processed-gene-3.63-mRNA-1_1&gene=genemark-shi_s51-processed-gene-3.63&CDS=1-372	YFL034C-A, YLR061W
OG0000384	genemark-shi_s51-processed-gene-4.122-mRNA-1_1&gene=genemark-shi_s51-processed-gene-4.122&CDS=1-1773	YHR117W, YNL121C
OG0000385	genemark-shi_s51-processed-gene-4.126-mRNA-1_1&gene=genemark-shi_s51-processed-gene-4.126&CDS=1-1185	YHR123W, YNL130C
OG0000386	snap_masked-shi_s51-processed-gene-4.106-mRNA-1_1&gene=snap_masked-shi_s51-processed-gene-4.106&CDS=1-1716	YDR409W, YOR156C
OG0000387	genemark-shi_s51-processed-gene-4.139-mRNA-1_1&gene=genemark-shi_s51-processed-gene-4.139&CDS=1-2163	YMR237W, YOR299W
OG0000388	genemark-shi_s51-processed-gene-4.171-mRNA-1_1&gene=genemark-shi_s51-processed-gene-4.171&CDS=1-588	YDR453C, YML028W
OG0000389	genemark-shi_s51-processed-gene-5.3-mRNA-1_1&gene=genemark-shi_s51-processed-gene-5.3&CDS=1-678	YDR185C, YLR168C
OG0000390	genemark-shi_s51-processed-gene-5.13-mRNA-1_1&gene=genemark-shi_s51-processed-gene-5.13&CDS=1-468	YDR178W, YLR164W
OG0000391	genemark-shi_s51-processed-gene-5.15-mRNA-1_1&gene=genemark-shi_s51-processed-gene-5.15&CDS=1-1500	YDR200C, YLR238W
OG0000392	snap_masked-shi_s51-processed-gene-5.96-mRNA-1_1&gene=snap_masked-shi_s51-processed-gene-5.96&CDS=1-393	YCR031C, YJL191W
OG0000393	genemark-shi_s51-processed-gene-5.52-mRNA-1_1&gene=genemark-shi_s51-processed-gene-5.52&CDS=1-2589, genemark-shi_s77-processed-gene-3.129-mRNA-1_1&gene=genemark-shi_s77-processed-gene-3.129&CDS=1-2487	YLR241W
OG0000394	genemark-shi_s51-processed-gene-6.72-mRNA-1_1&gene=genemark-shi_s51-processed-gene-6.72&CDS=1-369	YHR132W-A, YNL157W
OG0000395	snap_masked-shi_s51-processed-gene-6.6-mRNA-1_1&gene=snap_masked-shi_s51-processed-gene-6.6&CDS=1-858	YHR133C, YNL156C
OG0000396	genemark-shi_s51-processed-gene-6.100-mRNA-1_1&gene=genemark-shi_s51-processed-gene-6.100&CDS=1-771	YGR248W, YHR163W
OG0000397	genemark-shi_s51-processed-gene-6.126-mRNA-1_1&gene=genemark-shi_s51-processed-gene-6.126&CDS=1-846	YIL114C, YNL055C
OG0000398	genemark-shi_s51-processed-gene-6.129-mRNA-1_1&gene=genemark-shi_s51-processed-gene-6.129&CDS=1-390	YBL003C, YDR225W
OG0000399	genemark-shi_s51-processed-gene-6.105-mRNA-1_1&gene=genemark-shi_s51-processed-gene-6.105&CDS=1-390	YBL002W, YDR224C
OG0000400	maker-shi_s53-augustus-gene-0.128-mRNA-1_1&gene=maker-shi_s53-augustus-gene-0.128&CDS=1-3030	YGR056W, YLR357W
OG0000401	genemark-shi_s53-processed-gene-0.4-mRNA-1_1&gene=genemark-shi_s53-processed-gene-0.4&CDS=1-3210	YDR122W, YLR096W
OG0000402	augustus_masked-shi_s76-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-shi_s76-processed-gene-3.38&CDS=1-339, snap_masked-shi_s53-processed-gene-0.49-mRNA-1_1&gene=snap_masked-shi_s53-processed-gene-0.49&CDS=1-2958	YOR349W
OG0000403	genemark-shi_s53-processed-gene-1.77-mRNA-1_1&gene=genemark-shi_s53-processed-gene-1.77&CDS=1-1413	YDL161W, YLR206W
OG0000404	genemark-shi_s53-processed-gene-1.63-mRNA-1_1&gene=genemark-shi_s53-processed-gene-1.63&CDS=1-1608	YHL017W, YKL039W
OG0000405	genemark-shi_s53-processed-gene-2.7-mRNA-1_1&gene=genemark-shi_s53-processed-gene-2.7&CDS=1-1689, genemark-shi_s53-processed-gene-8.11-mRNA-1_1&gene=genemark-shi_s53-processed-gene-8.11&CDS=1-1740	YKR093W
OG0000406	genemark-shi_s53-processed-gene-2.19-mRNA-1_1&gene=genemark-shi_s53-processed-gene-2.19&CDS=1-996	YCR073W-A, YNR034W
OG0000407	maker-shi_s53-snap-gene-2.89-mRNA-1_1&gene=maker-shi_s53-snap-gene-2.89&CDS=1-1983	YEL039C, YJR048W
OG0000408	genemark-shi_s53-processed-gene-3.100-mRNA-1_1&gene=genemark-shi_s53-processed-gene-3.100&CDS=1-1011	YBR161W, YPL057C
OG0000409	genemark-shi_s53-processed-gene-4.87-mRNA-1_1&gene=genemark-shi_s53-processed-gene-4.87&CDS=1-3339, snap_masked-shi_s76-processed-gene-4.19-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-4.19&CDS=1-3633	YDR270W
OG0000410	augustus_masked-shi_s53-processed-gene-4.123-mRNA-1_1&gene=augustus_masked-shi_s53-processed-gene-4.123&CDS=1-2709	YJL084C, YKR021W
OG0000411	genemark-shi_s53-processed-gene-4.103-mRNA-1_1&gene=genemark-shi_s53-processed-gene-4.103&CDS=1-852	YPR013C, YPR015C
OG0000412	genemark-shi_s53-processed-gene-5.3-mRNA-1_1&gene=genemark-shi_s53-processed-gene-5.3&CDS=1-2586	YCR091W, YNR047W
OG0000413	genemark-shi_s53-processed-gene-5.4-mRNA-1_1&gene=genemark-shi_s53-processed-gene-5.4&CDS=1-2397	YDR351W, YHR103W
OG0000414	genemark-shi_s53-processed-gene-5.21-mRNA-1_1&gene=genemark-shi_s53-processed-gene-5.21&CDS=1-1674	YGR138C, YPR156C
OG0000415	genemark-shi_s53-processed-gene-12.104-mRNA-1_1&gene=genemark-shi_s53-processed-gene-12.104&CDS=1-1113, genemark-shi_s53-processed-gene-5.22-mRNA-1_1&gene=genemark-shi_s53-processed-gene-5.22&CDS=1-1143	YEL046C
OG0000416	maker-shi_s53-snap-gene-5.88-mRNA-1_1&gene=maker-shi_s53-snap-gene-5.88&CDS=1-4533	YBR210W, YGL054C
OG0000417	genemark-shi_s53-processed-gene-6.4-mRNA-1_1&gene=genemark-shi_s53-processed-gene-6.4&CDS=1-2148	YKL121W, YMR102C
OG0000418	genemark-shi_s53-processed-gene-6.20-mRNA-1_1&gene=genemark-shi_s53-processed-gene-6.20&CDS=1-480	YBR191W, YPL079W
OG0000419	genemark-shi_s53-processed-gene-6.45-mRNA-1_1&gene=genemark-shi_s53-processed-gene-6.45&CDS=1-354	YCL035C, YDR513W
OG0000420	genemark-shi_s53-processed-gene-7.59-mRNA-1_1&gene=genemark-shi_s53-processed-gene-7.59&CDS=1-1614	YDR497C, YOL103W
OG0000421	genemark-shi_s53-processed-gene-7.92-mRNA-1_1&gene=genemark-shi_s53-processed-gene-7.92&CDS=1-561	YNL096C, YOR096W
OG0000422	genemark-shi_s53-processed-gene-7.103-mRNA-1_1&gene=genemark-shi_s53-processed-gene-7.103&CDS=1-204	YDL061C, YLR388W
OG0000423	augustus_masked-shi_s53-processed-gene-8.99-mRNA-1_1&gene=augustus_masked-shi_s53-processed-gene-8.99&CDS=1-2004, snap_masked-shi_s53-processed-gene-12.14-mRNA-1_1&gene=snap_masked-shi_s53-processed-gene-12.14&CDS=1-2772	YLR014C
OG0000424	genemark-shi_s53-processed-gene-8.41-mRNA-1_1&gene=genemark-shi_s53-processed-gene-8.41&CDS=1-1215	YMR177W, YPL224C
OG0000425	genemark-shi_s53-processed-gene-9.82-mRNA-1_1&gene=genemark-shi_s53-processed-gene-9.82&CDS=1-870	YBR183W, YPL087W
OG0000426	snap_masked-shi_s53-processed-gene-9.48-mRNA-1_1&gene=snap_masked-shi_s53-processed-gene-9.48&CDS=1-861	YGL162W, YPR009W
OG0000427	genemark-shi_s53-processed-gene-9.85-mRNA-1_1&gene=genemark-shi_s53-processed-gene-9.85&CDS=1-792	YGR214W, YLR048W
OG0000428	genemark-shi_s53-processed-gene-9.89-mRNA-1_1&gene=genemark-shi_s53-processed-gene-9.89&CDS=1-495	YDR418W, YEL054C
OG0000429	genemark-shi_s53-processed-gene-10.41-mRNA-1_1&gene=genemark-shi_s53-processed-gene-10.41&CDS=1-1086	YDL246C, YJR159W
OG0000430	genemark-shi_s53-processed-gene-10.28-mRNA-1_1&gene=genemark-shi_s53-processed-gene-10.28&CDS=1-1584, snap_masked-shi_s8-processed-gene-0.34-mRNA-1_1&gene=snap_masked-shi_s8-processed-gene-0.34&CDS=1-1785	YLR248W
OG0000431	genemark-shi_s53-processed-gene-10.30-mRNA-1_1&gene=genemark-shi_s53-processed-gene-10.30&CDS=1-1992	YFR013W, YOL017W
OG0000432	maker-shi_s53-augustus-gene-10.131-mRNA-1_1&gene=maker-shi_s53-augustus-gene-10.131&CDS=1-2379	YCR048W, YNR019W
OG0000433	genemark-shi_s53-processed-gene-11.4-mRNA-1_1&gene=genemark-shi_s53-processed-gene-11.4&CDS=1-894	YBR104W, YPR058W
OG0000434	genemark-shi_s53-processed-gene-12.114-mRNA-1_1&gene=genemark-shi_s53-processed-gene-12.114&CDS=1-1917	YGR241C, YHR161C
OG0000435	genemark-shi_s53-processed-gene-12.91-mRNA-1_1&gene=genemark-shi_s53-processed-gene-12.91&CDS=1-921, genemark-shi_s76-processed-gene-1.119-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.119&CDS=1-927	YDL236W
OG0000436	genemark-shi_s53-processed-gene-12.123-mRNA-1_1&gene=genemark-shi_s53-processed-gene-12.123&CDS=1-726	YFR031C-A, YIL018W
OG0000437	genemark-shi_s54-processed-gene-0.26-mRNA-1_1&gene=genemark-shi_s54-processed-gene-0.26&CDS=1-390	YHL001W, YKL006W
OG0000438	genemark-shi_s59-processed-gene-0.49-mRNA-1_1&gene=genemark-shi_s59-processed-gene-0.49&CDS=1-1437	YKL133C, YMR115W
OG0000439	genemark-shi_s59-processed-gene-0.80-mRNA-1_1&gene=genemark-shi_s59-processed-gene-0.80&CDS=1-1278	YLR449W, YML074C
OG0000440	genemark-shi_s77-processed-gene-2.153-mRNA-1_1&gene=genemark-shi_s77-processed-gene-2.153&CDS=1-768, snap_masked-shi_s59-processed-gene-1.4-mRNA-1_1&gene=snap_masked-shi_s59-processed-gene-1.4&CDS=1-768	YLR441C
OG0000441	genemark-shi_s59-processed-gene-2.1-mRNA-1_1&gene=genemark-shi_s59-processed-gene-2.1&CDS=1-360	YGR243W, YHR162W
OG0000442	snap_masked-shi_s59-processed-gene-2.53-mRNA-1_1&gene=snap_masked-shi_s59-processed-gene-2.53&CDS=1-2295	YMR119W, YNL008C
OG0000443	genemark-shi_s59-processed-gene-2.32-mRNA-1_1&gene=genemark-shi_s59-processed-gene-2.32&CDS=1-531	YGL096W, YPL177C
OG0000444	genemark-shi_s59-processed-gene-2.20-mRNA-1_1&gene=genemark-shi_s59-processed-gene-2.20&CDS=1-2424	YFL004W, YPL019C
OG0000445	augustus_masked-shi_s59-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-shi_s59-processed-gene-2.124&CDS=1-1839	YLR307W, YLR308W
OG0000446	genemark-shi_s59-processed-gene-2.46-mRNA-1_1&gene=genemark-shi_s59-processed-gene-2.46&CDS=1-1026	YEL006W, YIL006W
OG0000447	augustus_masked-shi_s59-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-shi_s59-processed-gene-3.5&CDS=1-2154	YBR150C, YOL089C
OG0000448	maker-shi_s59-snap-gene-3.165-mRNA-1_1&gene=maker-shi_s59-snap-gene-3.165&CDS=1-1716	YNL293W, YOL112W
OG0000449	genemark-shi_s59-processed-gene-3.154-mRNA-1_1&gene=genemark-shi_s59-processed-gene-3.154&CDS=1-648	YGL135W, YPL220W
OG0000450	genemark-shi_s59-processed-gene-4.85-mRNA-1_1&gene=genemark-shi_s59-processed-gene-4.85&CDS=1-1761	YER059W, YIL050W
OG0000451	genemark-shi_s77-processed-gene-2.163-mRNA-1_1&gene=genemark-shi_s77-processed-gene-2.163&CDS=1-1458, maker-shi_s59-augustus-gene-4.54-mRNA-1_1&gene=maker-shi_s59-augustus-gene-4.54&CDS=1-2667	YGR019W
OG0000452	genemark-shi_s59-processed-gene-5.90-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.90&CDS=1-1263	YOR237W, YPL145C
OG0000453	snap_masked-shi_s59-processed-gene-5.9-mRNA-1_1&gene=snap_masked-shi_s59-processed-gene-5.9&CDS=1-297	YOR234C, YPL143W
OG0000454	genemark-shi_s59-processed-gene-5.129-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.129&CDS=1-732, genemark-shi_s96-processed-gene-1.81-mRNA-1_1&gene=genemark-shi_s96-processed-gene-1.81&CDS=1-735	YKL040C
